gene_id	TCGA-22-5491-01A-01R-1635-07	gene_id	TCGA-22-5491-11A-01R-1858-07
ADRBK2	502.4508	ADRBK2	524.1191
ADRM1	3080.8399	ADRM1	1692.4393
ADSL	2727.9245	ADSL	715.7030
ADSSL1	199.2830	ADSSL1	91.6866
ADSS	1588.1191	ADSS	848.1013
AEBP1	357.0122	AEBP1	7017.7899
AEBP2	851.5619	AEBP2	617.1741
AEN	939.9371	AEN	466.9860
AES	8445.3874	AES	11834.7588
AFAP1L1	125.2469	AFAP1L1	828.2586
AFAP1L2	171.4829	AFAP1L2	286.0075
AFAP1	905.6932	AFAP1	857.9884
AFF1	889.8968	AFF1	2046.8697
AFF2	578.5354	AFF2	237.4273
AFF3	13.7537	AFF3	751.2829
AFF4	958.3730	AFF4	1820.0479
AFG3L1	127.2953	AFG3L1	161.8200
AFG3L2	2930.3358	AFG3L2	1073.1440
AFMID	834.5892	AFMID	458.7752
AFTPH	1759.8947	AFTPH	1161.8200
AG2	46.2360	AG2	2926.4420
AGAP11	25.1986	AGAP11	26.3428
AGAP1	265.1255	AGAP1	339.0352
AGAP2	19.3782	AGAP2	141.1529
AGAP3	1126.6369	AGAP3	2186.1102
AGAP4	84.2783	AGAP4	105.7133
AGAP5	18.0730	AGAP5	24.2217
AGAP6	49.4550	AGAP6	51.3171
AGAP8	17.5580	AGAP8	13.6846
AGA	445.3874	AGA	319.5347
removed	removed	AGBL1	14.7109
AGBL2	42.4318	removed	removed
AGBL4	5.8527	removed	removed
AGBL5	812.0623	AGBL5	765.9973
AGER	14.9243	AGER	77609.9897
AGFG1	1383.8613	AGFG1	1472.4598
AGFG2	407.3451	AGFG2	930.5508
AGGF1	571.8048	AGGF1	653.4382
AGK	786.5974	AGK	381.4574
AGL	671.0074	AGL	522.4085
AGMAT	88.0825	removed	removed
AGPAT1	933.5752	AGPAT1	2613.8693
AGPAT2	294.0961	AGPAT2	4031.8166
AGPAT3	729.2413	AGPAT3	2443.7222
AGPAT4	219.4747	AGPAT4	292.8498
AGPAT5	789.5237	AGPAT5	302.4290
AGPAT6	1602.7507	AGPAT6	1745.4670
AGPAT9	211.5736	AGPAT9	206.9791
AGPHD1	80.7667	AGPHD1	35.9220
AGPS	1516.4240	AGPS	806.7054
AGR2	2855.2198	AGR2	2186.7944
AGR3	226.4979	AGR3	809.4424
AGRN	2502.0119	AGRN	6588.7787
removed	removed	AGRP	28.7376
AGTPBP1	413.4904	AGTPBP1	828.6008
removed	removed	AGTR1	185.7680
removed	removed	AGTR2	2351.3514
AGTRAP	885.8000	AGTRAP	1361.9569
AGT	38.3349	AGT	164.8991
AGXT2L2	199.6840	AGXT2L2	539.6750
removed	removed	AHCTF1	673.2809
AHCYL1	3062.9892	AHCYL1	3483.0653
AHCYL2	675.9821	AHCYL2	3809.7845
AHCY	20042.4318	AHCY	2247.0065
AHDC1	533.4699	AHDC1	338.0089
AHI1	111.7858	AHI1	175.8467
removed	removed	AHNAK2	305.5080
AHNAK	12588.7775	AHNAK	49973.9993
AHRR	29.5559	AHRR	146.7670
AHR	2706.2697	AHR	4412.5898
AHSA1	2214.6463	AHSA1	1049.9487
AHSA2	99.2026	AHSA2	106.7397
AHSG	65.2572	removed	removed
AIDA	441.8904	AIDA	1253.2535
AIF1L	221.2305	AIF1L	573.3835
AIF1	281.8055	AIF1	793.7051
AIFM1	953.1056	AIFM1	620.5953
AIFM2	178.2135	AIFM2	501.5395
AIFM3	85.5308	AIFM3	20.8690
AIG1	881.1179	AIG1	489.2234
AIM1L	160.6555	AIM1L	99.8974
AIM1	1216.4752	AIM1	970.5782
AIM2	30.4338	AIM2	19.5005
AIMP1	1379.3840	AIMP1	848.7855
