gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
LOC649330	10.5043	LOC649330	7.6842
LOC650368	30.9743	LOC650368	40.1677
LOC650623	27.4729	LOC650623	85.5746
LOC651250	1964.3122	LOC651250	2540.3423
LOC652276	52.2524	LOC652276	56.9333
LOC653113	42.8254	LOC653113	68.1104
LOC653501	220.3219	LOC653501	430.6671
LOC653566	1845.2629	LOC653566	1694.0272
LOC653653	177.7658	LOC653653	105.1345
LOC654342	205.508	LOC654342	309.1163
LOC654433	105.8515	LOC654433	218.3339
LOC678655	177.9274	LOC678655	265.6689
LOC723972	9.427	removed	removed
LOC727896	25.3182	LOC727896	39.1198
LOC728024	24.2408	LOC728024	20.957
LOC728190	284.4253	LOC728190	275.2358
LOC728264	98.8486	LOC728264	4887.1813
LOC728323	64.3728	LOC728323	73.0003
LOC728392	23.1634	LOC728392	62.8711
LOC728554	414.5175	LOC728554	423.3322
removed	removed	LOC728606	28.292
LOC728613	152.717	LOC728613	264.0587
LOC728640	79.9946	LOC728640	73.0003
LOC728643	17.5072	LOC728643	35.627
LOC728723	8.3496	LOC728723	31.4356
LOC728743	132.7857	LOC728743	174.9913
LOC728758	29.089	LOC728758	18.8613
LOC728819	9.6963	LOC728819	52.7419
LOC728855	83.6011	LOC728855	75.9693
LOC728875	31.408	LOC728875	16.2417
LOC729020	39.324	LOC729020	36.3255
LOC729082	706.9423	LOC729082	835.379
LOC729176	41.748	LOC729176	69.8568
LOC729234	23.1634	LOC729234	48.2012
LOC729375	74.8771	LOC729375	78.2326
LOC729603	17.7766	LOC729603	26.5456
LOC729678	375.401	LOC729678	498.5575
LOC729799	9.1576	LOC729799	25.1484
LOC729991-MEF2B	16.7692	LOC729991-MEF2B	26.1753
LOC729991	156.2211	LOC729991	81.3867
LOC730101	445.7612	LOC730101	137.6179
LOC730668	5.3868	removed	removed
LOC80054	28.0116	LOC80054	34.2298
LOC80154	274.1903	LOC80154	228.4317
LOC81691	164.2987	LOC81691	146.0007
LOC84740	10.7925	LOC84740	13.9818
LOC84856	12.3897	LOC84856	39.4691
LOC90110	222.4766	LOC90110	388.7531
LOC90246	77.0318	LOC90246	17.1149
LOC90784	490.2027	LOC90784	284.3171
LOC90834	14.8138	LOC90834	27.2441
LOC91316	106.2824	LOC91316	355.5746
LOC92249	754.6967	LOC92249	1093.6081
LOC92659	74.6078	LOC92659	41.5648
LOC92973	23.7021	LOC92973	122.2494
removed	removed	LOC93432	56.9333
LOC93622	391.8928	LOC93622	378.2745
LOC96610	8846.3942	LOC96610	12288.9731
LOH12CR1	129.2842	LOH12CR1	97.4502
LOH12CR2	21.278	LOH12CR2	27.5934
LOH3CR2A	47.1349	LOH3CR2A	136.57
LONP1	925.9982	LONP1	283.9679
LONP2	3559.3563	LONP2	2150.8907
LONRF1	566.1572	LONRF1	1170.4506
LONRF2	287.9267	LONRF2	354.8725
LONRF3	39.0546	LONRF3	91.8617
LOXL1	1038.5833	LOXL1	140.4122
LOXL2	1048.7967	LOXL2	527.6493
LOXL3	74.0233	LOXL3	37.5131
LOXL4	172.379	LOXL4	577.3664
LOX	1584.0011	LOX	558.1558
LPAL2	8.3496	LPAL2	8.7321
LPAR1	786.479	LPAR1	809.291
LPAR2	301.1245	LPAR2	170.7999
removed	removed	LPAR3	39.8184
LPAR4	14.5445	LPAR4	34.2298
LPAR5	101.8113	LPAR5	86.9717
LPAR6	806.141	LPAR6	2446.3849
LPCAT1	1258.6358	LPCAT1	794.9703
LPCAT2	627.5672	LPCAT2	2164.862
LPCAT3	1472.4934	LPCAT3	1115.2637
LPCAT4	291.9669	LPCAT4	375.131
LPGAT1	2656.5214	LPGAT1	2868.3199
LPHN1	548.6499	LPHN1	514.146
LPHN2	1359.3697	LPHN2	3324.1355
LPHN3	70.029	LPHN3	144.9528
LPIN1	740.4215	LPIN1	1765.9797
LPIN2	1311.9655	LPIN2	1130.9815
LPIN3	192.752	LPIN3	478.8264
LPL	173.187	LPL	7637.7925
removed	removed	LPPR1	216.9053
LPPR2	598.7476	LPPR2	417.7436
removed	removed	LPPR3	9.0814
LPPR4	82.688	LPPR4	122.2494
LPP	1010.033	LPP	1895.2148
LPXN	687.3611	LPXN	369.5424
LQK1	23.7021	LQK1	11.5264
removed	removed	LRAT	165.5606
LRBA	7695.9127	LRBA	3623.4719
LRCH1	854.0839	LRCH1	1286.0636
LRCH2	133.863	LRCH2	162.417
LRCH3	556.9995	LRCH3	675.1659
LRCH4	594.7074	LRCH4	574.9214
LRDD	110.1609	LRDD	132.0293
LRFN1	43.0947	LRFN1	54.139
LRFN3	172.6483	LRFN3	134.125
LRFN4	137.6338	LRFN4	85.2253
LRFN5	84.5734	LRFN5	179.8812
LRG1	157.5651	LRG1	70.5554
LRGUK	50.9057	LRGUK	11.1771
LRIG1	2806.8655	LRIG1	4972.4694
LRIG2	285.772	LRIG2	517.2896
LRIG3	590.6673	LRIG3	1494.5861
LRIT3	14.2751	LRIT3	12.2249
LRMP	193.3877	LRMP	173.2448
LRP10	3778.0621	LRP10	2829.2001
LRP11	1104.3027	LRP11	1001.7464
LRP12	584.2031	LRP12	680.0559
LRP1B	5.6562	LRP1B	52.3926
LRP1	9352.0975	LRP1	6399.2316
LRP2BP	66.2582	LRP2BP	83.1296
LRP2	1142.28	LRP2	3002.445
LRP3	388.9273	LRP3	299.2036
LRP4	184.4886	LRP4	452.9899
LRP5L	57.3699	LRP5L	52.0433
LRP5	783.7856	LRP5	1556.4094
LRP6	1552.488	LRP6	3047.1533
LRP8	99.1179	LRP8	78.5889
LRPAP1	722.6449	LRPAP1	394.3416
LRPPRC	5925.5269	LRPPRC	6641.9839
LRRC10B	51.4443	LRRC10B	13.6221
LRRC14B	5.1175	removed	removed
LRRC14	620.5804	LRRC14	495.11
LRRC15	4115.2784	LRRC15	96.0531
LRRC16A	1500.505	LRRC16A	827.4537
LRRC16B	5.3868	LRRC16B	6.9857
LRRC17	928.153	LRRC17	216.2068
LRRC1	1766.8844	LRRC1	1000
LRRC20	158.9119	LRRC20	104.7852
LRRC23	83.7654	LRRC23	77.8903
removed	removed	LRRC24	6.811
LRRC25	101.8113	LRRC25	48.8998
LRRC26	23.7021	LRRC26	16.7656
LRRC27	182.8833	LRRC27	185.1205
LRRC28	190.1555	LRRC28	243.8002
LRRC29	23.7021	LRRC29	34.5791
LRRC2	25.8568	LRRC2	133.0772
LRRC32	1710.8612	LRRC32	641.6346
LRRC33	150.2929	LRRC33	98.4981
LRRC34	49.8283	LRRC34	128.8858
removed	removed	LRRC36	5.2393
LRRC37A2	364.9936	LRRC37A2	437.1114
LRRC37A3	107.7369	LRRC37A3	127.8379
LRRC37A4	168.0695	LRRC37A4	489.2979
LRRC37A	659.8882	LRRC37A	1076.1439
LRRC37B2	472.4261	LRRC37B2	715.6829
LRRC37B	192.0409	LRRC37B	301.7813
LRRC39	5.1983	LRRC39	6.9403
removed	removed	LRRC3B	130.9815
LRRC3	66.7968	LRRC3	55.5362
LRRC40	482.9304	LRRC40	561.9979
LRRC41	2044.5761	LRRC41	1602.8641
LRRC42	620.5643	LRRC42	564.0936
removed	removed	LRRC43	7.335
LRRC45	98.5792	LRRC45	59.7276
LRRC46	47.1349	LRRC46	13.2728
LRRC47	793.2126	LRRC47	898.3584
LRRC48	17.2379	LRRC48	71.2539
LRRC49	139.5192	LRRC49	194.9005
LRRC4B	11.8511	LRRC4B	12.5742
LRRC4C	298.4311	LRRC4C	127.4886
LRRC4	49.559	LRRC4	23.0527
LRRC50	5.1175	LRRC50	8.3828
LRRC55	60.0633	LRRC55	34.9284
LRRC56	45.2495	LRRC56	16.4163
LRRC57	377.887	LRRC57	462.452
LRRC58	2370.4801	LRRC58	2821.1666
LRRC59	2804.832	LRRC59	1893.4265
LRRC61	417.211	LRRC61	136.2207
removed	removed	LRRC66	10.8278
LRRC69	5.9255	removed	removed
LRRC6	256.6831	LRRC6	98.1488
LRRC70	85.6266	LRRC70	337.7227
LRRC8A	1794.3573	LRRC8A	1407.9637
LRRC8B	838.4621	LRRC8B	914.4254
LRRC8C	760.8915	LRRC8C	1174.642
LRRC8D	803.7169	LRRC8D	1305.2742
LRRC8E	417.211	LRRC8E	285.365
LRRCC1	848.6971	LRRCC1	717.4293
LRRFIP1	3972.7964	LRRFIP1	2156.4792
LRRFIP2	694.6334	LRRFIP2	857.8414
LRRIQ1	128.4762	LRRIQ1	38.4212
removed	removed	LRRIQ3	12.9235
LRRK1	597.4008	LRRK1	427.1743
LRRK2	599.8249	LRRK2	670.6252
LRRN1	1018.6519	LRRN1	1725.1135
LRRN2	309.7435	LRRN2	148.4457
LRRN3	92.923	LRRN3	44.7083
LRRN4CL	61.9487	LRRN4CL	160.3213
LRRTM2	50.9057	LRRTM2	87.321
LRSAM1	895.8319	LRSAM1	253.9294
LRTM2	11.3124	removed	removed
LRTOMT	343.6105	LRTOMT	262.3786
LRWD1	147.0608	LRWD1	63.919
LSAMP	109.6222	LSAMP	14.6699
LSG1	1313.8509	LSG1	844.9179
LSM10	283.3479	LSM10	171.4984
LSM11	308.3967	LSM11	432.4136
LSM12	1173.5237	LSM12	1036.3255
LSM14A	3072.9244	LSM14A	4228.781
LSM14B	1903.9795	LSM14B	541.7394
LSM1	465.6925	LSM1	341.2504
LSM2	823.1096	LSM2	606.7063
LSM3	610.5986	LSM3	648.6203
LSM4	1122.3487	LSM4	442.5428
LSM5	656.9255	LSM5	736.2906
LSM6	163.4907	LSM6	231.226
LSM7	297.3537	LSM7	121.2015
LSMD1	217.8978	LSMD1	122.5987
LSP1	943.5055	LSP1	461.7534
LSR	1243.5526	LSR	524.2752
LSS	716.4501	LSS	522.5288
LST1	127.6682	LST1	43.3112
LTA4H	2398.4917	LTA4H	4033.5313
LTA	57.9086	LTA	12.2249
LTB4R2	19.3576	LTB4R2	41.8687
LTB4R	74.4435	LTB4R	228.7985
LTBP1	3224.0253	LTBP1	825.358
LTBP2	6658.6762	LTBP2	5251.4845
LTBP3	1455.4037	LTBP3	1000.9396
LTBP4	457.0736	LTBP4	1045.4069
LTBR	1540.0983	LTBR	1063.919
LTB	66.7968	removed	removed
LTC4S	13.3836	LTC4S	18.6937
LTF	1344.2866	LTF	14517.9881
LTK	5.6562	LTK	7.6842
LTV1	629.7219	LTV1	910.9326
LUC7L2	2156.3531	LUC7L2	2375.8295
LUC7L3	1827.4864	LUC7L3	4470.4855
LUC7L	353.6462	LUC7L	633.9504
LUM	20621.103	LUM	8626.2662
LUZP1	1926.6043	LUZP1	2318.8963
LUZP2	35.8225	LUZP2	135.5222
LUZP6	5218.7731	LUZP6	5141.46
LXN	319.1704	LXN	402.3751
removed	removed	LY6D	134.4743
LY6E	3723.9243	LY6E	1731.0513
LY6G5B	26.9531	LY6G5B	116.2522
LY6G5C	15.0832	LY6G5C	37.7227
LY6G6C	7.0029	LY6G6C	6.9857
LY6K	260.4538	LY6K	142.1586
LY75	1139.6512	LY75	3442.941
LY86	148.4075	LY86	114.2159
LY96	144.6367	LY96	99.1966
LY9	181.8059	LY9	121.9001
LYAR	216.0124	LYAR	330.7719
LYG1	9.6963	LYG1	18.1628
LYL1	36.0918	LYL1	18.1628
LYNX1	55.7538	LYNX1	230.1781
LYN	808.8344	LYN	956.3395
LYPD1	43.3318	removed	removed
LYPD3	805.8717	LYPD3	290.9535
LYPD5	62.7567	LYPD5	109.3259
LYPD6B	278.4998	LYPD6B	108.9766
LYPD6	315.9383	LYPD6	433.4614
LYPLA1	2693.6907	LYPLA1	1717.08
LYPLA2P1	64.6421	LYPLA2P1	26.1963
LYPLA2	1260.5212	LYPLA2	443.9399
LYPLAL1	312.7062	LYPLAL1	450.9256
LYRM1	554.5754	LYRM1	816.2766
LYRM2	1609.2708	LYRM2	1356.1334
LYRM4	319.4398	LYRM4	350.3318
LYRM5	233.5196	LYRM5	567.2372
LYRM7	317.5544	LYRM7	891.3727
LYSMD1	218.7058	LYSMD1	201.1876
LYSMD2	155.1411	LYSMD2	245.1973
LYSMD3	594.7074	LYSMD3	1154.0342
LYSMD4	89.5509	LYSMD4	210.8313
LYST	1582.9237	LYST	1724.4149
LYVE1	96.1551	LYVE1	1649.3189
LYZ	4156.7571	LYZ	456.5141
LZIC	550.5353	LZIC	524.2752
LZTFL1	675.5101	LZTFL1	1356.6189
LZTR1	736.982	LZTR1	431.0164
LZTS1	359.3024	LZTS1	824.3102
LZTS2	896.3706	LZTS2	639.8882
M6PR	3516.6171	M6PR	3092.8187
MAB21L1	45.2495	MAB21L1	172.8956
MACC1	1036.1592	MACC1	855.0472
MACF1	8714.834	MACF1	8480.6147
MACROD1	58.1779	MACROD1	55.8854
MACROD2	78.3786	MACROD2	271.0444
MAD1L1	172.379	MAD1L1	92.211
MAD2L1BP	434.9875	MAD2L1BP	307.7192
MAD2L1	574.5068	MAD2L1	225.9867
MAD2L2	531.6814	MAD2L2	157.1778
MADD	1421.3184	MADD	1292.0014
MAEA	904.9896	MAEA	795.6689
MAF1	1537.6742	MAF1	1012.9235
MAFB	2398.761	MAFB	772.6161
MAFF	205.7774	MAFF	1041.2155
MAFG	395.9329	MAFG	572.4764
MAFK	157.3174	MAFK	316.2347
MAF	1059.3226	MAF	1617.8833
removed	removed	MAGEB4	8.3828
MAGED1	3820.8875	MAGED1	2212.3647
MAGED2	9354.2522	MAGED2	3029.6891
MAGED4B	174.4125	MAGED4B	248.9976
MAGED4	60.9925	MAGED4	84.5686
MAGEE1	173.7257	MAGEE1	187.9148
MAGEF1	613.8307	MAGEF1	592.0363
MAGEH1	310.2821	MAGEH1	325.1834
MAGEL2	42.8254	MAGEL2	14.3206
MAGI1	673.3553	MAGI1	1826.4059
MAGI2	107.7369	MAGI2	393.9923
MAGI3	2195.9464	MAGI3	931.8896
MAGIX	12.6591	MAGIX	13.6221
MAGOHB	284.4253	MAGOHB	324.4848
MAGOH	365.7666	MAGOH	365.351
MAGT1	3689.7179	MAGT1	3472.5812
MAK16	564.4845	MAK16	855.9623
MAK	28.5503	MAK	48.5505
MAL2	8159.7199	MAL2	3378.2745
MALAT1	8737.2029	MALAT1	13633.2483
MALL	466.2312	MALL	505.0646
MALT1	871.8605	MALT1	1294.0971
MAL	46.8655	MAL	5.2393
MAMDC2	309.4553	MAMDC2	1306.2103
MAMDC4	9.9657	MAMDC4	28.6413
MAML1	1588.6634	MAML1	1788.5016
MAML2	568.8506	MAML2	2843.8701
MAML3	373.3082	MAML3	859.9371
MAMLD1	109.6222	MAMLD1	156.1299
MAMSTR	27.2036	MAMSTR	16.4163
MAN1A1	2485.2199	MAN1A1	1979.3922
MAN1A2	1279.6445	MAN1A2	1440.4471
MAN1B1	1079.2539	MAN1B1	705.5536
MAN1C1	293.5829	MAN1C1	193.154
MAN2A1	1495.1182	MAN2A1	1179.532
MAN2A2	1112.1137	MAN2A2	1368.8439
MAN2B1	3387.7853	MAN2B1	680.7545
MAN2B2	1337.553	MAN2B2	827.4537
MAN2C1	415.3256	MAN2C1	670.9745
MANBAL	961.2821	MANBAL	761.439
MANBA	1262.9453	MANBA	975.2008
MANEAL	463.8072	MANEAL	275.9343
MANEA	536.7989	MANEA	948.306
MANF	820.4161	MANF	447.782
MANSC1	893.1385	MANSC1	1098.8474
MAOA	116.8945	MAOA	2009.78
MAOB	8094.5391	MAOB	1709.0465
MAP1A	787.2871	MAP1A	498.7775
MAP1B	1777.1194	MAP1B	2325.8819
MAP1D	67.3355	MAP1D	99.1966
MAP1LC3A	112.0463	MAP1LC3A	73.6989
MAP1LC3B2	207.1241	MAP1LC3B2	221.446
MAP1LC3B	1590.4653	MAP1LC3B	2318.547
MAP1LC3C	18.0459	MAP1LC3C	30.3877
MAP1S	325.6346	MAP1S	311.212
MAP2K1	983.4031	MAP2K1	769.9371
MAP2K2	833.6139	MAP2K2	567.9357
MAP2K3	563.4637	MAP2K3	1059.7276
MAP2K4	897.448	MAP2K4	1316.102
MAP2K5	338.0244	MAP2K5	480.2655
MAP2K6	124.9747	MAP2K6	367.4467
MAP2K7	453.8415	MAP2K7	521.481
MAP2	234.8663	MAP2	792.8746
MAP3K10	77.0318	MAP3K10	47.8519
MAP3K11	817.184	MAP3K11	567.9357
MAP3K12	218.1698	MAP3K12	135.4174
MAP3K13	61.9137	MAP3K13	58.2326
MAP3K14	480.7757	MAP3K14	750.262
removed	removed	MAP3K15	9.1443
MAP3K1	3906.8076	MAP3K1	4453.3706
MAP3K2	1200.4579	MAP3K2	1179.532
MAP3K3	769.3462	MAP3K3	895.8715
MAP3K4	975.8265	MAP3K4	1298.2885
MAP3K5	594.9768	MAP3K5	1031.0863
MAP3K6	436.8729	MAP3K6	315.7527
MAP3K7	866.4736	MAP3K7	1149.8428
MAP3K8	168.6082	MAP3K8	254.628
MAP3K9	106.3901	MAP3K9	162.417
MAP4K1	213.5883	MAP4K1	69.1582
MAP4K2	312.9756	MAP4K2	190.3598
MAP4K3	1180.5266	MAP4K3	1518.3374
MAP4K4	3572.2847	MAP4K4	2716.7307
MAP4K5	1802.1682	MAP4K5	2411.8058
MAP4	6563.8678	MAP4	4203.2833
MAP6D1	102.0807	MAP6D1	44.0098
MAP6	71.1063	MAP6	148.795
MAP7D1	968.0156	MAP7D1	553.2658
removed	removed	MAP7D2	20.2585
MAP7D3	192.3103	MAP7D3	364.6525
MAP7	559.9623	MAP7	1103.3881
MAP9	933.2705	MAP9	900.1048
MAPK10	295.7377	MAPK10	226.6853
MAPK11	83.4961	MAPK11	63.5697
MAPK12	38.2762	MAPK12	29.0884
MAPK13	1153.8617	MAPK13	402.3751
MAPK14	2043.7681	MAPK14	1753.0562
MAPK15	10.235	MAPK15	20.2585
MAPK1IP1L	1724.059	MAPK1IP1L	3586.0985
MAPK1	4966.3996	MAPK1	4927.6982
MAPK3	1373.3755	MAPK3	1185.8191
MAPK4	5.6562	MAPK4	130.6322
MAPK6	1713.824	MAPK6	1775.7597
MAPK7	236.5255	MAPK7	286.0915
MAPK8IP1	222.7459	MAPK8IP1	235.0681
MAPK8IP2	146.2528	MAPK8IP2	47.1533
MAPK8IP3	406.4373	MAPK8IP3	407.6144
MAPK8	414.7869	MAPK8	485.854
MAPK9	1052.0504	MAPK9	1285.7143
MAPKAP1	2606.1545	MAPKAP1	1389.1023
MAPKAPK2	3251.2289	MAPKAPK2	1748.5155
MAPKAPK3	1032.6577	MAPKAPK3	496.6818
MAPKAPK5	659.6189	MAPKAPK5	569.2001
MAPKBP1	660.4269	MAPKBP1	774.7118
MAPKSP1	1307.1174	MAPKSP1	1681.453
MAPRE1	3454.8515	MAPRE1	3495.2847
MAPRE2	867.0123	MAPRE2	1136.9193
MAPRE3	200.6599	MAPRE3	273.4893
MAPT	1724.3283	MAPT	1316.4513
MARCH1	142.482	MARCH1	72.3018
MARCH2	444.1452	MARCH2	227.3839
MARCH3	59.794	MARCH3	67.4118
MARCH5	1495.1182	MARCH5	1899.4062
MARCH6	2811.3932	MARCH6	3919.3154
MARCH7	3026.0589	MARCH7	4535.4523
MARCH8	600.633	MARCH8	623.1226
MARCH9	284.1559	MARCH9	160.3213
MARCKSL1	7783.1796	MARCKSL1	2478.519
MARCKS	4298.4311	MARCKS	6023.0527
removed	removed	MARCO	8.0335
MARK1	106.1208	MARK1	340.2026
MARK2	1729.9845	MARK2	1179.8812
MARK3	985.2535	MARK3	1409.7101
MARK4	522.7931	MARK4	366.3989
MARS2	244.832	MARS2	360.1118
MARS	2142.253	MARS	1011.956
MARVELD1	1233.156	MARVELD1	1244.167
MARVELD2	537.6069	MARVELD2	461.7534
MARVELD3	184.8495	MARVELD3	141.8337
MAS1L	5.3868	removed	removed
MASP1	28.0116	MASP1	28.6413
MASP2	24.7795	MASP2	128.5365
MAST1	14.5445	MAST1	9.4307
MAST2	1251.6329	MAST2	833.0423
MAST3	312.4369	MAST3	277.3315
MAST4	549.7273	MAST4	1098.4981
MASTL	682.513	MASTL	473.6291
removed	removed	MAT1A	14.6699
MAT2A	3610.8006	MAT2A	6832.3437
MAT2B	1540.0983	MAT2B	2470.4855
MATK	35.5532	MATK	13.2728
MATN2	676.0488	MATN2	4484.4569
MATN3	290.6202	MATN3	56.9333
MATR3	9234.5701	MATR3	12052.0084
MAVS	2205.6427	MAVS	3249.3888
MAX	1635.7148	MAX	1487.2511
MAZ	2650.7414	MAZ	1171.4879
MBD1	795.098	MBD1	795.6689
MBD2	1986.3982	MBD2	1449.8778
MBD3	644.8051	MBD3	276.9822
MBD4	1095.4145	MBD4	1052.7419
MBD5	654.232	MBD5	577.3664
MBD6	1171.9076	MBD6	1380.7195
MBIP	301.6632	MBIP	683.1994
MBLAC1	8.3496	MBLAC1	9.4307
MBLAC2	208.2015	MBLAC2	625.5676
MBNL1	3900.9306	MBNL1	6630.0244
MBNL2	1611.2046	MBNL2	4419.49
MBNL3	133.863	MBNL3	216.5561
MBOAT1	4079.7253	MBOAT1	615.0891
MBOAT2	816.6453	MBOAT2	484.8061
MBOAT7	1685.8124	MBOAT7	485.5047
MBP	564.5411	MBP	1475.0262
MBTD1	1012.9958	MBTD1	1797.7646
MBTPS1	3013.6691	MBTPS1	3401.6766
MBTPS2	896.9766	MBTPS2	1053.8456
MB	160.7973	MB	73.3496
MC1R	52.3035	MC1R	29.022
MCAM	1319.5071	MCAM	1608.802
MCART1	306.7807	MCART1	260.9151
MCART2	11.043	MCART2	9.78
MCART6	44.4415	MCART6	24.4499
MCAT	333.4456	MCAT	186.5176
MCCC1	316.477	MCCC1	835.8365
MCCC2	6065.0461	MCCC2	2567.2372
MCCD1	9.1576	removed	removed
MCC	808.5651	MCC	1985.3301
MCEE	142.2126	MCEE	194.5512
MCF2L2	9.6963	MCF2L2	13.8282
MCF2L	654.232	MCF2L	547.6773
MCFD2	2882.2302	MCFD2	4922.8082
MCHR1	9.6344	removed	removed
MCL1	11759.2081	MCL1	16210.6182
MCM10	390.0074	MCM10	43.3112
MCM2	1301.1918	MCM2	548.7251
MCM3APAS	33.964	MCM3APAS	85.1135
MCM3AP	2559.8007	MCM3AP	2058.0929
MCM3	3976.2979	MCM3	1404.8201
MCM4	2952.5284	MCM4	1155.7806
MCM5	647.7678	MCM5	461.7534
MCM6	1785.7383	MCM6	930.1432
MCM7	1332.0342	MCM7	1129.504
MCM8	408.0533	MCM8	357.6668
MCM9	92.923	MCM9	195.599
MCOLN1	318.6317	MCOLN1	237.5131
MCOLN2	75.1465	MCOLN2	33.5313
MCOLN3	33.1291	MCOLN3	151.9385
MCPH1	614.997	MCPH1	929.3329
MCRS1	697.0574	MCRS1	407.6144
MCTP1	292.7749	MCTP1	293.7478
MCTP2	135.7484	MCTP2	651.7639
MCTS1	847.6197	MCTS1	1121.5508
MDC1	1996.0945	MDC1	1179.1827
MDFIC	1181.8733	MDFIC	1906.3919
MDFI	369.5374	MDFI	91.1631
MDGA1	165.9148	MDGA1	85.5746
MDH1B	49.0203	MDH1B	44.7083
MDH1	2423.2712	MDH1	2403.7723
MDH2	2826.4763	MDH2	2125.3929
MDK	2679.9542	MDK	798.4632
MDM1	267.4567	MDM1	446.0356
MDM2	2061.006	MDM2	2457.2127
MDM4	969.901	MDM4	1806.846
MDN1	1756.38	MDN1	3104.4359
MDP1	127.8379	MDP1	139.2875
ME1	99.6566	ME1	204.3311
ME2	880.7488	ME2	833.0423
ME3	77.0318	ME3	345.0926
MEA1	757.6594	MEA1	372.686
MEAF6	1954.8852	MEAF6	1621.7255
MECOM	400.5118	MECOM	579.1128
MECP2	1706.2824	MECP2	2003.4928
MECR	222.7459	MECR	266.853
MED10	297.3537	MED10	302.4799
MED11	107.4675	MED11	127.8379
MED12L	10.7737	MED12L	20.6078
MED12	1740.2195	MED12	1577.7157
MED13L	5559.4909	MED13L	6995.11
MED13	3932.9338	MED13	3915.8226
MED14	2398.4917	MED14	1803.3531
MED15	1342.9399	MED15	977.6458
MED16	857.5853	MED16	478.8683
MED17	702.983	MED17	1194.2019
MED18	304.8953	MED18	208.1732
MED19	283.0786	MED19	153.6849
MED1	3240.7245	MED1	2699.2665
MED20	684.937	MED20	529.1652
MED21	636.4555	MED21	1020.957
MED22	933.0011	MED22	433.8107
MED23	1247.8621	MED23	1982.1865
MED24	1786.8157	MED24	1386.6574
MED25	575.3148	MED25	325.2637
MED26	154.0637	MED26	219.3503
MED27	256.4137	MED27	190.0105
MED28	800.2155	MED28	914.0761
MED29	1122.8873	MED29	1024.1006
MED30	177.7658	MED30	218.3025
MED31	111.54	MED31	182.5288
MED4	751.4645	MED4	1115.2637
MED6	344.7579	MED6	485.1554
MED7	193.9263	MED7	314.7049
MED8	602.7877	MED8	454.0692
MED9	237.8291	MED9	352.7768
MEF2A	1605.9578	MEF2A	2767.1638
removed	removed	MEF2B	14.4848
MEF2C	759.0061	MEF2C	1508.2082
MEF2D	1344.0172	MEF2D	1501.9211
MEFV	12.6591	removed	removed
MEG3	43.9028	MEG3	275.9343
MEGF10	85.3815	MEGF10	141.1107
MEGF11	11.043	MEGF11	5.2393
MEGF6	458.6897	MEGF6	209.9197
MEGF8	494.5122	MEGF8	471.1841
MEGF9	2432.4288	MEGF9	1868.6692
MEI1	58.9859	MEI1	97.4502
MEIS1	164.0294	MEIS1	366.7482
MEIS2	225.4394	MEIS2	729.3049
MEIS3P1	389.4687	MEIS3P1	784.4918
MEIS3	303.0099	MEIS3	59.7276
MELK	387.5833	MELK	53.0912
MEMO1	436.7383	MEMO1	345.7422
MEN1	956.4339	MEN1	539.6437
MEOX1	167.5308	MEOX1	185.8191
MEOX2	139.5192	MEOX2	369.1932
MEPCE	890.7144	MEPCE	1123.6465
MERTK	193.3877	MERTK	709.0465
MESDC1	442.5291	MESDC1	316.4513
MESDC2	1123.426	MESDC2	1042.9619
MESP1	51.7137	MESP1	40.5169
MESP2	8.8883	removed	removed
removed	removed	MESTIT1	40.1677
MEST	925.9982	MEST	3733.4963
METAP1	1418.3557	METAP1	2206.7761
METAP2	1779.0048	METAP2	2634.649
METRNL	126.8601	METRNL	42.2634
METRN	132.247	METRN	18.8613
METT10D	781.9002	METT10D	1519.3853
METT11D1	512.5581	METT11D1	719.8743
METT5D1	412.0935	METT5D1	499.8254
METTL10	390.767	METTL10	576.1928
METTL11A	195.0872	METTL11A	77.0625
METTL12	47.7382	METTL12	51.0863
METTL13	823.6482	METTL13	574.9214
METTL14	488.0479	METTL14	650.716
METTL1	361.1878	METTL1	285.7143
METTL2A	498.8216	METTL2A	415.9972
METTL2B	414.2482	METTL2B	356.9682
METTL3	589.8027	METTL3	834.3102
METTL4	398.8957	METTL4	455.4663
METTL5	456.8824	METTL5	582.0224
METTL6	290.3508	METTL6	339.8533
METTL7A	1912.5985	METTL7A	3262.3123
METTL8	724.5303	METTL8	580.51
METTL9	3333.3782	METTL9	3930.8418
MET	906.6056	MET	2035.9762
MEX3A	2677.2608	MEX3A	334.9633
MEX3B	130.6309	MEX3B	108.9766
MEX3C	1794.3573	MEX3C	2470.1362
MEX3D	385.4286	MEX3D	264.0587
MFAP1	833.3446	MFAP1	648.271
MFAP2	1851.9965	MFAP2	126.4408
MFAP3L	957.2419	MFAP3L	1142.5079
MFAP3	2055.8885	MFAP3	1601.467
MFAP4	3884.7216	MFAP4	2448.8299
MFAP5	547.0339	MFAP5	269.9965
MFF	1057.9759	MFF	1438.3514
MFGE8	1989.361	MFGE8	8708.6972
MFHAS1	358.225	MFHAS1	265.1065
MFI2	45.7882	MFI2	138.3165
MFN1	1441.5191	MFN1	1570.73
MFN2	2322.5372	MFN2	2155.4314
MFNG	255.6057	MFNG	184.8236
MFRP	231.6342	MFRP	54.139
MFSD10	1047.4716	MFSD10	521.8302
MFSD11	582.5897	MFSD11	636.6993
