gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
ADAMTSL5	5.0014	ADAMTSL5	51.2048
ADAP1	60.3892	ADAP1	65.1355
ADAP2	230.0627	ADAP2	126.8825
ADARB1	937.9831	ADARB1	727.4096
removed	removed	ADARB2	16.5663
ADAR	10276.8937	ADAR	6114.0813
ADAT1	360.5529	ADAT1	619.3524
ADAT2	120.9421	ADAT2	144.9548
ADAT3	19.0961	ADAT3	36.1446
ADA	174.5931	ADA	63.6295
ADCK1	170.9557	ADCK1	221.009
ADCK2	3420.5056	ADCK2	660.0151
ADCK4	256.4336	ADCK4	501.1295
ADCK5	143.2209	ADCK5	119.3524
ADCY10	5.9107	ADCY10	182.9819
ADCY1	350.0955	ADCY1	211.5964
ADCY2	697.0083	ADCY2	176.2048
ADCY3	564.1857	ADCY3	1294.2357
ADCY4	193.6892	ADCY4	803.0873
ADCY5	19.0961	ADCY5	363.7048
ADCY6	1110.3028	ADCY6	3171.3102
ADCY7	563.7901	ADCY7	381.4006
ADCY9	554.2421	ADCY9	867.4699
removed	removed	ADCYAP1R1	54.9699
removed	removed	ADCYAP1	9.0361
ADC	172.3197	ADC	128.3886
ADD1	4578.9761	ADD1	5823.0422
ADD2	30.0082	ADD2	50.0753
ADD3	4360.2801	ADD3	12110.3163
removed	removed	ADH1A	229.1717
ADH1B	234.6094	ADH1B	16802.7033
ADH1C	6.3654	ADH1C	692.3946
removed	removed	ADH4	19.5783
ADH5	2174.2293	ADH5	2729.2922
removed	removed	ADH6	8.6596
ADHFE1	15.0041	ADHFE1	295.5572
ADI1	1253.5237	ADI1	2050.0753
ADIPOQ	40.4656	ADIPOQ	19312.5
ADIPOR1	3134.0366	ADIPOR1	2335.4669
ADIPOR2	4676.73	ADIPOR2	2574.1717
ADK	466.9455	ADK	375.753
ADM2	198.6906	ADM2	71.5361
ADM	24.0975	ADM	880.6476
ADNP2	332.818	ADNP2	727.4096
ADNP	5085.9325	ADNP	2304.5934
ADORA1	145.4942	ADORA1	301.2048
ADORA2A	90.9248	ADORA2A	54.5858
ADORA2B	50.0136	ADORA2B	50.0753
ADORA3	130.4901	ADORA3	58.7349
ADO	712.467	ADO	549.3223
ADPGK	716.9819	ADPGK	845.1017
ADPRHL1	58.6524	ADPRHL1	132.1536
ADPRHL2	641.9933	ADPRHL2	623.1175
ADPRH	180.5038	ADPRH	349.3976
removed	removed	ADRA1A	48.5693
ADRA1B	30.9175	ADRA1B	43.2982
ADRA2A	433.3	ADRA2A	1179.5934
ADRA2B	19.5508	ADRA2B	29.744
ADRA2C	88.2059	ADRA2C	42.5452
removed	removed	ADRB1	45.5572
ADRB2	34.1002	ADRB2	395.7078
removed	removed	ADRB3	7.5301
ADRBK1	1213.9674	ADRBK1	1494.3524
ADRBK2	685.1869	ADRBK2	1181.4759
ADRM1	1011.1849	ADRM1	1126.506
ADSL	691.5522	ADSL	661.1446
ADSSL1	126.3981	ADSSL1	134.7892
ADSS	3206.329	ADSS	1122.741
AEBP1	12564.7904	AEBP1	6867.4699
AEBP2	721.5604	AEBP2	733.8102
AEN	244.1575	AEN	541.4157
AES	6437.2101	AES	5642.3193
AFAP1L1	328.2713	AFAP1L1	601.6566
AFAP1L2	352.3688	AFAP1L2	772.2139
AFAP1	1973.2427	AFAP1	1195.7492
removed	removed	AFARP1	6.4006
AFF1	2417.9322	AFF1	3223.6446
AFF2	130.4901	AFF2	55.7229
