gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
NSF	1807.4671	NSF	906.14
NSL1	421.9215	NSL1	602.4903
NSMAF	1298.3703	NSMAF	805.1524
NSMCE1	816.2012	NSMCE1	772.1769
NSMCE2	500.2399	NSMCE2	275.483
NSMCE4A	494.8652	NSMCE4A	802.061
NSUN2	4262.5972	NSUN2	1270.5882
NSUN3	84.4611	NSUN3	153.5423
NSUN4	657.2608	NSUN4	576.7282
NSUN5P1	51.4445	NSUN5P1	111.6359
NSUN5P2	122.6221	NSUN5P2	364.6303
NSUN5	659.9482	NSUN5	322.5419
NSUN6	218.831	NSUN6	274.796
NSUN7	90.2198	NSUN7	295.7492
NT5C2	1642.0002	NT5C2	1583.8557
NT5C3L	1179.7677	NT5C3L	678.7462
NT5C3	449.9472	NT5C3	482.2671
NT5C	292.5425	NT5C	266.5522
NT5DC1	645.3594	NT5DC1	1048.6904
NT5DC2	1460.7314	NT5DC2	448.3538
NT5DC3	708.3213	NT5DC3	452.7265
NT5E	421.5376	NT5E	944.6114
NT5M	117.4777	NT5M	27.4796
NTAN1	1571.36	NTAN1	585.6591
removed	removed	NTF3	25.4186
NTF4	20.0825	NTF4	73.5835
NTHL1	277.9537	NTHL1	122.2842
NTM	363.9505	NTM	166.2516
NTN1	587.3884	NTN1	572.6063
NTN4	844.6108	NTN4	6884.6715
removed	removed	NTN5	18.2052
NTNG1	25.7222	NTNG1	9.9614
NTNG2	20.7314	NTNG2	6.5264
NTRK2	175.0648	NTRK2	5584.8862
NTRK3	10.3657	NTRK3	419.4075
NTS	40.6949	NTS	118.5058
NUAK1	403.1097	NUAK1	821.9837
NUAK2	119.0133	NUAK2	95.8351
NUB1	1882.626	NUB1	1894.942
NUBP1	618.1476	NUBP1	414.3821
NUBP2	806.9872	NUBP2	415.2855
NUBPL	140.8964	NUBPL	372.6921
NUCB1	8547.0775	NUCB1	4583.5981
NUCB2	1722.3726	NUCB2	2491.5792
NUCKS1	9083.4053	NUCKS1	10136.8828
NUDCD1	1295.3258	NUDCD1	431.0863
NUDCD2	200.787	NUDCD2	374.4096
NUDCD3	2115.7501	NUDCD3	2294.2035
NUDC	2352.625	NUDC	1661.1421
NUDT10	11.9013	NUDT10	46.7153
NUDT11	24.5705	NUDT11	58.3942
NUDT12	105.5764	NUDT12	636.4964
NUDT13	15.3566	NUDT13	68.3555
NUDT14	325.943	NUDT14	262.7737
NUDT15	543.9332	NUDT15	451.9227
NUDT16L1	593.915	NUDT16L1	356.5479
NUDT16P1	13.437	NUDT16P1	119.8798
NUDT16	400.8062	NUDT16	1000.2576
NUDT17	97.5142	NUDT17	40.8759
NUDT18	148.1908	NUDT18	100.3006
NUDT19	721.3744	NUDT19	412.5376
NUDT1	503.3113	NUDT1	120.5668
NUDT21	2147.9988	NUDT21	3314.3839
NUDT22	354.3334	NUDT22	168.3229
NUDT2	224.2058	NUDT2	487.4195
NUDT3	744.7932	NUDT3	393.6453
NUDT4	386.6014	NUDT4	1227.9948
NUDT5	2749.8416	NUDT5	414.152
NUDT6	40.86	NUDT6	62.2757
NUDT7	77.9345	NUDT7	143.5809
NUDT8	166.2348	NUDT8	48.7763
removed	removed	NUDT9P1	7.2134
NUDT9	436.1263	NUDT9	511.4641
NUF2	841.5395	NUF2	6.8699
NUFIP1	163.5474	NUFIP1	242.5075
NUFIP2	2141.0884	NUFIP2	2816.316
NUMA1	5466.9968	NUMA1	13170.8407
NUMBL	662.6356	NUMBL	243.1945
NUMB	1197.4278	NUMB	1865.1782
NUP107	1719.5508	NUP107	960.7557
NUP133	2118.8214	NUP133	1538.1709
NUP153	2367.9816	NUP153	1749.7638
NUP155	548.2292	NUP155	545.4702
NUP160	1594.3949	NUP160	1296.6939
NUP188	1517.6121	NUP188	1176.8141
NUP205	1809.0028	NUP205	1314.5556
NUP210	5371.3408	NUP210	804.4654
NUP214	1491.8898	NUP214	1551.9107
NUP35	319.8004	NUP35	306.3976
NUP37	571.264	NUP37	284.4139
NUP43	592.7632	NUP43	1020.1803
NUP50	1196.276	NUP50	1501.7604
NUP54	828.1025	NUP54	985.4873
NUP62CL	16.8922	NUP62CL	26.1056
NUP62	3335.4909	NUP62	1079.897
NUP85	1085.7088	NUP85	512.8381
NUP88	980.3359	NUP88	613.7295
NUP93	1842.4033	NUP93	665.6934
NUP98	2761.4934	NUP98	2928.6389
NUPL1	982.052	NUPL1	1146.5865
NUPL2	301.3725	NUPL2	354.1434
NUPR1	3221.0385	NUPR1	2131.7304
NUS1	1603.6088	NUS1	1399.0554
NUSAP1	2600.6335	NUSAP1	104.079
NUTF2	2534.2163	NUTF2	894.8046
NVL	885.6896	NVL	441.7347
NWD1	5.3748	NWD1	66.9815
NXF1	1662.7315	NXF1	1838.0421
removed	removed	NXNL2	16.1443
NXN	1311.4502	NXN	710.0043
removed	removed	NXPH2	12.7093
NXPH3	124.0042	NXPH3	238.3856
NXPH4	231.1162	NXPH4	8.2439
NXT1	371.2448	NXT1	211.9365
NXT2	360.4952	NXT2	476.4277
NYNRIN	1210.0969	NYNRIN	866.2945
OAF	427.2963	OAF	781.7948
OAS1	1335.2529	OAS1	1058.9953
OAS2	4390.0566	OAS2	3146.0713
OAS3	5790.9588	OAS3	3751.6531
OASL	980.1325	OASL	278.231
OAT	3605.7203	OAT	4168.3126
OAZ1	9750.2639	OAZ1	6023.5294
OAZ2	1758.71	OAZ2	1989.8669
OAZ3	244.3421	OAZ3	50.3186
OBFC1	325.5591	OBFC1	874.1949
OBFC2A	552.8362	OBFC2A	307.0846
OBFC2B	883.77	OBFC2B	436.5822
OBP2A	66.0332	OBP2A	7.5569
OBP2B	797.3894	OBP2B	76.9429
OBSCN	638.3722	OBSCN	1234.5865
OBSL1	1671.1777	OBSL1	1699.2701
removed	removed	OCA2	10.6483
OCEL1	138.9769	OCEL1	193.0442
OCIAD1	1603.9927	OCIAD1	2624.3023
OCIAD2	1171.7055	OCIAD2	593.903
OCLN	295.6138	OCLN	521.769
OCRL	1330.6459	OCRL	1081.3225
removed	removed	ODAM	23.0142
ODC1	1944.9083	ODC1	847.7458
ODF2L	570.1123	ODF2L	669.8154
ODF2	1486.515	ODF2	816.8313
ODF3B	208.0814	ODF3B	207.8145
removed	removed	ODZ1	52.5547
ODZ2	17.66	ODZ2	303.6496
ODZ3	114.4064	ODZ3	225.3328
ODZ4	203.4744	ODZ4	189.2658
OFD1	896.0553	OFD1	1133.8772
OGDH	1907.6687	OGDH	1969.6007
OGFOD1	992.0338	OGFOD1	800.687
OGFOD2	169.2331	OGFOD2	231.684
OGFRL1	917.5545	OGFRL1	838.128
OGFR	2100.9463	OGFR	755.3456
OGG1	233.8036	OGG1	315.4384
OGN	10.7496	OGN	2445.3413
OGT	1672.7133	OGT	5390.8115
OIP5	236.6484	OIP5	10.9815
OLA1	2638.257	OLA1	1476.6853
OLAH	5.7587	removed	removed
OLFM1	45.6858	OLFM1	452.383
OLFM2	221.1345	OLFM2	263.1172
OLFM3	9.5979	removed	removed
OLFM4	137.4412	OLFM4	208.158
OLFML1	187.35	OLFML1	546.8441
OLFML2A	897.207	OLFML2A	1452.2971
OLFML2B	992.0338	OLFML2B	426.6209
OLFML3	810.4425	OLFML3	1459.167
OLR1	380.8427	OLR1	95.8351
OMA1	220.3666	OMA1	413.5681
OMD	18.4279	OMD	407.3851
ONECUT2	11.5174	removed	removed
OPA1	2262.4052	OPA1	1770.717
OPA3	765.1406	OPA3	484.6715
OPCML	6.9105	OPCML	36.754
OPHN1	283.3285	OPHN1	547.1876
OPLAH	727.517	OPLAH	203.6926
OPN3	1789.8455	OPN3	418.9884
OPRK1	14.2048	removed	removed
OPRL1	53.364	OPRL1	79.0039
OPTN	6372.5885	OPTN	2497.2091
OR1F1	22.267	removed	removed
removed	removed	OR2A1	10.9918
OR2A4	34.9362	OR2A4	94.4611
OR2A7	234.1875	OR2A7	296.0927
OR2A9P	140.8964	OR2A9P	365.4787
OR2B6	29.5614	removed	removed
removed	removed	OR2W3	9.24
OR51E1	19.5796	OR51E1	35.7235
removed	removed	OR51E2	11.3353
removed	removed	OR52N4	7.2134
removed	removed	OR5K2	5.8394
removed	removed	OR7A5	6.5264
OR7E91P	22.6509	removed	removed
ORAI1	762.4532	ORAI1	265.1782
ORAI2	838.2532	ORAI2	543.1481
ORAI3	458.7772	ORAI3	417.3465
ORAOV1	267.2041	ORAOV1	312.237
ORC1L	368.9414	ORC1L	30.9146
ORC2L	568.1927	ORC2L	564.3624
ORC3L	614.2624	ORC3L	699.6994
ORC4L	383.5301	ORC4L	630.3134
ORC5L	360.1113	ORC5L	366.1657
ORC6L	229.9645	ORC6L	20.9532
removed	removed	ORM1	5.4959
removed	removed	ORM2	11.3353
ORMDL1	725.2136	ORMDL1	797.252
ORMDL2	545.2078	ORMDL2	312.8965
ORMDL3	1193.9726	ORMDL3	2551.8248
OS9	7301.2765	OS9	7140.2319
OSBP2	83.3093	OSBP2	130.8716
OSBPL10	493.3295	OSBPL10	472.3057
OSBPL11	490.6421	OSBPL11	527.2649
OSBPL1A	1329.1103	OSBPL1A	2572.778
OSBPL2	1083.4053	OSBPL2	1202.2327
OSBPL3	719.8388	OSBPL3	357.2349
OSBPL5	685.6704	OSBPL5	600.4294
OSBPL6	122.8525	OSBPL6	96.8656
OSBPL7	130.1468	OSBPL7	253.1559
OSBPL8	1270.3714	OSBPL8	2605.0666
OSBPL9	2962.6644	OSBPL9	2977.4152
OSBP	2379.499	OSBP	2443.6239
OSCAR	172.7613	OSCAR	32.632
OSCP1	71.0241	OSCP1	232.8897
OSGEPL1	113.6385	OSGEPL1	234.2636
OSGEP	301.7564	OSGEP	377.1576
OSGIN1	135.5216	OSGIN1	117.4753
OSGIN2	711.0087	OSGIN2	798.9695
OSMR	971.6863	OSMR	1288.1065
OSM	77.9345	OSM	11.6788
OSR1	433.8228	OSR1	259.3388
OSR2	1149.8224	OSR2	145.9854
OST4	2633.247	OST4	1279.4504
removed	removed	OSTCL	6.1829
OSTC	1825.5111	OSTC	1125.6333
OSTF1	1015.8365	OSTF1	675.6548
OSTM1	489.4904	OSTM1	764.9635
OSTalpha	7.2944	OSTalpha	11.6788
removed	removed	OTC	5.4959
OTOA	8.4461	OTOA	17.8617
OTOF	6.9105	OTOF	5.1524
OTUB1	1971.7823	OTUB1	1142.8081
OTUB2	104.0407	OTUB2	62.5161
OTUD1	205.0101	OTUD1	739.2014
OTUD3	353.9687	OTUD3	497.0374
OTUD4	1059.6026	OTUD4	1414.5127
OTUD5	1496.8807	OTUD5	1199.1413
OTUD6B	395.0475	OTUD6B	266.5522
OTUD7A	10.7496	OTUD7A	20.2662
OTUD7B	2403.3017	OTUD7B	1578.7033
OTX1	110.1833	removed	removed
OVCA2	612.3467	OVCA2	336.2885
removed	removed	OVCH2	13.7398
OVGP1	19.9635	OVGP1	59.7681
OVOL1	141.2804	OVOL1	199.5706
OVOL2	228.0449	OVOL2	250.4079
OXA1L	1452.7306	OXA1L	1984.7145
OXCT1	497.9365	OXCT1	907.1705
OXCT2	6.5265	removed	removed
OXER1	27.6418	OXER1	28.8536
OXGR1	23.4188	OXGR1	29.8841
OXNAD1	176.6004	OXNAD1	234.2636
OXR1	1157.1168	OXR1	1590.3821
OXSM	174.297	OXSM	176.213
OXSR1	1652.3659	OXSR1	1308.0292
OXTR	68.3367	OXTR	2341.6058
P2RX1	86.3807	P2RX1	32.632
P2RX2	8.0622	P2RX2	10.3049
P2RX4	803.532	P2RX4	616.5736
P2RX5	54.2202	P2RX5	29.4856
removed	removed	P2RX6	7.5569
P2RX7	101.3533	P2RX7	125.7192
P2RY10	47.9893	P2RY10	28.8536
P2RY11	95.2337	P2RY11	39.0107
removed	removed	P2RY12	90.6827
P2RY13	41.8466	P2RY13	142.8939
P2RY14	27.6418	P2RY14	71.1035
P2RY1	26.4901	P2RY1	35.38
P2RY2	355.5044	P2RY2	154.9163
P2RY6	248.3924	P2RY6	52.8982
P2RY8	186.5822	P2RY8	125.7192
P4HA1	2352.2411	P4HA1	885.1868
P4HA2	2155.2932	P4HA2	593.903
P4HA3	240.3302	P4HA3	39.1584
P4HB	55614.5503	P4HB	9538.8579
P4HTM	226.1253	P4HTM	394.3323
P704P	22.6509	P704P	17.1748
PA2G4P4	51.4445	PA2G4P4	39.1584
PA2G4	3814.5695	PA2G4	2583.0829
PAAF1	418.0823	PAAF1	429.3688
PABPC1L	82.9254	PABPC1L	297.4667
PABPC1	46390.6325	PABPC1	19879.0897
PABPC3	391.9762	PABPC3	271.7046
PABPC4L	81.0059	PABPC4L	70.073
PABPC4	4223.4379	PABPC4	2180.5067
removed	removed	PABPC5	39.1584
PABPN1	2062.2862	PABPN1	2256.9927
PACRGL	122.4686	PACRGL	272.7351
removed	removed	PACRG	37.0975
PACS1	3111.623	PACS1	2195.2769
PACS2	1523.7547	PACS2	1009.1885
PACSIN1	10.7496	PACSIN1	23.7012
PACSIN2	830.7899	PACSIN2	1416.5736
PACSIN3	1256.1666	PACSIN3	431.4298
PADI2	1340.6277	PADI2	2089.137
PADI3	13.8209	removed	removed
removed	removed	PAEP	5.1524
PAF1	2437.0861	PAF1	1359.21
PAFAH1B1	3044.0541	PAFAH1B1	4208.845
PAFAH1B2	674.5369	PAFAH1B2	575.6977
PAFAH1B3	1517.9422	PAFAH1B3	253.2005
PAFAH2	248.7763	PAFAH2	522.7995
PAG1	262.2133	PAG1	260.3693
removed	removed	PAH	8.5874
PAICS	3012.9571	PAICS	1753.8858
PAIP1	614.6463	PAIP1	1102.2757
PAIP2B	133.6021	PAIP2B	377.1576
PAIP2	1809.7706	PAIP2	2170.2018
PAK1IP1	755.9267	PAK1IP1	295.4058
PAK1	1731.8361	PAK1	1189.8669
PAK2	3906.7089	PAK2	2649.0339
PAK3	6.9105	PAK3	79.6909
PAK4	2783.7604	PAK4	970.3736
PAK6	176.3586	PAK6	224.292
removed	removed	PAK7	85.8738
PALB2	484.4995	PALB2	365.1353
PALLD	2146.8471	PALLD	7060.1975
PALM2-AKAP2	853.3525	PALM2-AKAP2	2518.3306
PALM2	67.0851	PALM2	27.3113
PALM3	13.8209	PALM3	95.4916
PALMD	512.1413	PALMD	2009.7896
PALM	147.0391	PALM	746.0713
PAMR1	66.0332	PAMR1	1181.623
PAM	6359.1516	PAM	3621.1249
PAN2	187.35	PAN2	1105.7106
PAN3	530.9531	PAN3	1742.8939
PANK1	90.6037	PANK1	61.8291
PANK2	351.6652	PANK2	520.7385
PANK3	329.0143	PANK3	839.1584
PANK4	223.8219	PANK4	288.1924
PANX1	653.0377	PANX1	381.623
PANX2	69.1045	PANX2	44.3109
PAOX	62.1941	PAOX	90.3392
PAPD4	485.6512	PAPD4	1583.1687
PAPD5	344.7548	PAPD5	429.0253
PAPD7	2292.7344	PAPD7	732.3315
PAPLN	107.112	PAPLN	409.7896
PAPL	136.2895	removed	removed
PAPOLA	3691.7171	PAPOLA	3974.5814
PAPOLG	302.1403	PAPOLG	468.5273
removed	removed	PAPPA2	55.3027
PAPPA	249.1602	PAPPA	121.5973
PAPSS1	1877.3395	PAPSS1	2747.9605
PAPSS2	249.1602	PAPSS2	422.8424
PAQR3	176.2204	PAQR3	333.2074
PAQR4	2319.4932	PAQR4	150.4405
PAQR5	103.6568	PAQR5	119.8798
PAQR6	26.1062	PAQR6	32.9755
PAQR7	363.1826	PAQR7	429.3688
PAQR8	380.4588	PAQR8	284.0704
PAR-SN	33.0166	PAR-SN	211.6823
removed	removed	PAR5	78.3169
PARD3B	41.8466	PARD3B	173.465
PARD3	952.8746	PARD3	1060.7128
PARD6A	66.0332	PARD6A	53.2417
PARD6B	121.7007	PARD6B	517.9906
PARD6G	114.0225	PARD6G	446.8871
PARG	392.3601	PARG	482.6106
PARK2	8.0622	PARK2	154.2293
PARK7	2891.6403	PARK7	3169.7724
PARL	1374.796	PARL	873.8514
PARM1	476.0534	PARM1	1140.4036
PARN	1974.0858	PARN	944.2679
PARP10	2969.5748	PARP10	1097.4667
PARP11	157.0208	PARP11	491.1979
PARP12	1441.981	PARP12	839.1584
PARP14	3940.8772	PARP14	3791.4985
PARP15	15.3566	PARP15	33.6625
PARP16	307.5151	PARP16	365.8222
PARP1	8438.0459	PARP1	2703.6496
PARP2	535.56	PARP2	515.9296
PARP3	306.7473	PARP3	600.0859
PARP4	2024.7625	PARP4	2026.2774
PARP6	1543.3343	PARP6	1044.225
PARP8	130.1468	PARP8	520.395
PARP9	2676.015	PARP9	2621.9116
PARS2	159.7082	PARS2	136.711
PART1	80.5874	PART1	58.0507
PARVA	1963.7201	PARVA	2699.5277
PARVB	633.0742	PARVB	347.9605
PARVG	256.0706	PARVG	209.532
PASK	184.6626	PASK	219.8368
PATL1	2628.6592	PATL1	1159.9828
PATL2	8.4461	PATL2	19.2357
PATZ1	894.1357	PATZ1	1603.0915
PAWR	405.7971	PAWR	415.2855
PAX3	6.5265	PAX3	12.7093
PAX5	14.5887	removed	removed
PAX6	254.9189	PAX6	55.6462
PAX8	29.1775	PAX8	20.6097
PAX9	38.0075	PAX9	94.4611
PAXIP1	423.3804	PAXIP1	461.9528
PBK	849.6017	PBK	19.2357
PBLD	45.3019	PBLD	299.8712
PBRM1	1472.6941	PBRM1	2083.9845
PBX1	2994.5292	PBX1	5232.4603
PBX2	1197.8117	PBX2	1463.6325
PBX3	511.7574	PBX3	541.3482
PBX4	16.5083	PBX4	14.0833
PBXIP1	4143.1999	PBXIP1	3602.5762
PCBD1	899.5105	PCBD1	842.9369
PCBD2	100.5855	PCBD2	331.0571
PCBP1	7694.4045	PCBP1	5432.0309
PCBP2	7094.128	PCBP2	10475.562
PCBP3	6.1426	PCBP3	9.2744
PCBP4	910.2601	PCBP4	489.137
PCCA	114.844	PCCA	613.3517
PCCB	1032.6826	PCCB	1122.7823
removed	removed	PCDH10	16.8313
removed	removed	PCDH11X	21.6402
PCDH12	215.7597	PCDH12	396.3933
PCDH17	106.7281	PCDH17	53.2417
PCDH18	1133.6981	PCDH18	1470.5024
PCDH19	60.2745	PCDH19	278.231
PCDH1	1132.1624	PCDH1	1767.2821
PCDH20	24.5705	PCDH20	24.0447
PCDH7	462.2325	PCDH7	425.9339
PCDH8	10.3657	removed	removed
PCDH9	90.6037	PCDH9	98.9266
PCDHA10	8.2042	PCDHA10	26.9231
PCDHA11	13.9054	PCDHA11	7.0382
PCDHA12	35.1396	removed	removed
removed	removed	PCDHA13	7.787
PCDHA1	14.9343	removed	removed
PCDHA2	7.7128	PCDHA2	7.1619
removed	removed	PCDHA3	11.7991
PCDHA4	5.7242	PCDHA4	28.6853
removed	removed	PCDHA5	6.1451
removed	removed	PCDHA6	38.9455
PCDHA7	9.1947	PCDHA7	8.7694
PCDHA9	10.6421	removed	removed
PCDHAC1	8.7686	PCDHAC1	17.4152
PCDHAC2	12.7651	PCDHAC2	23.3164
PCDHB10	80.238	PCDHB10	92.0567
PCDHB11	6.9105	PCDHB11	26.1056
PCDHB12	13.437	PCDHB12	39.5019
PCDHB13	8.83	PCDHB13	70.76
PCDHB14	59.8906	PCDHB14	170.717
PCDHB15	9.5979	PCDHB15	49.8068
PCDHB16	66.4171	PCDHB16	310.176
PCDHB17	41.8466	removed	removed
PCDHB18	5.7587	PCDHB18	15.1138
removed	removed	PCDHB19P	11.3353
PCDHB2	410.4041	PCDHB2	182.7394
PCDHB3	24.5705	PCDHB3	56.1649
PCDHB4	28.4096	PCDHB4	165.9081
PCDHB5	8.83	PCDHB5	55.9897
PCDHB6	51.8284	PCDHB6	98.2396
PCDHB7	66.0332	PCDHB7	91.3697
PCDHB8	157.4047	PCDHB8	39.8454
PCDHB9	116.3259	PCDHB9	71.7905
PCDHGA10	24.9544	PCDHGA10	132.2216
PCDHGA11	14.796	PCDHGA11	36.7334
PCDHGA12	57.7023	PCDHGA12	65.4667
PCDHGA1	11.9013	PCDHGA1	7.9004
PCDHGA2	110.8129	PCDHGA2	60.7986
PCDHGA3	11.5174	PCDHGA3	18.8751
PCDHGA4	16.5083	PCDHGA4	135.6805
PCDHGA5	7.2944	PCDHGA5	60.6166
PCDHGA6	10.7496	PCDHGA6	52.8192
PCDHGA7	7.2944	PCDHGA7	73.4255
removed	removed	PCDHGA8	6.1829
PCDHGA9	22.6509	PCDHGA9	124.3383
PCDHGB1	73.8766	PCDHGB1	11.6788
PCDHGB2	12.2852	PCDHGB2	27.8231
removed	removed	PCDHGB3	15.8008
PCDHGB4	166.3768	PCDHGB4	40.8759
PCDHGB5	18.044	PCDHGB5	199.8386
PCDHGB6	28.8089	PCDHGB6	74.6758
PCDHGB7	188.6477	PCDHGB7	398.4818
PCDHGC3	1116.2799	PCDHGC3	2085.0803
PCDHGC4	11.8706	PCDHGC4	6.5814
PCDHGC5	8.3501	removed	removed
PCF11	887.2253	PCF11	2120.0515
PCGF1	229.1967	PCGF1	214.6844
PCGF2	604.2154	PCGF2	593.2606
PCGF3	841.1556	PCGF3	2027.9948
PCGF5	610.8072	PCGF5	2139.2872
PCGF6	223.8219	PCGF6	191.6702
PCID2	711.3926	PCID2	810.6483
PCIF1	890.2966	PCIF1	1032.2027
PCK1	11.9013	PCK1	447.5741
PCK2	957.8654	PCK2	697.6385
PCLO	360.1113	PCLO	526.9214
PCM1	2653.6136	PCM1	5037.3551
PCMT1	1420.8657	PCMT1	1439.5878
PCMTD1	1130.6267	PCMTD1	2231.0004
PCMTD2	807.3711	PCMTD2	2085.015
PCNA	3624.1482	PCNA	1087.8489
PCNP	1548.7091	PCNP	3205.4959
PCNT	1013.533	PCNT	828.5101
PCNXL2	621.1729	PCNXL2	397.0803
PCNXL3	1415.4909	PCNXL3	901.6745
PCNX	1055.7635	PCNX	2391.4126
PCOLCE2	29.5614	PCOLCE2	525.204
PCOLCE	1462.29	PCOLCE	1007.0348
PCOTH	17.3606	PCOTH	20.9772
removed	removed	PCP2	25.4186
PCP4L1	23.4188	PCP4L1	29.1971
PCP4	811.5942	removed	removed
PCSK1N	98.282	removed	removed
PCSK1	6.1426	removed	removed
PCSK4	18.4279	PCSK4	34.006
PCSK5	82.9254	PCSK5	111.6359
PCSK6	447.2598	PCSK6	436.9257
PCSK7	795.9766	PCSK7	587.5071
PCSK9	38.3914	removed	removed
PCTP	800.8446	PCTP	444.8261
PCYOX1L	110.5672	PCYOX1L	243.8815
PCYOX1	1986.755	PCYOX1	4631.3439
PCYT1A	551.3005	PCYT1A	346.243
PCYT1B	27.6418	PCYT1B	39.1584
PCYT2	1040.4069	PCYT2	448.6046
PC	499.856	PC	826.7926
PDAP1	3048.6611	PDAP1	1486.3031
PDCD10	1776.3701	PDCD10	650.5796
PDCD11	1208.1774	PDCD11	1100.9017
PDCD1LG2	243.0176	PDCD1LG2	140.833
PDCD1	56.8193	PDCD1	20.6097
PDCD2L	173.5291	PDCD2L	87.5912
PDCD2	653.4216	PDCD2	770.1159
PDCD4	941.361	PDCD4	5621.9768
PDCD5	1769.8436	PDCD5	519.708
PDCD6IP	3307.8031	PDCD6IP	4268.2696
PDCD6	3004.511	PDCD6	1441.3053
PDCD7	571.648	PDCD7	599.7424
PDCL3	750.168	PDCL3	337.6556
PDCL	396.5832	PDCL	661.228
PDDC1	491.7938	PDDC1	871.447
PDE10A	49.5249	PDE10A	127.7802
removed	removed	PDE11A	163.8471
PDE12	418.0823	PDE12	532.7608
PDE1A	20.7314	PDE1A	188.9223
PDE1B	84.0772	PDE1B	238.0421
PDE1C	133.6021	PDE1C	212.6234
PDE2A	64.8815	PDE2A	1090.5968
PDE3A	20.3474	PDE3A	128.8106
PDE3B	60.6584	PDE3B	677.3723
PDE4A	431.5193	PDE4A	501.1593
PDE4B	501.3917	PDE4B	1101.9322
removed	removed	PDE4C	9.2744
PDE4DIP	5123.3324	PDE4DIP	1873.4221
PDE4D	149.3771	PDE4D	249.3156
PDE5A	188.3482	PDE5A	1611.2357
PDE6B	52.5962	PDE6B	95.4916
PDE6D	368.1735	PDE6D	234.6071
PDE6G	9.2139	PDE6G	8.9309
PDE7A	2320.3417	PDE7A	772.8639
PDE7B	29.1775	PDE7B	182.0524
PDE8A	626.9316	PDE8A	682.1812
PDE8B	6.5265	PDE8B	172.778
PDE9A	227.2771	PDE9A	328.0378
PDF	161.002	PDF	111.8248
PDGFA	401.958	PDGFA	816.8313
PDGFB	1248.4883	PDGFB	663.976
PDGFC	691.0452	PDGFC	1305.9682
PDGFD	140.8964	PDGFD	1208.7591
PDGFRA	1436.2338	PDGFRA	2670.5539
PDGFRB	3748.5363	PDGFRB	3546.93
PDGFRL	245.321	PDGFRL	1154.1434
PDHA1	3502.4244	PDHA1	1312.0893
PDHB	1271.9071	PDHB	1084.7574
PDHX	548.7206	PDHX	651.4899
PDIA3P	6055.8595	PDIA3P	1899.8712
PDIA3	25508.2983	PDIA3	7269.5578
PDIA4	7978.5008	PDIA4	2285.9596
PDIA5	599.6737	PDIA5	464.0618
PDIA6	21947.2809	PDIA6	4061.1009
PDIK1L	240.3302	PDIK1L	594.59
PDK1	1345.6186	PDK1	396.3933
PDK2	510.9895	PDK2	1048.3469
PDK3	1443.1327	PDK3	305.7106
PDK4	145.1195	PDK4	3634.5213
PDLIM1	3049.8128	PDLIM1	4428.3383
PDLIM2	727.1331	PDLIM2	313.611
PDLIM3	337.8443	PDLIM3	1584.1992
PDLIM4	229.1967	PDLIM4	658.1365
PDLIM5	3488.2426	PDLIM5	5645.6848
PDLIM7	1710.3369	PDLIM7	710.6913
PDP1	668.0104	PDP1	1006.4405
PDP2	90.9876	PDP2	266.8957
PDPK1	1360.8254	PDPK1	1810.9747
PDPN	778.9615	PDPN	521.769
PDPR	765.7894	PDPR	2214.1692
PDRG1	509.4539	PDRG1	359.9828
PDS5A	2900.0864	PDS5A	3067.0674
PDS5B	847.2982	PDS5B	1522.0266
PDSS1	134.3699	PDSS1	59.2082
PDSS2	291.7746	PDSS2	371.3182
PDXDC1	5193.5886	PDXDC1	3260.1116
PDXDC2	168.1543	PDXDC2	434.8647
PDXK	6343.795	PDXK	2732.1597
PDXP	225.3153	PDXP	146.0369
PDZD11	864.9582	PDZD11	486.7325
PDZD2	524.4265	PDZD2	1811.593
PDZD4	57.2032	PDZD4	130.5281
PDZD7	14.5887	PDZD7	5.8394
PDZD8	235.7232	PDZD8	544.7832
PDZK1IP1	1933.3909	PDZK1IP1	433.8343
PDZK1P1	11.1335	PDZK1P1	10.6483
PDZK1	33.4005	PDZK1	432.4603
PDZRN3	523.6587	PDZRN3	1277.4581
removed	removed	PDZRN4	45.6848
PEA15	13894.9995	PEA15	5087.8489
PEAR1	50.2927	PEAR1	525.5474
PEBP1	7219.1189	PEBP1	7039.5878
removed	removed	PEBP4	26.7926
PECAM1	1051.5405	PECAM1	2204.8948
PECI	744.7893	PECI	1171.9536
PECR	142.816	PECR	249.3122
PEF1	1593.627	PEF1	1420.6956
PEG10	413.8593	PEG10	1956.5479
removed	removed	PEG3AS	6.8184
PEG3	14.8805	PEG3	866.5316
PELI1	585.8528	PELI1	1229.3688
PELI2	84.0772	PELI2	585.3156
PELI3	422.6893	PELI3	285.4444
PELO	445.9929	PELO	431.6187
PELP1	1595.9305	PELP1	1113.2675
PEMT	527.1139	PEMT	351.7389
removed	removed	PENK	14.4268
PEPD	1342.9312	PEPD	1074.796
PER1	378.5392	PER1	1639.1584
PER2	236.491	PER2	1715.4143
PER3	526.6302	PER3	2230.5711
PERP	9868.8934	PERP	7477.8875
PES1	1908.0526	PES1	1063.8042
PET112L	246.4728	PET112L	351.052
PEX10	358.8137	PEX10	349.3173
PEX11A	156.253	PEX11A	433.8343
PEX11B	1144.0637	PEX11B	820.2662
PEX11G	47.9893	PEX11G	61.4856
