gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
AIP	930.2236	AIP	679.0897
AJAP1	5.7587	AJAP1	15.8008
AK1	816.5851	AK1	367.8832
AK2	2487.3788	AK2	2082.6071
AK3L1	588.5402	AK3L1	397.7673
AK3	1064.9774	AK3	1978.5316
AK5	52.9801	AK5	2075.3972
removed	removed	AK7	46.3718
AKAP10	394.6636	AKAP10	579.8197
AKAP11	794.3181	AKAP11	2259.167
AKAP12	481.4282	AKAP12	2511.2924
AKAP13	2439.3896	AKAP13	4553.3705
AKAP1	2075.823	AKAP1	2591.3267
AKAP2	689.3138	AKAP2	1215.629
AKAP3	21.1153	AKAP3	68.012
AKAP5	66.801	AKAP5	122.2842
AKAP6	25.7222	AKAP6	246.286
AKAP7	155.1013	AKAP7	192.7007
AKAP8L	775.8902	AKAP8L	873.1644
AKAP8	668.0104	AKAP8	784.8862
AKAP9	1250.024	AKAP9	5074.1091
AKD1	62.1941	AKD1	191.3267
AKIRIN1	1413.1874	AKIRIN1	1045.599
AKIRIN2	870.333	AKIRIN2	695.234
AKNA	765.5245	AKNA	1030.1417
AKR1A1	1569.4404	AKR1A1	1574.5814
AKR1B10	576.6388	AKR1B10	141.52
AKR1B15	101.3533	removed	removed
AKR1B1	1350.9934	AKR1B1	904.079
AKR1C1	1300.3167	AKR1C1	1135.0142
AKR1C2	303.2921	AKR1C2	1157.5784
AKR1C3	516.7482	AKR1C3	1470.5024
AKR1E2	117.0938	AKR1E2	20.8467
AKR7A2	560.1305	AKR7A2	953.5423
AKR7A3	17.2761	AKR7A3	309.8325
AKR7L	5.3748	AKR7L	49.1198
AKT1S1	1513.7729	AKT1S1	579.1327
AKT1	4960.9368	AKT1	3143.3233
AKT2	3335.8288	AKT2	2164.7059
AKT3	448.7955	AKT3	1547.4453
AKTIP	776.4315	AKTIP	723.3353
ALAD	702.5626	ALAD	2366.681
ALAS1	1340.2438	ALAS1	776.2988
removed	removed	ALB	63352.8553
ALCAM	815.4333	ALCAM	4883.4693
ALDH16A1	765.9084	ALDH16A1	410.1331
ALDH18A1	2486.611	ALDH18A1	1452.6406
ALDH1A1	275.2663	ALDH1A1	2543.5809
ALDH1A2	20.7314	ALDH1A2	254.8733
ALDH1A3	860.2476	ALDH1A3	3146.2155
ALDH1B1	2971.4944	ALDH1B1	581.8806
ALDH1L1	5.3748	ALDH1L1	309.1456
ALDH1L2	408.8684	ALDH1L2	232.8897
ALDH2	1884.2499	ALDH2	5749.4204
ALDH3A1	573.5675	ALDH3A1	147.0159
ALDH3A2	1582.4935	ALDH3A2	3080.1202
ALDH3B1	271.0433	ALDH3B1	188.2353
ALDH3B2	989.7303	ALDH3B2	2101.8463
ALDH4A1	732.124	ALDH4A1	834.006
ALDH5A1	403.1097	ALDH5A1	647.8317
ALDH6A1	169.4443	ALDH6A1	653.3104
ALDH7A1	1390.1526	ALDH7A1	2229.9699
removed	removed	ALDH8A1	10.6483
ALDH9A1	2561.0903	ALDH9A1	3023.1
ALDOA	39086.2847	ALDOA	9921.5114
removed	removed	ALDOB	10.9918
ALDOC	284.8642	ALDOC	730.614
ALG10B	71.408	ALG10B	481.9236
ALG10	42.2305	ALG10	122.9712
ALG11	19.1957	ALG11	18.5487
ALG12	381.2266	ALG12	396.3933
ALG13	311.3543	ALG13	516.6166
ALG14	207.3136	ALG14	171.7475
ALG1L	7.0333	ALG1L	9.3156
ALG1	693.675	ALG1	396.1975
ALG2	566.2732	ALG2	870.76
ALG3	1484.5955	ALG3	362.3873
ALG5	684.1348	ALG5	632.0309
ALG6	335.5408	ALG6	284.4139
ALG8	603.1289	ALG8	624.1305
ALG9	636.5294	ALG9	643.3663
ALKBH1	173.5291	ALKBH1	250.7514
ALKBH2	360.8792	ALKBH2	263.1172
ALKBH3	327.4786	ALKBH3	395.0193
ALKBH4	245.1521	ALKBH4	232.8072
ALKBH5	3967.7167	ALKBH5	1928.6698
ALKBH6	115.942	ALKBH6	66.2945
ALKBH7	359.7274	ALKBH7	290.5968
ALKBH8	190.8053	ALKBH8	353.4564
ALK	6.1426	ALK	8.2439
removed	removed	ALMS1P	6.8699
ALMS1	1028.8895	ALMS1	891.0262
ALOX12P2	7.2944	ALOX12P2	39.1584
removed	removed	ALOX12	8.2851
ALOX15B	39.5431	ALOX15B	180.3349
ALOX15	25.7222	ALOX15	211.593
