gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
MAPK7	233.5718	MAPK7	276.0709
MAPK8IP1	124.3496	MAPK8IP1	196.7674
MAPK8IP2	998.6993	MAPK8IP2	110.8769
MAPK8IP3	473.7253	MAPK8IP3	390.4115
MAPK8	341.5713	MAPK8	331.0689
MAPK9	971.9043	MAPK9	1037.8699
MAPKAP1	3263.0073	MAPKAP1	2108.8467
MAPKAPK2	9245.8377	MAPKAPK2	2773.1709
MAPKAPK3	1154.0062	MAPKAPK3	606.5433
MAPKAPK5	902.1904	MAPKAPK5	411.5999
MAPKBP1	438.6056	MAPKBP1	627.7817
MAPKSP1	665.4527	MAPKSP1	1080.659
MAPRE1	4951.873	MAPRE1	2770.0476
MAPRE2	621.488	MAPRE2	1033.8096
MAPRE3	312.9553	MAPRE3	406.028
MAPT	3392.82	MAPT	1557.5857
MARCH10	6.86	removed	removed
MARCH1	57.232	MARCH1	93.0741
MARCH2	331.1655	MARCH2	963.5356
MARCH3	280.9573	MARCH3	223.3154
MARCH4	7.5442	removed	removed
MARCH5	1061.6545	MARCH5	1080.9713
MARCH6	4642.2997	MARCH6	3454.6732
MARCH7	1083.2466	MARCH7	1814.945
MARCH8	418.8345	MARCH8	601.546
MARCH9	390.4787	MARCH9	177.0907
MARCKSL1	14341.3111	MARCKSL1	2875.6149
MARCKS	2765.3486	MARCKS	4264.5428
MARCO	31.4776	MARCO	744.5928
MARK1	653.486	MARK1	471.9294
MARK2	1665.7128	MARK2	995.3931
MARK3	1000	MARK3	1034.4343
MARK4	618.8866	MARK4	476.302
MARS2	281.9979	MARS2	160.2249
MARS	2973.5718	MARS	1149.2028
MARVELD1	542.7367	MARVELD1	773.3771
MARVELD2	308.5328	MARVELD2	227.0633
MARVELD3	216.1238	MARVELD3	144.4523
removed	removed	MAS1L	13.7425
removed	removed	MASP1	165.5345
MASP2	14.0479	MASP2	46.2247
MAST1	20.8117	MAST1	5.6219
MAST2	1563.9958	MAST2	973.5301
MAST3	247.6587	MAST3	313.8908
MAST4	309.0531	MAST4	1448.8951
MASTL	1213.8398	MASTL	333.8799
MAT1A	5.7232	MAT1A	11.8685
MAT2A	5350.6764	MAT2A	3629.8899
MAT2B	1091.8314	MAT2B	2060.4357
MATK	74.4017	MATK	52.4713
MATN2	3458.1165	MATN2	5028.1877
MATN3	382.6743	MATN3	77.1453
removed	removed	MATN4	21.5507
MATR3	7233.9308	MATR3	8928.2611
MAVS	3317.3777	MAVS	4088.7015
MAX	1214.8803	MAX	1289.2949
MAZ	9451.4334	MAZ	2153.0163
MBD1	798.3871	MBD1	942.6095
MBD2	2210.4579	MBD2	2065.1206
MBD3	670.9157	MBD3	671.1954
MBD4	2061.1342	MBD4	806.434
MBD5	155.307	MBD5	512.2199
MBD6	1694.8491	MBD6	860.4669
MBIP	239.0739	MBIP	403.5293
MBL1P	7.5442	MBL1P	6.2466
MBLAC1	17.1696	MBLAC1	14.3671
MBLAC2	141.7794	MBLAC2	304.521
MBNL1	2952.578	MBNL1	6368.3204
MBNL2	359.5213	MBNL2	3715.1558
MBNL3	74.922	MBNL3	293.2771
MBOAT1	1048.6472	MBOAT1	520.0281
MBOAT2	988.0333	MBOAT2	441.9458
removed	removed	MBOAT4	6.8712
MBOAT7	2108.7409	MBOAT7	679.0037
MBP	448.7513	MBP	1613.1803
MBTD1	553.0697	MBTD1	933.552
MBTPS1	2652.4454	MBTPS1	4203.3263
MBTPS2	740.5281	MBTPS2	761.1369
MB	345.2133	MB	213.9455
MC1R	79.0166	MC1R	27.1726
MCAM	1261.1863	MCAM	10108.2221
MCART1	135.2758	MCART1	286.0935
removed	removed	MCART2	9.6822
removed	removed	MCART6	18.4274
MCAT	296.3059	MCAT	192.3948
MCCC1	1104.3184	MCCC1	1299.6018
MCCC2	5040.0624	MCCC2	2494.261
MCC	729.4485	MCC	1263.0593
MCEE	122.5286	MCEE	184.5866
MCF2L	473.4651	MCF2L	709.3527
MCF2	5.4631	removed	removed
MCFD2	2160.0078	MCFD2	3848.5547
MCHR1	23.9334	removed	removed
MCL1	8065.2966	MCL1	8842.9765
MCM10	777.5754	MCM10	74.959
MCM2	4209.4173	MCM2	580.9323
MCM3APAS	51.5635	MCM3APAS	32.2168
MCM3AP	1652.3907	MCM3AP	1943.5777
MCM3	4564.256	MCM3	1690.9503
MCM4	9414.4121	MCM4	1301.1634
MCM5	1085.3278	MCM5	594.6748
MCM6	3568.9386	MCM6	1023.5028
MCM7	5510.0963	MCM7	1623.8276
MCM8	736.2123	MCM8	276.4113
MCM9	66.077	MCM9	88.7015
MCOLN1	320.4995	MCOLN1	499.1021
MCOLN2	40.5827	MCOLN2	10.6192
MCOLN3	129.8127	MCOLN3	74.022
MCPH1	596.743	MCPH1	535.1761
MCRS1	1130.5931	MCRS1	650.894
MCTP1	55.9313	MCTP1	322.9484
MCTP2	41.103	MCTP2	227.688
MCTS1	1173.5172	MCTS1	777.075
MDC1	1091.5713	MDC1	795.5025
MDFIC	669.8751	MDFIC	2463.6527
MDFI	49.948	MDFI	427.2663
MDGA1	92.3517	MDGA1	228.3126
MDH1B	38.7617	MDH1B	24.9863
MDH1	2539.5421	MDH1	6799.0942
MDH2	4390.4787	MDH2	2322.7922
MDK	3228.4079	MDK	890.7629
MDM1	354.3184	MDM1	278.5976
MDM2	2065.5567	MDM2	1945.4986
MDM4	1101.4568	MDM4	817.3655
MDN1	671.6961	MDN1	2589.209
MDP1	100.0754	MDP1	132.5869
ME1	246.8783	ME1	913.8752
ME2	942.2477	ME2	686.4996
ME3	154.0062	ME3	316.0771
MEA1	952.6535	MEA1	687.1024
MEAF6	2406.6077	MEAF6	1373.6238
MECOM	273.6733	MECOM	695.5571
MECP2	1427.1592	MECP2	2412.743
MECR	440.6868	MECR	299.2114
MED10	535.1197	MED10	365.1128
MED11	112.3829	MED11	175.529
MED12L	47.8668	MED12L	13.1178
MED12	1149.5838	MED12	1616.6159
MED13L	4608.4807	MED13L	5508.55
MED13	1701.873	MED13	3289.4511
MED14	2019.5109	MED14	1303.3497
MED15	925.8585	MED15	1110.9549
MED16	281.2175	MED16	448.5047
MED17	993.2362	MED17	644.0228
MED18	497.3985	MED18	268.6031
MED19	381.8939	MED19	198.329
MED1	1120.7076	MED1	2029.5151
MED20	412.5911	MED20	411.9622
MED21	965.1405	MED21	636.8392
MED22	1156.8678	MED22	715.5462
MED23	530.6972	MED23	1234.0126
MED24	1019.7711	MED24	928.867
MED25	608.2986	MED25	518.4665
MED26	309.5734	MED26	172.0934
MED27	375.1301	MED27	192.7071
MED28	514.5682	MED28	732.412
MED29	1484.6514	MED29	1276.8017
MED30	386.0562	MED30	177.7153
MED31	116.345	MED31	105.7016
MED4	1231.5297	MED4	956.352
MED6	356.1394	MED6	321.3867
MED7	126.1707	MED7	212.6962
MED8	1290.3226	MED8	593.4255
MED9	260.1457	MED9	349.4964
MEF2A	930.1067	MEF2A	2097.5841
MEF2B	11.3345	MEF2B	39.7845
MEF2C	246.358	MEF2C	1503.5527
MEF2D	1413.8918	MEF2D	1700.3201
MEFV	5.7232	MEFV	69.3371
MEG3	27.3153	MEG3	186.7729
MEGF10	37.2008	MEGF10	166.7838
MEGF6	124.6098	MEGF6	336.0662
MEGF8	522.6327	MEGF8	1237.4483
MEGF9	2308.2726	MEGF9	1871.4765
MEI1	16.9095	MEI1	65.9015
MEIS1	216.9615	MEIS1	414.7732
MEIS2	47.8668	MEIS2	460.9979
MEIS3P1	402.7055	MEIS3P1	621.8474
MEIS3	546.3059	MEIS3	149.918
MELK	607.7003	MELK	59.3425
MEMO1	920.437	MEMO1	254.5171
MEN1	1263.5276	MEN1	601.546
MEOX1	5.7232	MEOX1	610.9159
MEOX2	5.7232	MEOX2	842.6642
MEPCE	1904.7867	MEPCE	1140.3139
MERTK	170.1353	MERTK	351.058
MESDC1	944.0687	MESDC1	495.3541
MESDC2	1758.3247	MESDC2	1254.314
MESP1	60.6139	MESP1	78.707
MESP2	16.3892	MESP2	7.8082
removed	removed	MESTIT1	56.8439
MEST	1316.3371	MEST	4073.085
METAP1	1118.8866	METAP1	1085.344
METAP2	2193.0281	METAP2	2052.3151
METRNL	135.796	METRNL	318.5758
METRN	864.9844	METRN	137.4248
METT10D	772.3725	METT10D	924.8067
METT11D1	484.1311	METT11D1	332.6306
METT5D1	475.8065	METT5D1	370.4224
METTL10	262.0291	METTL10	241.2993
METTL11A	727.487	METTL11A	239.1848
METTL12	192.0864	METTL12	86.9993
METTL13	1425.078	METTL13	899.1958
METTL14	278.3559	METTL14	495.3541
METTL1	671.9563	METTL1	147.1071
METTL2A	527.8356	METTL2A	361.3649
METTL2B	405.0468	METTL2B	333.2553
METTL3	797.7003	METTL3	610.5505
METTL4	309.5734	METTL4	267.3538
METTL5	381.6493	METTL5	647.8332
METTL6	359.5213	METTL6	231.1236
METTL7A	1199.5317	METTL7A	6281.2524
METTL7B	11.9667	METTL7B	14.3671
METTL8	383.1946	METTL8	401.0307
METTL9	3726.0666	METTL9	2390.88
MET	649.8439	MET	1738.4243
MEX3A	1799.948	MEX3A	372.6087
MEX3B	32.7784	MEX3B	135.8632
MEX3C	744.0166	MEX3C	1283.673
MEX3D	381.8939	MEX3D	203.3263
MFAP1	1191.9875	MFAP1	903.8807
MFAP2	684.9636	MFAP2	188.9592
MFAP3L	208.1165	MFAP3L	660.2639
MFAP3	806.1915	MFAP3	1327.3991
MFAP4	220.3434	MFAP4	14224.7209
MFAP5	675.3382	MFAP5	14851.2532
MFF	964.6202	MFF	1195.2838
MFGE8	1534.3392	MFGE8	5773.0928
MFHAS1	201.0926	MFHAS1	263.2935
MFI2	240.3746	MFI2	229.562
MFN1	1227.3673	MFN1	866.7135
MFN2	2539.5421	MFN2	2927.1492
MFNG	82.6743	MFNG	411.3375
MFRP	258.3247	MFRP	289.2168
MFSD10	997.1384	MFSD10	574.3734
MFSD11	547.552	MFSD11	498.137
MFSD1	1888.3975	MFSD1	1794.0189
MFSD2A	397.5026	MFSD2A	33.7316
MFSD2B	26.5349	MFSD2B	5.9343
MFSD3	187.0447	MFSD3	81.8302
MFSD4	19.7711	MFSD4	247.3647
MFSD5	1075.4422	MFSD5	621.2228
removed	removed	MFSD6L	8.1206
MFSD6	1165.9729	MFSD6	1486.9993
MFSD7	96.129	MFSD7	96.2786
MFSD8	146.462	MFSD8	320.1374
MFSD9	61.1342	MFSD9	196.1427
MGAM	245.0572	MGAM	193.9564
MGAT1	1555.411	MGAT1	3164.8317
MGAT2	668.5744	MGAT2	676.505
MGAT3	149.8439	MGAT3	410.4006
MGAT4A	571.8002	MGAT4A	1105.0207
MGAT4B	1655.307	MGAT4B	926.0561
MGAT5	176.1186	MGAT5	502.5377
MGA	1567.3777	MGA	1935.1917
MGC12982	87.1488	MGC12982	67.1508
MGC14436	9.1051	MGC14436	18.7398
removed	removed	MGC15885	5.9343
MGC16121	66.8574	MGC16121	15.6165
MGC16142	15.0884	MGC16142	13.4302
MGC16275	25.2341	MGC16275	39.9781
removed	removed	MGC16384	12.8055
MGC16703	7.18	removed	removed
MGC21881	34.0791	MGC21881	132.1152
MGC23270	40.0624	MGC23270	35.9179
MGC23284	10.1457	MGC23284	33.4192
MGC2752	605.0989	MGC2752	616.2255
MGC2889	10.666	removed	removed
MGC29506	8.5848	MGC29506	229.562
MGC3771	15.411	MGC3771	8.2049
MGC45800	6.5036	MGC45800	75.5837
MGC57346	126.6597	MGC57346	184.0556
MGC70857	348.8554	MGC70857	191.1455
MGC72080	133.6889	MGC72080	51.3094
MGC87042	20.8117	MGC87042	20.6137
MGEA5	4458.6368	MGEA5	6043.2576
MGLL	403.2258	MGLL	5997.9699
MGMT	218.7825	MGMT	222.3784
MGP	27897.7627	MGP	32933.2396
MGRN1	2601.9771	MGRN1	1006.637
MGST1	7686.5245	MGST1	11401.2649
MGST2	605.6191	MGST2	659.0146
MGST3	3330.1249	MGST3	2489.576
MIA3	2930.281	MIA3	2847.5053
MIAT	58.3507	MIAT	86.003
MIA	11.8991	MIA	106.0607
MIB1	1280.1769	MIB1	2555.7898
MIB2	135.796	MIB2	183.3372
MICAL1	169.8751	MICAL1	214.8825
MICAL2	2947.1904	MICAL2	776.138
MICAL3	647.7627	MICAL3	1239.9469
MICALCL	48.127	MICALCL	27.1726
MICALL1	248.6993	MICALL1	475.365
MICALL2	299.1675	MICALL2	85.5782
MICA	106.3996	MICA	158.0386
MICB	256.2435	MICB	105.2549
MID1IP1	992.4558	MID1IP1	518.7788
MID1	592.3517	MID1	644.6475
MID2	959.6774	MID2	1148.1221
MIDN	1376.9511	MIDN	706.801
MIER1	1123.0489	MIER1	1358.0073
MIER2	282.5182	MIER2	276.7237
MIER3	406.3476	MIER3	749.2777
MIF4GD	430.6764	MIF4GD	376.288
MIF	2541.4672	MIF	707.8879
MIIP	245.0572	MIIP	152.4166
MIMT1	16.6493	removed	removed
MINA	1023.5328	MINA	1044.7974
MINK1	1112.768	MINK1	1445.0472
MINPP1	468.2622	MINPP1	349.8087
MIOS	646.462	MIOS	664.6365
MIPEP	574.922	MIPEP	376.3567
MIPOL1	216.7014	MIPOL1	144.2961
MIR155HG	17.6899	MIR155HG	8.4329
MIR17HG	37.2008	MIR17HG	34.0439
MIS12	434.4433	MIS12	415.0855
MITD1	209.6774	MITD1	214.8825
MITF	213.0593	MITF	993.2068
MKI67IP	955.2497	MKI67IP	698.0558
MKI67	4377.9917	MKI67	507.2226
MKKS	1136.3163	MKKS	907.941
MKL1	525.7544	MKL1	813.3052
MKL2	3506.2435	MKL2	3793.8627
MKLN1	1672.7367	MKLN1	3233.8565
MKNK1	428.9802	MKNK1	547.8504
MKNK2	3611.0822	MKNK2	4622.7844
MKRN1	4141.2591	MKRN1	3404.7006
MKRN2	687.565	MKRN2	812.9929
MKRN3	39.282	MKRN3	6.8712
MKS1	261.9667	MKS1	224.877
removed	removed	MKX	218.9428
MLC1	9.1051	MLC1	15.3041
MLEC	12968.0021	MLEC	6686.6557
MLF1IP	993.1998	MLF1IP	124.6256
MLF1	714.0999	MLF1	251.425
MLF2	5895.4214	MLF2	2164.7537
MLH1	1218.0021	MLH1	748.0284
MLH3	390.4787	MLH3	657.1406
MLKL	176.1186	MLKL	234.2469
MLL2	2310.1639	MLL2	3378.6773
MLL3	2359.7815	MLL3	4976.0287
MLL4	789.5421	MLL4	847.0368
MLL5	1477.6717	MLL5	3293.5488
MLLT10	1003.9022	MLLT10	856.0943
MLLT11	154.5265	MLLT11	60.2795
MLLT1	1494.5369	MLLT1	1337.3936
MLLT3	235.1717	MLLT3	410.4006
MLLT4	1460.4579	MLLT4	3063.3247
MLLT6	2228.6681	MLLT6	3429.6869
MLL	2241.9355	MLL	4855.782
MLPH	1831.4256	MLPH	1093.7768
MLST8	1521.3111	MLST8	510.9393
MLXIPL	18.4703	MLXIPL	623.0967
MLXIP	1092.6119	MLXIP	1323.0265
MLX	1209.7216	MLX	1343.9994
MLYCD	210.4579	MLYCD	493.4801
MMAA	203.1738	MMAA	349.8087
MMAB	658.1686	MMAB	469.4308
MMACHC	323.3611	MMACHC	138.0495
MMADHC	1208.897	MMADHC	1870.8519
MMD	561.1342	MMD	3003.0452
MMEL1	39.2118	MMEL1	6.2122
MME	399.3236	MME	6862.1847
MMGT1	838.4495	MMGT1	1445.7718
MMP10	106.6597	MMP10	9.0575
MMP11	9379.0323	MMP11	59.3425
MMP12	136.0562	MMP12	16.2411
MMP13	868.8866	MMP13	31.8576
MMP14	6072.8408	MMP14	3890.9971
MMP15	1043.4443	MMP15	527.8363
MMP16	110.5619	MMP16	321.0744
MMP17	21.0718	MMP17	44.3507
MMP19	320.7596	MMP19	541.2665
MMP1	1520.8117	MMP1	35.9179
MMP23B	19.2508	MMP23B	71.8357
MMP24	180.0208	MMP24	228.9373
MMP25	21.2851	MMP25	160.3373
removed	removed	MMP27	64.6521
MMP28	17.4298	MMP28	290.7785
MMP2	5660.77	MMP2	16214.2578
MMP3	99.1155	MMP3	19.0521
MMP7	1853.7981	MMP7	843.6012
MMP8	26.0146	removed	removed
MMP9	2341.3111	MMP9	242.0551
MMRN1	14.0479	MMRN1	2429.2965
MMRN2	310.0937	MMRN2	2300.9292
MMS19	1208.1165	MMS19	1276.4894
MN1	50.2081	MN1	592.1762
MNAT1	232.3101	MNAT1	220.8167
MND1	130.0728	MND1	9.0575
MNDA	136.8366	MNDA	661.8256
MNS1	90.5307	MNS1	104.318
MNT	539.8023	MNT	487.2335
MOAP1	607.4402	MOAP1	887.3272
MOB2	313.4755	MOB2	379.1676
MOBKL1A	205.7752	MOBKL1A	766.7682
MOBKL1B	1114.4641	MOBKL1B	950.4177
MOBKL2A	726.847	MOBKL2A	1270.2428
MOBKL2B	42.4037	MOBKL2B	1008.1986
MOBKL2C	251.0406	MOBKL2C	563.7292
MOBKL3	806.7118	MOBKL3	925.1191
MOCOS	327.5234	MOCOS	143.0468
MOCS1	126.5583	MOCS1	2440.1031
MOCS2	753.9022	MOCS2	827.9847
MOCS3	263.2674	MOCS3	170.5317
MOGAT2	20.8117	MOGAT2	11.5562
MOGS	1012.7471	MOGS	678.6913
MON1A	164.6722	MON1A	150.5427
MON1B	615.2445	MON1B	672.7571
MON2	1194.0687	MON2	1798.7038
MORC2	956.5557	MORC2	729.9133
MORC3	447.4506	MORC3	1402.6704
MORC4	2524.7138	MORC4	1662.8406
MORF4L1	3954.9948	MORF4L1	4831.108
MORF4L2	8623.3091	MORF4L2	3774.186
MORN1	70.2393	MORN1	54.3453
MORN2	863.6837	MORN2	149.918
MORN4	125.1301	MORN4	126.8057
MOSC1	340.2706	MOSC1	3325.9936
MOSC2	550.9886	MOSC2	521.5898
MOSPD1	194.0687	MOSPD1	190.2085
MOSPD2	275.4943	MOSPD2	469.1185
MOSPD3	209.1571	MOSPD3	169.2824
MOV10	710.1977	MOV10	476.302
MOXD1	295.7856	MOXD1	77.1453
MPDU1	910.77	MPDU1	654.642
MPDZ	624.3496	MPDZ	2731.3188
MPEG1	450.3122	MPEG1	1909.5807
MPG	740.6348	MPG	423.5184
MPHOSPH10	1236.9927	MPHOSPH10	753.6503
MPHOSPH6	1003.642	MPHOSPH6	312.3292
MPHOSPH8	694.0687	MPHOSPH8	1640.6653
MPHOSPH9	486.9927	MPHOSPH9	242.0551
MPI	437.565	MPI	565.6282
MPL	31.4776	MPL	32.4822
MPND	169.615	MPND	166.7838
removed	removed	MPO	7.8082
MPP1	340.7908	MPP1	558.1323
MPP2	355.6191	MPP2	164.5975
MPP3	139.6982	MPP3	42.7891
MPP5	690.1665	MPP5	1162.8016
MPP6	60.0937	MPP6	179.277
MPP7	930.0208	MPP7	723.9791
MPPE1	739.8543	MPPE1	715.2339
MPPED1	13.7877	MPPED1	7.8082
MPPED2	80.9053	MPPED2	142.7344
MPRIP	1282.2581	MPRIP	2688.842
MPST	401.4048	MPST	694.6201
MPV17L2	324.6618	MPV17L2	103.0686
MPV17L	801.2487	MPV17L	144.2961
MPV17	929.2404	MPV17	541.8912
MPZL1	6367.5858	MPZL1	5079.0974
MPZL2	571.5401	MPZL2	377.9183
MPZL3	34.8595	MPZL3	53.7206
MPZ	7.0239	MPZ	56.5316
MR1	229.7086	MR1	205.8249
removed	removed	MRAP2	49.9727
removed	removed	MRAP	385.2393
MRAS	995.8377	MRAS	3935.6602
MRC1	54.3704	MRC1	1650.9721
MRC2	964.8803	MRC2	3076.1302
MRE11A	1017.6899	MRE11A	748.3408
MREG	1187.0447	MREG	390.6863
MRFAP1L1	1040.0624	MRFAP1L1	1262.4346
MRFAP1	5058.7929	MRFAP1	5773.7175
MRGPRF	46.5661	MRGPRF	508.7843
removed	removed	MRGPRX2	9.3699
removed	removed	MRGPRX3	19.6767
MRI1	492.9761	MRI1	391.0362
MRM1	36.6805	MRM1	50.5973
MRO	67.898	MRO	49.348
MRP63	622.0031	MRP63	460.6387
MRPL10	651.9251	MRPL10	1033.4973
MRPL11	1243.2362	MRPL11	603.42
MRPL12	1131.8939	MRPL12	388.8498
MRPL13	1879.8127	MRPL13	456.9376
MRPL14	872.0083	MRPL14	348.8717
MRPL15	1764.5682	MRPL15	637.4639
MRPL16	1014.5682	MRPL16	560.9432
MRPL17	2643.3403	MRPL17	630.905
MRPL18	814.5161	MRPL18	562.5049
MRPL19	1375.9105	MRPL19	1549.4651
MRPL1	325.4422	MRPL1	368.2361
MRPL20	1928.6655	MRPL20	1020.3045
MRPL21	557.7523	MRPL21	339.5018
MRPL22	370.9677	MRPL22	299.5237
MRPL23	528.8762	MRPL23	215.8195
MRPL24	2077.7836	MRPL24	889.2012
MRPL27	674.0375	MRPL27	483.4856
MRPL28	684.4433	MRPL28	469.7431
MRPL2	255.9834	MRPL2	365.7375
MRPL30	688.3065	MRPL30	846.7088
MRPL32	998.9594	MRPL32	719.2941
MRPL33	657.6483	MRPL33	499.7267
MRPL34	619.9272	MRPL34	485.0472
MRPL35	1147.2425	MRPL35	871.0861
MRPL36	778.8762	MRPL36	287.6552
MRPL37	2683.4027	MRPL37	1210.588
MRPL38	667.9891	MRPL38	525.5844
MRPL39	360.8221	MRPL39	351.3703
MRPL3	3732.0499	MRPL3	1440.7746
MRPL40	530.1769	MRPL40	532.2089
MRPL41	515.6087	MRPL41	379.1676
removed	removed	MRPL42P5	15.6071
MRPL42	1339.23	MRPL42	560.9432
MRPL43	709.5291	MRPL43	806.6058
MRPL44	565.5567	MRPL44	525.3377
MRPL45	672.7367	MRPL45	1098.7741
MRPL46	370.7076	MRPL46	392.2855
MRPL47	945.3694	MRPL47	354.806
MRPL48	638.6576	MRPL48	294.8388
MRPL49	2344.4329	MRPL49	1189.6619
MRPL4	1649.8439	MRPL4	528.1487
MRPL50	550.9886	MRPL50	371.3594
MRPL51	2420.3954	MRPL51	1186.2263
MRPL52	434.7034	MRPL52	285.1566
MRPL53	427.2633	MRPL53	339.4019
MRPL54	228.9282	MRPL54	391.0362
MRPL55	639.6982	MRPL55	264.2305
MRPL9	2332.7706	MRPL9	911.589
MRPS10	767.4298	MRPS10	784.5709
MRPS11	661.2903	MRPS11	425.3924
MRPS12	856.6597	MRPS12	233.3099
MRPS14	645.9417	MRPS14	444.4444
MRPS15	1411.5505	MRPS15	854.2203
MRPS16	3539.0219	MRPS16	1347.3881
MRPS17	513.9204	MRPS17	206.4496
MRPS18A	364.204	MRPS18A	479.4253
MRPS18B	1059.3132	MRPS18B	1309.284
MRPS18C	219.7789	MRPS18C	313.8315
MRPS21	2210.718	MRPS21	841.4149
MRPS22	819.719	MRPS22	528.461
MRPS23	1229.1883	MRPS23	473.4911
MRPS24	971.6441	MRPS24	675.8804
MRPS25	858.7591	MRPS25	672.8477
MRPS26	1068.4183	MRPS26	420.7074
MRPS27	1462.539	MRPS27	1566.6432
MRPS28	384.2352	MRPS28	211.1283
MRPS2	1532.9761	MRPS2	646.1779
MRPS30	813.7357	MRPS30	409.1512
MRPS31	216.7014	MRPS31	340.4388
MRPS33	956.5557	MRPS33	528.1487
MRPS34	1644.9011	MRPS34	510.9706
MRPS35	2476.847	MRPS35	986.3356
MRPS36	281.7378	MRPS36	366.9868
MRPS5	633.7149	MRPS5	586.8666
MRPS6	671.3371	MRPS6	691.603
MRPS7	1518.0749	MRPS7	868.0315
MRPS9	316.5973	MRPS9	434.4499
MRRF	685.4839	MRRF	408.2143
MRS2	691.9875	MRS2	659.6393
MRTO4	1681.0614	MRTO4	614.6639
MRVI1	319.719	MRVI1	613.1022
MS4A14	63.0437	MS4A14	98.1932
MS4A15	22.8928	removed	removed
removed	removed	MS4A1	225.814
MS4A2	12.487	MS4A2	138.0495
MS4A4A	118.1061	MS4A4A	694.3078
MS4A6A	478.9282	MS4A6A	1159.6783
MS4A7	296.9979	MS4A7	887.2054
MSC	91.7716	MSC	68.4626
MSH2	1789.0219	MSH2	711.7982
MSH3	341.1238	MSH3	725.5032
MSH5	143.5978	MSH5	106.6229
MSH6	4114.4641	MSH6	1490.7472
MSI1	46.8262	MSI1	35.2932
MSI2	857.18	MSI2	303.8963
MSL1	2267.6899	MSL1	2263.1373
MSL2	1495.5775	MSL2	1338.3306
MSL3L2	71.5401	MSL3L2	60.5919
MSL3	625.6504	MSL3	644.0228
MSLN	56.7118	MSLN	6.5589
MSMB	8.3247	removed	removed
MSMP	13.2674	MSMP	42.1644
MSN	6987.7732	MSN	9912.704
MSR1	720.3434	MSR1	547.8254
MSRA	75.7024	MSRA	187.7098
MSRB2	934.9636	MSRB2	595.2994
MSRB3	638.3975	MSRB3	2667.2913
MST1P2	38.7617	MST1P2	31.2329
removed	removed	MST1P9	15.3041
MST1R	849.3757	MST1R	119.9344
MST1	43.9646	MST1	26.2357
MST4	989.5942	MST4	315.7648
removed	removed	MSTN	55.2823
MSTO1	959.2846	MSTO1	497.7122
MSTO2P	166.8262	MSTO2P	83.9635
MSX1	56.1915	MSX1	204.888
MSX2	107.18	MSX2	140.8605
removed	removed	MT1A	81.2056
MT1E	654.5265	MT1E	428.2033
MT1F	52.5494	MT1F	42.4768
MT1G	101.717	MT1G	29.6713
MT1H	21.3319	removed	removed
MT1L	6.7638	MT1L	72.4604
MT1M	15.6087	MT1M	153.9783
MT1X	667.2737	MT1X	1620.9885
MT2A	1899.8439	MT2A	1116.5769
MTA1	869.4069	MTA1	787.3819
MTA2	3098.5952	MTA2	1539.4706
MTA3	954.4745	MTA3	911.0643
MTAP	814.5161	MTAP	872.0231
MTBP	407.3881	MTBP	102.1316
MTCH1	2244.0166	MTCH1	3974.389
MTCH2	3309.0531	MTCH2	1293.9799
MTCP1NB	263.7669	MTCP1NB	245.4876
MTCP1	61.155	MTCP1	25.6141
MTDH	7880.333	MTDH	4219.2551
MTERFD1	1054.8907	MTERFD1	314.5155
MTERFD2	206.2955	MTERFD2	433.2006
MTERFD3	611.8626	MTERFD3	448.5047
MTERF	304.8907	MTERF	221.1291
MTF1	922.2164	MTF1	897.9464
MTF2	592.0916	MTF2	444.4444
MTFMT	248.6993	MTFMT	183.3372
MTFR1	997.6691	MTFR1	524.7349
MTG1	459.9376	MTG1	327.6333
MTHFD1L	385.5359	MTHFD1L	157.1016
MTHFD1	2722.4818	MTHFD1	3926.1529
MTHFD2L	282.4974	MTHFD2L	171.4687
MTHFD2	2843.6446	MTHFD2	735.8476
MTHFR	599.8309	MTHFR	577.0782
MTHFSD	220.8637	MTHFSD	259.8579
MTHFS	342.6119	MTHFS	302.0223
MTIF2	1020.8117	MTIF2	813.9299
MTIF3	558.2726	MTIF3	796.7518
MTL5	1199.0114	MTL5	152.729
MTM1	354.3184	MTM1	401.6553
MTMR10	498.5458	MTMR10	1638.3384
MTMR11	483.3507	MTMR11	220.8167
MTMR12	2246.358	MTMR12	2492.0746
MTMR14	693.0281	MTMR14	657.453
MTMR15	512.9006	MTMR15	883.4075
MTMR1	1002.6015	MTMR1	699.9297
MTMR2	2049.1675	MTMR2	1150.9331
MTMR3	865.2445	MTMR3	2265.3237
MTMR4	1142.0395	MTMR4	1063.7932
MTMR6	389.9584	MTMR6	943.2342
MTMR7	101.0614	MTMR7	50.3069
MTMR8	14.5682	MTMR8	20.6137
MTMR9L	62.9553	MTMR9L	77.77
MTMR9	226.3085	MTMR9	594.5748
MTO1	339.23	MTO1	468.4938
MTOR	2108.4807	MTOR	1925.8218
MTP18	286.6441	MTP18	83.8854
MTPAP	800.7336	MTPAP	504.724
MTRF1L	146.2019	MTRF1L	243.3044
MTRF1	118.1061	MTRF1	86.5152
MTRR	3287.461	MTRR	1050.3631
MTR	1301.769	MTR	2074.1782
MTSS1L	846.514	MTSS1L	672.4448
MTSS1	1189.9063	MTSS1	1579.7579
MTUS1	3782.7784	MTUS1	4097.4467
