gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ADAT3	19.2508	ADAT3	8.4329
ADA	280.1769	ADA	147.4194
ADCK1	115.5047	ADCK1	102.1316
ADCK2	1109.2612	ADCK2	585.3049
ADCK4	479.7086	ADCK4	304.521
ADCK5	93.3923	ADCK5	50.285
ADCY1	1012.7471	ADCY1	534.0829
ADCY2	1925.078	ADCY2	355.1183
ADCY3	1457.3985	ADCY3	1568.4141
ADCY4	56.7118	ADCY4	460.6856
ADCY5	5.2029	ADCY5	433.2006
ADCY6	1724.7659	ADCY6	3433.7472
ADCY7	352.4974	ADCY7	764.2695
ADCY9	3619.4069	ADCY9	1209.651
removed	removed	ADCYAP1R1	75.2713
removed	removed	ADCYAP1	53.4083
ADC	60.3538	ADC	88.0768
ADD1	3002.0812	ADD1	7091.122
ADD2	8.845	ADD2	57.7809
ADD3	1422.9969	ADD3	6050.1288
removed	removed	ADH1A	1195.5962
ADH1B	26.2747	ADH1B	118399.3129
ADH1C	356.1394	ADH1C	1732.8024
removed	removed	ADH4	21.2384
ADH5	1133.4547	ADH5	5334.895
removed	removed	ADH6	5.9343
ADHFE1	54.1103	ADHFE1	478.4883
ADI1	2005.9834	ADI1	1952.6821
ADIPOQ	27.5754	ADIPOQ	73032.5603
ADIPOR1	4000.2601	ADIPOR1	2693.8393
ADIPOR2	3354.8387	ADIPOR2	3843.8354
ADK	725.026	ADK	358.2416
ADM2	327.2633	ADM2	65.9015
ADM	787.9813	ADM	1257.7497
ADNP2	1246.6181	ADNP2	715.5462
ADNP	4270.0312	ADNP	3153.9002
ADORA1	471.1238	ADORA1	500.3514
ADORA2A	161.2851	ADORA2A	71.2111
ADORA2B	65.8169	ADORA2B	48.411
ADORA3	146.2019	ADORA3	93.3864
ADO	1114.9844	ADO	702.4284
ADPGK	1193.0619	ADPGK	754.503
ADPRHL1	95.2133	ADPRHL1	91.5125
ADPRHL2	866.025	ADPRHL2	437.2609
ADPRH	330.1249	ADPRH	487.5459
removed	removed	ADRA1A	178.6523
ADRA1B	6.2435	ADRA1B	62.1535
ADRA2A	809.0531	ADRA2A	970.0945
ADRA2B	10.666	ADRA2B	12.8055
removed	removed	ADRA2C	57.4686
ADRB1	7.2841	ADRB1	60.5919
ADRB2	71.5401	ADRB2	309.5182
removed	removed	ADRBK1	1392.0512
ADRBK2	750	ADRBK2	3913.4848
ADRM1	1225.5463	ADRM1	811.1189
ADSL	702.1332	ADSL	753.0257
ADSSL1	90.2706	ADSSL1	208.9482
ADSS	2843.1322	ADSS	1268.3689
AEBP1	8827.7836	AEBP1	7153.5879
AEBP2	896.2019	AEBP2	762.7079
AEN	407.9084	AEN	272.9757
AES	4857.9605	AES	4793.0038
AFAP1L1	95.7336	AFAP1L1	588.7405
AFAP1L2	237.513	AFAP1L2	714.9215
AFAP1	689.1025	AFAP1	1502.9
AFF1	1458.897	AFF1	4140.2358
removed	removed	AFF2	139.2988
AFF3	488.0333	AFF3	1262.1223
AFF4	2119.4069	AFF4	4029.9836
AFG3L1	186.7846	AFG3L1	124.307
AFG3L2	1928.4105	AFG3L2	1146.092
AFMID	416.2331	AFMID	277.3483
AFP	93.6524	removed	removed
AFTPH	1766.3892	AFTPH	1617.5529
AG2	139.4381	AG2	226.4387
AGAP11	25.2367	AGAP11	223.3216
AGAP1	318.9386	AGAP1	626.5324
AGAP2	21.808	AGAP2	74.7903
AGAP3	1184.9636	AGAP3	980.4013
AGAP4	143.0801	AGAP4	104.0056
AGAP5	41.1785	AGAP5	49.7915
AGAP6	129.2924	AGAP6	74.6467
AGAP7	8.0645	AGAP7	9.3699
AGAP8	45.0052	AGAP8	49.348
AGA	568.6785	AGA	465.0582
AGBL2	8.845	removed	removed
AGBL3	5.4631	AGBL3	7.8082
AGBL4	7.8044	AGBL4	12.4932
AGBL5	426.9043	AGBL5	521.2868
AGER	16.6493	AGER	24.674
AGFG1	1517.4298	AGFG1	2353.4005
AGFG2	376.4308	AGFG2	356.3676
AGGF1	1008.3247	AGGF1	977.9027
AGK	792.6639	AGK	441.9458
AGL	3858.7409	AGL	1896.7752
AGMAT	150.8845	AGMAT	19.6767
AGPAT1	1401.4464	AGPAT1	1664.9551
AGPAT2	468.0021	AGPAT2	3051.7686
AGPAT3	3710.1977	AGPAT3	1921.1369
AGPAT4	87.6691	AGPAT4	306.3949
AGPAT5	1345.7336	AGPAT5	648.3954
AGPAT6	3822.0604	AGPAT6	1834.934
AGPAT9	20.5515	AGPAT9	362.3019
AGPHD1	30.9573	AGPHD1	63.7152
AGPS	1063.4755	AGPS	1776.5285
AGR2	5815.0364	AGR2	1204.3414
AGR3	2479.4485	AGR3	343.8744
AGRN	2721.1238	AGRN	1363.3169
AGTPBP1	194.0687	AGTPBP1	539.7048
AGTR1	24.7138	AGTR1	1406.7307
AGTRAP	1231.7898	AGTRAP	522.5267
AGT	3654.2664	AGT	725.853
AGXT2L1	30.6972	AGXT2L1	14.3671
AGXT2L2	124.8309	AGXT2L2	513.2349
AHCTF1	3329.6046	AHCTF1	1963.6136
AHCYL1	3995.0572	AHCYL1	5222.4565
AHCYL2	449.0114	AHCYL2	695.5571
AHCY	6531.2175	AHCY	2643.5543
AHDC1	865.2445	AHDC1	717.4202
AHI1	327.2633	AHI1	477.239
AHNAK2	852.7575	AHNAK2	1652.5338
AHNAK	13896.462	AHNAK	146426.7978
AHRR	17.4298	AHRR	6.8712
AHR	3003.9022	AHR	2825.6422
AHSA1	2184.7034	AHSA1	1461.076
AHSA2	224.7659	AHSA2	266.7291
removed	removed	AHSP	8.7452
AIDA	2187.115	AIDA	1883.1233
AIF1L	2434.4433	AIF1L	2792.8477
AIF1	307.232	AIF1	499.7267
AIFM1	1451.873	AIFM1	820.4888
AIFM2	346.514	AIFM2	2406.8088
AIFM3	27.2112	AIFM3	8.842
AIG1	893.0801	AIG1	993.2068
AIM1L	5.9834	removed	removed
AIM1	1226.3267	AIM1	2563.2857
AIM2	12.2268	AIM2	21.5507
AIMP1	1894.7347	AIMP1	1139.3457
AIMP2	631.756	AIMP2	223.4184
AIP	496.6181	AIP	799.8751
removed	removed	AJAP1	20.3014
AK1	694.3288	AK1	461.9349
AK2	3398.283	AK2	1876.4738
AK3L1	519.5109	AK3L1	769.5791
AK3	463.0593	AK3	2804.0915
AK5	45.2653	AK5	317.6388
AK7	11.1863	AK7	17.4904
AKAP10	360.0416	AKAP10	668.0721
AKAP11	1363.6837	AKAP11	3387.5224
AKAP12	395.4214	AKAP12	7913.7971
AKAP13	1599.8959	AKAP13	5217.7715
AKAP1	3424.5578	AKAP1	3265.0894
AKAP2	278.0957	AKAP2	1823.2873
AKAP3	7.5442	AKAP3	29.0466
AKAP5	68.6785	AKAP5	75.896
AKAP6	33.8189	AKAP6	301.71
AKAP7	113.9438	AKAP7	248.614
AKAP8L	753.642	AKAP8L	484.7349
AKAP8	653.7461	AKAP8	417.5841
AKAP9	2511.1863	AKAP9	3340.9854
AKD1	54.6306	AKD1	147.7317
AKIRIN1	1789.282	AKIRIN1	1131.5687
AKIRIN2	533.2986	AKIRIN2	710.5489
AKNA	368.8866	AKNA	1018.1932
AKR1A1	2325.4422	AKR1A1	1343.3279
AKR1B10	14.308	removed	removed
AKR1B1	1029.1363	AKR1B1	1045.6781
AKR1C1	38.7617	AKR1C1	2676.6612
AKR1C2	65.2966	AKR1C2	4008.4329
AKR1C3	612.6431	AKR1C3	1825.2518
AKR1D1	55.6712	removed	removed
AKR1E2	51.5088	AKR1E2	41.2275
AKR7A2	1752.3413	AKR7A2	833.6066
AKR7A3	278.616	AKR7A3	39.0411
AKR7L	44.7451	removed	removed
AKT1S1	896.462	AKT1S1	710.5489
AKT1	2309.5734	AKT1	2451.4719
AKT2	2556.1915	AKT2	2932.7711
AKT3	2648.8033	AKT3	1643.1639
AKTIP	462.7211	AKTIP	620.5107
ALAD	909.9896	ALAD	1670.9612
ALAS1	1194.8491	ALAS1	834.2313
removed	removed	ALAS2	86.2029
ALB	23.153	ALB	25.2987
ALCAM	6061.9147	ALCAM	3410.3225
ALDH16A1	273.9334	ALDH16A1	314.5155
ALDH18A1	4718.5224	ALDH18A1	1459.202
ALDH1A1	79.0843	ALDH1A1	5522.9172
