gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
MYO1G	102.0666	MYO1G	54.3933
removed	removed	MYO1H	17.2286
MYO3A	16.2996	MYO3A	23.3817
MYO3B	49.2869	MYO3B	28.5503
MYO5A	837.101	MYO5A	1684.2235
MYO5B	1063.7431	MYO5B	2337.1893
MYO5C	1099.9748	MYO5C	1721.8508
MYO6	9668.7688	MYO6	5363.2784
MYO7A	32.9873	MYO7A	158.0113
MYO9A	659.7458	MYO9A	1678.3165
MYO9B	1631.9007	MYO9B	1484.125
MYOCD	5.4332	MYOCD	36.9185
removed	removed	MYOC	147.1819
MYOF	5200.7374	MYOF	8229.3872
MYOM1	17.0758	MYOM1	423.5786
MYOM2	26.7779	MYOM2	64.9766
removed	removed	MYOM3	127.9842
removed	removed	MYOT	9.8449
MYOZ1	8.926	MYOZ1	25.5968
removed	removed	MYOZ2	6.8915
MYOZ3	6.9855	MYOZ3	9.1066
removed	removed	MYPN	14.2752
MYPOP	122.6351	MYPOP	77.775
MYRIP	268.1673	MYRIP	216.3426
MYSM1	344.2321	MYSM1	375.8307
MYST1	513.8256	MYST1	417.9178
MYST2	896.4781	MYST2	1207.7283
MYST3	3155.9135	MYST3	2743.2931
MYST4	2469.0016	MYST4	1577.652
MZF1	342.2412	MZF1	171.0066
N4BP1	955.0791	N4BP1	1769.8745
N4BP2L1	91.2002	N4BP2L1	771.3512
N4BP2L2	3174.1535	N4BP2L2	2366.7241
N4BP2	161.8318	N4BP2	524.9815
N4BP3	304.6473	N4BP3	90.8196
N6AMT1	65.5865	N6AMT1	284.5188
N6AMT2	116.0376	N6AMT2	173.7632
NAA10	618.9968	NAA10	310.1157
NAA15	1243.4268	NAA15	1231.3561
NAA16	203.745	NAA16	395.0283
NAA20	1305.1324	NAA20	888.9983
NAA25	735.8106	NAA25	857.7406
NAA30	726.1085	NAA30	816.638
NAA35	752.4983	NAA35	534.8265
NAA38	169.9816	NAA38	452.129
NAA40	521.5873	NAA40	482.4022
NAA50	4292.2286	NAA50	3537.78
NAAA	302.7069	NAAA	632.5375
NAALAD2	7.7617	NAALAD2	240.7088
NAALADL1	35.3158	NAALADL1	74.3293
NAALADL2	1004.7541	NAALADL2	902.2889
NAB1	282.9145	NAB1	1808.5159
NAB2	880.9547	NAB2	413.2414
NACA2	24.4494	NACA2	33.7189
NACAD	43.8537	NACAD	112.2323
NACAP1	114.4853	NACAP1	135.1218
NACA	16050.0631	NACA	14709.082
NACC1	2016.4936	NACC1	572.7295
NACC2	33.7635	NACC2	38.6414
NADK	3013.8741	NADK	812.4539
NADSYN1	652.7603	NADSYN1	602.0182
NAE1	608.1304	NAE1	1056.3623
NAF1	158.339	NAF1	239.7243
NAGA	1633.453	NAGA	850.603
NAGK	1374.5998	NAGK	603.9872
NAGLU	878.2381	NAGLU	533.1036
NAGPA	100.9023	NAGPA	128.2698
NAGS	25.6137	NAGS	23.6279
NAIF1	199.088	NAIF1	154.3195
NAIP	86.9312	NAIP	245.1391
NALCN	104.3951	NALCN	120.8467
NAMPT	1189.871	NAMPT	3952.252
NANOS1	608.1304	NANOS1	401.9198
NANP	128.0683	NANP	220.0345
NANS	1095.178	NANS	535.3187
NAP1L1	7707.7714	NAP1L1	8804.3318
NAP1L2	260.4055	NAP1L2	179.6702
NAP1L3	76.0648	NAP1L3	170.0714
NAP1L4	3220.3357	NAP1L4	2500.1231
NAP1L5	48.8988	NAP1L5	283.5343
NAPA	2968.2623	NAPA	1789.781
NAPB	162.6079	NAPB	280.5809
NAPEPLD	368.9958	NAPEPLD	561.2134
NAPG	547.9771	NAPG	803.8395
NAPRT1	39.9728	NAPRT1	55.3778
NAPSB	77.2291	NAPSB	62.0231
NARFL	553.0222	NARFL	193.207
NARF	528.5728	NARF	570.0222
NARG2	941.8842	NARG2	1538.5183
NARS2	402.4449	NARS2	367.4625
NARS	2284.6609	NARS	3108.2944
NASP	2919.5692	NASP	1793.7485
NAT10	1464.2476	NAT10	966.5272
NAT14	296.8856	NAT14	58.3313
NAT15	876.6857	NAT15	645.336
NAT1	6987.0961	NAT1	338.1738
NAT2	125.3517	NAT2	11.0756
NAT6	89.7604	NAT6	114.9077
NAT8L	81.498	NAT8L	251.2921
NAT9	309.6924	NAT9	194.1915
NAV1	1015.6205	NAV1	1493.7238
NAV2	536.3345	NAV2	3268.2304
NAV3	82.2742	NAV3	484.8634
NBAS	1574.464	NBAS	1707.3591
NBEAL1	451.3437	NBEAL1	710.3126
NBEAL2	1555.0597	NBEAL2	1104.6025
NBEA	540.2154	NBEA	619.7391
NBL1	3101.1196	NBL1	1785.0505
NBLA00301	8.926	NBLA00301	44.5484
NBN	2639.3713	NBN	2294.856
NBPF10	819.3732	NBPF10	1698.6094
NBPF14	174.1224	NBPF14	869.6923
NBPF15	255.5273	NBPF15	294.8265
NBPF16	198.3118	NBPF16	59.808
NBPF1	540.9916	NBPF1	873.0002
NBPF3	93.5287	NBPF3	227.4182
NBPF4	19.7924	removed	removed
NBPF6	6.9855	removed	removed
NBPF9	256.0706	NBPF9	306.857
NBR1	5519.3558	NBR1	5141.0288
NBR2	140.099	NBR2	205.267
NCALD	358.9793	NCALD	1932.0699
NCAM1	85.767	NCAM1	853.7337
NCAM2	217.7161	NCAM2	197.6372
NCAPD2	1842.6312	NCAPD2	1362.7861
NCAPD3	928.6892	NCAPD3	741.3241
NCAPG2	498.3021	NCAPG2	588.4814
NCAPG	332.4808	NCAPG	218.2378
NCAPH2	776.9477	NCAPH2	363.2784
NCAPH	374.1147	NCAPH	155.5501
NCBP1	965.2508	NCBP1	1012.5818
NCBP2	2538.8571	NCBP2	1808.762
NCCRP1	225.4778	NCCRP1	64.9766
NCDN	2399.1346	NCDN	460.9894
NCEH1	784.7094	NCEH1	968.2501
NCF1B	20.5685	NCF1B	13.0445
NCF1C	21.7328	NCF1C	35.934
NCF1	69.0793	NCF1	45.2867
NCF2	245.6583	NCF2	232.0945
NCF4	64.8103	NCF4	154.8117
NCK1	584.4572	NCK1	891.2134
NCK2	617.0564	NCK2	864.3859
NCKAP1L	242.1655	NCKAP1L	571.9911
NCKAP1	3936.3539	NCKAP1	6070.3913
NCKAP5L	566.9933	NCKAP5L	450.8984
NCKAP5	425.342	NCKAP5	300.0246
NCKIPSD	650.0437	NCKIPSD	352.4489
NCLN	1065.2954	NCLN	444.4991
NCL	12094.6929	NCL	10034.2112
NCOA1	2342.0976	NCOA1	2966.2811
NCOA2	985.3498	NCOA2	1358.1098
NCOA3	1969.9234	NCOA3	1734.4327
NCOA4	4851.8483	NCOA4	7769.6284
NCOA5	1490.6374	NCOA5	1030.5193
NCOA6	2135.636	NCOA6	1691.8533
NCOA7	1057.9218	NCOA7	5476.7413
NCOR1	1885.3207	NCOR1	3398.9663
NCOR2	2951.3923	NCOR2	1910.9033
removed	removed	NCR3	6.3992
NCRNA00052	102.0666	removed	removed
NCRNA00081	211.0139	NCRNA00081	277.9449
NCRNA00085	79.5576	NCRNA00085	22.3972
NCRNA00086	38.8086	NCRNA00086	165.395
NCRNA00087	24.0613	NCRNA00087	53.9011
removed	removed	NCRNA00092	7.3837
NCRNA00093	15.6399	NCRNA00093	6.0817
NCRNA00094	1077.6366	NCRNA00094	583.8026
NCRNA00095	67.1388	NCRNA00095	74.8216
NCRNA00105	38.0324	NCRNA00105	27.8513
NCRNA00107	18.24	NCRNA00107	16.2442
removed	removed	NCRNA00110	11.5678
NCRNA00115	13.9711	NCRNA00115	6.1531
NCRNA00116	101.6785	NCRNA00116	70.1452
NCRNA00120	12.8068	NCRNA00120	47.2557
NCRNA00152	207.6259	NCRNA00152	129.2149
NCRNA00160	26.3898	removed	removed
NCRNA00171	35.7699	NCRNA00171	36.7216
NCRNA00173	102.0666	NCRNA00173	32.7344
NCRNA00174	67.5269	NCRNA00174	132.6606
NCRNA00176	71.7959	NCRNA00176	5.1686
NCRNA00181	150.457	NCRNA00181	105.1292
NCRNA00182	35.3158	NCRNA00182	107.556
NCRNA00183	231.2991	NCRNA00183	341.8656
NCRNA00188	4723.3919	NCRNA00188	7464.4351
NCRNA00201	466.6382	NCRNA00201	1018.474
NCRNA00202	66.7508	NCRNA00202	7.6298
removed	removed	NCRNA00204B	9.3527
NCRNA00219	122.6351	NCRNA00219	357.8636
NCRNA00235	5.0451	removed	removed
NCS1	362.8602	NCS1	444.9914
NCSTN	11811.1613	NCSTN	3832.8649
NDC80	209.9544	NDC80	99.9262
NDE1	784.2204	NDE1	394.5902
NDEL1	566.2171	NDEL1	936.9924
NDFIP1	2812.0695	NDFIP1	4446.4681
NDFIP2	264.2864	NDFIP2	1052.9166
NDNL2	140.099	NDNL2	419.1484
NDN	233.6276	NDN	811.7155
NDOR1	935.6748	NDOR1	210.6818
removed	removed	NDP	93.2808
NDRG1	8525.08	NDRG1	4179.6702
NDRG2	942.2722	NDRG2	5559.4388
NDRG3	1402.1539	NDRG3	1182.1314
NDRG4	65.9746	NDRG4	202.8058
NDST1	6506.2579	NDST1	5276.889
NDST2	513.4375	NDST2	663.303
removed	removed	NDST3	6.8915
NDUFA10	1217.037	NDUFA10	1663.303
NDUFA11	934.4756	NDUFA11	649.5201
NDUFA12	519.2588	NDUFA12	481.1715
NDUFA13	1233.4957	NDUFA13	720.8811
NDUFA1	1133.9866	NDUFA1	921.9788
NDUFA2	646.1628	NDUFA2	470.096
NDUFA3	597.264	NDUFA3	254.4918
NDUFA4L2	166.8769	NDUFA4L2	91.558
NDUFA4	1698.2633	NDUFA4	2396.0128
NDUFA5	783.9332	NDUFA5	1645.0898
NDUFA6	939.5556	NDUFA6	697.268
NDUFA7	384.2049	NDUFA7	244.6468
NDUFA8	877.0738	NDUFA8	460.9894
NDUFA9	745.1247	NDUFA9	983.5097
NDUFAB1	736.9749	NDUFAB1	663.303
NDUFAF1	404.7735	NDUFAF1	280.0886
NDUFAF2	61.3176	NDUFAF2	131.1839
NDUFAF3	926.3607	NDUFAF3	517.3517
NDUFAF4	78.7814	NDUFAF4	250.5538
NDUFB10	1237.2174	NDUFB10	622.2003
NDUFB11	918.2109	NDUFB11	657.1499
NDUFB1	594.5474	NDUFB1	458.0359
NDUFB2	608.5185	NDUFB2	681.0214
NDUFB3	631.8036	NDUFB3	531.873
NDUFB4	1747.9383	NDUFB4	1148.6586
NDUFB5	1312.118	NDUFB5	1264.5828
NDUFB6	753.2745	NDUFB6	525.966
NDUFB7	704.3757	NDUFB7	309.3773
NDUFB8	828.3652	NDUFB8	704.3515
NDUFB9	1641.2147	NDUFB9	1320.4529
NDUFC1	393.9071	NDUFC1	457.7898
NDUFC2	1532.1626	NDUFC2	1270.2437
NDUFS1	1218.9774	NDUFS1	1711.2971
NDUFS2	2521.7813	NDUFS2	1502.0921
NDUFS3	761.4786	NDUFS3	797.108
NDUFS4	377.2194	NDUFS4	725.8184
NDUFS5	1464.6357	NDUFS5	1554.2702
NDUFS6	653.5364	NDUFS6	239.2321
NDUFS7	364.9985	NDUFS7	201.462
NDUFS8	671.7765	NDUFS8	385.1834
NDUFV1	979.9166	NDUFV1	853.8026
NDUFV2	1561.6571	NDUFV2	1340.8811
NDUFV3	746.2889	NDUFV3	538.2722
NEAT1	12194.8191	NEAT1	10221.2651
NEBL	3843.9895	NEBL	2942.8993
NEB	31.0469	NEB	17.4748
NECAB1	24.4494	NECAB1	210.9279
removed	removed	NECAB2	7.3837
NECAB3	827.0108	NECAB3	214.1275
NECAP1	512.2732	NECAP1	807.0391
NECAP2	879.0143	NECAP2	1224.7108
NEDD1	664.7909	NEDD1	945.3606
NEDD4L	546.8128	NEDD4L	2293.8715
NEDD4	382.6526	NEDD4	925.4246
NEDD8	1877.5589	NEDD8	1178.6857
NEDD9	691.9569	NEDD9	3964.3121
NEFH	26.7779	NEFH	30.2732
NEFL	7.7617	NEFL	11.3217
NEFM	8.6427	removed	removed
NEGR1	182.7884	NEGR1	723.8494
NEIL1	115.6496	NEIL1	104.6025
NEIL2	345.0082	NEIL2	335.7125
NEIL3	32.5992	NEIL3	13.5368
NEK10	73.7363	NEK10	473.5417
NEK11	782.769	NEK11	374.6
NEK1	386.5334	NEK1	818.3608
NEK2	708.6446	NEK2	190.0074
NEK3	94.3048	NEK3	226.6798
NEK4	735.0344	NEK4	697.7603
NEK5	44.2418	NEK5	14.2752
NEK6	1423.4986	NEK6	841.7426
NEK7	1877.1709	NEK7	2666.5026
NEK8	525.08	NEK8	85.651
NEK9	2777.1417	NEK9	2812.4539
NELF	460.6578	NELF	428.0089
NELL2	8.5379	NELL2	589.9582
NENF	1126.2249	NENF	821.0682
NEO1	1613.2725	NEO1	2394.0438
NES	561.172	NES	1482.156
NET1	6169.0114	NET1	2633.7682
NETO1	9.3141	NETO1	16.2442
NETO2	119.1423	NETO2	293.1332
NEU1	1814.689	NEU1	975.1415
NEU3	93.1406	NEU3	110.7556
NEU4	57.8248	removed	removed
NEURL1B	596.0997	NEURL1B	1251.2921
NEURL2	5.895	NEURL2	11.3414
NEURL3	55.4963	NEURL3	23.6279
NEURL4	391.5863	NEURL4	288.9491
NEURL	12.4187	NEURL	10.3372
removed	removed	NEUROG2	12.3062
NEXN	313.1852	NEXN	489.7859
NF1	1937.3241	NF1	3820.8221
NF2	929.0773	NF2	841.7426
NFAM1	338.4108	NFAM1	157.7652
NFASC	1132.1626	NFASC	1111.1174
NFAT5	945.3769	NFAT5	4372.3849
NFATC1	258.4651	NFATC1	483.3867
NFATC2IP	763.3647	NFATC2IP	928.6242
NFATC2	32.5992	NFATC2	151.366
NFATC3	683.8071	NFATC3	1110.7556
NFATC4	1750.6549	NFATC4	713.0199
NFE2L1	4669.836	NFE2L1	5424.5631
NFE2L2	2678.6495	NFE2L2	4517.3739
NFE2L3	345.3963	NFE2L3	803.1012
NFE2	10.8664	NFE2	8.3682
NFIA	4987.2902	NFIA	2593.1578
NFIB	482.0025	NFIB	9703.4211
NFIC	1132.0462	NFIC	942.6532
NFIL3	338.0227	NFIL3	1254.7379
NFIX	2217.9102	NFIX	4137.0908
NFKB1	1145.2411	NFKB1	1616.0473
NFKB2	794.7997	NFKB2	597.0957
NFKBIA	1158.0479	NFKBIA	4159.4881
NFKBIB	317.0661	NFKBIB	108.5405
NFKBID	12.0307	NFKBID	42.0871
NFKBIE	142.4275	NFKBIE	180.6547
NFKBIL1	320.9469	NFKBIL1	137.0908
NFKBIL2	417.1883	NFKBIL2	114.189
NFKBIZ	1149.122	NFKBIZ	1404.1349
NFRKB	992.7234	NFRKB	888.9983
NFS1	460.6578	NFS1	358.8481
NFU1	535.1703	NFU1	594.3884
NFX1	1638.11	NFX1	1389.8597
NFXL1	264.2088	NFXL1	356.4829
NFYA	1202.2897	NFYA	1161.2109
NFYB	576.6954	NFYB	1027.3197
NFYC	1757.7064	NFYC	974.0044
NGDN	558.8435	NGDN	481.6638
NGEF	298.0499	NGEF	34.4573
NGFRAP1	1738.6242	NGFRAP1	1135.1218
NGFR	11.6426	NGFR	1142.0133
NGF	8.926	NGF	13.2907
NGLY1	497.526	NGLY1	706.8668
NGRN	1626.6964	NGRN	1894.3539
NHEDC1	13.1949	NHEDC1	7.3911
NHEDC2	52.3916	NHEDC2	257.6914
NHEJ1	116.0376	NHEJ1	279.2099
NHLRC1	135.83	NHLRC1	75.3138
NHLRC2	291.0643	NHLRC2	362.2939
NHLRC3	525.8562	NHLRC3	1061.2848
NHLRC4	123.4113	NHLRC4	18.2131
NHP2L1	2104.5891	NHP2L1	1599.3109
NHP2	565.829	NHP2	650.2584
NHSL1	173.4743	NHSL1	330.5439
NHSL2	208.014	NHSL2	149.397
NHS	194.431	NHS	483.6328
NICN1	187.0573	NICN1	428.6291
NID1	2895.8766	NID1	2876.1309
NID2	1042.3984	NID2	826.2368
NIF3L1	471.1361	NIF3L1	465.9119
NINJ1	1948.1906	NINJ1	1265.0751
NINJ2	182.4003	NINJ2	51.6859
NINL	284.4669	NINL	301.9936
NIN	1560.4929	NIN	2147.1819
NIP7	305.4235	NIP7	576.9136
NIPA1	185.8931	NIPA1	431.4546
NIPA2	455.2246	NIPA2	1055.1317
NIPAL1	52.3916	NIPAL1	96.2343
NIPAL2	610.0708	NIPAL2	491.2626
NIPAL3	946.1531	NIPAL3	1566.0842
removed	removed	NIPAL4	5.907
NIPBL	2949.8399	NIPBL	3392.0748
NIPSNAP1	2749.1996	NIPSNAP1	1146.1974
NIPSNAP3A	376.8313	NIPSNAP3A	764.2136
NIPSNAP3B	27.5657	NIPSNAP3B	221.8016
NISCH	1984.6706	NISCH	2188.7768
NIT1	1759.5343	NIT1	579.6087
NIT2	830.8916	NIT2	656.1654
NKAIN1	73.7363	NKAIN1	41.3488
NKAIN2	24.4494	NKAIN2	17.7209
NKAPL	5.4332	NKAPL	27.812
NKAP	453.2842	NKAP	351.2183
NKD1	43.4656	NKD1	16.7364
NKD2	76.841	NKD2	15.7519
NKG7	7.3736	NKG7	87.1277
NKIRAS1	466.091	NKIRAS1	302.2397
NKIRAS2	659.7458	NKIRAS2	667.9793
NKPD1	20.1805	NKPD1	21.1666
NKRF	336.8584	NKRF	344.573
NKTR	1676.9186	NKTR	3383.9527
NKX2-2	32.5992	removed	removed
NKX3-1	518.8707	NKX3-1	173.0249
NKX3-2	51.6154	removed	removed
NKX6-1	8.5379	removed	removed
NLE1	164.5484	NLE1	228.8949
NLGN1	10.4783	NLGN1	117.1548
NLGN2	357.0389	NLGN2	585.2818
NLGN3	34.1515	NLGN3	84.4204
NLGN4X	73.7363	NLGN4X	319.2222
NLK	1500.7277	NLK	501.5998
NLN	582.1287	NLN	503.8149
NLRC3	44.6299	NLRC3	97.7111
NLRC4	29.1064	NLRC4	29.5348
NLRC5	360.9198	NLRC5	517.3517
NLRP12	156.7866	removed	removed
NLRP14	13.9711	removed	removed
NLRP1	176.1909	NLRP1	441.5457
NLRP2	1318.3274	NLRP2	684.9619
NLRP3	36.4801	NLRP3	333.2513
NLRP7	20.1805	NLRP7	5.4147
removed	removed	NLRP9	7.1376
NLRX1	318.6184	NLRX1	379.5225
NMB	27.166	NMB	178.9318
NMD3	1771.9996	NMD3	1646.5666
NME1-NME2	37.5201	NME1-NME2	12.5055
NME1	824.0147	NME1	446.5174
NME2P1	27.5541	NME2P1	46.5174
NME2	3153.9886	NME2	3364.7551
NME3	716.0182	NME3	205.0209
NME4	3271.9511	NME4	704.4056
NME5	145.5322	NME5	139.3059
NME6	344.6202	NME6	200.5907
NME7	365.7437	NME7	312.983
NMI	325.604	NMI	468.127
NMNAT1	1052.8767	NMNAT1	364.2629
NMNAT2	25.2256	NMNAT2	241.9395
NMNAT3	82.2742	NMNAT3	175.4861
NMRAL1	807.6065	NMRAL1	362.7861
NMT1	1251.5766	NMT1	2104.6025
NMT2	193.2667	NMT2	795.9636
removed	removed	NMUR1	77.0367
NMU	10.8664	NMU	8.1221
removed	removed	NNAT	274.1816
NNMT	1605.8989	NNMT	2883.0913
NNT	1085.864	NNT	1607.1868
NOB1	397.7879	NOB1	809.5004
NOC2L	1154.8617	NOC2L	691.7696
NOC3L	417.5803	NOC3L	547.3788
NOC4L	280.9741	NOC4L	142.5055
NOD1	325.604	NOD1	524.2432
NOD2	260.7936	NOD2	43.5639
NODAL	5.0451	NODAL	11.3217
NOL10	1038.5175	NOL10	675.1169
NOL11	706.7042	NOL11	980.064
NOL12	246.384	NOL12	106.8176
NOL3	753.2745	NOL3	243.1208
removed	removed	NOL4	6.1531
NOL6	1915.2033	NOL6	895.6436
NOL7	587.1738	NOL7	551.5629
NOL8	836.7129	NOL8	1069.8991
NOL9	360.5317	NOL9	207.4822
NOLC1	4368.6815	NOLC1	2457.0514
NOM1	383.8168	NOM1	574.6985
NOMO1	3663.5296	NOMO1	2627.1228
NOMO2	1708.7416	NOMO2	1225.9414
NOMO3	1220.5297	NOMO3	643.8592
NONO	8389.25	NONO	6067.9301
NOP10	2397.2058	NOP10	749.9385
NOP14	928.4874	NOP14	714.0733
NOP16	232.0753	NOP16	133.399
NOP2	516.5422	NOP2	401.4275
NOP56	2503.9294	NOP56	1503.0765
NOP58	1408.3632	NOP58	1189.269
NOS1AP	241.7774	NOS1AP	59.808
NOS2	21.3447	NOS2	8.6955
NOS3	92.0811	NOS3	147.4502
NOSIP	624.0419	NOSIP	257.9375
NOSTRIN	286.4073	NOSTRIN	618.0162
NOTCH1	985.3498	NOTCH1	1368.447
NOTCH2NL	915.8436	NOTCH2NL	721.4374
NOTCH2	7032.5022	NOTCH2	9088.6045
NOTCH3	7269.2345	NOTCH3	3387.8907
removed	removed	NOTCH4	771.3512
NOVA1	14.7473	NOVA1	507.5068
NOVA2	18.6281	NOVA2	23.6279
NOV	135.0538	NOV	944.6222
NOX4	362.4721	NOX4	83.1898
NOXA1	256.1366	NOXA1	43.3177
NOXO1	21.7328	removed	removed
NPAS1	7.7617	removed	removed
NPAS2	445.9105	NPAS2	373.6156
NPAS3	14.3592	NPAS3	216.0965
removed	removed	NPAS4	14.2752
NPAT	621.7134	NPAT	851.0952
NPC1L1	31.4349	NPC1L1	34.2112
NPC1	636.7246	NPC1	1162.284
NPC2	2069.2733	NPC2	3934.5311
NPDC1	570.8742	NPDC1	644.5976
NPEPL1	482.7787	NPEPL1	286.9801
NPEPPS	1261.6668	NPEPPS	2533.1036
removed	removed	NPFF	7.876
NPHP1	221.2089	NPHP1	197.8833
NPHP3	433.4918	NPHP3	1109.525
NPHP4	633.356	NPHP4	223.7263
NPIPL3	177.3668	NPIPL3	592.5917
NPIP	496.3811	NPIP	1183.2587
NPLOC4	1363.7334	NPLOC4	1860.4479
NPL	173.4743	NPL	188.2845
NPM1	15507.9072	NPM1	8907.7037
removed	removed	NPM2	20.6744
NPM3	293.3928	NPM3	204.7748
NPNT	9083.1474	NPNT	1433.9158
NPR1	120.6947	NPR1	1031.2577
NPR2	173.4743	NPR2	532.8575
NPR3	242.1655	NPR3	68.4223
NPRL2	495.1509	NPRL2	249.9237
NPRL3	868.924	NPRL3	501.8459
NPTN	3541.2826	NPTN	3275.4123
NPTX1	10.4783	NPTX1	17.2286
NPTX2	31.0469	removed	removed
NPTXR	159.1152	NPTXR	431.7007
NPW	22.509	removed	removed
NPY1R	13.1949	NPY1R	1575.4369
removed	removed	NPY2R	158.5036
removed	removed	NPY5R	50.4553
NQO1	1191.4233	NQO1	1174.0094
NQO2	427.2824	NQO2	544.4253
NR1D1	1193.6121	NR1D1	690.0394
NR1D2	1218.2012	NR1D2	4024.8585
NR1H2	1259.7264	NR1H2	614.8166
NR1H3	268.9434	NR1H3	506.7684
NR1I3	9.1161	removed	removed
NR2C1	184.7288	NR2C1	609.4019
NR2C2AP	351.2487	NR2C2AP	216.8324
NR2C2	1473.2551	NR2C2	1914.664
removed	removed	NR2E3	8.6143
NR2F1	200.6403	NR2F1	446.4681
NR2F2	2058.4069	NR2F2	1746.4927
NR2F6	643.8343	NR2F6	411.5186
NR3C1	843.3104	NR3C1	4857.4945
NR3C2	72.184	NR3C2	776.7659
NR4A1	410.9828	NR4A1	10357.6175
NR4A2	119.9185	NR4A2	1639.9212
NR4A3	24.8375	NR4A3	1296.0866
NR5A2	35.3158	NR5A2	244.4007
NR6A1	11.6426	NR6A1	14.029
NRARP	403.6092	NRARP	228.4027
NRAS	1575.2401	NRAS	1969.7268
NRBF2	435.8203	NRBF2	614.8166
NRBP1	3207.5289	NRBP1	1886.7832
NRBP2	497.914	NRBP2	1003.6919
NRCAM	67.1388	NRCAM	85.4049
NRD1	2259.4353	NRD1	2932.8083
NRF1	286.7954	NRF1	381.4915
NRG1	44.2418	NRG1	95.4959
removed	removed	NRG2	32.2422
removed	removed	NRG3	8.6143
NRGN	34.5396	NRGN	26.8275
NRIP1	2146.5024	NRIP1	3873.9847
NRIP2	27.5541	NRIP2	125.7691
NRIP3	114.4853	NRIP3	47.9941
NRK	247.9868	NRK	103.8641
NRL	17.0758	NRL	16.2589
NRM	301.1546	NRM	228.6488
NRN1	376.4432	NRN1	1190.4996
NRP1	1444.0671	NRP1	3845.9267
NRP2	1101.3874	NRP2	755.1071
NRSN2	1273.6975	NRSN2	521.0436
NRTN	5.8213	NRTN	12.0601
NRXN1	13.9711	NRXN1	76.2983
NRXN2	51.2273	NRXN2	63.746
NRXN3	14.7473	NRXN3	113.463
NSA2	1114.5823	NSA2	1873.0002
NSD1	3560.6869	NSD1	3132.1683
NSDHL	519.2588	NSDHL	337.4354
NSFL1C	1473.1736	NSFL1C	1230.8639
NSF	1272.9213	NSF	1217.5732
NSL1	1199.185	NSL1	807.2853
NSMAF	712.9136	NSMAF	952.4982
NSMCE1	1292.7137	NSMCE1	743.5393
NSMCE2	427.2824	NSMCE2	297.8095
NSMCE4A	395.8475	NSMCE4A	655.427
NSUN2	1503.0562	NSUN2	1265.0751
NSUN3	156.3986	NSUN3	160.4726
NSUN4	603.8615	NSUN4	588.2353
NSUN5P1	26.3898	NSUN5P1	78.5134
NSUN5P2	65.5399	NSUN5P2	155.6165
NSUN5	297.6618	NSUN5	201.8213
NSUN6	350.4414	NSUN6	244.8929
NSUN7	168.0411	NSUN7	163.426
NT5C2	3125.6428	NT5C2	1682.7467
NT5C3L	232.8515	NT5C3L	503.0765
NT5C3	482.7787	NT5C3	587.2508
NT5C	152.9058	NT5C	105.0948
NT5DC1	1682.7399	NT5DC1	1125.0308
NT5DC2	1282.996	NT5DC2	848.1664
NT5DC3	189.3859	NT5DC3	691.1149
NT5E	515.766	NT5E	1758.0605
NT5M	17.4639	NT5M	27.812
NTAN1	404.3854	NTAN1	701.6983
NTF3	12.0307	removed	removed
NTF4	7.3465	NTF4	30.3692
NTHL1	280.586	NTHL1	72.1142
NTM	514.9898	NTM	176.7167
NTN1	276.3171	NTN1	283.5343
NTN4	8793.2473	NTN4	7366.9702
removed	removed	NTN5	15.2597
NTNG1	547.2009	removed	removed
NTNG2	29.8826	NTNG2	5.1686
NTRK2	126.904	NTRK2	7336.697
NTRK3	9.7021	NTRK3	177.4551
NTSR1	13.583	removed	removed
removed	removed	NTS	9.1066
NUAK1	641.5058	NUAK1	1052.1782
NUAK2	214.2233	NUAK2	27.5658
NUB1	833.9614	NUB1	1863.9454
NUBP1	402.0569	NUBP1	313.3276
NUBP2	780.8286	NUBP2	225.4492
NUBPL	348.1129	NUBPL	461.9739
NUCB1	5131.6581	NUCB1	3269.9975
NUCB2	2126.4927	NUCB2	1956.3401
NUCKS1	18025.8077	NUCKS1	12434.9003
NUDCD1	624.43	NUDCD1	691.8533
NUDCD2	355.8746	NUDCD2	341.8656
NUDCD3	3382.5555	NUDCD3	2036.6724
NUDC	1734.7434	NUDC	811.7155
NUDT10	48.8988	NUDT10	51.4398
NUDT11	28.7183	NUDT11	69.4068
NUDT12	523.1396	NUDT12	682.2545
NUDT13	33.6742	NUDT13	46.4435
NUDT14	209.9544	NUDT14	128.7226
NUDT15	238.2497	NUDT15	484.6911
NUDT16L1	413.3113	NUDT16L1	184.5927
NUDT16P1	99.35	NUDT16P1	120.3544
NUDT16	718.7348	NUDT16	738.8629
NUDT17	41.9133	NUDT17	25.3507
NUDT18	138.9347	NUDT18	73.3448
NUDT19	506.4519	NUDT19	430.224
NUDT1	417.5803	NUDT1	74.5754
NUDT21	1648.9764	NUDT21	3724.0955
NUDT22	383.8867	NUDT22	137.4526
NUDT2	664.7909	NUDT2	291.6564
NUDT3	825.8465	NUDT3	425.7937
NUDT4	1147.9577	NUDT4	1393.7977
NUDT5	683.1086	NUDT5	490.4603
NUDT6	27.8529	NUDT6	80.0468
NUDT7	60.1533	NUDT7	146.9358
NUDT8	19.4043	NUDT8	62.2693
NUDT9	355.8746	NUDT9	438.8383
NUF2	581.7406	NUF2	166.6256
