gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
AGPAT2	857.6695	AGPAT2	1323.6525
AGPAT3	2769.7681	AGPAT3	1556.9776
AGPAT4	135.83	AGPAT4	359.8326
AGPAT5	705.5399	AGPAT5	941.6687
AGPAT6	2382.0704	AGPAT6	1669.4561
AGPAT9	6.2094	AGPAT9	428.0089
AGPHD1	32.9873	AGPHD1	77.775
AGPS	2193.4608	AGPS	2359.0943
AGR2	11792.3741	AGR2	1844.4499
AGR3	7910.7403	AGR3	730.4947
AGRN	4518.8707	AGRN	2267.2902
AGTPBP1	232.4634	AGTPBP1	561.654
AGTR1	17.8519	AGTR1	315.2843
AGTRAP	355.8746	AGTRAP	342.8501
AGT	135.83	AGT	148.6586
AGXT2L2	228.8076	AGXT2L2	358.8481
AHCTF1	1641.9909	AHCTF1	1827.7135
AHCYL1	6511.303	AHCYL1	4239.9705
AHCYL2	405.9377	AHCYL2	818.8531
AHCY	3453.9633	AHCY	1989.6628
AHDC1	610.847	AHDC1	676.1014
AHI1	503.7353	AHI1	561.4078
AHNAK2	13631.9007	AHNAK2	1932.316
AHNAK	51260.6966	AHNAK	91143.9823
AHRR	14.3592	AHRR	18.9515
AHR	6785.6796	AHR	6530.1501
AHSA1	2016.1056	AHSA1	1107.8021
AHSA2	227.0302	AHSA2	437.6077
AIDA	921.7464	AIDA	1438.9614
AIF1L	711.3612	AIF1L	1645.0898
AIF1	244.8821	AIF1	580.8516
AIFM1	641.5058	AIFM1	675.1169
AIFM2	80.7218	AIFM2	889.2444
AIFM3	117.5201	AIFM3	5.6608
AIG1	600.7568	AIG1	945.1144
AIM1L	79.1695	AIM1L	6.1531
AIM1	4994.2757	AIM1	3286.4878
removed	removed	AIM2	11.0756
AIMP1	875.3663	AIMP1	1288.0729
AIMP2	391.6756	AIMP2	202.0921
AIP	514.9898	AIP	372.3849
AJAP1	16.6877	AJAP1	10.0911
AK1	429.999	AK1	275.4123
AK2	2174.0565	AK2	2181.3931
AK3L1	407.4901	AK3L1	796.4558
AK3	921.7037	AK3	2441.0534
AK5	62.0937	AK5	1890.7211
AK7	77.2291	AK7	67.1917
AKAP10	318.2303	AKAP10	624.4155
AKAP11	1381.1972	AKAP11	3559.1927
AKAP12	670.2241	AKAP12	4079.4979
AKAP13	2451.9259	AKAP13	4477.9719
AKAP1	461.8221	AKAP1	1875.2154
AKAP2	932.8534	AKAP2	1370.6473
AKAP3	45.406	AKAP3	66.9456
AKAP5	886.3879	AKAP5	87.62
removed	removed	AKAP6	302.2397
AKAP7	15.5234	AKAP7	261.1371
AKAP8L	765.3051	AKAP8L	386.414
AKAP8	670.2241	AKAP8	563.3768
AKAP9	2114.6793	AKAP9	4291.1642
AKD1	80.3338	AKD1	233.5713
AKIRIN1	1625.6913	AKIRIN1	2041.3488
AKIRIN2	385.7573	AKIRIN2	662.0724
removed	removed	AKNAD1	12.5523
AKNA	499.8545	AKNA	570.0222
AKR1A1	5300.0873	AKR1A1	1454.3441
AKR1B10	26.7779	removed	removed
removed	removed	AKR1B15	6.3992
AKR1B1	467.6433	AKR1B1	799.6554
AKR1C1	30.6588	AKR1C1	1197.145
AKR1C2	48.8988	AKR1C2	1048.2402
AKR1C3	333.3657	AKR1C3	1136.1063
AKR1E2	72.184	AKR1E2	43.3177
AKR7A2	1069.5644	AKR7A2	683.239
AKR7A3	555.3507	AKR7A3	19.6899
AKR7L	27.9422	AKR7L	9.5988
AKT1S1	842.1461	AKT1S1	498.4002
AKT1	7427.5735	AKT1	2248.3387
AKT2	2728.2429	AKT2	1923.9478
AKT3	484.7191	AKT3	1778.2427
AKTIP	432.444	AKTIP	812.1413
ALAD	1729.3102	ALAD	1567.807
ALAS1	1140.9722	ALAS1	861.4324
ALB	8.926	ALB	267.0441
ALCAM	5066.8478	ALCAM	4769.6284
ALDH16A1	646.1628	ALDH16A1	225.4492
ALDH18A1	6648.6854	ALDH18A1	1660.3495
ALDH1A1	212.2829	ALDH1A1	3677.5781
removed	removed	ALDH1A2	411.2725
ALDH1A3	378.9619	ALDH1A3	2917.172
ALDH1B1	961.2884	ALDH1B1	597.588
removed	removed	ALDH1L1	475.2646
ALDH1L2	496.7498	ALDH1L2	384.9372
ALDH2	1239.1579	ALDH2	5726.5567
removed	removed	ALDH3A1	37.1647
ALDH3A2	700.4948	ALDH3A2	2904.2579
ALDH3B1	754.4387	ALDH3B1	175.7322
ALDH3B2	2949.0637	ALDH3B2	1028.0581
ALDH4A1	458.3293	ALDH4A1	535.0726
ALDH5A1	233.2395	ALDH5A1	598.0802
ALDH6A1	672.4517	ALDH6A1	877.5658
ALDH7A1	937.2271	ALDH7A1	1777.5043
ALDH8A1	11.6426	ALDH8A1	16.2442
ALDH9A1	6113.127	ALDH9A1	3753.3842
ALDOA	46623.4598	ALDOA	7961.3586
ALDOB	5.0451	ALDOB	6.8915
ALDOC	664.7909	ALDOC	1173.271
ALG10B	372.5623	ALG10B	602.2643
ALG10	200.6403	ALG10	180.6547
ALG11	11.2545	ALG11	17.967
ALG12	603.8615	ALG12	311.3463
ALG13	296.8856	ALG13	584.2973
ALG14	202.5808	ALG14	200.3446
ALG1L	135.9426	ALG1L	8.8604
ALG1	603.582	ALG1	335.5132
ALG2	907.7326	ALG2	988.1861
ALG3	896.09	ALG3	353.9257
ALG5	1327.6414	ALG5	612.3554
ALG6	445.9105	ALG6	334.2358
ALG8	695.4497	ALG8	641.6441
ALG9	587.1738	ALG9	675.363
ALKBH1	337.6346	ALKBH1	185.331
ALKBH2	214.2233	ALKBH2	154.5656
ALKBH3	336.4704	ALKBH3	306.9161
ALKBH4	133.0552	ALKBH4	129.9557
ALKBH5	1889.9777	ALKBH5	1641.8435
ALKBH6	116.8138	ALKBH6	57.3468
ALKBH7	395.4594	ALKBH7	197.6372
ALKBH8	206.4616	ALKBH8	335.7125
ALMS1P	7.7617	removed	removed
ALMS1	1459.5906	ALMS1	1262.6138
removed	removed	ALOX12P2	19.4438
ALOX15B	2830.6976	ALOX15B	66.9456
ALOX15	22.509	ALOX15	46.5174
ALOX5AP	388.0858	ALOX5AP	388.383
ALOX5	291.4524	ALOX5	566.3303
removed	removed	ALOXE3	11.0756
ALPK1	421.0731	ALPK1	916.318
ALPK2	130.7849	ALPK2	5.4147
ALPK3	250.3153	ALPK3	614.5705
ALPL	31.823	ALPL	631.553
ALS2CL	91.2002	ALS2CL	313.3153
ALS2CR11	5.0451	ALS2CR11	10.8294
removed	removed	ALS2CR12	10.5833
ALS2CR4	671.7765	ALS2CR4	1608.6635
ALS2CR8	152.5177	ALS2CR8	369.9237
ALS2	797.1282	ALS2	983.5097
ALX3	20.5685	ALX3	16.7364
removed	removed	ALX4	33.9651
AMACR	584.0691	AMACR	273.1971
AMBP	59.3771	removed	removed
AMBRA1	918.9871	AMBRA1	677.8243
AMD1	997.7025	AMD1	3021.1174
removed	removed	AMDHD1	11.3217
AMDHD2	220.0602	AMDHD2	83.5171
AMFR	1877.947	AMFR	3094.7576
AMICA1	31.4349	AMICA1	170.5636
AMIGO1	46.9584	AMIGO1	128.2304
AMIGO2	451.7318	AMIGO2	2199.6037
AMIGO3	196.7595	AMIGO3	41.5949
AMMECR1L	682.2548	AMMECR1L	951.2675
AMMECR1	1022.606	AMMECR1	289.1952
AMN1	179.6837	AMN1	223.2341
AMOTL1	1739.4004	AMOTL1	2874.9692
AMOTL2	1255.4575	AMOTL2	3902.7812
AMOT	1745.2217	AMOT	1936.9924
removed	removed	AMPD1	35.6879
AMPD2	783.9332	AMPD2	484.6173
AMPD3	152.1296	AMPD3	291.6564
AMPH	72.9601	AMPH	98.2033
AMT	33.3754	AMT	196.5247
removed	removed	AMY1A	18.7054
AMY2B	91.9996	AMY2B	318.0581
AMZ1	33.7635	AMZ1	10.5833
AMZ2P1	242.1655	AMZ2P1	249.3232
AMZ2	1302.4158	AMZ2	1214.3736
ANAPC10	84.9908	ANAPC10	138.3214
ANAPC11	615.1159	ANAPC11	345.0652
ANAPC13	1480.1514	ANAPC13	1208.3288
ANAPC16	3108.9551	ANAPC16	2606.2023
ANAPC1	847.9674	ANAPC1	1159.9803
ANAPC2	660.9101	ANAPC2	357.8636
ANAPC4	479.2859	ANAPC4	720.6498
ANAPC5	1896.9632	ANAPC5	2277.6274
ANAPC7	913.942	ANAPC7	922.4711
ANGEL1	666.7313	ANGEL1	572.2373
ANGEL2	1036.9652	ANGEL2	933.7928
ANGPT1	46.9584	ANGPT1	457.7898
ANGPT2	466.8672	ANGPT2	469.3576
removed	removed	ANGPT4	8.3682
ANGPTL1	16.2996	ANGPTL1	1096.9727
ANGPTL2	2080.5278	ANGPTL2	3228.1565
ANGPTL4	218.8804	ANGPTL4	277.6274
removed	removed	ANGPTL5	8.6143
removed	removed	ANGPTL7	367.7086
ANG	253.6412	ANG	315.5476
ANK1	5.4332	ANK1	11.0756
ANK2	127.6802	ANK2	1718.1885
removed	removed	ANK3	2040.3643
ANKAR	11.6426	ANKAR	70.6375
ANKDD1A	26.3898	ANKDD1A	110.0172
ANKFN1	5.0451	removed	removed
ANKFY1	1337.7316	ANKFY1	2505.5378
ANKHD1-EIF4EBP3	783.0523	ANKHD1-EIF4EBP3	790.6005
ANKHD1	3336.319	ANKHD1	2971.7524
ANKH	2205.1033	ANKH	2286.4878
ANKIB1	1176.288	ANKIB1	2125.7691
ANKK1	14.3592	ANKK1	28.0581
removed	removed	ANKLE1	7.6298
ANKLE2	1180.1688	ANKLE2	1382.476
ANKMY1	433.4918	ANKMY1	195.9143
ANKMY2	523.5277	ANKMY2	786.6109
ANKRA2	324.4397	ANKRA2	448.191
ANKRD10	1246.8187	ANKRD10	1716.569
ANKRD11	1414.6425	ANKRD11	1797.1253
ANKRD12	1152.2266	ANKRD12	2868.57
ANKRD13A	582.5167	ANKRD13A	1824.76
ANKRD13B	337.2465	ANKRD13B	185.331
ANKRD13C	438.925	ANKRD13C	824.76
ANKRD13D	373.7266	ANKRD13D	283.7805
ANKRD16	222.6914	ANKRD16	137.8292
ANKRD17	2508.5864	ANKRD17	3811.4694
ANKRD19	35.3158	ANKRD19	19.1976
ANKRD1	8.1498	ANKRD1	6.6453
removed	removed	ANKRD20A3	5.6608
ANKRD22	171.5339	ANKRD22	125.0308
ANKRD23	40.749	ANKRD23	26.0891
ANKRD24	39.5847	ANKRD24	8.6143
ANKRD26	421.8492	ANKRD26	421.3635
ANKRD27	1349.7623	ANKRD27	874.477
ANKRD28	2833.8023	ANKRD28	1843.2193
ANKRD29	11.2545	ANKRD29	329.0672
ANKRD30A	848.3555	ANKRD30A	38.1492
ANKRD30B	274.3766	ANKRD30B	11.8139
ANKRD31	6.5975	ANKRD31	5.4147
ANKRD32	162.6079	ANKRD32	186.5617
ANKRD34A	44.6299	ANKRD34A	15.998
ANKRD34B	6.9855	ANKRD34B	8.3682
ANKRD35	31.0469	ANKRD35	125.7691
ANKRD36BP1	114.4853	ANKRD36BP1	306.1777
ANKRD36B	90.424	ANKRD36B	104.3564
ANKRD36	214.9995	ANKRD36	360.3249
