gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
ADAMTS4	1899.8888	ADAMTS4	295.2197
ADAMTS5	472.7475	ADAMTS5	1511.0707
ADAMTS6	168.5206	ADAMTS6	38.1515
ADAMTS7	621.802	ADAMTS7	77.2113
ADAMTS8	11.6796	ADAMTS8	179.4027
ADAMTS9	385.9844	ADAMTS9	736.6867
ADAMTSL1	439.3771	ADAMTSL1	399.6821
ADAMTSL2	388.7653	ADAMTSL2	64.4942
ADAMTSL3	172.4138	ADAMTSL3	113.546
ADAMTSL4	384.3159	ADAMTSL4	505.507
ADAMTSL5	250.8343	ADAMTSL5	100.8289
ADAP1	180.7842	ADAP1	124.3602
ADAP2	449.9444	ADAP2	192.5741
ADARB1	813.6819	ADARB1	783.9219
removed	removed	ADARB2	24.5259
ADAR	12790.8788	ADAR	6497.1046
ADAT1	149.6107	ADAT1	499.1484
ADAT2	43.3815	ADAT2	183.4904
ADAT3	32.2581	ADAT3	34.518
ADA	183.5373	ADA	84.0241
ADCK1	132.3693	ADCK1	176.6776
ADCK2	1006.6741	ADCK2	745.3162
ADCK4	682.4249	ADCK4	581.3557
ADCK5	145.1613	ADCK5	141.7055
removed	removed	ADCY10	45.4184
ADCY1	1086.7631	ADCY1	172.1358
ADCY2	148.4983	ADCY2	148.064
ADCY3	985.1057	ADCY3	1341.3784
ADCY4	197.4416	ADCY4	548.2003
ADCY5	8.8988	ADCY5	289.3153
ADCY6	869.2992	ADCY6	2321.7895
ADCY7	798.6652	ADCY7	449.6423
removed	removed	ADCY8	13.6255
ADCY9	1632.9255	ADCY9	817.9857
removed	removed	ADCYAP1R1	11.3546
ADCYAP1	45.6062	ADCYAP1	54.9563
ADC	250.2781	ADC	130.805
ADD1	4908.2314	ADD1	5229.4766
ADD2	6.6741	ADD2	47.6893
ADD3	933.2592	ADD3	9172.7035
removed	removed	ADH1B	1196.7753
removed	removed	ADH1C	307.9369
ADH5	1568.9655	ADH5	2212.7853
ADHFE1	85.0945	ADHFE1	228.4546
ADI1	837.0412	ADI1	1843.5336
removed	removed	ADIPOQ	434.2001
ADIPOR1	4423.8042	ADIPOR1	2411.2638
ADIPOR2	3142.3804	ADIPOR2	1920.7449
ADK	439.3771	ADK	282.9567
ADM2	135.7063	ADM2	124.4465
ADM	1078.9766	ADM	516.4074
ADNP2	567.8532	ADNP2	675.3719
ADNP	3147.9422	ADNP	2631.9973
ADORA1	502.7809	ADORA1	401.0446
ADORA2A	276.9744	ADORA2A	91.8633
ADORA2B	26.6963	ADORA2B	111.2751
ADORA3	352.614	ADORA3	100.8289
ADO	603.4483	ADO	747.133
ADPGK	888.376	ADPGK	921.4716
ADPRHL1	167.9644	ADPRHL1	93.1078
ADPRHL2	859.2881	ADPRHL2	686.2723
ADPRH	302.0022	ADPRH	372.8852
removed	removed	ADRA1A	7.7211
ADRA1B	58.9544	ADRA1B	8.1753
ADRA1D	12.792	ADRA1D	7.7211
ADRA2A	910.4561	ADRA2A	1051.4364
ADRA2B	11.6796	ADRA2B	34.0638
ADRA2C	12.792	ADRA2C	81.7532
ADRB1	7.7864	ADRB1	6.3586
ADRB2	33.3704	ADRB2	221.6419
ADRBK1	1506.1179	ADRBK1	1763.143
ADRBK2	276.9744	ADRBK2	602.7024
ADRM1	1487.7642	ADRM1	1297.6042
ADSL	615.6841	ADSL	645.3957
ADSSL1	83.9822	ADSSL1	85.8408
ADSS	3137.3749	ADSS	1295.7874
AEBP1	70040.6007	AEBP1	7028.9542
AEBP2	534.4828	AEBP2	869.3085
