gene_id	TCGA-BH-A0H7-01A-13R-A056-07	gene_id	TCGA-BH-A0H7-11A-13R-A089-07
ADAMTS19	29.5469	removed	removed
ADAMTS1	373.2764	ADAMTS1	1619.8763
ADAMTS2	1776.7564	ADAMTS2	273.0085
ADAMTS3	21.3395	ADAMTS3	39.4432
ADAMTS4	653.9724	ADAMTS4	25.1353
ADAMTS5	97.8332	ADAMTS5	987.6257
ADAMTS6	70.5844	ADAMTS6	13.9211
ADAMTS7	319.7636	ADAMTS7	44.8569
ADAMTS8	5.2528	ADAMTS8	66.512
ADAMTS9	177.61	ADAMTS9	306.6512
ADAMTSL1	56.7958	ADAMTSL1	76.9528
ADAMTSL2	109.652	ADAMTSL2	35.9629
ADAMTSL3	91.9238	ADAMTSL3	115.2359
ADAMTSL4	108.6671	ADAMTSL4	290.7966
ADAMTSL5	46.9468	ADAMTSL5	49.1106
ADAP1	269.1431	ADAP1	170.6999
ADAP2	198.9494	ADAP2	141.918
ADARB1	359.1596	ADARB1	558.3913
removed	removed	ADARB2	5.4138
ADAR	12173.3421	ADAR	6664.7332
ADAT1	375.2462	ADAT1	305.1044
ADAT2	44.3204	ADAT2	87.7804
ADAT3	13.132	ADAT3	28.6156
ADA	134.2745	ADA	80.0464
ADCK1	251.8056	ADCK1	161.2529
ADCK2	1000.3283	ADCK2	931.5545
ADCK4	725.87	ADCK4	569.6056
ADCK5	454.3664	ADCK5	255.2204
ADCY1	4870.9783	ADCY1	3417.6334
ADCY2	73.8674	ADCY2	158.546
ADCY3	633.6671	ADCY3	1086.0673
ADCY4	67.3014	ADCY4	258.314
ADCY5	125.7387	ADCY5	337.9737
ADCY6	3455.3513	ADCY6	2559.5514
ADCY7	518.0565	ADCY7	203.4029
ADCY9	1864.084	ADCY9	1078.1129
removed	removed	ADCYAP1R1	8.894
ADC	187.1307	ADC	136.891
ADD1	4754.432	ADD1	6097.8345
ADD2	20.6829	ADD2	37.5097
ADD3	1481.6152	ADD3	1967.5174
removed	removed	ADH1A	78.4996
ADH1B	17.3999	ADH1B	8726.9915
removed	removed	ADH1C	257.1539
removed	removed	ADH4	19.3349
ADH5	2394.6159	ADH5	2956.6899
removed	removed	ADH7	70.379
ADHFE1	207.4852	ADHFE1	226.2181
ADI1	567.6297	ADI1	1650.0387
ADIPOQ	17.3999	ADIPOQ	7551.8175
ADIPOR1	4982.2718	ADIPOR1	3607.5019
ADIPOR2	3402.4951	ADIPOR2	2099.3813
ADK	483.2567	ADK	348.8012
ADM2	461.9173	ADM2	145.3983
ADM	245.568	ADM	549.4973
ADNP2	602.1011	ADNP2	652.7456
ADNP	4487.8529	ADNP	3378.577
ADORA1	355.8766	ADORA1	1090.8739
ADORA2A	102.1011	ADORA2A	59.1647
ADORA2B	17.3999	ADORA2B	54.1377
ADORA3	199.2777	ADORA3	74.6326
ADO	596.52	ADO	569.9923
ADPGK	709.4189	ADPGK	809.3581
ADPRHL1	67.6297	ADPRHL1	92.8074
ADPRHL2	920.5515	ADPRHL2	704.563
ADPRH	224.5568	ADPRH	309.3581
removed	removed	ADRA1A	16.2413
removed	removed	ADRA1B	43.3101
ADRA1D	43.9921	ADRA1D	8.1206
ADRA2A	1089.6257	ADRA2A	904.4857
ADRA2B	13.7886	ADRA2B	125.29
ADRA2C	194.025	ADRA2C	218.8708
removed	removed	ADRB1	12.761
ADRB2	11.1622	ADRB2	220.8043
ADRBK1	2138.2141	ADRBK1	1857.3086
ADRBK2	337.4918	ADRBK2	785.7695
ADRM1	2754.1037	ADRM1	1723.5112
ADSL	1173.6704	ADSL	1059.1647
ADSSL1	185.4892	ADSSL1	144.6249
ADSS	1966.5135	ADSS	1467.5174
AEBP1	30840.4465	AEBP1	5935.0348
AEBP2	430.0722	AEBP2	554.1377
AEN	394.6159	AEN	346.0944
AES	4005.2528	AES	7192.5754
AFAP1L1	182.8628	AFAP1L1	278.809
AFAP1L2	323.7032	AFAP1L2	801.2374
AFAP1	1247.1996	AFAP1	1205.7231
AFF1	1190.4137	AFF1	1321.3457
AFF2	28.2337	AFF2	22.8152
AFF3	1570.5844	AFF3	1119.8763
AFF4	4170.7157	AFF4	2610.2088
AFG3L1	350.6238	AFG3L1	324.4393
AFG3L2	2044.5469	AFG3L2	2056.7788
AFMID	319.4353	AFMID	530.5491
removed	removed	AFP	39.4432
AFTPH	1147.0781	AFTPH	1430.3944
AG2	107.0256	AG2	81.2065
AGAP11	7.5509	AGAP11	60.3248
AGAP1	624.7538	AGAP1	861.5623
AGAP2	138.5391	AGAP2	94.1106
AGAP3	899.2121	AGAP3	1263.7278
AGAP4	55.8109	AGAP4	163.9598
AGAP5	9.8555	AGAP5	31.5159
AGAP6	23.9659	AGAP6	52.2042
AGAP7	7.2226	removed	removed
AGAP8	6.566	AGAP8	17.7881
AGA	964.2154	AGA	745.9397
AGBL2	16.0867	AGBL2	19.3349
AGBL4	11.4905	AGBL4	15.0812
AGBL5	1163.5095	AGBL5	1206.1678
removed	removed	AGER	17.4014
AGFG1	992.7774	AGFG1	1032.8693
AGFG2	306.6316	AGFG2	594.7409
AGGF1	1153.6441	AGGF1	1042.15
AGK	561.392	AGK	590.1005
AGL	1093.8936	AGL	636.891
AGMAT	9.5207	AGMAT	19.7216
AGPAT1	2163.8313	AGPAT1	1892.5406
AGPAT2	1159.8818	AGPAT2	2230.8585
AGPAT3	1435.9816	AGPAT3	1738.5924
AGPAT4	168.4176	AGPAT4	183.6814
AGPAT5	272.1602	AGPAT5	356.9219
AGPAT6	3533.1582	AGPAT6	2546.7904
AGPAT9	43.6638	AGPAT9	215.7773
AGPHD1	50.2298	AGPHD1	83.14
AGPS	790.2167	AGPS	770.6883
AGR2	6279.7111	AGR2	6726.6048
AGR3	4505.5811	AGR3	1111.7556
AGRN	5519.0414	AGRN	4154.2923
AGTPBP1	398.8838	AGTPBP1	315.1585
AGTR1	83.388	AGTR1	201.8561
AGTRAP	1962.5739	AGTRAP	821.7324
AGT	38.7393	AGT	22.8152
AGXT2L2	293.6573	AGXT2L2	395.8275
removed	removed	AGXT	10.8275
AHCTF1	1405.1215	AHCTF1	1387.471
AHCYL1	3056.4675	AHCYL1	3533.256
AHCYL2	560.4071	AHCYL2	497.6798
AHCY	5233.0926	AHCY	4014.3078
AHDC1	678.5949	AHDC1	1153.5189
AHI1	112.6067	AHI1	162.0263
AHNAK2	2070.9127	AHNAK2	1033.6427
AHNAK	34515.7584	AHNAK	54945.0889
AHRR	117.8595	AHRR	16.2413
AHR	978.9888	AHR	1360.4022
AHSA1	1388.7065	AHSA1	1731.6319
AHSA2	99.803	AHSA2	203.7896
AIDA	1147.1307	AIDA	912.2699
AIF1L	1959.9475	AIF1L	2947.4091
AIF1	189.1005	AIF1	271.075
AIFM1	1213.7229	AIFM1	898.6852
AIFM2	264.281	AIFM2	597.0611
removed	removed	AIFM3	12.761
AIG1	519.3697	AIG1	653.5189
AIM1L	15.4301	removed	removed
AIM1	1298.4242	AIM1	2359.2421
AIMP1	1033.9035	AIMP1	1244.536
AIMP2	491.1589	AIMP2	386.8213
AIP	946.4872	AIP	1066.8987
AJAP1	9.849	AJAP1	13.5344
AK1	630.0066	AK1	579.6597
AK2	2145.1083	AK2	2350.348
AK3L1	320.4202	AK3L1	418.0201
AK3	665.1346	AK3	1455.5298
AK5	246.5529	AK5	1599.3813
AK7	39.3959	AK7	37.123
AKAP10	433.3552	AKAP10	370.4563
AKAP11	1223.5719	AKAP11	1009.6674
AKAP12	804.3336	AKAP12	1240.9126
AKAP13	2031.845	AKAP13	2850.348
AKAP1	1096.1917	AKAP1	3033.6427
AKAP2	289.002	AKAP2	736.8407
AKAP3	6.2377	AKAP3	45.2436
AKAP5	25.9357	AKAP5	35.9629
AKAP6	95.5351	AKAP6	237.4323
AKAP7	79.4485	AKAP7	187.1616
AKAP8L	549.5732	AKAP8L	801.2374
AKAP8	479.3171	AKAP8	715.0039
AKAP9	1090.2823	AKAP9	1637.2776
AKD1	161.5233	AKD1	123.7432
AKIRIN1	1060.0788	AKIRIN1	987.6257
AKIRIN2	552.1996	AKIRIN2	730.4718
AKNA	261.9829	AKNA	439.2885
AKR1A1	2582.4032	AKR1A1	1895.9783
AKR1B10	19.0414	AKR1B10	429.2343
AKR1B15	5.5811	AKR1B15	5.8005
AKR1B1	664.8063	AKR1B1	930.7811
AKR1C1	47.9317	AKR1C1	1440.8353
AKR1C2	65.0033	AKR1C2	630.3171
AKR1C3	438.608	AKR1C3	885.5375
AKR1E2	47.9317	AKR1E2	45.2436
AKR7A2	1969.7965	AKR7A2	1390.1779
AKR7A3	2029.2186	AKR7A3	820.959
AKR7L	67.958	AKR7L	49.4973
AKT1S1	1273.1451	AKT1S1	1009.6674
AKT1	4975.0492	AKT1	4063.8051
AKT2	3731.7794	AKT2	2957.0766
AKT3	372.9481	AKT3	392.4981
AKTIP	618.2042	AKTIP	554.5514
ALAD	1593.8936	ALAD	1960.1701
ALAS1	704.8588	ALAS1	878.1903
ALB	19.698	ALB	95.1276
ALCAM	4675.9685	ALCAM	3878.1903
ALDH16A1	524.6225	ALDH16A1	520.1083
ALDH18A1	2828.6277	ALDH18A1	1639.2111
ALDH1A1	267.8923	ALDH1A1	1411.0596
ALDH1A2	23.6376	ALDH1A2	232.4053
ALDH1A3	103.1024	ALDH1A3	1613.7548
ALDH1B1	1218.3191	ALDH1B1	520.8817
removed	removed	ALDH1L1	483.7587
ALDH1L2	680.2364	ALDH1L2	149.2653
ALDH2	7373.933	ALDH2	5325.9861
removed	removed	ALDH3A1	512.3743
ALDH3A2	2338.4767	ALDH3A2	2290.4099
ALDH3B1	766.9074	ALDH3B1	355.7618
ALDH3B2	1265.2659	ALDH3B2	2321.3457
ALDH4A1	1775.4432	ALDH4A1	1116.0093
ALDH5A1	1083.7163	ALDH5A1	854.9884
ALDH6A1	183.8083	ALDH6A1	350.8933
ALDH7A1	2676.6251	ALDH7A1	2947.4091
removed	removed	ALDH8A1	5.4138
ALDH9A1	3456.0079	ALDH9A1	4614.8492
ALDOA	59688.7722	ALDOA	27100.1547
ALDOC	153.3158	ALDOC	1040.6032
ALG10B	250.4924	ALG10B	205.7231
ALG10	90.2823	ALG10	59.1647
ALG11	41.0374	ALG11	17.4014
ALG12	1135.916	ALG12	776.1021
ALG13	311.8844	ALG13	361.949
ALG14	224.5568	ALG14	219.6442
ALG1	1053.8575	ALG1	714.8995
ALG2	846.0276	ALG2	770.3016
ALG3	979.3171	ALG3	710.7502
ALG5	878.2009	ALG5	744.7796
ALG6	509.5207	ALG6	257.5406
ALG8	814.5108	ALG8	696.4424
ALG9	438.9363	ALG9	511.9876
ALKBH1	216.3493	ALKBH1	254.8337
ALKBH2	416.612	ALKBH2	458.2367
ALKBH3	82.4032	ALKBH3	339.5205
ALKBH4	254.0085	ALKBH4	377.7224
ALKBH5	2665.7912	ALKBH5	2674.3581
ALKBH6	153.3158	ALKBH6	98.9946
ALKBH7	439.9212	ALKBH7	606.3418
ALKBH8	183.5194	ALKBH8	240.9126
removed	removed	ALK	13.9211
ALMS1	666.1195	ALMS1	645.785
removed	removed	ALOX12	8.894
ALOX15B	108.6671	ALOX15B	164.7332
ALOX15	110.9652	ALOX15	57.6179
ALOX5AP	241.6284	ALOX5AP	151.9722
ALOX5	160.5384	ALOX5	337.9737
ALOXE3	8.2075	ALOXE3	16.2413
ALPK1	310.8995	ALPK1	647.3318
ALPK2	199.606	removed	removed
ALPK3	93.5653	ALPK3	204.9497
ALPL	154.3007	ALPL	1190.2552
ALS2CL	34.4714	ALS2CL	214.6172
ALS2CR4	866.0538	ALS2CR4	1277.6489
ALS2CR8	108.0105	ALS2CR8	135.7309
ALS2	839.4616	ALS2	628.3836
ALX3	18.0565	ALX3	29.0023
removed	removed	ALX4	92.034
AMACR	409.0611	AMACR	255.2204
AMBP	26.5923	AMBP	17.0147
AMBRA1	1354.2351	AMBRA1	1423.4339
AMD1	1097.8332	AMD1	1392.8848
removed	removed	AMDHD1	14.6945
AMDHD2	616.9402	AMDHD2	477.4787
AMFR	8325.673	AMFR	5197.2158
AMH	5.9094	removed	removed
AMICA1	59.7505	AMICA1	102.4749
AMIGO1	57.7807	AMIGO1	121.8097
AMIGO2	2566.3165	AMIGO2	1916.0866
AMIGO3	65.0033	AMIGO3	54.5244
AMMECR1L	673.0138	AMMECR1L	622.5831
AMMECR1	674.6553	AMMECR1	295.437
AMN1	242.285	AMN1	184.0681
AMOTL1	1101.4445	AMOTL1	1670.5336
AMOTL2	2339.7899	AMOTL2	2292.3434
AMOT	728.8247	AMOT	1121.0363
removed	removed	AMPD1	14.6945
AMPD2	475.3775	AMPD2	522.0418
AMPD3	98.1615	AMPD3	192.5754
AMPH	273.1451	AMPH	131.0905
AMT	35.3677	AMT	144.884
removed	removed	AMY1A	22.0418
AMY2B	9.849	AMY2B	198.7742
AMZ1	177.2817	AMZ1	64.5785
AMZ2P1	198.6211	AMZ2P1	210.3635
AMZ2	1461.589	AMZ2	1419.5669
ANAPC10	95.2068	ANAPC10	146.9451
ANAPC11	1127.3802	ANAPC11	772.6218
ANAPC13	1409.5437	ANAPC13	1187.9814
ANAPC16	1539.3959	ANAPC16	2156.6125
ANAPC1	956.9928	ANAPC1	769.9149
ANAPC2	640.5121	ANAPC2	691.0286
ANAPC4	262.6395	ANAPC4	381.6705
ANAPC5	3891.0046	ANAPC5	3453.2096
ANAPC7	1583.388	ANAPC7	1125.6767
ANGEL1	472.7511	ANGEL1	556.0712
ANGEL2	805.6467	ANGEL2	579.6597
ANGPT1	26.5923	ANGPT1	97.8345
ANGPT2	427.7741	ANGPT2	414.1531
removed	removed	ANGPT4	10.4408
ANGPTL1	9.1924	ANGPTL1	237.819
ANGPTL2	2810.5712	ANGPTL2	2436.1949
ANGPTL4	56.4675	ANGPTL4	864.6558
removed	removed	ANGPTL6	5.1469
removed	removed	ANGPTL7	574.2459
ANG	68.3454	ANG	371.0828
removed	removed	ANK1	12.3743
ANK2	216.021	ANK2	474.0913
ANK3	599.4747	ANK3	1267.5947
ANKAR	19.0414	ANKAR	39.4432
ANKDD1A	25.6074	ANKDD1A	72.3125
ANKFY1	1577.4787	ANKFY1	1573.8592
ANKHD1-EIF4EBP3	634.2449	ANKHD1-EIF4EBP3	610.7966
ANKHD1	2377.2357	ANKHD1	2653.2869
ANKH	1260.3414	ANKH	1248.6466
ANKIB1	1200.2626	ANKIB1	856.5352
removed	removed	ANKK1	59.5514
removed	removed	ANKLE1	11.6009
ANKLE2	1681.8779	ANKLE2	1564.9652
ANKMY1	255.4169	ANKMY1	315.1585
ANKMY2	559.0939	ANKMY2	762.5677
ANKRA2	322.39	ANKRA2	413.3797
ANKRD10	705.5154	ANKRD10	913.3797
ANKRD11	1524.7341	ANKRD11	2401.1137
ANKRD12	627.0519	ANKRD12	993.4261
ANKRD13A	2083.0598	ANKRD13A	1993.8128
ANKRD13B	164.8063	ANKRD13B	103.2483
ANKRD13C	610.3086	ANKRD13C	501.9335
ANKRD13D	360.1445	ANKRD13D	421.8871
ANKRD16	254.7177	ANKRD16	243.8631
ANKRD17	3463.5588	ANKRD17	2603.2483
ANKRD19	50.2298	ANKRD19	52.5909
removed	removed	ANKRD1	5.4138
ANKRD20A3	9.5207	ANKRD20A3	32.8693
ANKRD20B	23.3093	ANKRD20B	13.1477
ANKRD22	240.3152	ANKRD22	68.0588
ANKRD23	33.4865	ANKRD23	28.6156
ANKRD24	9.5207	ANKRD24	29.0023
ANKRD26	91.5955	ANKRD26	194.1222
ANKRD27	873.933	ANKRD27	760.2475
ANKRD28	898.2272	ANKRD28	1028.6156
ANKRD29	15.4301	ANKRD29	143.4648
removed	removed	ANKRD30A	104.4084
removed	removed	ANKRD30B	13.5344
ANKRD32	138.8707	ANKRD32	131.4772
ANKRD34A	29.8752	ANKRD34A	22.8152
ANKRD35	39.7242	ANKRD35	255.2204
ANKRD36BP1	76.8221	ANKRD36BP1	85.4602
ANKRD36B	15.7584	ANKRD36B	23.9753
ANKRD36	69.2712	ANKRD36	149.2653
ANKRD37	83.2009	ANKRD37	108.6504
ANKRD39	214.0512	ANKRD39	180.5878
ANKRD40	1211.0965	ANKRD40	1302.0108
ANKRD42	240.6435	ANKRD42	242.4594
ANKRD43	103.7426	ANKRD43	79.6597
ANKRD44	50.2298	ANKRD44	30.1624
removed	removed	ANKRD45	8.5073
ANKRD46	1436.9698	ANKRD46	719.8569
ANKRD49	166.7761	ANKRD49	271.4617
ANKRD50	4058.4373	ANKRD50	1164.7332
ANKRD52	1599.803	ANKRD52	1189.4818
ANKRD53	10.5056	ANKRD53	44.0835
ANKRD54	366.3821	ANKRD54	375.4834
removed	removed	ANKRD55	5.8005
ANKRD56	154.9573	ANKRD56	174.0139
ANKRD57	856.2049	ANKRD57	913.3797
ANKRD58	12.4754	ANKRD58	11.6009
ANKRD5	511.8188	ANKRD5	369.2962
ANKRD6	182.1175	ANKRD6	294.2034
ANKRD9	22.981	ANKRD9	53.3643
ANKS1A	856.5332	ANKS1A	1571.1524
ANKS1B	122.784	ANKS1B	89.3271
ANKS3	146.4215	ANKS3	213.4571
ANKS6	167.4327	ANKS6	224.2846
ANKZF1	316.8089	ANKZF1	498.4532
ANLN	517.3999	ANLN	180.2011
ANO10	847.0125	ANO10	807.8113
ANO1	3261.9829	ANO1	8125.29
ANO2	17.3999	ANO2	16.2413
ANO3	660.8667	ANO3	142.6914
removed	removed	ANO5	24.7486
ANO6	2209.7833	ANO6	2498.0665
ANO7	21.0112	ANO7	18.9482
ANO8	104.3992	ANO8	237.4323
ANO9	263.9527	ANO9	197.2158
ANP32A	2220.6172	ANP32A	3014.3078
ANP32B	2458.6343	ANP32B	3198.3759
