gene_id	TCGA-BH-A209-01A-11R-A157-07	gene_id	TCGA-BH-A209-11A-42R-A157-07
ACSF3	276.1172	ACSF3	224.3843
ACSL1	2594.5546	ACSL1	8781.0885
ACSL3	3290.3226	ACSL3	3076.0109
ACSL4	826.5759	ACSL4	2471.2679
ACSL5	2077.8337	ACSL5	1603.2229
ACSL6	26.6351	ACSL6	22.1952
ACSM1	5.327	ACSM1	50.1672
ACSM3	38.3605	ACSM3	98.7443
ACSM5	27.227	ACSM5	275.4637
ACSS1	688.0734	ACSS1	745.2113
ACSS2	781.0003	ACSS2	1832.7759
ACSS3	332.0509	ACSS3	498.9358
ACTA1	12.1338	removed	removed
ACTA2	1910.3078	ACTA2	32879.5591
ACTBL2	7.1027	removed	removed
ACTB	100210.7132	ACTB	79761.3256
removed	removed	ACTC1	20.0669
ACTG1	53109.926	ACTG1	36002.4324
ACTG2	44.0959	ACTG2	8317.7258
ACTL6A	1885.765	ACTL6A	833.384
ACTN1	3598.4019	ACTN1	9382.183
ACTN2	510.5061	removed	removed
ACTN4	4685.1406	ACTN4	9788.6227
ACTR10	1019.5324	ACTR10	1215.567
ACTR1A	2094.9985	ACTR1A	2323.5026
ACTR1B	1069.8431	ACTR1B	1046.5187
ACTR2	7752.8855	ACTR2	6287.3214
ACTR3B	445.398	ACTR3B	218.9115
ACTR3C	12.4297	ACTR3C	22.1952
ACTR3	6494.525	ACTR3	3545.4545
ACTR5	208.3457	ACTR5	145.941
ACTR6	731.5774	ACTR6	637.2758
ACTR8	569.3992	ACTR8	530.8604
ACVR1B	812.9624	ACVR1B	1115.2326
ACVR1C	31.0743	ACVR1C	937.367
ACVR1	694.2883	ACVR1	1141.3804
ACVR2A	145.3093	ACVR2A	655.2144
ACVR2B	485.0547	ACVR2B	517.1785
ACVRL1	416.6913	ACVRL1	1060.2007
ACY1	807.9313	ACY1	455.7616
ACY3	9.7662	ACY3	25.2356
ACYP1	76.354	ACYP1	59.8966
ACYP2	56.5256	ACYP2	171.7847
removed	removed	ADAD2	6.3849
ADAL	165.1376	ADAL	164.4877
ADAM10	1555.1938	ADAM10	2453.0252
ADAM11	10.654	ADAM11	7.6011
ADAM12	1244.1551	ADAM12	952.8732
ADAM15	6607.2803	ADAM15	2860.4956
ADAM17	839.0056	ADAM17	855.2752
ADAM19	1021.604	ADAM19	193.3718
ADAM21P1	5.0311	removed	removed
ADAM21	16.277	ADAM21	6.689
ADAM22	13.0216	ADAM22	103.3749
ADAM23	35.5135	ADAM23	44.0863
ADAM28	255.1051	ADAM28	259.6534
removed	removed	ADAM32	69.0179
ADAM33	31.6662	ADAM33	814.8373
ADAM6	107154.9127	ADAM6	38787.1481
ADAM8	286.1793	ADAM8	77.8352
ADAM9	2887.8366	ADAM9	2401.0337
ADAMDEC1	1053.5661	ADAMDEC1	32.5327
ADAMTS10	29.0027	ADAMTS10	114.9285
ADAMTS12	164.8417	ADAMTS12	187.595
ADAMTS13	36.4013	ADAMTS13	34.661
ADAMTS14	47.3513	ADAMTS14	14.5941
ADAMTS15	403.9657	ADAMTS15	152.63
ADAMTS16	10.3581	ADAMTS16	98.5102
ADAMTS17	18.9405	ADAMTS17	38.0055
ADAMTS18	7.9905	ADAMTS18	190.3314
ADAMTS1	701.095	ADAMTS1	4354.5151
ADAMTS2	347.736	ADAMTS2	474.0043
ADAMTS3	26.6351	ADAMTS3	176.3454
ADAMTS4	1760.876	ADAMTS4	204.3174
ADAMTS5	94.7026	ADAMTS5	2273.3354
ADAMTS6	32.2581	ADAMTS6	41.35
ADAMTS7	50.9026	ADAMTS7	57.7683
removed	removed	ADAMTS8	66.2815
ADAMTS9	230.8375	ADAMTS9	1226.8167
ADAMTSL1	94.7026	ADAMTSL1	449.0727
ADAMTSL2	58.8932	ADAMTSL2	61.1128
ADAMTSL3	299.4969	ADAMTSL3	350.2584
ADAMTSL4	104.7647	ADAMTSL4	770.751
ADAMTSL5	16.8689	ADAMTSL5	27.668
ADAP1	132.1012	ADAP1	63.8249
ADAP2	521.752	ADAP2	402.554
ADARB1	444.5102	ADARB1	795.3785
ADAR	18347.1441	ADAR	14256.917
ADAT1	265.7591	ADAT1	424.1411
ADAT2	229.0619	ADAT2	235.6339
removed	removed	ADAT3	7.9051
ADA	310.7428	ADA	143.5087
ADCK1	158.3309	ADCK1	203.4053
ADCK2	1189.997	ADCK2	512.9827
ADCK4	260.1361	ADCK4	337.7926
ADCK5	130.216	ADCK5	32.5327
ADCY10	16.573	removed	removed
ADCY1	246.5226	ADCY1	418.9723
ADCY2	1523.5277	ADCY2	116.1447
ADCY3	1243.871	ADCY3	1763.7185
ADCY4	91.7431	ADCY4	653.6941
ADCY5	9.1743	ADCY5	554.5759
ADCY6	1192.9565	ADCY6	1990.2706
ADCY7	1459.0115	ADCY7	799.0271
ADCY9	523.8236	ADCY9	770.751
removed	removed	ADCYAP1R1	44.9985
ADC	101.8053	ADC	92.4293
ADD1	3459.3075	ADD1	6586.8045
ADD2	22.1959	ADD2	89.3889
ADD3	1273.4537	ADD3	4627.2423
ADH1A	5.327	ADH1A	149.5074
ADH1B	582.7168	ADH1B	23502.9705
ADH1C	5.9189	ADH1C	251.4442
removed	removed	ADH4	13.3779
ADH5	2401.0062	ADH5	4128.3065
ADHFE1	46.4635	ADHFE1	166.0079
ADI1	2320.509	ADI1	1799.3311
ADIPOQ	488.0142	ADIPOQ	18369.4132
ADIPOR1	9325.5401	ADIPOR1	2022.1952
ADIPOR2	3263.9834	ADIPOR2	2980.5412
ADK	601.6573	ADK	371.8455
ADM2	84.3445	ADM2	113.7124
ADM	228.174	ADM	797.8109
ADNP2	519.0885	ADNP2	710.2463
ADNP	3292.0983	ADNP	3252.3563
ADORA1	100.0296	ADORA1	264.5181
ADORA2A	337.2181	ADORA2A	88.7717
ADORA2B	22.4919	ADORA2B	93.6455
ADORA3	447.4697	ADORA3	259.3493
ADO	650.1924	ADO	815.4454
ADPGK	1176.8689	ADPGK	856.0474
ADPRHL1	49.127	ADPRHL1	64.1532
ADPRHL2	1016.573	ADPRHL2	446.6403
ADPRH	452.2048	ADPRH	635.7555
removed	removed	ADRA1A	44.0863
ADRA1B	19.2365	ADRA1B	34.0529
removed	removed	ADRA1D	9.4254
ADRA2A	786.3273	ADRA2A	1731.5293
ADRA2B	16.277	ADRA2B	37.0933
ADRA2C	17.4608	ADRA2C	74.4907
removed	removed	ADRB1	62.329
ADRB2	73.6904	ADRB2	322.5905
removed	removed	ADRB3	18.5467
ADRBK1	1838.4137	ADRBK1	1267.8626
ADRBK2	1285.5875	ADRBK2	1615.6887
ADRM1	1295.9455	ADRM1	684.4026
ADSL	1064.5161	ADSL	799.6351
ADSSL1	31.6662	ADSSL1	70.5382
ADSS	2832.1989	ADSS	1418.3642
AEBP1	4922.7582	AEBP1	6443.2958
AEBP2	563.1844	AEBP2	842.5053
AEN	584.1965	AEN	379.7507
AES	3249.778	AES	4971.1158
AFAP1L1	126.3687	AFAP1L1	737.6102
AFAP1L2	246.8186	AFAP1L2	1024.0195
AFAP1	719.4347	AFAP1	1575.5488
removed	removed	AFF1	3626.9383
AFF2	18.6446	AFF2	82.6999
AFF3	688.3693	AFF3	1481.6054
AFF4	2009.4703	AFF4	4084.5242
AFG3L1	440.9589	AFG3L1	242.6269
AFG3L2	1947.5762	AFG3L2	1181.0611
AFMID	1143.8295	AFMID	414.1076
removed	removed	AFP	27.0599
AFTPH	1798.4611	AFTPH	1738.2183
AG2	35.2175	AG2	359.3798
AGAP11	108.6475	AGAP11	337.215
AGAP1	672.9802	AGAP1	459.1061
AGAP2	237.0613	AGAP2	62.0006
AGAP3	1050.0148	AGAP3	779.8723
AGAP4	188.5173	AGAP4	185.7708
AGAP5	36.0284	AGAP5	50.903
AGAP6	137.6147	AGAP6	110.6719
AGAP7	6.5108	AGAP7	5.1687
AGAP8	29.0027	AGAP8	77.8352
AGA	394.7914	AGA	471.2679
AGBL2	6.8067	AGBL2	9.1213
removed	removed	AGBL4	7.2971
AGBL5	536.2563	AGBL5	650.0547
AGER	37.5851	AGER	37.0933
AGFG1	2754.3652	AGFG1	2280.3284
AGFG2	390.6481	AGFG2	434.4786
AGGF1	917.4312	AGGF1	1078.1393
AGK	907.9609	AGK	543.6303
AGL	1466.7061	AGL	1159.927
AGMAT	91.4472	AGMAT	22.8033
AGPAT1	1119.6685	AGPAT1	1720.6659
AGPAT2	231.4294	AGPAT2	1284.889
AGPAT3	2121.9296	AGPAT3	1844.3296
AGPAT4	200.0592	AGPAT4	313.7732
AGPAT5	591.2992	AGPAT5	778.3521
AGPAT6	2506.3628	AGPAT6	1436.6069
AGPAT9	77.8337	AGPAT9	110.0638
AGPHD1	44.9837	AGPHD1	54.4238
AGPS	2269.6064	AGPS	1506.5369
AGR2	1626.5167	AGR2	1312.253
AGR3	260.1361	AGR3	149.2855
AGRN	1050.6067	AGRN	2666.1599
AGTPBP1	373.4833	AGTPBP1	477.0447
AGTR1	21.3081	AGTR1	722.408
AGTRAP	581.533	AGTRAP	584.3721
AGT	49.7189	AGT	66.8896
AGXT2L2	216.0136	AGXT2L2	347.9903
AHCTF1	2941.6987	AHCTF1	1837.0325
AHCYL1	3474.4007	AHCYL1	4441.4716
AHCYL2	388.5765	AHCYL2	620.2493
AHCY	4065.6999	AHCY	1817.5737
AHDC1	333.8266	AHDC1	737.0021
AHI1	316.0698	AHI1	564.0012
AHNAK2	128.7363	AHNAK2	1089.997
removed	removed	AHNAK	82332.0158
AHRR	26.6351	AHRR	31.9246
AHR	1659.3667	AHR	3828.5193
AHSA1	3110.0917	AHSA1	1445.1201
AHSA2	252.4416	AHSA2	344.4816
AICDA	27.5229	removed	removed
AIDA	1365.3566	AIDA	1474.0225
AIF1L	1136.7268	AIF1L	2958.65
AIF1	662.0302	AIF1	665.8559
AIFM1	872.7434	AIFM1	710.5503
AIFM2	275.5253	AIFM2	1013.3779
AIFM3	24.2675	AIFM3	8.2092
AIG1	849.0678	AIG1	965.6431
AIM1L	27.5229	removed	removed
AIM1	3328.4996	AIM1	3501.9763
AIM2	198.8754	AIM2	28.2761
AIMP1	1430.3847	AIMP1	1180.073
AIMP2	723.4448	AIMP2	263.6485
AIP	650.7843	AIP	571.9064
removed	removed	AJAP1	26.7559
AK1	435.04	AK1	442.9918
AK2	4102.6931	AK2	2387.0477
AK3L1	1198.5795	AK3L1	615.9927
AK3	981.6514	AK3	2594.4056
AK5	10.95	AK5	898.1453
AK7	10.0621	AK7	44.6944
AKAP10	424.6819	AKAP10	629.0666
AKAP11	1015.6851	AKAP11	2690.7875
AKAP12	226.9902	AKAP12	4287.9295
AKAP13	2650.7843	AKAP13	4700.2128
AKAP1	3288.5469	AKAP1	2050.4713
AKAP2	939.0826	AKAP2	2378.4889
AKAP3	40.2486	AKAP3	54.1198
AKAP5	181.4146	AKAP5	89.3889
AKAP6	57.7094	AKAP6	371.8455
AKAP7	81.9769	AKAP7	240.8027
AKAP8L	1498.9642	AKAP8L	422.9249
AKAP8	963.5987	AKAP8	470.6598
AKAP9	1785.1435	AKAP9	2847.9781
AKD1	144.4214	AKD1	150.1976
AKIRIN1	2374.0752	AKIRIN1	1327.4552
AKIRIN2	1014.7973	AKIRIN2	820.0061
AKNA	1315.182	AKNA	855.5792
AKR1A1	1705.2382	AKR1A1	1443.9039
removed	removed	AKR1B15	16.4184
AKR1B1	787.807	AKR1B1	919.1244
AKR1C1	52.9743	AKR1C1	1789.2977
AKR1C2	51.7905	AKR1C2	1770.4469
AKR1C3	114.5309	AKR1C3	2029.1882
AKR1E2	65.6999	AKR1E2	59.8966
AKR7A2	556.9695	AKR7A2	729.097
AKR7A3	274.3415	AKR7A3	66.5856
AKR7L	57.1175	AKR7L	15.2022
AKT1S1	566.7357	AKT1S1	559.4406
AKT1	2714.7085	AKT1	2224.6884
AKT2	1601.0654	AKT2	1795.6826
AKT3	2545.7236	AKT3	1380.6628
AKTIP	727.4697	AKTIP	644.5546
ALAD	1038.7689	ALAD	2276.9839
ALAS1	1484.4629	ALAS1	925.5093
removed	removed	ALB	107.0234
ALCAM	2013.0216	ALCAM	3360.5959
ALDH16A1	219.2956	ALDH16A1	321.9824
ALDH18A1	2641.6099	ALDH18A1	1635.1475
ALDH1A1	679.7869	ALDH1A1	2415.0198
ALDH1A2	31.0743	ALDH1A2	302.8276
ALDH1A3	199.4495	ALDH1A3	1524.1593
ALDH1B1	872.4475	ALDH1B1	801.4594
ALDH1L1	6.2149	ALDH1L1	480.3892
ALDH1L2	377.3306	ALDH1L2	464.2749
ALDH2	2256.2888	ALDH2	5813.0131
removed	removed	ALDH3A1	14.2901
ALDH3A2	1217.224	ALDH3A2	2080.2676
ALDH3B1	288.251	ALDH3B1	211.6145
ALDH3B2	49.127	ALDH3B2	1421.1006
ALDH4A1	381.7698	ALDH4A1	1196.4123
ALDH5A1	166.3214	ALDH5A1	723.6242
ALDH6A1	223.5218	ALDH6A1	603.01
ALDH7A1	1808.2273	ALDH7A1	2377.0143
ALDH8A1	20.7162	ALDH8A1	16.7224
ALDH9A1	4799.9408	ALDH9A1	4170.5686
ALDOA	13907.665	ALDOA	9093.3414
ALDOC	96.1823	ALDOC	986.014
ALG10B	158.6268	ALG10B	405.8984
ALG10	99.1418	ALG10	134.3874
ALG11	15.6851	ALG11	11.8577
ALG12	180.5268	ALG12	352.9948
ALG13	311.0388	ALG13	463.3627
ALG14	314.5901	ALG14	169.6564
removed	removed	ALG1L	8.7899
ALG1	449.488	ALG1	406.7102
ALG2	894.9393	ALG2	968.0754
ALG3	1352.1752	ALG3	512.9219
ALG5	466.1142	ALG5	554.5759
ALG6	549.2749	ALG6	301.6114
ALG8	2343.5928	ALG8	788.6896
ALG9	915.0636	ALG9	688.3551
ALKBH1	269.3104	ALKBH1	235.938
ALKBH2	473.5129	ALKBH2	194.8921
ALKBH3	540.9885	ALKBH3	335.6643
ALKBH4	255.6881	ALKBH4	168.7291
ALKBH5	1731.4945	ALKBH5	2179.246
ALKBH6	56.8215	ALKBH6	42.2621
ALKBH7	106.2445	ALKBH7	204.6215
ALKBH8	318.4374	ALKBH8	343.5695
ALMS1P	6.5108	ALMS1P	7.2971
ALMS1	625.3329	ALMS1	730.6172
ALOX12P2	29.2986	ALOX12P2	10.6415
ALOX15B	101.2134	ALOX15B	290.0578
ALOX15	33.1459	removed	removed
ALOX5AP	871.5596	ALOX5AP	345.0897
ALOX5	635.691	ALOX5	604.7431
ALOXE3	8.8784	ALOXE3	8.5132
ALPK1	446.2859	ALPK1	630.5868
ALPK2	65.6999	ALPK2	33.4448
ALPK3	141.7579	ALPK3	276.0718
ALPL	280.2604	ALPL	1548.1909
ALS2CL	236.7564	ALS2CL	301.3074
ALS2CR11	6.5108	ALS2CR11	16.7224
removed	removed	ALS2CR12	12.1618
ALS2CR4	1127.5525	ALS2CR4	1149.5895
ALS2CR8	123.4093	ALS2CR8	222.256
ALS2	722.995	ALS2	689.8753
ALX3	21.3081	ALX3	23.7154
removed	removed	ALX4	12.7698
AMACR	199.7632	AMACR	216.1751
AMBRA1	1010.95	AMBRA1	743.9951
AMD1	4773.3383	AMD1	2312.8611
AMDHD1	18.6446	AMDHD1	16.4184
AMDHD2	46.4664	AMDHD2	95.564
AMFR	4142.3498	AMFR	2618.4251
AMICA1	531.5182	AMICA1	192.7638
AMIGO1	95.5904	AMIGO1	204.6215
AMIGO2	2489.4939	AMIGO2	1497.4126
AMIGO3	74.8742	AMIGO3	32.2286
AMMECR1L	1081.0891	AMMECR1L	900.8817
AMMECR1	711.1571	AMMECR1	264.8221
AMN1	116.0107	AMN1	193.0678
AMOTL1	641.6099	AMOTL1	2660.3831
AMOTL2	1129.3282	AMOTL2	2842.5053
AMOT	121.0417	AMOT	1256.917
AMPD1	47.3513	AMPD1	80.2676
AMPD2	673.5721	AMPD2	538.4615
AMPD3	412.2521	AMPD3	273.0313
AMPH	44.6878	AMPH	59.2885
AMT	40.0829	AMT	130.7692
removed	removed	AMY1A	51.3834
AMY2B	84.9393	AMY2B	349.2338
AMZ1	54.158	removed	removed
AMZ2P1	148.2687	AMZ2P1	199.1487
AMZ2	1708.7896	AMZ2	1177.2575
ANAPC10	160.1065	ANAPC10	151.7178
ANAPC11	1051.7905	ANAPC11	451.505
ANAPC13	1235.0015	ANAPC13	1100.3557
ANAPC16	1827.4637	ANAPC16	2547.8869
ANAPC1	1163.9538	ANAPC1	901.4898
ANAPC2	335.8982	ANAPC2	389.4801
ANAPC4	444.8062	ANAPC4	607.4795
ANAPC5	3772.1219	ANAPC5	2033.4448
ANAPC7	2995.5608	ANAPC7	954.3934
ANGEL1	529.1506	ANGEL1	746.1234
ANGEL2	742.2314	ANGEL2	705.9897
ANGPT1	44.0959	ANGPT1	886.8957
ANGPT2	322.5806	ANGPT2	1529.3402
removed	removed	ANGPT4	11.5537
ANGPTL1	19.5324	ANGPTL1	562.481
ANGPTL2	819.7692	ANGPTL2	5015.8103
ANGPTL4	120.7458	ANGPTL4	1680.1459
removed	removed	ANGPTL5	42.5661
ANGPTL6	7.1086	removed	removed
removed	removed	ANGPTL7	43.4783
ANG	372.1811	ANG	383.8553
ANK1	25.1554	ANK1	21.2831
ANK2	348.3279	ANK2	1902.0979
ANK3	354.5428	ANK3	1434.4786
ANKAR	32.554	ANKAR	49.8632
ANKDD1A	67.7715	ANKDD1A	201.277
ANKFY1	1634.2113	ANKFY1	2905.1383
ANKHD1-EIF4EBP3	600.7132	ANKHD1-EIF4EBP3	1527.8322
ANKHD1	2396.3924	ANKHD1	2139.2764
ANKH	746.6706	ANKH	1779.8723
ANKIB1	2264.8713	ANKIB1	1702.9492
removed	removed	ANKK1	27.0599
ANKLE1	18.9405	ANKLE1	7.6011
ANKLE2	2308.9672	ANKLE2	1390.3922
ANKMY1	229.6537	ANKMY1	159.0149
ANKMY2	378.2184	ANKMY2	824.8708
ANKRA2	183.7822	ANKRA2	298.875
ANKRD10	782.0154	ANKRD10	1395.3238
ANKRD11	1253.6875	ANKRD11	1960.3344
ANKRD12	1712.045	ANKRD12	2395.865
ANKRD13A	1892.8677	ANKRD13A	1539.0696
ANKRD13B	123.4093	ANKRD13B	108.8477
ANKRD13C	475.5845	ANKRD13C	688.9632
ANKRD13D	588.3397	ANKRD13D	301.3074
ANKRD16	177.2122	ANKRD16	110.6719
ANKRD17	3023.9716	ANKRD17	3713.2867
ANKRD19	45.8716	ANKRD19	27.668
removed	removed	ANKRD1	8.8173
removed	removed	ANKRD20A3	12.7698
removed	removed	ANKRD20B	7.6011
ANKRD22	410.4765	ANKRD22	103.0708
ANKRD23	23.6756	ANKRD23	20.0669
ANKRD24	6.8067	ANKRD24	13.0739
ANKRD26	586.5641	ANKRD26	258.4372
ANKRD27	3222.847	ANKRD27	954.3934
ANKRD28	1599.5857	ANKRD28	1584.9802
ANKRD29	12.1338	ANKRD29	415.6279
ANKRD30A	202.4268	ANKRD30A	268.4707
ANKRD30B	158.6268	ANKRD30B	35.2691
ANKRD32	179.9349	ANKRD32	182.4263
ANKRD34A	14.2054	ANKRD34A	21.8912
removed	removed	ANKRD34C	15.5062
ANKRD35	9.4703	ANKRD35	131.955
ANKRD36BP1	127.8485	ANKRD36BP1	188.2031
ANKRD36B	70.1391	ANKRD36B	107.3275
ANKRD36	180.2308	ANKRD36	190.6355
ANKRD37	58.2924	ANKRD37	96.9748
ANKRD39	244.1551	ANKRD39	68.1058
ANKRD40	1514.6493	ANKRD40	2626.0261
ANKRD42	218.9997	ANKRD42	254.7887
removed	removed	ANKRD43	20.979
ANKRD44	284.4037	ANKRD44	136.5157
ANKRD45	13.3175	ANKRD45	51.0794
ANKRD46	674.6168	ANKRD46	640.0912
ANKRD49	382.3616	ANKRD49	335.6643
ANKRD50	751.1098	ANKRD50	1064.1532
ANKRD52	1575.91	ANKRD52	1094.8617
ANKRD53	5.327	ANKRD53	58.6804
ANKRD54	193.5484	ANKRD54	285.1931
ANKRD55	16.8689	removed	removed
ANKRD56	107.7242	ANKRD56	31.9246
ANKRD57	272.8618	ANKRD57	852.5388
ANKRD58	24.5635	ANKRD58	6.993
ANKRD5	272.5658	ANKRD5	250.8361
ANKRD6	201.7757	ANKRD6	281.1341
ANKRD9	10.654	ANKRD9	17.3305
ANKS1A	857.0583	ANKS1A	1418.0602
ANKS1B	101.2134	ANKS1B	76.315
ANKS3	154.1876	ANKS3	179.0818
ANKS6	134.6552	ANKS6	263.91
ANKZF1	1035.2175	ANKZF1	459.4102
