gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
LASP1	7929.1454	LASP1	4509.1673
LASS1	6.4463	LASS1	19.2284
LASS2	8501.0957	LASS2	3483.1933
LASS3	10.2264	LASS3	18.3346
LASS4	1576.6983	LASS4	1305.9587
LASS5	1050.767	LASS5	868.602
LASS6	3448.8568	LASS6	1353.984
LAT2	128.1958	LAT2	112.2995
LATS1	649.0139	LATS1	864.0183
LATS2	374.3608	LATS2	512.987
LAT	48.4879	LAT	95.0267
LAX1	27.3923	LAX1	56.5317
LAYN	144.9963	LAYN	288.7701
LBH	1405.7706	LBH	2722.6891
LBP	30.3141	LBP	17.1887
LBR	521.1833	LBR	750.9549
LBX2	8.992	removed	removed
LBXCOR1	6.9394	LBXCOR1	9.9312
LCA5L	100.073	LCA5L	69.5187
LCA5	285.9752	LCA5	654.6982
LCAT	47.4799	LCAT	100.4584
LCK	56.2454	LCK	137.1276
LCLAT1	369.6129	LCLAT1	379.2972
LCMT1	845.1424	LCMT1	603.8961
LCMT2	405.0402	LCMT2	350.6494
LCN10	7.3046	LCN10	7.2574
removed	removed	LCN12	6.8755
LCN2	313.7327	LCN2	510.3132
LCORL	95.2045	LCORL	77.8915
LCOR	203.2542	LCOR	189.958
LCP1	2104.4558	LCP1	2423.9878
LCP2	135.1351	LCP2	206.2643
LDB1	1676.0409	LDB1	1935.8289
LDB2	366.3258	LDB2	809.7785
LDB3	21.9138	LDB3	68.3728
LDHA	12593.1337	LDHA	7635.5997
LDHB	1711.4682	LDHB	5755.5386
LDHD	82.1768	LDHD	185.2559
LDLRAD2	113.0022	LDLRAD2	115.4507
LDLRAD3	900.2922	LDLRAD3	1358.2888
LDLRAP1	1003.2871	LDLRAP1	873.5676
LDLR	1239.5909	LDLR	2890.7563
LDOC1L	1518.2615	LDOC1L	1428.1895
LDOC1	815.924	LDOC1	851.4133
LEAP2	7.6698	LEAP2	6.8755
LEF1	2544.9233	LEF1	156.9901
LEFTY1	8.4003	LEFTY1	6.4935
LEFTY2	85.0986	LEFTY2	9.5493
LEKR1	29.2184	LEKR1	32.0856
removed	removed	LEMD1	9.1673
LEMD2	801.6801	LEMD2	696.3331
LEMD3	643.5354	LEMD3	949.5798
LENG1	105.9167	LENG1	92.055
LENG8	2516.7714	LENG8	3778.5982
LENG9	164.0175	LENG9	115.2139
LEO1	711.8335	LEO1	426.2796
LEPRE1	474.7991	LEPRE1	404.8892
LEPREL1	197.5895	LEPREL1	492.7426
LEPREL2	414.1709	LEPREL2	469.0604
LEPROTL1	652.3009	LEPROTL1	815.508
LEPROT	692.794	LEPROT	1273.3193
LEPR	315.9715	LEPR	1036.8411
LEP	232.2863	LEP	1756.3025
LETM1	1160.336	LETM1	862.1085
LETM2	32.8707	LETM2	19.8625
LETMD1	827.6114	LETMD1	1929.3354
LFNG	1098.6121	LFNG	726.5088
LGALS12	67.2023	LGALS12	208.5561
LGALS1	1726.4427	LGALS1	2895.34
LGALS2	81.4463	LGALS2	8.4034
LGALS3BP	7071.9503	LGALS3BP	5977.8457
LGALS3	3817.7502	LGALS3	5393.4301
removed	removed	LGALS4	8.4034
removed	removed	LGALS7B	32.4675
LGALS7	8.0351	LGALS7	9.1673
LGALS8	2026.2673	LGALS8	1127.1849
LGALS9C	7.6698	LGALS9C	10.3132
LGALS9	661.4317	LGALS9	704.3545
LGI2	55.1497	LGI2	47.7464
LGI4	31.775	LGI4	115.3552
LGMN	1089.4814	LGMN	1511.8411
LGR4	665.4492	LGR4	2552.33
removed	removed	LGR5	8.4034
LGR6	437.1804	LGR6	1545.8365
LGTN	1537.9839	LGTN	1939.2666
removed	removed	LHCGR	9.5493
LHFPL1	6.9394	LHFPL1	30.5577
LHFPL2	1115.7779	LHFPL2	2863.2544
removed	removed	LHFPL4	6.1115
LHFP	867.7867	LHFP	2110.3896
LHPP	420.0146	LHPP	400.3056
LHX4	6.5267	removed	removed
LHX6	77.0636	LHX6	134.8358
LIAS	166.9102	LIAS	313.9801
LIFR	1095.6903	LIFR	4780.3667
LIF	204.5289	LIF	317.0359
LIG1	721.6947	LIG1	656.9901
LIG3	763.3309	LIG3	654.6982
LIG4	238.13	LIG4	289.916
removed	removed	LILRA1	5.3476
LILRA2	28.8532	LILRA2	18.7166
LILRA4	5.8437	removed	removed
removed	removed	LILRA5	7.2574
LILRA6	14.3316	LILRA6	30.3018
LILRB1	44.9233	LILRB1	55.0038
LILRB2	20.0877	LILRB2	45.4545
LILRB3	20.7305	LILRB3	19.3545
LILRB4	112.4909	LILRB4	95.1108
LILRB5	10.2264	LILRB5	53.4759
LIMA1	4691.0153	LIMA1	3312.4523
LIMCH1	6878.7436	LIMCH1	2453.3995
LIMD1	1442.4763	LIMD1	802.7578
LIMD2	193.214	LIMD2	156.3942
LIME1	31.2235	LIME1	54.7403
LIMK1	882.7611	LIMK1	802.903
LIMK2	1883.8568	LIMK2	3045.4545
LIMS1	430.9715	LIMS1	365.5462
LIMS2	277.9401	LIMS2	794.8816
LIMS3-LOC440895	11.9832	LIMS3-LOC440895	20.9206
LIMS3	7.374	LIMS3	6.9633
LIN37	134.1527	LIN37	100.2674
LIN52	127.1001	LIN52	147.0588
LIN54	317.0197	LIN54	396.8678
LIN7A	52.5931	LIN7A	36.2872
LIN7B	19.3572	LIN7B	25.2101
LIN7C	872.8999	LIN7C	972.1161
LIN9	215.1205	LIN9	155.0802
LINGO1	347.6991	LINGO1	111.5355
LINGO4	27.027	LINGO4	25.974
LINS1	226.8079	LINS1	275.0191
LIPA	1838.2031	LIPA	3036.6692
removed	removed	LIPC	8.0214
LIPE	629.2768	LIPE	1481.1841
LIPG	199.7809	LIPG	100.0764
LIPH	292.1841	LIPH	261.2681
LIPT1	138.886	LIPT1	239.3621
LIPT2	38.5646	LIPT2	43.5447
LITAF	4110.6647	LITAF	7467.5325
LIX1L	437.1804	LIX1L	733.7662
LLGL1	744.7042	LLGL1	1011.8411
LLGL2	1138.7874	LLGL2	647.0588
LLPH	748.0131	LLPH	464.8816
LMAN1	4998.1738	LMAN1	3338.4263
LMAN2L	703.7984	LMAN2L	627.5783
LMAN2	2736.6691	LMAN2	1666.1574
LMBR1L	280.4967	LMBR1L	406.4171
LMBR1	1640.6136	LMBR1	964.0947
LMBRD1	1382.0307	LMBRD1	1940.4125
LMBRD2	264.7918	LMBRD2	234.9121
LMCD1	453.2505	LMCD1	556.1497
LMF1	522.6443	LMF1	345.3018
LMF2	1071.2199	LMF2	1126.8144
LMLN	445.2155	LMLN	285.7143
LMNA	5983.1994	LMNA	7238.7319
LMNB1	230.8254	LMNB1	262.4141
LMNB2	799.1234	LMNB2	520.6264
LMO2	254.2001	LMO2	471.3522
LMO3	46.7495	LMO3	134.8358
LMO4	786.7056	LMO4	1601.2223
LMO7	1050.0365	LMO7	767.3797
LMOD1	880.2045	LMOD1	3169.9771
LMTK2	436.8152	LMTK2	467.5325
LMTK3	209.2768	LMTK3	116.5011
LMX1B	1788.897	LMX1B	995.4163
LNP1	43.5172	LNP1	70.7983
LNPEP	222.0599	LNPEP	422.3606
LNX1	410.5186	LNX1	497.3262
LNX2	631.8481	LNX2	510.3132
LOC100009676	58.2907	LOC100009676	83.3079
LOC100101266	6.9394	LOC100101266	13.369
LOC100124692	12.7831	LOC100124692	175.3247
LOC100125556	36.5486	LOC100125556	73.7242
LOC100126784	28.3528	LOC100126784	143.9763
removed	removed	LOC100127888	20.2979
LOC100128191	30.7341	LOC100128191	34.1367
LOC100128239	9.496	LOC100128239	14.1329
LOC100128288	39.4449	LOC100128288	67.9908
LOC100128292	21.1833	LOC100128292	28.6478
LOC100128640	40.5405	LOC100128640	140.5653
LOC100128675	5.8473	removed	removed
LOC100128788	26.6618	LOC100128788	17.1925
LOC100128822	80.7159	LOC100128822	101.2223
LOC100128842	42.0015	LOC100128842	30.1757
LOC100128977	35.4273	removed	removed
LOC100129034	2081.9065	LOC100129034	2291.0733
LOC100129387	69.3572	LOC100129387	130.6341
LOC100129534	65.7414	LOC100129534	57.2956
LOC100129550	231.1907	LOC100129550	399.5416
LOC100129637	118.2286	LOC100129637	209.9007
LOC100129716	16.8006	LOC100129716	5.7296
LOC100129726	8.0351	LOC100129726	20.6264
LOC100130015	18.7801	LOC100130015	46.3484
LOC100130093	136.7969	LOC100130093	177.8571
LOC100130148	16.8006	removed	removed
LOC100130522	20.8181	LOC100130522	25.2101
LOC100130557	39.6713	LOC100130557	76.8946
LOC100130581	50.4018	LOC100130581	90.1451
LOC100130691	8.1008	LOC100130691	9.1673
LOC100130776	294.9708	LOC100130776	234.0183
LOC100130872	33.6012	LOC100130872	41.2529
LOC100130932	59.5325	LOC100130932	34.7594
LOC100130987	18.992	LOC100130987	20.6264
LOC100131193	59.5325	LOC100131193	44.3086
LOC100131434	33.2177	LOC100131434	70.9626
LOC100131551	19.3572	LOC100131551	6.1115
LOC100131691	42.4507	LOC100131691	23.3002
LOC100132111	5.1132	LOC100132111	12.0856
LOC100132215	9.149	LOC100132215	16.8067
LOC100132247	163.6231	LOC100132247	181.0542
LOC100132287	426.2235	LOC100132287	395.7219
LOC100132288	80.3506	LOC100132288	172.6509
LOC100132707	106.6326	LOC100132707	177.7807
LOC100133161	65.0256	LOC100133161	46.081
LOC100133331	159.7261	LOC100133331	191.7265
LOC100133545	8.7655	LOC100133545	26.356
LOC100133612	8.4003	LOC100133612	6.1115
LOC100133669	8.4003	LOC100133669	16.0428
LOC100133957	5.3798	removed	removed
LOC100133991	28.1227	LOC100133991	46.9824
LOC100134229	189.1892	LOC100134229	146.2949
LOC100134259	9.496	LOC100134259	23.3002
LOC100134713	13.1519	LOC100134713	11.4629
LOC100144603	5.4785	removed	removed
LOC100144604	33.2359	LOC100144604	5.7296
LOC100170939	94.9452	LOC100170939	134.4538
LOC100188947	23.74	LOC100188947	30.5577
LOC100188949	5.1132	LOC100188949	7.2574
LOC100190938	239.2257	LOC100190938	101.6043
LOC100190939	135.8656	LOC100190939	310.9244
LOC100190986	241.7823	LOC100190986	285.3323
LOC100192378	6.9394	LOC100192378	5.7296
LOC100216545	51.8627	LOC100216545	72.9565
LOC100233209	18.2615	LOC100233209	27.5019
LOC100240735	7.6698	LOC100240735	15.6608
LOC100268168	6.5741	LOC100268168	6.4935
LOC100270710	131.6874	LOC100270710	275.6914
LOC100270746	24.1052	LOC100270746	48.5103
LOC100270804	21.5486	LOC100270804	49.8701
LOC100271722	40.1753	LOC100271722	63.0252
LOC100271836	422.973	LOC100271836	409.2246
LOC100272146	29.2184	LOC100272146	34.3774
LOC100272216	14.9744	LOC100272216	10.5653
LOC100272217	20.4529	LOC100272217	19.0985
LOC100272228	25.5661	LOC100272228	39.343
LOC100286793	87.29	LOC100286793	216.9595
LOC100286844	23.0497	LOC100286844	25.3323
removed	removed	LOC100287227	8.8006
LOC100288778	281.0226	LOC100288778	447.9526
LOC100289341	42.0015	LOC100289341	76.3942
LOC100302401	6.2089	LOC100302401	22.1925
LOC100302640	23.74	LOC100302640	7.6394
LOC100302650	24.1052	LOC100302650	12.9985
LOC100303728	18.6267	LOC100303728	33.2315
LOC113230	293.2798	LOC113230	84.4156
LOC115110	70.0986	LOC115110	53.7128
LOC121838	5.4785	LOC121838	27.8839
removed	removed	LOC121952	5.7296
LOC134466	23.3747	LOC134466	84.0336
LOC143188	14.6092	LOC143188	14.5149
LOC143666	24.4704	LOC143666	18.7166
LOC144438	806.7933	LOC144438	935.4469
LOC144486	9.496	LOC144486	14.1329
LOC144571	27.5091	LOC144571	66.6387
LOC145783	29.2732	LOC145783	31.4057
LOC145820	16.0701	LOC145820	30.1757
LOC145837	24.4704	LOC145837	46.6005
LOC146880	241.6143	LOC146880	330.2941
LOC147727	376.5522	LOC147727	799.4652
LOC147804	107.3776	LOC147804	110.0076
LOC148189	88.7509	LOC148189	87.4714
LOC148413	411.8663	LOC148413	250.107
LOC148696	5.2301	LOC148696	9.5493
removed	removed	LOC148709	7.2574
LOC149134	27.3923	LOC149134	10.3132
LOC149837	42.3667	LOC149837	58.8235
LOC150381	19.8649	LOC150381	43.8961
LOC150776	557.3411	LOC150776	383.1169
LOC150786	51.1322	LOC150786	39.725
LOC151009	39.8101	LOC151009	48.5103
LOC151162	1095.3251	LOC151162	1532.8495
LOC151174	5.1132	LOC151174	11.8411
LOC151534	109.7078	LOC151534	87.4714
LOC152217	165.084	LOC152217	255.1566
LOC152225	25.9313	removed	removed
LOC153328	6.5741	LOC153328	20.2445
LOC153684	19.7224	LOC153684	26.356
LOC154761	84.3134	LOC154761	124.3583
LOC154822	22.29	LOC154822	19.6448
LOC157381	5.8437	LOC157381	14.8969
LOC158376	13.8787	LOC158376	43.9267
LOC158572	35.4273	LOC158572	42.3988
LOC158696	6.2089	LOC158696	9.9312
LOC162632	250.0475	LOC162632	325.7487
LOC168474	37.9839	LOC168474	26.738
LOC200030	709.9635	LOC200030	918.4148
LOC202181	60.6282	LOC202181	98.1665
LOC202781	280.8619	LOC202781	332.6967
LOC219347	45.4456	LOC219347	69.66
LOC220594	113.4624	LOC220594	100
LOC220729	108.1081	LOC220729	137.8915
LOC220930	53.6267	LOC220930	83.2697
LOC221442	33.2359	LOC221442	60.7334
LOC221710	218.0424	LOC221710	303.285
LOC222699	48.9408	LOC222699	42.7807
LOC253039	607.7429	LOC253039	677.9985
LOC253724	10.5917	LOC253724	12.2231
LOC254559	136.9613	LOC254559	156.9901
LOC255167	6.2089	removed	removed
removed	removed	LOC257358	8.7853
LOC25845	290.6392	LOC25845	441.864
LOC282997	31.775	LOC282997	51.9481
LOC283050	57.3411	LOC283050	59.2055
LOC283070	143.1702	LOC283070	165.7754
LOC283174	105.9167	LOC283174	194.4232
LOC283267	184.8064	LOC283267	271.5814
LOC283314	53.4697	LOC283314	126.2147
LOC283392	10.4967	LOC283392	28.2582
LOC283663	57.7064	LOC283663	30.1757
LOC283731	6.2089	LOC283731	8.0214
LOC283867	8.4003	removed	removed
LOC283922	32.5055	LOC283922	65.699
LOC284023	154.1271	LOC284023	182.9641
LOC284232	30.3141	LOC284232	10.6952
LOC284233	291.4536	LOC284233	17.9526
LOC284276	5.1132	LOC284276	22.5363
LOC284440	144.9963	LOC284440	139.4194
LOC284441	60.9934	LOC284441	69.1367
LOC284578	6.5741	LOC284578	115.7372
LOC284749	7.3046	removed	removed
LOC284837	51.1322	LOC284837	69.9007
LOC284900	206.3587	LOC284900	189.1788
LOC285033	39.0175	LOC285033	48.751
LOC285074	208.9116	LOC285074	283.4225
LOC285359	60.6282	LOC285359	66.8449
removed	removed	LOC285419	10.3132
LOC285593	10.2264	LOC285593	16.8067
LOC285830	23.55	LOC285830	95.9244
LOC286002	27.4434	LOC286002	144.0031
LOC286367	71.5851	LOC286367	174.1788
LOC286467	8.0351	LOC286467	32.8495
LOC338651	19.7224	LOC338651	30.5577
LOC338758	28.4879	LOC338758	81.7418
LOC338799	437.9109	LOC338799	326.9672
LOC339047	1036.8882	LOC339047	1106.1879
LOC339290	354.2732	LOC339290	780.5959
LOC339524	105.9167	LOC339524	200.5348
removed	removed	LOC339535	33.9954
LOC341056	8.7655	LOC341056	5.3476
removed	removed	LOC342346	8.4034
LOC344595	804.6019	LOC344595	331.1688
LOC344967	6.9394	removed	removed
LOC348926	76.6983	LOC348926	77.9221
LOC349114	180.0584	LOC349114	127.1963
LOC349196	5.1132	LOC349196	20.233
LOC374443	115.0475	LOC374443	114.9733
LOC375190	73.7765	LOC375190	120.7639
LOC387646	46.3842	LOC387646	55.0038
LOC387647	397.5566	LOC387647	468.4759
LOC388152	197.9547	LOC388152	219.2513
LOC388242	11.6874	LOC388242	34.3774
LOC388588	60.263	LOC388588	33.2315
LOC388692	257.8524	LOC388692	487.395
LOC388789	464.5727	LOC388789	622.6127
LOC388796	326.5157	LOC388796	376.2414
LOC388955	215.4858	LOC388955	254.0107
LOC389033	42.7319	LOC389033	6.8755
LOC389333	54.4193	LOC389333	35.1413
LOC389493	50.0365	LOC389493	24.4461
removed	removed	LOC389705	12.2231
LOC390595	7.3046	LOC390595	14.8969
LOC391322	10.2264	LOC391322	23.3002
LOC399744	178.9627	LOC399744	228.8006
LOC399815	7.6698	removed	removed
LOC399959	296.2016	LOC399959	697.097
LOC400027	295.1059	LOC400027	459.893
LOC400043	264.0614	LOC400043	327.7311
LOC400657	214.7553	LOC400657	270.0535
LOC400752	33.2359	LOC400752	65.317
LOC400759	6.9394	LOC400759	26.738
LOC400927	30.504	LOC400927	23.5638
LOC400931	49.6713	LOC400931	160.4278
LOC401010	24.4704	LOC401010	20.6264
LOC401052	50.0365	LOC401052	107.3338
LOC401093	51.6874	LOC401093	125.8594
removed	removed	LOC401127	5.7296
LOC401397	522.279	LOC401397	454.1635
LOC401431	30.3397	LOC401431	34.0794
removed	removed	LOC401463	8.7853
LOC401588	43.8276	LOC401588	90.5271
LOC402377	11.6874	LOC402377	15.2788
LOC407835	46.3842	LOC407835	45.0726
removed	removed	LOC440173	15.6608
LOC440354	126.7823	LOC440354	114.301
LOC440905	192.4763	LOC440905	74.1024
LOC440925	45.2885	LOC440925	7.2574
LOC440944	241.4171	LOC440944	364.0183
LOC440957	94.5946	LOC440957	146.2949
LOC441046	12.4178	LOC441046	23.3002
LOC441089	87.29	LOC441089	105.806
LOC441204	42.7319	LOC441204	56.1497
LOC441208	32.1402	LOC441208	70.6646
LOC441294	132.9438	LOC441294	123.3766
LOC441454	6.2089	removed	removed
LOC441455	15.7049	LOC441455	11.8411
LOC441666	60.263	LOC441666	103.8961
LOC441869	192.8415	LOC441869	408.327
LOC442421	12.4178	LOC442421	15.6608
LOC442454	87.6552	LOC442454	155.4622
LOC493754	524.8356	LOC493754	473.262
LOC541471	107.7429	LOC541471	59.9694
LOC541473	5.8985	LOC541473	5.806
LOC550112	321.7677	LOC550112	284.1864
LOC550643	276.4792	LOC550643	291.4439
removed	removed	LOC554202	19.8625
removed	removed	LOC55908	16.0428
removed	removed	LOC572558	9.1673
LOC595101	97.5018	LOC595101	122.2307
LOC606724	13.5135	LOC606724	17.1887
LOC613037	48.5756	LOC613037	8.0214
LOC619207	24.4704	LOC619207	16.0428
LOC641298	144.0467	LOC641298	142.8839
LOC641367	5.1132	LOC641367	5.3476
LOC642587	462.0161	LOC642587	1202.4446
LOC642826	102.6589	LOC642826	177.0053
LOC642846	113.9518	LOC642846	162.7196
LOC642852	300.2191	LOC642852	283.8044
LOC643008	9.496	LOC643008	12.987
LOC643387	36.1578	LOC643387	32.8495
removed	removed	LOC643719	20.6264
LOC643763	8.0351	LOC643763	14.1329
LOC643837	118.6998	LOC643837	144.385
removed	removed	LOC644165	11.3827
LOC644172	55.1497	LOC644172	38.5791
LOC644538	59.5325	LOC644538	164.2475
LOC644936	10.9569	LOC644936	12.605
LOC645166	44.9233	LOC645166	77.5401
LOC645332	154.1271	LOC645332	134.8358
LOC645431	29.3243	LOC645431	11.6425
LOC645676	44.4339	LOC645676	38.8541
LOC646214	134.0394	LOC646214	276.547
LOC646471	54.8101	LOC646471	70.5768
LOC646762	741.4171	LOC646762	313.2162
LOC646851	123.813	LOC646851	113.4454
LOC646999	9.496	LOC646999	17.9526
LOC647121	32.8707	LOC647121	36.6692
removed	removed	LOC647309	6.4935
LOC647859	5.8437	LOC647859	6.1115
removed	removed	LOC647946	12.987
LOC647979	11307.5237	LOC647979	13763.56
LOC648740	10.9861	LOC648740	27.903
LOC649330	15.7049	LOC649330	7.2574
LOC650368	38.3492	LOC650368	58.0596
LOC650623	65.3762	LOC650623	116.8831
LOC651250	1642.805	LOC651250	1818.5638
LOC652276	62.0891	LOC652276	48.5103
LOC653113	30.3141	LOC653113	66.4629
LOC653501	193.572	LOC653501	323.9114
LOC653566	2466.0336	LOC653566	1430.8633
LOC653653	65.3762	LOC653653	64.5531
LOC654342	274.653	LOC654342	381.971
LOC654433	279.5398	LOC654433	66.8449
LOC678655	204.1563	LOC678655	261.3254
LOC723972	7.3046	removed	removed
LOC727896	15.3397	LOC727896	11.0772
LOC728024	23.3747	LOC728024	27.1199
LOC728190	142.4397	LOC728190	170.741
LOC728264	700.1461	LOC728264	4331.5508
LOC728323	42.0015	LOC728323	39.725
LOC728392	89.4814	LOC728392	100.8403
LOC728554	240.6866	LOC728554	281.1306
LOC728606	535.7925	LOC728606	56.1497
LOC728613	141.344	LOC728613	188.3117
LOC728640	51.1322	LOC728640	43.5447
LOC728643	43.0972	LOC728643	70.6646
LOC728723	13.1483	LOC728723	28.6478
LOC728743	205.6245	LOC728743	184.492
LOC728758	44.9233	LOC728758	27.1199
LOC728819	15.3397	LOC728819	45.8365
LOC728855	121.859	LOC728855	155.1451
LOC728875	31.5376	LOC728875	54.5569
LOC729020	20.8181	LOC729020	16.8067
LOC729082	363.0497	LOC729082	472.139
LOC729176	27.027	LOC729176	32.4675
LOC729234	120.1607	LOC729234	116.8831
LOC729375	78.8678	LOC729375	103.5141
LOC729603	27.027	LOC729603	27.5019
LOC729678	340.8619	LOC729678	407.3529
LOC729799	25.2009	LOC729799	32.8495
LOC729991-MEF2B	65.4346	LOC729991-MEF2B	71.0313
LOC729991	260.5953	LOC729991	167.1581
LOC730101	150.4748	LOC730101	167.3033
LOC731789	6.2089	removed	removed
LOC80054	40.1753	LOC80054	73.7204
LOC80154	443.7546	LOC80154	395.34
LOC81691	58.0716	LOC81691	98.9305
LOC84740	5.8546	LOC84740	20.6799
LOC84856	10.5917	LOC84856	61.4973
LOC84989	16.366	LOC84989	6.4897
LOC90110	289.6275	LOC90110	317.0359
LOC90246	8.0351	LOC90246	9.9312
removed	removed	LOC90586	5.7296
LOC90784	350.6209	LOC90784	272.3453
LOC90834	33.9664	LOC90834	29.7937
LOC91316	343.3382	LOC91316	459.4118
LOC92249	493.0606	LOC92249	876.6234
LOC92659	71.9503	LOC92659	75.6303
LOC92973	117.9693	LOC92973	160.8098
removed	removed	LOC93432	36.6692
LOC93622	370.7085	LOC93622	362.1085
LOC96610	8447.9291	LOC96610	34048.3079
LOH12CR1	90.2118	LOH12CR1	102.7502
LOH12CR2	25.5661	LOH12CR2	46.9824
LOH3CR2A	31.775	LOH3CR2A	78.686
LONP1	1524.4704	LONP1	1009.5493
LONP2	1787.4361	LONP2	1957.6012
LONRF1	384.5873	LONRF1	595.4927
LONRF2	708.1812	LONRF2	389.6104
LONRF3	12.4178	LONRF3	56.1497
LOXL1	762.9657	LOXL1	272.3109
LOXL2	434.2367	LOXL2	597.7502
LOXL3	66.6107	LOXL3	57.3529
LOXL4	69.0285	LOXL4	1351.7953
LOX	514.9744	LOX	337.2804
LPAR1	243.6085	LPAR1	495.4163
LPAR2	470.7816	LPAR2	281.5126
LPAR3	14.6092	LPAR3	51.1841
LPAR4	9.1308	LPAR4	12.605
LPAR5	75.2374	LPAR5	77.9221
LPAR6	716.9467	LPAR6	1696.715
LPCAT1	2154.8576	LPCAT1	740.2597
LPCAT2	668.0058	LPCAT2	1932.3911
LPCAT3	1034.6969	LPCAT3	1203.5905
LPCAT4	307.1585	LPCAT4	456.8373
LPGAT1	2400.6574	LPGAT1	1792.2078
LPHN1	1839.6494	LPHN1	1077.5401
LPHN2	724.9817	LPHN2	2014.1329
LPHN3	16.4354	LPHN3	107.7158
LPIN1	597.5164	LPIN1	1554.2399
LPIN2	979.9123	LPIN2	964.4767
LPIN3	361.1359	LPIN3	544.9312
LPL	1244.3389	LPL	4666.1574
LPPR1	18.992	LPPR1	164.6295
LPPR2	851.3514	LPPR2	572.9565
LPPR3	98.6121	LPPR3	38.1971
LPPR4	50.767	LPPR4	101.6043
LPP	512.7831	LPP	1226.1268
LPXN	212.1987	LPXN	245.9893
removed	removed	LQK1	7.6394
LRAT	57.7064	LRAT	146.2949
LRBA	4712.5639	LRBA	3577.1581
LRCH1	600.8035	LRCH1	1069.1367
LRCH2	42.3667	LRCH2	93.9649
LRCH3	287.4361	LRCH3	477.8457
LRCH4	1144.6311	LRCH4	756.6845
LRDD	408.6925	LRDD	223.835
LRFN1	48.2104	LRFN1	54.2399
LRFN2	5.8437	removed	removed
LRFN3	351.3514	LRFN3	219.6333
LRFN4	259.3134	LRFN4	140.1833
LRFN5	28.8532	LRFN5	98.9305
LRG1	1859.0212	LRG1	116.8831
LRGUK	32.1402	LRGUK	12.605
LRIG1	5767.0745	LRIG1	6417.6929
LRIG2	295.8364	LRIG2	429.3354
LRIG3	529.5836	LRIG3	1621.8487
LRIT3	26.6618	LRIT3	19.0985
LRMP	80.7159	LRMP	129.8701
LRP10	5432.0672	LRP10	4904.1253
LRP11	882.7611	LRP11	928.5638
LRP12	1447.7721	LRP12	339.1902
LRP1B	1073.046	LRP1B	50.4202
LRP1	8398.1008	LRP1	12199.0069
LRP2BP	42.0015	LRP2BP	73.7204
LRP2	2520.4529	LRP2	4263.178
LRP3	514.9452	LRP3	861.1192
LRP4	172.0234	LRP4	499.1024
LRP5L	162.8926	LRP5L	77.5401
LRP5	1849.5252	LRP5	2743.6975
LRP6	1472.2425	LRP6	2613.8273
LRP8	35.4273	LRP8	52.33
LRPAP1	1455.0767	LRPAP1	1307.4866
LRPPRC	4331.9942	LRPPRC	4459.1291
LRRC10B	12.7831	LRRC10B	13.751
LRRC14B	7.3046	LRRC14B	6.4935
LRRC14	731.5924	LRRC14	660.7869
LRRC15	734.843	LRRC15	78.686
LRRC16A	1231.5559	LRRC16A	674.5607
LRRC16B	8.4003	LRRC16B	16.0428
LRRC17	147.1877	LRRC17	128.7242
LRRC1	604.4558	LRRC1	862.4905
LRRC20	301.3148	LRRC20	197.479
LRRC23	175.3104	LRRC23	180.2903
LRRC24	7.9985	LRRC24	12.628
LRRC25	51.8627	LRRC25	62.2613
LRRC26	138.7874	LRRC26	59.2055
LRRC27	314.4631	LRRC27	252.7922
LRRC28	114.6822	LRRC28	198.6249
LRRC29	53.3236	LRRC29	60.3514
LRRC2	17.8963	LRRC2	89.7632
LRRC31	202.7027	removed	removed
LRRC32	971.1468	LRRC32	820.0917
LRRC33	131.4828	LRRC33	150.1146
LRRC34	84.3682	LRRC34	104.66
LRRC36	8.4003	removed	removed
LRRC37A2	226.2418	LRRC37A2	342.7922
LRRC37A3	239.5909	LRRC37A3	139.4194
LRRC37A4	123.2542	LRRC37A4	305.2368
LRRC37A	630.0219	LRRC37A	620.3209
LRRC37B2	364.4996	LRRC37B2	498.0901
LRRC37B	138.7874	LRRC37B	216.1956
removed	removed	LRRC39	10.6684
LRRC3B	16.4354	LRRC3B	28.6478
LRRC3	34.3316	LRRC3	60.7334
LRRC40	344.412	LRRC40	412.1467
LRRC41	1834.5508	LRRC41	1974.4079
LRRC42	638.7874	LRRC42	506.1115
removed	removed	LRRC43	12.987
LRRC45	234.843	LRRC45	161.1917
LRRC46	85.8291	LRRC46	24.8281
LRRC47	1227.1731	LRRC47	1099.3125
LRRC48	106.4317	LRRC48	103.2582
LRRC49	98.2469	LRRC49	169.2131
LRRC4B	14.6092	LRRC4B	18.3346
LRRC4C	332.7246	LRRC4C	157.372
LRRC4	23.74	LRRC4	16.4248
LRRC50	25.5661	LRRC50	24.4461
LRRC55	50.767	LRRC55	17.5707
LRRC56	320.3068	LRRC56	58.8235
LRRC57	264.4266	LRRC57	394.958
LRRC58	1193.572	LRRC58	1880.0611
LRRC59	2702.6406	LRRC59	1614.5455
LRRC61	235.5734	LRRC61	193.6593
removed	removed	LRRC66	10.3132
LRRC6	164.7188	LRRC6	56.9137
LRRC70	74.3755	LRRC70	148.453
LRRC8A	1629.6567	LRRC8A	1542.0168
LRRC8B	838.9335	LRRC8B	689.4576
LRRC8C	321.0373	LRRC8C	564.9351
LRRC8D	789.2622	LRRC8D	991.2147
LRRC8E	639.8831	LRRC8E	383.1169
