gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
removed	removed	ADRB1	182.5843
ADRB2	12.6289	ADRB2	648.4751
removed	removed	ADRB3	5.2167
ADRBK1	1846.2137	ADRBK1	895.2648
ADRBK2	486.3846	ADRBK2	6186.9984
ADRM1	2005.27	ADRM1	514.8475
ADSL	1305.9001	ADSL	747.9936
ADSSL1	205.1349	ADSSL1	224.7191
ADSS	2206.309	ADSS	847.512
AEBP1	32136.5427	AEBP1	4406.9021
AEBP2	448.1565	AEBP2	573.0337
AEN	704.8311	AEN	215.8909
AES	6158.8242	AES	5021.2681
AFAP1L1	244.0456	AFAP1L1	1063.4029
AFAP1L2	210.2547	AFAP1L2	313.4029
AFAP1	1040.6891	AFAP1	1412.9173
AFF1	1106.2264	AFF1	5704.2536
AFF2	22.186	AFF2	131.6212
AFF3	395.5928	AFF3	484.3499
AFF4	2809.0846	AFF4	3709.8716
AFG3L1	305.4837	AFG3L1	186.9984
AFG3L2	1094.6351	AFG3L2	1177.6926
AFMID	548.164	AFMID	246.3884
AFTPH	1905.2625	AFTPH	1216.2921
AG2	132.7745	AG2	369.9839
removed	removed	AGAP11	687.813
AGAP1	557.3797	AGAP1	476.3242
AGAP2	89.4436	AGAP2	38.8804
AGAP3	952.6313	AGAP3	521.2681
AGAP4	148.134	AGAP4	141.6533
AGAP5	21.5033	AGAP5	40.931
AGAP6	103.0794	AGAP6	122.3917
AGAP7	6.1438	AGAP7	6.8218
AGAP8	22.186	AGAP8	48.5554
AGA	379.892	AGA	460.6742
AGBL2	30.0364	removed	removed
AGBL3	6.8265	AGBL3	6.0193
AGBL5	977.9028	AGBL5	490.3772
AGER	18.7727	AGER	16.0514
AGFG1	1154.3529	AGFG1	4317.817
AGFG2	228.6861	AGFG2	245.5859
AGGF1	999.3924	AGGF1	1010.0321
AGK	890.8519	AGK	484.7512
AGL	892.8998	AGL	1913.7239
AGMAT	13.3116	removed	removed
AGPAT1	1497.1875	AGPAT1	1842.6605
AGPAT2	832.4857	AGPAT2	5246.7897
AGPAT3	1755.0806	AGPAT3	2109.5506
AGPAT4	164.1761	AGPAT4	357.5441
AGPAT5	250.5308	AGPAT5	399.2777
AGPAT6	3302.9784	AGPAT6	1338.2825
AGPAT9	151.8885	AGPAT9	151.6854
AGPHD1	46.0785	AGPHD1	77.8491
AGPS	345.4184	AGPS	2447.4318
AGR2	4334.4551	removed	removed
AGR3	995.6379	removed	removed
AGRN	6059.8407	AGRN	469.1011
AGTPBP1	328.011	AGTPBP1	625.2006
AGTR1	43.6893	AGTR1	1628.4109
AGTRAP	770.365	AGTRAP	394.4623
AGT	324.5978	AGT	359.5506
AGXT2L2	493.7163	AGXT2L2	559.1814
removed	removed	AGXT	10.0321
AHCTF1	1917.2088	AHCTF1	1914.9278
AHCYL1	3416.2975	AHCYL1	6048.9567
AHCYL2	612.3327	AHCYL2	949.8395
removed	removed	AHCY	1036.1156
AHDC1	427.3358	AHDC1	354.3339
AHI1	287.7349	AHI1	504.4141
AHNAK2	2215.1834	AHNAK2	2574.2376
AHNAK	21107.7282	AHNAK	222896.87
AHRR	32.767	AHRR	6.4205
AHR	1141.0413	AHR	2431.3804
removed	removed	AHSA1	1220.7063
AHSA2	324.9391	AHSA2	335.4735
removed	removed	AICDA	5.618
AIDA	1966.0657	AIDA	2941.0433
AIF1L	386.0358	AIF1L	2034.1091
AIF1	569.6673	AIF1	555.3772
AIFM1	1267.672	AIFM1	847.9133
AIFM2	189.7753	AIFM2	3507.2231
AIFM3	57.9054	removed	removed
AIG1	456.6896	AIG1	1440.61
AIM1L	11.2636	removed	removed
AIM1	4677.4843	AIM1	2812.6003
AIM2	32.4256	AIM2	11.236
AIMP1	1087.2591	AIMP1	1003.3106
AIMP2	584.8767	AIMP2	312.488
AIP	1230.1265	AIP	396.4687
AJAP1	21.8446	AJAP1	13.2424
AK1	430.4077	AK1	461.0754
AK2	1606.9466	AK2	2089.0851
AK3L1	104.4447	AK3L1	1117.175
AK3	1188.1438	AK3	4184.5907
AK5	175.7811	AK5	6.8218
AK7	23.8926	removed	removed
AKAP10	409.9284	AKAP10	672.9535
AKAP11	1083.6991	AKAP11	2925.3612
AKAP12	801.7667	AKAP12	11963.0819
AKAP13	5323.6079	AKAP13	4892.4559
AKAP1	2635.0101	AKAP1	2721.5088
AKAP2	452.3411	AKAP2	2738.8925
AKAP3	32.0843	AKAP3	46.9502
AKAP5	98.9835	AKAP5	30.8989
AKAP6	45.0546	AKAP6	77.4478
AKAP7	68.6058	AKAP7	402.488
AKAP8L	784.3592	AKAP8L	320.626
AKAP8	516.0797	AKAP8	342.2953
AKAP9	1126.3644	AKAP9	2101.5249
AKD1	509.2533	AKD1	149.679
AKIRIN1	1004.8536	AKIRIN1	1546.549
AKIRIN2	660.1178	AKIRIN2	1131.6212
AKNA	561.8169	AKNA	690.61
AKR1A1	3624.8456	AKR1A1	1286.1156
AKR1B10	11.605	removed	removed
removed	removed	AKR1B15	53.3708
AKR1B1	868.3246	AKR1B1	1115.1685
AKR1C1	81.5761	AKR1C1	11733.7239
AKR1C2	108.5406	AKR1C2	14510.0321
AKR1C3	151.5472	AKR1C3	5876.4045
removed	removed	AKR1CL1	6.4205
AKR1E2	10.581	AKR1E2	45.5698
AKR7A2	1734.9426	AKR7A2	910.9149
AKR7A3	15.7008	removed	removed
AKR7L	17.7488	removed	removed
AKT1S1	3433.0223	AKT1S1	786.1156
AKT1	5269.679	AKT1	2241.9743
AKT2	4575.4289	AKT2	3774.077
AKT3	450.5458	AKT3	1943.8202
AKTIP	537.3714	AKTIP	879.2055
ALAD	1335.2538	ALAD	2080.2568
ALAS1	1100.7652	ALAS1	1364.366
removed	removed	ALAS2	22.0706
ALB	18.0901	removed	removed
ALCAM	4575.7702	ALCAM	735.9551
ALDH16A1	1741.4277	ALDH16A1	179.374
ALDH18A1	1928.8138	ALDH18A1	1184.992
ALDH1A1	449.8631	ALDH1A1	3122.3917
ALDH1A2	41.9827	ALDH1A2	737.5602
ALDH1A3	593.5429	ALDH1A3	878.9246
ALDH1B1	1168.3471	ALDH1B1	576.6453
removed	removed	ALDH1L1	1442.2151
ALDH1L2	335.1788	ALDH1L2	646.0674
ALDH2	1218.5215	ALDH2	22024.4783
removed	removed	ALDH3A1	5.618
ALDH3A2	1332.5233	ALDH3A2	5851.9262
ALDH3B1	209.9134	ALDH3B1	269.2616
ALDH3B2	5131.7846	removed	removed
ALDH4A1	1138.652	ALDH4A1	2103.5313
ALDH5A1	366.9217	ALDH5A1	955.0562
ALDH6A1	339.1381	ALDH6A1	1635.6902
ALDH7A1	2253.7528	ALDH7A1	1275.2809
ALDH8A1	36.1802	removed	removed
ALDH9A1	2608.7283	ALDH9A1	8040.5297
ALDOA	40549.4611	ALDOA	10801.7657
removed	removed	ALDOB	6.8218
ALDOC	1940.0774	ALDOC	1840.6902
ALG10B	365.2151	ALG10B	349.9197
ALG10	90.1092	ALG10	154.0931
ALG11	42.6653	ALG11	12.4398
ALG12	400.3714	ALG12	332.6645
ALG13	396.2755	ALG13	548.9567
ALG14	234.8299	ALG14	327.0465
ALG1L	185.9491	removed	removed
ALG1	529.0909	ALG1	320.2608
ALG2	946.1461	ALG2	727.5281
ALG3	1027.3809	ALG3	501.2039
ALG5	849.5518	ALG5	660.9149
ALG6	325.6217	ALG6	296.1477
ALG8	615.0632	ALG8	1067.0144
ALG9	296.268	ALG9	1063.8042
ALKBH1	393.8862	ALKBH1	215.4896
ALKBH2	266.9142	ALKBH2	115.5698
ALKBH3	210.9373	ALKBH3	339.0851
ALKBH4	188.7855	ALKBH4	105.2729
ALKBH5	1980.589	ALKBH5	2272.3997
ALKBH6	153.5952	ALKBH6	46.1477
ALKBH7	622.231	ALKBH7	174.1573
ALKBH8	143.6968	ALKBH8	293.3387
ALK	9.557	ALK	6.8218
ALMS1	870.7138	ALMS1	959.069
ALOX12P2	34.8149	removed	removed
removed	removed	ALOX12	5.2608
ALOX15B	118.4389	ALOX15B	21.2681
ALOX15	11.9463	removed	removed
ALOX5AP	567.2781	ALOX5AP	794.9438
ALOX5	692.2021	ALOX5	296.1477
ALOXE3	6.8265	removed	removed
ALPK1	434.1623	ALPK1	495.1846
ALPK2	146.0861	ALPK2	118.3788
ALPK3	117.0736	ALPK3	882.825
ALPL	96.253	ALPL	134.0289
ALS2CL	124.5827	ALS2CL	192.6164
removed	removed	ALS2CR11	32.1027
ALS2CR12	5.8025	ALS2CR12	10.0321
ALS2CR4	415.0482	ALS2CR4	969.5024
ALS2CR8	130.3852	ALS2CR8	175.3612
ALS2	590.8293	ALS2	753.6116
removed	removed	ALX1	10.4334
ALX3	7.5091	ALX3	8.427
AMACR	537.583	AMACR	347.9133
AMBRA1	768.9997	AMBRA1	563.8042
AMD1	927.0321	AMD1	1475.939
removed	removed	AMDHD1	5.2167
AMDHD2	295.2304	AMDHD2	75.4976
AMFR	3847.7292	AMFR	2509.2295
AMH	14.6769	removed	removed
AMICA1	231.758	AMICA1	91.8941
AMIGO1	82.6001	AMIGO1	189.8074
AMIGO2	7777.7137	AMIGO2	742.7769
AMIGO3	90.1092	AMIGO3	40.5297
AMMECR1L	858.7676	AMMECR1L	1102.3274
AMMECR1	330.7416	AMMECR1	245.1846
AMN1	177.8291	AMN1	166.5329
AMOTL1	616.7699	AMOTL1	3422.5522
AMOTL2	943.7569	AMOTL2	4643.6597
AMOT	363.8498	AMOT	1264.8475
AMPD2	630.4228	AMPD2	287.3194
AMPD3	271.3514	AMPD3	281.3002
AMPH	123.2174	AMPH	942.6164
AMT	79.4394	AMT	81.3403
AMY1A	5.4612	removed	removed
AMY2A	5.4612	removed	removed
AMY2B	654.0457	AMY2B	395.0722
AMZ1	19.1141	removed	removed
AMZ2P1	763.5386	AMZ2P1	259.6308
AMZ2	2144.8709	AMZ2	1567.0144
ANAPC10	96.9356	ANAPC10	162.1188
ANAPC11	656.022	ANAPC11	455.8587
ANAPC13	603.5061	ANAPC13	1281.4848
ANAPC16	926.3494	ANAPC16	2492.3756
ANAPC1	503.7921	ANAPC1	937.3997
ANAPC2	629.7401	ANAPC2	282.1027
ANAPC4	452.935	ANAPC4	546.549
ANAPC5	2937.0806	ANAPC5	2052.5682
removed	removed	ANAPC7	857.9454
ANGEL1	829.4138	ANGEL1	613.1621
ANGEL2	851.5998	ANGEL2	730.7384
ANGPT1	34.1323	ANGPT1	1456.26
ANGPT2	323.2325	ANGPT2	580.2568
removed	removed	ANGPT4	24.077
ANGPTL1	35.4975	ANGPTL1	1446.6292
ANGPTL2	3556.581	ANGPTL2	15749.1974
ANGPTL4	126.6307	ANGPTL4	2772.8732
removed	removed	ANGPTL5	465.0883
ANGPTL6	7.7924	removed	removed
removed	removed	ANGPTL7	8.0257
ANG	394.0125	ANG	775.5899
ANK1	12.9703	ANK1	22.8732
ANK2	161.7869	ANK2	3992.7769
ANK3	601.4103	ANK3	79.4543
ANKAR	17.4075	ANKAR	86.2761
ANKDD1A	40.6174	ANKDD1A	248.7961
ANKFY1	1412.3927	ANKFY1	2965.4896
ANKHD1-EIF4EBP3	902.5934	ANKHD1-EIF4EBP3	1014.2657
ANKHD1	2308.5488	ANKHD1	2376.7456
ANKH	1662.9235	ANKH	1972.3114
ANKIB1	1125.3405	ANKIB1	1936.5971
ANKLE1	6.8265	removed	removed
ANKLE2	2216.5487	ANKLE2	1367.5762
ANKMY1	251.896	ANKMY1	127.2071
ANKMY2	519.4929	ANKMY2	587.4799
ANKRA2	303.0944	ANKRA2	219.1011
ANKRD10	2206.763	ANKRD10	1335.622
ANKRD11	1973.8137	ANKRD11	1576.1717
ANKRD12	937.2717	ANKRD12	2559.39
ANKRD13A	1133.1909	ANKRD13A	920.1445
ANKRD13B	328.3523	ANKRD13B	111.9583
ANKRD13C	421.192	ANKRD13C	744.7833
ANKRD13D	617.1112	ANKRD13D	175.7624
ANKRD16	173.0505	ANKRD16	75.7745
ANKRD17	2444.5522	ANKRD17	3264.4462
ANKRD19	57.3422	ANKRD19	18.4591
ANKRD1	21.162	removed	removed
ANKRD20A3	8.5331	ANKRD20A3	19.2616
removed	removed	ANKRD20A4	5.618
ANKRD20B	8.1917	ANKRD20B	9.2295
ANKRD22	262.477	removed	removed
ANKRD23	55.6356	ANKRD23	9.6308
ANKRD24	26.9645	ANKRD24	6.0193
removed	removed	ANKRD26P1	6.8218
ANKRD26	122.5348	ANKRD26	278.4912
ANKRD27	879.9296	ANKRD27	914.5265
ANKRD28	1605.9226	ANKRD28	1430.5778
ANKRD29	12.2876	ANKRD29	347.1108
ANKRD30A	1050.5908	ANKRD30A	18.0578
ANKRD30B	34.8149	removed	removed
ANKRD32	188.0687	ANKRD32	135.634
ANKRD34A	29.0124	ANKRD34A	16.8539
ANKRD35	32.0843	ANKRD35	99.9197
ANKRD36BP1	88.7439	ANKRD36BP1	170.947
ANKRD36B	55.2943	ANKRD36B	33.7079
ANKRD36	256.6746	ANKRD36	217.8973
ANKRD37	96.5158	ANKRD37	76.8218
ANKRD39	141.6489	ANKRD39	71.8299
ANKRD40	1753.374	ANKRD40	5371.1878
ANKRD42	214.6919	ANKRD42	175.3612
removed	removed	ANKRD43	18.4591
ANKRD44	85.672	ANKRD44	174.1573
ANKRD46	325.2804	ANKRD46	1212.6806
ANKRD49	272.3754	ANKRD49	280.8989
ANKRD50	3928.2813	ANKRD50	984.7512
ANKRD52	1402.1531	ANKRD52	937.801
ANKRD53	7.1678	ANKRD53	191.0112
ANKRD54	707.903	ANKRD54	287.7207
ANKRD56	27.9884	removed	removed
ANKRD57	362.1432	ANKRD57	425.3612
ANKRD58	23.2099	removed	removed
ANKRD5	602.7756	ANKRD5	296.1477
ANKRD6	225.7542	ANKRD6	221.6734
ANKRD9	59.7314	ANKRD9	42.5361
ANKS1A	853.3064	ANKS1A	1054.9759
ANKS1B	245.7522	ANKS1B	35.313
ANKS3	248.8241	ANKS3	95.9069
ANKS6	245.4109	ANKS6	459.069
ANKZF1	642.7104	ANKZF1	327.0465
ANLN	499.3549	ANLN	14.8475
ANO10	872.0791	ANO10	1429.374
ANO1	1396.6919	ANO1	317.0144
ANO2	10.581	ANO2	76.6453
removed	removed	ANO3	204.2536
ANO4	5.1198	ANO4	12.4398
removed	removed	ANO5	117.9775
ANO6	1721.631	ANO6	13402.8892
