gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
LOC647121	24.9165	LOC647121	81.0594
LOC647288	7.5091	removed	removed
LOC647946	5.1198	removed	removed
LOC647979	14520.5442	LOC647979	16282.9053
LOC648740	47.7135	LOC648740	27.813
LOC649330	11.605	removed	removed
LOC650368	36.1802	LOC650368	58.1862
LOC650623	38.2281	LOC650623	164.5265
LOC651250	3038.1121	LOC651250	2928.9727
LOC652276	39.9347	LOC652276	26.886
LOC653113	26.9645	LOC653113	11.236
LOC653501	75.4323	LOC653501	206.6613
LOC653566	1705.5888	LOC653566	1270.0642
LOC653653	95.9116	LOC653653	156.9021
LOC654342	206.1588	LOC654342	769.6629
LOC654433	40.6174	LOC654433	110.8427
LOC678655	325.8948	LOC678655	163.4029
LOC723972	7.8504	LOC723972	6.4205
LOC727896	15.0182	LOC727896	25.2809
LOC728024	10.9223	LOC728024	30.4976
LOC728190	116.391	LOC728190	289.3258
LOC728264	194.2125	LOC728264	1120.7865
LOC728323	43.0066	LOC728323	30.0963
LOC728392	37.5455	LOC728392	48.9567
LOC728554	525.2954	LOC728554	87.4799
LOC728613	71.6777	LOC728613	49.7592
LOC728640	26.9645	LOC728640	31.7014
LOC728643	52.5637	LOC728643	12.0385
LOC728723	11.2636	LOC728723	45.3451
LOC728743	106.4926	LOC728743	127.2071
LOC728758	49.4918	LOC728758	21.6693
LOC728819	5.8025	LOC728819	55.7785
LOC728855	341.6059	LOC728855	81.0072
LOC728875	93.2391	LOC728875	28.9446
removed	removed	LOC728989	13.2424
LOC729020	27.9884	LOC729020	32.1027
LOC729082	246.1277	LOC729082	710
LOC729156	12.3764	removed	removed
LOC729176	23.2099	LOC729176	55.3772
LOC729234	82.9414	LOC729234	28.4912
LOC729375	122.1935	LOC729375	16.0514
removed	removed	LOC729467	49.3579
LOC729603	30.3777	LOC729603	47.3515
LOC729678	985.7703	LOC729678	626.3724
LOC729799	10.2397	LOC729799	22.4719
LOC729991-MEF2B	27.9782	LOC729991-MEF2B	8.1541
LOC729991	281.7345	LOC729991	172.6966
LOC730101	154.6191	LOC730101	42.9374
LOC80054	22.8686	LOC80054	126.0032
LOC80154	471.7078	LOC80154	28.8925
LOC81691	67.5819	LOC81691	114.7673
LOC84856	7.5091	LOC84856	8.0257
LOC90110	317.7713	LOC90110	366.7737
LOC90246	9.8984	LOC90246	46.1477
removed	removed	LOC90586	25.6822
LOC90784	547.1401	LOC90784	230.3371
LOC90834	24.9165	LOC90834	32.1027
removed	removed	LOC91149	8.0257
LOC91316	160.0803	LOC91316	318.7079
LOC92249	625.3029	LOC92249	592.2953
LOC92659	42.324	LOC92659	5.618
LOC92973	27.9884	LOC92973	48.9567
LOC93622	575.4698	LOC93622	230.7384
LOC96610	5466.2398	LOC96610	920.1766
LOH12CR1	105.1273	LOH12CR1	97.1108
LOH12CR2	18.4314	LOH12CR2	48.1541
LOH3CR2A	30.719	LOH3CR2A	168.138
LONP1	1473.1482	LONP1	496.7897
LONP2	2656.5135	LONP2	2084.2697
LONRF1	307.1903	LONRF1	844.3018
LONRF2	2668.8011	LONRF2	306.9823
LONRF3	11.2636	LONRF3	120.7865
removed	removed	LOXHD1	22.0706
LOXL1	1567.6945	LOXL1	618.7801
LOXL2	2365.9968	LOXL2	1525.1886
LOXL3	208.2819	LOXL3	152.4839
LOXL4	92.8397	LOXL4	358.748
LOX	1453.6928	LOX	1878.0096
LPAR1	215.7159	LPAR1	1653.6918
LPAR2	461.8094	LPAR2	22.8732
LPAR4	7.1678	LPAR4	12.0385
LPAR5	158.0323	LPAR5	68.6196
LPAR6	960.4817	LPAR6	1175.3612
LPCAT1	1862.9385	LPCAT1	664.1252
LPCAT2	343.7118	LPCAT2	707.8652
LPCAT3	1429.8002	LPCAT3	758.8283
LPCAT4	269.6448	LPCAT4	447.4318
LPGAT1	2367.7546	LPGAT1	4213.0819
LPHN1	902.764	LPHN1	1092.6083
LPHN2	422.8986	LPHN2	2190.61
removed	removed	LPHN3	81.4607
LPIN1	403.7846	LPIN1	1416.1316
removed	removed	LPIN2	1320.626
LPIN3	523.7219	LPIN3	344.992
LPL	247.4589	LPL	70214.2857
LPPR1	9.2157	removed	removed
LPPR2	893.2411	LPPR2	306.9823
LPPR3	63.1447	removed	removed
LPPR4	39.5934	LPPR4	238.3628
LPP	424.9466	LPP	1335.8748
LPXN	617.4525	LPXN	279.2937
LQK1	26.2818	LQK1	16.0514
LRAT	47.7852	removed	removed
LRBA	2280.0347	LRBA	1831.4607
LRCH1	669.3335	LRCH1	902.8892
LRCH2	41.9827	LRCH2	141.252
LRCH3	231.758	LRCH3	467.0947
LRCH4	663.1897	LRCH4	265.2488
LRDD	175.7811	LRDD	77.4478
LRFN1	635.8839	LRFN1	26.0835
LRFN2	32.767	removed	removed
LRFN3	158.715	LRFN3	91.8941
LRFN4	271.6928	LRFN4	181.7817
LRFN5	7.8504	LRFN5	36.9181
LRG1	411.2937	LRG1	30.0963
LRGUK	23.5513	removed	removed
LRIG1	4802.6336	LRIG1	2561.6974
LRIG2	193.5299	LRIG2	335.8748
LRIG3	272.7167	LRIG3	983.1461
LRIT3	23.8926	removed	removed
LRMP	60.7554	LRMP	212.6806
LRP10	4264.484	LRP10	3779.695
LRP11	879.5882	LRP11	1184.1894
LRP12	218.7878	LRP12	369.5827
removed	removed	LRP1B	55.3772
LRP1	8067.4999	LRP1	48003.6116
LRP2BP	50.5157	LRP2BP	44.5425
LRP3	699.3119	LRP3	991.8098
LRP4	38.2281	LRP4	287.6685
LRP5L	48.8091	LRP5L	28.8925
LRP5	1043.7644	LRP5	1825.8427
LRP6	1008.6082	LRP6	1973.114
LRP8	195.2365	LRP8	41.3323
LRPAP1	1814.4707	LRPAP1	776.0835
LRPPRC	5635.9181	LRPPRC	4503.2103
LRRC10B	19.4554	LRRC10B	7.2231
LRRC14	308.0743	LRRC14	329.8555
LRRC15	5680.29	LRRC15	197.4318
LRRC16A	954.6792	LRRC16A	396.87
LRRC16B	21.8446	removed	removed
LRRC17	451.2284	LRRC17	387.2392
LRRC1	1659.5103	LRRC1	211.0754
LRRC20	260.4291	LRRC20	127.2071
LRRC23	330.7416	LRRC23	61.3965
LRRC24	11.7449	removed	removed
LRRC25	141.9902	LRRC25	234.3499
LRRC26	24.2339	removed	removed
LRRC27	181.5836	LRRC27	92.6966
LRRC28	714.0468	LRRC28	280.8989
LRRC29	62.462	LRRC29	33.3066
LRRC2	10.2397	LRRC2	353.9326
LRRC31	45.7372	removed	removed
LRRC32	1412.0514	LRRC32	2754.8154
LRRC33	93.5224	LRRC33	297.3515
LRRC34	19.7967	LRRC34	154.8957
LRRC37A2	188.3315	LRRC37A2	107.496
LRRC37A3	303.0944	LRRC37A3	62.199
LRRC37A4	154.2266	LRRC37A4	658.8483
LRRC37A	595.2665	LRRC37A	326.244
LRRC37B2	391.8383	LRRC37B2	416.5329
LRRC37B	166.5654	LRRC37B	93.4992
LRRC39	17.8614	LRRC39	6.5931
LRRC3	55.2943	LRRC3	112.3596
LRRC40	295.5853	LRRC40	390.4494
LRRC41	2419.9769	LRRC41	1585.8748
LRRC42	647.4889	LRRC42	307.3836
LRRC43	9.557	removed	removed
LRRC45	143.6968	LRRC45	39.7271
LRRC46	181.5836	LRRC46	6.4205
LRRC47	1753.7153	LRRC47	864.366
LRRC48	68.6058	LRRC48	14.4462
LRRC49	42.324	LRRC49	139.6469
removed	removed	LRRC4B	10.0321
LRRC4C	73.7257	LRRC4C	41.3323
LRRC4	13.6529	LRRC4	73.8363
LRRC50	22.5273	removed	removed
LRRC55	34.4736	LRRC55	8.0257
LRRC56	63.1447	removed	removed
LRRC57	233.806	LRRC57	364.366
LRRC58	2072.1692	LRRC58	1854.3339
LRRC59	8992.6377	LRRC59	1680.8226
LRRC61	290.1242	LRRC61	73.8363
LRRC66	6.4851	LRRC66	15.2488
LRRC69	8.5331	LRRC69	8.427
LRRC6	37.5455	LRRC6	76.6453
LRRC70	25.9405	LRRC70	138.4671
LRRC8A	1118.1727	LRRC8A	1156.5008
LRRC8B	452.2524	LRRC8B	1051.3644
LRRC8C	353.6102	LRRC8C	2382.0225
LRRC8D	847.1626	LRRC8D	357.1429
LRRC8E	447.1325	LRRC8E	31.7014
LRRCC1	360.4366	LRRCC1	349.9197
LRRFIP1	4016.0012	LRRFIP1	2514.0449
LRRFIP2	1615.821	LRRFIP2	859.9518
LRRIQ1	36.8628	LRRIQ1	9.2295
LRRIQ3	21.8446	LRRIQ3	43.3387
LRRK1	285.0043	LRRK1	419.3419
LRRK2	121.1695	LRRK2	1219.9037
LRRN1	44.7133	LRRN1	16.8539
LRRN2	392.9783	LRRN2	55.7785
LRRN3	10.9223	LRRN3	841.4928
LRRN4CL	41.9827	LRRN4CL	1257.2231
LRRTM2	13.6529	LRRTM2	39.3258
LRSAM1	590.488	LRSAM1	240.7705
LRTOMT	282.2635	LRTOMT	178.3066
LRWD1	191.482	LRWD1	56.1798
LSAMP	20.138	LSAMP	26.0835
LSG1	968.6734	LSG1	741.1717
LSM10	574.4459	LSM10	345.1043
LSM11	205.1349	LSM11	153.6918
LSM12	1005.8776	LSM12	877.6083
LSM14A	2692.011	LSM14A	2689.0048
LSM14B	1938.3708	LSM14B	423.3547
LSM1	474.4384	LSM1	533.3066
LSM2	764.9038	LSM2	394.8636
LSM3	1032.8421	LSM3	791.7335
LSM4	1149.5744	LSM4	483.1461
LSM5	400.03	LSM5	449.0369
LSM6	130.3852	LSM6	302.5682
LSM7	427.6772	LSM7	82.6645
LSMD1	418.4615	LSMD1	219.1011
LSP1	1377.5778	LSP1	971.5088
LSR	2411.1025	LSR	115.5698
LSS	1636.3003	LSS	1186.9984
LST1	170.6613	LST1	49.3579
LTA4H	2440.115	LTA4H	1898.4751
LTA	29.0124	removed	removed
LTB4R2	63.7283	LTB4R2	29.7552
LTB4R	232.9083	LTB4R	125.7624
LTBP1	1368.3621	LTBP1	1214.2857
LTBP2	6599.1303	LTBP2	5885.634
LTBP3	978.0291	LTBP3	1907.0425
LTBP4	739.646	LTBP4	5362.7608
LTBR	1809.3509	LTBR	1180.9791
LTB	88.7439	LTB	6.0193
LTC4S	11.0827	LTC4S	46.0995
LTF	60.0728	LTF	81.0594
LTV1	449.8631	LTV1	655.297
LUC7L2	3170.8866	LUC7L2	1626.8058
LUC7L3	5584.7197	LUC7L3	2229.1332
LUC7L	620.1831	LUC7L	465.0883
LUM	24891.9714	LUM	14898.4751
LUZP1	840.3361	LUZP1	1695.0241
removed	removed	LUZP2	34.5104
LUZP6	6380.6839	LUZP6	5702.6485
LXN	292.5134	LXN	248.3949
LY6E	2907.7269	LY6E	1240.7705
LY6G5B	57.919	LY6G5B	63.4029
LY6G5C	31.4017	LY6G5C	24.077
LY6H	16.3835	removed	removed
LY6K	31.0604	LY6K	79.053
LY75	255.9373	LY75	248.5433
LY86	183.9729	LY86	67.0144
LY96	190.458	LY96	244.7833
LY9	45.3959	LY9	10.8347
LYAR	251.5547	LYAR	217.8973
LYG1	22.8686	removed	removed
LYL1	65.8753	LYL1	51.7657
LYNX1	118.4389	LYNX1	314.6067
LYN	573.4219	LYN	599.5185
LYPD1	61.2674	LYPD1	5.9671
LYPD3	1585.4433	LYPD3	8.427
LYPD5	68.6058	LYPD5	11.236
LYPD6B	83.9653	removed	removed
LYPD6	70.3124	LYPD6	15.6501
LYPLA1	931.8106	LYPLA1	630.8186
LYPLA2P1	63.8273	LYPLA2P1	17.6565
LYPLA2	1186.7785	LYPLA2	361.1557
LYPLAL1	635.8839	LYPLAL1	418.5393
LYRM1	374.4308	LYRM1	1252.0064
LYRM2	624.8217	LYRM2	792.3716
LYRM4	298.9986	LYRM4	420.1445
LYRM5	190.7993	LYRM5	523.2745
LYRM7	222.201	LYRM7	807.3836
LYSMD1	313.3341	LYSMD1	244.382
LYSMD2	192.1646	LYSMD2	138.8443
LYSMD3	575.1285	LYSMD3	774.4783
LYSMD4	452.836	LYSMD4	196.8339
LYST	970.0387	LYST	2355.1364
LYVE1	18.0901	LYVE1	9200.2408
LYZ	7626.5112	LYZ	3119.1814
LZIC	357.706	LZIC	532.9053
LZTFL1	552.9425	LZTFL1	558.1862
LZTR1	765.706	LZTR1	918.9406
LZTS1	302.7531	LZTS1	52.5682
LZTS2	1149.9157	LZTS2	929.374
M6PR	3244.9297	M6PR	2967.2111
MAB21L1	13.9942	MAB21L1	223.9165
removed	removed	MAB21L2	6.0193
MACC1	607.8955	MACC1	48.9567
MACF1	5292.5476	MACF1	9824.6388
MACROD1	172.0266	MACROD1	54.9759
MACROD2	138.577	MACROD2	86.2761
MAD1L1	305.825	MAD1L1	141.6533
MAD2L1BP	614.0393	MAD2L1BP	306.9823
MAD2L1	261.4531	MAD2L1	42.5361
MAD2L2	316.406	MAD2L2	201.0433
MADD	1227.0546	MADD	793.74
MAEA	1220.9108	MAEA	703.8523
MAF1	1456.082	MAF1	1631.2199
MAFB	1983.0841	MAFB	1642.4559
MAFF	409.5871	MAFF	391.252
MAFG	268.9622	MAFG	845.5056
MAFK	419.7926	MAFK	458.0136
MAF	593.2186	MAF	1993.5795
MAGEA1	5.4612	removed	removed
MAGEA2	34.4736	removed	removed
MAGEA3	594.5839	removed	removed
MAGEA6	440.3061	removed	removed
MAGED1	11821.0241	MAGED1	1711.4767
MAGED2	26605.752	MAGED2	2299.7592
MAGED4B	897.6408	MAGED4B	33.1782
MAGED4	455.7032	removed	removed
MAGEE1	151.8885	MAGEE1	96.3082
removed	removed	MAGEE2	8.0257
MAGEF1	922.2535	MAGEF1	274.4783
MAGEH1	696.298	MAGEH1	527.6886
MAGEL2	16.3835	MAGEL2	10.4334
MAGI1	370.335	MAGI1	949.0369
MAGI2	125.948	MAGI2	386.0353
MAGI3	1734.2599	MAGI3	504.0128
MAGIX	34.1323	MAGIX	10.0321
MAGOHB	241.315	MAGOHB	176.565
MAGOH	504.4747	MAGOH	294.5425
MAGT1	2794.4078	MAGT1	2429.7753
MAG	8.1917	removed	removed
MAK16	395.0331	MAK16	573.447
MAK	11.9463	MAK	6.4205
MAL2	3588.6654	MAL2	1112.7608
MALAT1	3939.207	MALAT1	14051.866
MALL	187.7274	MALL	733.5474
MALT1	356.3407	MALT1	759.2295
MAL	18.0901	MAL	6.4205
MAMDC2	74.3469	MAMDC2	3217.8331
MAMDC4	14.3355	MAMDC4	9.2295
MAML1	1978.4864	MAML1	1148.122
MAML2	196.6018	MAML2	979.1332
MAML3	229.3688	MAML3	238.764
MAMLD1	41.3	MAMLD1	288.122
MAMSTR	25.9405	MAMSTR	12.4398
MAN1A1	9640.3143	MAN1A1	4798.5554
MAN1A2	565.5715	MAN1A2	1912.5201
MAN1B1	1667.702	MAN1B1	632.4238
MAN1C1	505.4987	MAN1C1	471.1075
MAN2A1	481.2648	MAN2A1	980.7384
MAN2A2	1917.2088	MAN2A2	2552.9695
MAN2B1	2276.6215	MAN2B1	1364.366
MAN2B2	2111.08	MAN2B2	1695.4254
MAN2C1	477.8516	MAN2C1	838.2825
MANBAL	1382.015	MANBAL	1118.3788
MANBA	1533.2209	MANBA	1001.2039
MANEAL	293.1961	MANEAL	55.3772
MANEA	289.1002	MANEA	732.3435
MANF	1187.8025	MANF	479.5345
MANSC1	426.9945	MANSC1	709.4703
MAOA	533.1458	MAOA	13830.6581
MAOB	84.9893	MAOB	6715.4896
MAP1A	612.674	MAP1A	2373.1942
MAP1B	1275.8637	MAP1B	4801.7657
MAP1D	55.6356	MAP1D	75.4414
MAP1LC3A	390.8143	MAP1LC3A	241.9743
MAP1LC3B2	326.987	MAP1LC3B2	464.687
MAP1LC3B	2509.7448	MAP1LC3B	3816.6132
removed	removed	MAP1LC3C	235.1525
MAP1S	664.555	MAP1S	260.8347
MAP2K1	742.025	MAP2K1	2653.6958
MAP2K2	1697.0558	MAP2K2	654.0931
MAP2K3	600.3864	MAP2K3	746.3884
MAP2K4	502.7681	MAP2K4	900.4815
MAP2K5	210.9373	MAP2K5	407.3034
MAP2K6	71.3364	MAP2K6	132.0225
MAP2K7	614.0393	MAP2K7	456.6613
MAP2	59.0488	MAP2	413.7239
MAP3K10	260.0878	MAP3K10	74.2376
MAP3K11	1105.8851	MAP3K11	741.573
MAP3K12	177.5867	MAP3K12	155.8387
MAP3K13	30.4733	MAP3K13	42.6806
MAP3K14	297.6333	MAP3K14	251.6051
MAP3K1	1313.0679	MAP3K1	840.6902
MAP3K2	693.9088	MAP3K2	1144.061
MAP3K3	1673.2485	MAP3K3	1459.996
MAP3K4	450.5458	MAP3K4	813.0016
MAP3K5	450.5458	MAP3K5	1188.6035
MAP3K6	574.7872	MAP3K6	716.6934
MAP3K7	1450.6209	MAP3K7	764.8475
MAP3K8	110.2472	MAP3K8	521.2681
MAP3K9	118.4389	removed	removed
MAP4K1	249.5068	MAP4K1	29.695
MAP4K2	363.5085	MAP4K2	185.7945
MAP4K3	907.5767	MAP4K3	1030.0963
MAP4K4	2546.2663	MAP4K4	4103.5313
MAP4K5	1188.8265	MAP4K5	1232.3435
MAP4	6029.1216	MAP4	13376.4045
MAP6D1	53.5876	MAP6D1	19.6629
MAP6	32.767	MAP6	124.7994
MAP7D1	2453.4265	MAP7D1	3093.0979
MAP7D2	6.1438	MAP7D2	14.0449
MAP7D3	223.9076	MAP7D3	1287.3194
MAP7	667.6269	MAP7	181.3804
MAP9	245.7522	MAP9	241.9743
MAPK10	19.4554	MAPK10	652.8892
MAPK11	112.2951	MAPK11	249.1974
MAPK12	65.2575	MAPK12	71.4807
MAPK13	851.9411	MAPK13	99.1172
MAPK14	1362.901	MAPK14	2856.3403
MAPK15	5.4612	removed	removed
MAPK1IP1L	1894.6815	MAPK1IP1L	1919.7432
MAPK1	2408.7133	MAPK1	4500.8026
MAPK3	1793.4794	MAPK3	2277.6886
removed	removed	MAPK4	8.427
MAPK6	867.6419	MAPK6	928.9727
MAPK7	287.8817	MAPK7	293.1541
MAPK8IP1	269.9861	MAPK8IP1	116.7737
MAPK8IP2	346.4424	MAPK8IP2	9.6308
MAPK8IP3	514.7144	MAPK8IP3	319.0209
MAPK8	153.2538	MAPK8	259.6308
MAPK9	1482.0225	MAPK9	1359.5506
MAPKAP1	1624.0127	MAPKAP1	2450.2408
MAPKAPK2	6686.8502	MAPKAPK2	1716.6934
MAPKAPK3	1196.6769	MAPKAPK3	459.069
MAPKAPK5	832.2058	MAPKAPK5	376.2721
MAPKBP1	296.9506	MAPKBP1	390.8507
MAPKSP1	1133.8735	MAPKSP1	1007.6244
MAPRE1	4795.5819	MAPRE1	3291.7335
MAPRE2	519.8343	MAPRE2	1182.183
MAPRE3	466.5879	MAPRE3	423.3547
MAPT	1458.13	MAPT	909.3098
MARCH1	91.8158	MARCH1	111.1557
MARCH2	675.136	MARCH2	1368.3788
MARCH3	55.2943	MARCH3	322.6324
MARCH4	6.8265	removed	removed
MARCH5	936.2478	MARCH5	1133.6276
MARCH6	2294.3702	MARCH6	3118.7801
MARCH7	1642.4441	MARCH7	1831.0594
MARCH8	175.0985	MARCH8	472.7127
MARCH9	362.8259	MARCH9	126.4045
MARCKSL1	7250.0324	MARCKSL1	343.9005
MARCKS	5250.5649	MARCKS	2803.3708
MARCO	325.963	MARCO	1038.122
MARK1	248.1415	MARK1	925.3612
MARK2	1870.1063	MARK2	445.4254
MARK3	1347.5415	MARK3	1196.2279
MARK4	691.8608	MARK4	322.2311
MARS2	165.8828	MARS2	101.5249
MARS	1849.4768	MARS	1113.2745
MARVELD1	1272.2286	MARVELD1	981.6011
MARVELD2	422.216	MARVELD2	12.8411
MARVELD3	248.0254	removed	removed
removed	removed	MAS1L	6.4205
removed	removed	MASP1	265.6501
MASP2	14.6769	MASP2	49.3579
MAST1	16.0422	removed	removed
MAST2	3181.4676	MAST2	919.3419
MAST3	308.2143	MAST3	430.9791
MAST4	208.2068	MAST4	1479.1332
MASTL	198.9911	MASTL	195.8266
MAT2A	5793.2678	MAT2A	4161.7175
MAT2B	1532.8796	MAT2B	1601.1236
MATK	26.2818	MATK	9.2295
MATN2	110.5885	MATN2	5331.862
MATN3	168.272	MATN3	22.4719
removed	removed	MATN4	54.1734
MATR3	8323.7718	MATR3	6487.9615
MAVS	3024.8005	MAVS	3534.1091
MAX	1601.8268	MAX	1349.9197
MAZ	3916.4818	MAZ	1005.618
MBD1	778.2154	MBD1	774.4783
MBD2	1301.1216	MBD2	3281.3002
MBD3	949.9007	MBD3	492.3756
MBD4	1693.9838	MBD4	707.8652
MBD5	329.0349	MBD5	449.4382
MBD6	1615.1383	MBD6	843.9005
MBIP	410.611	MBIP	357.9454
removed	removed	MBL1P	6.8218
MBLAC1	13.6529	MBLAC1	9.2295
MBLAC2	136.529	MBLAC2	178.9727
MBNL1	1927.8035	MBNL1	9347.801
MBNL2	1305.5588	MBNL2	4758.427
MBNL3	28.3298	MBNL3	278.0899
MBOAT1	776.1675	MBOAT1	454.6549
MBOAT2	778.8981	MBOAT2	155.6982
removed	removed	MBOAT4	6.0193
MBOAT7	2498.8224	MBOAT7	306.1798
MBP	471.3665	MBP	1017.6565
MBTD1	1090.1842	MBTD1	640.8507
MBTPS1	7354.1358	MBTPS1	3174.9599
MBTPS2	750.7833	MBTPS2	758.8684
MB	658.0699	removed	removed
MC1R	594.2767	MC1R	10.8347
MCAM	1717.5351	MCAM	19747.9936
MCART1	165.2001	MCART1	624.7994
removed	removed	MCART2	20.4655
MCART6	12.2876	MCART6	5.618
MCAT	564.5475	MCAT	159.3098
MCCC1	362.8259	MCCC1	1134.8315
MCCC2	4782.2703	MCCC2	1900.0803
MCC	325.6217	MCC	1305.7785
MCEE	168.272	MCEE	217.496
MCF2L2	11.2636	removed	removed
MCF2L	1437.439	MCF2L	827.4478
MCFD2	2199.8239	MCFD2	4314.6469
MCHR1	5.3315	removed	removed
MCL1	11726.8191	MCL1	12151.6854
MCM10	103.7621	MCM10	12.4398
MCM2	2322.0174	MCM2	101.9262
MCM3APAS	31.7908	MCM3APAS	20.8347
MCM3AP	1892.9271	MCM3AP	1736.7897
MCM3	2590.2969	MCM3	1085.8748
MCM4	1019.8718	MCM4	287.7207
MCM5	947.8527	MCM5	290.1284
MCM6	748.5204	MCM6	696.2279
MCM7	1187.666	MCM7	722.9735
MCM8	381.9399	MCM8	197.0305
MCM9	176.1224	MCM9	55.3772
MCOLN1	423.9226	MCOLN1	568.2183
MCOLN2	94.5463	MCOLN2	17.6565
MCOLN3	68.2645	MCOLN3	301.7657
MCPH1	219.426	MCPH1	448.5875
MCRS1	1066.633	MCRS1	571.8299
MCTP1	129.0199	MCTP1	580.6581
MCTP2	65.1926	MCTP2	38.122
MCTS1	1208.2819	MCTS1	961.4767
MDC1	757.0534	MDC1	827.4478
MDFIC	459.0788	MDFIC	4355.1364
MDFI	64.1686	MDFI	744.7833
MDGA1	90.1092	MDGA1	80.6581
MDH1	3198.875	MDH1	6027.6886
MDH2	4535.1528	MDH2	2422.5522
MDK	2119.2718	MDK	167.3355
MDM1	336.2027	MDM1	204.2536
MDM2	1764.6376	MDM2	1961.0754
MDM4	1579.5247	MDM4	1069.4222
MDN1	573.0806	MDN1	1653.2905
MDP1	424.3663	MDP1	158.0698
ME1	90.4505	ME1	2030.8989
ME2	595.2665	ME2	729.5345
ME3	87.3786	ME3	609.5506
MEA1	1456.0684	MEA1	620.6701
MEAF6	2638.082	MEAF6	997.5923
MECOM	207.5241	MECOM	1000.4013
MECP2	1499.43	MECP2	1768.8604
MECR	395.5928	MECR	394.8636
MED10	735.8914	MED10	363.1621
MED11	222.5423	MED11	207.8652
MED12L	8.5331	removed	removed
MED12	1069.3636	MED12	1427.3676
MED13L	5462.5262	MED13L	4958.2665
MED13	3959.0003	MED13	3248.3949
MED14	1357.7641	MED14	1069.8234
MED15	1370.4101	MED15	1218.2986
MED16	1306.2414	MED16	301.3644
MED17	419.4854	MED17	515.2488
MED18	399.0061	MED18	252.809
MED19	222.5423	MED19	162.9213
MED1	1657.8037	MED1	2085.8748
MED20	642.7104	MED20	428.9727
MED21	428.3598	MED21	646.0674
MED22	658.4112	MED22	456.26
MED23	636.2252	MED23	1028.0899
MED24	1171.0777	MED24	864.366
MED25	3116.6163	MED25	333.0658
MED26	289.1002	MED26	173.756
MED27	244.387	MED27	197.4318
MED28	476.8276	MED28	524.8796
MED29	7830.9634	MED29	911.3162
MED30	152.2299	MED30	166.9342
MED31	96.3383	MED31	131.6974
MED4	1259.1389	MED4	1097.9133
MED6	545.7748	MED6	310.5939
MED7	214.3506	MED7	273.6758
MED8	871.0552	MED8	642.4559
MED9	310.6035	MED9	284.5104
MEF2A	2597.905	MEF2A	3031.0955
MEF2B	27.1283	MEF2B	17.2151
MEF2C	395.9342	MEF2C	1868.3788
MEF2D	1558.8201	MEF2D	1445.4254
MEFV	12.2876	MEFV	19.6629
MEG3	88.4025	MEG3	255.2167
MEGF10	61.4381	MEGF10	7.2231
MEGF6	858.7676	MEGF6	451.0433
MEGF8	705.5137	MEGF8	819.8234
MEGF9	978.9131	MEGF9	1511.6372
MEI1	53.5876	MEI1	20.0642
MEIS1	138.9183	MEIS1	338.2825
MEIS2	52.905	MEIS2	303.3708
MEIS3P1	413.0003	MEIS3P1	615.1685
MEIS3	635.2013	MEIS3	67.0144
MELK	165.2001	MELK	9.2295
MEMO1	546.2765	MEMO1	327.0706
MEN1	1183.7066	MEN1	370.7865
MEOX1	23.8926	MEOX1	968.2986
MEOX2	67.9232	MEOX2	1278.4912
MEPCE	1340.715	MEPCE	847.9133
MEPE	5.1198	removed	removed
MERTK	159.3976	MERTK	396.87
MESDC1	1185.0719	MESDC1	575.0401
MESDC2	3051.0823	MESDC2	1156.5008
removed	removed	MESP1	115.9711
MESP2	6.8265	MESP2	5.2167
removed	removed	MESTIT1	84.6709
MEST	1114.0768	MEST	11189.8074
METAP1	1031.1354	METAP1	684.1894
METAP2	2136.3379	METAP2	1798.5554
METRNL	257.0159	METRNL	235.5538
METRN	379.5507	METRN	29.695
METT10D	653.974	METT10D	780.4976
METT11D1	599.7037	METT11D1	343.9005
METT5D1	323.2325	METT5D1	273.2745
METTL10	176.1463	METTL10	281.3283
METTL11A	394.4528	METTL11A	124.9559
METTL12	37.5728	METTL12	48.2665
METTL13	2067.732	METTL13	702.6485
METTL14	289.7829	METTL14	461.4767
METTL1	442.6954	METTL1	156.0995
METTL2A	1141.724	METTL2A	386.4366
METTL2B	303.7771	METTL2B	364.7673
METTL3	674.9278	METTL3	612.3756
METTL4	139.6009	METTL4	249.1974
METTL5	555.6731	METTL5	882.5843
METTL6	396.9581	METTL6	245.5859
METTL7A	490.4805	METTL7A	7599.5185
METTL7B	6.8265	METTL7B	22.8732
METTL8	321.1845	METTL8	544.5425
METTL9	1627.426	METTL9	2230.7384
MET	188.4101	MET	1447.4318
MEX3A	701.7592	MEX3A	10.0321
MEX3B	82.2587	MEX3B	80.2568
MEX3C	928.7387	MEX3C	1239.1653
MEX3D	434.1623	MEX3D	143.2584
MFAP1	804.1559	MFAP1	649.2777
MFAP2	1388.1588	MFAP2	298.9567
MFAP3L	195.5778	MFAP3L	126.8058
MFAP3	869.6899	MFAP3	1714.2857
MFAP4	410.611	MFAP4	14196.2279
MFAP5	1781.7037	MFAP5	19150.8828
MFF	976.5238	MFF	1306.1798
MFGE8	3109.7898	MFGE8	3280.4976
MFHAS1	130.3852	MFHAS1	288.9246
MFI2	38.5694	MFI2	49.3579
MFN1	743.7419	MFN1	995.9872
MFN2	1562.5747	MFN2	3008.0257
MFNG	172.0266	MFNG	438.2022
MFRP	966.9668	MFRP	362.7608
MFSD10	1301.4629	MFSD10	381.2199
MFSD11	640.1197	MFSD11	600.61
