gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
AGAP2	52.3536	AGAP2	81.7937
AGAP3	1688.9567	AGAP3	1468.8889
AGAP4	150.8602	AGAP4	324.4444
AGAP5	20.3712	AGAP5	50.5556
AGAP6	98.9914	AGAP6	146.9841
removed	removed	AGAP7	8.5714
AGAP8	39.6644	AGAP8	20.3175
AGA	265.4462	AGA	519.0476
removed	removed	AGBL2	18.4127
AGBL3	6.4412	AGBL3	5.7143
removed	removed	AGBL4	10.7937
AGBL5	1180.8153	AGBL5	825.1683
AGER	25.4259	AGER	65.7143
AGFG1	972.6248	AGFG1	1207.619
removed	removed	AGFG2	515.873
AGGF1	1278.0744	AGGF1	894.2857
AGK	937.0286	AGK	550.4762
AGL	1283.4986	AGL	699.3651
AGMAT	81.7018	AGMAT	28.8889
AGPAT1	2883.919	AGPAT1	1947.2825
AGPAT2	866.1751	AGPAT2	972.0635
AGPAT3	2306.2971	AGPAT3	1915.873
AGPAT4	557.3354	AGPAT4	277.1429
AGPAT5	398.3388	AGPAT5	601.9048
AGPAT6	2696.4997	AGPAT6	2185.3968
AGPAT9	586.1514	AGPAT9	124.127
AGPHD1	46.7836	AGPHD1	56.5079
AGPS	1004.4919	AGPS	768.8889
AGR2	438.0032	AGR2	9899.0476
AGR3	40.0034	AGR3	2611.1111
AGRN	12317.654	AGRN	7435.5556
AGTPBP1	406.4751	AGTPBP1	337.4603
AGTR1	69.1584	AGTR1	231.4286
removed	removed	AGTR2	20.6349
AGTRAP	1048.9024	AGTRAP	1185.7143
AGT	337.3167	AGT	235.5556
AGXT2L1	10.5094	AGXT2L1	6.0317
AGXT2L2	103.602	AGXT2L2	607.6
AHCTF1	2472.0739	AHCTF1	1116.5079
AHCYL1	2854.8182	AHCYL1	3773.6508
AHCYL2	600.7289	AHCYL2	516.1905
AHCY	2282.9053	AHCY	3245.3968
AHDC1	700.7374	AHDC1	1110.7937
AHI1	568.8618	AHI1	386.9841
AHNAK2	1122.468	AHNAK2	894.6032
AHNAK	11111.1111	AHNAK	45596.8254
AHRR	30.8501	AHRR	18.7302
AHR	816.3404	AHR	1792.0635
AHSA1	3074.1588	AHSA1	1838.0952
AHSA2	250.1907	AHSA2	695.873
AIDA	1386.9243	AIDA	1088.2635
AIF1L	3392.1519	AIF1L	1764.4444
AIF1	158.9965	AIF1	1167.3016
AIFM1	2196.7963	AIFM1	922.8571
AIFM2	781.4222	AIFM2	524.4444
AIFM3	33.1282	AIFM3	26.5683
AIG1	595.9827	AIG1	1119.0476
AIM1L	28.477	AIM1L	6.3492
AIM1	5169.2516	AIM1	2178.7302
AIM2	16.2726	AIM2	28.254
AIMP1	2229.3313	AIMP1	1139.2032
AIMP2	1097.9676	AIMP2	355.8857
AIP	589.8805	AIP	1019.0476
AJAP1	5.0852	AJAP1	28.254
AK1	748.199	AK1	696.5079
AK2	2982.6256	AK2	2201.9048
AK3L1	340.3678	AK3L1	286.0317
AK3	3394.864	AK3	2109.8413
AK5	93.9063	AK5	2579.3651
AK7	17.2896	AK7	54.9206
AKAP10	446.4785	AKAP10	425.0794
AKAP11	1253.6656	AKAP11	917.7778
AKAP12	212.5604	AKAP12	1571.4286
AKAP13	2608.6957	AKAP13	3572.6984
AKAP1	2671.0738	AKAP1	2216.8254
AKAP2	489.8652	AKAP2	805.0444
AKAP3	208.8313	AKAP3	42.8571
AKAP5	44.7496	AKAP5	106.6667
AKAP6	79.6678	AKAP6	136.1905
AKAP7	419.3576	AKAP7	191.4286
AKAP8L	962.7935	AKAP8L	836.1905
AKAP8	684.8038	AKAP8	672.381
AKAP9	2339.8593	AKAP9	1942.5397
AKD1	89.4991	AKD1	127.9365
AKIRIN1	1216.7133	AKIRIN1	1273.3333
AKIRIN2	754.6402	AKIRIN2	760.9524
AKNA	259.005	AKNA	873.6508
AKR1A1	1386.5582	AKR1A1	2364.127
removed	removed	AKR1B10	190.4762
AKR1B15	6.4412	removed	removed
AKR1B1	2184.2529	AKR1B1	1050.4762
AKR1C1	130.8585	AKR1C1	1073.0159
AKR1C2	288.838	AKR1C2	419.3651
AKR1C3	166.1158	AKR1C3	957.7778
AKR1E2	53.5639	AKR1E2	45.0794
AKR7A2	1027.2057	AKR7A2	1561.9048
AKR7A3	21.3577	AKR7A3	490.7937
AKR7L	10.8484	AKR7L	31.1111
AKT1S1	836.3421	AKT1S1	1026.0317
AKT1	4190.1856	AKT1	3759.6825
AKT2	2168.6584	AKT2	2310.7937
AKT3	185.4394	AKT3	613.0159
AKTIP	420.6865	AKTIP	586.0635
ALAD	742.7748	ALAD	2153.9683
ALAS1	1160.0983	ALAS1	881.5873
removed	removed	ALAS2	7.3016
ALB	56.615	ALB	3069.5238
ALCAM	591.2365	ALCAM	4012.0635
ALDH16A1	445.1225	ALDH16A1	707.9365
ALDH18A1	3838.6304	ALDH18A1	1861.5873
ALDH1A1	112.5519	ALDH1A1	974.9206
ALDH1A2	9.8313	ALDH1A2	270.4762
ALDH1A3	1549.8025	ALDH1A3	1647.3238
ALDH1B1	872.6163	ALDH1B1	646.0317
ALDH1L1	14.9165	ALDH1L1	175.873
ALDH1L2	327.8244	ALDH1L2	205.0794
ALDH2	1122.129	ALDH2	2853.9683
ALDH3A1	17.6286	ALDH3A1	238.7302
ALDH3A2	2204.5936	ALDH3A2	2236.8254
ALDH3B1	671.5823	ALDH3B1	290.7937
ALDH3B2	137.9778	ALDH3B2	2927.9365
ALDH4A1	628.1888	ALDH4A1	1085.7143
ALDH5A1	659.7169	ALDH5A1	440.9524
ALDH6A1	422.09	ALDH6A1	370.4984
ALDH7A1	2572.0824	ALDH7A1	4343.8095
ALDH8A1	127.1294	ALDH8A1	11.746
ALDH9A1	2698.8728	ALDH9A1	3281.2698
ALDOA	40245.1055	ALDOA	22818.4127
ALDOC	393.2537	ALDOC	862.5397
ALG10B	348.5041	ALG10B	260.9524
ALG10	193.9147	ALG10	91.1111
ALG11	8.4753	ALG11	13.0159
ALG12	333.9266	ALG12	713.3333
ALG13	382.7443	ALG13	445.0794
ALG14	188.1515	ALG14	222.5397
ALG1L	9.933	ALG1L	21.6349
ALG1	485.336	ALG1	520.7175
ALG2	490.8891	ALG2	970.7937
ALG3	1405.5428	ALG3	613.0159
ALG5	976.6929	ALG5	743.8095
ALG6	583.7783	ALG6	202.5397
ALG8	1133.3164	ALG8	768.5714
ALG9	513.9419	ALG9	621.2698
ALKBH1	358.3355	ALKBH1	245.3968
ALKBH2	373.591	ALKBH2	410.1587
ALKBH3	138.9948	ALKBH3	505.0794
ALKBH4	384.2088	ALKBH4	322.5397
ALKBH5	2260.8323	ALKBH5	2301.781
ALKBH6	123.7393	ALKBH6	99.0476
ALKBH7	431.901	ALKBH7	716.1905
ALKBH8	123.0613	ALKBH8	228.254
removed	removed	ALMS1P	8.254
ALMS1	940.4187	ALMS1	583.4921
ALOX12P2	37.6303	ALOX12P2	21.2698
removed	removed	ALOX12	5.7143
ALOX15B	75.5996	ALOX15B	383.4921
removed	removed	ALOX15	19.0476
ALOX5AP	155.2674	ALOX5AP	445.7143
ALOX5	100.6865	ALOX5	784.7619
ALOXE3	6.1022	ALOXE3	14.6032
ALPI	12.2044	removed	removed
ALPK1	845.1564	ALPK1	866.3492
ALPK2	30.8501	ALPK2	28.5714
ALPK3	98.3134	ALPK3	89.2063
ALPL	223.0698	ALPL	3870.7937
ALPP	160.6916	removed	removed
ALS2CL	249.5127	ALS2CL	329.2063
removed	removed	ALS2CR11	7.9365
ALS2CR4	1044.8343	ALS2CR4	1370.1587
ALS2CR8	62.7172	ALS2CR8	172.0635
ALS2	459.022	ALS2	452.6984
ALX1	44.4105	removed	removed
ALX3	63.3952	ALX3	25.7143
removed	removed	ALX4	15.873
AMACR	390.2026	AMACR	424.7619
removed	removed	AMBP	48.5714
AMBRA1	731.9264	AMBRA1	946.3492
AMD1	3342.8867	AMD1	1674.4984
removed	removed	AMDHD1	19.6825
AMDHD2	96.9336	AMDHD2	241.8444
AMFR	3226.3751	AMFR	4872.381
AMH	7.4583	removed	removed
AMICA1	30.5111	AMICA1	236.8254
AMIGO1	120.6882	AMIGO1	146.9841
AMIGO2	473.5995	AMIGO2	1771.7333
AMIGO3	72.2095	AMIGO3	78.0952
AMMECR1L	637.6812	AMMECR1L	752.381
AMMECR1	627.1718	AMMECR1	325.7143
AMN1	128.8245	AMN1	218.0952
AMN	14.2385	removed	removed
AMOTL1	1986.27	AMOTL1	1829.5238
AMOTL2	1825.5784	AMOTL2	2055.5556
AMOT	661.073	AMOT	813.9683
removed	removed	AMPD1	52.0635
AMPD2	638.3592	AMPD2	760.3175
AMPD3	185.4394	AMPD3	259.6825
AMPH	35.5962	AMPH	82.8571
AMTN	16.9506	removed	removed
AMT	25.4767	AMT	247.1556
AMY1A	470.2093	AMY1A	13.9683
AMY2A	10.8484	removed	removed
AMY2B	153.1147	AMY2B	333.1968
AMZ1	29.833	AMZ1	26.9841
AMZ2P1	142.724	AMZ2P1	203.8095
AMZ2	1873.0401	AMZ2	1242.2222
ANAPC10	261.3781	ANAPC10	151.746
ANAPC11	1315.0267	ANAPC11	878.7302
ANAPC13	766.2039	ANAPC13	1215.0984
ANAPC16	2241.2069	ANAPC16	2604.7619
ANAPC1	775.998	ANAPC1	404.7619
ANAPC2	458.0049	ANAPC2	826.0317
ANAPC4	487.1599	ANAPC4	600
