gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
KLK10	1360.7933	KLK10	424.7619
KLK11	263.0731	KLK11	257.1429
removed	removed	KLK12	7.619
KLK13	28.816	KLK13	27.9365
KLK14	10.8484	KLK14	10.4762
KLK1	164.4207	KLK1	5.7143
removed	removed	KLK3	7.619
KLK5	1543.8596	KLK5	955.2381
KLK6	1389.2703	KLK6	272.0635
KLK7	462.0731	KLK7	390.7937
KLK8	436.4743	KLK8	214.9206
KLKB1	6.1022	KLKB1	10.7937
KLRA1	48.4787	KLRA1	38.7302
KLRAQ1	591.2365	KLRAQ1	579.6825
KLRB1	15.9336	KLRB1	61.9048
KLRC1	8.8143	KLRC1	26.0317
KLRC2	6.5599	KLRC2	10.1587
KLRC3	7.3396	removed	removed
KLRD1	107.4667	KLRD1	47.3016
removed	removed	KLRF1	13.9683
KLRG1	51.1908	KLRG1	19.3651
KLRG2	132.2146	KLRG2	23.1746
KLRK1	22.3748	KLRK1	149.527
KL	25.0869	KL	182.2222
KMO	29.5822	KMO	89.219
KNDC1	8.4753	KNDC1	16.5079
KNTC1	1044.4411	KNTC1	244.5175
KPNA1	1504.1953	KPNA1	1297.7778
KPNA2	5192.9825	KPNA2	1008.5714
KPNA3	503.4325	KPNA3	779.3651
KPNA4	2069.3279	KPNA4	1300.6349
KPNA5	140.3509	KPNA5	60.9524
KPNA6	2478.1761	KPNA6	2060.6349
KPNB1	7848.1227	KPNB1	4713.9683
KPTN	154.5894	KPTN	168.254
KRAS	1613.0181	KRAS	558.4127
KRBA1	352.2332	KRBA1	300.6349
KRBA2	146.7921	KRBA2	62.2222
KRCC1	917.3659	KRCC1	992.0635
KREMEN1	473.2604	KREMEN1	825.3968
KREMEN2	13.5605	removed	removed
KRI1	1107.1243	KRI1	900.9206
KRIT1	1069.9212	KRIT1	726.3492
KRR1	848.8245	KRR1	656.8857
KRT10	449.5296	KRT10	537.7778
KRT13	57.632	KRT13	634.2857
KRT14	828.8838	KRT14	42137.4603
KRT15	997.3727	KRT15	19886.0317
KRT16	644.1224	KRT16	370.1587
KRT17	55989.1516	KRT17	20873.6508
KRT18	8226.0598	KRT18	12340.5048
KRT19	24261.0391	KRT19	21209.5238
removed	removed	KRT1	18.7302
KRT222	33.9012	KRT222	99.0476
KRT23	271.8874	KRT23	2285.7143
removed	removed	KRT32	19.6825
removed	removed	KRT40	6.3492
KRT4	33.9012	KRT4	163.1746
KRT5	50159.8441	KRT5	42273.6508
KRT6A	136.6217	KRT6A	480.3175
KRT6B	15504.0258	KRT6B	1965.7143
KRT6C	140.3509	KRT6C	65.7143
KRT75	22.7138	removed	removed
KRT7	46949.7415	KRT7	10051.746
KRT80	1006.526	KRT80	271.746
KRT81	62464.2766	KRT81	300
KRT83	12.2044	KRT83	9.8413
KRT86	174.5911	KRT86	26.0317
KRT8	19799.7051	KRT8	17182.9873
KRT9	22.3748	KRT9	6.0317
KRTAP5-1	9.4923	removed	removed
KRTAP5-2	11.3874	removed	removed
KRTCAP2	5365.8785	KRTCAP2	1904.7619
KRTCAP3	1351.64	KRTCAP3	322.2222
removed	removed	KRTDAP	8.5714
KSR1	4886.8548	KSR1	512.381
KSR2	48.4787	KSR2	56.8254
KTELC1	375.6251	KTELC1	386.0317
KTI12	217.3066	KTI12	200.3175
KTN1	4473.9385	KTN1	6369.5238
KYNU	90.8552	KYNU	204.4444
removed	removed	KY	168.8889
L1CAM	321.3832	L1CAM	42.5397
removed	removed	L1TD1	14.6032
L2HGDH	263.0731	L2HGDH	159.6825
L3MBTL2	634.1181	L3MBTL2	999.0635
L3MBTL3	179.6762	L3MBTL3	197.4603
L3MBTL4	39.3254	L3MBTL4	155.2381
L3MBTL	44.0715	L3MBTL	146.9841
LACE1	182.7273	LACE1	51.4286
LACTB2	371.8959	LACTB2	186.3492
LACTB	282.7358	LACTB	384.127
LAD1	1576.0658	LAD1	963.4921
LAG3	41.6984	LAG3	40.9524
LAGE3	992.9655	LAGE3	304.127
LAIR1	228.1549	LAIR1	664.4444
LAMA1	34.9182	LAMA1	546.0317
LAMA2	261.7069	LAMA2	1179.6698
LAMA3	1977.1167	LAMA3	5920.9524
LAMA4	1777.0998	LAMA4	2169.5238
LAMA5	5043.4783	LAMA5	3634.9206
LAMB1	5502.8392	LAMB1	5455.873
LAMB2L	16.9506	LAMB2L	40
LAMB2	8713.6198	LAMB2	11057.1429
LAMB3	8105.4327	LAMB3	7818.4127
LAMC1	6571.4044	LAMC1	5232.0635
LAMC2	4062.7172	LAMC2	5091.1111
LAMC3	54.5809	LAMC3	278.7302
LAMP1	16247.8176	LAMP1	10267.9365
LAMP2	12127.4684	LAMP2	5304.7619
LAMP3	444.1054	LAMP3	180.6349
LANCL1	657.3438	LANCL1	1595.5556
LANCL2	706.1615	LANCL2	544.7619
removed	removed	LANCL3	9.8413
LAP3	2310.0263	LAP3	2619.6825
LAPTM4A	9291.9739	LAPTM4A	10438.0952
LAPTM4B	5415.7132	LAPTM4B	2074.9206
LAPTM5	1998.8135	LAPTM5	3853.6508
LARGE	244.0885	LARGE	726.9841
LARP1B	568.5228	LARP1B	342.8571
LARP1	2432.4095	LARP1	2591.4286
LARP4B	1801.1696	LARP4B	1119.0476
LARP4	1462.4968	LARP4	913.9683
LARP6	162.7257	LARP6	367.3016
LARP7	1710.9925	LARP7	1121.9048
LARS2	879.3966	LARS2	433.6508
LARS	3607.7634	LARS	2550.1587
LAS1L	1444.5292	LAS1L	1023.4921
LASP1	4319.3491	LASP1	5886.9841
LASS1	50.5873	LASS1	24.3841
LASS2	5706.9243	LASS2	4912.381
removed	removed	LASS3	18.0952
LASS4	346.8091	LASS4	1361.2698
LASS5	862.785	LASS5	1039.6825
LASS6	1069.6737	LASS6	1197.5556
LAT2	65.7683	LAT2	246.0317
LATS1	369.5228	LATS1	249.2063
LATS2	649.5466	LATS2	513.0159
LAT	36.9794	LAT	100.8159
LAX1	17.9676	LAX1	36.8254
LAYN	62.7172	LAYN	414.9206
LBH	1627.9346	LBH	2399.6825
LBP	194.2538	LBP	132.6984
LBR	1858.4626	LBR	560.9524
LBX2	5.0852	LBX2	6.9746
LBXCOR1	7.1192	removed	removed
LCA5L	41.6984	LCA5L	80.6349
LCA5	124.7563	LCA5	215.2381
LCAT	85.4174	LCAT	119.0857
LCK	65.4293	LCK	128.5714
LCLAT1	687.5159	LCLAT1	341.5873
LCMT1	1025.5106	LCMT1	675.5556
LCMT2	533.6045	LCMT2	397.7778
removed	removed	LCN10	45.0794
LCN12	8.4753	LCN12	20.3175
LCN2	1278.0744	LCN2	222.5397
removed	removed	LCN6	7.3016
LCORL	83.8851	LCORL	44.2286
LCOR	86.3192	LCOR	57.381
LCP1	874.3114	LCP1	3493.9683
LCP2	148.8262	LCP2	366.0317
LCTL	5.3428	removed	removed
LCT	20.6797	removed	removed
LDB1	1251.9705	LDB1	1336.1905
removed	removed	LDB2	680
LDB3	41.6984	LDB3	64.7619
LDHA	21654.7165	LDHA	10661.5873
LDHB	16186.4565	LDHB	7460
LDHC	29.833	removed	removed
LDHD	51.8688	LDHD	177.4603
removed	removed	LDLRAD2	228.9651
LDLRAD3	595.6437	LDLRAD3	559.0476
removed	removed	LDLRAP1	965.3968
LDLR	1296.381	LDLR	2691.4286
LDOC1L	1096.3641	LDOC1L	1165.7143
LDOC1	1203.1528	LDOC1	1044.4444
LEAP2	5.7632	LEAP2	5.3968
LEF1	211.5434	LEF1	202.2222
LEFTY1	10.8484	LEFTY1	8.8889
removed	removed	LEFTY2	6.3492
LEKR1	15.9336	LEKR1	26.9841
LEMD1	62.0392	LEMD1	7.619
LEMD2	1057.3777	LEMD2	1023.8095
LEMD3	822.1036	LEMD3	627.3016
LENG1	81.7018	LENG1	188.254
LENG8	1373.9436	LENG8	2958.7175
LENG9	115.6742	LENG9	202.5524
LEO1	674.2944	LEO1	771.4286
LEPRE1	737.6896	LEPRE1	787.619
LEPREL1	999.4067	LEPREL1	592.0635
LEPREL2	615.9844	LEPREL2	794.9206
LEPROTL1	923.4681	LEPROTL1	847.9365
LEPROT	439.9797	LEPROT	753.8286
LEPR	135.6623	LEPR	770.9333
LEP	53.2248	LEP	987.3016
LETM1	1534.3673	LETM1	1073.0159
LETM2	20.6797	LETM2	33.6508
LETMD1	620.7306	LETMD1	1204.127
LFNG	159.6745	LFNG	489.5238
LGALS12	21.3577	LGALS12	125.7143
LGALS1	3979.9983	LGALS1	6247.619
LGALS2	14.5775	LGALS2	182.8571
LGALS3BP	28531.9095	LGALS3BP	10231.1111
LGALS3	5341.8086	LGALS3	5502.2222
removed	removed	LGALS4	11.1111
LGALS7B	11.1874	LGALS7B	45.0794
LGALS7	6.4412	LGALS7	90.7937
LGALS8	1183.1308	LGALS8	940.3175
LGALS9C	7.4583	LGALS9C	13.9683
LGALS9	1004.1529	LGALS9	1251.1111
removed	removed	LGI1	11.746
LGI2	60.0051	LGI2	121.5873
LGI4	24.4088	LGI4	127.9365
LGMN	3548.0973	LGMN	4325.3968
LGR4	631.2399	LGR4	1100.6349
LGR5	90.5161	LGR5	8.254
LGR6	73.9046	LGR6	884.7619
LGSN	225.7818	removed	removed
LGTN	1846.2582	LGTN	1547.9365
removed	removed	LHFPL1	16.8254
LHFPL2	569.5398	LHFPL2	1691.746
LHFP	364.4377	LHFP	2007.3016
LHPP	485.8039	LHPP	634.2857
LHX2	15.9336	removed	removed
LHX4	10.2619	removed	removed
LHX6	62.0392	LHX6	306.9841
LIAS	165.7768	LIAS	286.6667
LIFR	2581.2357	LIFR	3583.4921
LIF	54.9199	LIF	97.4603
LIG1	1318.4168	LIG1	630.4762
LIG3	934.6555	LIG3	550.7937
LIG4	441.0543	LIG4	282.8571
removed	removed	LILRA1	13.0159
LILRA2	9.4923	LILRA2	40
LILRA3	25.0869	LILRA3	8.254
removed	removed	LILRA4	23.8095
LILRA5	40.6814	LILRA5	46.6667
LILRA6	49.2652	LILRA6	86.3206
LILRB1	38.9864	LILRB1	158.0952
LILRB2	100.6865	LILRB2	217.7778
LILRB3	40.5729	LILRB3	81.2984
LILRB4	144.758	LILRB4	289.8413
LILRB5	51.5298	LILRB5	439.6825
LIMA1	1774.7267	LIMA1	4136.8254
LIMCH1	2191.0331	LIMCH1	2253.9683
LIMD1	789.3313	LIMD1	745.1619
LIMD2	243.0104	LIMD2	249.3619
LIME1	16.0319	LIME1	74.3683
LIMK1	952.2841	LIMK1	710.4762
LIMK2	3129.0787	LIMK2	2410.7937
LIMS1	260.022	LIMS1	185.7143
LIMS2	222.7307	LIMS2	1568.0317
removed	removed	LIMS3-LOC440895	31.2889
removed	removed	LIMS3	10.6159
LIN37	103.8359	LIN37	141.6794
LIN52	113.5689	LIN52	105.3968
LIN54	371.8959	LIN54	228.8889
LIN7A	6.4412	LIN7A	46.6667
LIN7B	15.9336	LIN7B	40.9524
LIN7C	475.2945	LIN7C	702.5397
LIN9	526.1463	LIN9	86.3492
LINGO1	508.5177	LINGO1	125.7143
removed	removed	LINGO3	7.7714
LINGO4	42.3765	LINGO4	28.5714
LINS1	166.4548	LINS1	246.9841
LIPA	1518.0948	LIPA	2302.5397
removed	removed	LIPC	8.5714
LIPE	257.2659	LIPE	909.5238
LIPG	15.9336	LIPG	50.7937
LIPH	219.0016	LIPH	136.8254
LIPT1	72.2095	LIPT1	169.7841
LIPT2	6.1022	LIPT2	25.3968
LITAF	4056.954	LITAF	5320.6349
LIX1L	561.4035	LIX1L	774.2857
LLGL1	902.7884	LLGL1	743.1746
LLGL2	1891.0077	LLGL2	850.4762
LLPH	547.2803	LLPH	726.3111
LMAN1	5654.3775	LMAN1	2622.5397
LMAN2L	667.5142	LMAN2L	876.5079
LMAN2	2185.2699	LMAN2	3920.6349
LMBR1L	264.4292	LMBR1L	385.0794
LMBR1	2319.1796	LMBR1	771.4286
LMBRD1	1116.7048	LMBRD1	1331.4286
LMBRD2	174.5911	LMBRD2	110.1587
LMCD1	363.7596	LMCD1	1001.5873
LMF1	163.3427	LMF1	326.0317
LMF2	1472.3282	LMF2	1497.1429
LMLN	233.5791	LMLN	238.4127
LMNA	11418.9338	LMNA	10548.254
LMNB1	3052.4621	LMNB1	324.127
LMNB2	2466.3107	LMNB2	1039.3651
LMO1	61.7001	removed	removed
LMO2	113.5689	LMO2	656.1905
LMO3	260.361	LMO3	58.7302
LMO4	1085.8547	LMO4	1139.0476
LMO7	630.2229	LMO7	679.3651
LMOD1	208.8313	LMOD1	3920.6349
LMTK2	595.9827	LMTK2	183.1746
LMTK3	75.5996	LMTK3	206.6667
removed	removed	LMX1A	6.3492
LMX1B	423.4257	LMX1B	1140.9524
LNP1	63.5545	LNP1	84.9206
LNPEP	540.6356	LNPEP	125.0984
LNX1	204.0851	LNX1	288.5714
LNX2	688.5329	LNX2	506.0317
LOC100009676	64.2054	LOC100009676	79.9111
LOC100101266	9.4923	LOC100101266	8.5714
removed	removed	LOC100124692	8.254
LOC100125556	60.5814	LOC100125556	83.7619
LOC100126784	14.2012	LOC100126784	158.219
LOC100127888	25.6734	LOC100127888	6.3302
LOC100128191	66.2666	LOC100128191	34.0825
removed	removed	LOC100128239	29.5238
LOC100128288	117.2981	LOC100128288	63.8095
LOC100128292	28.477	LOC100128292	54.9206
LOC100128573	5.0852	removed	removed
LOC100128640	29.155	LOC100128640	41.9048
LOC100128788	6.7802	LOC100128788	19.6921
LOC100128822	67.8024	LOC100128822	114.9206
LOC100128842	31.8671	LOC100128842	31.746
removed	removed	LOC100128977	41.9048
LOC100129034	649.0177	LOC100129034	1991.8286
LOC100129387	92.1129	LOC100129387	116.4159
LOC100129534	103.0596	LOC100129534	106.0317
LOC100129550	307.8227	LOC100129550	250.4762
LOC100129637	259.9949	LOC100129637	237.0571
LOC100129716	5.4242	LOC100129716	12.6984
removed	removed	LOC100129726	8.8889
LOC100130015	14.2012	LOC100130015	49.3143
LOC100130093	104.1037	LOC100130093	116.6921
removed	removed	LOC100130148	31.746
LOC100130522	7.7973	LOC100130522	33.3333
LOC100130557	27.4905	LOC100130557	43.8063
LOC100130581	28.477	LOC100130581	81.2698
LOC100130691	8.3092	LOC100130691	14.8571
LOC100130776	561.2577	LOC100130776	286.4603
LOC100130872	16.9506	LOC100130872	51.4286
LOC100130932	75.9386	LOC100130932	34.2857
LOC100130987	10.5094	LOC100130987	23.4921
LOC100131193	23.3918	LOC100131193	26.9841
LOC100131434	14.4555	LOC100131434	55.7683
LOC100131551	5.0852	LOC100131551	5.3968
LOC100131691	17.7337	LOC100131691	21.9302
LOC100131726	8.8143	removed	removed
LOC100132111	12.9808	LOC100132111	5.7143
LOC100132215	33.6673	LOC100132215	14.9587
LOC100132247	92.5502	LOC100132247	147.9365
LOC100132287	231.545	LOC100132287	331.1111
LOC100132288	27.799	LOC100132288	231.746
LOC100132707	53.7435	LOC100132707	95.6444
LOC100132832	10.8246	removed	removed
LOC100133161	39.7152	LOC100133161	56.5079
LOC100133331	102.368	LOC100133331	144.8508
LOC100133612	5.7632	LOC100133612	13.3333
LOC100133669	11.1874	LOC100133669	28.254
LOC100133957	6.7124	removed	removed
LOC100133985	15.2555	LOC100133985	5.0794
LOC100133991	34.3453	LOC100133991	18.4127
LOC100134229	105.7717	LOC100134229	117.1429
removed	removed	LOC100134259	25.7143
LOC100134713	25.0631	LOC100134713	13.0286
removed	removed	LOC100144603	7.3016
removed	removed	LOC100144604	19.0476
LOC100170939	26.4429	LOC100170939	22.8571
LOC100188947	8.4753	LOC100188947	58.0952
removed	removed	LOC100188949	13.0159
LOC100190938	13.5605	LOC100190938	118.4127
LOC100190939	239.6813	LOC100190939	246.3492
LOC100190986	161.3696	LOC100190986	99.6825
LOC100216545	58.649	LOC100216545	89.8413
LOC100233209	5.4242	LOC100233209	37.7778
removed	removed	LOC100240735	7.619
removed	removed	LOC100268168	6.0317
LOC100270710	523.8817	LOC100270710	423.4508
LOC100270746	20.3407	LOC100270746	62.8571
removed	removed	LOC100270804	29.054
LOC100271722	15.5945	LOC100271722	62.2222
LOC100271836	475.1386	LOC100271836	250.3714
LOC100272146	45.7666	LOC100272146	38.7302
removed	removed	LOC100272216	9.5238
LOC100272217	15.5945	LOC100272217	23.1746
LOC100272228	15.2555	LOC100272228	42.2222
LOC100286793	32.8841	LOC100286793	193.6508
LOC100286844	44.3529	LOC100286844	41.9397
LOC100287227	6.1022	LOC100287227	8.5905
LOC100288778	356.1522	LOC100288778	571.1111
LOC100289341	30.5111	LOC100289341	51.746
LOC100302401	40.3017	LOC100302401	20.9524
LOC100302640	8.4753	LOC100302640	5.0794
LOC100302650	26.4429	LOC100302650	59.854
LOC100303728	33.2232	LOC100303728	29.8413
LOC113230	66.4463	LOC113230	162.5397
LOC115110	14.147	LOC115110	118.1429
LOC121838	286.465	LOC121838	33.9683
removed	removed	LOC134466	27.619
LOC143188	16.2726	LOC143188	18.0952
LOC143666	17.9676	LOC143666	29.2063
LOC144438	864.48	LOC144438	621.5873
LOC144486	11.5264	LOC144486	11.1111
LOC144571	26.2293	LOC144571	51.9524
LOC145783	49.9466	LOC145783	47.4667
removed	removed	LOC145820	27.9365
removed	removed	LOC145837	59.0476
LOC146880	322.3155	LOC146880	339.8063
LOC147727	337.6557	LOC147727	679.6825
LOC147804	113.5689	LOC147804	120.6349
LOC148189	46.5361	LOC148189	46.9841
LOC148413	368.0481	LOC148413	491.1397
LOC148709	29.155	removed	removed
removed	removed	LOC149134	8.8889
LOC149837	42.0375	LOC149837	41.5873
removed	removed	LOC150197	5.0794
LOC150381	53.4723	LOC150381	96.073
LOC150622	14.5775	removed	removed
LOC150776	260.022	LOC150776	389.8413
LOC150786	20.0017	LOC150786	34.9206
LOC151009	42.7155	LOC151009	69.5238
LOC151162	1256.3777	LOC151162	1458.4127
removed	removed	LOC151174	7.3016
LOC151534	114.247	LOC151534	85.4063
LOC152217	273.2435	LOC152217	347.3016
removed	removed	LOC153328	8.5714
LOC153684	16.9506	LOC153684	28.254
LOC154761	49.4652	LOC154761	52.9556
LOC154822	4576.7404	LOC154822	15.2571
removed	removed	LOC157381	5.0794
LOC158376	129.1635	LOC158376	40
LOC158572	28.816	LOC158572	45.0794
removed	removed	LOC158696	9.5238
LOC162632	22.4222	LOC162632	205.0984
removed	removed	LOC168474	7.9365
LOC200030	539.5644	LOC200030	519.7587
removed	removed	LOC201651	5.0794
LOC202181	13.8995	LOC202181	46.6667
LOC202781	133.5706	LOC202781	268.8889
LOC219347	50.3636	LOC219347	127.9968
LOC220729	128.4855	LOC220729	80.3175
LOC220930	77.4099	LOC220930	63.7238
LOC221442	10.5094	LOC221442	62.5397
LOC221710	749.8941	LOC221710	239.0476
LOC222699	50.1737	LOC222699	39.3651
LOC253039	256.2929	LOC253039	339.3651
LOC253724	9.1533	LOC253724	13.3333
LOC254559	80.0068	LOC254559	182.5397
LOC255167	9.1533	LOC255167	9.2063
removed	removed	LOC256880	5.7143
LOC25845	272.8299	LOC25845	377.8032
LOC282997	22.7138	LOC282997	79.3651
LOC283050	22.0358	LOC283050	26.3492
LOC283070	494.2792	LOC283070	234.2857
LOC283174	9.1533	LOC283174	294.6032
LOC283267	265.7852	LOC283267	227.619
LOC283314	127.621	LOC283314	106.9873
removed	removed	LOC283392	14.2635
LOC283663	10.1704	LOC283663	47.619
LOC283922	54.5809	LOC283922	44.4444
LOC284023	128.1465	LOC284023	200.9524
LOC284232	10.8484	LOC284232	8.254
LOC284233	5.7632	LOC284233	26.3492
removed	removed	LOC284276	28.254
LOC284379	8.1363	removed	removed
LOC284440	59.3271	LOC284440	183.4921
LOC284441	84.0749	LOC284441	35.2381
LOC284578	24.7479	LOC284578	19.3651
LOC284837	50.5128	LOC284837	89.2063
LOC284900	131.9264	LOC284900	192.0063
LOC285033	31.4196	LOC285033	31.4508
LOC285074	168.8279	LOC285074	226.6667
LOC285359	54.2419	LOC285359	108.5714
removed	removed	LOC285419	6.6667
LOC285548	53.5639	removed	removed
removed	removed	LOC285593	13.0159
LOC285768	5.0716	removed	removed
LOC285830	43.9258	LOC285830	81.746
removed	removed	LOC286002	13.9683
LOC286367	35.2572	LOC286367	94.9206
LOC286467	11.5264	LOC286467	7.9365
LOC338651	127.9464	LOC338651	22.2222
LOC338758	17.6286	LOC338758	68.5714
LOC338799	54.9199	LOC338799	262.8571
LOC339047	527.5023	LOC339047	965.0794
LOC339290	392.2366	LOC339290	562.5397
LOC339524	90.7196	LOC339524	253.9683
removed	removed	LOC339535	24.127
LOC341056	8.1363	removed	removed
removed	removed	LOC342346	10.7937
LOC344595	65.0903	LOC344595	286.3492
LOC344967	8.4753	removed	removed
LOC348926	58.31	LOC348926	104.127
LOC349114	121.0272	LOC349114	85.0794
LOC349196	6.5226	LOC349196	18.4127
LOC374443	53.5639	LOC374443	77.4603
LOC374491	12.2044	removed	removed
LOC375190	27.799	LOC375190	116.5079
LOC387646	95.9403	LOC387646	52.381
LOC387647	342.1442	LOC387647	389.4413
LOC388152	295.9573	LOC388152	197.1429
LOC388242	16.6116	LOC388242	32.6984
LOC388588	10.5094	LOC388588	46.6667
LOC388692	50.1737	LOC388692	520.6349
LOC388789	367.1498	LOC388789	774.6032
LOC388796	496.9913	LOC388796	484.7619
LOC388955	194.2538	LOC388955	353.9683
removed	removed	LOC389033	75.873
LOC389333	44.0715	LOC389333	55.5556
LOC389458	56.615	removed	removed
LOC389493	25.7649	LOC389493	62.2222
removed	removed	LOC389705	12.0635
removed	removed	LOC390595	21.2698
LOC399744	201.373	LOC399744	111.4286
LOC399815	24.7479	LOC399815	5.3968
LOC399959	339.6898	LOC399959	803.4921
LOC400027	83.3969	LOC400027	355.5556
LOC400043	146.1141	LOC400043	294.2857
LOC400657	204.4241	LOC400657	217.7778
LOC400696	14.2385	removed	removed
LOC400752	13.8995	LOC400752	41.9048
LOC400759	30.8501	LOC400759	31.1111
LOC400927	10.906	LOC400927	22.5873
LOC400931	72.5485	LOC400931	218.0952
LOC401010	45.4276	LOC401010	23.1746
LOC401052	22.7138	LOC401052	103.1746
LOC401093	72.9079	LOC401093	159.0984
LOC401127	5.0852	LOC401127	7.619
LOC401397	1066.1921	LOC401397	622.5397
LOC401431	191.4976	LOC401431	30.8159
removed	removed	LOC401463	7.3016
LOC401588	52.2078	LOC401588	66.0317
LOC402377	14.5775	removed	removed
LOC407835	42.3765	LOC407835	53.0159
removed	removed	LOC440173	7.9365
LOC440354	224.8733	LOC440354	89.0127
LOC440461	6.4412	LOC440461	10.7937
LOC440905	12.2044	LOC440905	94.9206
removed	removed	LOC440925	17.7778
LOC440944	182.7273	LOC440944	258.0952
LOC440957	78.3117	LOC440957	185.3968
LOC441046	26.4429	LOC441046	21.2698
LOC441089	121.0272	LOC441089	103.4921
LOC441177	34.386	removed	removed
LOC441204	67.1243	LOC441204	66.9841
LOC441208	27.46	LOC441208	43.1746
LOC441294	28.477	LOC441294	26.9841
removed	removed	LOC441455	15.2381
LOC441666	204.7631	LOC441666	60.9524
LOC441869	58.31	LOC441869	522.8571
LOC442421	12.8824	LOC442421	27.9365
LOC442454	340.3678	LOC442454	150.4762
LOC493754	540.3848	LOC493754	412.6984
LOC541471	110.1788	LOC541471	204.4444
removed	removed	LOC541473	5.0921
LOC550112	278.9864	LOC550112	377.7778
LOC550643	349.5211	LOC550643	372.381
LOC554202	209.5093	LOC554202	40.3175
removed	removed	LOC55908	5.3968
LOC595101	28.8567	LOC595101	30.7937
LOC606724	10.5094	LOC606724	38.7302
LOC613037	13.1672	LOC613037	15.873
LOC619207	13.2215	LOC619207	10.7937
LOC641298	113.3621	LOC641298	45.5651
LOC641367	5.7632	removed	removed
LOC642587	570.2178	LOC642587	1775.873
LOC642826	85.0953	LOC642826	93.5302
LOC642846	222.0527	LOC642846	87.3016
LOC642852	960.7594	LOC642852	307.619
LOC643008	7.7973	LOC643008	12.6984
LOC643387	32.5451	LOC643387	24.4444
LOC643677	9.1533	removed	removed
removed	removed	LOC643719	21.9048
removed	removed	LOC643763	13.6508
LOC643837	165.7768	LOC643837	153.3333
LOC644165	6.7802	LOC644165	13.5778
removed	removed	LOC644172	5.7143
LOC644538	127.8074	LOC644538	224.7619
LOC644936	33.9012	LOC644936	14.9206
LOC645166	47.1226	LOC645166	144.127
LOC645323	50.5128	removed	removed
LOC645332	39.3254	LOC645332	155.5556
LOC645431	7.1396	LOC645431	24.1587
LOC645676	26.3344	LOC645676	32.7746
LOC646214	58.31	LOC646214	122.5397
LOC646471	128.8177	LOC646471	58.8952
LOC646762	286.465	LOC646762	313.0159
LOC646851	34.2402	LOC646851	99.6825
LOC646999	10.1704	LOC646999	11.1111
LOC647121	25.0869	LOC647121	42.2222
removed	removed	LOC647288	5.0794
LOC647946	152.5553	LOC647946	9.8413
LOC647979	4884.4817	LOC647979	9326.9841
LOC648740	11.6451	LOC648740	6.1683
LOC649330	9.4923	LOC649330	13.6508
LOC650368	30.8501	LOC650368	63.1746
LOC650623	148.4872	LOC650623	28.254
LOC651250	1786.2531	LOC651250	1786.9841
LOC652276	23.3918	LOC652276	29.2063
LOC653113	24.4088	LOC653113	53.3333
LOC653501	154.9284	LOC653501	251.4286
LOC653566	793.9656	LOC653566	1587.9365
LOC653653	62.3782	LOC653653	51.1111
LOC654342	283.0748	LOC654342	616.1905
LOC654433	238.9321	LOC654433	333.0921
LOC678655	575.3132	LOC678655	519.019
LOC723972	9.4923	LOC723972	9.5238
LOC727896	30.172	LOC727896	17.7778
LOC728024	26.7819	LOC728024	27.3016
LOC728190	210.5263	LOC728190	187.3016
LOC728264	59.6661	LOC728264	4158.4127
LOC728323	11.5264	LOC728323	23.1746
LOC728392	28.477	LOC728392	198.7302
LOC728554	87.126	LOC728554	209.5238
LOC728606	5.7632	LOC728606	97.7778
LOC728613	100.3475	LOC728613	123.8095
LOC728640	41.3594	LOC728640	37.4603
LOC728643	68.1414	LOC728643	64.127
LOC728723	31.8671	LOC728723	12.0635
LOC728743	175.2691	LOC728743	166.6667
LOC728758	63.3952	LOC728758	56.8254
LOC728819	34.2402	LOC728819	37.7778
LOC728855	115.6708	LOC728855	286.8349
LOC728875	95.5335	LOC728875	65.8635
LOC729020	15.2555	LOC729020	16.8254
LOC729082	320.0915	LOC729082	288.0063
LOC729176	15.2555	LOC729176	24.4444
LOC729234	30.5111	LOC729234	166.0317
LOC729375	57.2693	LOC729375	85.3968
LOC729603	36.6133	LOC729603	21.2698
LOC729678	194.6707	LOC729678	462.6825
removed	removed	LOC729799	17.7778
LOC729991-MEF2B	37.8778	LOC729991-MEF2B	62.727
LOC729991	337.6015	LOC729991	289.5175
LOC730101	191.2026	LOC730101	176.5079
LOC80054	89.4991	LOC80054	127.3016
LOC80154	354.2673	LOC80154	326.3492
LOC81691	260.7001	LOC81691	119.6825
LOC84740	631.2874	removed	removed
LOC84856	18.3066	LOC84856	115.5556
removed	removed	LOC84989	14.8063
LOC90110	151.8773	LOC90110	275.873
LOC90246	24.0698	LOC90246	30.1587
LOC90784	628.8669	LOC90784	335.2381
LOC90834	14.5775	LOC90834	20.9524
LOC91316	167.7396	LOC91316	415.946
LOC92249	408.5092	LOC92249	604.4444
LOC92659	125.7734	LOC92659	89.5238
LOC92973	22.3748	LOC92973	68.5714
LOC93622	263.4122	LOC93622	511.4286
LOC96610	8399.6508	LOC96610	25698.9016
LOH12CR1	121.0272	LOH12CR1	148.254
LOH12CR2	35.9352	LOH12CR2	66.9841
LOH3CR2A	13.8995	LOH3CR2A	33.6508
LONP1	4288.499	LONP1	1539.0476
LONP2	1053.9876	LONP2	1985.3968
LONRF1	198.3219	LONRF1	660.3175
LONRF2	50.8518	LONRF2	557.1429
LONRF3	31.5281	LONRF3	22.5397
LOXL1	413.5944	LOXL1	495.873
