gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
ACY1	909.9357	ACY1	640.915
ACY3	138.3131	ACY3	26.3271
ACYP1	74.6962	ACYP1	90.2028
ACYP2	140.1001	ACYP2	145.4467
ADAL	169.7641	ADAL	172.2054
ADAM10	2731.2366	ADAM10	2026.7587
ADAM11	5.0036	ADAM11	24.6008
ADAM12	2769.8356	ADAM12	1031.9379
ADAM15	9422.1587	ADAM15	1948.6405
ADAM17	840.243	ADAM17	1044.454
ADAM19	515.3681	ADAM19	91.066
ADAM21	13.9385	removed	removed
ADAM22	57.8985	ADAM22	66.8968
ADAM23	42.8878	removed	removed
ADAM28	126.8763	ADAM28	163.5736
removed	removed	ADAM29	7.3371
ADAM32	6.7906	ADAM32	48.77
ADAM33	126.1615	ADAM33	592.8269
ADAM6	35845.7398	ADAM6	36073.1506
ADAM8	319.8713	ADAM8	57.4018
ADAM9	2201.2152	ADAM9	1755.287
ADAMDEC1	287.3481	ADAMDEC1	15.1057
removed	removed	ADAMTS10	118.688
ADAMTS12	379.5568	ADAMTS12	96.2451
ADAMTS13	26.0901	ADAMTS13	132.4989
ADAMTS14	114.7248	ADAMTS14	14.6741
ADAMTS15	605.7898	ADAMTS15	373.7592
ADAMTS16	130.0929	ADAMTS16	100.5611
ADAMTS17	25.7327	ADAMTS17	51.3595
ADAMTS18	16.0829	ADAMTS18	109.6245
ADAMTS19	18.9421	ADAMTS19	7.3371
ADAMTS1	3603.2881	ADAMTS1	2892.965
ADAMTS2	624.0172	ADAMTS2	267.5874
ADAMTS3	115.797	ADAMTS3	97.1083
ADAMTS4	765.5468	ADAMTS4	94.0872
ADAMTS5	260.9006	ADAMTS5	2772.1191
ADAMTS6	47.1766	ADAMTS6	10.7898
ADAMTS7	224.446	ADAMTS7	52.2227
ADAMTS8	29.664	ADAMTS8	497.6262
ADAMTS9	561.1151	ADAMTS9	1066.8968
ADAMTSL1	239.8142	ADAMTSL1	255.5028
ADAMTSL2	223.0164	ADAMTSL2	29.3483
ADAMTSL3	185.1322	ADAMTSL3	100.5611
ADAMTSL4	259.8284	ADAMTSL4	258.524
ADAMTSL5	22.8735	ADAMTSL5	34.959
ADAP1	107.777	ADAP1	90.915
ADAP2	256.2545	ADAP2	167.4579
ADARB1	669.0493	ADARB1	668.1053
ADAR	10882.416	ADAR	6980.1467
ADAT1	497.4982	ADAT1	392.7492
ADAT2	39.6712	ADAT2	236.9443
ADAT3	28.5919	ADAT3	22.4428
ADA	152.9664	ADA	53.9491
ADCK1	97.2123	ADCK1	157.0997
ADCK2	686.9371	ADCK2	627.104
ADCK4	689.421	ADCK4	514.0268
ADCK5	59.3281	ADCK5	112.6457
removed	removed	ADCY10	14.6741
ADCY1	154.396	ADCY1	2157.9629
ADCY2	387.0622	ADCY2	78.1183
ADCY3	824.2423	ADCY3	905.0496
ADCY4	298.0701	ADCY4	296.0725
ADCY5	112.223	ADCY5	284.8511
ADCY6	1887.4196	ADCY6	2702.2011
ADCY7	635.8113	ADCY7	422.0975
ADCY9	426.0186	ADCY9	842.9003
ADCYAP1R1	18.5847	ADCYAP1R1	16.4005
ADCYAP1	17.5125	removed	removed
ADC	142.2445	ADC	125.1618
ADD1	4914.5818	ADD1	5400.5179
ADD2	72.5518	ADD2	48.3384
ADD3	1572.9092	ADD3	3316.789
ADH1A	20.6719	ADH1A	18.5585
ADH1B	1912.0801	ADH1B	2340.5265
ADH1C	67.1909	ADH1C	76.8235
ADH4	5.0036	removed	removed
ADH5	2107.2194	ADH5	2890.3755
