gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
JMJD5	148.3135	JMJD5	64.6684
JMJD6	519.5933	JMJD6	283.1425
JMJD7-PLA2G4B	167.1627	JMJD7-PLA2G4B	325.0896
JMJD8	3250.2381	JMJD8	1408.0119
JMY	848.7103	JMY	784.0601
JOSD1	1140.129	JOSD1	1316.7876
JOSD2	135.1687	JOSD2	204.4918
JPH1	586.8056	JPH1	20.624
JPH2	31.994	JPH2	99.9738
JPH3	53.3234	removed	removed
removed	removed	JPH4	20.624
JRKL	153.7698	JRKL	383.1163
JRK	547.371	JRK	688.281
JTB	3135.6647	JTB	1561.4786
JUB	820.9325	JUB	212.1821
JUNB	976.6865	JUNB	1241.2829
JUND	1511.9048	JUND	1974.3074
JUN	2391.121	JUN	3345.2766
JUP	5505.7044	JUP	2243.8172
KAL1	199.9008	KAL1	786.8566
KALRN	422.123	KALRN	905.357
KANK1	707.3413	KANK1	7525.9984
KANK2	1469.7421	KANK2	7371.843
KANK3	21.0813	KANK3	581.6656
KANK4	265.625	KANK4	1883.7717
KARS	2541.1706	KARS	2814.9961
KAT2A	833.5813	KAT2A	387.311
KAT2B	501.4881	KAT2B	1747.7934
KAT5	721.2302	KAT5	837.3643
KATNA1	265.873	KATNA1	365.6384
KATNAL1	417.4107	KATNAL1	1194.0925
KATNAL2	156.994	KATNAL2	200.2971
KATNB1	352.6786	KATNB1	329.9834
KAZALD1	142.6339	KAZALD1	164.5093
KAZ	172.4678	KAZ	789.0658
KBTBD10	16.436	KBTBD10	10.3924
KBTBD11	132.1925	KBTBD11	440.7935
removed	removed	KBTBD12	8.3894
KBTBD2	1353.9187	KBTBD2	1178.7119
KBTBD3	124.752	KBTBD3	123.0447
KBTBD4	644.8264	KBTBD4	385.0564
KBTBD6	172.8671	KBTBD6	304.1161
KBTBD7	119.5437	KBTBD7	203.7927
KBTBD8	12.8968	KBTBD8	16.0797
KCMF1	1184.7718	KCMF1	1606.9213
removed	removed	KCNA1	21.6726
removed	removed	KCNA2	32.8585
removed	removed	KCNA3	12.2346
removed	removed	KCNA4	45.7922
removed	removed	KCNA5	37.0532
removed	removed	KCNA6	93.3322
KCNAB1	13.8889	KCNAB1	656.8208
KCNAB2	81.1012	KCNAB2	174.7793
KCNAB3	16.369	removed	removed
KCNB1	5.2083	KCNB1	440.0944
removed	removed	KCNB2	10.4868
KCNC1	13.1448	removed	removed
KCNC3	465.7738	KCNC3	25.8673
KCNC4	72.4206	KCNC4	160.0979
KCND1	42.9067	KCND1	76.2038
KCND2	35.7143	KCND2	419.4704
KCND3	49.8512	KCND3	189.1112
KCNE1L	5.9524	KCNE1L	34.9559
KCNE1	55.5556	KCNE1	5.9425
KCNE2	5.9524	KCNE2	12.2346
KCNE3	118.0556	KCNE3	632.0021
KCNE4	1948.4127	KCNE4	119.5491
KCNF1	997.0238	removed	removed
KCNG1	49.3552	removed	removed
KCNG3	10.1687	removed	removed
KCNH1	1031.002	removed	removed
KCNH2	35.4663	KCNH2	5.5929
KCNH3	121.5278	removed	removed
removed	removed	KCNH4	5.9425
KCNH6	6.2004	removed	removed
removed	removed	KCNIP1	7.3407
KCNIP2	22.0734	KCNIP2	9313.292
KCNIP3	34.2262	KCNIP3	66.4161
KCNIP4	20.3373	KCNIP4	14.3319
KCNJ10	6.4484	removed	removed
KCNJ11	396.0813	KCNJ11	37.7523
KCNJ12	15.129	KCNJ12	104.518
KCNJ14	11.1607	KCNJ14	10.5742
KCNJ15	8.1845	KCNJ15	73.0578
removed	removed	KCNJ16	12.9337
KCNJ2	70.9325	KCNJ2	124.7924
KCNJ5	13.3929	KCNJ5	69.5622
KCNJ8	76.6369	KCNJ8	1239.8846
KCNK13	29.2659	removed	removed
KCNK15	502.9762	KCNK15	38.801
KCNK1	738.3433	KCNK1	19.5753
KCNK2	166.1706	KCNK2	15.3806
KCNK3	10.9127	KCNK3	38.1019
KCNK5	987.5992	KCNK5	33.9072
KCNK6	1292.6587	KCNK6	92.9826
removed	removed	KCNK7	8.3894
KCNMA1	63.7401	KCNMA1	361.0941
KCNMB1	12.6488	KCNMB1	54.8807
KCNMB3	130.2083	KCNMB3	54.1816
KCNMB4	62.252	KCNMB4	91.5844
KCNN1	20.0893	removed	removed
KCNN2	16.6171	KCNN2	5.9425
KCNN3	57.7877	KCNN3	33.5576
KCNN4	183.5317	KCNN4	18.8762
KCNQ1OT1	175.3472	KCNQ1OT1	152.4076
KCNQ1	267.1131	KCNQ1	166.3899
KCNQ3	78.373	KCNQ3	8.3894
removed	removed	KCNQ4	31.1107
removed	removed	KCNQ5	8.0398
KCNRG	12.7505	KCNRG	8.3125
removed	removed	KCNS2	5.5929
KCNS3	1403.2738	KCNS3	94.3808
removed	removed	KCNT2	34.9559
KCP	26.0516	KCP	27.9822
KCTD10	2096.9742	KCTD10	3445.5999
KCTD11	720.4861	KCTD11	556.847
KCTD12	933.5317	KCTD12	9134.6675
KCTD13	548.6111	KCTD13	104.518
KCTD14	24.8016	KCTD14	78.6507
KCTD15	839.2857	KCTD15	291.8815
KCTD16	6.2004	KCTD16	25.1682
KCTD17	93.998	KCTD17	89.487
KCTD18	598.2143	KCTD18	570.8293
KCTD1	739.5833	KCTD1	123.0447
KCTD20	2276.7857	KCTD20	4547.7585
KCTD21	446.4286	KCTD21	711.3519
KCTD2	1006.6964	KCTD2	1288.1237
KCTD3	6204.8611	KCTD3	1860.3513
KCTD5	1610.8631	KCTD5	321.2444
KCTD6	530.506	KCTD6	180.3723
KCTD7	423.5417	KCTD7	396.05
removed	removed	KCTD8	22.3718
KCTD9	1834.0774	KCTD9	992.7467
KDELC1	132.4405	KDELC1	144.7173
KDELC2	1460.3175	KDELC2	2235.7773
KDELR1	3403.5218	KDELR1	2823.735
KDELR2	5646.0813	KDELR2	4705.4094
KDELR3	693.7004	KDELR3	1062.3088
KDM1A	1405.754	KDM1A	1006.0299
KDM1B	795.1389	KDM1B	411.7801
KDM2A	3146.3294	KDM2A	2540.9421
KDM2B	879.0799	KDM2B	425.2346
KDM3A	2182.5397	KDM3A	1059.8619
KDM3B	6621.7758	KDM3B	2798.2173
KDM4A	803.5714	KDM4A	1101.1098
KDM4B	1951.1409	KDM4B	669.7544
KDM4C	796.875	KDM4C	549.5062
KDM4D	31.994	KDM4D	34.9559
KDM5A	2670.3869	KDM5A	1879.2275
KDM5B	7692.2123	KDM5B	1077.6894
KDM5C	2787.9464	KDM5C	1789.3909
KDM6A	1343.502	KDM6A	731.6263
KDM6B	865.0794	KDM6B	563.139
KDR	389.1369	KDR	4105.5667
KDSR	1307.7877	KDSR	2424.539
KEAP1	1524.5536	KEAP1	1552.7397
KERA	5.9524	KERA	5.9425
KGFLP1	6.2004	removed	removed
KGFLP2	49.256	KGFLP2	21.767
KHDC1	14.2783	KHDC1	10.8363
KHDRBS1	3508.9286	KHDRBS1	2618.8936
KHDRBS3	143.1052	KHDRBS3	363.8906
KHK	22.8125	KHK	160.2447
KHNYN	2256.9444	KHNYN	1943.4834
KHSRP	1313.9881	KHSRP	1518.4829
KIAA0020	548.6111	KIAA0020	499.5194
KIAA0040	4663.1944	KIAA0040	2153.2815
KIAA0090	755.9524	KIAA0090	1207.3757
KIAA0100	4834.3725	KIAA0100	7853.6573
KIAA0101	359.375	KIAA0101	6.6416
KIAA0114	231.8948	KIAA0114	166.3899
KIAA0141	880.2083	KIAA0141	1115.7913
KIAA0146	2110.119	KIAA0146	691.0775
KIAA0174	3295.3869	KIAA0174	3054.7933
KIAA0182	3646.5774	KIAA0182	4442.5413
KIAA0195	1475.253	KIAA0195	1557.2105
KIAA0196	4076.8849	KIAA0196	1855.1079
KIAA0226	869.7917	KIAA0226	614.1746
KIAA0232	2434.7718	KIAA0232	2399.3708
KIAA0240	830.3571	KIAA0240	916.1933
KIAA0247	3850.1984	KIAA0247	1178.3623
KIAA0284	1203.373	KIAA0284	1007.7777
KIAA0317	1243.7996	KIAA0317	622.9136
KIAA0319L	1835.3175	KIAA0319L	1140.6275
KIAA0319	32.9861	KIAA0319	6.2921
KIAA0355	668.4028	KIAA0355	1616.0098
KIAA0368	3080.3571	KIAA0368	5335.3142
KIAA0391	718.1151	KIAA0391	498.2854
KIAA0406	1224.2063	KIAA0406	406.8863
removed	removed	KIAA0408	1015.2757
KIAA0415	417.9067	KIAA0415	480.2936
KIAA0427	423.8591	KIAA0427	5026.3043
KIAA0430	4885.9127	KIAA0430	3574.5871
KIAA0467	473.3929	KIAA0467	1250.0323
KIAA0494	2880.8805	KIAA0494	7247.2988
KIAA0495	540.1786	KIAA0495	778.4672
KIAA0513	1734.127	KIAA0513	336.625
KIAA0528	1378.4722	KIAA0528	808.1797
KIAA0556	2313.244	KIAA0556	397.7978
KIAA0562	755.9524	KIAA0562	979.4634
KIAA0564	445.1885	KIAA0564	1321.6814
KIAA0586	462.5496	KIAA0586	372.28
KIAA0649	793.4028	KIAA0649	486.9352
KIAA0652	1509.4246	KIAA0652	2321.4192
KIAA0664P3	157.7381	KIAA0664P3	11.5354
KIAA0664	1440.9722	KIAA0664	2031.6351
removed	removed	KIAA0748	17.8275
KIAA0753	941.7163	KIAA0753	256.2265
KIAA0754	108.1349	KIAA0754	879.1401
KIAA0776	1547.123	KIAA0776	1116.84
KIAA0802	316.7163	KIAA0802	20.9735
KIAA0831	932.5397	KIAA0831	824.9585
KIAA0892	1016.369	KIAA0892	1028.4016
KIAA0895L	161.7956	KIAA0895L	129.3961
KIAA0895	396.0813	KIAA0895	26.5665
KIAA0907	1680.5556	KIAA0907	468.4086
KIAA0913	1135.4167	KIAA0913	1366.0753
KIAA0922	116.0714	KIAA0922	1150.3976
KIAA0947	2145.3373	KIAA0947	1405.2259
KIAA1009	354.1667	KIAA1009	242.9433
KIAA1012	1479.1667	KIAA1012	1553.0892
KIAA1024	67.4603	KIAA1024	7.6903
KIAA1033	961.0615	KIAA1033	1581.0539
removed	removed	KIAA1045	33.5576
KIAA1107	111.6071	KIAA1107	283.4921
KIAA1109	3096.9742	KIAA1109	4578.5196
KIAA1143	1013.6409	KIAA1143	1104.955
KIAA1147	3790.4266	KIAA1147	1148.6498
KIAA1161	420.6349	KIAA1161	612.0773
KIAA1191	4575.3968	KIAA1191	2013.458
KIAA1199	254.7123	KIAA1199	5.9425
KIAA1210	22.8175	removed	removed
KIAA1211	146.3294	KIAA1211	11.5354
KIAA1217	3120.0397	KIAA1217	2747.5312
removed	removed	KIAA1239	87.3897
KIAA1244	2458.8294	KIAA1244	180.0227
KIAA1257	91.2103	removed	removed
KIAA1267	1342.7579	KIAA1267	957.7908
KIAA1274	98.2143	KIAA1274	435.8997
KIAA1279	877.7282	KIAA1279	900.8127
KIAA1310	1744.7917	KIAA1310	1905.4444
KIAA1324L	169.1468	KIAA1324L	798.7416
KIAA1324	3067.9563	KIAA1324	20.2744
KIAA1328	146.3294	KIAA1328	168.4873
KIAA1370	4256.9444	KIAA1370	2098.7503
KIAA1377	446.9246	KIAA1377	712.4006
KIAA1383	62.996	KIAA1383	88.4383
KIAA1407	690.2282	KIAA1407	134.2305
KIAA1409	11.1607	KIAA1409	15.7301
KIAA1429	3538.4425	KIAA1429	2223.8923
KIAA1430	784.9702	KIAA1430	761.3388
KIAA1432	818.3036	KIAA1432	1274.6518
KIAA1462	785.4663	KIAA1462	4739.3166
KIAA1467	2988.8393	KIAA1467	228.2618
KIAA1468	1082.5893	KIAA1468	582.3648
KIAA1486	10.1687	removed	removed
KIAA1522	4101.1905	KIAA1522	393.6031
KIAA1524	136.9048	KIAA1524	44.7435
KIAA1529	88.5417	KIAA1529	103.8189
KIAA1530	339.5337	KIAA1530	182.4696
KIAA1539	375.248	KIAA1539	680.2412
KIAA1543	331.3492	removed	removed
KIAA1549	303.5714	KIAA1549	89.1375
KIAA1586	112.1032	KIAA1586	154.1554
KIAA1598	3437.5	KIAA1598	598.794
KIAA1609	405.2579	KIAA1609	259.7221
KIAA1614	20.6994	KIAA1614	146.7972
KIAA1632	1306.7956	KIAA1632	1132.2206
KIAA1644	76.3889	KIAA1644	15.031
KIAA1671	1627.4802	KIAA1671	1722.2756
KIAA1683	99.4544	KIAA1683	95.7791
KIAA1704	180.8854	KIAA1704	302.0187
KIAA1712	410.7391	KIAA1712	253.4825
KIAA1715	1572.9167	KIAA1715	1486.6731
KIAA1731	612.8472	KIAA1731	296.0762
KIAA1737	2327.381	KIAA1737	983.6581
removed	removed	KIAA1751	5.5929
KIAA1755	52.0833	KIAA1755	83.195
KIAA1797	894.3452	KIAA1797	810.277
KIAA1804	470.2381	KIAA1804	9.4381
KIAA1826	316.9643	KIAA1826	409.6828
KIAA1841	369.2956	KIAA1841	249.9345
KIAA1875	117.3115	removed	removed
KIAA1908	205.1091	KIAA1908	676.396
KIAA1919	31.002	KIAA1919	84.5932
KIAA1949	663.1944	KIAA1949	1274.491
KIAA1958	120.0397	KIAA1958	54.1816
KIAA1967	4789.6825	KIAA1967	1640.4789
KIAA1984	24.1443	removed	removed
KIAA2013	764.6329	KIAA2013	1200.3845
KIAA2018	1264.881	KIAA2018	1446.4738
KIAA2022	100.9425	KIAA2022	33.5576
KIAA2026	987.3512	KIAA2026	818.3169
KIDINS220	2403.7698	KIDINS220	3092.8952
KIF11	718.006	KIF11	73.7569
KIF12	177.5794	removed	removed
KIF13A	1575.8929	KIF13A	3599.7553
KIF13B	3743.5516	KIF13B	1432.1419
KIF14	364.0873	KIF14	11.885
KIF15	246.2798	KIF15	22.3718
KIF16B	1494.0476	KIF16B	884.733
KIF17	29.5139	KIF17	118.1508
KIF18A	122.5198	KIF18A	12.9337
KIF18B	116.5675	KIF18B	9.4381
removed	removed	KIF19	18.1771
KIF1A	332.5893	KIF1A	10.4868
KIF1B	1322.9167	KIF1B	2337.8485
KIF1C	2483.3829	KIF1C	9201.7827
KIF20A	433.5317	KIF20A	31.4603
KIF20B	403.5218	KIF20B	164.2926
KIF21A	909.9702	KIF21A	332.4303
KIF21B	48.6111	KIF21B	95.08
KIF22	2111.6071	KIF22	343.6162
KIF23	669.8909	KIF23	44.0444
KIF24	380.4563	KIF24	27.6151
removed	removed	KIF25	77.2525
KIF26A	17.8571	KIF26A	437.6475
KIF26B	291.4187	KIF26B	7.6903
KIF27	199.9008	KIF27	101.0225
KIF2A	1040.6746	KIF2A	628.5065
KIF2C	235.6151	KIF2C	16.4293
KIF3A	916.9147	KIF3A	162.1952
KIF3B	5223.2143	KIF3B	2131.6088
KIF3C	125	KIF3C	169.536
KIF4A	426.5873	KIF4A	22.3718
KIF4B	6.2004	removed	removed
KIF5B	5374.0079	KIF5B	7478.808
KIF5C	230.1587	KIF5C	70.9604
KIF6	77.629	KIF6	19.5753
KIF7	51.8651	KIF7	162.9433
KIF9	232.0809	KIF9	63.2282
KIFAP3	1847.9663	KIFAP3	981.5608
KIFC1	350.9425	KIFC1	27.2656
KIFC2	822.2693	KIFC2	106.8846
KIFC3	182.5397	KIFC3	736.1706
KILLIN	21.8254	KILLIN	78.6507
KIN	220.7341	KIN	183.1687
removed	removed	KIR2DL1	5.5929
removed	removed	KIR2DL3	5.9425
removed	removed	KIR2DS4	10.8363
removed	removed	KIRREL3	13.2832
KIRREL	289.1865	KIRREL	1182.2075
KISS1R	9.1766	removed	removed
KITLG	494.0476	KITLG	850.4763
KIT	423.8591	KIT	508.2583
KLB	11.6567	KLB	4680.2412
KLC1	964.2411	KLC1	2140.4212
KLC2	320.1885	KLC2	159.3988
KLC3	99.2063	removed	removed
KLC4	414.9603	KLC4	559.0073
KLF10	1612.5992	KLF10	2642.3141
KLF11	699.9008	KLF11	2121.8212
KLF12	298.8591	KLF12	515.9486
KLF13	1066.7163	KLF13	4497.7716
removed	removed	KLF14	22.7213
KLF15	5.4563	KLF15	867.9542
KLF16	211.8056	KLF16	68.1639
KLF2	136.6567	KLF2	793.8478
KLF3	2078.0903	KLF3	2541.5992
KLF4	406.25	KLF4	1556.5848
KLF5	149.5536	KLF5	163.2439
KLF6	1583.8294	KLF6	6662.2389
KLF7	169.1468	KLF7	217.0759
KLF8	87.3016	KLF8	754.6972
KLF9	619.5437	KLF9	2941.1868
KLHDC10	901.5377	KLHDC10	1222.7563
KLHDC1	50.0992	KLHDC1	119.5491
KLHDC2	1202.381	KLHDC2	1420.2569
KLHDC3	1526.0417	KLHDC3	2170.0603
KLHDC4	327.185	KLHDC4	253.8635
KLHDC5	1365.0794	KLHDC5	591.1037
KLHDC7A	23.0655	KLHDC7A	111.1597
removed	removed	KLHDC7B	5.5929
KLHDC8A	17.6091	removed	removed
KLHDC8B	823.1647	KLHDC8B	1142.3578
KLHDC9	405.754	KLHDC9	31.1107
removed	removed	KLHL10	8.739
KLHL11	113.8393	KLHL11	73.0578
KLHL12	3113.5913	KLHL12	949.7509
KLHL13	20.3373	KLHL13	105.2172
removed	removed	KLHL14	8.739
KLHL15	299.8512	KLHL15	319.1471
KLHL17	46.379	KLHL17	27.9647
KLHL18	740.8234	KLHL18	428.2094
KLHL1	1414.2138	removed	removed
KLHL20	669.6429	KLHL20	1039.9371
KLHL21	855.6548	KLHL21	3153.3689
KLHL22	374.504	KLHL22	687.9315
KLHL23	107.1429	KLHL23	93.1854
KLHL24	917.9067	KLHL24	2461.2427
KLHL25	285.2183	KLHL25	295.3771
KLHL26	249.0079	KLHL26	192.2573
KLHL28	427.0833	KLHL28	328.2356
KLHL29	26.0417	KLHL29	362.8419
KLHL2	179.5635	KLHL2	474.0016
removed	removed	KLHL30	145.4164
KLHL31	23.998	KLHL31	1405.0861
KLHL32	44.1468	removed	removed
removed	removed	KLHL33	14.6815
KLHL35	63.244	KLHL35	18.8762
KLHL36	272.8175	KLHL36	362.4924
KLHL38	62.252	removed	removed
KLHL3	49.3552	KLHL3	394.6518
KLHL4	11.9048	KLHL4	102.0711
KLHL5	958.3333	KLHL5	3173.6433
KLHL6	49.1071	KLHL6	111.8588
KLHL7	351.4385	KLHL7	642.8384
KLHL8	541.1706	KLHL8	489.0326
KLHL9	1519.3452	KLHL9	1190.9464
removed	removed	KLK10	6.9912
KLK4	36.4583	removed	removed
KLKP1	5.9524	removed	removed
KLRA1	24.0575	KLRA1	43.3453
KLRAQ1	489.5833	KLRAQ1	907.1048
removed	removed	KLRB1	56.6285
removed	removed	KLRC2	5.9145
removed	removed	KLRC3	11.5634
removed	removed	KLRC4	5.918
removed	removed	KLRD1	70.9604
removed	removed	KLRF1	38.1019
removed	removed	KLRG1	35.3054
KLRG2	17.6091	removed	removed
removed	removed	KLRK1	81.4716
KL	62.996	KL	409.6828
KMO	1628.9236	KMO	11.2488
KNCN	5.4563	removed	removed
KNDC1	421.131	removed	removed
KNTC1	1702.3438	KNTC1	238.5214
KPNA1	2929.5635	KPNA1	2256.7509
KPNA2	1368.0556	KPNA2	628.157
KPNA3	567.7083	KPNA3	1972.5596
KPNA4	2691.2202	KPNA4	2855.5449
KPNA5	62.004	KPNA5	134.2305
KPNA6	1993.3036	KPNA6	2370.0079
KPNA7	52.0833	removed	removed
KPNB1	6022.5694	KPNB1	4463.8644
KPTN	111.3591	KPTN	93.3322
KRAS	1952.877	KRAS	672.5509
KRBA1	37.6984	KRBA1	103.8189
KRBA2	76.3889	KRBA2	95.4295
KRCC1	1515.873	KRCC1	1079.0877
KREMEN1	393.8492	KREMEN1	984.7068
KREMEN2	135.4167	removed	removed
KRI1	407.1949	KRI1	357.8852
KRIT1	1115.5754	KRIT1	832.9983
KRR1	980.2728	KRR1	658.6525
KRT10	283.2341	KRT10	284.1912
KRT14	16.6171	KRT14	9.7876
KRT15	233.631	removed	removed
removed	removed	KRT16	13.2832
KRT17	31.25	removed	removed
KRT18	20197.9489	KRT18	64.6019
KRT19	20384.4246	KRT19	78.6507
KRT222	59.7718	KRT222	121.6464
KRT23	658.7302	removed	removed
KRT31	12.6488	removed	removed
KRT37	24.2832	removed	removed
KRT40	20.0893	removed	removed
KRT5	22.3214	KRT5	31.4603
removed	removed	KRT79	17.4779
KRT7	2802.0833	KRT7	45.0931
KRT80	1221.2302	removed	removed
KRT81	12.4008	removed	removed
KRT86	16.369	removed	removed
KRT8	31440.1959	KRT8	226.5804
KRTAP5-1	7.4405	removed	removed
KRTCAP2	1761.6567	KRTCAP2	1313.292
KRTCAP3	324.1567	removed	removed
KSR1	213.2937	KSR1	724.2856
KSR2	139.3849	KSR2	6.6416
KTELC1	308.5317	KTELC1	359.6959
KTI12	108.631	KTI12	150.3102
KTN1	11028.7698	KTN1	6255.0031
KYNU	742.3115	KYNU	51.3851
KY	67.2123	removed	removed
L1CAM	7.1925	L1CAM	121.996
L1TD1	16.121	L1TD1	12.5841
L2HGDH	475.1984	L2HGDH	184.9165
L3MBTL2	752.4454	L3MBTL2	625.9792
L3MBTL3	152.7778	L3MBTL3	265.6646
L3MBTL4	51.3393	L3MBTL4	109.0623
L3MBTL	6.9444	L3MBTL	73.4073
LACE1	49.1071	LACE1	74.456
LACRT	12.8968	removed	removed
LACTB2	422.8671	LACTB2	325.4391
LACTB	472.2222	LACTB	318.448
LAD1	118.0556	removed	removed
LAG3	13.6409	LAG3	8.3894
LAGE3	401.0417	LAGE3	126.1907
LAIR1	151.7857	LAIR1	2097.7017
LAMA1	56.7956	LAMA1	27.2656
LAMA2	374.995	LAMA2	3793.7429
LAMA3	679.8115	LAMA3	1008.1272
LAMA4	1800.3472	LAMA4	21004.2821
LAMA5	3938.9881	LAMA5	1597.4832
LAMB1	3557.0437	LAMB1	10103.9937
LAMB2L	22.0734	LAMB2L	16.4293
LAMB2	5703.373	LAMB2	13939.002
LAMB3	952.381	LAMB3	1100.0612
LAMC1	8457.0933	LAMC1	22624.137
LAMC2	562.252	LAMC2	110.8101
LAMC3	21.0813	LAMC3	13.9823
LAMP1	5469.9901	LAMP1	7578.4322
LAMP2	4967.0139	LAMP2	3487.1974
LAMP3	11.4087	LAMP3	14.3319
LANCL1	2217.7579	LANCL1	2605.6104
LANCL2	614.5833	LANCL2	611.0286
LAP3	2334.3254	LAP3	2674.4735
LAPTM4A	8949.4048	LAPTM4A	11652.5387
LAPTM4B	4161.4583	LAPTM4B	731.9759
LAPTM5	1570.4365	LAPTM5	2160.2727
LARGE	377.2321	LARGE	431.0059
LARP1B	774.3056	LARP1B	339.0719
LARP1	5138.3929	LARP1	5745.6961
LARP4B	1734.127	LARP4B	1125.579
LARP4	1619.5437	LARP4	771.476
LARP6	142.1131	LARP6	1061.9593
LARP7	1417.9067	LARP7	1196.8889
LARS2	726.9345	LARS2	318.0984
LARS	3465.7738	LARS	2440.2692
LAS1L	1214.5337	LAS1L	662.7633
LASP1	3765.377	LASP1	7591.3659
LASS1	34.1493	LASS1	5.5929
LASS2	25243.0556	LASS2	3105.4793
LASS4	1197.6687	LASS4	473.3025
LASS5	1079.8611	LASS5	547.7585
LASS6	2572.8423	LASS6	1213.042
LAT2	71.9246	LAT2	115.0048
LATS1	625	LATS1	586.2099
LATS2	558.2837	LATS2	1457.3101
LAT	50.7267	LAT	37.8642
removed	removed	LAX1	18.1771
LAYN	69.4444	LAYN	87.7392
LBH	879.2163	LBH	654.7234
LBP	24.8016	LBP	537.6213
LBR	391.8651	LBR	1468.8456
LBX2	7.4405	LBX2	6.0229
LCA5L	187.5	LCA5L	30.7612
LCA5	267.3611	LCA5	275.8018
LCAT	40.9598	LCAT	117.9761
removed	removed	LCK	53.832
LCLAT1	373.0159	LCLAT1	155.5536
LCMT1	1486.1111	LCMT1	401.2934
LCMT2	450.8929	LCMT2	259.3725
removed	removed	LCN10	31.8098
LCN12	41.4187	removed	removed
LCN2	87.3016	removed	removed
removed	removed	LCN6	8.0398
LCORL	129.8934	LCORL	128.0224
LCOR	189.6776	LCOR	77.3468
LCP1	613.0952	LCP1	2437.4727
LCP2	98.7103	LCP2	334.5277
LCT	15.129	removed	removed
LDB1	1604.4147	LDB1	652.9756
LDB2	111.1111	LDB2	1684.8728
LDB3	8.6806	LDB3	142.9695
LDHA	27001.4881	LDHA	16707.1572
LDHB	702.877	LDHB	13533.8635
LDHC	7.6885	removed	removed
LDHD	214.0377	LDHD	686.8828
LDLRAD1	24.3056	removed	removed
LDLRAD2	113.693	LDLRAD2	687.0017
LDLRAD3	511.1607	LDLRAD3	630.2543
LDLRAP1	453.373	LDLRAP1	567.6833
LDLR	363.5913	LDLR	376.1251
LDOC1L	1074.6528	LDOC1L	1225.9023
LDOC1	362.1032	LDOC1	579.5683
LEF1	317.4603	LEF1	9.0885
LEFTY1	7.9489	LEFTY1	5.3448
removed	removed	LEFTY2	31.8098
LEKR1	28.7698	LEKR1	8.739
LEMD2	704.6131	LEMD2	540.0682
LEMD3	996.2798	LEMD3	678.843
LENG1	88.2937	LENG1	126.1907
LENG8	1700.9077	LENG8	2422.4661
LENG9	43.8839	LENG9	69.5377
LEO1	819.9405	LEO1	328.2356
LEPRE1	690.2282	LEPRE1	695.6218
LEPREL1	51.3393	LEPREL1	232.4565
LEPREL2	873.7599	LEPREL2	270.2089
LEPROTL1	1857.6389	LEPROTL1	1138.8622
LEPROT	568.1647	LEPROT	2035.3614
LEPR	72.4603	LEPR	2154.0994
LEP	6.9444	LEP	30622.0397
LETM1	1816.7163	LETM1	1267.4998
LETM2	226.1905	LETM2	12.9337
LETMD1	843.75	LETMD1	2019.0509
LFNG	1145.5853	LFNG	501.2672
LGALS12	5.2083	LGALS12	3107.2271
LGALS1	3914.1865	LGALS1	20891.7242
removed	removed	LGALS2	16.4293
LGALS3BP	2857.1429	LGALS3BP	14596.1723
LGALS3	4422.123	LGALS3	7419.7326
removed	removed	LGALS4	6.2921
LGALS8	2424.7644	LGALS8	1647.8196
removed	removed	LGALS9C	9.0885
LGALS9	286.7063	LGALS9	812.0248
removed	removed	LGI1	5.5929
LGI2	92.2619	LGI2	291.8815
LGI3	24.0575	removed	removed
LGI4	5.2083	LGI4	639.6924
LGMN	1318.9484	LGMN	5531.067
LGR4	171.875	LGR4	1849.515
removed	removed	LGR5	16.4293
LGR6	240.8234	LGR6	17.1284
LGTN	1314.2361	LGTN	1564.9742
removed	removed	LHCGR	97.1773
LHFPL2	1124.0079	LHFPL2	1207.7252
LHFP	243.7996	LHFP	3620.0297
LHPP	212.7976	LHPP	552.6523
LHX2	50.5952	removed	removed
LHX4	205.682	removed	removed
LHX6	23.0655	LHX6	335.2268
removed	removed	LHX8	20.97
LIAS	153.5218	LIAS	253.7796
LIFR	255.7044	LIFR	5051.8221
LIF	128.7202	LIF	33.5576
LIG1	905.0099	LIG1	126.5402
LIG3	841.7659	LIG3	271.6071
LIG4	196.1806	LIG4	449.5325
removed	removed	LILRA1	30.7612
LILRA2	28.7698	LILRA2	52.4338
removed	removed	LILRA3	17.4779
removed	removed	LILRA5	61.5223
LILRA6	23.3309	LILRA6	159.9371
LILRB1	36.9544	LILRB1	105.2172
LILRB2	18.8492	LILRB2	245.7398
LILRB3	14.6156	LILRB3	54.3424
LILRB4	117.5595	LILRB4	218.8237
removed	removed	LILRB5	870.7507
LIMA1	2895.5853	LIMA1	5978.8517
LIMCH1	1962.5496	LIMCH1	6183.3435
LIMD1	2227.8596	LIMD1	645.3028
LIMD2	45.3423	LIMD2	114.7986
LIME1	17.9117	LIME1	17.3067
LIMK1	669.1468	LIMK1	311.4568
LIMK2	1345.7341	LIMK2	668.7058
LIMS1	398.3135	LIMS1	1102.5081
LIMS2	98.2143	LIMS2	1576.5097
LIMS3-LOC440895	11.8428	LIMS3-LOC440895	47.5714
LIMS3	9.9826	LIMS3	17.4465
LIN37	75.0546	LIN37	102.2879
LIN52	190.7242	LIN52	285.939
LIN54	437.004	LIN54	270.908
removed	removed	LIN7A	96.8278
LIN7B	21.5774	LIN7B	29.3629
