gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
ADAMTSL5	63.7401	ADAMTSL5	26.5665
ADAP1	246.4633	ADAP1	84.2157
ADAP2	162.4504	ADAP2	435.8997
ADARB1	230.4067	ADARB1	1046.9283
ADAR	22233.1349	ADAR	6682.5133
ADAT1	568.2044	ADAT1	366.3375
ADAT2	21.8254	ADAT2	113.257
ADAT3	12.6488	ADAT3	9.0885
ADA	71.9246	ADA	205.5405
ADCK1	144.5933	ADCK1	202.3945
ADCK2	1119.0476	ADCK2	434.851
ADCK4	655.2579	ADCK4	344.3153
ADCK5	147.5694	ADCK5	51.3851
ADCY10	17.8571	removed	removed
ADCY1	1829.1171	ADCY1	229.3105
ADCY2	15.129	ADCY2	57.6772
ADCY3	725.9102	ADCY3	1338.9775
ADCY4	34.2262	ADCY4	828.4541
ADCY5	9.4246	ADCY5	1297.5618
ADCY6	3238.3433	ADCY6	5789.3909
ADCY7	789.1865	ADCY7	1053.2203
ADCY9	1701.8849	ADCY9	678.843
removed	removed	ADCYAP1R1	85.2923
removed	removed	ADCYAP1	24.4691
ADC	150.7937	ADC	42.9957
ADD1	6246.2798	ADD1	9301.7565
ADD2	17.8571	ADD2	44.394
ADD3	342.5099	ADD3	3909.8139
removed	removed	ADH1A	1176.9676
ADH1B	212.5496	ADH1B	96290.1302
removed	removed	ADH1C	415.6253
ADH5	1840.5258	ADH5	6309.1847
ADH6	9.9206	ADH6	6.2921
ADHFE1	145.5853	ADHFE1	764.1353
ADI1	607.8869	ADI1	2856.244
ADIPOQ	251.2401	ADIPOQ	154007.8651
ADIPOR1	5598.7103	ADIPOR1	2489.5569
ADIPOR2	13683.7798	ADIPOR2	7251.9444
ADK	482.3909	ADK	654.3739
ADM2	141.121	ADM2	6.6416
ADM	913.6905	ADM	1311.1946
ADNP2	853.1746	ADNP2	648.7809
ADNP	5208.0853	ADNP	2112.7327
ADORA1	149.5536	ADORA1	192.2573
ADORA2A	97.9638	ADORA2A	41.5975
ADORA2B	69.9405	ADORA2B	6.2921
ADORA3	110.3671	ADORA3	63.9692
ADO	544.8909	ADO	537.9708
ADPGK	976.0466	ADPGK	688.8159
ADPRHL1	314.4841	ADPRHL1	108.0136
ADPRHL2	498.0159	ADPRHL2	432.0545
ADPRH	106.6468	ADPRH	800.4894
removed	removed	ADRA1A	306.9125
ADRA1B	12.8968	ADRA1B	84.2436
removed	removed	ADRA1D	22.0222
ADRA2A	252.2321	ADRA2A	2441.6674
ADRA2B	24.3056	ADRA2B	15.031
