gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
removed	removed	ADAMTS19	10.4877
ADAMTS1	1430.0563	ADAMTS1	4142.108
ADAMTS2	966.2191	ADAMTS2	550.0787
ADAMTS3	152.0139	ADAMTS3	102.7792
ADAMTS4	1117.7999	ADAMTS4	207.656
ADAMTS5	683.8458	ADAMTS5	2599.3707
ADAMTS6	139.4543	ADAMTS6	19.9266
ADAMTS7	386.7475	ADAMTS7	116.4132
ADAMTS8	35.5132	ADAMTS8	134.7666
ADAMTS9	729.3201	ADAMTS9	825.3802
ADAMTSL1	244.6947	ADAMTSL1	380.7027
ADAMTSL2	290.1689	ADAMTSL2	51.3896
ADAMTSL3	665.223	ADAMTSL3	328.7887
ADAMTSL4	117.7999	ADAMTSL4	564.7614
ADAMTSL5	27.2845	ADAMTSL5	61.8773
ADAP1	49.3374	ADAP1	115.0813
ADAP2	203.1182	ADAP2	155.2176
ADARB1	776.9597	ADARB1	987.4148
ADAR	11724.123	ADAR	7756.1615
ADAT1	482.893	ADAT1	449.9213
ADAT2	122.1308	ADAT2	200.3146
ADAT3	28.5838	ADAT3	29.3655
ADA	161.1087	ADA	42.9995
ADCK1	324.8159	ADCK1	175.1442
ADCK2	519.7055	ADCK2	602.517
ADCK4	343.4387	ADCK4	486.6282
ADCK5	183.6293	ADCK5	105.4012
ADCY1	235.1667	ADCY1	1510.2255
ADCY2	320.4851	ADCY2	68.1699
ADCY3	919.2161	ADCY3	1510.021
ADCY4	209.1815	ADCY4	506.5548
ADCY5	61.4985	ADCY5	393.8123
ADCY6	1233.8675	ADCY6	2899.8427
ADCY7	697.2715	ADCY7	485.0551
ADCY9	764.4002	ADCY9	949.6592
ADCYAP1R1	19.489	ADCYAP1R1	72.365
removed	removed	ADCYAP1	5.2438
ADC	129.0602	ADC	137.3886
ADD1	3917.2802	ADD1	6282.1185
ADD2	67.5617	ADD2	91.7672
ADD3	1740.5803	ADD3	2753.5396
removed	removed	ADH1A	99.6329
ADH1B	271.113	ADH1B	11004.1951
ADH1C	35.0801	ADH1C	200.3146
ADH4	8.2287	ADH4	8.9145
ADH5	3064.097	ADH5	2672.2601
ADHFE1	17.7566	ADHFE1	248.0336
ADI1	1091.3816	ADI1	1227.5826
ADIPOQ	47.2066	ADIPOQ	12855.2701
ADIPOR1	2373.7549	ADIPOR1	1807.5511
ADIPOR2	1576.44	ADIPOR2	2932.8789
ADK	582.0702	ADK	327.2155
ADM2	870.9398	ADM2	111.6938
ADM	170.2036	ADM	333.5081
ADNP2	817.2369	ADNP2	779.2344
ADNP	3559.9827	ADNP	3274.7771
ADORA1	148.1161	ADORA1	290.5087
ADORA2A	177.9991	ADORA2A	80.2307
ADORA2B	40.7103	ADORA2B	38.8044
ADORA3	75.3573	ADORA3	50.8652
ADO	815.9376	ADO	679.6015
ADPGK	962.9926	ADPGK	876.4657
ADPRHL1	38.5448	ADPRHL1	52.4384
ADPRHL2	737.9818	ADPRHL2	529.6277
ADPRH	268.0814	ADPRH	358.6786
removed	removed	ADRA1A	29.8899
ADRA1B	21.2213	ADRA1B	17.3047
ADRA1D	13.4257	ADRA1D	7.8658
ADRA2A	519.2724	ADRA2A	677.5039
ADRA2B	284.9718	ADRA2B	53.4872
