gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
MSX2	340.8402	MSX2	253.8018
removed	removed	MT1A	5.2438
MT1E	161.9749	MT1E	609.334
MT1F	59.333	MT1F	89.1453
MT1G	160.2425	MT1G	66.5967
MT1L	9.0948	MT1L	50.8652
MT1M	16.0243	MT1M	51.914
MT1X	719.7921	MT1X	1365.4955
MT2A	2629.7098	MT2A	2204.5097
MTA1	1084.0191	MTA1	1071.3162
MTA2	2893.0273	MTA2	1756.6859
MTA3	730.6193	MTA3	805.978
MTAP	692.9407	MTAP	743.0519
MTBP	171.9359	MTBP	101.7305
MTCH1	3343.8718	MTCH1	3120.0839
MTCH2	1972.2824	MTCH2	1017.3047
MTCP1NB	148.1464	MTCP1NB	162.795
MTCP1	12.9623	MTCP1	30.7027
MTDH	6027.7176	MTDH	2712.6377
MTERFD1	483.3261	MTERFD1	245.936
MTERFD2	437.8519	MTERFD2	523.8595
MTERFD3	161.5418	MTERFD3	450.4457
MTERF	145.5175	MTERF	259.57
MTF1	759.6362	MTF1	867.3309
MTF2	546.99	MTF2	557.42
MTFMT	258.9866	MTFMT	197.6927
MTFR1	2709.4197	MTFR1	373.6602
MTG1	481.1607	MTG1	355.0079
MTHFD1L	901.256	MTHFD1L	268.4845
MTHFD1	2612.4556	MTHFD1	1552.538
MTHFD2L	185.2793	MTHFD2L	217.011
MTHFD2	2639.6709	MTHFD2	807.5511
MTHFR	930.0953	MTHFR	993.4347
MTHFSD	262.0182	MTHFSD	372.8369
MTHFS	250.3248	MTHFS	211.3267
MTIF2	696.8385	MTIF2	633.9801
MTIF3	428.3239	MTIF3	631.3582
MTL5	210.0476	MTL5	234.3996
MTM1	354.2659	MTM1	401.678
MTMR10	766.7475	MTMR10	1369.2029
MTMR11	223.4734	MTMR11	417.4095
MTMR12	2859.6795	MTMR12	1966.4394
MTMR14	541.3599	MTMR14	690.0891
MTMR15	422.945	MTMR15	873.5868
MTMR1	563.0143	MTMR1	797.5878
MTMR2	1132.0918	MTMR2	757.2103
MTMR3	1629.2767	MTMR3	2406.9219
MTMR4	1228.2373	MTMR4	1382.8002
MTMR6	624.0797	MTMR6	903.5134
MTMR7	18.3499	MTMR7	59.9318
MTMR8	10.3941	MTMR8	17.3047
MTMR9L	38.1117	MTMR9L	242.2653
MTMR9	390.1906	MTMR9	638.1384
MTO1	454.3092	MTO1	460.9334
MTOR	2434.8203	MTOR	2105.4012
MTP18	296.9294	MTP18	151.1641
MTPAP	743.1789	MTPAP	474.043
MTRF1L	258.1204	MTRF1L	278.9722
MTRF1	59.333	MTRF1	125.3277
MTRR	416.1975	MTRR	760.881
MTR	1380.2512	MTR	1872.0503
MTSS1L	2494.1533	MTSS1L	1468.7992
MTSS1	1598.9389	MTSS1	1193.4819
MTUS1	1641.4032	MTUS1	2978.5003
MTUS2	20.3551	MTUS2	11.5364
MTX1	702.0269	MTX1	335.4536
MTX2	549.5886	MTX2	379.6539
MTX3	599.8268	MTX3	864.709
MUC15	106.1065	MUC15	248.0336
MUC16	55.8683	MUC16	741.4788
MUC1	4395.4093	MUC1	2593.0781
MUC20	22.5206	MUC20	158.8883
MUC21	6.9294	removed	removed
MUC4	9.0948	MUC4	35.6581
MUC5B	109.1382	MUC5B	446.2507
MUC6	35.5132	MUC6	1388.044
MUCL1	4569.0775	MUCL1	2560.5663
MUDENG	1061.0654	MUDENG	777.1369
MUL1	758.77	MUL1	829.5752
MUM1L1	402.3387	MUM1L1	99.1085
MUM1	637.5054	MUM1	1355.0079
MURC	10.3941	MURC	6.817
MUS81	595.4959	MUS81	541.1641
MUSTN1	9.961	MUSTN1	55.7368
MUTED	359.8961	MUTED	375.9832
MUTYH	113.8242	MUTYH	158.9093
MUT	1530.5327	MUT	1011.0121
MVD	1887.8302	MVD	303.6182
MVK	284.9718	MVK	284.7404
MVP	2329.5799	MVP	2422.129
MX1	1008.2287	MX1	615.1023
MX2	337.8086	MX2	279.4966
MXD1	311.8233	MXD1	640.7971
MXD3	132.3473	MXD3	67.8291
MXD4	1102.2087	MXD4	1868.3797
MXI1	1045.0411	MXI1	1943.8909
MXRA5	15538.7614	MXRA5	5137.913
MXRA7	1627.5444	MXRA7	2181.9612
MXRA8	2885.2317	MXRA8	2553.7493
MYADM	3350.3681	MYADM	5781.8563
MYBBP1A	1911.4725	MYBBP1A	1544.1793
MYBL1	100.0433	MYBL1	91.2428
MYBL2	868.3413	MYBL2	31.463
MYBPC1	46.3404	MYBPC1	1457.7871
MYBPC2	9.5279	removed	removed
MYB	410.5673	MYB	2041.9507
MYCBP2	2475.5305	MYCBP2	3761.4053
removed	removed	MYCBPAP	6.817
MYCBP	687.7436	MYCBP	579.4442
MYCL1	145.5175	MYCL1	133.7179
MYCN	45.9073	MYCN	20.9754
MYCT1	390.6453	MYCT1	579.9685
MYC	1858.3803	MYC	2660.1993
MYD88	1245.1278	MYD88	935.5008
MYEF2	866.4357	MYEF2	345.8521
MYEOV2	530.0996	MYEOV2	444.6775
MYEOV	53.7029	MYEOV	249.6067
MYH10	1927.6743	MYH10	3116.4132
MYH11	5752.4729	MYH11	14872.1028
MYH14	177.9991	MYH14	2125.8521
removed	removed	MYH1	48.2433
MYH3	9.961	MYH3	71.8406
removed	removed	MYH7B	48.7677
MYH9	57793.4171	MYH9	39355.0079
MYL12A	9501.5158	MYL12A	5088.0965
MYL12B	7792.984	MYL12B	5253.8018
removed	removed	MYL3	6.817
MYL5	39.7835	MYL5	129.7063
MYL6B	373.3218	MYL6B	484.0063
MYL6	13077.5227	MYL6	10911.9035
MYL7	8.6618	MYL7	8.9145
MYL9	6855.3486	MYL9	9470.8967
MYLIP	740.5803	MYLIP	1423.1778
MYLK3	9.5279	MYLK3	12.0608
MYLK4	44.6081	MYLK4	47.1945
MYLK	5103.0706	MYLK	11202.8998
MYNN	354.699	MYNN	580.4929
MYO10	1953.6596	MYO10	1305.1914
MYO15A	6.4963	MYO15A	23.5973
MYO15B	134.6903	MYO15B	1525.4326
removed	removed	MYO16	29.8899
MYO18A	2385.7601	MYO18A	2564.2632
MYO19	819.411	MYO19	501.5679
MYO1B	4378.5188	MYO1B	2660.7236
MYO1C	6802.0788	MYO1C	5917.1474
MYO1D	4134.2573	MYO1D	2249.0823
MYO1E	2101.7757	MYO1E	1197.6927
MYO1F	378.9519	MYO1F	235.4483
MYO1G	165.8727	MYO1G	99.1085
MYO1H	7.7956	MYO1H	88.0965
MYO3A	12.1265	removed	removed
MYO3B	6.4963	removed	removed
MYO5A	953.6596	MYO5A	1370.215
MYO5B	1497.1849	MYO5B	2194.5464
MYO5C	1019.2724	MYO5C	1874.4835
MYO6	3274.5777	MYO6	3742.0031
MYO7A	51.5375	MYO7A	163.6078
MYO7B	9.0948	MYO7B	17.3047
MYO9A	1131.6587	MYO9A	1560.042
MYO9B	2003.8978	MYO9B	1859.9895
MYOCD	22.0875	MYOCD	36.7069
removed	removed	MYOC	42.9995
MYOF	7089.6492	MYOF	8162.559
MYOM1	38.5448	MYOM1	497.1159
MYOM2	18.6228	MYOM2	54.5359
MYOM3	50.2382	MYOM3	60.3041
MYOZ1	26.8515	MYOZ1	18.8778
MYOZ3	11.6934	MYOZ3	78.6576
MYPN	9.5279	MYPN	5.7682
MYPOP	94.4132	MYPOP	113.7913
MYRIP	71.4595	MYRIP	262.7163
MYSM1	229.9697	MYSM1	449.9213
MYST1	347.7696	MYST1	600.9439
MYST2	744.045	MYST2	1336.6544
MYST3	1560.8489	MYST3	3154.1689
MYST4	1400.1732	MYST4	1843.7336
MZF1	137.5227	MZF1	419.182
N4BP1	1414.032	N4BP1	1679.6015
N4BP2L1	177.133	N4BP2L1	742.5275
N4BP2L2	1096.1455	N4BP2L2	2098.0598
N4BP2	269.8138	N4BP2	557.9444
N4BP3	617.1503	N4BP3	379.6539
N6AMT1	212.6462	N6AMT1	386.9953
N6AMT2	121.6977	N6AMT2	117.462
NAA10	566.0459	NAA10	511.7986
NAA15	2479.4283	NAA15	1053.4872
NAA16	195.7557	NAA16	416.3608
NAA20	1328.2806	NAA20	646.0409
NAA25	598.9606	NAA25	804.9292
NAA30	961.8883	NAA30	708.4426
NAA35	553.4864	NAA35	509.7011
NAA38	318.7527	NAA38	353.9591
NAA40	563.0143	NAA40	524.3838
NAA50	3385.0152	NAA50	2592.5537
NAAA	794.2832	NAAA	422.6534
NAALAD2	10.3941	NAALAD2	76.56
NAALADL1	61.0654	NAALADL1	119.0351
NAALADL2	436.1195	NAALADL2	539.591
NAB1	837.592	NAB1	1656.5286
NAB2	587.2672	NAB2	944.4153
NACA2	28.5838	NACA2	24.1217
NACAD	63.6639	NACAD	248.5579
NACAP1	86.6176	NACAP1	97.011
NACA	11417.9298	NACA	15302.5695
NACC1	1361.1953	NACC1	914.001
NACC2	79.2551	NACC2	78.6576
NADK	1265.0498	NADK	1023.5973
NADSYN1	501.0827	NADSYN1	819.0876
NAE1	1145.0845	NAE1	785.0026
NAF1	246.427	NAF1	263.7651
NAGA	1165.8727	NAGA	750.3933
NAGK	1036.3794	NAGK	879.9161
NAGLU	511.0437	NAGLU	662.8212
NAGPA	171.0697	NAGPA	182.4961
NAGS	18.1897	NAGS	76.56
NAIF1	178.4322	NAIF1	216.5705
NAIP	35.5132	NAIP	111.6938
NALCN	32.9147	NALCN	85.999
NAMPT	2172.8021	NAMPT	1689.5648
NANOS1	1563.8805	NANOS1	227.0582
NANP	218.2763	NANP	172.5223
NANS	1037.12	NANS	599.3707
NAP1L1	7779.5583	NAP1L1	6128.474
NAP1L2	56.3014	NAP1L2	209.2292
NAP1L3	141.6197	NAP1L3	157.3152
NAP1L4	2456.4747	NAP1L4	2130.0472
NAP1L5	129.0602	NAP1L5	174.0954
NAPA	1994.8939	NAPA	2168.8726
NAPB	137.722	NAPB	303.6182
NAPEPLD	339.1988	NAPEPLD	510.1468
NAPG	909.9177	NAPG	561.0907
NAPRT1	315.288	NAPRT1	247.5092
removed	removed	NAPSA	10.4877
NAPSB	176.6999	NAPSB	24.1217
NARFL	391.9446	NARFL	390.666
NARF	552.1871	NARF	543.2617
NARG2	829.3634	NARG2	1267.4358
NARS2	400.1732	NARS2	294.1793
NARS	3324.3828	NARS	2644.4678
NASP	2252.9233	NASP	1736.7593
NAT10	1403.2049	NAT10	1370.7394
NAT14	239.9307	NAT14	121.1327
NAT15	1057.1676	NAT15	1069.2187
NAT1	76.6566	NAT1	168.3272
NAT2	6.9294	removed	removed
NAT6	89.7272	NAT6	165.1547
NAT8L	48.5058	NAT8L	441.0068
NAT9	421.3945	NAT9	440.4824
NAV1	3626.6782	NAV1	1419.5071
NAV2	1555.6518	NAV2	3815.0393
NAV3	128.194	NAV3	486.6282
NBAS	1502.8151	NBAS	1531.7252
NBEAL1	495.0195	NBEAL1	687.4672
NBEAL2	1444.7813	NBEAL2	1815.4169
NBEA	274.1447	NBEA	659.1505
NBL1	4420.0953	NBL1	3319.3498
NBLA00301	17.7566	NBLA00301	45.6214
NBN	2275.877	NBN	1568.4321
NBPF10	1525.6994	NBPF10	2125.6686
NBPF14	684.8766	NBPF14	1475.1757
NBPF15	300.8142	NBPF15	357.5983
NBPF16	178.8653	NBPF16	257.4725
NBPF1	531.832	NBPF1	1106.9743
NBPF3	276.7432	NBPF3	410.0682
removed	removed	NBPF4	7.8658
NBPF9	203.9671	NBPF9	458.8044
NBR1	2281.5071	NBR1	4708.4426
NBR2	73.6249	NBR2	184.5831
NCALD	1253.7895	NCALD	945.4641
NCAM1	32.9147	NCAM1	174.5779
NCAM2	105.2404	NCAM2	206.0829
NCAPD2	1618.8826	NCAPD2	1288.4111
NCAPD3	926.3751	NCAPD3	594.6513
NCAPG2	584.6687	NCAPG2	288.4111
NCAPG	349.1815	NCAPG	24.6932
NCAPH2	669.1208	NCAPH2	670.6869
NCAPH	304.8939	NCAPH	30.4143
NCBP1	1124.8116	NCBP1	871.7829
NCBP2	1768.7311	NCBP2	1611.956
NCCRP1	47.2066	NCCRP1	35.1337
NCDN	919.0126	NCDN	829.0509
NCEH1	399.3071	NCEH1	439.4337
NCF1B	10.8272	NCF1B	22.0241
NCF1C	27.2845	NCF1C	6.2926
NCF1	95.7124	NCF1	41.4263
NCF2	322.2174	NCF2	144.7299
NCF4	103.508	NCF4	98.5842
NCK1	594.6297	NCK1	614.5779
NCK2	1385.4482	NCK2	1195.5952
NCKAP1L	603.2915	NCKAP1L	349.2396
NCKAP1	4980.078	NCKAP1	4362.8736
NCKAP5L	584.6687	NCKAP5L	740.43
NCKAP5	165.8727	NCKAP5	297.85
NCKIPSD	446.0806	NCKIPSD	664.3943
NCLN	1023.3867	NCLN	997.9025
NCL	17073.1919	NCL	10836.3922
NCOA1	1567.3452	NCOA1	2628.2119
NCOA2	1679.5149	NCOA2	1686.4185
NCOA3	2040.2772	NCOA3	1619.2973
NCOA4	4473.7982	NCOA4	5507.6036
NCOA5	1119.0992	NCOA5	1342.947
NCOA6	1588.9996	NCOA6	1694.2842
NCOA7	1199.6535	NCOA7	1857.892
NCOR1	2330.8792	NCOR1	3851.5994
NCOR2	3605.0238	NCOR2	5299.4232
NCR3	10.3941	removed	removed
NCRNA00081	161.3599	NCRNA00081	148.4059
NCRNA00085	39.411	NCRNA00085	69.7431
NCRNA00086	36.8125	NCRNA00086	345.569
NCRNA00087	41.1434	NCRNA00087	98.0598
removed	removed	NCRNA00092	17.3047
removed	removed	NCRNA00093	14.4835
NCRNA00094	510.2295	NCRNA00094	555.139
NCRNA00095	90.9485	NCRNA00095	62.9261
NCRNA00105	9.961	NCRNA00105	104.3524
NCRNA00107	8.2287	NCRNA00107	27.268
removed	removed	NCRNA00110	66.5967
NCRNA00115	18.6228	NCRNA00115	17.3047
NCRNA00116	96.1455	NCRNA00116	102.2549
NCRNA00120	26.8515	NCRNA00120	73.9381
NCRNA00152	284.5388	NCRNA00152	83.9014
removed	removed	NCRNA00162	8.9145
NCRNA00167	5.1971	removed	removed
NCRNA00171	20.2122	NCRNA00171	53.0886
removed	removed	NCRNA00173	41.4263
NCRNA00174	52.4036	NCRNA00174	202.9365
NCRNA00176	12.9926	NCRNA00176	14.6827
NCRNA00181	56.8341	NCRNA00181	101.8301
NCRNA00182	43.3088	NCRNA00182	112.7425
NCRNA00183	181.8969	NCRNA00183	276.8747
NCRNA00188	4960.589	NCRNA00188	6149.4494
NCRNA00189	8.2287	removed	removed
NCRNA00201	480.628	NCRNA00201	1183.8804
NCRNA00202	10.8272	NCRNA00202	18.3534
removed	removed	NCRNA00204B	13.634
NCRNA00219	188.3932	NCRNA00219	389.6172
removed	removed	NCRNA00235	5.7682
NCS1	977.9125	NCS1	323.0205
NCSTN	3189.6882	NCSTN	2566.1772
NDC80	434.3872	NDC80	15.2071
NDE1	721.7583	NDE1	557.3676
NDEL1	860.1126	NDEL1	1112.7425
NDFIP1	2273.7116	NDFIP1	2973.2564
NDFIP2	553.4864	NDFIP2	612.4803
NDNL2	330.013	NDNL2	455.1652
NDN	391.9446	NDN	705.8207
NDOR1	429.6232	NDOR1	471.4211
NDP	46.3404	NDP	42.4751
NDRG1	4025.5522	NDRG1	4699.5281
NDRG2	831.0957	NDRG2	6163.6078
NDRG3	814.6384	NDRG3	898.7939
NDRG4	119.0992	NDRG4	176.193
NDST1	5175.4006	NDST1	5879.3917
NDST2	689.9091	NDST2	853.1725
NDST3	5.1971	removed	removed
NDUFA10	1860.9788	NDUFA10	1563.1883
NDUFA11	695.9723	NDUFA11	861.3739
NDUFA12	550.4547	NDUFA12	383.849
NDUFA13	957.0377	NDUFA13	1157.5092
NDUFA1	1322.2174	NDUFA1	782.9051
NDUFA2	423.9931	NDUFA2	458.3115
NDUFA3	447.8129	NDUFA3	369.6906
NDUFA4L2	301.8623	NDUFA4L2	200.3146
NDUFA4	2001.7324	NDUFA4	1729.4179
NDUFA5	812.906	NDUFA5	1042.9995
NDUFA6	1390.2122	NDUFA6	631.3582
NDUFA7	205.2837	NDUFA7	293.655
NDUFA8	546.557	NDUFA8	463.5553
NDUFA9	1260.2858	NDUFA9	881.4893
NDUFAB1	886.0979	NDUFAB1	498.689
NDUFAF1	306.6262	NDUFAF1	266.9114
NDUFAF2	110.0043	NDUFAF2	138.4373
NDUFAF3	494.1533	NDUFAF3	669.1138
NDUFAF4	247.7263	NDUFAF4	203.9853
NDUFB10	866.6089	NDUFB10	747.7714
NDUFB11	1421.8276	NDUFB11	742.0031
NDUFB1	576.0069	NDUFB1	360.7761
NDUFB2	886.5136	NDUFB2	625.0446
NDUFB3	573.8415	NDUFB3	389.6172
NDUFB4	1147.2499	NDUFB4	1088.0965
NDUFB5	860.1126	NDUFB5	793.9171
NDUFB6	517.5401	NDUFB6	562.6639
NDUFB7	458.207	NDUFB7	713.162
NDUFB8	978.3456	NDUFB8	899.8374
NDUFB9	4935.4916	NDUFB9	1272.6953
NDUFC1	585.5349	NDUFC1	457.7871
NDUFC2	1550.4547	NDUFC2	1256.9481
NDUFS1	2274.1447	NDUFS1	1358.6786
NDUFS2	2634.4738	NDUFS2	1541.1641
NDUFS3	963.7722	NDUFS3	773.1515
NDUFS4	333.4777	NDUFS4	554.7981
NDUFS5	2041.1434	NDUFS5	1122.1814
NDUFS6	455.6085	NDUFS6	405.3487
NDUFS7	345.5479	NDUFS7	474.2265
NDUFS8	819.4023	NDUFS8	611.956
NDUFV1	1688.6098	NDUFV1	1598.322
NDUFV2	2384.5821	NDUFV2	919.7693
NDUFV3	645.301	NDUFV3	548.5055
NEAT1	2985.275	NEAT1	13818.5632
NEBL	1466.4357	NEBL	2459.3603
NEB	35.9463	NEB	20.451
NECAB1	60.1992	NECAB1	145.2543
removed	removed	NECAB2	13.1096
NECAB3	160.2425	NECAB3	278.9722
NECAP1	588.1334	NECAP1	764.0273
NECAP2	1463.8372	NECAP2	1140.5349
NEDD1	657.4275	NEDD1	624.0168
NEDD4L	735.3833	NEDD4L	2463.0309
NEDD4	721.9576	NEDD4	786.0514
NEDD8	1734.084	NEDD8	1091.7672
NEDD9	1802.5119	NEDD9	3101.2061
NEFH	109.5712	NEFH	79.182
removed	removed	NEFL	7.8658
NEFM	8.6618	NEFM	14.2999
NEGR1	175.8337	NEGR1	252.753
NEIL1	61.4985	NEIL1	216.0461
NEIL2	242.5292	NEIL2	433.1411
NEIL3	108.272	removed	removed
NEK10	25.5522	NEK10	346.0933
NEK11	136.4227	NEK11	221.29
NEK1	552.6202	NEK1	586.7855
NEK2	366.3924	NEK2	12.5852
NEK3	106.9727	NEK3	233.3508
NEK4	436.9857	NEK4	605.6633
removed	removed	NEK5	14.1584
NEK6	1662.1914	NEK6	1135.8154
NEK7	1219.5756	NEK7	1453.592
NEK8	70.1602	NEK8	114.3157
NEK9	2041.5764	NEK9	2856.8432
NELF	944.9978	NELF	713.6864
NELL2	105.6735	NELL2	84.4258
NENF	745.7774	NENF	787.6245
NEO1	2784.7553	NEO1	3137.913
NES	1979.2118	NES	7547.4567
NET1	2668.6877	NET1	1795.4903
NETO1	80.1213	removed	removed
NETO2	1173.2352	NETO2	409.5438
NEU1	1317.8865	NEU1	981.1222
NEU3	130.3595	NEU3	201.8878
NEURL1B	1297.5314	NEURL1B	1529.6277
NEURL2	12.6462	NEURL2	25.7787
NEURL3	12.5595	NEURL3	53.4872
NEURL4	400.6063	NEURL4	783.4295
NEURL	9.961	NEURL	26.2192
NEUROG2	6.0632	NEUROG2	41.9507
NEXN	534.4305	NEXN	310.9596
NF1	2366.3924	NF1	3260.0944
NF2	1140.3205	NF2	889.8794
NFAM1	156.7778	NFAM1	94.3891
NFASC	521.4552	NFASC	1450.9229
NFAT5	1958.8566	NFAT5	3406.3975
NFATC1	454.7423	NFATC1	457.2627
NFATC2IP	819.8354	NFATC2IP	992.1342
NFATC2	126.0286	NFATC2	199.2659
NFATC3	1112.1698	NFATC3	1138.9617
NFATC4	576.0069	NFATC4	804.4048
NFE2L1	4251.191	NFE2L1	7205.5585
NFE2L2	2176.2148	NFE2L2	3236.3555
NFE2L3	336.9424	NFE2L3	239.6434
NFE2	5.1971	NFE2	7.8658
NFIA	3756.6046	NFIA	1714.2108
NFIB	3754.0061	NFIB	6026.7436
NFIC	1204.4175	NFIC	1379.1295
NFIL3	600.2599	NFIL3	553.7493
NFIX	2424.8592	NFIX	5057.6822
NFKB1	1762.2347	NFKB1	1593.0781
NFKB2	993.5037	NFKB2	747.247
NFKBIA	2095.7124	NFKBIA	1330.3618
NFKBIB	272.8454	NFKBIB	231.2533
NFKBID	21.2213	NFKBID	35.6581
NFKBIE	405.8034	NFKBIE	193.4976
NFKBIL1	282.8064	NFKBIL1	409.5438
NFKBIL2	427.4578	NFKBIL2	137.9077
NFKBIZ	216.1109	NFKBIZ	878.8673
NFRKB	896.492	NFRKB	1117.9864
NFS1	326.9814	NFS1	360.7761
NFU1	279.7748	NFU1	404.2999
NFX1	1084.8852	NFX1	1522.2863
NFXL1	533.7246	NFXL1	305.1914
NFYA	2126.4617	NFYA	1439.4337
NFYB	671.2863	NFYB	803.3561
NFYC	762.6722	NFYC	1088.5317
NGDN	500.6496	NGDN	492.3964
NGEF	42.8757	NGEF	34.6093
NGFRAP1	1210.9138	NGFRAP1	961.72
NGFR	557.8172	NGFR	1953.3298
NGF	15.5912	NGF	13.634
NGLY1	395.4093	NGLY1	667.5406
NGRN	2582.4599	NGRN	2175.0393
NHEDC1	5.2014	removed	removed
NHEDC2	325.6821	NHEDC2	208.7048
NHEJ1	257.6873	NHEJ1	277.6141
NHLRC1	105.6735	NHLRC1	83.377
NHLRC2	270.6799	NHLRC2	325.118
NHLRC3	340.4071	NHLRC3	640.7971
NHLRC4	16.8904	NHLRC4	52.4384
NHP2L1	2562.1481	NHP2L1	1753.5396
NHP2	1264.1836	NHP2	798.6366
NHSL1	776.0935	NHSL1	502.3597
NHSL2	148.5492	NHSL2	206.0829
NHS	264.1836	NHS	314.6303
NICN1	171.9359	NICN1	514.6827
NID1	5214.2876	NID1	3662.6534
NID2	1973.5816	NID2	731.5155
NIF3L1	401.4725	NIF3L1	423.1778
NINJ1	1051.5375	NINJ1	1299.9476
NINJ2	111.7367	NINJ2	40.3985
NINL	437.4188	NINL	475.0918
NIN	2627.9775	NIN	1620.3461
NIP7	796.0156	NIP7	490.2989
NIPA1	514.9415	NIPA1	364.4468
NIPA2	1479.8614	NIPA2	744.6251
NIPAL1	126.4617	NIPAL1	44.0482
NIPAL2	770.4634	NIPAL2	315.6791
NIPAL3	636.2061	NIPAL3	1249.0823
NIPAL4	18.6228	removed	removed
NIPBL	6835.8597	NIPBL	3404.2999
NIPSNAP1	3248.1594	NIPSNAP1	909.2816
NIPSNAP3A	518.4062	NIPSNAP3A	454.6408
NIPSNAP3B	25.6042	NIPSNAP3B	96.5863
NISCH	1129.9264	NISCH	3823.2826
NIT1	444.4305	NIT1	496.9481
NIT2	517.9731	NIT2	552.1762
NKAIN1	178.8653	NKAIN1	40.3776
NKAIN2	7.3625	NKAIN2	10.4877
NKAIN4	5.1971	removed	removed
NKAPL	9.5279	NKAPL	27.268
NKAP	347.3365	NKAP	288.4111
NKD1	97.8779	NKD1	23.5973
NKD2	134.6903	NKD2	128.9984
NKG7	85.7514	NKG7	97.5354
NKIRAS1	151.5808	NKIRAS1	249.6067
NKIRAS2	611.0871	NKIRAS2	750.9177
NKPD1	7.3625	NKPD1	86.5233
NKRF	601.5591	NKRF	318.8254
NKTR	1248.1594	NKTR	3698.4793
NKX1-2	42.8757	removed	removed
NKX3-1	54.136	NKX3-1	143.6812
NKX3-2	32.9147	removed	removed
NKX6-1	19.922	NKX6-1	5.2438
NLE1	420.9615	NLE1	415.8364
NLGN1	12.5595	NLGN1	53.4872
NLGN2	693.8068	NLGN2	933.9276
NLGN3	34.647	NLGN3	70.7918
NLGN4X	221.3079	NLGN4X	270.0577
NLK	448.6791	NLK	362.3492
NLN	528.3673	NLN	424.7509
NLRC3	203.1182	NLRC3	149.9738
NLRC4	42.8757	NLRC4	24.1217
NLRC5	569.5106	NLRC5	631.3582
NLRP12	6.4963	removed	removed
removed	removed	NLRP13	7.8658
NLRP1	399.7401	NLRP1	710.0157
NLRP2	2493.2871	NLRP2	256.9481
NLRP3	90.9485	NLRP3	81.8039
removed	removed	NLRP5	16.2559
NLRP7	32.9147	NLRP7	9.9633
NLRX1	437.4188	NLRX1	552.1762
NMB	71.4595	NMB	244.8873
NMD3	1189.6925	NMD3	1082.8526
NME1-NME2	24.1057	NME1-NME2	30.4824
NME1	800.039	NME1	542.9208
NME2P1	59.7661	NME2P1	48.2433
NME2	3566.9337	NME2	3971.4263
NME3	419.6622	NME3	389.6172
NME4	1850.5847	NME4	999.4756
NME5	9.961	NME5	55.5847
NME6	194.4565	NME6	217.6193
NME7	143.9151	NME7	159.1085
NMI	461.6717	NMI	312.0084
NMNAT1	405.3703	NMNAT1	324.0692
NMNAT2	42.0095	NMNAT2	151.5469
NMNAT3	88.3499	NMNAT3	207.1316
NMRAL1	720.6583	NMRAL1	454.1164
NMT1	1447.3798	NMT1	2805.4536
NMT2	430.0563	NMT2	620.8705
removed	removed	NMUR1	50.8652
NMU	15.5912	removed	removed
NNAT	9.5279	NNAT	434.7142
NNMT	2411.8666	NNMT	1287.8867
NNT	602.33	NNT	1016.7803
NOB1	1076.6566	NOB1	1149.4494
NOC2L	3276.0459	NOC2L	1576.5024
NOC3L	631.4422	NOC3L	518.0912
NOC4L	210.4807	NOC4L	232.8264
NOD1	394.5431	NOD1	515.4693
NOD2	137.722	NOD2	73.4137
removed	removed	NODAL	11.5364
NOG	19.922	NOG	19.9266
NOL10	886.9641	NOL10	543.7861
NOL11	1251.191	NOL11	961.72
NOL12	222.6072	NOL12	261.4421
NOL3	581.6241	NOL3	372.795
NOL6	1251.6241	NOL6	1350.2884
NOL7	662.6245	NOL7	560.5663
NOL8	825.0325	NOL8	920.818
NOL9	368.9909	NOL9	253.2774
NOLC1	4016.0243	NOLC1	2401.678
NOM1	542.2261	NOM1	598.322
NOMO1	4452.1438	NOMO1	2265.8626
NOMO2	2330.4461	NOMO2	1605.139
NOMO3	1243.8285	NOMO3	1570.5296
NONO	11088.783	NONO	5498.1647
NOP10	986.1412	NOP10	583.1148
NOP14	964.5388	NOP14	965.7001
NOP16	336.9424	NOP16	141.0593
NOP2	852.7501	NOP2	613.5291
NOP56	2898.2243	NOP56	1404.2999
NOP58	1587.7003	NOP58	984.7929
NOS1AP	92.2477	NOS1AP	327.2155
NOS2	15.5912	NOS2	19.4022
NOS3	507.5054	NOS3	578.8044
NOSIP	485.0585	NOSIP	555.8469
NOSTRIN	331.7453	NOSTRIN	469.3235
NOTCH1	2619.7488	NOTCH1	2428.4216
NOTCH2NL	595.4266	NOTCH2NL	777.4148
NOTCH2	8035.9463	NOTCH2	8800.7341
NOTCH3	5914.2486	NOTCH3	5033.5606
NOTCH4	744.4781	NOTCH4	1555.3225
NOTUM	9.5279	removed	removed
NOVA1	75.3573	NOVA1	848.4531
NOVA2	60.6323	NOVA2	73.4137
NOV	262.8844	NOV	299.4232
NOX4	398.0078	NOX4	41.4263
NOX5	10.3984	NOX5	7.8762
NOXA1	38.9779	NOXA1	112.2181
NOXO1	6.4963	NOXO1	7.3414
removed	removed	NPAS1	11.5364
NPAS2	397.1416	NPAS2	423.1778
NPAS3	38.5448	NPAS3	142.6324
removed	removed	NPAS4	9.9633
NPAT	735.3833	NPAT	682.2234
NPC1L1	5.1971	NPC1L1	46.1458
NPC1	1056.0243	NPC1	1255.5322
NPC2	3937.6353	NPC2	1933.4033
NPDC1	1153.3131	NPDC1	1292.0818
NPEPL1	216.977	NPEPL1	580.4929
NPEPPS	1388.4799	NPEPPS	1938.6471
