gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
ALDH1A1	613.9981	ALDH1A1	4381.431
ALDH1A2	88.695	ALDH1A2	797.7985
ALDH1A3	790.0433	ALDH1A3	1449.2175
ALDH1B1	1256.6074	ALDH1B1	683.1778
ALDH1L1	5.7223	ALDH1L1	1510.4092
ALDH1L2	1292.6576	ALDH1L2	336.6834
ALDH2	1888.3445	ALDH2	27128.0211
removed	removed	ALDH3A1	18.4255
ALDH3A2	1560.4592	ALDH3A2	4078.0091
ALDH3B1	377.0967	ALDH3B1	371.8593
ALDH3B2	1887.2	removed	removed
ALDH4A1	359.9299	ALDH4A1	1937.3056
ALDH5A1	640.8927	ALDH5A1	476.4298
ALDH6A1	350.4596	ALDH6A1	508.5164
ALDH7A1	1134.7234	ALDH7A1	1082.5556
ALDH8A1	6.2945	removed	removed
ALDH9A1	2922.3561	ALDH9A1	4001.9143
ALDOA	22173.742	ALDOA	13414.6925
removed	removed	ALDOB	22.4934
ALDOC	70.956	ALDOC	1197.6549
ALG10B	446.336	ALG10B	221.1055
ALG10	159.0787	ALG10	79.4448
ALG11	17.739	ALG11	14.8361
ALG12	341.0465	ALG12	387.174
ALG13	420.5858	ALG13	449.1505
ALG14	148.2064	ALG14	312.7542
ALG1	636.0116	ALG1	454.7739
ALG2	948.75	ALG2	886.0972
ALG3	618.5759	ALG3	492.9409
ALG5	534.4587	ALG5	837.0424
ALG6	501.8419	ALG6	356.066
ALG8	1026.5727	ALG8	747.308
ALG9	462.9305	ALG9	648.7198
ALKBH1	234.0403	ALKBH1	216.3197
ALKBH2	112.1562	ALKBH2	170.615
ALKBH3	91.5561	ALKBH3	356.7839
ALKBH4	201.3433	ALKBH4	190.7586
ALKBH5	1636.5652	ALKBH5	2512.5269
ALKBH6	37.7669	ALKBH6	57.6693
ALKBH7	300.4184	ALKBH7	416.3676
ALKBH8	395.9801	ALKBH8	230.1986
ALK	12.589	ALK	21.7755
ALMS1P	5.7223	removed	removed
ALMS1	1050.034	ALMS1	393.6348
ALOX15B	68.0948	ALOX15B	27.7578
ALOX5AP	711.2764	ALOX5AP	708.5427
ALOX5	617.4314	ALOX5	349.1266
ALPK1	651.765	ALPK1	366.5949
ALPK2	60.6559	ALPK2	35.4152
ALPK3	246.057	ALPK3	289.3037
ALPL	124.7452	ALPL	940.4164
ALS2CL	82.4005	ALS2CL	208.4231
removed	removed	ALS2CR11	8.8538
removed	removed	ALS2CR12	6.2216
ALS2CR4	682.6651	ALS2CR4	774.1086
ALS2CR8	189.4067	ALS2CR8	88.0593
ALS2	848.0383	ALS2	592.7255
removed	removed	ALX1	7.8966
ALX3	18.3112	ALX3	17.4683
removed	removed	ALX4	5.5037
AMACR	577.3756	AMACR	385.7382
AMBP	7.4389	removed	removed
AMBRA1	1044.3117	AMBRA1	569.7535
AMD1	1860.8777	AMD1	1951.4238
AMDHD1	10.3001	AMDHD1	28.2364
AMDHD2	170.1971	AMDHD2	206.6858
AMFR	3145.5241	AMFR	3134.7212
AMICA1	90.4116	AMICA1	462.3116
AMIGO1	105.8617	AMIGO1	118.6887
AMIGO2	661.4871	AMIGO2	393.3955
AMIGO3	46.9225	AMIGO3	39.4831
AMMECR1L	946.4611	AMMECR1L	853.7928
AMMECR1	726.7265	AMMECR1	197.6549
AMN1	145.3453	AMN1	164.3934
AMOTL1	1704.6601	AMOTL1	1793.7306
AMOTL2	1875.7555	AMOTL2	4588.179
AMOT	578.5201	AMOT	600.3829
AMPD2	643.7538	AMPD2	566.1642
AMPD3	303.8518	AMPD3	181.8617
AMPH	348.4854	AMPH	433.8358
AMT	20.6345	AMT	40.201
AMY2B	43.0142	AMY2B	215.4343
AMZ1	180.2511	removed	removed
AMZ2P1	153.9287	AMZ2P1	272.5532
AMZ2	1323.5578	AMZ2	1567.3606
ANAPC10	104.1451	ANAPC10	193.8263
ANAPC11	489.8251	ANAPC11	1028.4757
ANAPC13	690.7221	ANAPC13	1643.4147
ANAPC16	1477.4865	ANAPC16	2948.7916
ANAPC1	896.1053	ANAPC1	458.4829
ANAPC2	355.3521	ANAPC2	511.3664
ANAPC4	387.969	ANAPC4	507.5377
ANAPC5	1389.3638	ANAPC5	2126.5853
ANAPC7	857.1939	ANAPC7	861.4501
ANGEL1	694.1097	ANGEL1	402.4886
ANGEL2	1056.3285	ANGEL2	511.1271
ANGPT1	61.2281	ANGPT1	1031.3472
ANGPT2	362.2188	ANGPT2	916.0086
removed	removed	ANGPT4	41.3975
ANGPTL1	144.7731	ANGPTL1	1516.8701
ANGPTL2	2920.6395	ANGPTL2	13210.3374
ANGPTL4	115.0173	ANGPTL4	2629.5765
ANGPTL5	7.4389	ANGPTL5	239.2917
ANGPTL6	9.9624	removed	removed
ANGPTL7	9.7278	ANGPTL7	11.2467
ANG	131.8923	ANG	625.1783
ANK1	11.4445	ANK1	52.8835
ANK2	604.8425	ANK2	3813.1132
ANK3	1389.3638	ANK3	61.9765
ANKAR	13.7334	ANKAR	29.9115
ANKDD1A	36.6224	ANKDD1A	213.2089
ANKFY1	2282.0357	ANKFY1	1691.7923
ANKHD1-EIF4EBP3	829.9903	ANKHD1-EIF4EBP3	467.5138
ANKHD1	3148.7915	ANKHD1	1402.0292
ANKH	3190.1577	ANKH	1969.8492
ANKIB1	2391.903	ANKIB1	1202.4408
ANKLE2	1243.4462	ANKLE2	1461.3544
ANKMY1	109.2951	ANKMY1	134.7212
ANKMY2	499.5529	ANKMY2	525.006
ANKRA2	249.4904	ANKRA2	203.8765
ANKRD10	1609.0984	ANKRD10	1130.347
ANKRD11	1154.5166	ANKRD11	1321.6152
ANKRD12	1103.251	ANKRD12	994.9749
ANKRD13A	976.2169	ANKRD13A	1040.201
ANKRD13B	139.0508	ANKRD13B	190.7155
ANKRD13C	729.0154	ANKRD13C	700.1675
ANKRD13D	252.3515	ANKRD13D	365.877
ANKRD16	82.9727	ANKRD16	82.2039
ANKRD17	3486.5706	ANKRD17	1683.6564
ANKRD19	21.7446	ANKRD19	43.7904
ANKRD1	10.3001	removed	removed
removed	removed	ANKRD20B	5.5037
ANKRD22	21.1723	removed	removed
ANKRD23	18.8834	ANKRD23	6.9395
ANKRD24	7.4389	ANKRD24	9.0931
ANKRD26	208.2901	ANKRD26	147.643
ANKRD27	879.5107	ANKRD27	828.1886
ANKRD28	1521.5479	ANKRD28	1149.5573
ANKRD29	34.9058	ANKRD29	357.7411
removed	removed	ANKRD2	10.5288
ANKRD30A	177.3899	ANKRD30A	5.0251
ANKRD32	203.1401	ANKRD32	108.6384
ANKRD34A	7.4389	ANKRD34A	11.2467
ANKRD35	17.1668	ANKRD35	245.5133
ANKRD36BP1	238.6181	ANKRD36BP1	45.944
ANKRD36B	19.4557	ANKRD36B	12.9218
ANKRD36	94.4172	ANKRD36	88.0593
ANKRD37	48.17	ANKRD37	75.3218
ANKRD39	51.5003	ANKRD39	117.2529
ANKRD40	1375.0581	ANKRD40	3304.379
ANKRD42	386.8245	ANKRD42	174.2044
ANKRD43	81.8283	ANKRD43	27.9971
ANKRD44	147.6342	ANKRD44	83.0342
ANKRD45	7.4389	ANKRD45	7.8966
ANKRD46	1051.8708	ANKRD46	754.4867
ANKRD49	275.2405	ANKRD49	271.3568
ANKRD50	3558.0988	ANKRD50	749.2223
ANKRD52	1055.184	ANKRD52	608.9974
ANKRD53	7.4389	ANKRD53	115.3386
ANKRD54	273.5238	ANKRD54	336.2048
ANKRD56	77.2505	removed	removed
ANKRD57	972.2113	ANKRD57	528.8346
ANKRD58	12.589	ANKRD58	13.161
ANKRD5	191.6956	ANKRD5	111.5099
ANKRD6	320.1259	ANKRD6	223.7665
ANKRD9	17.1668	ANKRD9	53.362
ANKS1A	1259.4685	ANKS1A	769.3228
ANKS1B	47.4947	ANKS1B	12.6825
ANKS3	149.9231	ANKS3	131.6104
ANKS6	237.4736	ANKS6	336.2048
ANKZF1	279.8183	ANKZF1	263.4602
ANLN	889.8108	ANLN	64.1302
ANO10	896.1053	ANO10	1005.743
ANO1	5749.1506	ANO1	661.163
ANO2	153.3565	ANO2	94.2809
removed	removed	ANO3	85.9057
removed	removed	ANO4	10.5288
ANO5	10.3001	ANO5	46.9012
ANO6	3170.1298	ANO6	6668.3417
ANO7	12.0167	ANO7	6.4609
ANO8	176.2455	ANO8	116.0565
ANO9	97.2784	removed	removed
ANP32A	1765.316	ANP32A	2740.8471
