gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
HSPA2	430.3137	HSPA2	406.078
HSPA4L	468.0805	HSPA4L	35.4152
HSPA4	5126.5691	HSPA4	2055.9943
HSPA5	12531.7406	HSPA5	12286.1929
HSPA6	78.3949	HSPA6	157.9325
HSPA7	27.4668	HSPA7	91.1701
HSPA8	23168.2701	HSPA8	30271.5961
HSPA9	7328.4933	HSPA9	4150.7538
HSPB11	226.6013	HSPB11	305.5755
HSPB1	5864.1679	HSPB1	5000.2393
HSPB2	49.7836	HSPB2	942.8547
HSPB6	248.3459	HSPB6	11418.2819
HSPB7	27.4668	HSPB7	3777.9373
HSPB8	7435.4994	HSPB8	2290.2608
HSPBAP1	136.1897	HSPBAP1	200.5264
HSPBP1	346.1965	HSPBP1	375.4487
HSPC157	146.4898	HSPC157	260.5887
HSPC159	223.7402	HSPC159	670.0168
HSPD1	5746.2895	HSPD1	4889.6865
HSPE1	1260.613	HSPE1	1108.8777
HSPG2	12944.7788	HSPG2	15506.5016
HSPH1	6166.8753	HSPH1	1921.0337
HTATIP2	246.6292	HTATIP2	783.2017
HTATSF1	1665.7487	HTATSF1	2378.3202
HTR1B	5.7223	removed	removed
HTR1D	7.4389	removed	removed
HTR1F	17.739	HTR1F	13.8789
removed	removed	HTR2A	11.486
HTR2B	167.0899	HTR2B	281.8856
HTR7P1	130.4674	HTR7P1	194.7834
HTR7	65.8059	HTR7	39.4831
HTRA1	12514.0016	HTRA1	14901.1725
HTRA2	446.1815	HTRA2	779.7009
HTRA3	5537.4271	HTRA3	6614.5011
HTRA4	19.4557	HTRA4	8.6145
HTT	2031.4009	HTT	1696.8174
HUNK	152.7842	HUNK	342.1871
HUS1	295.8406	HUS1	250.0598
HUWE1	8232.0375	HUWE1	3195.9799
HVCN1	121.3977	HVCN1	260.1436
HYAL1	32.0446	HYAL1	315.6257
HYAL2	971.0668	HYAL2	1943.0486
HYAL3	47.6492	HYAL3	43.1443
HYDIN	14.8779	HYDIN	10.7681
HYI	111.0919	HYI	611.8378
HYLS1	98.995	HYLS1	126.5853
HYOU1	2364.4362	HYOU1	1577.1716
IAH1	363.3633	IAH1	979.4209
IARS2	3996.4236	IARS2	3015.0754
IARS	3531.2042	IARS	1810.2417
IBSP	14.8779	removed	removed
IBTK	2194.4852	IBTK	1254.6064
ICA1L	66.3782	ICA1L	136.8749
ICA1	434.3192	ICA1	424.2642
ICAM1	1444.8696	ICAM1	1869.8253
ICAM2	187.6614	ICAM2	1832.1752
ICAM3	185.4011	ICAM3	367.552
removed	removed	ICAM4	12.9218
ICK	962.4835	ICK	751.8545
ICMT	3082.5793	ICMT	3139.7464
ICOSLG	271.2349	ICOSLG	158.8897
ICOS	28.6113	ICOS	8.1359
ICT1	195.7012	ICT1	326.1546
ID1	206.5734	ID1	2359.6554
removed	removed	ID2B	8.1359
ID2	1016.2727	ID2	2224.4556
ID3	696.3986	ID3	3090.213
ID4	168.2343	ID4	1201.005
IDE	702.1208	IDE	375.4487
IDH1	1511.82	IDH1	4284.2785
IDH2	1621.1151	IDH2	614.7404
IDH3A	745.61	IDH3A	1284.9964
IDH3B	714.1375	IDH3B	1537.4492
IDH3G	523.5864	IDH3G	814.5489
IDI1	610.4674	IDI1	911.4262
IDI2	52.6448	IDI2	72.2661
IDO1	77.2505	IDO1	117.2529
IDS	6191.6412	IDS	2935.9009
IDUA	107.5784	IDUA	154.5824
IER2	1052.8951	IER2	4873.8933
IER3IP1	1048.8895	IER3IP1	1366.3556
IER3	932.1555	IER3	940.1771
IER5L	286.685	IER5L	236.4202
IER5	624.2981	IER5	702.0818
IFFO1	208.2901	IFFO1	379.2773
IFFO2	515.5753	IFFO2	292.4145
IFI16	3282.286	IFI16	5762.3833
IFI27L1	32.0446	IFI27L1	138.7892
IFI27L2	105.2895	IFI27L2	531.7061
IFI27	822.2882	IFI27	2632.9265
IFI30	4136.2984	IFI30	4732.2326
IFI35	317.5852	IFI35	751.6152
IFI44L	555.6311	IFI44L	509.6913
IFI44	350.2021	IFI44	430.2465
IFI6	1298.3799	IFI6	1135.4391
IFIH1	770.7879	IFIH1	493.1802
IFIT1	712.4209	IFIT1	1085.4271
IFIT2	587.6757	IFIT2	474.7547
IFIT3	749.0433	IFIT3	1094.5202
IFIT5	567.6478	IFIT5	847.8105
IFITM1	5514.5381	IFITM1	5370.1843
IFITM2	2221.952	IFITM2	5739.1721
IFITM3	8290.9767	IFITM3	12925.341
IFNAR1	2093.2012	IFNAR1	2744.9151
IFNAR2	468.6356	IFNAR2	847.0878
IFNGR1	1781.9105	IFNGR1	4208.1838
IFNGR2	1864.8832	IFNGR2	3222.5365
IFRD1	500.1252	IFRD1	712.1321
IFRD2	544.1865	IFRD2	830.5719
IFT122	841.1716	IFT122	559.464
IFT140	645.4705	IFT140	295.7645
IFT172	585.3868	IFT172	384.5418
IFT20	401.1073	IFT20	486.1354
IFT27	276.9572	IFT27	333.3333
IFT46	436.6081	IFT46	595.1184
IFT52	844.605	IFT52	975.8315
IFT57	621.437	IFT57	852.8356
IFT74	347.3581	IFT74	256.2814
IFT80	668.2737	IFT80	388.2508
IFT81	272.9516	IFT81	133.5248
IFT88	297.5573	IFT88	247.6669
IGBP1	1002.5393	IGBP1	1902.6083
IGDCC3	139.0508	removed	removed
IGDCC4	120.7396	IGDCC4	114.86
IGF1R	2062.8733	IGF1R	753.5296
IGF1	1601.0872	IGF1	2831.0601
removed	removed	IGF2AS	6.8964
IGF2BP2	65.8059	IGF2BP2	119.4066
IGF2BP3	10.8723	IGF2BP3	13.8789
IGF2R	3356.6754	IGF2R	3219.6698
IGF2	3020.3383	IGF2	9835.8674
IGFALS	14.8779	removed	removed
IGFBP2	544.1865	IGFBP2	787.7483
IGFBP3	2765.5663	IGFBP3	7371.8593
IGFBP4	16659.2039	IGFBP4	35275.4247
IGFBP5	16728.4432	IGFBP5	28620.0048
IGFBP6	175.6733	IGFBP6	5330.2225
IGFBP7	6899.3241	IGFBP7	12779.8516
IGFBPL1	5.15	removed	removed
IGFL2	103.0006	removed	removed
removed	removed	IGFN1	7.6573
IGHMBP2	239.7625	IGHMBP2	256.5207
IGJ	113.3007	IGJ	1191.9119
IGLON5	5.7223	IGLON5	14.5968
IGSF10	78.9671	IGSF10	453.4578
IGSF11	12.0167	removed	removed
IGSF1	11.4445	IGSF1	51.9263
IGSF21	75.5338	IGSF21	18.6648
IGSF22	5.7337	IGSF22	5.3242
IGSF3	2421.0865	IGSF3	295.0467
IGSF5	5.15	removed	removed
IGSF6	224.8847	IGSF6	265.8531
IGSF8	690.1041	IGSF8	511.8449
IGSF9B	47.4947	removed	removed
IGSF9	759.9156	removed	removed
IKBIP	486.964	IKBIP	766.9299
IKBKAP	1162.7624	IKBKAP	838.2388
IKBKB	2722.0772	IKBKB	831.2994
IKBKE	222.5958	IKBKE	118.6887
IKBKG	220.3069	IKBKG	392.1991
IKZF1	472.6583	IKZF1	352.716
IKZF2	620.2926	IKZF2	127.3032
IKZF3	36.6224	removed	removed
IKZF4	246.6292	IKZF4	179.2295
IKZF5	576.2312	IKZF5	585.3075
IK	1527.2701	IK	2033.7401
IL10RA	612.8536	IL10RA	1793.9698
IL10RB	667.7873	IL10RB	1297.6789
IL10	31.4724	IL10	155.3003
IL11RA	164.2287	IL11RA	837.2816
IL11	12.589	IL11	49.5334
IL12B	5.15	removed	removed
IL12RB1	41.2002	IL12RB1	53.362
IL12RB2	11.4445	IL12RB2	55.2764
IL13RA1	9803.369	IL13RA1	4968.1742
removed	removed	IL13RA2	9.5717
removed	removed	IL13	12.9218
IL15RA	148.7787	IL15RA	357.0232
IL15	31.4724	IL15	144.2929
IL16	766.2101	IL16	849.9641
IL17D	15.0724	IL17D	199.1816
IL17RA	318.7297	IL17RA	326.8725
IL17RB	75.5338	IL17RB	15.3147
IL17RC	381.6745	IL17RC	435.9895
IL17RD	1006.5448	IL17RD	580.5217
IL17RE	248.9181	IL17RE	211.7732
IL18BP	163.0614	IL18BP	364.2163
IL18R1	69.8115	IL18R1	118.6887
removed	removed	IL18RAP	23.2113
IL18	185.9733	IL18	176.358
IL1A	5.15	removed	removed
IL1B	87.5505	IL1B	206.0302
IL1F5	6.2945	removed	removed
IL1R1	1610.8151	IL1R1	5349.1266
removed	removed	IL1R2	48.8155
IL1RAPL2	5.15	removed	removed
IL1RAP	263.796	IL1RAP	206.748
IL1RL1	68.6671	IL1RL1	42.8332
IL1RL2	9.7278	IL1RL2	5.0251
IL1RN	566.5033	IL1RN	812.8739
IL20RA	318.7297	IL20RA	55.5157
IL20RB	11.4445	IL20RB	73.7018
IL20	5.15	removed	removed
IL21R	82.9727	IL21R	15.9727
removed	removed	IL22RA1	8.1359
IL23A	6.8667	IL23A	5.0251
IL27RA	216.8735	IL27RA	462.3116
IL28RA	90.9839	IL28RA	17.4683
IL2RA	29.7557	IL2RA	54.7978
IL2RB	274.0961	IL2RB	222.7806
IL2RG	446.9082	IL2RG	428.3321
IL32	896.6775	IL32	1256.9993
IL33	267.2294	IL33	2961.7133
IL34	52.6448	IL34	126.8246
IL3RA	139.0508	IL3RA	750.4188
IL4I1	170.2943	IL4I1	66.9993
IL4R	1027.7172	IL4R	1360.6126
IL6R	225.4569	IL6R	397.2242
IL6ST	7069.2751	IL6ST	1390.7633
IL6	12.589	IL6	735.1041
IL7R	140.7675	IL7R	49.2941
IL7	13.1612	IL7	41.3975
IL8	141.9119	IL8	247.1883
ILDR1	169.3788	removed	removed
ILF2	3803.5836	ILF2	3279.732
ILF3	4025.0349	ILF3	2885.8579
ILKAP	306.7129	ILKAP	379.7559
ILK	2835.9501	ILK	3935.6305
ILVBL	687.8152	ILVBL	1067.0017
IMMP1L	74.4809	IMMP1L	60.9428
IMMP2L	133.9008	IMMP2L	214.1661
IMMT	1941.5615	IMMT	2012.9218
IMP3	566.5033	IMP3	1136.6356
IMP4	368.5133	IMP4	576.693
IMPA1	704.4097	IMPA1	485.0443
IMPA2	168.8066	IMPA2	614.2618
IMPACT	1223.9906	IMPACT	905.7191
IMPAD1	4089.6964	IMPAD1	3753.7688
IMPDH1	1100.9621	IMPDH1	1619.7655
IMPDH2	3685.1329	IMPDH2	2939.4592
IMPG1	13.7334	removed	removed
IMPG2	5.7223	removed	removed
INADL	2281.4635	INADL	199.33
INCA1	7.4389	INCA1	16.0325
INCENP	326.7408	INCENP	111.9885
INE1	7.4389	INE1	7.1788
removed	removed	INE2	22.1991
INF2	725.5821	INF2	2398.8993
ING1	324.1372	ING1	352.156
ING2	167.0899	ING2	282.1249
ING3	267.2294	ING3	404.8816
ING4	754.7656	ING4	719.0715
ING5	143.0564	ING5	283.3214
INHBA	555.0588	INHBA	28.715
INHBB	854.905	INHBB	1124.9103
INMT	108.7229	INMT	1012.1823
INO80B	75.5738	INO80B	79.7894
INO80C	132.1841	INO80C	257.4779
INO80D	699.2597	INO80D	356.9897
INO80E	403.3675	INO80E	465.5875
INO80	896.1053	INO80	683.4171
INPP1	204.8568	INPP1	829.385
INPP4A	732.4488	INPP4A	620.962
INPP4B	2487.4647	INPP4B	111.9885
INPP5A	309.0018	INPP5A	816.9419
INPP5B	457.2083	INPP5B	480.9763
INPP5D	572.7978	INPP5D	681.742
INPP5E	185.4011	INPP5E	262.9816
INPP5F	850.8995	INPP5F	395.7885
INPP5J	1272.0575	INPP5J	12.4432
INPP5K	508.7086	INPP5K	1777.9373
INPPL1	1561.0314	INPPL1	1230.1986
INSIG1	1093.5231	INSIG1	2017.229
INSIG2	719.2876	INSIG2	557.5497
INSM1	86.4061	removed	removed
INSRR	9.1556	removed	removed
INSR	2236.8299	INSR	1391.0026
INTS10	735.3099	INTS10	1298.1575
INTS12	513.8586	INTS12	494.6159
INTS1	1928.9725	INTS1	1173.2472
INTS2	378.8133	INTS2	255.8028
INTS3	1932.9781	INTS3	1317.0615
INTS4L1	21.7446	INTS4L1	14.1182
INTS4L2	5.7223	INTS4L2	9.0931
INTS4	605.2545	INTS4	333.2161
INTS5	785.0935	INTS5	552.2852
INTS6	1016.2727	INTS6	609.9545
INTS7	881.7996	INTS7	349.6052
INTS8	2050.8737	INTS8	672.3666
INTS9	426.8803	INTS9	387.8918
INTU	65.2337	INTU	68.916
INVS	288.4017	INVS	244.0775
IP6K1	1804.7995	IP6K1	1262.7423
IP6K2	900.6831	IP6K2	1120.3637
IPCEF1	48.067	IPCEF1	25.6042
IPMK	88.1227	IPMK	38.526
IPO11	1059.2697	IPO11	1056.1689
IPO13	918.4221	IPO13	684.3743
IPO4	894.2913	IPO4	454.7356
IPO5	5112.8357	IPO5	4847.8105
IPO7	7154.5367	IPO7	2905.7191
IPO8	1648.0097	IPO8	1559.7033
IPO9	2941.2396	IPO9	1474.7547
IPPK	519.8441	IPPK	262.0244
IPP	460.6416	IPP	193.3477
IPW	488.818	IPW	156.8964
IQCA1	38.3391	IQCA1	22.972
IQCB1	345.052	IQCB1	268.4853
IQCC	90.9839	IQCC	43.3118
IQCD	5.15	IQCD	15.7933
IQCE	711.2764	IQCE	415.889
IQCG	179.6788	IQCG	271.8354
IQCH	42.3447	IQCH	9.811
IQCK	413.7191	IQCK	364.9198
IQGAP1	11260.8276	IQGAP1	6482.4121
IQGAP2	1083.2231	IQGAP2	1016.2718
IQGAP3	375.38	IQGAP3	29.1936
IQSEC1	2070.8844	IQSEC1	2182.8189
IQSEC2	408.5691	IQSEC2	410.146
IQSEC3	16.5945	IQSEC3	139.2678
IQUB	25.1779	IQUB	5.5037
IRAK1BP1	34.1333	IRAK1BP1	33.6157
IRAK1	1635.993	IRAK1	2152.1895
IRAK2	145.9175	IRAK2	204.1158
IRAK3	1724.1157	IRAK3	679.8277
IRAK4	790.2436	IRAK4	526.681
IREB2	1203.3904	IREB2	1200.0479
IRF1	892.649	IRF1	981.5123
IRF2BP1	331.8908	IRF2BP1	351.0409
IRF2BP2	4973.7849	IRF2BP2	3532.6633
IRF2	795.3936	IRF2	810.2417
IRF3	358.1331	IRF3	569.9067
IRF4	46.3503	IRF4	184.4939
IRF5	269.5183	IRF5	344.58
IRF6	870.3551	IRF6	39.9617
IRF7	374.2355	IRF7	196.9371
IRF8	440.6137	IRF8	634.6016
IRF9	777.0824	IRF9	976.0325
IRGQ	801.6881	IRGQ	532.6633
IRS1	1245.1629	IRS1	1079.6841
IRS2	573.3701	IRS2	1418.5212
IRX1	18.3112	IRX1	44.269
IRX2	453.2027	IRX2	123.4745
IRX3	585.3868	IRX3	97.1524
IRX5	725.0098	IRX5	59.105
IRX6	28.6113	IRX6	182.101
ISCA1P1	85.2616	ISCA1P1	107.6813
ISCA1	1177.0681	ISCA1	1345.0586
ISCA2	232.8958	ISCA2	310.6006
ISCU	949.3223	ISCU	2714.2857
ISG15	272.9516	ISG15	391.4812
ISG20L2	938.45	ISG20L2	502.9911
ISG20	82.9727	ISG20	62.2158
ISLR2	100.1395	ISLR2	93.3238
ISLR	6138.8362	ISLR	7877.2434
ISM1	207.1457	ISM1	603.2544
ISOC1	1110.6899	ISOC1	964.5848
ISOC2	462.3583	ISOC2	737.0184
ISPD	44.6336	ISPD	48.0976
ISY1	473.8028	ISY1	751.9215
ISYNA1	512.7141	ISYNA1	407.5138
ITCH	2018.8119	ITCH	1355.8268
ITFG1	4740.8891	ITFG1	1201.005
ITFG2	297.5573	ITFG2	397.9421
ITFG3	2033.6898	ITFG3	2206.9801
ITGA10	92.7005	ITGA10	31.1079
ITGA11	2542.9706	ITGA11	1184.4939
ITGA1	1210.3888	ITGA1	1716.157
removed	removed	ITGA2B	9.0931
ITGA2	513.8586	ITGA2	168.9399
ITGA3	1021.4227	ITGA3	1147.8823
ITGA4	698.985	ITGA4	259.6052
ITGA5	3372.6977	ITGA5	4832.2565
ITGA6	6003.2188	ITGA6	3119.4066
ITGA7	125.3174	ITGA7	4710.457
ITGA8	185.9733	ITGA8	63.8909
ITGA9	218.5902	ITGA9	377.363
removed	removed	ITGAD	13.4003
ITGAE	177.3899	ITGAE	535.2955
ITGAL	484.1029	ITGAL	236.6595
ITGAM	734.7377	ITGAM	959.3204
ITGAV	8567.9339	ITGAV	3567.8392
ITGAX	781.6602	ITGAX	421.1534
ITGB1BP1	810.2714	ITGB1BP1	5785.1161
ITGB1	19975.8235	ITGB1	30952.1417
ITGB2	2698.4672	ITGB2	3309.4448
ITGB3BP	325.5964	ITGB3BP	242.1632
ITGB3	207.7179	ITGB3	519.9809
ITGB4	787.9547	ITGB4	1039.4831
ITGB5	6839.2404	ITGB5	10126.8246
ITGB6	304.424	removed	removed
ITGB7	85.2616	ITGB7	94.2809
ITGB8	769.6434	ITGB8	69.6339
ITGBL1	1936.4114	ITGBL1	728.6432
ITIH3	26.8946	ITIH3	29.9115
ITIH4	49.7836	ITIH4	18.4255
ITIH5L	119.5952	removed	removed
ITIH5	361.6466	ITIH5	12520.6987
ITK	97.2784	ITK	55.0371
removed	removed	ITLN1	27.2793
ITM2A	489.8251	ITM2A	5129.6961
ITM2B	13173.7778	ITM2B	28378.7988
ITM2C	533.8865	ITM2C	1136.6356
ITPA	529.8809	ITPA	644.1732
ITPK1	1721.8268	ITPK1	3259.8708
ITPKB	1364.7581	ITPKB	1822.2063
ITPKC	747.3266	ITPKC	807.8488
removed	removed	ITPR1	915.0514
ITPR2	1070.0619	ITPR2	1188.3226
ITPR3	786.6729	ITPR3	585.8866
ITPRIPL1	13.7334	ITPRIPL1	58.1479
ITPRIPL2	5492.7935	ITPRIPL2	2637.7124
ITPRIP	748.4711	ITPRIP	834.6494
ITSN1	1134.1511	ITSN1	3546.5422
ITSN2	1131.29	ITSN2	1185.6904
IVD	938.45	IVD	976.0708
IVNS1ABP	2201.3519	IVNS1ABP	2072.2661
IWS1	998.5337	IWS1	1231.8737
IYD	7.4389	removed	removed
JAG1	2019.9564	JAG1	3100.0239
JAG2	535.6032	JAG2	665.4702
JAGN1	454.3471	JAGN1	966.4992
JAK1	5987.1965	JAK1	7558.0282
JAK2	812.5604	JAK2	639.6267
JAK3	175.6733	JAK3	209.1409
JAKMIP2	10.4946	JAKMIP2	14.8361
JAKMIP3	5.15	JAKMIP3	21.7755
JAM2	307.8574	JAM2	1195.0227
JAM3	1149.6012	JAM3	1407.9923
JARID2	785.0935	JARID2	298.636
JAZF1	422.3025	JAZF1	1180.9045
JDP2	290.1184	JDP2	1621.2012
JHDM1D	1603.3761	JHDM1D	772.9122
JKAMP	904.1164	JKAMP	977.9852
JMJD1C	1849.7421	JMJD1C	1387.4492
JMJD4	340.5486	JMJD4	358.5092
JMJD5	61.8004	JMJD5	70.8303
JMJD6	374.2355	JMJD6	515.6736
JMJD7-PLA2G4B	153.3565	JMJD7-PLA2G4B	252.692
JMJD8	1050.1885	JMJD8	1510.6987
JMY	1115.2677	JMY	450.5863
JOSD1	1561.0314	JOSD1	1738.6935
JOSD2	139.0508	JOSD2	217.2769
JPH1	845.1772	JPH1	16.0325
JPH2	40.0558	JPH2	63.8909
JPH3	41.2002	JPH3	7.1788
JPH4	19.4557	JPH4	29.6722
JRKL	433.1748	JRKL	311.0792
JRK	410.2858	JRK	251.017
JTB	2439.97	JTB	2831.5386
JUB	640.8927	JUB	195.9799
JUNB	1625.1207	JUNB	10666.1881
JUND	1761.8826	JUND	5094.2809
JUN	2225.9576	JUN	7991.1462
JUP	6701.334	JUP	1737.0184
KAL1	605.4147	KAL1	500.1196
KALRN	228.318	KALRN	480.737
KANK1	994.5281	KANK1	2758.794
KANK2	1771.6105	KANK2	4095.956
KANK3	56.6503	KANK3	626.2264
KANK4	600.8369	KANK4	301.029
KARS	1917.528	KARS	3223.977
KAT2A	501.2696	KAT2A	314.4293
KAT2B	369.0855	KAT2B	1245.9919
KAT5	701.6516	KAT5	862.716
KATNA1	248.9181	KATNA1	456.5686
KATNAL1	524.7309	KATNAL1	646.8055
KATNAL2	34.9058	KATNAL2	97.3917
KATNB1	193.4123	KATNB1	302.704
KAZALD1	25.1779	KAZALD1	196.3197
KAZ	479.8169	KAZ	549.0955
KBTBD10	13.5789	KBTBD10	18.9304
KBTBD11	166.5176	KBTBD11	198.1335
removed	removed	KBTBD12	11.2467
KBTBD2	1644.5764	KBTBD2	1879.6363
KBTBD3	203.1401	KBTBD3	167.9828
KBTBD4	550.172	KBTBD4	308.9136
KBTBD6	524.7309	KBTBD6	368.9878
KBTBD7	224.8847	KBTBD7	105.0491
KBTBD8	65.2337	KBTBD8	54.3192
KCMF1	1114.6955	KCMF1	1513.9986
KCNA1	37.1947	KCNA1	164.1541
removed	removed	KCNA2	16.5111
KCNA3	26.3224	KCNA3	14.3575
removed	removed	KCNA4	13.6396
KCNA5	6.8667	KCNA5	25.6042
KCNA6	29.1835	KCNA6	234.9844
KCNAB1	57.7948	KCNAB1	434.793
KCNAB2	374.8078	KCNAB2	504.4269
KCNB1	9.7278	KCNB1	75.6162
removed	removed	KCNB2	37.0902
KCNC1	63.517	removed	removed
KCNC3	422.3025	KCNC3	11.9646
KCNC4	76.6782	KCNC4	151.4716
KCND1	54.3614	KCND1	93.3238
KCND2	407.9969	KCND2	263.4602
KCND3	18.3112	KCND3	20.3398
removed	removed	KCNE1L	21.0577
removed	removed	KCNE1	9.3324
KCNE2	5.7223	KCNE2	9.0931
KCNE3	172.8121	KCNE3	503.9483
KCNE4	4387.8259	KCNE4	270.8782
KCNF1	125.8896	removed	removed
KCNG1	42.3447	removed	removed
KCNH1	86.9783	KCNH1	5.9823
KCNH2	11.4445	removed	removed
removed	removed	KCNH4	8.8538
removed	removed	KCNIP1	11.7253
KCNIP2	18.8834	KCNIP2	4626.4657
KCNIP3	46.9225	KCNIP3	127.0639
KCNIP4	24.0335	KCNIP4	19.6219
KCNJ10	8.5834	removed	removed
KCNJ11	120.7396	KCNJ11	23.6899
KCNJ12	40.0558	KCNJ12	212.7303
KCNJ13	8.0112	removed	removed
KCNJ14	13.1612	KCNJ14	14.5968
KCNJ15	72.6727	KCNJ15	134.2426
removed	removed	KCNJ16	19.8612
KCNJ2	207.7179	KCNJ2	304.8576
KCNJ5	146.4898	KCNJ5	180.6652
KCNJ6	10.8723	removed	removed
KCNJ8	238.6181	KCNJ8	1381.1917
KCNK13	66.3782	KCNK13	32.3044
KCNK15	81.8283	KCNK15	12.2039
removed	removed	KCNK17	5.5037
KCNK1	469.225	KCNK1	90.4523
KCNK2	1554.1647	KCNK2	83.0342
KCNK3	26.8946	KCNK3	44.7475
KCNK5	32.0446	KCNK5	99.3061
KCNK6	311.863	KCNK6	143.8143
removed	removed	KCNK7	11.7253
KCNMA1	596.8313	KCNMA1	451.7827
KCNMB1	62.9448	KCNMB1	65.0873
KCNMB3	28.6113	KCNMB3	63.8909
KCNMB4	115.5896	KCNMB4	98.5882
KCNN2	33.1891	KCNN2	5.5037
KCNN3	46.3503	KCNN3	24.647
KCNN4	120.7396	KCNN4	94.5202
KCNQ1OT1	127.0341	KCNQ1OT1	43.5511
KCNQ1	147.6342	KCNQ1	290.7394
KCNQ3	41.7725	removed	removed
KCNQ4	8.0112	KCNQ4	9.811
KCNQ5	6.8667	removed	removed
removed	removed	KCNRG	7.7818
KCNS2	9.1556	KCNS2	5.0251
KCNS3	565.3589	KCNS3	171.8114
KCNT2	17.739	KCNT2	51.687
removed	removed	KCP	39.2582
KCTD10	1863.1666	KCTD10	2826.9921
KCTD11	347.3409	KCTD11	497.7267
KCTD12	5180.3584	KCTD12	11735.3434
KCTD13	169.951	KCTD13	103.1347
KCTD14	25.1779	KCTD14	50.012
KCTD15	776.5101	KCTD15	566.882
KCTD16	11.4445	KCTD16	10.5288
KCTD17	129.323	KCTD17	207.9445
KCTD18	457.7805	KCTD18	459.4401
KCTD1	346.7687	KCTD1	192.3905
KCTD20	3076.2848	KCTD20	2508.7341
KCTD21	727.2987	KCTD21	482.6514
KCTD2	965.9168	KCTD2	1146.9251
KCTD3	7439.505	KCTD3	1408.2316
KCTD5	601.9813	KCTD5	523.8095
KCTD6	173.9566	KCTD6	274.9462
KCTD7	624.0292	KCTD7	332.5963
KCTD9	541.8976	KCTD9	866.9538
KDELC1	324.4519	KDELC1	307.4898
KDELC2	1296.6632	KDELC2	1813.8311
KDELR1	4625.8717	KDELR1	3316.5829
KDELR2	8852.33	KDELR2	6852.1177
KDELR3	864.0607	KDELR3	1358.459
KDM1A	2014.2341	KDM1A	1183.0581
KDM1B	779.9435	KDM1B	406.078
KDM2A	4117.1632	KDM2A	1913.1371
KDM2B	486.1228	KDM2B	501.4693
KDM3A	1231.4295	KDM3A	854.7499
KDM3B	3172.991	KDM3B	1499.6411
KDM4A	1148.4568	KDM4A	909.787
KDM4B	2164.7294	KDM4B	519.9809
KDM4C	560.7811	KDM4C	426.4178
KDM4D	38.3391	KDM4D	23.9292
KDM5A	2623.6544	KDM5A	1144.0536
KDM5B	3849.3616	KDM5B	1103.6133
KDM5C	2464.0034	KDM5C	1485.2836
KDM6A	1351.0246	KDM6A	597.2721
KDM6B	544.7588	KDM6B	620.962
KDR	1475.1976	KDR	2394.592
KDSR	2060.5844	KDSR	2348.4087
KEAP1	1047.1728	KEAP1	1544.3886
KERA	108.1506	KERA	65.0873
KGFLP2	179.7475	KGFLP2	49.6865
removed	removed	KHDC1	20.8184
KHDRBS1	3682.2717	KHDRBS1	3413.7353
KHDRBS3	674.0818	KHDRBS3	564.7284
KHK	97.4958	KHK	170.0957
KHNYN	1176.5759	KHNYN	1497.9971
KHSRP	2043.9898	KHSRP	1329.5047
KIAA0020	628.3037	KIAA0020	619.5262
KIAA0040	3547.7987	KIAA0040	1480.0191
KIAA0087	8.0112	removed	removed
KIAA0090	1133.5789	KIAA0090	885.6186
KIAA0100	6268.3938	KIAA0100	4725.6234
KIAA0101	129.323	KIAA0101	29.6722
KIAA0114	563.6422	KIAA0114	256.9993
KIAA0141	973.928	KIAA0141	1162.7184
KIAA0146	1972.4616	KIAA0146	717.1572
KIAA0174	2268.3023	KIAA0174	3262.0244
KIAA0182	1067.773	KIAA0182	1805.2166
KIAA0195	1773.9509	KIAA0195	1240.5815
KIAA0196	8024.8918	KIAA0196	1526.2024
KIAA0226	674.0818	KIAA0226	548.2173
KIAA0232	2442.2589	KIAA0232	1495.3338
KIAA0240	1409.9639	KIAA0240	591.0505
KIAA0247	3105.4683	KIAA0247	1195.0227
KIAA0284	706.6986	KIAA0284	472.8404
KIAA0317	1043.7395	KIAA0317	569.7535
KIAA0319L	2395.9086	KIAA0319L	970.3278
KIAA0355	1084.3675	KIAA0355	1244.7954
KIAA0368	3395.5867	KIAA0368	2920.0766
KIAA0391	705.5427	KIAA0391	536.0373
KIAA0406	793.6769	KIAA0406	392.6777
KIAA0408	18.3112	KIAA0408	468.8107
KIAA0415	394.8357	KIAA0415	386.6954
KIAA0427	833.1605	KIAA0427	1847.5712
KIAA0430	3833.9115	KIAA0430	2071.7875
KIAA0467	885.8567	KIAA0467	591.9048
KIAA0494	5525.5534	KIAA0494	4784.19
KIAA0495	437.7526	KIAA0495	429.2893
KIAA0513	689.5318	KIAA0513	373.7736
KIAA0528	1180.5014	KIAA0528	907.1548
KIAA0556	645.4705	KIAA0556	262.7423
KIAA0562	760.4878	KIAA0562	683.6564
KIAA0564	473.2306	KIAA0564	497.4874
KIAA0586	498.9807	KIAA0586	258.1957
KIAA0649	374.2355	KIAA0649	308.6863
KIAA0652	2186.474	KIAA0652	1945.6808
KIAA0664P3	21.7446	removed	removed
KIAA0664	731.3043	KIAA0664	964.3455
KIAA0748	49.2114	KIAA0748	29.9115
KIAA0753	340.4742	KIAA0753	232.8308
KIAA0754	254.0682	KIAA0754	128.2603
KIAA0776	1831.1219	KIAA0776	822.2063
KIAA0802	154.5009	KIAA0802	53.8406
