gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ANKFY1	1830.3505	ANKFY1	2694.3135
ANKHD1-EIF4EBP3	853.1399	ANKHD1-EIF4EBP3	934.1784
ANKHD1	3083.8505	ANKHD1	3698.181
ANKH	2284.8671	ANKH	2249.4502
ANKIB1	1180.1334	ANKIB1	1582.7835
ANKK1	12.2842	ANKK1	72.2589
ANKLE1	22.8741	ANKLE1	11.9384
ANKLE2	1751.1384	ANKLE2	1671.065
ANKMY1	135.1265	ANKMY1	285.8938
ANKMY2	235.0948	ANKMY2	764.3732
ANKRA2	334.2158	ANKRA2	410.9331
ANKRD10	1909.7321	ANKRD10	1723.3773
ANKRD11	4488.7472	ANKRD11	2894.4518
ANKRD12	1474.1078	ANKRD12	2418.7873
ANKRD13A	1938.367	ANKRD13A	1568.0176
ANKRD13B	160.1186	ANKRD13B	95.8216
ANKRD13C	492.2165	ANKRD13C	718.8187
ANKRD13D	533.7287	ANKRD13D	455.8593
ANKRD16	165.4432	ANKRD16	222.8872
ANKRD17	2780.0487	ANKRD17	4075.7147
ANKRD19	20.7561	ANKRD19	53.4087
removed	removed	ANKRD1	5.9692
ANKRD20A3	11.0134	ANKRD20A3	61.263
removed	removed	ANKRD20B	18.536
ANKRD22	125.8075	ANKRD22	104.3041
ANKRD23	50.8313	ANKRD23	73.5156
ANKRD24	8.0483	ANKRD24	34.2444
ANKRD26	338.0282	ANKRD26	430.7257
ANKRD27	1409.2979	ANKRD27	857.3673
ANKRD28	2774.1184	ANKRD28	1409.3622
ANKRD29	37.6999	ANKRD29	334.9042
ANKRD30A	41.0886	ANKRD30A	1480.0503
ANKRD30B	8.8955	ANKRD30B	198.869
removed	removed	ANKRD31	10.9959
ANKRD32	249.0734	ANKRD32	220.2325
ANKRD34A	22.0269	ANKRD34A	18.2218
ANKRD35	71.1638	ANKRD35	168.3946
ANKRD36BP1	754.8449	ANKRD36BP1	236.8834
ANKRD36B	97.8503	ANKRD36B	94.879
ANKRD36	475.2727	ANKRD36	515.5514
ANKRD37	40.6312	ANKRD37	132.0107
ANKRD39	127.9254	ANKRD39	108.3883
ANKRD40	1601.1861	ANKRD40	2024.191
ANKRD42	112.6761	ANKRD42	319.8241
ANKRD43	14.8258	ANKRD43	82.3123
ANKRD44	52.1021	ANKRD44	165.8812
ANKRD45	17.3674	ANKRD45	20.421
ANKRD46	615.2367	ANKRD46	603.5187
ANKRD49	363.4438	ANKRD49	398.0522
ANKRD50	930.6365	ANKRD50	1941.8787
ANKRD52	1225.0344	ANKRD52	1557.9642
ANKRD53	7.2011	ANKRD53	54.9796
