gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
LEFTY2	202.0544	LEFTY2	28.2752
LEKR1	46.1718	LEKR1	36.4436
removed	removed	LEMD1	5.655
LEMD2	994.1756	LEMD2	672.0075
LEMD3	1021.7092	LEMD3	990.8891
LENG1	104.6278	LENG1	105.875
LENG8	4520.5295	LENG8	4913.0474
LENG9	64.0305	LENG9	76.585
LEO1	352.854	LEO1	477.5369
LEPRE1	356.2427	LEPRE1	418.159
LEPREL1	170.2849	LEPREL1	688.6585
LEPREL2	176.2152	LEPREL2	339.3025
LEPROTL1	929.7893	LEPROTL1	720.7037
LEPROT	624.7082	LEPROT	1451.2347
LEPR	319.9068	LEPR	3036.3556
LEP	374.8809	LEP	1733.5847
LETM1	768.3999	LETM1	758.0899
LETM2	10.1663	LETM2	32.3594
LETMD1	786.6144	LETMD1	1372.2903
LFNG	212.6443	LFNG	566.4467
LGALS12	40.2414	LGALS12	365.6927
LGALS14	8.0483	removed	removed
LGALS1	3365.4559	LGALS1	4202.9532
LGALS2	31.7696	LGALS2	29.2177
LGALS3BP	16047.8661	LGALS3BP	5503.6129
LGALS3	2483.5328	LGALS3	4800.1885
removed	removed	LGALS4	12.8809
removed	removed	LGALS7B	41.4703
removed	removed	LGALS7	7.5401
LGALS8	576.0881	LGALS8	1267.3358
LGALS9B	19.9089	removed	removed
LGALS9C	84.2952	LGALS9C	5.9692
LGALS9	1032.7227	LGALS9	330.82
LGI2	56.338	LGI2	64.7188
LGI4	55.0672	LGI4	170.9079
LGMN	2694.9063	LGMN	1612.0013
LGR4	1275.4421	LGR4	1996.8583
LGR5	65.6571	LGR5	47.7537
LGR6	3027.8513	LGR6	1643.7323
LGTN	2127.2901	LGTN	1331.1342
removed	removed	LHCGR	5.0267
LHFPL1	31.346	LHFPL1	27.0185
LHFPL2	2342.8995	LHFPL2	1899.4659
LHFPL5	23.2977	removed	removed
LHFP	547.7073	LHFP	2978.6365
LHPP	475.2727	LHPP	269.8712
LHX2	5.9303	removed	removed
LHX4	7.756	LHX4	6.2991
LHX6	158.8478	LHX6	279.6104
LIAS	98.6974	LIAS	254.1627
LIFR	611.2464	LIFR	5426.3274
LIF	147.8344	LIF	325.7933
LIG1	1804.9349	LIG1	662.8966
LIG3	648.0991	LIG3	737.3547
LIG4	409.6156	LIG4	386.7421
removed	removed	LILRA1	5.3409
LILRA2	28.8044	LILRA2	26.076
LILRA4	5.9303	removed	removed
LILRA5	22.0269	removed	removed
LILRA6	35.5777	LILRA6	18.8187
LILRB1	97.4267	LILRB1	65.033
LILRB2	140.2097	LILRB2	43.3553
LILRB3	46.176	LILRB3	9.4565
LILRB4	226.6229	LILRB4	75.4006
LILRB5	44.0538	LILRB5	101.4766
LIMA1	1144.1279	LIMA1	4818.0961
LIMCH1	902.6792	LIMCH1	4640.9048
LIMD1	960.0466	LIMD1	983.0443
LIMD2	248.8446	LIMD2	145.9252
LIME1	38.0091	LIME1	41.8222
LIMK1	502.8063	LIMK1	473.4527
LIMK2	5520.7032	LIMK2	2747.0939
LIMS1	463.8356	LIMS1	464.0276
LIMS2	369.7977	LIMS2	1123.4684
LIMS3-LOC440895	11.6827	LIMS3-LOC440895	27.9359
removed	removed	LIMS3	20.7603
LIN28B	97.8503	removed	removed
LIN37	141.6457	LIN37	107.7788
LIN52	188.4994	LIN52	233.7418
LIN54	351.1596	LIN54	405.9064
removed	removed	LIN7A	98.9632
LIN7B	50.4077	LIN7B	29.8461
LIN7C	416.8167	LIN7C	798.3035
LIN9	478.6614	LIN9	162.1112
LINGO1	260.0868	LINGO1	77.2856
LINGO2	14.4022	removed	removed
LINGO4	48.7133	LINGO4	54.6654
LINS1	276.1834	LINS1	345.2718
LIPA	1824.8438	LIPA	2194.7848
removed	removed	LIPC	7.5401
LIPE	251.1914	LIPE	2812.3626
LIPG	79.6357	LIPG	55.9221
LIPH	678.5979	LIPH	275.5262
LIPT1	105.8689	LIPT1	243.6349
LIPT2	10.5899	LIPT2	26.7044
LITAF	8384.1999	LITAF	4246.3085
LIX1L	374.0337	LIX1L	808.9852
LLGL1	655.3002	LLGL1	926.7986
LLGL2	791.274	LLGL2	727.6155
LLPH	436.2893	LLPH	482.1929
LMAN1L	55.8509	removed	removed
LMAN1	5649.4758	LMAN1	3442.0358
LMAN2L	931.06	LMAN2L	764.3732
LMAN2	2051.4667	LMAN2	1534.7157
LMBR1L	250.7678	LMBR1L	470.9394
LMBR1	1026.7923	LMBR1	1034.2444
LMBRD1	2121.3597	LMBRD1	1698.0836
LMBRD2	191.8882	LMBRD2	322.6516
LMCD1	1465.6359	LMCD1	613.8863
LMF1	257.1217	LMF1	222.6139
LMF2	2258.1807	LMF2	1035.1869
LMLN	269.8295	LMLN	364.7502
LMNA	9699.0363	LMNA	8879.3591
removed	removed	LMNB1	210.4932
LMNB2	2539.4472	LMNB2	524.3481
LMO1	38.5471	removed	removed
LMO2	309.6474	LMO2	709.3937
LMO3	429.1009	LMO3	114.6717
LMO4	5075.9293	LMO4	1220.2325
LMO7	2730.0646	LMO7	742.0672
LMOD1	763.3167	LMOD1	3740.1822
LMTK2	287.1969	LMTK2	503.2988
LMTK3	97.4267	LMTK3	120.9551
removed	removed	LMX1A	9.1109
LMX1B	262.6284	LMX1B	1226.2017
LNP1	105.7249	LNP1	104.9607
LNPEP	380.6926	LNPEP	571.1938
LNX1	354.1247	LNX1	377.9453
LNX2	512.549	LNX2	648.1307
LOC100009676	79.8687	LOC100009676	63.8046
removed	removed	LOC100101266	6.9117
LOC100124692	81.7537	LOC100124692	132.8935
LOC100125556	59.0787	LOC100125556	61.7468
LOC100126784	22.3531	LOC100126784	97.9705
LOC100127888	20.7942	LOC100127888	11.1184
LOC100128191	137.1683	LOC100128191	44.8256
removed	removed	LOC100128239	17.2793
LOC100128288	59.7268	LOC100128288	97.0782
LOC100128292	13.555	LOC100128292	23.2485
LOC100128640	33.8875	LOC100128640	84.8256
LOC100128675	8.0483	removed	removed
LOC100128788	12.2842	LOC100128788	16.9683
LOC100128822	153.3411	LOC100128822	75.0864
LOC100128842	16.5202	LOC100128842	38.957
LOC100129034	970.7466	LOC100129034	1793.8203
LOC100129387	156.3147	LOC100129387	158.1653
LOC100129534	37.6999	LOC100129534	70.688
LOC100129550	252.0385	LOC100129550	304.4298
LOC100129637	381.832	LOC100129637	310.9802
LOC100129716	9.3191	LOC100129716	11.9384
LOC100129726	12.7078	LOC100129726	21.9918
LOC100130015	24.2169	LOC100130015	34.191
LOC100130093	116.7044	LOC100130093	190.289
LOC100130522	5.0831	LOC100130522	30.4744
LOC100130557	69.4822	LOC100130557	77.6155
LOC100130581	22.8741	LOC100130581	82.6265
LOC100130691	7.7009	LOC100130691	16.076
LOC100130776	231.4985	LOC100130776	174.0748
LOC100130872	12.7078	LOC100130872	75.4006
LOC100130932	80.4829	LOC100130932	40.842
LOC100130987	9.3191	LOC100130987	19.4785
LOC100131193	74.129	LOC100131193	65.6613
LOC100131434	88.9971	LOC100131434	148.0804
LOC100131551	6.7775	removed	removed
LOC100131691	35.5311	LOC100131691	13.3648
LOC100132111	5.0831	LOC100132111	11.3101
LOC100132215	47.8661	LOC100132215	22.9469
LOC100132247	293.5508	LOC100132247	210.1791
LOC100132287	236.7892	LOC100132287	415.3314
LOC100132288	235.0948	LOC100132288	202.0107
LOC100132707	74.362	LOC100132707	216.8552
LOC100132832	5.1128	LOC100132832	6.6918
LOC100133161	29.228	LOC100133161	36.4216
LOC100133331	85.4432	LOC100133331	220.6629
removed	removed	LOC100133545	20.1068
LOC100133612	9.7427	LOC100133612	5.655
LOC100133669	9.7427	LOC100133669	20.1068
LOC100133957	6.714	removed	removed
LOC100133991	22.0269	LOC100133991	37.3861
LOC100134229	97.0031	LOC100134229	105.2466
LOC100134259	16.5202	LOC100134259	19.7926
LOC100134713	7.6289	LOC100134713	11.6274
LOC100134868	8.4719	LOC100134868	6.9117
LOC100144603	5.0831	removed	removed
LOC100144604	18.2146	LOC100144604	23.5627
LOC100170939	162.5458	LOC100170939	161.9824
removed	removed	LOC100188947	51.2096
LOC100188949	7.6247	LOC100188949	9.1109
LOC100190938	60.9976	LOC100190938	201.0682
LOC100190939	252.0385	LOC100190939	336.1609
LOC100190986	301.5991	LOC100190986	514.6089
removed	removed	LOC100192378	11.9384
LOC100216545	63.1155	LOC100216545	96.1357
LOC100233209	17.791	LOC100233209	29.2177
LOC100240726	9.7427	LOC100240726	10.9959
removed	removed	LOC100240735	28.9036
LOC100268168	7.2011	LOC100268168	12.8809
LOC100270710	232.693	LOC100270710	241.2724
LOC100270746	64.8099	LOC100270746	50.267
LOC100270804	83.0245	LOC100270804	49.6104
LOC100271722	141.4805	LOC100271722	58.1213
LOC100271831	13.8007	removed	removed
LOC100271836	780.4003	LOC100271836	937.1976
LOC100272146	38.5471	LOC100272146	35.8153
LOC100272216	141.777	LOC100272216	149.6261
LOC100272217	11.437	LOC100272217	15.3943
LOC100272228	122.4187	LOC100272228	95.1932
LOC100286793	201.6308	LOC100286793	183.7889
LOC100286844	11.8479	LOC100286844	35.7839
LOC100287227	8.0483	LOC100287227	7.8574
LOC100288778	978.8203	LOC100288778	767.4898
LOC100289341	33.8875	LOC100289341	45.2403
LOC100302401	28.474	LOC100302401	22.7176
removed	removed	LOC100302640	17.5935
LOC100302650	11.8606	LOC100302650	24.191
LOC100303728	17.791	LOC100303728	25.1335
LOC113230	380.3876	LOC113230	88.2815
LOC115110	38.2082	LOC115110	102.3845
LOC121838	86.8368	LOC121838	18.536
LOC134466	8.4719	LOC134466	103.9899
LOC143188	11.8606	LOC143188	18.2218
LOC143666	23.7213	LOC143666	24.5052
LOC144438	609.1285	LOC144438	967.9548
LOC144486	26.6864	LOC144486	18.536
LOC144571	68.2919	LOC144571	80.3362
LOC145783	56.8802	LOC145783	45.4226
LOC145820	8.4719	LOC145820	91.109
LOC145837	5.0831	LOC145837	68.1747
LOC146880	627.6014	LOC146880	404.9325
LOC147727	781.9549	LOC147727	709.3937
LOC147804	102.0862	LOC147804	94.879
LOC148189	60.8281	LOC148189	60.9488
LOC148413	214.2497	LOC148413	231.4043
removed	removed	LOC148696	8.1998
removed	removed	LOC148709	7.5401
LOC149134	8.8955	LOC149134	27.6469
LOC149837	95.3087	LOC149837	68.1747
LOC150381	27.5336	LOC150381	47.0248
LOC150776	197.8185	LOC150776	580.2702
LOC150786	50.8313	LOC150786	54.9796
LOC151009	59.7268	LOC151009	53.7229
LOC151162	1108.9696	LOC151162	1296.2614
removed	removed	LOC151174	13.1951
LOC151534	50.8313	LOC151534	69.2994
LOC152217	319.39	LOC152217	185.6739
removed	removed	LOC153328	30.1602
LOC153684	29.228	LOC153684	48.6962
LOC154761	38.8944	LOC154761	128.8533
LOC154822	11.9581	LOC154822	36.8426
LOC157381	72.8582	removed	removed
LOC158376	45.7482	LOC158376	47.7537
LOC158572	22.0269	LOC158572	46.1828
LOC158696	11.8606	LOC158696	6.9117
LOC162632	79.4409	LOC162632	134.4518
LOC168474	5.9303	LOC168474	21.0493
LOC200030	732.2207	LOC200030	1024.1282
removed	removed	LOC201651	7.8542
LOC202181	77.9413	LOC202181	100.2199
LOC202781	244.8374	LOC202781	261.3886
LOC219347	43.2956	LOC219347	72.1332
LOC220594	248.6456	LOC220594	282.2149
LOC220729	315.1541	LOC220729	203.8957
LOC220930	117.6321	LOC220930	112.4348
LOC221442	35.5819	LOC221442	117.185
LOC221710	496.4524	LOC221710	333.6475
LOC222699	94.4615	LOC222699	35.8153
LOC253039	374.4573	LOC253039	442.0358
LOC253724	7.6247	LOC253724	12.5668
LOC254559	37.6999	LOC254559	255.7336
LOC255167	6.7775	LOC255167	15.0801
removed	removed	LOC257358	5.655
LOC25845	236.3825	LOC25845	298.5894
LOC282997	27.11	LOC282997	43.0412
LOC283050	73.7054	LOC283050	46.1828
LOC283070	333.3686	LOC283070	175.3063
LOC283174	44.901	LOC283174	243.1668
LOC283267	199.5129	LOC283267	291.5489
LOC283314	166.7267	LOC283314	149.1957
removed	removed	LOC283392	159.1078
LOC283663	22.0269	LOC283663	62.8338
LOC283731	8.0483	LOC283731	14.1376
removed	removed	LOC283856	6.5975
LOC283922	105.0514	LOC283922	174.678
LOC284023	95.7323	LOC284023	184.103
LOC284232	8.0483	LOC284232	23.2485
LOC284233	6.3539	LOC284233	44.2978
removed	removed	LOC284276	43.6695
LOC284379	5.5067	removed	removed
LOC284440	66.5043	LOC284440	214.5774
LOC284441	77.9413	LOC284441	65.033
LOC284578	66.0807	LOC284578	27.0185
removed	removed	LOC284749	8.7967
LOC284837	42.783	LOC284837	84.8256
LOC284900	344.5812	LOC284900	244.8885
LOC285033	53.1907	LOC285033	42.5605
LOC285074	166.4725	LOC285074	232.1709
removed	removed	LOC285205	10.0534
LOC285359	68.6223	LOC285359	86.7107
removed	removed	LOC285419	13.8234
LOC285548	23.7213	removed	removed
LOC285593	10.5899	LOC285593	16.9651
LOC285629	11.0134	removed	removed
LOC285830	50.8779	LOC285830	117.4804
LOC286002	20.3325	LOC286002	33.9994
LOC286367	77.0941	LOC286367	206.409
LOC286467	167.7433	LOC286467	30.4744
LOC338651	7.8831	LOC338651	6.453
LOC338758	28.3808	LOC338758	96.1357
LOC338799	547.7073	LOC338799	448.005
LOC339047	1366.0913	LOC339047	1543.8266
LOC339290	520.8006	LOC339290	1026.563
LOC339524	55.0672	LOC339524	241.596
LOC339535	489.6749	LOC339535	35.8153
LOC339674	13.9786	removed	removed
LOC341056	23.2977	LOC341056	5.0267
LOC342346	16.9438	LOC342346	8.1684
LOC344595	153.3411	LOC344595	491.6745
LOC348926	44.901	LOC348926	88.9098
LOC349114	37.6999	LOC349114	189.4439
removed	removed	LOC349196	27.5243
LOC374443	196.5477	LOC374443	194.1565
LOC375190	47.8661	LOC375190	117.8134
LOC387646	60.574	LOC387646	34.5586
LOC387647	352.6337	LOC387647	566.3651
LOC388152	324.8967	LOC388152	155.8278
LOC388242	18.2146	LOC388242	38.957
removed	removed	LOC388588	20.1068
LOC388692	83.4481	LOC388692	514.6089
LOC388789	598.9622	LOC388789	459.6293
LOC388796	278.725	LOC388796	235.6268
LOC388955	219.8454	LOC388955	188.5014
removed	removed	LOC389033	8.1684
LOC389333	23.7213	LOC389333	49.0104
LOC389493	46.5954	LOC389493	17.9076
LOC389705	5.5067	LOC389705	11.9384
LOC390595	8.8955	LOC390595	20.421
LOC391322	15.673	LOC391322	14.4518
LOC399744	66.0807	LOC399744	158.6554
LOC399815	22.4505	removed	removed
LOC399959	131.3142	LOC399959	1166.1954
LOC400027	228.3173	LOC400027	412.1898
LOC400043	146.14	LOC400043	320.1382
LOC400657	192.3118	LOC400657	296.2614
LOC400696	9.3191	removed	removed
LOC400752	33.4639	LOC400752	44.2978
LOC400759	252.4621	LOC400759	22.9343
LOC400927	184.9539	LOC400927	53.9554
LOC400931	24.1449	LOC400931	76.0289
LOC401010	23.7213	LOC401010	19.7926
LOC401052	108.0165	LOC401052	128.181
LOC401093	1647.989	LOC401093	188.8156
LOC401127	5.5067	LOC401127	6.5975
LOC401397	665.8901	LOC401397	522.1489
LOC401431	17.846	LOC401431	53.7575
removed	removed	LOC401463	11.6243
LOC401588	77.5177	LOC401588	98.9632
LOC402377	7.6247	LOC402377	12.5668
LOC407835	42.783	LOC407835	32.0452
removed	removed	LOC440173	14.7659
LOC440354	225.3309	LOC440354	252.639
LOC440356	8.0483	removed	removed
removed	removed	LOC440461	9.4251
LOC440905	56.338	LOC440905	45.5545
removed	removed	LOC440925	10.9959
LOC440944	442.6559	LOC440944	412.5039
LOC440957	74.129	LOC440957	90.4807
LOC441046	5.5067	LOC441046	19.7926
LOC441089	104.2042	LOC441089	97.7066
LOC441177	14.8936	removed	removed
LOC441204	28.3808	LOC441204	77.5997
LOC441208	46.1718	LOC441208	56.2363
LOC441294	65.6571	LOC441294	118.7559
LOC441454	19.0617	LOC441454	8.1684
LOC441455	7.2011	LOC441455	10.6817
LOC441666	118.6064	LOC441666	142.6327
LOC441869	75.8234	LOC441869	290.9205
LOC442421	6.7775	LOC442421	31.4169
LOC442454	142.3277	LOC442454	114.0434
LOC493754	407.074	LOC493754	594.0936
LOC541471	83.4481	LOC541471	101.1624
LOC541473	8.4719	LOC541473	9.9529
LOC550112	241.0251	LOC550112	333.9617
LOC550643	94.0379	LOC550643	238.1401
LOC554202	33.4639	LOC554202	21.0493
LOC55908	7.6247	LOC55908	26.3902
removed	removed	LOC572558	24.191
LOC595101	150.7826	LOC595101	137.7066
LOC606724	12.7078	LOC606724	14.1376
LOC613037	11.8606	LOC613037	18.2218
LOC619207	16.9438	LOC619207	30.4744
LOC641298	367.4383	LOC641298	253.1134
LOC642587	110.5581	LOC642587	1009.1109
LOC642826	125.8541	LOC642826	177.1631
LOC642846	311.7653	LOC642846	195.099
LOC642852	232.5532	LOC642852	337.4175
LOC643008	6.7775	LOC643008	17.9076
LOC643387	45.3246	LOC643387	29.8461
LOC643677	38.5471	removed	removed
LOC643719	24.5685	LOC643719	373.8611
removed	removed	LOC643763	13.5093
LOC643837	101.6626	LOC643837	178.1338
LOC644165	9.3191	LOC644165	5.0236
LOC644172	14.4022	LOC644172	38.6428
LOC644538	127.5019	LOC644538	151.7436
LOC644936	30.9224	LOC644936	9.4251
LOC645166	56.7616	LOC645166	94.879
LOC645323	187.6522	removed	removed
LOC645332	70.7402	LOC645332	133.2077
LOC645431	6.4768	LOC645431	16.9997
LOC645676	69.9566	LOC645676	43.9994
LOC646214	164.7781	LOC646214	247.5652
LOC646471	74.9889	LOC646471	110.3142
LOC646762	322.7788	LOC646762	461.2001
LOC646851	146.5636	LOC646851	131.951
LOC646999	5.9303	LOC646999	19.7926
LOC647121	24.5685	LOC647121	38.3286
LOC647288	8.0483	LOC647288	7.8542
LOC647859	35.5819	LOC647859	24.191
LOC647946	71.5874	LOC647946	9.1109
LOC647979	13214.4446	LOC647979	14232.4851
LOC648740	21.6584	LOC648740	23.4496
LOC649330	10.5899	LOC649330	5.3409
LOC650368	22.8741	LOC650368	66.6038
LOC650623	95.7323	LOC650623	134.1502
LOC651250	1796.8866	LOC651250	2077.9139
LOC652276	38.5471	LOC652276	43.3553
LOC653113	44.0538	LOC653113	51.5237
LOC653501	302.0227	LOC653501	457.4301
LOC653566	1737.1598	LOC653566	1251.6494
LOC653653	72.4346	LOC653653	74.7722
LOC654342	145.7164	LOC654342	383.6004
LOC654433	271.9475	LOC654433	36.1294
LOC678655	683.0626	LOC678655	385.4571
LOC723972	5.5067	removed	removed
LOC727896	31.7696	LOC727896	26.3902
LOC728024	18.2146	LOC728024	22.9343
LOC728190	195.2769	LOC728190	201.6965
LOC728264	853.9659	LOC728264	7221.175
LOC728323	28.8044	LOC728323	59.0638
LOC728392	31.7696	LOC728392	129.4376
LOC728554	368.1034	LOC728554	247.8794
LOC728606	28.3808	LOC728606	23.8768
LOC728613	128.349	LOC728613	235.6268
LOC728640	32.1932	LOC728640	47.7537
LOC728643	148.258	LOC728643	36.1294
LOC728723	21.1797	LOC728723	22.6202
LOC728743	77.0941	LOC728743	174.3638
LOC728758	13.9786	LOC728758	21.9918
LOC728819	28.3808	LOC728819	33.9303
LOC728855	68.6223	LOC728855	170.1257
LOC728875	5.9303	LOC728875	45.0801
removed	removed	LOC728989	6.9117
LOC729020	29.228	LOC729020	21.6777
LOC729082	670.647	LOC729082	566.3713
LOC729176	19.0617	LOC729176	39.5853
LOC729234	132.1614	LOC729234	121.2692
LOC729375	49.1369	LOC729375	110.2733
LOC729603	38.1235	LOC729603	20.7352
LOC729678	307.0084	LOC729678	395.8121
LOC729799	14.4022	LOC729799	30.1602
LOC729991-MEF2B	66.2078	LOC729991-MEF2B	81.2692
LOC729991	285.5618	LOC729991	146.0383
LOC730101	668.4316	LOC730101	113.415
LOC731789	50.8313	removed	removed
LOC80054	104.2042	LOC80054	97.0782
LOC80154	411.31	LOC80154	213.6349
LOC81691	190.6174	LOC81691	128.181
LOC84740	7.6459	LOC84740	17.9673
LOC84856	54.6437	LOC84856	69.4314
removed	removed	LOC84989	6.4719
LOC90110	176.2152	LOC90110	267.672
LOC90246	5.0831	LOC90246	21.3635
removed	removed	LOC90586	9.4251
LOC90784	223.6577	LOC90784	263.5878
LOC90834	30.4988	LOC90834	41.7845
LOC91316	475.7556	LOC91316	655.3849
LOC91450	7.2011	removed	removed
LOC92249	416.8167	LOC92249	678.9193
LOC92659	142.3277	LOC92659	59.6921
LOC92973	82.6009	LOC92973	149.2303
LOC93432	16.0966	LOC93432	29.5319
LOC93622	244.8374	LOC93622	417.8448
LOC96610	6353.7393	LOC96610	14712.1898
LOH12CR1	92.3435	LOH12CR1	87.9673
LOH12CR2	54.2201	LOH12CR2	48.0679
LOH3CR2A	125.3839	LOH3CR2A	90.1665
LONP1	1293.6567	LONP1	936.5379
LONP2	2077.7295	LONP2	2214.5774
LONRF1	389.7067	LONRF1	897.5809
LONRF2	413.8515	LONRF2	625.1964
LONRF3	35.5819	LONRF3	111.53
removed	removed	LOXHD1	7.5401
LOXL1	238.9071	LOXL1	212.3626
LOXL2	676.8654	LOXL2	423.4433
LOXL3	100.4342	LOXL3	62.5888
LOXL4	214.7623	LOXL4	281.4954
LOX	833.6334	LOX	695.256
removed	removed	LPAL2	16.0226
LPAR1	144.022	LPAR1	701.2253
LPAR2	260.0868	LPAR2	226.2017
removed	removed	LPAR3	75.0864
removed	removed	LPAR4	18.536
LPAR5	110.1345	LPAR5	67.5463
LPAR6	729.4292	LPAR6	1361.6085
LPCAT1	727.7348	LPCAT1	717.8762
LPCAT2	968.7599	LPCAT2	2010.3676
LPCAT3	2734.3005	LPCAT3	1054.9796
LPCAT4	174.5208	LPCAT4	452.7176
LPGAT1	2222.5988	LPGAT1	2120.9551
LPHN1	2091.7081	LPHN1	809.6136
LPHN2	667.1609	LPHN2	2750.5498
removed	removed	LPHN3	84.8256
LPIN1	2181.9337	LPIN1	1575.5577
LPIN2	1110.2404	LPIN2	1185.9881
LPIN3	559.911	LPIN3	598.7308
LPL	3679.3392	LPL	6854.2256
LPO	8.4719	removed	removed
LPPR1	10.5899	LPPR1	87.0248
LPPR2	390.9774	LPPR2	594.4078
LPPR3	52.5257	LPPR3	5.0267
LPPR4	44.4774	LPPR4	100.2199
LPP	1513.0785	LPP	1517.1222
LPXN	891.2422	LPXN	272.6987
LQK1	5.0831	removed	removed
LRAT	143.1748	LRAT	110.5875
LRBA	1867.6268	LRBA	3617.6563
LRCH1	498.994	LRCH1	1053.4087
LRCH2	26.6864	LRCH2	205.1524
LRCH3	419.3583	LRCH3	605.4037
LRCH4	568.887	LRCH4	685.831
LRDD	296.9395	LRDD	311.9698
LRFN1	62.6919	LRFN1	35.8153
LRFN3	141.4805	LRFN3	202.9532
LRFN4	519.7501	LRFN4	158.6554
LRFN5	12.7078	LRFN5	153.3145
LRG1	52.5257	LRG1	52.4662
LRGUK	5.0831	LRGUK	6.9117
LRIG1	2821.7812	LRIG1	5350.5309
LRIG2	242.7195	LRIG2	465.2843
LRIG3	741.2898	LRIG3	1419.4156
LRIT3	36.0055	LRIT3	16.651
LRMP	47.019	LRMP	120.9551
LRP10	2852.0597	LRP10	4359.0952
LRP11	2403.8971	LRP11	988.6899
LRP12	639.2036	LRP12	398.0522
LRP1B	5.5067	LRP1B	140.4336
LRP1	3758.9749	LRP1	18566.7609
LRP2BP	28.3808	LRP2BP	92.3657
LRP2	694.2709	LRP2	2706.8803
LRP3	681.7664	LRP3	697.6249
LRP4	155.4464	LRP4	570.1697
LRP5L	118.1828	LRP5L	106.1891
LRP5	3090.5433	LRP5	2429.4691
LRP6	3860.6375	LRP6	2503.6129
LRP8	221.1162	LRP8	48.6962
LRPAP1	1269.5118	LRPAP1	1320.4524
LRPPRC	3345.9706	LRPPRC	4135.4068
LRRC10B	8.8955	LRRC10B	31.1027
LRRC14B	388.8595	removed	removed
LRRC14	851.9877	LRRC14	602.1803
LRRC15	252.4621	LRRC15	388.9413
LRRC16A	2319.6018	LRRC16A	741.1247
LRRC16B	99.5446	LRRC16B	14.7659
LRRC17	64.3863	LRRC17	437.0091
LRRC1	1197.5008	LRRC1	683.6318
LRRC20	241.4487	LRRC20	138.8627
LRRC23	179.6039	LRRC23	180.333
LRRC24	13.4152	LRRC24	12.6484
LRRC25	102.0862	LRRC25	65.3472
LRRC26	6.7775	LRRC26	22.9343
LRRC27	129.1962	LRRC27	238.7685
LRRC28	298.6339	LRRC28	240.6535
LRRC29	49.5605	LRRC29	64.0905
LRRC2	16.9438	LRRC2	72.2589
removed	removed	LRRC31	19.1643
LRRC32	392.6718	LRRC32	1033.9303
LRRC33	130.0434	LRRC33	160.8545
LRRC34	47.019	LRRC34	101.7908
removed	removed	LRRC36	6.2834
LRRC37A2	163.4735	LRRC37A2	396.5253
LRRC37A3	154.6119	LRRC37A3	131.951
LRRC37A4	748.4909	LRRC37A4	466.1263
LRRC37A	381.2348	LRRC37A	639.6481
LRRC37B2	413.4279	LRRC37B2	612.3154
LRRC37B	274.9126	LRRC37B	242.8527
LRRC39	7.3536	LRRC39	8.9947
removed	removed	LRRC3B	53.0946
LRRC3	16.5202	LRRC3	71.3164
LRRC40	301.5991	LRRC40	376.3745
LRRC41	2271.3121	LRRC41	1779.4533
LRRC42	700.6248	LRRC42	517.7505
removed	removed	LRRC43	10.6817
LRRC45	531.6107	LRRC45	133.836
LRRC46	20.7561	LRRC46	21.0493
LRRC47	823.0435	LRRC47	1101.1624
LRRC48	20.3325	LRRC48	168.6302
LRRC49	63.9627	LRRC49	220.2325
LRRC4B	5.5067	LRRC4B	23.2485
LRRC4C	31.7696	LRRC4C	154.8853
LRRC4	21.6033	LRRC4	38.6428
LRRC50	8.8955	LRRC50	25.1335
removed	removed	LRRC55	12.2526
LRRC56	102.0862	LRRC56	64.4046
LRRC57	349.4652	LRRC57	414.0748
LRRC58	2315.3659	LRRC58	1728.558
LRRC59	3507.0761	LRRC59	1477.3673
LRRC61	64.8099	LRRC61	175.9347
LRRC66	6.3539	LRRC66	11.3101
LRRC6	27.11	LRRC6	63.7763
LRRC70	44.4562	LRRC70	219.1989
LRRC8A	1278.8309	LRRC8A	1555.4508
LRRC8B	1693.9532	LRRC8B	572.1018
LRRC8C	2069.6812	LRRC8C	691.1719
LRRC8D	1543.1537	LRRC8D	882.815
LRRC8E	407.9212	LRRC8E	270.1854
LRRCC1	836.1749	LRRCC1	577.4427
LRRFIP1	1727.8407	LRRFIP1	3092.6799
LRRFIP2	1695.224	LRRFIP2	1017.5935
LRRIQ1	35.1583	LRRIQ1	42.727
LRRIQ3	5.0831	LRRIQ3	16.0226
LRRK1	418.9347	LRRK1	541.6274
LRRK2	142.7512	LRRK2	590.6378
LRRN1	458.3289	LRRN1	894.7534
LRRN2	500.2647	LRRN2	279.6104
LRRN3	28.3808	LRRN3	148.9161
LRRN4CL	36.0055	LRRN4CL	355.9535
LRRN4	10.5899	LRRN4	5.9692
LRRTM2	11.0134	LRRTM2	37.3861
LRSAM1	322.3552	LRSAM1	475.0236
LRTOMT	249.2005	LRTOMT	271.5269
LRWD1	156.3063	LRWD1	171.8505
LSAMP	13.9786	LSAMP	82.9406
LSG1	1198.7716	LSG1	929.6261
LSM10	227.8937	LSM10	233.1134
LSM11	158.4242	LSM11	292.8055
LSM12	707.4023	LSM12	662.2683
LSM14A	5550.3548	LSM14A	3481.3069
LSM14B	1353.3835	LSM14B	866.7923
LSM1	441.3852	LSM1	329.2491
LSM2	891.2422	LSM2	467.4835
LSM3	770.5178	LSM3	513.038
LSM4	1821.8786	LSM4	564.2476
LSM5	448.5863	LSM5	524.3481
LSM6	200.7836	LSM6	196.984
