gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
MSH2	657.8684	MSH2	501.2235
MSH3	402.0648	MSH3	274.9184
MSH5	193.9024	MSH5	130.1509
MSH6	784.4972	MSH6	861.3377
MSI1	832.6094	MSI1	109.2985
MSI2	657.5342	MSI2	108.8907
MSL1	3005.0117	MSL1	1409.0538
MSL2	732.3755	MSL2	497.1452
MSL3L2	79.5189	MSL3L2	44.0457
MSL3	305.3792	MSL3	554.2414
MSLN	29.7361	MSLN	162.7243
MSMB	668.8941	MSMB	6.5253
MSMP	60.8086	MSMP	27.3246
MSN	2591.714	MSN	5792.8222
MSR1	327.7648	MSR1	236.9494
MSRA	148.3461	MSRA	382.137
MSRB2	276.6455	MSRB2	849.9184
MSRB3	388.2392	MSRB3	1573.8173
MST1P2	34.7477	MST1P2	143.1485
MST1P9	11.694	MST1P9	51.3866
MST1R	31.4066	MST1R	190.0489
MST1	212.4958	MST1	165.1713
MST4	31.7407	MST4	209.217
MSTN	8.6869	removed	removed
MSTO1	564.6876	MSTO1	756.77
MSTO2P	144.9683	MSTO2P	73.4951
MSX1	70.4978	MSX1	143.5563
MSX2P1	6.3481	removed	removed
MSX2	587.3705	MSX2	371.1256
MT1A	14.0327	MT1A	52.2023
MT1E	92.5493	MT1E	1436.7863
MT1F	27.7314	MT1F	303.0179
MT1G	19.0444	MT1G	332.3817
MT1L	8.3528	MT1L	155.7912
MT1M	7.3505	MT1M	189.2333
MT1X	129.9699	MT1X	3241.4356
MT2A	800.2005	MT2A	10254.4861
MTA1	2220.5145	MTA1	1303.8336
MTA2	1649.1814	MTA2	2284.2577
MTA3	761.4434	MTA3	796.4927
MTAP	385.2122	MTAP	531.8108
MTBP	148.3461	MTBP	36.2969
MTCH1	3393.585	MTCH1	5538.7439
MTCH2	1667.5576	MTCH2	1302.2023
MTCP1NB	255.9305	MTCP1NB	434.69
MTCP1	12.0281	MTCP1	26.5661
MTDH	6126.2947	MTDH	1782.6264
MTERFD1	410.2907	MTERFD1	290.3752
MTERFD2	232.8767	MTERFD2	431.8923
MTERFD3	283.6619	MTERFD3	528.1403
MTERF	178.7504	MTERF	139.478
MTF1	436.6856	MTF1	356.4437
MTF2	263.9492	MTF2	334.8287
MTFMT	226.1945	MTFMT	328.7113
MTFR1	1531.9078	MTFR1	263.0506
MTG1	685.5997	MTG1	770.3915
MTHFD1L	132.6428	MTHFD1L	306.6884
MTHFD1	1799.9232	MTHFD1	1114.5595
MTHFD2L	213.8189	MTHFD2L	308.2259
MTHFD2	1622.1116	MTHFD2	714.1109
MTHFR	533.164	MTHFR	658.2137
MTHFSD	331.7741	MTHFSD	416.8026
MTHFS	287.003	MTHFS	435.155
MTIF2	521.8844	MTIF2	448.2055
MTIF3	678.9175	MTIF3	898.0424
MTL5	1422.3187	MTL5	302.6101
MTM1	431.0057	MTM1	238.5808
MTMR10	885.3057	MTMR10	656.0114
MTMR11	76.5119	MTMR11	471.8597
MTMR12	1602.0715	MTMR12	977.5693
MTMR14	882.7264	MTMR14	1171.2887
MTMR15	827.6913	MTMR15	412.9119
MTMR1	1326.0942	MTMR1	569.3312
MTMR2	302.7063	MTMR2	481.6476
MTMR3	1194.1196	MTMR3	1130.5057
MTMR4	2055.1286	MTMR4	610.1142
MTMR6	1242.2319	MTMR6	532.2186
MTMR7	129.9733	MTMR7	40.2692
removed	removed	MTMR8	8.1566
MTMR9L	59.4721	MTMR9L	225.5302
MTMR9	1084.8012	MTMR9	196.9698
MTO1	355.8303	MTO1	335.2365
MTOR	1120.6148	MTOR	933.5237
MTP18	179.7661	MTP18	503.9356
MTPAP	429.001	MTPAP	359.7064
MTRF1L	254.5941	MTRF1L	188.4176
MTRF1	114.9348	MTRF1	88.4992
MTRR	617.7748	MTRR	393.9641
MTR	1010.3575	MTR	612.1533
MTSS1L	709.3218	MTSS1L	1360.9299
MTSS1	3994.985	MTSS1	376.0196
MTTP	6.3481	removed	removed
MTUS1	3271.9679	MTUS1	1683.1158
MTUS2	41.7641	MTUS2	30.5873
MTX1	840.1771	MTX1	1154.9715
MTX2	424.9916	MTX2	485.3181
MTX3	743.4013	MTX3	393.1485
removed	removed	MUC12	6.5253
MUC15	6.3481	MUC15	597.0636
removed	removed	MUC16	101.9576
MUC1	514.1998	MUC1	3958.8091
MUC20	45.1052	MUC20	417.2104
removed	removed	MUC4	13.8662
MUC5B	2591.3799	MUC5B	199.429
removed	removed	MUC6	150.4894
removed	removed	MUC7	6.5253
MUCL1	194.7878	MUCL1	12825.4486
MUDENG	834.6141	MUDENG	475.5302
MUL1	878.717	MUL1	1539.9674
MUM1L1	10.6916	MUM1L1	163.9478
MUM1	976.278	MUM1	1522.0228
MUS81	1037.0865	MUS81	805.0571
MUSTN1	26.3949	MUSTN1	105.1468
MUTED	325.0919	MUTED	304.2414
MUTYH	138.4631	MUTYH	324.2945
MUT	758.1022	MUT	546.9005
MVD	427.3304	MVD	1143.5563
MVK	852.9903	MVK	726.7537
MVP	2916.4718	MVP	4953.0995
MX1	687.2703	MX1	804.6493
MX2	215.5028	MX2	209.217
MXD1	513.1975	MXD1	304.2414
MXD3	273.6853	MXD3	253.3197
MXD4	4807.8851	MXD4	3294.4535
MXI1	1276.9796	MXI1	1563.6215
MXRA5	3065.4861	MXRA5	1470.6362
MXRA7	3669.8964	MXRA7	4323.8173
MXRA8	880.7217	MXRA8	4623.5726
MYADML2	5.3458	removed	removed
MYADM	14441.3632	MYADM	13987.7651
MYBBP1A	1213.4748	MYBBP1A	1508.9315
MYBL1	398.9308	MYBL1	35.0734
MYBL2	757.434	MYBL2	26.9168
MYBPC1	85.1988	MYBPC1	694.9429
removed	removed	MYBPH	6.1175
MYB	3227.5309	MYB	1363.3768
MYCBP2	1588.707	MYCBP2	923.3279
removed	removed	MYCBPAP	8.5644
MYCBP	1019.0444	MYCBP	769.9837
MYCL1	15.7033	MYCL1	139.8858
MYCN	212.4958	MYCN	31.8108
MYCT1	195.4561	MYCT1	231.2398
MYC	3175.7434	MYC	4467.7814
MYD88	1186.7691	MYD88	992.2512
MYEF2	784.9348	MYEF2	244.1395
MYEOV2	879.0511	MYEOV2	1521.615
MYEOV	7.3505	MYEOV	141.925
MYH10	1627.13	MYH10	1287.9282
MYH11	620.1303	MYH11	11441.2235
MYH14	2732.0414	MYH14	3267.1289
removed	removed	MYH1	16.721
MYH3	25.7267	MYH3	82.3817
MYH7B	5.3458	MYH7B	42.4144
MYH9	12100.9021	MYH9	28294.4535
MYL12A	2436.0174	MYL12A	9102.3654
MYL12B	3846.3081	MYL12B	11341.7618
removed	removed	MYL3	10.1958
MYL4	6.014	removed	removed
MYL5	102.2519	MYL5	280.416
MYL6B	214.1664	MYL6B	1117.0473
MYL6	10165.0518	MYL6	26941.2724
removed	removed	MYL7	102.7732
MYL9	1834.6141	MYL9	25744.6982
MYLIP	844.6375	MYLIP	779.3638
MYLK2	6.3481	removed	removed
MYLK4	16.0374	MYLK4	39.1517
MYLK	1027.3973	MYLK	8318.4829
MYNN	430.0033	MYNN	329.5269
MYO10	637.1534	MYO10	506.1175
MYO15A	27.7314	MYO15A	46.0848
MYO15B	1245.9071	MYO15B	1065.6607
MYO16	8.0187	MYO16	40.783
MYO18A	1542.2887	MYO18A	1482.9201
MYO18B	11.0257	removed	removed
MYO19	1392.0347	MYO19	373.2586
MYO1B	1215.5028	MYO1B	939.2333
MYO1C	5159.0378	MYO1C	7205.1387
MYO1D	2020.3809	MYO1D	2117.0473
MYO1E	617.4407	MYO1E	751.6313
MYO1F	166.0541	MYO1F	611.7455
MYO1G	74.1731	MYO1G	125.6117
removed	removed	MYO1H	32.6264
MYO5A	968.2593	MYO5A	408.2382
MYO5B	795.857	MYO5B	1235.7259
MYO5C	1315.6465	MYO5C	757.4307
MYO6	3594.721	MYO6	2055.8728
MYO7A	24.7244	MYO7A	131.3214
MYO7B	14.0327	MYO7B	7.3409
MYO9A	191.4467	MYO9A	98.6949
MYO9B	2804.878	MYO9B	1705.9543
MYOCD	11.3598	removed	removed
removed	removed	MYOC	117.863
MYOF	5139.6592	MYOF	4144.7798
MYOG	5.0117	removed	removed
MYOM1	58.4698	MYOM1	180.261
MYOM2	61.8109	MYOM2	53.4258
MYOM3	12.3622	MYOM3	143.9641
MYOZ1	15.7033	MYOZ1	69.739
MYOZ3	9.021	MYOZ3	89.7227
MYPOP	131.3064	MYPOP	186.7863
MYRIP	306.3816	MYRIP	52.6101
MYSM1	103.9091	MYSM1	16.3132
MYST1	815.9038	MYST1	1237.7651
MYST2	1845.6398	MYST2	754.4861
MYST3	3946.876	MYST3	606.0359
MYST4	3151.019	MYST4	447.7977
MYT1	1136.3181	MYT1	6.9331
MZF1	1049.7093	MZF1	597.394
N4BP1	800.2005	N4BP1	1064.845
N4BP2L1	254.9282	N4BP2L1	589.3148
N4BP2L2	1346.8092	N4BP2L2	1294.8613
N4BP2	403.9425	N4BP2	29.7716
N4BP3	3706.6488	N4BP3	606.4437
N6AMT1	332.4424	N6AMT1	261.4192
N6AMT2	147.6779	N6AMT2	239.8042
NAA10	788.5065	NAA10	1219.4127
NAA15	924.4905	NAA15	524.8777
NAA16	386.9028	NAA16	175.367
NAA20	1497.4942	NAA20	1072.5938
NAA25	851.988	NAA25	296.0848
NAA30	906.7825	NAA30	357.6672
NAA35	586.3682	NAA35	353.1811
NAA38	311.7274	NAA38	409.8695
NAA40	375.877	NAA40	453.9152
NAA50	2281.3231	NAA50	1652.1207
NAAA	367.1901	NAAA	491.8434
NAALAD2	11.0257	NAALAD2	53.4258
NAALADL1	24.7244	NAALADL1	222.6754
NAALADL2	81.8577	NAALADL2	235.3181
NAB1	281.9913	NAB1	778.956
NAB2	797.1935	NAB2	1716.5579
NACA2	84.8647	NACA2	211.2561
NACAD	70.4978	NACAD	355.2202
NACAP1	123.2877	NACAP1	332.3817
NACA	9329.4353	NACA	23218.1892
NACC1	5560.3074	NACC1	1513.4584
NACC2	62.4791	NACC2	23.2463
NADK	1043.4347	NADK	1227.9772
NADSYN1	1047.7781	NADSYN1	1233.6868
NAE1	523.555	NAE1	801.7945
NAF1	201.4701	NAF1	195.3507
NAGA	483.7955	NAGA	934.3393
NAGK	782.1584	NAGK	1829.5269
NAGLU	1621.7842	NAGLU	1446.9821
NAGPA	325.6365	NAGPA	340.9462
NAGS	384.2299	NAGS	130.5057
NAIF1	275.6432	NAIF1	330.7504
NAIP	89.5423	NAIP	47.3083
NALCN	7.6846	NALCN	72.186
NAMPT	697.2937	NAMPT	1612.969
NANOS1	161.0424	NANOS1	306.6884
removed	removed	NANOS3	14.2741
NANP	162.0448	NANP	126.8352
NANS	1183.428	NANS	1279.4861
NAP1L1	3539.2583	NAP1L1	7291.1909
NAP1L2	30.0702	NAP1L2	187.602
NAP1L3	36.4183	NAP1L3	108.8907
NAP1L4	4894.4203	NAP1L4	4327.0799
NAP1L5	64.1497	NAP1L5	245.106
NAP1L6	12.0281	removed	removed
NAPA	2785.8269	NAPA	4844.69
NAPB	359.5055	NAPB	154.1599
NAPEPLD	448.5032	NAPEPLD	280.6566
NAPG	735.0484	NAPG	553.4258
NAPRT1	2280.989	NAPRT1	1390.7015
NAPSA	43.1006	NAPSA	10.6036
NAPSB	26.729	NAPSB	321.3703
NARFL	1140.3274	NARFL	1081.5661
NARF	1237.5543	NARF	1084.4209
NARG2	935.5162	NARG2	628.4666
NARS2	356.1644	NARS2	309.1354
NARS	2446.0408	NARS	2064.845
NASP	1000.6682	NASP	1589.7227
NAT10	2221.5169	NAT10	1147.2268
NAT14	1921.4835	NAT14	462.8874
NAT15	2233.8791	NAT15	1791.1909
NAT1	5173.0705	NAT1	101.1419
removed	removed	NAT2	6.1175
NAT6	193.6519	NAT6	333.5073
NAT8L	491.146	NAT8L	207.1778
NAT9	444.0361	NAT9	796.4927
NAV1	1272.302	NAV1	471.4519
NAV2	213.7955	NAV2	1645.9502
NAV3	64.8179	NAV3	185.155
NBAS	658.5366	NBAS	950.6525
NBEAL1	96.8927	NBEAL1	13.4584
NBEAL2	2754.7611	NBEAL2	1077.0799
NBEA	302.3722	NBEA	192.4959
NBL1	3062.5159	NBL1	7317.292
removed	removed	NBLA00301	16.3132
NBN	2104.2432	NBN	732.8711
NBPF10	833.1574	NBPF10	187.4307
NBPF14	453.1908	NBPF14	201.668
NBPF15	1138.9409	NBPF15	146.0033
NBPF16	241.8978	NBPF16	35.0734
NBPF1	1266.288	NBPF1	341.7618
NBPF22P	29.0678	removed	removed
NBPF3	150.0167	NBPF3	92.9853
NBPF4	452.723	NBPF4	9.3801
NBPF6	361.1761	removed	removed
NBPF9	987.0732	NBPF9	59.1803
NBR1	5874.0394	NBR1	3015.4976
NBR2	358.5032	NBR2	252.8548
NCALD	124.9582	NCALD	2102.3654
NCAM1	42.7665	NCAM1	198.1933
NCAM2	62.4791	NCAM2	102.3654
NCAPD2	1800.8687	NCAPD2	998.3687
NCAPD3	655.8637	NCAPD3	318.9233
NCAPG2	738.7237	NCAPG2	170.0653
NCAPG	292.4524	NCAPG	24.6533
NCAPH2	803.2075	NCAPH2	1303.0179
NCAPH	188.4397	NCAPH	19.168
NCBP1	1169.3652	NCBP1	454.5799
NCBP2	2306.7157	NCBP2	1457.1778
removed	removed	NCCRP1	54.2414
NCDN	797.1935	NCDN	1004.894
NCEH1	156.0307	NCEH1	201.876
NCF1B	8.6869	NCF1B	30.5873
NCF1C	12.3622	NCF1C	55.4649
NCF1	14.701	NCF1	176.9984
NCF2	63.4815	NCF2	212.8874
NCF4	68.8273	NCF4	307.0962
NCK1	354.4938	NCK1	334.4209
NCK2	648.8473	NCK2	1469.4127
NCKAP1L	151.3532	NCKAP1L	286.7047
NCKAP1	2449.716	NCKAP1	2068.5155
NCKAP5L	480.4544	NCKAP5L	905.7912
NCKAP5	67.4908	NCKAP5	128.0587
NCKIPSD	763.1139	NCKIPSD	929.8532
NCLN	1556.298	NCLN	1911.093
NCL	7696.2913	NCL	11647.2268
NCOA1	986.6355	NCOA1	1095.4323
NCOA2	1476.7792	NCOA2	74.633
NCOA3	1499.1647	NCOA3	453.0995
NCOA4	7234.2132	NCOA4	3039.1517
NCOA5	1319.412	NCOA5	1237.7651
NCOA6	1654.1931	NCOA6	726.3458
NCOA7	308.0521	NCOA7	1665.5791
NCOR1	2939.1914	NCOR1	1037.1126
NCOR2	7899.7661	NCOR2	4077.4878
removed	removed	NCR3	6.9331
NCRNA00081	321.5536	NCRNA00081	221.7251
NCRNA00085	106.2479	NCRNA00085	155.7912
NCRNA00086	37.0865	NCRNA00086	369.4943
NCRNA00087	26.3949	NCRNA00087	160.6852
removed	removed	NCRNA00092	33.8499
removed	removed	NCRNA00093	7.1533
NCRNA00094	1483.2208	NCRNA00094	938.3361
NCRNA00095	85.867	NCRNA00095	15.4976
NCRNA00105	37.4474	NCRNA00105	171.3295
NCRNA00107	6.3481	NCRNA00107	13.8662
removed	removed	NCRNA00110	107.2594
NCRNA00115	22.3856	NCRNA00115	8.1566
NCRNA00116	108.2526	NCRNA00116	504.894
NCRNA00120	14.3669	NCRNA00120	6.9331
NCRNA00152	65.8202	NCRNA00152	362.1533
NCRNA00160	23.0538	NCRNA00160	10.1958
removed	removed	NCRNA00162	20.7993
NCRNA00171	58.1089	NCRNA00171	14.0253
NCRNA00173	36.0842	NCRNA00173	26.9168
NCRNA00174	236.552	NCRNA00174	122.7569
NCRNA00176	105.5797	NCRNA00176	16.3132
NCRNA00181	383.6017	NCRNA00181	228.5522
NCRNA00182	21.7173	NCRNA00182	28.5481
NCRNA00183	317.7414	NCRNA00183	235.7259
NCRNA00188	6601.0692	NCRNA00188	13523.6542
NCRNA00201	670.3976	NCRNA00201	458.646
NCRNA00202	7.6846	NCRNA00202	5.3018
NCRNA00204B	5.0117	NCRNA00204B	14.6819
NCRNA00219	301.704	NCRNA00219	1079.9347
NCS1	463.0805	NCS1	565.2529
NCSTN	3569.3886	NCSTN	2287.5204
NDC80	98.5633	NDC80	13.0506
NDE1	458.3862	NDE1	399.7227
NDEL1	661.2095	NDEL1	1263.0506
NDFIP1	2757.0999	NDFIP1	3009.3801
NDFIP2	1026.729	NDFIP2	494.6982
NDNL2	308.7203	NDNL2	617.0473
NDN	157.7013	NDN	1292.8222
NDOR1	1287.6712	NDOR1	881.7292
removed	removed	NDP	113.3768
NDRG1	8122.9536	NDRG1	5372.3491
NDRG2	1023.722	NDRG2	9382.5449
NDRG3	1435.3491	NDRG3	912.3165
NDRG4	142.3321	NDRG4	195.7586
NDST1	4026.0608	NDST1	3831.1582
NDST2	638.8239	NDST2	591.354
NDST4	7.6846	removed	removed
NDUFA10	1432.008	NDUFA10	2384.1762
NDUFA11	2346.141	NDUFA11	3425.367
NDUFA12	596.7257	NDUFA12	771.2072
NDUFA13	1678.5499	NDUFA13	4270.2651
NDUFA1	1085.5329	NDUFA1	1561.9902
NDUFA2	1187.1032	NDUFA2	1516.3132
NDUFA3	1605.7467	NDUFA3	1000
NDUFA4L2	376.2112	NDUFA4L2	350.7341
NDUFA4	2669.2282	NDUFA4	3976.7537
NDUFA5	1704.3101	NDUFA5	1357.2594
NDUFA6	597.3939	NDUFA6	1137.031
NDUFA7	1634.8146	NDUFA7	892.7406
NDUFA8	1035.416	NDUFA8	1081.1582
NDUFA9	451.0525	NDUFA9	1368.2708
NDUFAB1	1242.2319	NDUFAB1	1139.478
NDUFAF1	580.3542	NDUFAF1	441.6803
NDUFAF2	70.1637	NDUFAF2	191.6803
NDUFAF3	1121.6171	NDUFAF3	2005.3018
NDUFAF4	134.9816	NDUFAF4	325.4486
NDUFB10	1831.6071	NDUFB10	2048.5318
NDUFB11	1917.4741	NDUFB11	2481.6476
NDUFB1	450.3842	NDUFB1	721.8597
NDUFB2	1392.2452	NDUFB2	1998.7724
NDUFB3	300.0334	NDUFB3	607.6672
NDUFB4	1748.0789	NDUFB4	2192.9038
NDUFB5	806.2145	NDUFB5	1270.7993
NDUFB6	816.9061	NDUFB6	929.0375
NDUFB7	2633.4781	NDUFB7	2637.4388
NDUFB8	1012.6595	NDUFB8	2299.2618
NDUFB9	3014.7043	NDUFB9	2862.1533
NDUFC1	496.1577	NDUFC1	1119.9021
NDUFC2	1757.0999	NDUFC2	3252.447
NDUFS1	1073.839	NDUFS1	775.6933
NDUFS2	2162.713	NDUFS2	2318.9233
NDUFS3	1375.416	NDUFS3	1734.633
NDUFS4	508.854	NDUFS4	969.8206
NDUFS5	682.2586	NDUFS5	2237.7651
NDUFS6	863.6819	NDUFS6	1574.633
NDUFS7	585.5964	NDUFS7	1646.3907
NDUFS8	1530.2372	NDUFS8	2060.7667
NDUFV1	4746.0742	NDUFV1	3867.863
NDUFV2	787.8383	NDUFV2	1819.739
NDUFV3	662.2118	NDUFV3	839.7227
NEAT1	14301.704	NEAT1	6216.9657
NEBL	1616.7725	NEBL	1697.7977
NEB	7.6846	NEB	11.4192
NECAB1	17.708	NECAB1	201.4682
removed	removed	NECAB2	12.6427
NECAB3	2628.4664	NECAB3	632.5449
NECAP1	2705.6465	NECAP1	564.845
NECAP2	1109.589	NECAP2	1880.5057
NEDD1	501.5035	NEDD1	299.7553
NEDD4L	2364.8513	NEDD4L	1588.907
NEDD4	400.9355	NEDD4	244.6982
NEDD8	1907.7848	NEDD8	2216.1501
NEDD9	879.7193	NEDD9	2298.5318
NEFH	17.3739	NEFH	43.6378
removed	removed	NEFL	10.6036
removed	removed	NEFM	16.354
NEGR1	85.1988	NEGR1	220.6362
NEIL1	182.4257	NEIL1	275.6933
NEIL2	2186.7691	NEIL2	719.8206
NEIL3	70.8319	removed	removed
NEK10	9.6893	NEK10	159.4617
NEK11	393.9191	NEK11	292.0065
NEK1	227.5309	NEK1	220.2284
NEK2	395.2556	NEK2	8.5644
NEK3	139.6592	NEK3	202.6917
NEK4	1118.276	NEK4	294.4535
NEK5	23.722	removed	removed
NEK6	119.9465	NEK6	601.5498
NEK7	1142.6662	NEK7	772.4307
NEK8	307.0498	NEK8	125.6117
NEK9	2651.8543	NEK9	1544.4535
NELF	2007.0164	NELF	1354.8124
NELL1	23.3879	removed	removed
NELL2	576.6789	NELL2	119.0865
NENF	856.3314	NENF	2466.1501
NEO1	1306.3816	NEO1	1325.8564
NES	1603.7421	NES	8177.814
NET1	3162.3789	NET1	1502.8548
NETO2	211.1594	NETO2	221.044
NEU1	3813.2309	NEU1	2370.7178
NEU3	97.8951	NEU3	22.8385
NEU4	15.3692	NEU4	8.5644
NEURL1B	1195.7902	NEURL1B	511.8271
NEURL2	22.2285	NEURL2	47.8222
removed	removed	NEURL3	62.398
NEURL4	1062.9201	NEURL4	653.1607
NEURL	153.0237	NEURL	30.5873
removed	removed	NEUROG2	22.0228
NEXN	91.5469	NEXN	369.0865
NF1	2574.3401	NF1	889.8858
NF2	813.565	NF2	1088.907
NFAM1	81.8577	NFAM1	198.6134
NFASC	267.4073	NFASC	380.9992
NFAT5	737.7213	NFAT5	982.8711
NFATC1	841.9646	NFATC1	749.5922
NFATC2IP	1106.2479	NFATC2IP	483.279
NFATC2	15.7033	NFATC2	10.6036
NFATC3	393.9191	NFATC3	433.5237
NFATC4	956.5653	NFATC4	959.217
NFE2L1	6830.9389	NFE2L1	6499.1843
NFE2L2	1147.3438	NFE2L2	2863.3728
NFE2L3	103.575	NFE2L3	171.2887
removed	removed	NFE2	35.4812
NFIA	251.9211	NFIA	1450.6525
NFIB	1195.4561	NFIB	4345.4323
NFIC	493.1507	NFIC	485.3181
NFIL3	152.6896	NFIL3	938.4176
NFIX	1759.1046	NFIX	3036.2969
NFKB1	888.4063	NFKB1	1287.1126
NFKB2	393.2509	NFKB2	1163.9478
NFKBIA	1157.3672	NFKBIA	2510.1958
NFKBIB	295.6899	NFKBIB	749.1843
NFKBID	68.4932	NFKBID	119.9021
NFKBIE	263.6151	NFKBIE	565.2529
NFKBIL1	383.2275	NFKBIL1	1053.4258
NFKBIL2	576.0074	NFKBIL2	152.5285
NFKBIZ	116.7157	NFKBIZ	857.6387
NFRKB	513.1975	NFRKB	796.4927
NFS1	738.3896	NFS1	508.5644
NFU1	642.4992	NFU1	801.3866
NFX1	1176.7457	NFX1	905.7912
NFXL1	182.2619	NFXL1	116.6395
NFYA	973.9392	NFYA	659.4617
NFYB	830.6047	NFYB	671.6966
NFYC	641.6839	NFYC	1469.1558
NGDN	703.9759	NGDN	710.8483
removed	removed	NGEF	179.0375
NGFRAP1	895.7568	NGFRAP1	2762.6427
NGFR	152.0214	NGFR	3739.3964
NGF	24.0561	NGF	19.5759
NGLY1	601.4033	NGLY1	584.0131
NGRN	3899.7795	NGRN	3770.6974
NHEDC1	14.701	removed	removed
NHEDC2	29.0678	NHEDC2	138.6623
NHEJ1	78.8507	NHEJ1	213.7031
NHLH2	28.3996	removed	removed
NHLRC1	104.2432	NHLRC1	98.6949
NHLRC2	65.152	NHLRC2	27.3246
NHLRC3	811.2262	NHLRC3	466.5579
NHLRC4	12.6963	NHLRC4	111.3377
NHP2L1	2274.9749	NHP2L1	3472.6754
NHP2	1751.0859	NHP2	2526.1011
NHSL1	96.2245	NHSL1	202.6917
NHSL2	20.715	NHSL2	13.0506
NHS	383.2275	NHS	79.1191
NICN1	425.2322	NICN1	543.0954
NID1	1830.1203	NID1	803.9682
NID2	656.1978	NID2	152.1207
NIF3L1	330.7718	NIF3L1	456.3622
NINJ1	1858.6702	NINJ1	4048.5318
NINJ2	42.0982	NINJ2	97.0636
NINL	221.1828	NINL	425.7749
NIN	1429.3351	NIN	496.3295
NIP7	325.7601	NIP7	654.1599
NIPA1	533.5783	NIPA1	152.9364
NIPA2	944.8714	NIPA2	659.4617
removed	removed	NIPAL1	11.8271
NIPAL2	65.152	NIPAL2	62.398
NIPAL3	1559.6392	NIPAL3	1078.3034
NIPBL	1563.3144	NIPBL	952.2838
NIPSNAP1	1254.9282	NIPSNAP1	1376.4274
NIPSNAP3A	732.7097	NIPSNAP3A	576.2643
NIPSNAP3B	16.7123	NIPSNAP3B	68.9233
NISCH	3103.2409	NISCH	3533.8499
NIT1	550.4878	NIT1	746.46
NIT2	956.2312	NIT2	1048.124
NKAIN1	4742.3989	NKAIN1	157.4225
removed	removed	NKAIN2	7.7488
NKAPL	6.014	NKAPL	33.8499
NKAP	543.2676	NKAP	436.7863
NKD2	278.9843	NKD2	159.8695
NKG7	20.0468	NKG7	144.7798
NKIRAS1	191.1126	NKIRAS1	205.1387
NKIRAS2	2156.3649	NKIRAS2	896.0033
NKPD1	7.0164	NKPD1	75.8564
NKRF	324.7578	NKRF	218.1892
NKTR	1516.8727	NKTR	707.5856
NKX2-3	12.3622	removed	removed
removed	removed	NKX2-5	31.8108
removed	removed	NKX2-8	26.1011
NKX3-1	224.5239	NKX3-1	223.0832
removed	removed	NKX3-2	7.7488
NKX6-1	9.6893	NKX6-1	8.1566
NLE1	570.6649	NLE1	548.5318
removed	removed	NLGN1	16.721
NLGN2	864.6843	NLGN2	883.3605
NLGN3	27.7314	NLGN3	78.3034
NLGN4X	8.0187	NLGN4X	123.9804
NLK	847.3104	NLK	273.2463
NLN	371.8677	NLN	174.5514
NLRC3	159.3719	NLRC3	92.9853
NLRC4	13.6986	NLRC4	29.7716
NLRC5	286.6689	NLRC5	257.3409
removed	removed	NLRP12	7.7488
NLRP13	30.4043	removed	removed
NLRP1	164.0494	NLRP1	360.9299
removed	removed	NLRP2	345.8401
NLRP3	41.7641	NLRP3	137.4388
NLRP5	113.5984	NLRP5	55.8728
removed	removed	NLRP6	8.5644
removed	removed	NLRP7	5.7096
NLRP8	172.7364	removed	removed
NLRP9	8.0187	removed	removed
NLRX1	378.5499	NLRX1	804.6493
NMB	96.8927	NMB	492.2512
NMD3	1258.2693	NMD3	670.4731
NME1-NME2	76.4551	NME1-NME2	256.5008
NME1	1899.6425	NME1	1509.0742
NME2P1	63.1473	NME2P1	99.5106
NME2	6053.3044	NME2	11203.0179
NME3	2107.2503	NME3	1598.6949
NME4	1630.4711	NME4	2098.2871
NME5	138.6569	NME5	121.5334
NME6	212.1617	NME6	172.5122
NME7	214.7444	NME7	275.4445
NMI	100.9021	NMI	378.4666
NMNAT1	184.4303	NMNAT1	287.5204
NMNAT2	63.1473	NMNAT2	66.4763
NMNAT3	92.5493	NMNAT3	278.1403
NMRAL1	997.6612	NMRAL1	1449.0212
NMT1	3724.3568	NMT1	2738.1729
NMT2	170.3976	NMT2	560.3589
NMUR1	7.3505	NMUR1	75.4486
NMU	8.0187	removed	removed
NNAT	55.1286	NNAT	422.9201
NNMT	470.431	NNMT	5870.7178
NNT	1051.7875	NNT	464.9266
NOB1	529.9031	NOB1	1830.7504
NOC2L	1919.5256	NOC2L	2572.3736
NOC3L	330.1036	NOC3L	288.7439
NOC4L	767.7915	NOC4L	741.4356
NOD1	159.3719	NOD1	500
NOD2	28.7337	NOD2	42.4144
NODAL	5.0117	NODAL	12.6427
removed	removed	NOG	31.8108
NOL10	376.8794	NOL10	535.8891
NOL11	1204.143	NOL11	759.7879
NOL12	239.2249	NOL12	544.8613
NOL3	406.6154	NOL3	868.6297
NOL6	1541.5971	NOL6	1132.137
NOL7	852.6562	NOL7	843.801
NOL8	636.4851	NOL8	529.7716
NOL9	115.269	NOL9	115.8238
NOLC1	2943.869	NOLC1	1802.2023
NOM1	461.0758	NOM1	311.1746
NOMO1	3104.2432	NOMO1	2788.3361
NOMO2	1537.5877	NOMO2	566.4763
NOMO3	1107.2503	NOMO3	1006.5253
NONO	9084.5306	NONO	6955.1387
NOP10	657.8684	NOP10	1204.323
NOP14	1596.729	NOP14	1069.2007
NOP16	194.1196	NOP16	329.5269
NOP2	739.3919	NOP2	722.2675
NOP56	2703.3077	NOP56	1974.7145
