gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ACTR3	1756.4317	ACTR3	2247.9608
ACTR5	305.0451	ACTR5	262.6427
ACTR6	1001.6706	ACTR6	559.5432
ACTR8	854.3268	ACTR8	352.7732
ACVR1B	2348.4798	ACVR1B	916.3948
ACVR1C	18.7103	ACVR1C	148.0424
ACVR1	374.5406	ACVR1	961.2561
ACVR2A	200.8019	ACVR2A	374.7961
ACVR2B	529.9031	ACVR2B	155.3834
ACVRL1	528.9008	ACVRL1	851.1419
ACY1	798.1958	ACY1	1173.1158
removed	removed	ACY3	60.3589
ACYP1	102.5727	ACYP1	98.6949
ACYP2	36.7524	ACYP2	253.6705
ADAL	132.3087	ADAL	159.0538
ADAM10	1511.5269	ADAM10	566.0685
ADAM11	11.3598	ADAM11	26.509
ADAM12	580.02	ADAM12	240.6199
ADAM15	1967.9619	ADAM15	3900.4894
ADAM17	365.8537	ADAM17	393.9641
ADAM18	8.0187	removed	removed
ADAM19	95.8904	ADAM19	59.9511
ADAM22	34.0795	ADAM22	11.0114
ADAM23	9.6893	ADAM23	8.5644
ADAM28	15.3692	ADAM28	109.7064
ADAM2	175.4093	removed	removed
ADAM32	13.6986	ADAM32	14.6819
ADAM33	37.0865	ADAM33	635.6281
ADAM6	16503.8323	ADAM6	95560.2692
ADAM8	77.8483	ADAM8	155.7912
ADAM9	4540.2606	ADAM9	1104.8124
ADAMDEC1	9.3552	removed	removed
ADAMTS10	70.4978	ADAMTS10	162.3165
ADAMTS12	153.6919	ADAMTS12	37.5204
ADAMTS13	157.7013	ADAMTS13	124.7961
ADAMTS14	21.7173	removed	removed
ADAMTS15	926.161	ADAMTS15	121.1256
ADAMTS16	32.409	ADAMTS16	41.1909
ADAMTS17	191.7808	ADAMTS17	39.1517
ADAMTS18	6.6823	ADAMTS18	39.1517
ADAMTS19	17.0398	removed	removed
ADAMTS1	646.1744	ADAMTS1	3272.0228
ADAMTS2	328.7671	ADAMTS2	307.5041
ADAMTS3	8.3528	ADAMTS3	60.7667
ADAMTS4	330.7718	ADAMTS4	326.2643
ADAMTS5	58.1356	ADAMTS5	804.2414
