gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
LOC645676	17.2946	LOC645676	28.8707
LOC646214	131.181	LOC646214	156.0891
LOC646471	34.1071	LOC646471	93.9726
LOC646762	391.4998	LOC646762	518.1693
LOC646851	47.405	LOC646851	112.5698
LOC646999	26.1545	LOC646999	20.0189
LOC647121	18.7985	LOC647121	26.9819
LOC647288	6.9473	LOC647288	9.5742
LOC647946	9.3993	LOC647946	14.2163
LOC647979	10657.1312	LOC647979	12393.124
LOC648740	16.0114	LOC648740	23.1493
LOC649330	11.0339	LOC649330	14.2163
LOC650368	45.3617	LOC650368	41.4884
LOC650623	56.3956	LOC650623	116.3415
LOC651250	1659.9918	LOC651250	1917.4585
LOC652276	41.275	LOC652276	47.2909
LOC653113	20.8418	LOC653113	30.1734
LOC653501	124.6424	LOC653501	339.1601
LOC653566	1606.8655	LOC653566	1753.8261
LOC653653	85.002	LOC653653	79.4952
LOC654342	272.9873	LOC654342	367.3025
LOC654433	201.0625	LOC654433	114.0495
LOC678655	186.9105	LOC678655	314.5804
LOC723972	11.8512	LOC723972	10.1545
LOC727896	31.0584	LOC727896	24.951
LOC728024	20.0245	LOC728024	21.4695
LOC728190	146.3016	LOC728190	188.2933
LOC728264	213.7311	LOC728264	917.6761
LOC728323	14.3032	LOC728323	39.7476
LOC728392	94.81	LOC728392	168.8547
LOC728554	305.2718	LOC728554	311.3078
LOC728606	241.9289	LOC728606	342.6416
LOC728613	99.7139	LOC728613	181.3302
LOC728640	44.5443	LOC728640	50.4823
LOC728643	102.5746	LOC728643	65.569
LOC728723	14.3032	LOC728723	16.8274
LOC728743	155.2922	LOC728743	152.6075
LOC728758	42.0924	LOC728758	39.1673
LOC728819	11.0339	LOC728819	24.6609
LOC728855	173.4696	LOC728855	263.2306
LOC728875	41.4875	LOC728875	63.1639
removed	removed	LOC728989	6.673
LOC729020	13.8946	LOC729020	22.0498
LOC729082	484.7405	LOC729082	569.374
LOC729176	28.6065	LOC729176	31.3339
LOC729234	63.3429	LOC729234	90.8102
LOC729375	32.6931	LOC729375	60.6281
LOC729603	18.7985	LOC729603	34.8154
LOC729678	357.7401	LOC729678	548.5718
LOC729799	7.3559	LOC729799	29.5931
LOC729991-MEF2B	62.2599	LOC729991-MEF2B	31.1743
LOC729991	246.036	LOC729991	149.7759
LOC730101	71.5161	LOC730101	228.0409
LOC80054	27.7891	LOC80054	86.4583
LOC80154	335.1042	LOC80154	569.522
LOC81691	230.895	LOC81691	182.7809
removed	removed	LOC84740	6.1304
LOC84856	10.6253	LOC84856	54.254
LOC84989	5.6396	LOC84989	7.3838
LOC90110	281.5693	LOC90110	287.5172
LOC90246	13.0772	LOC90246	18.8583
LOC90784	369.432	LOC90784	288.0975
LOC90834	6.5386	LOC90834	29.303
LOC91316	103.2693	LOC91316	343.5178
LOC91450	6.13	removed	removed
LOC92249	459.7466	LOC92249	805.3964
LOC92659	50.2656	LOC92659	63.248
LOC92973	61.7082	LOC92973	136.0702
LOC93622	506.3343	LOC93622	425.6183
LOC96610	5157.5031	LOC96610	13921.4622
LOH12CR1	80.0981	LOH12CR1	127.9466
LOH12CR2	18.3899	LOH12CR2	52.2231
LOH3CR2A	54.7609	LOH3CR2A	28.7227
LONP1	1510.0123	LONP1	1281.7872
LONP2	1145.0756	LONP2	2599.5503
LONRF1	274.2133	LONRF1	615.3623
LONRF2	749.8978	LONRF2	822.8041
LONRF3	11.4426	LONRF3	47.8712
LOXHD1	8.1733	LOXHD1	11.8953
LOXL1	2381.6878	LOXL1	527.7319
LOXL2	4008.1324	LOXL2	830.0051
LOXL3	96.4814	LOXL3	88.9563
LOXL4	95.6273	LOXL4	292.1593
LOX	2193.7066	LOX	947.2692
LPAR1	440.5394	LPAR1	749.1115
LPAR2	338.7822	LPAR2	300.2829
LPAR3	15.5292	LPAR3	82.1063
LPAR4	16.7552	LPAR4	42.939
LPAR5	146.3016	LPAR5	85.5879
LPAR6	590.9277	LPAR6	1237.3975
LPCAT1	1710.6661	LPCAT1	1484.0067
LPCAT2	594.197	LPCAT2	888.9534
LPCAT3	623.2121	LPCAT3	1480.235
LPCAT4	322.027	LPCAT4	322.6228
LPGAT1	2619.9428	LPGAT1	1944.7305
LPHN1	1082.9383	LPHN1	1052.8759
LPHN2	762.5664	LPHN2	1404.2214
LPHN3	53.1263	LPHN3	146.5148
LPIN1	343.6861	LPIN1	978.603
LPIN2	1282.3866	LPIN2	1196.4894
LPIN3	243.2244	LPIN3	325.9157
LPL	2862.2803	LPL	1503.1551
removed	removed	LPPR1	58.8961
LPPR2	810.7887	LPPR2	458.9831
LPPR3	122.1904	LPPR3	225.7199
LPPR4	87.454	LPPR4	144.7741
LPPR5	11.4426	removed	removed
LPP	506.3343	LPP	1209.5452
LPXN	284.0213	LPXN	232.1027
LQK1	54.3523	LQK1	39.1673
removed	removed	LRAT	94.0016
LRBA	2472.8239	LRBA	4619.7142
LRCH1	803.8414	LRCH1	978.603
LRCH2	67.0208	LRCH2	81.2359
LRCH3	408.255	LRCH3	449.699
LRCH4	914.998	LRCH4	629.8687
LRDD	239.8856	LRDD	162.4719
LRFN1	28.6065	LRFN1	54.254
LRFN2	12.2599	removed	removed
LRFN3	205.9665	LRFN3	193.8058
LRFN4	345.3208	LRFN4	164.5028
LRFN5	15.5292	LRFN5	74.2729
LRG1	1634.246	LRG1	821.6436
LRGUK	7.3559	LRGUK	12.1854
LRIG1	2531.6183	LRIG1	9722.0657
LRIG2	193.2979	LRIG2	410.8218
LRIG3	503.065	LRIG3	1135.5625
LRIT3	9.8079	LRIT3	12.1854
LRMP	58.8476	LRMP	146.2247
LRP10	4513.2816	LRP10	6008.2687
LRP11	949.7262	LRP11	1029.3697
LRP12	364.9367	LRP12	371.6545
LRP1B	43.3183	LRP1B	55.4145
LRP1	13653.4532	LRP1	12269.8194
LRP2BP	42.501	LRP2BP	81.5261
LRP2	653.0445	LRP2	8568.6516
LRP3	732.5255	LRP3	828.2875
LRP4	100.5272	LRP4	408.4485
LRP5L	29.4238	LRP5L	94.872
LRP5	1089.0887	LRP5	2338.4348
LRP6	684.5116	LRP6	2210.198
LRP8	55.1696	LRP8	48.7416
LRPAP1	2440.9481	LRPAP1	2161.1663
LRPPRC	2628.5247	LRPPRC	4559.9478
LRRC10B	109.5219	LRRC10B	18.2781
removed	removed	LRRC14B	10.1545
LRRC14	548.1774	LRRC14	577.0305
LRRC15	4812.832	LRRC15	241.9671
LRRC16A	539.0274	LRRC16A	698.0489
LRRC16B	5.3126	LRRC16B	19.7287
LRRC17	963.6289	LRRC17	554.7255
removed	removed	LRRC18	7.5433
LRRC1	632.2027	LRRC1	543.9907
LRRC20	391.4998	LRRC20	164.5028
LRRC23	151.6142	LRRC23	179.5895
LRRC24	5.5619	LRRC24	8.7387
LRRC25	129.955	LRRC25	67.3098
LRRC26	61.7082	LRRC26	165.3732
LRRC27	233.347	LRRC27	257.2597
LRRC28	164.6915	LRRC28	188.8736
LRRC29	50.2656	LRRC29	57.7355
LRRC2	18.7985	LRRC2	91.6806
LRRC31	6.9473	LRRC31	198.7379
LRRC32	2494.483	LRRC32	531.5152
LRRC33	131.9984	LRRC33	118.0823
LRRC34	37.1884	LRRC34	55.1244
LRRC36	17.9812	LRRC36	5.5124
LRRC37A2	162.1537	LRRC37A2	290.0588
LRRC37A3	112.3825	LRRC37A3	143.0333
LRRC37A4	70.2902	LRRC37A4	266.0129
LRRC37A	333.0609	LRRC37A	674.8386
LRRC37B2	383.7352	LRRC37B2	662.3631
LRRC37B	52.3089	LRRC37B	157.8298
LRRC39	12.738	LRRC39	7.4505
removed	removed	LRRC3B	35.9759
LRRC3	29.0151	LRRC3	45.8403
LRRC40	299.5505	LRRC40	386.7411
LRRC41	1993.87	LRRC41	1809.8208
LRRC42	717.2047	LRRC42	580.837
removed	removed	LRRC43	10.7348
LRRC45	373.9273	LRRC45	254.1525
LRRC46	139.763	LRRC46	55.1244
LRRC47	1084.5934	LRRC47	1045.3326
LRRC48	140.1716	LRRC48	202.8897
LRRC49	96.8533	LRRC49	152.8977
LRRC4B	22.4765	LRRC4B	57.7355
LRRC4C	165.9174	LRRC4C	87.6188
LRRC4	67.0208	LRRC4	31.0437
LRRC50	29.0151	LRRC50	67.0197
LRRC55	32.6931	LRRC55	35.6858
LRRC56	276.2566	LRRC56	120.9835
LRRC57	342.4602	LRRC57	400.3772
LRRC58	1239.8856	LRRC58	1636.6142
LRRC59	3448.3735	LRRC59	2431.8039
LRRC61	184.716	LRRC61	180.4599
LRRC66	5.3126	LRRC66	7.5433
LRRC6	171.2301	LRRC6	103.866
LRRC70	41.4712	LRRC70	63.3814
removed	removed	LRRC7	11.0249
LRRC8A	2038.0057	LRRC8A	1639.8056
LRRC8B	464.2419	LRRC8B	675.709
LRRC8C	538.6187	LRRC8C	528.6139
LRRC8D	908.868	LRRC8D	946.1087
LRRC8E	497.3437	LRRC8E	373.9755
LRRCC1	498.9783	LRRCC1	524.8422
LRRFIP1	3428.2795	LRRFIP1	4315.9498
LRRFIP2	862.2803	LRRFIP2	1252.7744
LRRIQ1	15.9379	LRRIQ1	35.1055
LRRIQ3	34.7364	LRRIQ3	22.63
LRRK1	184.716	LRRK1	466.5264
LRRK2	299.1418	LRRK2	304.6348
LRRN1	334.6955	LRRN1	761.2969
LRRN2	565.1819	LRRN2	235.5842
LRRN3	46.9963	LRRN3	120.6934
LRRN4CL	88.2714	LRRN4CL	286.0666
LRRTM2	9.8079	LRRTM2	66.4394
removed	removed	LRRTM3	6.673
removed	removed	LRRTM4	33.3648
LRSAM1	778.5043	LRSAM1	422.4269
LRTOMT	342.4479	LRTOMT	368.083
LRWD1	351.0421	LRWD1	186.2624
LSAMP	16.7552	LSAMP	25.8214
LSG1	1367.7973	LSG1	881.7002
LSM10	351.8594	LSM10	261.4057
LSM11	255.4148	LSM11	281.7147
LSM12	1250.9195	LSM12	831.2178
LSM14A	2389.4565	LSM14A	3247.6971
LSM14B	1469.9632	LSM14B	1005.585
LSM1	537.3927	LSM1	362.3703
LSM2	959.1336	LSM2	520.4903
LSM3	826.7266	LSM3	656.2704
LSM4	1538.2101	LSM4	924.0589
LSM5	522.2722	LSM5	467.3968
LSM6	228.443	LSM6	193.5156
LSM7	442.9914	LSM7	258.5044
LSMD1	424.6016	LSMD1	245.1585
LSP1	1762.5664	LSP1	838.7612
LSR	2451.5734	LSR	1364.4738
LSS	588.067	LSS	902.5894
LST1	85.8194	LST1	59.4763
LTA4H	1910.9113	LTA4H	2149.2711
LTB4R2	38.819	LTB4R2	59.7461
LTB4R	163.6453	LTB4R	148.2092
LTBP1	2032.6931	LTBP1	1706.5351
LTBP2	8875.7662	LTBP2	5457.0247
LTBP3	2906.4937	LTBP3	4303.1929
LTBP4	1214.9571	LTBP4	2862.9869
LTBR	1131.181	LTBR	1056.9377
LTB	52.7176	LTB	60.3467
LTC4S	47.3437	LTC4S	35.6075
LTF	13363.7107	LTF	17450.932
LTV1	490.989	LTV1	519.0397
LUC7L2	2085.4189	LUC7L2	2860.6658
LUC7L3	2682.877	LUC7L3	3205.9186
LUC7L	707.8055	LUC7L	656.5605
LUM	31338.3735	LUM	11151.6646
LUZP1	1285.6559	LUZP1	1367.3751
LUZP2	26.1545	LUZP2	198.4478
LUZP6	4002.0433	LUZP6	4366.142
LXN	559.0519	LXN	366.7223
removed	removed	LY6D	38.5871
LY6E	8008.9906	LY6E	3290.9262
LY6G5B	16.2812	LY6G5B	35.9382
LY6G5C	68.2468	LY6G5C	27.8523
LY6G6C	85.002	LY6G6C	5.8026
LY6H	36.7797	LY6H	5.2223
LY6K	21.6592	LY6K	61.7973
LY75	188.8026	LY75	2017.5238
LY86	182.264	LY86	60.0566
LY96	160.1962	LY96	71.9518
LY9	13.0772	LY9	46.1304
LYAR	246.0155	LYAR	232.1027
LYG1	8.5819	removed	removed
LYL1	107.0699	LYL1	60.0566
LYNX1	165.5088	LYNX1	558.207
LYN	516.5509	LYN	573.0036
LYPD1	50.6293	LYPD1	23.2045
LYPD3	473.2325	LYPD3	468.2672
LYPD5	64.9775	LYPD5	58.0257
LYPD6B	266.4487	LYPD6B	288.9679
LYPD6	129.1377	LYPD6	1242.6199
LYPLA1	1404.1684	LYPLA1	1598.3173
LYPLA2P1	72.3335	LYPLA2P1	66.7295
LYPLA2	1363.302	LYPLA2	725.9012
LYPLAL1	398.4471	LYPLAL1	306.6657
LYRM1	621.9861	LYRM1	643.7949
LYRM2	586.743	LYRM2	973.0239
LYRM4	361.6673	LYRM4	398.0561
LYRM5	227.6257	LYRM5	437.8037
LYRM7	357.9894	LYRM7	528.3238
LYSMD1	267.6747	LYSMD1	201.9294
LYSMD2	87.454	LYSMD2	147.3852
LYSMD3	729.056	LYSMD3	871.5457
LYSMD4	102.3743	LYSMD4	216.166
LYST	509.6036	LYST	1527.5259
LYVE1	114.8345	LYVE1	401.8278
LYZ	1234.9816	LYZ	2560.383
LZIC	322.8443	LZIC	496.9899
LZTFL1	666.9391	LZTFL1	1149.1985
LZTR1	609.2644	LZTR1	772.3101
LZTS1	434.8181	LZTS1	713.4257
LZTS2	1853.2897	LZTS2	1430.9132
M6PR	2237.9485	M6PR	3472.2188
MAB21L1	38.0057	MAB21L1	240.8066
MACC1	972.2109	MACC1	472.0389
MACF1	7052.7176	MACF1	7998.5494
MACROD1	178.586	MACROD1	165.6633
MACROD2	15.1206	MACROD2	136.3603
MAD1L1	443.8087	MAD1L1	275.0417
MAD2L1BP	707.3968	MAD2L1BP	346.9935
MAD2L1	444.6261	MAD2L1	116.3415
MAD2L2	633.02	MAD2L2	263.7267
MADD	1340.8255	MADD	1664.1764
MAEA	979.9755	MAEA	974.2511
MAF1	2255.8235	MAF1	1723.0725
MAFB	2285.2472	MAFB	1125.6981
MAFF	281.1606	MAFF	447.9582
MAFG	633.02	MAFG	556.1761
MAFK	446.3629	MAFK	493.8188
MAF	855.3331	MAF	1519.1122
MAGEA1	901.1034	removed	removed
MAGEA8	11.0339	removed	removed
MAGEB16	5.7213	removed	removed
MAGEC2	5.7213	removed	removed
MAGEC3	7.3559	removed	removed
MAGED1	6564.7732	MAGED1	3905.7083
MAGED2	33497.3437	MAGED2	14776.8187
MAGED4B	206.5223	MAGED4B	365.3123
MAGED4	77.0903	MAGED4	76.5533
MAGEE1	177.36	MAGEE1	232.1027
MAGEF1	1293.0119	MAGEF1	969.8992
MAGEH1	428.6882	MAGEH1	564.5898
MAGEL2	54.7609	MAGEL2	41.1982
MAGI1	698.8149	MAGI1	1783.4192
MAGI2	161.0135	MAGI2	405.0192
MAGI3	1167.9608	MAGI3	1285.5589
MAGIX	80.5067	MAGIX	30.4635
MAGOHB	185.5333	MAGOHB	170.3054
MAGOH	435.2268	MAGOH	317.9807
MAGT1	2015.1206	MAGT1	3220.425
MAG	10.6253	removed	removed
MAK16	404.1602	MAK16	476.5591
MAK	34.3277	MAK	18.5682
MAL2	4365.3453	MAL2	3104.9539
MALAT1	3572.3171	MALAT1	3946.57
MALL	449.53	MALL	398.9265
MALT1	311.4017	MALT1	614.4919
removed	removed	MAL	15.6669
MAMDC2	180.9767	MAMDC2	774.7356
MAMDC4	44.5443	MAMDC4	65.8591
MAML1	1500.2656	MAML1	1602.1673
MAML2	203.9232	MAML2	1056.6476
MAML3	414.385	MAML3	732.8643
MAMLD1	201.0625	MAMLD1	125.0453
MAMSTR	40.8664	MAMSTR	16.8274
MAN1A1	1445.4434	MAN1A1	1137.5934
MAN1A2	720.0654	MAN1A2	1253.3546
MAN1B1	2086.228	MAN1B1	1862.9143
MAN1C1	383.3265	MAN1C1	247.7696
MAN2A1	459.338	MAN2A1	890.404
MAN2A2	709.0315	MAN2A2	1337.782
MAN2B1	2450.3474	MAN2B1	1535.0693
MAN2B2	1924.8059	MAN2B2	2042.5038
MAN2C1	523.4982	MAN2C1	893.5954
MANBAL	1952.1864	MANBAL	1022.9927
MANBA	872.9056	MANBA	1023.2828
MANEAL	163.8741	MANEAL	207.1517
MANEA	338.7822	MANEA	605.7881
MANF	1308.9497	MANF	870.6753
MANSC1	367.3886	MANSC1	1087.6913
MAOA	492.4397	MAOA	3262.2035
MAOB	1048.631	MAOB	2116.7767
MAP1A	977.5235	MAP1A	623.1958
MAP1B	2817.736	MAP1B	2124.0299
MAP1D	33.9191	MAP1D	64.4085
MAP1LC3A	412.3416	MAP1LC3A	221.0778
MAP1LC3B2	297.5072	MAP1LC3B2	308.9867
MAP1LC3B	2494.483	MAP1LC3B	2033.8
MAP1LC3C	16.3465	MAP1LC3C	29.0128
MAP1S	847.9771	MAP1S	501.632
MAP2K1	1188.1406	MAP2K1	844.9409
MAP2K2	1678.7904	MAP2K2	1310.5099
MAP2K3	626.0727	MAP2K3	668.1657
MAP2K4	1557.0086	MAP2K4	1013.9987
MAP2K5	286.0646	MAP2K5	409.9514
MAP2K6	98.4879	MAP2K6	404.7291
removed	removed	MAP2K7	771.1612
MAP2	125.0511	MAP2	484.5144
MAP3K10	123.0078	MAP3K10	119.823
MAP3K11	1483.4491	MAP3K11	1427.7218
MAP3K12	330.331	MAP3K12	218.5015
MAP3K13	29.4769	MAP3K13	99.1891
MAP3K14	210.4618	MAP3K14	355.1171
removed	removed	MAP3K15	8.7532
MAP3K1	1505.9256	MAP3K1	3318.7786
MAP3K2	541.0707	MAP3K2	831.5079
MAP3K3	911.32	MAP3K3	1097.5121
MAP3K4	679.199	MAP3K4	935.664
MAP3K5	425.8275	MAP3K5	710.2343
MAP3K6	663.6698	MAP3K6	704.7218
MAP3K7	377.1966	MAP3K7	916.8057
MAP3K8	138.537	MAP3K8	207.7319
MAP3K9	90.3147	MAP3K9	179.2993
MAP4K1	49.857	MAP4K1	68.4703
MAP4K2	367.7973	MAP4K2	304.3447
MAP4K3	680.425	MAP4K3	983.2451
MAP4K4	3256.6408	MAP4K4	2324.5086
MAP4K5	1194.5239	MAP4K5	1260.6078
MAP4	7411.933	MAP4	5911.6559
MAP6D1	180.2207	MAP6D1	56.575
MAP6	82.5501	MAP6	112.2797
MAP7D1	2342.4602	MAP7D1	1663.8863
removed	removed	MAP7D2	9.8644
MAP7D3	197.7932	MAP7D3	200.4787
MAP7	1340.8255	MAP7	1297.4541
MAP9	339.1908	MAP9	586.9297
MAPK10	80.0981	MAPK10	91.1003
MAPK11	224.3564	MAPK11	152.0273
MAPK12	84.7242	MAPK12	85.0395
MAPK13	1238.2509	MAPK13	1120.7659
MAPK14	1864.7323	MAPK14	1600.9284
MAPK15	57.2129	MAPK15	19.4386
MAPK1IP1L	2193.7066	MAPK1IP1L	1652.8614
MAPK1	2170.8214	MAPK1	3743.8166
MAPK3	1608.9089	MAPK3	1144.8466
removed	removed	MAPK4	39.7476
MAPK6	1055.5783	MAPK6	1275.4044
MAPK7	392.6032	MAPK7	304.7973
MAPK8IP1	129.1377	MAPK8IP1	217.016
MAPK8IP2	292.6032	MAPK8IP2	87.3286
MAPK8IP3	454.434	MAPK8IP3	686.4438
MAPK8	243.9722	MAPK8	650.4678
MAPK9	1456.0687	MAPK9	1197.65
MAPKAP1	1764.2011	MAPKAP1	1617.7559
MAPKAPK2	5697.5889	MAPKAPK2	2645.1005
MAPKAPK3	539.8447	MAPKAPK3	709.654
MAPKAPK5	628.2468	MAPKAPK5	471.154
MAPKBP1	427.0535	MAPKBP1	736.636
MAPKSP1	843.4818	MAPKSP1	1177.0508
MAPRE1	4747.0372	MAPRE1	2440.8501
MAPRE2	790.7642	MAPRE2	679.7708
MAPRE3	150.3882	MAPRE3	258.7945
MAPT	3349.8161	MAPT	3513.1646
MARCH10	7.7646	MARCH10	6.9602
MARCH1	79.2808	MARCH1	63.248
MARCH2	696.7716	MARCH2	375.4261
MARCH3	97.262	MARCH3	64.9888
MARCH4	8.5819	removed	removed
MARCH5	1221.087	MARCH5	1459.926
MARCH6	1683.6943	MARCH6	3127.8741
MARCH7	1630.568	MARCH7	2038.1519
MARCH8	219.4524	MARCH8	755.2042
MARCH9	274.2133	MARCH9	228.9113
MARCKSL1	8168.3694	MARCKSL1	4125.3355
MARCKS	5916.2239	MARCKS	5025.3137
MARCO	54.3523	MARCO	44.0995
MARK1	111.5652	MARK1	161.6015
MARK2	1446.6694	MARK2	1585.5516
MARK3	1033.9191	MARK3	1142.5256
MARK4	797.7115	MARK4	648.4369
MARS2	166.3261	MARS2	171.4659
MARS	2132.1823	MARS	1268.3281
MARVELD1	1985.0429	MARVELD1	1081.4332
MARVELD2	566.4078	MARVELD2	581.9975
MARVELD3	662.5501	MARVELD3	897.7123
MASP1	8.5819	MASP1	136.3603
MASP2	20.0245	MASP2	52.5132
MAST1	6.9473	MAST1	9.8644
MAST2	1327.7483	MAST2	1173.5693
MAST3	281.1606	MAST3	314.7893
MAST4	793.6248	MAST4	1257.1263
MASTL	410.2983	MASTL	276.2022
removed	removed	MAT1A	28.7227
MAT2A	3773.1917	MAT2A	4360.6296
MAT2B	1548.8353	MAT2B	2115.9063
MATK	16.7552	MATK	45.5502
MATN2	309.7671	MATN2	4177.2684
MATN3	380.4659	MATN3	50.4823
MATR3	7695.9542	MATR3	8896.4532
MAVS	1934.6138	MAVS	3242.1847
MAX	1406.2117	MAX	1374.048
MAZ	4265.9828	MAZ	2629.303
MBD1	648.1406	MBD1	1184.5942
MBD2	1220.6784	MBD2	1583.8108
MBD3	1352.2681	MBD3	980.9241
MBD4	977.9322	MBD4	857.0392
MBD5	262.3621	MBD5	479.8723
MBD6	1583.5717	MBD6	1448.3209
MBIP	245.1982	MBIP	386.1609
removed	removed	MBL1P	7.8335
MBLAC1	28.1978	MBLAC1	23.7905
MBLAC2	172.4561	MBLAC2	360.3395
MBNL1	2579.6772	MBNL1	3291.5471
MBNL2	1130.7724	MBNL2	2939.8709
MBNL3	58.0302	MBNL3	111.6994
MBOAT1	1516.1422	MBOAT1	1198.2302
MBOAT2	442.5828	MBOAT2	543.9907
MBOAT7	3850.0204	MBOAT7	1181.1126
MBP	322.4356	MBP	1264.0894
MBTD1	395.9951	MBTD1	1060.7094
MBTPS1	4132.8157	MBTPS1	6021.6146
MBTPS2	636.2893	MBTPS2	636.8637
MB	289.3339	MB	276.7825
MC1R	125.8684	MC1R	35.9759
MCAM	4338.3735	MCAM	1437.5861
MCART1	165.5088	MCART1	195.2564
MCART2	6.9473	MCART2	7.8335
MCART6	6.5386	MCART6	10.7348
MCAT	262.7707	MCAT	320.5919
MCCC1	463.8333	MCCC1	671.0669
MCCC2	3126.2771	MCCC2	3471.096
MCCD1	321.6183	MCCD1	19.4386
MCC	376.3792	MCC	953.0717
MCEE	90.3147	MCEE	190.3242
removed	removed	MCF2L2	5.9099
MCF2L	1038.823	MCF2L	899.8071
MCFD2	2365.754	MCFD2	3905.4181
MCHR1	19.6159	MCHR1	17.4077
MCL1	7590.9277	MCL1	7606.0057
MCM10	132.407	MCM10	32.2043
MCM2	1033.5104	MCM2	489.4466
MCM3APAS	11.3568	MCM3APAS	38.6799
MCM3AP	1616.7593	MCM3AP	2378.6698
MCM3	3324.479	MCM3	1704.2141
MCM4	1394.3604	MCM4	885.7619
MCM5	604.0049	MCM5	750.8523
MCM6	1264.8141	MCM6	646.9863
MCM7	2003.584	MCM7	1786.6976
MCM8	136.085	MCM8	201.9294
MCM9	70.6988	MCM9	137.2307
MCOLN1	541.888	MCOLN1	255.6031
MCOLN2	20.4332	MCOLN2	34.5253
MCOLN3	26.1545	MCOLN3	72.8222
MCPH1	402.3866	MCPH1	531.1815
MCRS1	1395.5864	MCRS1	802.4951
MCTP1	149.1622	MCTP1	160.7311
MCTP2	24.9285	MCTP2	311.3078
MCTS1	813.6494	MCTS1	818.162
MDC1	1210.8705	MDC1	1103.9385
MDFIC	1218.6351	MDFIC	1147.1676
MDFI	234.1643	MDFI	269.8194
MDGA1	174.9081	MDGA1	99.514
MDH1B	9.3993	MDH1B	49.3218
MDH1	2362.076	MDH1	1910.2053
MDH2	2666.1218	MDH2	2652.3537
MDK	7612.5868	MDK	2462.0294
MDM1	315.4884	MDM1	366.4321
MDM2	3351.0421	MDM2	2532.8208
MDM4	783.8169	MDM4	1032.5669
MDN1	468.3286	MDN1	2304.1996
MDP1	337.3723	MDP1	174.1089
ME1	161.4221	ME1	139.8419
ME2	470.7805	ME2	479.5822
ME3	369.0233	ME3	440.9951
MEA1	1703.253	MEA1	837.5165
MEAF6	2261.1361	MEAF6	1594.2555
MECOM	451.1647	MECOM	341.191
MECP2	2107.0699	MECP2	2182.3457
MECR	370.6579	MECR	312.1781
MED10	402.5337	MED10	310.4374
MED11	228.8517	MED11	185.392
MED12L	32.6931	MED12L	24.0807
MED12	937.4745	MED12	1701.8931
MED13L	4266.04	MED13L	5700.1523
MED13	2002.0433	MED13	2669.4712
MED14	1311.4017	MED14	1472.9818
MED15	1137.311	MED15	1163.9951
MED16	876.1749	MED16	848.0453
MED17	458.5206	MED17	725.6111
MED18	339.5995	MED18	302.6039
MED19	366.1626	MED19	239.3559
MED1	1519.8202	MED1	1883.5135
MED20	1006.9473	MED20	578.516
MED21	373.9273	MED21	615.6524
MED22	957.9076	MED22	782.1861
MED23	761.3404	MED23	1519.9826
MED24	3655.9052	MED24	1429.1724
MED25	942.7871	MED25	626.4713
MED26	246.0155	MED26	271.5602
MED27	298.3245	MED27	186.5525
MED28	536.5754	MED28	730.8334
MED29	1507.5603	MED29	1591.064
MED30	183.49	MED30	161.6015
MED31	138.5656	MED31	124.7871
MED4	617.0821	MED4	857.0392
MED6	354.3114	MED6	344.0923
MED7	235.7989	MED7	200.7688
MED8	621.1688	MED8	441.8655
MED9	447.0781	MED9	420.9763
MEF2A	1549.0356	MEF2A	1659.2239
MEF2B	20.2902	MEF2B	17.7181
MEF2C	722.5174	MEF2C	841.6624
MEF2D	2043.3183	MEF2D	1625.8795
MEFV	5.7213	MEFV	7.8335
MEG3	48.631	MEG3	437.5136
MEGF10	15.5292	MEGF10	323.7833
MEGF6	645.2799	MEGF6	561.1083
MEGF8	1063.3429	MEGF8	1729.4553
MEGF9	1674.7037	MEGF9	3568.8692
MEI1	25.3371	MEI1	36.5562
MEIS1	199.0192	MEIS1	436.3531
MEIS2	178.586	MEIS2	342.3515
MEIS3P1	554.9653	MEIS3P1	870.9654
MEIS3	581.9371	MEIS3	356.5678
MELK	134.859	MELK	36.8463
MEMO1	312.5378	MEMO1	243.6904
MEN1	848.3858	MEN1	803.9457
MEOX1	189.2113	MEOX1	327.5549
MEOX2	215.7744	MEOX2	447.6681
MEPCE	1837.7605	MEPCE	1375.4987
MEPE	10.2166	removed	removed
MERTK	190.0286	MERTK	260.8254
MESDC1	873.7229	MESDC1	402.1179
MESDC2	1410.2983	MESDC2	1402.1905
MESP1	55.5783	MESP1	31.0437
MESP2	38.4144	MESP2	8.4137
removed	removed	MESTIT1	10.1545
MEST	702.9015	MEST	1373.7579
METAP1	903.964	METAP1	1382.4617
METAP2	2323.253	METAP2	1772.9745
METRNL	470.7805	METRNL	262.8563
METRN	557.4172	METRN	131.7183
METT10D	771.9657	METT10D	1097.8458
METT11D1	370.2493	METT11D1	476.9711
METT5D1	336.3302	METT5D1	403.5686
METTL10	275.8888	METTL10	416.9145
METTL11A	608.7699	METTL11A	229.3987
METTL12	65.4924	METTL12	76.8347
METTL13	939.9264	METTL13	911.8735
METTL14	434.8181	METTL14	517.589
METTL1	305.2718	METTL1	222.2383
METTL2A	355.5374	METTL2A	392.8338
METTL2B	227.6257	METTL2B	282.0048
METTL3	528.9743	METTL3	816.7636
METTL4	316.3057	METTL4	252.1216
METTL5	487.4336	METTL5	404.526
METTL6	301.1851	METTL6	264.8872
METTL7A	1580.7111	METTL7A	4842.8229
