gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
ANKRD10	1020.4454	ANKRD10	1470.6985
ANKRD11	1710.895	ANKRD11	2685.2136
ANKRD12	1882.7135	ANKRD12	1911.946
ANKRD13A	852.0638	ANKRD13A	1435.8454
ANKRD13B	156.9268	ANKRD13B	124.1749
ANKRD13C	561.5039	ANKRD13C	623.776
ANKRD13D	573.3551	ANKRD13D	360.9197
ANKRD16	114.0172	ANKRD16	173.8797
ANKRD17	2535.3494	ANKRD17	3692.754
ANKRD19	76.8288	ANKRD19	81.2359
ANKRD20A3	6.13	ANKRD20A3	22.63
removed	removed	ANKRD20A4	5.8026
ANKRD20B	8.1733	ANKRD20B	13.636
ANKRD22	69.8815	ANKRD22	34.2351
ANKRD23	23.7025	ANKRD23	45.8403
ANKRD24	8.1733	ANKRD24	38.5871
ANKRD26	406.2117	ANKRD26	385.2905
ANKRD27	647.7319	ANKRD27	808.2977
ANKRD28	1207.6011	ANKRD28	1801.9874
ANKRD29	75.6028	ANKRD29	271.27
ANKRD2	9.8079	removed	removed
ANKRD30A	262.7707	ANKRD30A	1020.0914
ANKRD30B	85.8194	ANKRD30B	246.319
ANKRD32	167.1434	ANKRD32	191.1946
ANKRD34A	17.9812	ANKRD34A	38.0068
ANKRD34C	6.13	removed	removed
ANKRD35	95.6273	ANKRD35	234.7139
ANKRD36BP1	80.5067	ANKRD36BP1	202.7997
ANKRD36B	13.4859	ANKRD36B	102.9956
ANKRD36	85.8194	ANKRD36	284.6159
ANKRD37	80.2207	ANKRD37	87.729
ANKRD39	154.8835	ANKRD39	87.0385
ANKRD40	1176.134	ANKRD40	1399.2892
ANKRD42	372.7013	ANKRD42	348.1541
ANKRD43	15.9379	ANKRD43	35.1055
ANKRD44	36.7797	ANKRD44	103.5758
removed	removed	ANKRD45	10.7348
ANKRD46	541.3976	ANKRD46	616.0644
ANKRD49	192.0719	ANKRD49	386.7411
ANKRD50	5665.7131	ANKRD50	2095.3072
