gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ACTR5	218.9239	ACTR5	186.0554
ACTR6	416.8213	ACTR6	440.0115
ACTR8	321.5832	ACTR8	475.6881
ACVR1B	1182.1274	ACVR1B	1249.0649
ACVR1C	8.658	ACVR1C	1374.5085
ACVR1	956.0915	ACVR1	1083.7249
ACVR2A	246.7532	ACVR2A	384.7703
ACVR2B	243.3519	ACVR2B	422.7486
removed	removed	ACVRL1	1384.4826
ACY1	369.8207	ACY1	582.4801
removed	removed	ACY3	6.9052
ACYP1	55.0402	ACYP1	49.8705
ACYP2	106.3698	ACYP2	179.9175
ADAL	89.9814	ADAL	205.2364
ADAM10	2948.9796	ADAM10	1769.2529
ADAM11	5.2566	ADAM11	13.0431
ADAM12	3404.1435	ADAM12	1417.0902
ADAM15	9225.2938	ADAM15	4704.1757
ADAM17	890.8472	ADAM17	822.4801
ADAM19	592.1459	ADAM19	120.8401
ADAM22	109.1528	ADAM22	131.1979
ADAM23	29.9938	ADAM23	94.3704
ADAM28	90.9091	ADAM28	119.6893
ADAM32	76.376	ADAM32	37.9783
ADAM33	33.7044	ADAM33	443.2339
ADAM6	6218.7848	ADAM6	52439.3056
ADAM8	902.9066	ADAM8	104.7281
ADAM9	1456.4007	ADAM9	2683.8017
ADAMDEC1	62.4613	ADAMDEC1	11.8922
ADAMTS10	181.509	ADAMTS10	326.4602
ADAMTS12	935.9926	ADAMTS12	280.4258
ADAMTS13	27.2109	ADAMTS13	72.5041
ADAMTS14	253.556	ADAMTS14	10.7413
ADAMTS15	9.8949	ADAMTS15	433.8736
ADAMTS16	284.4774	ADAMTS16	169.9434
ADAMTS17	43.5993	ADAMTS17	32.224
removed	removed	ADAMTS18	108.1807
ADAMTS1	4023.5003	ADAMTS1	3197.0845
ADAMTS2	1273.6549	ADAMTS2	927.2082
ADAMTS3	13.2962	ADAMTS3	143.4737
ADAMTS4	320.3463	ADAMTS4	187.5899
ADAMTS5	230.3649	ADAMTS5	1856.7181
ADAMTS6	86.8893	ADAMTS6	28.0042
ADAMTS7	373.222	ADAMTS7	133.1159
removed	removed	ADAMTS8	51.405
ADAMTS9	81.0142	ADAMTS9	1209.1685
ADAMTSL1	65.8627	ADAMTSL1	101.2755
ADAMTSL2	266.2338	ADAMTSL2	82.4782
ADAMTSL3	92.1459	ADAMTSL3	246.2837
ADAMTSL4	147.1861	ADAMTSL4	1155.0782
ADAMTSL5	52.2573	ADAMTSL5	45.6507
ADAP1	527.4644	ADAP1	186.6692
ADAP2	713.6673	ADAP2	553.1792
ADARB1	572.047	ADARB1	1086.0267
ADAR	15281.0761	ADAR	6651.5776
ADAT1	336.1163	ADAT1	315.7188
ADAT2	139.4558	ADAT2	124.6763
ADAT3	62.7706	ADAT3	25.3189
ADA	295.2999	ADA	170.327
ADCK1	180.8905	ADCK1	198.7149
ADCK2	1065.8627	ADCK2	558.5499
ADCK4	471.8615	ADCK4	618.0109
ADCK5	103.8961	ADCK5	100.1247
ADCY1	269.9443	ADCY1	228.6372
ADCY2	12.987	ADCY2	106.6462
ADCY3	1677.6005	ADCY3	2298.6861
ADCY4	39.8887	ADCY4	763.0191
ADCY5	94.6197	ADCY5	983.6003
ADCY6	1141.6203	ADCY6	3753.3327
ADCY7	1290.3525	ADCY7	754.5795
ADCY9	1682.1274	ADCY9	931.428
removed	removed	ADCYAP1R1	30.6896
removed	removed	ADCYAP1	52.5559
ADC	372.6036	ADC	119.6893
ADD1	3962.585	ADD1	7373.9331
ADD2	11.7502	ADD2	127.7453
ADD3	584.4156	ADD3	2416.0353
removed	removed	ADH1A	522.739
ADH1B	15.1515	ADH1B	53180.7807
removed	removed	ADH1C	325.6929
removed	removed	ADH4	73.2713
ADH5	1580.0866	ADH5	3950.8967
ADHFE1	30.303	ADHFE1	271.6026
ADI1	1209.9567	ADI1	1666.0593
ADIPOQ	18.8621	ADIPOQ	40300.7576
ADIPOR1	5572.9746	ADIPOR1	1851.3475
ADIPOR2	17345.0835	ADIPOR2	3408.8424
ADK	524.7372	ADK	359.835
ADM2	502.4737	ADM2	38.7456
ADM	75.7576	ADM	1250.983
ADNP2	849.4125	ADNP2	583.4852
ADNP	3331.1688	ADNP	2462.8369
ADORA1	304.8856	ADORA1	371.3436
