gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
KCNJ11	618.4123	KCNJ11	56.3258
KCNJ12	24.6831	KCNJ12	100.5199
KCNJ13	31.0207	removed	removed
KCNJ14	30.6871	KCNJ14	8.6655
KCNJ15	15.3436	KCNJ15	25.9965
KCNJ16	6.3376	KCNJ16	6.0659
KCNJ2	61.0407	KCNJ2	91.4211
KCNJ3	579.0527	removed	removed
KCNJ5	85.7238	KCNJ5	30.7626
KCNJ8	139.7598	KCNJ8	1087.0884
KCNK13	119.4129	removed	removed
KCNK15	207.1381	KCNK15	7.3657
KCNK1	35.6905	KCNK1	15.5979
KCNK2	184.4563	KCNK2	16.8977
KCNK3	40.3602	KCNK3	52.4263
KCNK5	393.9293	KCNK5	32.0624
KCNK6	142.4283	KCNK6	215.338
removed	removed	KCNK7	19.4974
KCNMA1	1542.6951	KCNMA1	136.9151
KCNMB1	102.4016	KCNMB1	56.3258
KCNMB3	101.4009	KCNMB3	77.1231
KCNMB4	61.0407	KCNMB4	44.6274
KCNN3	18.3456	KCNN3	7.3657
KCNN4	105.07	KCNN4	12.9983
KCNQ1OT1	127.4183	KCNQ1OT1	67.591
KCNQ1	201.1341	KCNQ1	82.7556
KCNQ3	10.6738	KCNQ3	10.3986
removed	removed	KCNQ4	21.2305
KCNQ5	35.6905	removed	removed
KCNRG	40.0734	KCNRG	6.7634
KCNS2	13.3422	removed	removed
KCNS3	894.2628	KCNS3	129.1161
KCNT2	7.3382	KCNT2	10.8319
removed	removed	KCP	12.5737
KCTD10	1729.1528	KCTD10	2888.6482
KCTD11	430.2869	KCTD11	446.7071
KCTD12	1496.6644	KCTD12	6632.149
KCTD13	430.954	KCTD13	97.0537
KCTD14	68.7125	KCTD14	30.7626
KCTD15	559.3729	KCTD15	220.5373
KCTD16	5.0033	KCTD16	5.1993
KCTD17	209.1394	KCTD17	68.4575
KCTD18	396.5977	KCTD18	561.9584
KCTD1	822.8819	KCTD1	181.1092
KCTD20	1673.449	KCTD20	4300.26
KCTD21	308.2055	KCTD21	530.7626
KCTD2	841.8946	KCTD2	1211.4385
KCTD3	5773.1821	KCTD3	1991.7678
KCTD5	913.6091	KCTD5	317.591
KCTD6	802.535	KCTD6	222.2704
KCTD7	461.9146	KCTD7	423.7435
removed	removed	KCTD8	19.4974
KCTD9	683.4556	KCTD9	1016.0312
KDELC1	159.4396	KDELC1	105.7192
KDELC2	1635.4236	KDELC2	1897.3137
KDELR1	3529.0193	KDELR1	2578.8562
KDELR2	3528.3522	KDELR2	4746.5338
KDELR3	505.6704	KDELR3	767.331
KDM1A	1862.5751	KDM1A	927.2097
KDM1B	580.0534	KDM1B	340.1213
KDM2A	3801.8679	KDM2A	2422.0104
KDM2B	1022.455	KDM2B	349.0208
KDM3A	2314.2095	KDM3A	938.4749
KDM3B	4312.8753	KDM3B	2558.0589
KDM4A	1954.6364	KDM4A	1054.1594
KDM4B	3241.8279	KDM4B	780.3293
KDM4C	570.0467	KDM4C	507.799
KDM4D	24.6831	KDM4D	38.9948
KDM5A	2721.1474	KDM5A	1514.2981
KDM5B	5750.5003	KDM5B	951.0399
KDM5C	3837.5584	KDM5C	1587.5217
KDM6A	1315.8773	KDM6A	747.8336
KDM6B	1048.3656	KDM6B	534.662
KDR	489.6598	KDR	2879.5494
KDSR	1358.9059	KDSR	1826.6898
KEAP1	1728.8192	KEAP1	1344.4541
KEL	8.3389	removed	removed
KERA	25.6838	removed	removed
KGFLP2	94.5997	KGFLP2	32.578
KHDC1	7.0047	KHDC1	11.6984
KHDRBS1	4744.4963	KHDRBS1	2612.6516
KHDRBS3	120.4136	KHDRBS3	376.0832
KHK	143.5757	KHK	150.4289
KHNYN	2127.7785	KHNYN	1897.0191
KHSRP	2593.062	KHSRP	1490.9012
KIAA0020	540.0267	KIAA0020	598.7868
KIAA0040	4519.6798	KIAA0040	3003.4662
KIAA0090	1019.3462	KIAA0090	1021.6638
KIAA0100	5076.9713	KIAA0100	5879.5104
KIAA0101	475.6504	removed	removed
KIAA0114	371.9146	KIAA0114	254.3328
KIAA0125	13.6758	removed	removed
KIAA0141	1399.2662	KIAA0141	1196.7071
KIAA0146	1315.2101	KIAA0146	590.5546
KIAA0174	1975.984	KIAA0174	3153.3795
KIAA0182	2207.8052	KIAA0182	5488.7348
KIAA0195	1724.0927	KIAA0195	1368.8302
KIAA0196	1596.7312	KIAA0196	1508.6655
KIAA0226	747.8319	KIAA0226	581.0225
KIAA0232	1847.8986	KIAA0232	2021.2305
KIAA0240	683.7892	KIAA0240	603.9861
KIAA0247	3121.4143	KIAA0247	1063.6915
KIAA0284	1243.1621	KIAA0284	1035.0953
KIAA0317	870.5804	KIAA0317	610.9185
KIAA0319L	3308.2055	KIAA0319L	1098.7868
KIAA0355	1070.0467	KIAA0355	1340.5546
KIAA0368	2121.0807	KIAA0368	5936.7418
KIAA0391	560.994	KIAA0391	596.4471
KIAA0406	715.1434	KIAA0406	402.513
removed	removed	KIAA0408	1652.1057
KIAA0415	556.0374	KIAA0415	432.8423
KIAA0427	623.4156	KIAA0427	5324.5234
KIAA0430	2514.0093	KIAA0430	2347.0537
KIAA0467	1110.1067	KIAA0467	1051.1742
KIAA0494	3710.0634	KIAA0494	4813.9081
KIAA0495	737.4917	KIAA0495	543.7608
KIAA0513	421.6144	KIAA0513	314.1248
KIAA0528	1292.5284	KIAA0528	675.4766
KIAA0556	2043.0287	KIAA0556	280.7626
KIAA0562	749.8332	KIAA0562	1090.9879
KIAA0564	1543.6958	KIAA0564	1413.3449
KIAA0586	408.6057	KIAA0586	339.688
KIAA0649	1095.0634	KIAA0649	431.1092
KIAA0652	1482.3215	KIAA0652	2264.2981
KIAA0664P3	172.1147	KIAA0664P3	11.6984
KIAA0664	955.3035	KIAA0664	3202.773
KIAA0748	60.7071	KIAA0748	16.0312
KIAA0753	500.6671	KIAA0753	216.6378
KIAA0754	122.4149	KIAA0754	246.1005
KIAA0776	728.1521	KIAA0776	1214.0381
KIAA0802	130.4203	KIAA0802	32.9289
KIAA0831	599.3996	KIAA0831	740.4679
KIAA0892	1750.1668	KIAA0892	979.636
KIAA0895L	350.3702	KIAA0895L	138.9601
KIAA0895	248.499	KIAA0895	36.3951
KIAA0907	1529.0193	KIAA0907	363.9515
KIAA0913	1947.2982	KIAA0913	1087.5217
KIAA0922	1175.7839	KIAA0922	1834.4887
KIAA0947	1806.8712	KIAA0947	1195.4073
KIAA1009	236.491	KIAA1009	214.9047
KIAA1012	1513.3422	KIAA1012	1470.9705
KIAA1024	45.6971	removed	removed
KIAA1033	1437.2915	KIAA1033	1525.5633
KIAA1045	7.0047	KIAA1045	17.7643
KIAA1107	151.1007	KIAA1107	228.7695
KIAA1109	2178.1187	KIAA1109	2498.2669
KIAA1143	800.5337	KIAA1143	829.2894
KIAA1147	1745.497	KIAA1147	787.2617
KIAA1161	586.3909	KIAA1161	398.1802
KIAA1191	2188.459	KIAA1191	1948.4402
KIAA1199	67.3783	removed	removed
KIAA1211	299.1995	removed	removed
KIAA1217	4049.6998	KIAA1217	2302.8596
removed	removed	KIAA1239	155.1127
KIAA1244	1465.3102	KIAA1244	42.461
KIAA1257	42.2715	removed	removed
KIAA1267	1570.3803	KIAA1267	1010.3986
KIAA1274	311.8746	KIAA1274	257.3657
KIAA1279	804.8699	KIAA1279	1044.6274
KIAA1310	2791.1941	KIAA1310	1541.5945
KIAA1324L	736.1574	KIAA1324L	680.6759
KIAA1324	10105.4036	KIAA1324	5.1993
KIAA1328	204.4696	KIAA1328	133.0156
KIAA1370	1913.9426	KIAA1370	1970.104
KIAA1377	1111.7412	KIAA1377	769.9307
KIAA1383	47.0314	KIAA1383	68.8908
KIAA1407	444.9633	KIAA1407	88.8215
removed	removed	KIAA1409	10.8319
KIAA1429	2545.6971	KIAA1429	2006.4991
KIAA1430	1241.1608	KIAA1430	1071.4905
KIAA1432	876.044	KIAA1432	984.2548
KIAA1462	1148.7658	KIAA1462	3316.7244
KIAA1467	877.9186	KIAA1467	193.6742
KIAA1468	1131.4209	KIAA1468	575.8232
KIAA1522	6373.9159	KIAA1522	361.3518
KIAA1524	1755.6805	KIAA1524	27.7296
KIAA1529	113.7425	KIAA1529	85.3553
KIAA1530	257.8386	KIAA1530	108.7522
KIAA1539	376.5844	KIAA1539	698.8735
KIAA1543	939.2929	removed	removed
KIAA1549	728.4857	KIAA1549	77.5563
KIAA1586	72.7151	KIAA1586	172.4437
KIAA1598	2894.93	KIAA1598	549.3934
KIAA1609	370.9139	KIAA1609	247.4003
KIAA1614	53.3356	KIAA1614	192.7123
KIAA1632	1356.2375	KIAA1632	693.6742
KIAA1644	93.7292	KIAA1644	9.0988
KIAA1671	1271.5143	KIAA1671	1033.3622
KIAA1683	69.046	KIAA1683	44.6274
KIAA1704	433.5157	KIAA1704	288.6742
KIAA1712	311.2842	KIAA1712	195.0477
KIAA1715	709.473	KIAA1715	1205.8059
KIAA1731	843.2288	KIAA1731	358.7522
KIAA1737	1545.03	KIAA1737	1178.0763
removed	removed	KIAA1751	9.5321
KIAA1755	271.5143	KIAA1755	56.3258
KIAA1797	483.6558	KIAA1797	799.8267
KIAA1804	74.0494	KIAA1804	8.6655
KIAA1826	304.5364	KIAA1826	471.8371
KIAA1841	423.2822	KIAA1841	236.5685
KIAA1875	20.6805	removed	removed
KIAA1908	119.7465	KIAA1908	259.9653
KIAA1919	65.7105	KIAA1919	87.5217
KIAA1949	1260.1734	KIAA1949	891.6811
KIAA1958	79.3863	KIAA1958	49.8267
KIAA1967	3386.5911	KIAA1967	1540.2946
KIAA1984	26.6845	removed	removed
KIAA2013	968.9793	KIAA2013	1249.1334
KIAA2018	790.8606	KIAA2018	1199.74
KIAA2022	41.0274	KIAA2022	17.7643
KIAA2026	890.5937	KIAA2026	699.3068
KIDINS220	2547.0314	KIDINS220	2794.6274
KIF11	1980.9873	KIF11	28.5962
KIF12	839.5597	removed	removed
KIF13A	914.9433	KIF13A	2876.0832
KIF13B	3981.6544	KIF13B	918.5442
KIF14	455.9706	removed	removed
KIF15	509.6731	KIF15	9.9653
KIF16B	1702.1348	KIF16B	1077.9896
KIF17	26.6845	KIF17	73.2236
KIF18A	229.4863	removed	removed
KIF18B	441.6278	removed	removed
KIF19	56.7045	KIF19	43.7608
KIF1A	125.0834	removed	removed
KIF1B	1375.2502	KIF1B	2183.2756
KIF1C	2000	KIF1C	8054.1594
KIF20A	1183.7892	KIF20A	6.4991
KIF20B	901.2675	KIF20B	122.617
KIF21A	554.3696	KIF21A	383.4489
KIF21B	172.4483	KIF21B	42.461
KIF22	2601.7345	KIF22	321.9237
KIF23	1073.0487	KIF23	8.6655
KIF24	692.1281	KIF24	16.0312
removed	removed	KIF25	37.695
KIF26A	53.0354	KIF26A	224.0035
KIF26B	507.0047	removed	removed
KIF27	182.455	KIF27	36.8284
KIF2A	1040.6938	KIF2A	691.9411
KIF2C	623.4156	KIF2C	6.9324
KIF3A	597.7318	KIF3A	182.409
KIF3B	2799.533	KIF3B	2079.7227
KIF3C	555.0367	KIF3C	153.8128
KIF4A	688.7925	removed	removed
KIF4B	8.3389	removed	removed
KIF5B	6001.3342	KIF5B	10330.5893
KIF5C	939.6264	KIF5C	34.662
KIF6	32.6885	KIF6	10.8319
KIF7	234.6197	KIF7	125.9879
KIF9	225.3903	KIF9	42.0277
KIFAP3	1226.8179	KIFAP3	859.1854
KIFC1	931.6211	KIFC1	5.6326
KIFC2	610.4603	KIFC2	136.9281
KIFC3	336.8913	KIFC3	795.0607
KILLIN	30.3536	KILLIN	115.6846
KIN	234.4897	KIN	222.7036
removed	removed	KIRREL3	6.4991
KIRREL	394.5964	KIRREL	486.1352
KITLG	3700.467	KITLG	628.6828
KIT	565.7105	KIT	232.669
KLB	25.0167	KLB	4575.3899
KLC1	1061.9446	KLC1	2152.9463
KLC2	463.6424	KLC2	394.2808
KLC3	58.3722	removed	removed
KLC4	493.1254	KLC4	489.2201
KLF10	1546.0307	KLF10	997.8336
KLF11	548.6991	KLF11	1262.9983
KLF12	946.2975	KLF12	299.3934
KLF13	2114.7432	KLF13	3180.2426
removed	removed	KLF14	35.0953
KLF15	28.6858	KLF15	1914.2114
KLF16	347.2315	KLF16	62.825
KLF2	568.3789	KLF2	1950.6066
KLF3	1299.8299	KLF3	1850.9532
KLF4	679.7865	KLF4	5109.1854
KLF5	883.5891	KLF5	95.7539
KLF6	6261.1741	KLF6	9113.5182
KLF7	197.465	KLF7	107.8856
KLF8	225.1501	KLF8	733.5355
KLF9	1377.2515	KLF9	5619.1508
KLHDC10	829.553	KLHDC10	1098.3536
KLHDC1	47.6985	KLHDC1	122.1837
KLHDC2	863.2422	KLHDC2	1529.896
KLHDC3	1610.4069	KLHDC3	1973.5702
KLHDC4	263.996	KLHDC4	252.7296
KLHDC5	1264.5097	KLHDC5	530.7626
KLHDC7A	736.491	KLHDC7A	47.6603
KLHDC7B	59.0394	removed	removed
KLHDC8A	14.0093	removed	removed
KLHDC8B	489.3262	KLHDC8B	2209.2721
KLHDC9	201.4676	KLHDC9	22.5303
removed	removed	KLHL10	7.799
KLHL11	64.3763	KLHL11	43.3276
KLHL12	1333.8893	KLHL12	896.8804
KLHL13	75.3836	KLHL13	72.357
KLHL14	16.3442	KLHL14	6.0659
KLHL15	259.1728	KLHL15	307.1924
KLHL17	155.1034	KLHL17	32.4957
KLHL18	556.0374	KLHL18	365.6846
KLHL20	473.6491	KLHL20	829.2894
KLHL21	609.4063	KLHL21	3213.6049
KLHL22	338.2255	KLHL22	716.6378
KLHL23	271.4209	KLHL23	71.0572
KLHL24	1227.1514	KLHL24	2280.7626
KLHL25	275.517	KLHL25	483.1023
KLHL26	331.5544	KLHL26	178.0763
KLHL28	461.3075	KLHL28	293.7608
KLHL29	65.3769	KLHL29	298.0936
KLHL2	617.7452	KLHL2	516.8977
removed	removed	KLHL30	30.3293
KLHL31	17.0113	KLHL31	2962.734
removed	removed	KLHL32	7.799
KLHL33	5.0033	KLHL33	9.0988
KLHL35	110.7405	KLHL35	7.3657
KLHL36	168.7792	KLHL36	185.4419
KLHL38	22.3482	removed	removed
KLHL3	101.7345	KLHL3	220.104
KLHL4	18.6791	KLHL4	58.0589
KLHL5	1491.6611	KLHL5	2325.3899
KLHL6	239.493	KLHL6	63.6915
KLHL7	443.2955	KLHL7	685.8752
KLHL8	373.9159	KLHL8	548.5269
KLHL9	1278.519	KLHL9	1071.9237
KLK10	36.3576	removed	removed
KLK11	37.0247	removed	removed
KLK13	7.3382	removed	removed
KLK1	14.3429	removed	removed
KLK4	131.0874	removed	removed
KLK5	74.3829	removed	removed
KLK6	55.0367	removed	removed
KLK7	50.3669	removed	removed
KLKP1	9.3396	removed	removed
KLRA1	86.7245	KLRA1	26.4298
KLRAQ1	588.7258	KLRAQ1	699.3068
KLRB1	59.7065	KLRB1	20.364
KLRC4	7.7452	removed	removed
KLRD1	22.3482	KLRD1	23.8302
KLRF1	5.6704	KLRF1	10.8319
KLRG1	35.3569	KLRG1	74.9567
KLRG2	19.6798	removed	removed
KLRK1	69.9733	KLRK1	18.6308
KL	30.3536	KL	257.3657
KMO	69.0294	removed	removed
KNCN	12.008	removed	removed
KNDC1	23.0153	removed	removed
KNTC1	1243.8092	KNTC1	124.3501
KPNA1	1803.2021	KPNA1	2176.3432
KPNA2	1882.5884	KPNA2	629.5494
KPNA3	1172.1147	KPNA3	2163.3449
KPNA4	1762.5083	KPNA4	3808.4922
KPNA5	63.3756	KPNA5	135.6153
KPNA6	1860.5737	KPNA6	2170.7106
KPNB1	4875.5837	KPNB1	5817.1577
KPTN	224.1494	KPTN	143.4142
KRAS	1597.0647	KRAS	646.0139
KRBA1	276.5177	KRBA1	108.7522
KRBA2	92.7285	KRBA2	99.6534
KRCC1	849.8999	KRCC1	1479.2028
KREMEN1	559.0394	KREMEN1	589.2548
KREMEN2	153.1021	removed	removed
KRI1	828.6624	KRI1	415.0997
KRIT1	818.5457	KRIT1	821.0572
KRR1	1008.052	KRR1	521.2868
KRT10	336.2241	KRT10	288.9948
KRT14	1311.541	KRT14	19.9307
KRT15	338.559	removed	removed
KRT16	51.034	KRT16	16.4645
KRT17	1473.3155	removed	removed
KRT18	20028.2288	KRT18	22.5303
KRT19	21088.7258	KRT19	14.7314
KRT1	15.6771	KRT1	8.6655
KRT222	55.3702	KRT222	78.8562
KRT23	115.0767	KRT23	5.1993
KRT40	7.3382	removed	removed
KRT4	13.6758	removed	removed
KRT5	1408.6057	KRT5	29.896
KRT6A	8.6724	removed	removed
KRT6B	376.2508	removed	removed
KRT6C	15.01	removed	removed
removed	removed	KRT79	96.6205
KRT7	15780.8539	KRT7	13.4315
KRT80	779.5197	removed	removed
KRT81	78.7191	removed	removed
KRT86	17.0113	removed	removed
KRT8	29608.8626	KRT8	111.3518
KRTAP5-9	5.3369	removed	removed
KRTCAP2	1613.0754	KRTCAP2	1516.4645
KRTCAP3	243.8292	KRTCAP3	6.4991
KSR1	384.9233	KSR1	654.6794
KSR2	108.4056	KSR2	29.0295
KTELC1	435.9573	KTELC1	263.8648
KTI12	104.7365	KTI12	145.5806
KTN1	5010.0067	KTN1	6979.636
KYNU	69.7131	KYNU	10.8319
L1CAM	17.3449	L1CAM	66.7244
L1TD1	32.0213	L1TD1	12.1317
L2HGDH	185.7905	L2HGDH	237.8683
L3MBTL2	706.0807	L3MBTL2	696.3475
L3MBTL3	150.1001	L3MBTL3	285.5286
L3MBTL4	22.3482	L3MBTL4	84.922
L3MBTL	196.4643	L3MBTL	61.9584
LACE1	31.0207	LACE1	80.156
LACTB2	178.1187	LACTB2	388.2149
LACTB	296.1975	LACTB	409.0121
LAD1	877.2515	removed	removed
LAG3	101.7345	removed	removed
LAGE3	627.0847	LAGE3	152.513
LAIR1	514.6765	LAIR1	2808.9255
LAMA1	111.4076	LAMA1	66.7244
LAMA2	1634.0861	LAMA2	2177.2054
LAMA3	329.8866	LAMA3	513.4315
LAMA4	2107.0714	LAMA4	15890.3813
LAMA5	3639.4263	LAMA5	834.0555
LAMB1	4769.513	LAMB1	7649.4801
LAMB2L	30.3536	LAMB2L	9.5321
LAMB2	7446.2975	LAMB2	9209.7054
LAMB3	1066.7111	LAMB3	1210.5719
LAMC1	7788.5257	LAMC1	15841.4211
LAMC2	2446.2975	LAMC2	34.662
LAMC3	56.3709	removed	removed
LAMP1	7854.9033	LAMP1	6417.6776
LAMP2	4108.4056	LAMP2	3423.7435
LAMP3	97.0647	LAMP3	7.3657
LANCL1	2042.6951	LANCL1	2241.3345
LANCL2	511.3409	LANCL2	735.7019
LAP3	1964.6431	LAP3	2675.4766
LAPTM4A	7440.6271	LAPTM4A	11649.4801
LAPTM4B	2011.6744	LAPTM4B	810.6586
LAPTM5	4320.547	LAPTM5	1915.9445
LARGE	1396.9313	LARGE	422.0104
LARP1B	311.8746	LARP1B	462.305
LARP1	7508.3389	LARP1	5660.7452
LARP4B	1680.1201	LARP4B	1135.182
LARP4	1782.1881	LARP4	861.7851
LARP6	116.4109	LARP6	1096.1872
LARP7	927.6184	LARP7	1467.5043
LARS2	758.8392	LARS2	448.8735
LARS	2932.9553	LARS	2503.4662
LAS1L	1019.0127	LAS1L	674.6101
LASP1	6175.7839	LASP1	9389.0815
LASS1	9.6298	removed	removed
LASS2	9913.9426	LASS2	3132.5823
LASS4	1141.7612	LASS4	186.3085
LASS5	1027.018	LASS5	528.1629
LASS6	3784.1528	LASS6	1073.9645
LAT2	180.7872	LAT2	39.8614
LATS1	491.9947	LATS1	399.4801
LATS2	501.3342	LATS2	1183.2756
LAT	156.441	LAT	25.6023
LAX1	44.3629	LAX1	16.8977
LAYN	106.7378	LAYN	39.8614
LBH	1260.1734	LBH	619.1508
LBP	6.004	LBP	273.3969
LBR	1036.3576	LBR	1482.669
LBX2	7.0047	LBX2	6.1872
removed	removed	LCA5L	22.5303
LCA5	192.7952	LCA5	226.6031
LCAT	65.0434	LCAT	123.9645
LCK	161.7745	LCK	15.5979
LCLAT1	589.7265	LCLAT1	180.6759
LCMT1	709.8065	LCMT1	438.0416
LCMT2	425.9506	LCMT2	242.201
LCN10	6.004	LCN10	25.13
LCN12	23.6825	removed	removed
LCN2	128.4189	removed	removed
LCORL	67.1614	LCORL	128.3406
LCOR	359.2895	LCOR	35.8102
LCP1	5162.1081	LCP1	943.6742
LCP2	459.3062	LCP2	221.4038
LDB1	2638.4256	LDB1	581.8891
LDB2	256.1708	LDB2	1983.5355
LDB3	18.012	LDB3	106.1525
LDHA	7112.4083	LDHA	19274.2634
LDHB	1053.0354	LDHB	17533.3622
LDHD	65.0434	LDHD	1233.1023
LDLRAD1	7.0047	removed	removed
LDLRAD2	167.3382	LDLRAD2	506.6464
LDLRAD3	1414.9433	LDLRAD3	608.7522
LDLRAP1	911.9413	LDLRAP1	623.4835
LDLR	760.8406	LDLR	658.5789
LDOC1L	1080.7205	LDOC1L	1283.7955
LDOC1	935.6237	LDOC1	607.8856
LEAP2	11.3409	removed	removed
LEF1	664.7765	LEF1	16.4645
LEFTY1	11.5477	removed	removed
LEFTY2	35.6905	LEFTY2	16.8977
LEKR1	20.0133	LEKR1	10.8319
LEMD2	745.1634	LEMD2	639.948
LEMD3	915.2769	LEMD3	657.279
LENG1	171.4476	LENG1	132.149
LENG8	3931.3843	LENG8	2054.6577
LENG9	82.9586	LENG9	92.656
LEO1	687.4583	LEO1	345.7539
LEPRE1	900.6004	LEPRE1	545.9272
LEPREL1	69.046	LEPREL1	143.4142
LEPREL2	645.4169	LEPREL2	243.5009
LEPROTL1	894.93	LEPROTL1	1087.5217
LEPROT	802.8119	LEPROT	1425.4203
LEPR	141.1508	LEPR	1183.7652
LEP	36.6911	LEP	46038.9948
LETM1	1002.6684	LETM1	1827.9896
LETM2	24.016	LETM2	10.8319
LETMD1	968.6458	LETMD1	2065.4246
LFNG	996.998	LFNG	649.9133
LGALS12	39.3596	LGALS12	7594.8873
LGALS1	4974.9833	LGALS1	19649.0468
LGALS2	60.04	LGALS2	8.2322
LGALS3BP	7858.5724	LGALS3BP	13076.2565
LGALS3	2812.5417	LGALS3	9937.6083
LGALS4	5.6704	LGALS4	6.9324
LGALS8	3061.5243	LGALS8	1327.1231
LGALS9C	15.3436	LGALS9C	5.6326
LGALS9	1703.8025	LGALS9	354.8527
LGI2	74.3829	LGI2	136.9151
LGI4	20.6805	LGI4	522.5303
LGMN	2050.7005	LGMN	3610.4853
LGR4	358.9059	LGR4	2020.7972
LGR5	8.3389	LGR5	11.6984
LGR6	35.0233	LGR6	12.1317
LGTN	1305.8706	LGTN	1577.1231
removed	removed	LHCGR	68.4575
LHFPL2	1968.3122	LHFPL2	929.3761
LHFPL5	15.01	removed	removed
LHFP	586.0574	LHFP	3403.8128
LHPP	360.5737	LHPP	415.078
LHX2	14.0093	removed	removed
LHX4	12.3049	removed	removed
LHX6	69.046	LHX6	366.1179
LIAS	162.1081	LIAS	297.6603
LIFR	1174.4496	LIFR	3240.4679
LIF	221.1474	LIF	76.2565
LIG1	1760.8406	LIG1	65.8579
LIG3	813.8759	LIG3	201.0399
LIG4	290.8606	LIG4	321.4905
LILRA1	5.6704	LILRA1	5.1993
LILRA2	69.3796	LILRA2	32.4957
LILRA4	20.3469	removed	removed
LILRA5	13.0087	LILRA5	26.4298
LILRA6	83.3456	LILRA6	90.195
LILRB1	152.1014	LILRB1	40.7279
LILRB2	95.7305	LILRB2	102.253
LILRB3	58.7492	LILRB3	32.422
LILRB4	579.7198	LILRB4	117.4177
LILRB5	45.6971	LILRB5	480.5026
LIMA1	6655.437	LIMA1	10063.6915
LIMCH1	2332.555	LIMCH1	4491.7678
LIMD1	1365.3436	LIMD1	514.3718
LIMD2	254.9033	LIMD2	82.864
LIME1	42.8152	LIME1	38.2019
LIMK1	1128.0854	LIMK1	214.9047
LIMK2	1278.8526	LIMK2	677.2097
LIMS1	456.6378	LIMS1	672.4437
LIMS2	245.8306	LIMS2	1469.2374
LIMS3-LOC440895	16.2942	LIMS3-LOC440895	33.2842
LIMS3	6.3876	removed	removed
LIN37	144.3829	LIN37	101.7374
LIN52	139.4263	LIN52	243.5009
LIN54	393.5957	LIN54	262.565
LIN7A	150.7672	LIN7A	69.3241
LIN7B	25.3502	LIN7B	47.6603
LIN7C	392.2615	LIN7C	704.9393
LIN9	482.3215	LIN9	82.7556
LINGO1	288.8592	LINGO1	44.1941
LINGO4	13.3422	removed	removed
LINS1	292.1948	LINS1	198.8735
LIPA	2136.0907	LIPA	3157.279
removed	removed	LIPC	9.5321
LIPE	398.5991	LIPE	40760.3293
LIPG	47.0314	removed	removed
LIPH	147.7652	removed	removed
LIPT1	108.072	LIPT1	148.9428
LIPT2	14.0093	LIPT2	18.1976
LITAF	3905.2702	LITAF	5899.0468
LIX1L	317.545	LIX1L	1204.5061
LLGL1	707.4716	LLGL1	448.4402
LLGL2	1696.4643	LLGL2	35.5286
LLPH	625.3869	LLPH	773.7175
LMAN1	3268.5123	LMAN1	2475.3033
LMAN2L	908.2722	LMAN2L	639.0815
LMAN2	3152.1014	LMAN2	1544.6274
LMBR1L	437.9586	LMBR1L	361.3518
LMBR1	1155.437	LMBR1	634.3154
LMBRD1	892.5951	LMBRD1	1733.9688
LMBRD2	349.2328	LMBRD2	166.8111
LMCD1	2168.1121	LMCD1	1652.513
LMF1	430.954	LMF1	257.3657
LMF2	990.994	LMF2	1074.9567
LMLN	473.3155	LMLN	196.2738
LMNA	7625.7505	LMNA	8629.9827
LMNB1	2887.2582	LMNB1	41.5945
LMNB2	2076.3843	LMNB2	428.5095
LMO2	170.7805	LMO2	548.9601
LMO3	247.8319	LMO3	926.3432
LMO4	1022.3482	LMO4	1617.4177
LMO7	669.1127	LMO7	33.7955
LMOD1	479.9867	LMOD1	1556.3258
removed	removed	LMOD3	6.4991
LMTK2	413.2755	LMTK2	158.5789
LMTK3	159.4396	removed	removed
LMX1A	43.3622	LMX1A	52.8596
LMX1B	2269.1795	LMX1B	9.5321
LNP1	31.7378	LNP1	81.0442
LNPEP	583.3422	LNPEP	536.5078
LNX1	236.8245	LNX1	239.6014
LNX2	803.5357	LNX2	320.1906
LOC100009676	76.3109	LOC100009676	153.6742
removed	removed	LOC100101266	6.0659
LOC100124692	8.6724	removed	removed
LOC100125556	39.5197	LOC100125556	12.0017
LOC100126784	18.8893	LOC100126784	11.6984
removed	removed	LOC100128164	17.331
LOC100128191	137.4116	LOC100128191	8.7305
LOC100128239	16.3442	removed	removed
LOC100128288	59.3729	LOC100128288	37.2617
LOC100128292	24.016	removed	removed
LOC100128640	27.018	LOC100128640	17.7643
LOC100128788	36.6945	LOC100128788	10.8319
LOC100128822	62.0414	LOC100128822	189.7747
LOC100128842	53.0354	LOC100128842	18.6308
LOC100128977	5.0033	removed	removed
LOC100129034	1810.3569	LOC100129034	2017.1967
LOC100129387	59.4096	LOC100129387	73.2626
LOC100129534	72.3816	LOC100129534	14.7314
LOC100129550	168.1121	LOC100129550	180.2426
LOC100129637	153.9493	LOC100129637	125.0867
LOC100129716	31.0207	removed	removed
LOC100129726	12.008	removed	removed
LOC100130015	28.5891	LOC100130015	20.065
LOC100130093	147.495	LOC100130093	15.8536
LOC100130148	6.3376	removed	removed
LOC100130522	14.0093	removed	removed
LOC100130557	34.6197	LOC100130557	10.4983
LOC100130581	70.0467	LOC100130581	40.7279
removed	removed	LOC100130691	16.6464
LOC100130776	310.2602	LOC100130776	73.9861
LOC100130872	74.7165	LOC100130872	136.9151
LOC100130932	98.0654	LOC100130932	51.9931
LOC100130933	13.6758	removed	removed
LOC100130987	13.6758	removed	removed
LOC100131193	84.3896	LOC100131193	23.8302
LOC100131434	58.8326	LOC100131434	37.6906
