gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
AGPS	399.2662	AGPS	1688.9081
AGR2	18442.2949	removed	removed
AGR3	2423.9493	removed	removed
AGRN	5927.952	AGRN	544.1941
AGTPBP1	195.1301	AGTPBP1	653.3795
AGTR1	1007.3382	AGTR1	1081.0225
AGTRAP	699.1328	AGTRAP	301.9931
AGT	51.3676	AGT	742.6343
AGXT2L2	435.2702	AGXT2L2	1080.0477
removed	removed	AGXT	25.9965
AHCTF1	1968.6458	AHCTF1	1453.2062
AHCYL1	3336.8913	AHCYL1	6432.8423
AHCYL2	651.1007	AHCYL2	499.5667
AHCY	2363.2422	AHCY	1290.7279
AHDC1	746.1641	AHDC1	327.9896
AHI1	288.1921	AHI1	362.6516
AHNAK2	1006.3376	AHNAK2	769.0641
AHNAK	47449.2995	AHNAK	158211.8718
AHRR	56.3709	AHRR	34.2288
AHR	1107.4049	AHR	1430.2426
AHSA1	1180.4536	AHSA1	1780.7626
AHSA2	801.2008	AHSA2	314.9913
AIDA	958.0754	AIDA	2750.4853
AIF1L	1123.7492	AIF1L	2837.5217
AIF1	367.9119	AIF1	382.5823
AIFM1	727.1514	AIFM1	1360.052
AIFM2	342.2282	AIFM2	6608.7522
AIFM3	14.2628	AIFM3	6.0659
AIG1	277.8519	AIG1	1661.6118
AIM1L	27.018	removed	removed
AIM1	1491.3276	AIM1	1969.2374
AIM2	9.6731	removed	removed
AIMP1	896.3976	AIMP1	1141.2305
AIMP2	368.4423	AIMP2	421.2305
AIP	825.2168	AIP	691.9411
AJAP1	5.6704	AJAP1	6.4991
AK1	437.2915	AK1	918.1109
AK2	2353.2355	AK2	3298.5269
AK3L1	116.0774	AK3L1	1181.5425
AK3	910.6071	AK3	4031.6291
AK5	132.7552	AK5	20.7972
AK7	87.7252	removed	removed
AKAP10	423.6157	AKAP10	627.383
AKAP11	1739.1594	AKAP11	1933.2756
AKAP12	1145.7638	AKAP12	21280.7626
AKAP13	3434.2895	AKAP13	2664.2114
AKAP14	70.0467	removed	removed
AKAP1	1330.2201	AKAP1	3553.2929
AKAP2	311.8179	AKAP2	3945.6716
removed	removed	AKAP3	12.1317
AKAP5	116.0774	AKAP5	18.1976
AKAP6	28.0187	AKAP6	82.3224
AKAP7	72.7151	AKAP7	428.9428
AKAP8L	1465.9773	AKAP8L	555.4593
AKAP8	887.2582	AKAP8	521.6638
AKAP9	5688.1254	AKAP9	2296.3605
AKD1	171.1141	AKD1	103.9861
AKIRIN1	970.6471	AKIRIN1	1758.2322
AKIRIN2	404.6031	AKIRIN2	1291.1612
AKNA	835.2235	AKNA	1328.4229
AKR1A1	1286.1908	AKR1A1	1250.8666
AKR1B10	5.6704	removed	removed
removed	removed	AKR1B15	5.1993
AKR1B1	628.4189	AKR1B1	743.9341
AKR1C1	47.0314	AKR1C1	13152.9463
AKR1C2	52.7018	AKR1C2	16226.1698
AKR1C3	190.1268	AKR1C3	8567.1577
removed	removed	AKR1C4	6.0659
AKR1E2	8.0053	AKR1E2	51.9931
AKR7A2	1105.7372	AKR7A2	1216.2045
AKR7A3	188.7925	removed	removed
AKR7L	36.6911	removed	removed
AKT1S1	890.2602	AKT1S1	984.4021
AKT1	4066.044	AKT1	4273.8302
AKT2	2913.9426	AKT2	5800.6932
AKT3	554.036	AKT3	717.5043
AKTIP	365.9973	AKTIP	991.1308
ALAD	923.6157	ALAD	4468.8042
ALAS1	1062.0414	ALAS1	1351.3865
removed	removed	ALAS2	6.9324
ALB	59.0394	removed	removed
ALCAM	5077.3849	ALCAM	139.948
ALDH16A1	762.5083	ALDH16A1	428.0763
ALDH18A1	2283.1888	ALDH18A1	936.3085
ALDH1A1	466.978	ALDH1A1	4720.104
ALDH1A2	88.3923	ALDH1A2	329.2894
ALDH1A3	261.7645	ALDH1A3	303.6655
ALDH1B1	670.1134	ALDH1B1	1110.4853
ALDH1L1	20.3469	ALDH1L1	7207.539
ALDH1L2	428.2855	ALDH1L2	465.7712
ALDH2	2844.8966	ALDH2	38814.9913
removed	removed	ALDH3A1	5.6326
ALDH3A2	991.3276	ALDH3A2	5625.2166
ALDH3B1	183.7892	ALDH3B1	184.5754
ALDH3B2	1019.6798	removed	removed
ALDH4A1	1046.0307	ALDH4A1	4711.4385
ALDH5A1	126.7512	ALDH5A1	1243.0676
ALDH6A1	398.4623	ALDH6A1	1638.0503
ALDH7A1	1118.0787	ALDH7A1	1805.026
removed	removed	ALDH8A1	6.9324
ALDH9A1	3432.2882	ALDH9A1	9033.7955
ALDOA	23455.3035	ALDOA	23537.2617
removed	removed	ALDOB	14.7314
ALDOC	72.048	ALDOC	6987.435
ALG10B	420.2802	ALG10B	216.6378
ALG10	200.1334	ALG10	82.7556
ALG11	21.6811	ALG11	9.0988
ALG12	379.5864	ALG12	388.2149
ALG13	368.5791	ALG13	360.052
ALG14	152.7685	ALG14	399.9133
ALG1L	21.521	removed	removed
ALG1	675.4803	ALG1	321.7504
ALG2	447.6318	ALG2	613.0849
ALG3	561.0407	ALG3	514.2981
ALG5	525.0167	ALG5	753.8995
ALG6	463.3089	ALG6	188.0416
ALG8	649.433	ALG8	888.6482
ALG9	478.986	ALG9	1293.7608
ALKBH1	337.2248	ALKBH1	171.5771
ALKBH2	373.2488	ALKBH2	154.2461
ALKBH3	289.1928	ALKBH3	391.6811
ALKBH4	191.1107	ALKBH4	145.6629
ALKBH5	1290.4636	ALKBH5	2086.6161
ALKBH6	120.0801	ALKBH6	63.2582
ALKBH7	412.942	ALKBH7	279.0295
ALKBH8	223.8159	ALKBH8	227.0364
removed	removed	ALK	24.2634
ALMS1P	5.3369	removed	removed
ALMS1	1807.8719	ALMS1	586.2218
ALOX15B	101.0674	removed	removed
ALOX15	19.6798	removed	removed
ALOX5AP	350.2335	ALOX5AP	280.7626
ALOX5	683.4556	ALOX5	73.2236
ALPK1	451.968	ALPK1	267.7643
ALPK2	13.6758	ALPK2	89.2548
ALPK3	143.0954	ALPK3	4758.2322
ALPL	87.058	ALPL	1020.364
ALS2CL	377.5851	ALS2CL	319.3241
ALS2CR11	10.6738	ALS2CR11	27.7296
ALS2CR12	9.006	ALS2CR12	9.0988
ALS2CR4	762.1748	ALS2CR4	536.3951
ALS2CR8	240.1601	ALS2CR8	103.9861
ALS2	809.8732	ALS2	581.0225
removed	removed	ALX1	10.8319
ALX3	16.6778	ALX3	12.9983
ALX4	8.6724	removed	removed
AMACR	526.6845	AMACR	409.8787
AMBRA1	1200.1334	AMBRA1	729.2028
AMD1	816.5444	AMD1	922.0104
AMDHD1	12.6751	AMDHD1	5.6326
AMDHD2	327.6117	AMDHD2	118.8258
AMFR	1881.5877	AMFR	2713.1716
AMH	42.6951	removed	removed
AMICA1	187.1247	AMICA1	85.3553
AMIGO1	81.3876	AMIGO1	249.5667
AMIGO2	737.1548	AMIGO2	516.8977
AMIGO3	82.0547	AMIGO3	29.4627
AMMECR1L	983.3222	AMMECR1L	1069.7574
AMMECR1	408.9393	AMMECR1	129.1161
AMN1	181.7879	AMN1	127.8163
AMOTL1	1167.7785	AMOTL1	2392.1144
AMOTL2	1773.8492	AMOTL2	4577.1231
AMOT	540.0267	AMOT	980.9359
AMPD2	605.07	AMPD2	409.0121
AMPD3	277.8519	AMPD3	168.1109
AMPH	340.5604	AMPH	86.6551
AMT	125.7038	AMT	138.6482
AMY2B	108.7292	AMY2B	263.5095
AMZ1	36.3576	removed	removed
AMZ2P1	265.1768	AMZ2P1	267.7643
AMZ2	922.9486	AMZ2	1920.2773
ANAPC10	102.7352	ANAPC10	153.8128
ANAPC11	810.2068	ANAPC11	792.8943
ANAPC13	684.2695	ANAPC13	1072.2617
ANAPC16	2131.7545	ANAPC16	3267.331
ANAPC1	693.7959	ANAPC1	597.9203
ANAPC2	694.7965	ANAPC2	446.2738
ANAPC4	455.6371	ANAPC4	507.3657
ANAPC5	2785.8572	ANAPC5	2419.844
ANAPC7	1334.2228	ANAPC7	824.9567
ANGEL1	348.2322	ANGEL1	357.0191
ANGEL2	1051.7011	ANGEL2	483.1023
ANGPT1	27.3516	ANGPT1	2142.1144
ANGPT2	144.4296	ANGPT2	146.8804
removed	removed	ANGPT4	22.9636
ANGPTL1	89.7265	ANGPTL1	1486.5685
ANGPTL2	2280.1868	ANGPTL2	9901.6464
ANGPTL4	250.5003	ANGPTL4	2042.8943
removed	removed	ANGPTL5	76.2565
removed	removed	ANGPTL7	12.565
ANG	149.2528	ANG	628.4142
ANK1	10.0067	ANK1	22.5303
ANK2	387.2582	ANK2	2976.1698
ANK3	1410.6071	ANK3	255.6326
ANKAR	34.3562	ANKAR	37.695
ANKDD1A	51.7011	ANKDD1A	171.5771
ANKFY1	1718.8125	ANKFY1	1835.3553
ANKHD1-EIF4EBP3	1197.7552	ANKHD1-EIF4EBP3	976.2478
ANKHD1	3886.5577	ANKHD1	1210.104
ANKH	1384.5897	ANKH	1282.9289
ANKIB1	1533.6891	ANKIB1	1508.2322
ANKK1	52.7018	removed	removed
ANKLE1	12.3416	removed	removed
ANKLE2	1717.4783	ANKLE2	1926.3432
ANKMY1	442.6284	ANKMY1	107.8856
ANKMY2	342.8953	ANKMY2	661.1785
ANKRA2	480.9873	ANKRA2	224.4367
ANKRD10	2280.04	ANKRD10	918.6265
ANKRD11	1897.3015	ANKRD11	2081.8934
ANKRD12	1489.9933	ANKRD12	1574.9567
ANKRD13A	1235.1568	ANKRD13A	740.0347
ANKRD13B	202.1348	ANKRD13B	108.7522
ANKRD13C	505.0033	ANKRD13C	719.6707
ANKRD13D	478.6524	ANKRD13D	236.1352
ANKRD16	146.0707	ANKRD16	94.792
ANKRD17	2796.531	ANKRD17	2119.5841
ANKRD19	32.0213	ANKRD19	25.13
ANKRD20A3	7.3382	ANKRD20A3	11.2652
ANKRD20B	5.3369	ANKRD20B	7.3657
ANKRD22	369.9133	removed	removed
ANKRD23	64.3763	ANKRD23	17.7643
ANKRD24	19.3462	ANKRD24	36.8284
ANKRD26	442.962	ANKRD26	245.6672
ANKRD27	640.427	ANKRD27	930.6759
ANKRD28	2464.9767	ANKRD28	904.2461
ANKRD29	31.6878	ANKRD29	277.2964
ANKRD30A	3230.8205	ANKRD30A	11.6984
ANKRD30B	419.6131	removed	removed
ANKRD32	408.9393	ANKRD32	107.8856
ANKRD34A	19.6798	ANKRD34A	17.7643
ANKRD34B	5.3369	removed	removed
ANKRD35	37.3582	ANKRD35	181.1092
ANKRD36BP1	119.0794	ANKRD36BP1	69.3241
ANKRD36B	54.036	ANKRD36B	13.4315
ANKRD36	257.1714	ANKRD36	160.312
ANKRD37	86.6945	ANKRD37	51.9714
ANKRD39	134.7565	ANKRD39	127.383
ANKRD40	1232.4883	ANKRD40	5403.8128
ANKRD42	326.551	ANKRD42	201.0399
ANKRD43	456.9713	ANKRD43	50.26
ANKRD44	111.7412	ANKRD44	57.1924
ANKRD46	257.5317	ANKRD46	1228.7695
ANKRD49	326.551	ANKRD49	230.5026
ANKRD50	3934.9566	ANKRD50	731.3692
ANKRD52	1867.5784	ANKRD52	1155.1127
ANKRD53	11.3409	ANKRD53	229.2028
ANKRD54	356.9046	ANKRD54	279.0295
