gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
ALDH4A1	535.0318	ALDH4A1	795.9662
ALDH5A1	367.5159	ALDH5A1	487.7823
ALDH6A1	449.1274	ALDH6A1	308.243
ALDH7A1	2035.0318	ALDH7A1	2800.6374
ALDH8A1	5.7325	ALDH8A1	20.658
ALDH9A1	4719.7452	ALDH9A1	2640.4324
removed	removed	ALDOA	15889.3911
removed	removed	ALDOB	5.0591
ALDOC	318.4713	ALDOC	1156.4276
ALG10B	363.6943	ALG10B	258.4361
ALG10	105.0955	ALG10	96.123
removed	removed	ALG11	10.5398
ALG12	909.5541	ALG12	597.8178
ALG13	659.2357	ALG13	465.0163
ALG14	356.051	ALG14	159.7835
removed	removed	ALG1L	9.958
ALG1	355.5669	ALG1	358.813
ALG2	1452.8662	ALG2	1067.05
ALG3	600.6369	ALG3	601.1906
ALG5	911.465	ALG5	544.2756
ALG6	420.3822	ALG6	219.6496
ALG8	1180.8917	ALG8	731.041
ALG9	678.9809	ALG9	586.4348
ALKBH1	277.707	ALKBH1	202.3643
ALKBH2	410.828	ALKBH2	383.2274
ALKBH3	260.5096	ALKBH3	381.541
ALKBH4	333.121	ALKBH4	299.7479
ALKBH5	1687.8981	ALKBH5	2681.9845
ALKBH6	98.0892	ALKBH6	46.7967
ALKBH7	896.8153	ALKBH7	618.0543
ALKBH8	335.6688	ALKBH8	239.0428
ALMS1	655.414	ALMS1	695.2057
removed	removed	ALOX12B	7.5844
removed	removed	ALOX12P2	15.5989
ALOX12	6.4076	ALOX12	11.8046
ALOX15B	51.5924	ALOX15B	356.2455
ALOX15	58.5987	ALOX15	545.962
ALOX5AP	133.758	ALOX5AP	237.778
ALOX5	321.6561	ALOX5	609.6224
removed	removed	ALOXE3	19.8148
ALPK1	679.6178	ALPK1	675.3908
ALPK2	10.1911	ALPK2	8.4318
ALPK3	271.9745	ALPK3	109.1924
ALPL	508.9172	ALPL	1386.617
ALS2CL	126.7516	ALS2CL	155.5675
ALS2CR12	8.2803	removed	removed
ALS2CR4	628.0255	ALS2CR4	1962.512
ALS2CR8	119.7452	ALS2CR8	132.38
ALS2	385.3503	ALS2	547.6484
ALX3	27.3885	ALX3	30.3546
ALX4	8.2803	ALX4	13.0694
AMACR	514.6497	AMACR	258.8577
AMBRA1	1078.3439	AMBRA1	1029.9499
AMD1	873.2484	AMD1	2256.7666
removed	removed	AMDHD1	6.3239
AMDHD2	161.1465	AMDHD2	173.2744
AMFR	2521.6561	AMFR	2965.0584
AMH	9.5541	AMH	13.9125
AMICA1	82.1656	AMICA1	150.0868
AMIGO1	98.7261	AMIGO1	173.2744
AMIGO2	990.4459	AMIGO2	6363.0795
AMIGO3	131.2102	AMIGO3	32.4626
AMMECR1L	722.293	AMMECR1L	737.3649
AMMECR1	397.4522	AMMECR1	244.9451
AMN1	301.9108	AMN1	129.0072
AMOTL1	1026.7516	AMOTL1	3639.6061
AMOTL2	1254.1401	AMOTL2	3162.3636
AMOT	596.1783	AMOT	1275.3166
AMPD1	12.1019	removed	removed
AMPD2	384.7134	AMPD2	728.933
AMPD3	136.9427	AMPD3	209.1098
AMPH	58.5987	AMPH	26.5603
AMT	93.4013	AMT	196.8035
AMY1A	7.0064	AMY1A	117.2027
AMY2B	185.3503	AMY2B	443.9409
AMZ1	5.0955	removed	removed
AMZ2P1	279.6178	AMZ2P1	146.7141
AMZ2	1435.6688	AMZ2	935.5132
ANAPC10	145.8599	ANAPC10	121.8402
ANAPC11	1345.8599	ANAPC11	680.8715
ANAPC13	2276.7771	ANAPC13	1040.0892
ANAPC16	3714.0127	ANAPC16	2680.4837
ANAPC1	238.8535	ANAPC1	507.1755
ANAPC2	575.1592	ANAPC2	606.6713
ANAPC4	430.5732	ANAPC4	532.471
ANAPC5	1522.9299	ANAPC5	1939.746
ANAPC7	1173.8854	ANAPC7	1017.7237
ANGEL1	368.1529	ANGEL1	589.8076
ANGEL2	1040.7643	ANGEL2	598.2394
ANGPT1	128.0255	ANGPT1	166.9505
ANGPT2	206.3694	ANGPT2	122.6834
removed	removed	ANGPT4	12.2262
ANGPTL1	160.5096	ANGPTL1	50.1695
ANGPTL2	1243.3121	ANGPTL2	3211.6899
ANGPTL4	635.6688	ANGPTL4	1395.892
ANGPTL7	42.0382	ANGPTL7	581.7973
ANG	451	ANG	476.3107
ANK1	13.3758	removed	removed
ANK2	226.1146	ANK2	142.0766
ANK3	1661.1465	ANK3	1400.9511
ANKAR	38.2166	ANKAR	22.3444
ANKDD1A	86.6242	ANKDD1A	115.0947
ANKFY1	1044.586	ANKFY1	1987.386
ANKHD1-EIF4EBP3	1165.1083	ANKHD1-EIF4EBP3	1323.2727
ANKHD1	2069.9618	ANKHD1	1911.4825
ANKH	1871.3376	ANKH	2221.7913
ANKIB1	1229.2994	ANKIB1	932.1405
ANKK1	22.9299	ANKK1	101.6037
ANKLE1	14.0127	ANKLE1	10.5398
ANKLE2	1302.5478	ANKLE2	1573.3824
ANKMY1	203.1847	ANKMY1	202.7859
ANKMY2	552.8662	ANKMY2	850.3516
ANKRA2	316.5605	ANKRA2	331.3715
ANKRD10	1658.3439	ANKRD10	1439.316
ANKRD11	1348.8662	ANKRD11	2760.759
ANKRD12	1586.6242	ANKRD12	1145.0446
ANKRD13A	877.707	ANKRD13A	1363.0078
ANKRD13B	119.7452	ANKRD13B	108.7708
ANKRD13C	564.9682	ANKRD13C	455.7412
ANKRD13D	562.4204	ANKRD13D	417.3763
ANKRD16	193.4268	ANKRD16	145.0277
ANKRD17	2298.7261	ANKRD17	2682.17
ANKRD19	259.2357	ANKRD19	92.3287
ANKRD20A3	6.3694	ANKRD20A3	15.5989
removed	removed	ANKRD20B	11.8046
ANKRD22	77.0701	ANKRD22	59.0229
ANKRD23	20.3822	ANKRD23	34.5706
ANKRD24	87.2611	ANKRD24	24.0308
ANKRD26	163.6943	ANKRD26	154.3028
ANKRD27	908.9172	ANKRD27	832.6447
ANKRD28	1161.7834	ANKRD28	972.6134
ANKRD29	71.3376	ANKRD29	238.1996
ANKRD30A	987.8981	ANKRD30A	45.1104
ANKRD30B	42.0382	ANKRD30B	16.8637
ANKRD32	135.0318	ANKRD32	120.5754
ANKRD34A	26.7516	ANKRD34A	29.9331
ANKRD34C	26.7516	removed	removed
ANKRD35	114.6497	ANKRD35	287.1043
ANKRD36BP1	61.1465	ANKRD36BP1	102.0253
ANKRD36B	24.8408	ANKRD36B	6.7455
ANKRD36	135.6688	ANKRD36	188.4517
ANKRD37	63.3439	ANKRD37	124.6522
ANKRD39	154.1401	ANKRD39	107.9276
ANKRD40	1331.2102	ANKRD40	1701.968
ANKRD42	437.5796	ANKRD42	308.6055
ANKRD43	2140.1274	ANKRD43	51.0127
ANKRD44	14.6497	ANKRD44	37.9433
ANKRD45	8.2803	ANKRD45	13.0694
ANKRD46	575.7962	ANKRD46	585.1701
ANKRD49	371.3376	ANKRD49	330.9499
ANKRD50	2008.9172	ANKRD50	1055.2455
ANKRD52	807.0064	ANKRD52	1176.2424
ANKRD53	22.9299	ANKRD53	32.8842
ANKRD54	538.2166	ANKRD54	385.7569
ANKRD56	93.6306	ANKRD56	143.763
ANKRD57	1342.6752	ANKRD57	976.8293
ANKRD58	15.2866	ANKRD58	17.2853
ANKRD5	255.414	ANKRD5	142.4982
ANKRD6	253.8408	ANKRD6	287.0074
removed	removed	ANKRD7	5.9023
ANKRD9	187.2611	ANKRD9	72.9355
ANKS1A	598.0892	ANKS1A	1280.7973
ANKS1B	38.8535	ANKS1B	34.5706
ANKS3	243.3121	ANKS3	234.8269
ANKS6	92.9936	ANKS6	98.6526
ANKZF1	395.5414	ANKZF1	662.3215
ANLN	32.4841	ANLN	60.7093
