gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
LOC651250	1513.3758	LOC651250	1621.8655
LOC652276	26.7516	LOC652276	21.0796
LOC653113	43.3121	LOC653113	41.7376
LOC653501	202.5478	LOC653501	171.1665
LOC653566	2512.7389	LOC653566	1543.0277
LOC653653	43.3121	LOC653653	63.6604
LOC653786	5.0955	removed	removed
LOC654342	274.5223	LOC654342	239.4644
LOC654433	66.879	LOC654433	272.7702
LOC678655	292.9172	LOC678655	402.296
LOC723972	18.4713	LOC723972	12.2262
LOC727896	26.7516	LOC727896	33.7274
LOC728024	32.4841	LOC728024	29.5115
LOC728190	205.7325	LOC728190	132.8016
LOC728264	701.2739	LOC728264	2848.699
LOC728323	17.8344	LOC728323	12.6478
LOC728392	113.3758	LOC728392	127.3209
LOC728554	236.3057	LOC728554	310.7135
LOC728606	703.8217	LOC728606	76.7298
LOC728613	224.8408	LOC728613	103.7117
LOC728640	52.2293	LOC728640	33.3058
LOC728643	100.6369	LOC728643	69.9843
LOC728723	10.1911	LOC728723	23.6092
LOC728743	212.1019	LOC728743	200.2563
LOC728758	80.8917	LOC728758	33.3058
LOC728819	15.9236	LOC728819	33.7274
LOC728855	145.0446	LOC728855	271.927
LOC728875	86.1656	LOC728875	23.6092
LOC729020	18.4713	LOC729020	13.491
LOC729082	380.4013	LOC729082	251.1341
LOC729176	24.2038	LOC729176	25.7171
LOC729234	73.8854	LOC729234	132.38
LOC729375	45.8599	LOC729375	75.0434
LOC729603	15.9236	LOC729603	14.7557
LOC729678	517.4841	LOC729678	510.9656
LOC729799	13.3758	LOC729799	7.5887
LOC729991-MEF2B	10.8854	LOC729991-MEF2B	72.1808
LOC729991	280.6115	LOC729991	166.4952
LOC730101	112.1019	LOC730101	153.4596
LOC80054	129.9363	LOC80054	150.93
LOC80154	409.5541	LOC80154	712.0693
LOC81691	45.8599	LOC81691	90.6423
removed	removed	LOC84740	6.7581
LOC84856	13.3758	LOC84856	11.8046
LOC84989	7.9809	LOC84989	13.9125
LOC90110	288.535	LOC90110	339.8034
LOC90246	19.1083	LOC90246	12.6478
LOC90784	277.0701	LOC90784	282.0452
LOC90834	27.3885	LOC90834	17.7069
LOC91316	195.0382	LOC91316	321.9827
LOC91450	5.0955	removed	removed
LOC92249	936.9427	LOC92249	773.6218
LOC92659	145.8599	LOC92659	103.2901
LOC92973	79.6178	LOC92973	112.1435
LOC93622	491.0828	LOC93622	412.3172
LOC96610	14687.7197	LOC96610	2783.0107
LOH12CR1	76.4331	LOH12CR1	81.7889
LOH12CR2	38.2166	LOH12CR2	42.5808
LOH3CR2A	41.4013	LOH3CR2A	54.3854
LONP1	945.2229	LONP1	1287.9644
LONP2	1335.0318	LONP2	1639.5723
LONRF1	391.0828	LONRF1	531.6279
LONRF2	575.1592	LONRF2	298.4873
LONRF3	38.8535	LONRF3	53.5422
LOXL1	2642.6752	LOXL1	138.2823
LOXL2	1017.7771	LOXL2	620.1496
LOXL3	57.6688	LOXL3	37.5892
LOXL4	200	LOXL4	647.5657
LOX	954.7771	LOX	365.9421
removed	removed	LPAL2	10.1182
LPAR1	316.5605	LPAR1	284.9964
LPAR2	289.172	LPAR2	381.9626
LPAR3	7.6433	LPAR3	29.9331
LPAR4	8.2803	removed	removed
LPAR5	84.7134	LPAR5	83.8969
LPAR6	2964.9682	LPAR6	1300.6122
LPCAT1	1073.8854	LPCAT1	936.3564
LPCAT2	661.1465	LPCAT2	1747.9216
LPCAT3	1737.5796	LPCAT3	1426.6682
LPCAT4	228.6624	LPCAT4	430.0241
LPGAT1	2179.6178	LPGAT1	1535.439
LPHN1	1012.1019	LPHN1	1127.7593
LPHN2	781.5287	LPHN2	1559.8914
LPHN3	15.9236	LPHN3	87.6912
LPIN1	522.293	LPIN1	1470.5138
LPIN2	626.1146	LPIN2	644.6146
LPIN3	242.8662	LPIN3	467.6681
LPL	5903.1847	LPL	3020.7086
LPPR1	29.9363	LPPR1	93.5935
LPPR2	845.2229	LPPR2	588.9644
removed	removed	LPPR3	11.383
LPPR4	67.5159	LPPR4	69.1411
LPPR5	5.7325	removed	removed
LPP	580.2548	LPP	383.2274
LPXN	261.7834	LPXN	234.4053
LQK1	8.9172	LQK1	6.7455
LRAT	150.3185	LRAT	120.997
LRBA	2851.5924	LRBA	1933.8437
LRCH1	636.3057	LRCH1	986.1043
LRCH2	55.414	LRCH2	61.1309
LRCH3	162.4204	LRCH3	309.0271
LRCH4	829.2994	LRCH4	763.082
LRDD	150.3185	LRDD	167.3721
LRFN1	143.949	LRFN1	95.2799
LRFN2	10.828	removed	removed
LRFN3	278.9809	LRFN3	267.7111
LRFN4	200.6369	LRFN4	272.3486
LRFN5	51.5924	LRFN5	50.1695
LRG1	416.5605	LRG1	231.8757
LRGUK	21.0191	LRGUK	6.7455
LRIG1	7223.4777	LRIG1	4672.6842
LRIG2	150.3185	LRIG2	260.9656
LRIG3	403.8217	LRIG3	1114.69
LRIT3	10.1911	LRIT3	9.6966
LRMP	35.6688	LRMP	53.5422
LRP10	3916.5605	LRP10	6233.6633
LRP11	853.4713	LRP11	908.5229
LRP12	208.9172	LRP12	387.8649
LRP1B	9.5541	LRP1B	21.0796
LRP1	8673.8854	LRP1	7076.8478
LRP2BP	52.2293	LRP2BP	72.0923
LRP2	3042.6752	LRP2	1411.4909
LRP3	815.8089	LRP3	807.5558
LRP4	127.3885	LRP4	556.8939
LRP5L	142.0382	LRP5L	71.6707
LRP5	1982.8025	LRP5	3111.351
LRP6	1029.2994	LRP6	1339.3986
LRP8	26.7516	LRP8	58.6013
LRPAP1	1622.293	LRPAP1	1614.2768
LRPPRC	3271.9745	LRPPRC	3431.7611
LRRC10B	40.7643	LRRC10B	39.2081
LRRC14B	5.0955	LRRC14B	18.1285
LRRC14	446.7771	LRRC14	570.6968
LRRC15	2730.5732	LRRC15	8.0103
LRRC16A	712.1019	LRRC16A	497.0573
LRRC16B	8.2803	LRRC16B	19.3932
LRRC17	450.3185	LRRC17	42.1592
LRRC1	1235.0318	LRRC1	561.1393
LRRC20	103.1847	LRRC20	115.5163
LRRC23	200	LRRC23	165.2642
LRRC24	18.1911	LRRC24	11.9437
LRRC25	51.5924	LRRC25	83.0537
LRRC26	1363.6943	LRRC26	68.2979
LRRC27	208.2803	LRRC27	281.202
LRRC28	161.7834	LRRC28	220.0712
LRRC29	53.5032	LRRC29	66.6116
LRRC2	26.7516	LRRC2	24.8739
LRRC31	182.8025	removed	removed
LRRC32	1182.8025	LRRC32	365.0989
LRRC33	96.8153	LRRC33	119.7322
LRRC34	58.5987	LRRC34	50.5911
LRRC36	8.9172	LRRC36	7.1671
LRRC37A2	400.9809	LRRC37A2	355.1788
LRRC37A3	378.3439	LRRC37A3	150.93
LRRC37A4	126.1146	LRRC37A4	198.1484
LRRC37A	974.5223	LRRC37A	787.1128
LRRC37B2	494.2675	LRRC37B2	462.9083
LRRC37B	101.9108	LRRC37B	168.6369
LRRC3B	23.5669	LRRC3B	74.2002
LRRC3	43.949	LRRC3	97.8094
LRRC40	291.7197	LRRC40	296.3794
LRRC41	1419.7452	LRRC41	2113.8636
LRRC42	517.8344	LRRC42	601.1906
LRRC43	35.0318	removed	removed
LRRC45	282.8025	LRRC45	207.845
LRRC46	112.7389	LRRC46	27.8251
LRRC47	1067.5159	LRRC47	1173.7129
LRRC48	106.3694	LRRC48	146.2925
LRRC49	91.0828	LRRC49	137.4391
LRRC4B	16.5605	LRRC4B	29.0899
LRRC4C	181.5287	LRRC4C	257.1713
LRRC4	47.1338	LRRC4	53.1206
LRRC50	24.2038	LRRC50	10.5398
LRRC55	38.8535	LRRC55	5.9023
LRRC56	111.465	LRRC56	65.3468
LRRC57	249.6815	LRRC57	290.0555
LRRC58	1435.0318	LRRC58	1121.4354
LRRC59	2841.9936	LRRC59	1897.0978
LRRC61	294.9045	LRRC61	263.0736
LRRC66	8.9172	LRRC66	10.5398
LRRC6	128.0255	LRRC6	37.1001
LRRC70	64.5605	LRRC70	42.5808
LRRC8A	927.3885	LRRC8A	1699.86
LRRC8B	563.0573	LRRC8B	599.0826
LRRC8C	401.2739	LRRC8C	685.9306
LRRC8D	804.4586	LRRC8D	1088.9728
LRRC8E	460.5096	LRRC8E	428.7593
LRRCC1	340.1274	LRRCC1	278.6725
LRRFIP1	3931.8471	LRRFIP1	2318.7575
LRRFIP2	1133.121	LRRFIP2	884.9222
LRRIQ1	13.3758	LRRIQ1	15.1773
LRRIQ3	10.828	LRRIQ3	8.0103
LRRK1	341.4013	LRRK1	465.8595
LRRK2	100	LRRK2	114.6731
LRRN1	382.1656	LRRN1	1013.5078
LRRN2	362.4204	LRRN2	405.1502
LRRN3	61.7834	LRRN3	63.6604
LRRN4CL	85.9873	LRRN4CL	33.7274
removed	removed	LRRN4	8.4318
LRRTM2	12.1019	LRRTM2	34.9922
LRRTM4	5.0955	LRRTM4	13.491
LRSAM1	403.8217	LRSAM1	481.88
LRTOMT	506.2229	LRTOMT	288.7528
LRWD1	224.8408	LRWD1	207.4234
LSAMP	21.6561	removed	removed
LSG1	826.7516	LSG1	798.0742
LSM10	549.6815	LSM10	325.4692
LSM11	240.1274	LSM11	217.9632
LSM12	1211.465	LSM12	868.0585
LSM14A	3426.7516	LSM14A	3340.6971
LSM14B	1071.9745	LSM14B	996.6441
LSM1	583.4395	LSM1	354.1375
LSM2	823.5669	LSM2	814.5163
LSM3	838.2166	LSM3	701.5295
LSM4	1726.1146	LSM4	970.5054
LSM5	814.0127	LSM5	639.1339
LSM6	271.9745	LSM6	292.585
LSM7	392.3567	LSM7	406.8365
LSMD1	614.0127	LSMD1	350.3432
LSP1	1299.3631	LSP1	469.6538
LSR	2378.9809	LSR	1996.661
LSS	549.6815	LSS	839.8118
LST1	161.7834	LST1	100.7606
LTA4H	2336.3057	LTA4H	2847.8558
LTA	5.7325	LTA	8.0103
LTB4R2	60.6051	LTB4R2	47.1256
LTB4R	176.707	LTB4R	205.893
LTBP1	731.8471	LTBP1	798.9174
LTBP2	6696.1783	LTBP2	18068.1799
LTBP3	2254.1465	LTBP3	3405.9217
LTBP4	1135.6688	LTBP4	1826.7593
LTBR	1777.0701	LTBR	1475.5729
LTB	142.6752	LTB	50.5911
LTC4S	53.6561	LTC4S	33.154
LTF	94149.0446	LTF	20408.017
removed	removed	LTK	13.491
LTV1	366.879	LTV1	567.4632
LUC7L2	2195.5414	LUC7L2	2595.322
LUC7L3	3227.3885	LUC7L3	2558.6435
LUC7L	824.8408	LUC7L	665.2726
LUM	14454.1401	LUM	1111.3172
LUZP1	751.5924	LUZP1	1221.3528
LUZP2	23.5669	LUZP2	90.6423
LUZP6	3667.5159	LUZP6	3618.5265
LXN	533.758	LXN	518.9801
LY6D	17.8344	LY6D	232.2973
LY6E	2002.5478	LY6E	6992.951
LY6G5B	8.2803	LY6G5B	28.6683
LY6G5C	37.5796	LY6G5C	51.8558
LY6G6C	95.5414	LY6G6C	49.3263
LY6H	17.8344	removed	removed
LY6K	86.6242	LY6K	55.6502
LY75	841.4013	LY75	2262.9808
LY86	152.2293	LY86	110.0356
LY96	123.5669	LY96	40.0513
LY9	40.1274	LY9	27.8251
LYAR	272.6115	LYAR	301.8601
LYG1	7.0064	removed	removed
LYL1	89.172	LYL1	49.3263
LYNX1	179.6178	LYNX1	439.2991
LYN	406.3694	LYN	1048.9216
LYPD1	22.6752	LYPD1	29.5578
LYPD3	1934.3949	LYPD3	762.2388
LYPD5	49.6815	LYPD5	94.8583
LYPD6B	193.6306	LYPD6B	232.2973
LYPD6	191.0828	LYPD6	408.9445
LYPLA1	2222.9299	LYPLA1	952.7985
LYPLA2P1	86.6242	LYPLA2P1	75.465
LYPLA2	1432.4841	LYPLA2	1108.3661
LYPLAL1	669.4268	LYPLAL1	294.693
LYRM1	927.3885	LYRM1	662.3215
LYRM2	635.9682	LYRM2	727.7652
LYRM4	488.535	LYRM4	598.2394
LYRM5	872.6115	LYRM5	445.623
LYRM7	417.8344	LYRM7	413.582
LYSMD1	234.3949	LYSMD1	276.1429
LYSMD2	307.6433	LYSMD2	257.5929
LYSMD3	659.8726	LYSMD3	567.0416
LYSMD4	206.1401	LYSMD4	377.9617
LYST	1745.8599	LYST	826.7424
LYVE1	56.6879	LYVE1	29.5115
LYZ	782.8025	LYZ	384.9137
LZIC	352.8662	LZIC	293.4282
LZTFL1	1017.1975	LZTFL1	779.9457
LZTR1	636.4395	LZTR1	750.0126
LZTS1	406.3694	LZTS1	1131.1321
LZTS2	1531.8471	LZTS2	1939.746
M6PR	3293.9618	M6PR	3148.3752
MAB21L1	87.2611	MAB21L1	104.1333
MACC1	285.9873	MACC1	435.9264
MACF1	4423.5669	MACF1	6092.8515
MACROD1	292.9936	MACROD1	287.9475
MACROD2	2463.0573	MACROD2	131.9584
MAD1L1	304.4586	MAD1L1	395.4535
MAD2L1BP	323.5669	MAD2L1BP	408.5229
MAD2L1	91.0828	MAD2L1	158.0971
MAD2L2	438.2166	MAD2L2	407.2581
MADCAM1	8.9172	removed	removed
MADD	886.6242	MADD	1404.7454
MAEA	952.2293	MAEA	1194.7925
MAEL	5.0955	removed	removed
MAF1	1704.4586	MAF1	2451.559
MAFB	1337.5796	MAFB	848.6652
MAFF	411.465	MAFF	924.5518
MAFG	354.1401	MAFG	673.7044
MAFK	554.6178	MAFK	733.2417
MAF	779.6178	MAF	876.4903
MAGEA1	48.4076	removed	removed
removed	removed	MAGEA6	6.3239
MAGED1	2756.051	MAGED1	2653.5017
MAGED2	6945.2229	MAGED2	8084.875
MAGED4B	143.7707	MAGED4B	530.9828
MAGED4	70.879	MAGED4	167.5956
MAGEE1	181.5287	MAGEE1	314.0862
MAGEF1	1159.8726	MAGEF1	1059.0398
MAGEH1	528.6624	MAGEH1	644.6146
MAGEL2	34.3949	MAGEL2	6.3239
MAGI1	891.7197	MAGI1	1208.2834
MAGI2	247.1338	MAGI2	383.2274
MAGI3	1046.4968	MAGI3	695.2057
MAGIX	85.3503	MAGIX	51.0127
MAGOHB	357.9618	MAGOHB	207.4234
MAGOH	668.7898	MAGOH	507.1755
MAGT1	1914.0127	MAGT1	1806.1013
removed	removed	MAG	24.8739
MAK16	459.8535	MAK16	468.4523
MAK	39.4904	MAK	21.0796
MAL2	6742.0382	MAL2	2420.3612
MALAT1	2250.8471	MALAT1	1995.8642
MALL	454.7771	MALL	674.126
MALT1	503.8217	MALT1	493.263
MAL	10.1911	MAL	27.4035
MAMDC2	291.6242	MAMDC2	982.622
MAMDC4	30.5732	MAMDC4	34.5706
MAML1	1215.1338	MAML1	1491.3236
MAML2	402.5478	MAML2	1197.7436
MAML3	285.3503	MAML3	588.5428
MAMLD1	96.1783	MAMLD1	218.8064
MAMSTR	8.2803	MAMSTR	23.6092
MAN1A1	1203.8217	MAN1A1	664.4294
MAN1A2	787.2611	MAN1A2	554.3938
MAN1B1	1568.1529	MAN1B1	1501.2901
MAN1C1	303.8217	MAN1C1	93.1719
MAN2A1	423.5669	MAN2A1	308.6055
MAN2A2	1321.0191	MAN2A2	1207.8619
MAN2B1	1488.535	MAN2B1	1363.4294
MAN2B2	1916.5605	MAN2B2	1303.9849
MAN2C1	794.2675	MAN2C1	943.5235
MANBAL	1553.5032	MANBAL	1465.0331
MANBA	802.5478	MANBA	877.3335
MANEAL	556.051	MANEAL	252.9554
MANEA	307.6433	MANEA	368.8932
MANF	846.4968	MANF	661.8999
MANSC1	1692.3567	MANSC1	766.8763
MAOA	1534.3949	MAOA	1766.4716
MAOB	3090.4459	MAOB	5270.7466
MAP1A	530.5732	MAP1A	285.418
MAP1B	1578.3439	MAP1B	3499.2158
MAP1D	40.1274	MAP1D	49.7479
MAP1LC3A	314.0127	MAP1LC3A	329.2636
MAP1LC3B2	220.3822	MAP1LC3B2	214.1689
MAP1LC3B	1647.7707	MAP1LC3B	2025.3293
MAP1LC3C	14.6497	MAP1LC3C	5.9023
MAP1S	849.6815	MAP1S	898.4131
MAP2K1	878.3121	MAP2K1	951.3061
MAP2K2	1689.172	MAP2K2	1674.9861
MAP2K3	585.3503	MAP2K3	1222.6176
MAP2K4	428.0255	MAP2K4	899.2563
MAP2K5	254.1401	MAP2K5	413.1604
MAP2K6	389.8089	MAP2K6	226.395
MAP2K7	578.3439	MAP2K7	992.8498
MAP2	233.121	MAP2	927.503
MAP3K10	199.3631	MAP3K10	142.9198
MAP3K11	1611.465	MAP3K11	1363.851
MAP3K12	126.0573	MAP3K12	132.3758
MAP3K13	54.9363	MAP3K13	26.164
MAP3K14	487.8981	MAP3K14	683.8227
MAP3K1	2475.1592	MAP3K1	1492.8582
MAP3K2	488.535	MAP3K2	324.626
MAP3K3	680.8217	MAP3K3	1116.4649
MAP3K4	388.535	MAP3K4	932.9837
MAP3K5	377.707	MAP3K5	527.4119
MAP3K6	555.414	MAP3K6	939.3076
MAP3K7	366.242	MAP3K7	693.5193
MAP3K8	236.3057	MAP3K8	286.6827
MAP3K9	68.1529	MAP3K9	95.7014
MAP4K1	40.1274	MAP4K1	50.5911
MAP4K2	243.949	MAP4K2	205.3154
MAP4K3	603.1847	MAP4K3	799.7605
MAP4K4	1892.3567	MAP4K4	1638.3076
MAP4K5	1296.1783	MAP4K5	1428.7762
MAP4	4395.5414	MAP4	6014.0137
MAP6D1	35.6688	MAP6D1	81.7889
MAP6	129.2994	MAP6	147.1357
MAP7D1	1284.0764	MAP7D1	1805.6797
MAP7D2	6.3694	MAP7D2	5.4807
MAP7D3	177.707	MAP7D3	224.2871
MAP7	829.2994	MAP7	1175.3992
MAP9	378.3439	MAP9	331.3715
MAPK10	110.828	MAPK10	108.3492
MAPK11	257.9618	MAPK11	185.9222
MAPK12	73.8981	MAPK12	45.1188
MAPK13	875.7962	MAPK13	580.5326
MAPK14	1110.1911	MAPK14	1521.9481
MAPK15	165.6051	MAPK15	40.4729
MAPK1IP1L	2015.2866	MAPK1IP1L	2365.1326
MAPK1	2828.0255	MAPK1	3982.7822
MAPK3	1774.9554	MAPK3	1535.0933
MAPK4	55.414	MAPK4	114.6731
MAPK6	899.3631	MAPK6	822.1049
MAPK7	251.4841	MAPK7	349.9216
MAPK8IP1	170.7006	MAPK8IP1	323.3613
MAPK8IP2	345.2229	MAPK8IP2	156.8323
MAPK8IP3	580.8917	MAPK8IP3	568.728
MAPK8	243.949	MAPK8	284.9964
MAPK9	1063.6943	MAPK9	683.8227
MAPKAP1	1600.6369	MAPKAP1	1681.7316
MAPKAPK2	2897.4522	MAPKAPK2	2731.0747
MAPKAPK3	712.7389	MAPKAPK3	687.617
MAPKAPK5	327.5478	MAPKAPK5	445.1846
MAPKBP1	431.8471	MAPKBP1	1333.4963
MAPKSP1	1700	MAPKSP1	1188.8902
MAPRE1	2306.3694	MAPRE1	2867.249
MAPRE2	524.8408	MAPRE2	727.2467
MAPRE3	458.5987	MAPRE3	499.1652
MAPT	1433.121	MAPT	754.6502
MARCH1	41.4013	MARCH1	35.4138
MARCH2	740.7643	MARCH2	464.1731
MARCH3	167.5159	MARCH3	42.1592
MARCH5	1431.8471	MARCH5	1247.4915
MARCH6	1687.8981	MARCH6	1548.0868
MARCH7	1654.1401	MARCH7	1927.0983
MARCH8	177.0701	MARCH8	423.2786
MARCH9	408.2803	MARCH9	303.968
MARCKSL1	4621.6561	MARCKSL1	4605.8955
MARCKS	3846.4968	MARCKS	5945.7158
MARCO	7.0064	MARCO	51.4343
MARK1	113.3758	MARK1	197.3052
MARK2	1131.8471	MARK2	1704.4975
MARK3	1105.0955	MARK3	1045.5488
MARK4	889.172	MARK4	792.5935
MARS2	193.6306	MARS2	187.187
MARS	1099.4395	MARS	1332.0039
MARVELD1	591.7834	MARVELD1	1433.9323
MARVELD2	498.0892	MARVELD2	469.6538
MARVELD3	439.1847	MARVELD3	385.3733
MASP1	9.5541	MASP1	21.0796
MASP2	21.0191	MASP2	50.5911
MAST1	11.465	MAST1	13.0694
MAST2	1038.8535	MAST2	806.506
MAST3	317.8344	MAST3	427.073
MAST4	447.7707	MAST4	745.3751
MASTL	240.1274	MASTL	215.0121
removed	removed	MAT1A	35.4138
MAT2A	3703.1847	MAT2A	4693.1651
MAT2B	1765.6051	MAT2B	2303.5802
MATK	18.4713	MATK	68.2979
MATN2	1629.9363	MATN2	6474.8141
MATN3	1277.707	MATN3	42.1592
removed	removed	MATN4	8.0103
MATR3	7645.2229	MATR3	8217.4699
MAVS	2207.6433	MAVS	2703.6712
MAX	1931.8471	MAX	1797.2478
MAZ	3352.1592	MAZ	2814.3898
MBD1	870.7006	MBD1	1251.7074
MBD2	2605.7325	MBD2	1482.3184
MBD3	1020.3822	MBD3	1504.2412
MBD4	901.2739	MBD4	646.7225
MBD5	211.465	MBD5	306.4976
MBD6	1647.1338	MBD6	1478.5241
MBIP	343.3121	MBIP	441.4071
removed	removed	MBL1P	6.3239
MBLAC1	55.414	MBLAC1	47.6399
MBLAC2	287.2611	MBLAC2	405.9934
MBNL1	3486.3121	MBNL1	3721.5214
MBNL2	1542.0382	MBNL2	3272.8208
MBNL3	22.293	MBNL3	25.2955
MBOAT1	563.6943	MBOAT1	573.3655
MBOAT2	1839.4904	MBOAT2	225.9735
removed	removed	MBOAT4	7.5887
MBOAT7	1574.5223	MBOAT7	1112.582
MBP	644.586	MBP	1178.3504
MBTD1	494.2675	MBTD1	706.1671
MBTPS1	3058.5987	MBTPS1	3845.3431
MBTPS2	404.4395	MBTPS2	474.2913
MB	977.707	MB	231.0326
MC1R	100	MC1R	33.3058
MCAM	2774.5223	MCAM	4909.442
MCART1	296.8153	MCART1	202.7859
removed	removed	MCART2	8.8534
MCART6	6.3694	MCART6	11.383
MCAT	417.8344	MCAT	302.7032
MCCC1	414.0127	MCCC1	633.6532
MCCC2	3394.9045	MCCC2	2399.7032
removed	removed	MCCD1	10.1182
MCC	705.7325	MCC	1319.5838
MCEE	259.2357	MCEE	178.7551
MCF2L2	7.0064	MCF2L2	10.1182
MCF2L	792.5796	MCF2L	663.1646
MCFD2	1929.2994	MCFD2	2559.9083
removed	removed	MCHR1	7.0743
MCL1	9644.586	MCL1	7292.2815
MCM10	13.3758	MCM10	35.4138
MCM2	247.7707	MCM2	635.7611
MCM3APAS	29.7197	MCM3APAS	37.1929
MCM3AP	1656.9045	MCM3AP	2044.2082
MCM3	1342.0382	MCM3	2087.3033
MCM4	524.8408	MCM4	673.2829
MCM5	536.9427	MCM5	1014.351
MCM6	641.4013	MCM6	868.0585
MCM7	789.0064	MCM7	2171.0821
MCM8	58.5987	MCM8	140.3902
MCM9	63.6943	MCM9	79.2593
MCOLN1	293.6306	MCOLN1	298.9089
MCOLN2	17.1975	MCOLN2	15.1773
MCOLN3	29.9363	MCOLN3	81.7889
MCPH1	403.1656	MCPH1	453.7176
MCRS1	707.0064	MCRS1	802.7117
MCTP1	68.1529	MCTP1	85.1616
MCTP2	98.0892	MCTP2	349.5
MCTS1	887.2611	MCTS1	825.0561
MDC1	668.7898	MDC1	1214.6073
MDFIC	1107.0064	MDFIC	970.5054
MDFI	817.8344	MDFI	433.3969
MDGA1	85.9873	MDGA1	102.0253
MDH1B	40.1274	MDH1B	26.1387
MDH1	2990.4459	MDH1	2188.9071
MDH2	3203.8217	MDH2	2851.2285
MDK	1447.7707	MDK	2547.2605
MDM1	266.879	MDM1	346.1273
MDM2	1972.6115	MDM2	2070.018
MDM4	1315.2866	MDM4	877.3335
MDN1	566.879	MDN1	1433.4137
MDP1	248.6242	MDP1	200.3196
ME1	184.7134	ME1	158.0971
ME2	593.6306	ME2	500.8516
ME3	117.8344	ME3	285.8396
MEA1	1574.8726	MEA1	1104.8247
MEAF6	1875.1592	MEAF6	1615.9632
MECOM	224.2038	MECOM	219.6496
MECP2	1460.5096	MECP2	2120.6091
MECR	339.4904	MECR	393.3456
MED10	339.4904	MED10	438.8776
MED11	242.0382	MED11	263.4952
MED12L	7.6433	MED12L	13.491
MED12	910.1911	MED12	1618.4927
MED13L	2825.4777	MED13L	3499.6374
MED13	1537.5796	MED13	1643.7883
MED14	847.1338	MED14	989.4771
MED15	1602.5478	MED15	1826.3377
MED16	819.7452	MED16	1121.0138
MED17	538.8535	MED17	790.4855
MED18	276.4331	MED18	208.2666
MED19	271.9745	MED19	223.4439
MED1	1145.8599	MED1	1479.7889
MED20	629.2994	MED20	517.7153
MED21	757.3248	MED21	713.7557
MED22	518.4713	MED22	944.3667
MED23	596.1783	MED23	912.3257
MED24	822.9299	MED24	1720.9396
MED25	958.5987	MED25	705.7455
MED26	319.7452	MED26	284.9964
MED27	230.5732	MED27	305.6544
MED28	552.2293	MED28	666.959
MED29	1671.3376	MED29	1438.8944
MED30	121.6561	MED30	168.6369
MED31	163.6624	MED31	122.7677
MED4	1230.5732	MED4	943.5235
MED6	370.0637	MED6	336.4306
MED7	264.3312	MED7	241.994
MED8	756.051	MED8	516.4505
MED9	344.586	MED9	481.88
MEF2A	1456.9172	MEF2A	1586.2367
MEF2B	46.4395	MEF2B	10.4555
MEF2C	650.3185	MEF2C	792.5935
MEF2D	1859.8726	MEF2D	1708.7135
MEG3	92.9936	MEG3	48.0615
MEGF10	71.3376	MEGF10	311.9783
MEGF6	342.0382	MEGF6	672.4397
MEGF8	954.7771	MEGF8	1338.1339
MEGF9	3023.5669	MEGF9	1459.974
MEI1	22.293	MEI1	18.9717
MEIS1	332.4841	MEIS1	169.0585
MEIS2	261.7834	MEIS2	363.8341
MEIS3P1	507.0064	MEIS3P1	731.041
MEIS3	356.6879	MEIS3	188.4517
MELK	12.7389	MELK	39.6297
MEMO1	495.0573	MEMO1	273.9549
MEN1	1050.3185	MEN1	912.3257
MEOX1	122.293	MEOX1	242.8371
MEOX2	149.6815	MEOX2	278.2509
MEPCE	1470.0637	MEPCE	1834.348
MERTK	127.3885	MERTK	353.7159
MESDC1	2082.1656	MESDC1	419.9059
MESDC2	2164.9682	MESDC2	1132.8184
MESP1	328.6624	MESP1	145.0277
MESP2	84.7134	MESP2	21.5012
MESTIT1	5.0955	MESTIT1	19.8148
MEST	1212.1019	MEST	2889.5934
METAP1	1100.6369	METAP1	1678.7804
METAP2	1911.465	METAP2	2164.8763
METRNL	478.3439	METRNL	235.2485
METRN	572.6115	METRN	115.9379
METT10D	678.9809	METT10D	1067.8932
METT11D1	343.949	METT11D1	512.2346
METT5D1	441.4013	METT5D1	337.6954
METTL10	430.0637	METTL10	297.3743
METTL11A	374.1783	METTL11A	319.5754
METTL12	127.465	METTL12	71.9026
METTL13	894.9045	METTL13	986.9475
METTL14	410.1911	METTL14	563.2473
METTL1	392.3567	METTL1	327.1556
METTL2A	291.7197	METTL2A	285.8396
METTL2B	128.0255	METTL2B	167.3721
METTL3	524.7197	METTL3	679.6363
METTL4	196.1783	METTL4	206.5802
METTL5	611.5414	METTL5	568.3823
METTL6	298.7261	METTL6	191.8245
METTL7A	1754.1401	METTL7A	2751.7327
METTL7B	9.5541	METTL7B	9.6966
METTL8	341.4013	METTL8	311.9783
METTL9	2470.0637	METTL9	2073.3908
MET	462.4204	MET	2446.4999
MEX3A	212.7389	MEX3A	489.8902
MEX3B	110.828	MEX3B	157.6755
MEX3C	733.121	MEX3C	1569.1664
MEX3D	477.707	MEX3D	393.7672
MFAP1	747.1338	MFAP1	1227.2551
MFAP2	835.0318	MFAP2	65.3468
MFAP3L	267.5159	MFAP3L	337.2738
MFAP3	1239.4904	MFAP3	958.2792
MFAP4	2015.9236	MFAP4	676.234
MFAP5	1098.0892	MFAP5	140.8118
MFF	1361.1465	MFF	1272.3655
MFGE8	3340.1274	MFGE8	17614.9682
MFHAS1	84.7134	MFHAS1	148.8221
MFI2	105.7325	MFI2	447.731
MFN1	563.6943	MFN1	540.0597
