gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
ADAMTS5	140.1595	ADAMTS5	3328.1313
ADAMTS6	40.3572	ADAMTS6	54.5118
ADAMTS7	101.1657	ADAMTS7	16.9357
ADAMTS8	5.7264	ADAMTS8	10.5848
ADAMTS9	105.5287	ADAMTS9	391.6383
ADAMTSL1	69.5344	ADAMTSL1	383.435
ADAMTSL2	85.8954	ADAMTSL2	11.9079
ADAMTSL3	43.9021	ADAMTSL3	305.1074
ADAMTSL4	40.3572	ADAMTSL4	697.8041
ADAMTSL5	144.5225	ADAMTSL5	56.6288
ADAP1	142.1228	ADAP1	41.8286
ADAP2	144.2498	ADAP2	346.6528
ADARB1	181.6075	ADARB1	617.6241
ADAR	21198.4457	ADAR	7225.1966
ADAT1	653.3506	ADAT1	337.6557
ADAT2	26.723	ADAT2	188.6744
ADAT3	27.5411	ADAT3	10.3202
ADA	39.2665	ADA	84.4139
ADCK1	134.7058	ADCK1	105.0543
ADCK2	1066.2758	ADCK2	369.1852
ADCK4	489.4676	ADCK4	209.0502
ADCK5	107.9828	ADCK5	8.2032
ADCY10	45.5382	removed	removed
ADCY1	71.7159	ADCY1	354.5914
ADCY2	304.5879	ADCY2	178.0896
ADCY3	570.2011	ADCY3	882.8717
ADCY4	94.894	ADCY4	447.4732
removed	removed	ADCY5	171.7387
ADCY6	1069.7389	ADCY6	1074.8882
ADCY7	162.2469	ADCY7	518.6561
removed	removed	ADCY8	6.0863
ADCY9	810.6892	ADCY9	632.1782
removed	removed	ADCYAP1R1	13.231
ADCYAP1	28.3591	ADCYAP1	7.9386
ADC	101.9838	ADC	71.1829
ADD1	4417.2064	ADD1	5099.5006
ADD2	7.9078	ADD2	58.7457
ADD3	226.3276	ADD3	6290.5572
removed	removed	ADH1A	53.9826
ADH1B	11.18	ADH1B	16291.6223
ADH1C	6.5444	ADH1C	440.8577
removed	removed	ADH4	186.0282
ADH5	1975.8675	ADH5	3497.2238
ADHFE1	60.2631	ADHFE1	136.0149
ADI1	853.2279	ADI1	1625.2988
ADIPOQ	14.7249	ADIPOQ	11775.3452
ADIPOR1	8756.4251	ADIPOR1	2577.6678
ADIPOR2	1389.5971	ADIPOR2	2694.63
ADK	787.5111	ADK	484.7847
ADM2	307.5874	ADM2	25.4036
ADM	20.1786	ADM	377.0841
ADNP2	925.4891	ADNP2	1029.1089
ADNP	4152.4303	ADNP	3303.5216
ADORA1	489.4676	ADORA1	156.9199
ADORA2A	35.7216	ADORA2A	32.5483
ADORA2B	65.9895	ADORA2B	130.7225
ADORA3	90.5311	ADORA3	151.3629
ADO	645.4428	ADO	938.0795
ADPGK	1095.1667	ADPGK	936.5156
ADPRHL1	241.8706	ADPRHL1	96.8511
ADPRHL2	732.1562	ADPRHL2	309.0767
ADPRH	88.0769	ADPRH	554.6445
removed	removed	ADRA1A	32.0191
ADRA1B	14.1796	ADRA1B	36.7822
removed	removed	ADRA1D	5.0278
ADRA2A	1468.4028	ADRA2A	866.3673
ADRA2B	13.0888	ADRA2B	196.8776
ADRA2C	6.2717	ADRA2C	38.8992
ADRB1	49.3558	ADRB1	24.6097
ADRB2	85.6227	ADRB2	331.0402
ADRBK1	1347.6038	ADRBK1	652.2894
ADRBK2	659.6223	ADRBK2	1549.3527
ADRM1	917.3086	ADRM1	280.7623
ADSL	764.8783	ADSL	639.8522
ADSSL1	115.0726	ADSSL1	47.6317
ADSS	6134.0241	ADSS	2160.3613
AEBP1	6788.4655	AEBP1	3251.1268
AEBP2	803.0541	AEBP2	1740.9379
