gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
LOC728723	7.9078	LOC728723	16.6711
LOC728743	156.7932	LOC728743	104.5251
LOC728758	32.7221	LOC728758	19.3173
removed	removed	LOC728819	55.3057
LOC728855	13.9069	LOC728855	65.6391
removed	removed	LOC728875	5.0146
LOC729020	29.7225	LOC729020	24.8743
LOC729082	878.6557	LOC729082	514.3798
LOC729156	10.0457	removed	removed
LOC729176	40.3572	LOC729176	64.0381
LOC729234	59.1724	LOC729234	65.6259
LOC729375	31.6313	LOC729375	49.484
removed	removed	LOC729467	21.1696
LOC729603	10.9074	LOC729603	27.2559
LOC729678	555.4625	LOC729678	367.3143
LOC729799	5.999	LOC729799	15.348
LOC729991-MEF2B	10.9592	LOC729991-MEF2B	11.6327
LOC729991	275.6125	LOC729991	98.0234
LOC730101	170.4274	LOC730101	152.9506
LOC730668	14.1796	LOC730668	5.8216
LOC80054	8.7259	LOC80054	18.5234
LOC80154	59.4451	LOC80154	108.2298
LOC81691	310.587	LOC81691	136.8088
LOC84740	8.4723	LOC84740	5.8243
removed	removed	LOC84856	38.37
removed	removed	LOC84989	7.113
LOC90110	227.4184	LOC90110	408.0447
removed	removed	LOC90246	13.231
removed	removed	LOC90586	5.8216
LOC90784	199.8773	LOC90784	224.3981
LOC90834	6.8171	LOC90834	15.348
LOC91316	116.3133	LOC91316	219.0555
LOC92249	568.8186	LOC92249	717.6506
LOC92659	137.978	LOC92659	22.7574
LOC92973	52.0826	LOC92973	75.9461
removed	removed	LOC93432	20.3758
LOC93622	361.3062	LOC93622	382.9058
LOC96610	1090.7328	LOC96610	5558.5112
LOH12CR1	161.7015	LOH12CR1	84.6785
LOH12CR2	56.4456	LOH12CR2	30.1667
LOH3CR2A	15.2703	LOH3CR2A	319.9261
LONP1	996.1143	LONP1	257.2111
LONP2	3705.5014	LONP2	1606.2461
LONRF1	434.1128	LONRF1	1478.1698
LONRF2	722.0669	LONRF2	643.5569
LONRF3	110.9823	LONRF3	37.5761
LOXL1	845.3119	LOXL1	636.4122
LOXL2	415.2785	LOXL2	411.9849
LOXL3	155.258	LOXL3	54.57
removed	removed	LOXL4	786.7166
LOX	397.0277	LOX	3014.0269
removed	removed	LPAL2	5.2924
LPAR1	811.7799	LPAR1	1275.4705
LPAR2	545.0951	LPAR2	129.9286
LPAR3	278.9556	LPAR3	8.9971
LPAR4	5.7264	LPAR4	12.7018
LPAR5	49.3558	LPAR5	106.9067
LPAR6	479.1056	LPAR6	1710.5066
LPCAT1	1855.6139	LPCAT1	703.3611
LPCAT2	126.2526	LPCAT2	2017.7309
LPCAT3	745.5178	LPCAT3	1459.1171
LPCAT4	244.0521	LPCAT4	456.4703
LPGAT1	4228.7818	LPGAT1	2968.7768
LPHN1	681.7097	LPHN1	499.0742
LPHN2	397.3004	LPHN2	1734.8516
LPHN3	8.1805	LPHN3	291.0825
LPIN1	432.7493	LPIN1	1156.1267
LPIN2	1133.2743	LPIN2	1257.2117
LPIN3	393.1229	LPIN3	217.129
LPL	78.8056	LPL	10017.7362
removed	removed	LPPR1	33.6068
LPPR2	530.6429	LPPR2	376.8195
LPPR3	73.0793	LPPR3	36.253
LPPR4	16.9064	LPPR4	176.7665
removed	removed	LPPR5	5.2924
LPP	971.3	LPP	1141.5726
LPXN	117.7994	LPXN	334.7449
LQK1	88.6223	LQK1	14.2895
LRAT	255.5048	LRAT	94.9987
LRBA	3782.1256	LRBA	2899.4462
LRCH1	358.852	LRCH1	1119.3445
LRCH2	17.9971	LRCH2	223.075
LRCH3	339.4914	LRCH3	496.9572
LRCH4	624.1734	LRCH4	354.0622
LRDD	222.5101	LRDD	67.7428
LRFN1	28.9045	LRFN1	20.3758
LRFN2	13.0888	removed	removed
LRFN3	258.5043	LRFN3	97.1157
LRFN4	187.3338	LRFN4	64.5674
removed	removed	LRFN5	164.3293
LRG1	9.5439	LRG1	147.6582
LRGUK	27.2684	LRGUK	15.0834
LRIG1	7578.5316	LRIG1	5111.3873
LRIG2	318.4948	LRIG2	378.1426
LRIG3	81.5325	LRIG3	1174.3855
LRIT3	27.8138	LRIT3	9.791
LRMP	16.9064	LRMP	256.9465
LRP10	4009.8166	LRP10	3375.763
LRP11	553.5456	LRP11	1310.1358
LRP12	211.8754	LRP12	563.1123
removed	removed	LRP1B	123.5777
LRP1	3418.3653	LRP1	8087.0654
LRP2BP	15.8157	LRP2BP	121.1962
LRP2	742.5182	LRP2	1572.9039
LRP3	259.3197	LRP3	315.7239
LRP4	27.2002	LRP4	248.2113
LRP5L	49.6285	LRP5L	51.601
LRP5	350.6715	LRP5	883.5677
LRP6	1104.0971	LRP6	2373.3808
LRP8	133.8878	LRP8	47.1024
LRPAP1	1695.5484	LRPAP1	486.1078
LRPPRC	3926.648	LRPPRC	4814.5044
LRRC10B	11.7254	LRRC10B	7.9386
LRRC14B	16.361	removed	removed
LRRC14	399.82	LRRC14	344.8957
LRRC15	1527.5752	LRRC15	468.1136
LRRC16A	878.3148	LRRC16A	805.5046
LRRC16B	14.9976	removed	removed
LRRC17	224.4188	LRRC17	858.958
LRRC1	879.1329	LRRC1	737.7618
LRRC20	581.0894	LRRC20	120.9315
LRRC23	224.6915	LRRC23	90.2356
LRRC24	18.2044	removed	removed
LRRC25	41.448	LRRC25	96.3218
LRRC26	123.5258	LRRC26	9.2617
LRRC27	299.2269	LRRC27	145.012
LRRC28	22.9054	LRRC28	267.5313
LRRC29	29.4499	LRRC29	21.4343
removed	removed	LRRC2	148.4521
LRRC31	607.8124	LRRC31	26.1974
LRRC32	339.2188	LRRC32	1991.5335
LRRC33	166.6099	LRRC33	157.7138
LRRC34	16.9064	LRRC34	145.012
LRRC36	468.1982	LRRC36	32.5483
LRRC37A2	170.4302	LRRC37A2	141.0559
LRRC37A3	101.7111	LRRC37A3	118.0207
LRRC37A4	50.9919	LRRC37A4	373.5329
LRRC37A	404.1175	LRRC37A	317.2799
LRRC37B2	359.3974	LRRC37B2	636.4122
LRRC37B	99.2569	LRRC37B	183.1173
LRRC39	7.6052	LRRC39	19.2617
removed	removed	LRRC3B	7.9386
LRRC3	42.266	LRRC3	28.579
LRRC40	582.9982	LRRC40	708.1243
LRRC41	1869.5208	LRRC41	1399.5775
LRRC42	1232.5312	LRRC42	635.8829
removed	removed	LRRC43	5.8216
LRRC45	346.0359	LRRC45	24.3451
LRRC46	137.4327	LRRC46	21.4343
LRRC47	1240.439	LRRC47	867.9551
LRRC48	78.8056	LRRC48	56.8934
LRRC49	153.2483	LRRC49	272.8237
removed	removed	LRRC4B	10.5848
LRRC4C	8.1805	LRRC4C	197.1422
LRRC4	29.4499	LRRC4	63.5089
LRRC50	25.905	LRRC50	11.6433
LRRC55	19.0879	LRRC55	7.9386
LRRC56	111.5277	LRRC56	17.2003
LRRC57	365.3964	LRRC57	467.8489
LRRC58	2322.9941	LRRC58	2311.195
LRRC59	3567.8451	LRRC59	2549.9541
LRRC61	158.4293	LRRC61	57.158
removed	removed	LRRC66	7.1448
LRRC6	118.3448	LRRC6	71.9768
LRRC70	22.6328	LRRC70	471.1011
removed	removed	LRRC7	8.4679
LRRC8A	1145.2723	LRRC8A	1242.9222
LRRC8B	1303.1563	LRRC8B	1211.9616
LRRC8C	206.9671	LRRC8C	1997.6197
LRRC8D	874.2246	LRRC8D	996.5606
LRRC8E	483.1959	LRRC8E	289.7594
LRRCC1	1059.1042	LRRCC1	645.4093
LRRFIP1	4745.2451	LRRFIP1	3515.7472
LRRFIP2	718.7947	LRRFIP2	990.4743
LRRIQ1	12.8161	LRRIQ1	57.9519
LRRIQ3	35.4489	LRRIQ3	26.1974
LRRK1	163.883	LRRK1	390.3152
LRRK2	96.5301	LRRK2	881.7153
LRRN1	32.9948	LRRN1	561.7892
LRRN2	1584.0207	LRRN2	108.759
removed	removed	LRRN3	179.9419
LRRN4CL	10.9074	LRRN4CL	489.5478
removed	removed	LRRTM2	98.968
LRSAM1	619.2651	LRSAM1	205.0808
LRTOMT	440.379	LRTOMT	219.8176
LRWD1	243.7794	LRWD1	41.5454
LSAMP	5.181	LSAMP	119.3438
LSG1	1266.8894	LSG1	865.0442
LSM10	242.1433	LSM10	220.9581
LSM11	209.9666	LSM11	245.8324
LSM12	1249.7103	LSM12	1167.2408
LSM14A	2988.6154	LSM14A	3674.7841
LSM14B	1200.0818	LSM14B	424.7158
LSM1	432.204	LSM1	453.5594
LSM2	606.7217	LSM2	525.2716
LSM3	875.3153	LSM3	792.2736
LSM4	1397.7776	LSM4	503.5727
LSM5	693.7078	LSM5	900.5034
LSM6	141.5229	LSM6	225.7212
LSM7	348.49	LSM7	83.0908
LSMD1	356.1252	LSMD1	145.5412
LSP1	198.2412	LSP1	514.6868
LSR	2290.272	LSR	554.3798
LSS	1178.5398	LSS	581.1065
LST1	29.7225	LST1	76.2107
LTA4H	1237.4395	LTA4H	2507.2787
removed	removed	LTA	7.1448
LTB4R2	37.0823	LTB4R2	18.6266
LTB4R	174.6022	LTB4R	131.1088
LTBP1	1381.6893	LTBP1	2409.3692
LTBP2	961.4834	LTBP2	5813.7112
LTBP3	1468.1792	LTBP3	1160.3977
LTBP4	465.1987	LTBP4	1452.237
LTBR	1200.3545	LTBR	719.2384
LTC4S	5.9827	LTC4S	24.7367
LTF	39.8118	LTF	24133.3846
LTV1	384.2116	LTV1	817.6772
LUC7L2	2509.2399	LUC7L2	2184.4153
LUC7L3	1999.8637	LUC7L3	2044.7222
LUC7L	441.4752	LUC7L	373.1148
LUM	8155.7025	LUM	21355.3992
LUZP1	523.2804	LUZP1	1874.042
removed	removed	LUZP2	247.9494
LUZP6	3831.4814	LUZP6	5961.634
LXN	504.1925	LXN	996.5606
LY6E	3016.7019	LY6E	2091.2954
LY6G5B	21.2148	LY6G5B	80.5531
LY6G5C	63.2627	LY6G5C	33.6068
LY6G6C	18.8152	LY6G6C	13.7603
LY6H	7.3625	removed	removed
LY6K	237.7804	LY6K	17.4649
LY75	147.5165	LY75	1925.7303
LY86	70.6251	LY86	177.2957
LY96	41.7206	LY96	291.0825
removed	removed	LY9	28.3144
LYAR	254.9594	LYAR	251.654
removed	removed	LYG1	8.9971
LYL1	20.9967	LYL1	40.4869
LYNX1	109.8916	LYNX1	303.255
LYN	253.3233	LYN	1106.1135
LYPD1	10.5065	LYPD1	6.7611
LYPD3	1417.6836	LYPD3	539.2965
LYPD5	148.34	LYPD5	46.044
LYPD6B	409.5712	LYPD6B	184.4405
LYPD6	1245.8927	LYPD6	573.1679
LYPLA1	2084.3957	LYPLA1	1926.4368
LYPLA2P1	76.0788	LYPLA2P1	32.2837
LYPLA2	976.2083	LYPLA2	422.8635
LYPLAL1	1244.5293	LYPLAL1	662.345
LYRM1	674.3473	LYRM1	1027.5212
LYRM2	785.875	LYRM2	1425.1981
LYRM4	261.7765	LYRM4	348.5051
LYRM5	440.3845	LYRM5	820.3234
LYRM7	413.3888	LYRM7	693.0409
LYSMD1	702.4337	LYSMD1	128.8702
LYSMD2	44.4475	LYSMD2	296.9041
LYSMD3	909.9461	LYSMD3	1317.8098
LYSMD4	155.7625	LYSMD4	195.1258
LYST	2421.1603	LYST	1944.1664
LYVE1	5.7264	LYVE1	4177.563
LYZ	252.778	LYZ	1132.3109
LZIC	563.3649	LZIC	439.7992
LZTFL1	936.3965	LZTFL1	1497.4871
LZTR1	866.8375	LZTR1	337.3911
LZTS1	171.2455	LZTS1	111.6698
LZTS2	932.8516	LZTS2	637.7353
M6PR	3232.2367	M6PR	3049.7824
removed	removed	MAB21L1	49.2194
MACC1	1366.419	MACC1	1137.3387
MACF1	6654.8504	MACF1	7386.6151
MACROD1	47.7197	MACROD1	27.5205
MACROD2	83.4413	MACROD2	189.4682
MAD1L1	244.0521	MAD1L1	86.5309
MAD2L1BP	578.9079	MAD2L1BP	421.0111
MAD2L1	648.9877	MAD2L1	126.4886
MAD2L2	359.9427	MAD2L2	234.7183
MADD	1424.5006	MADD	956.3383
MAEA	1013.8387	MAEA	638.5291
removed	removed	MAEL	6.0863
MAF1	1366.1463	MAF1	812.914
MAFB	418.0244	MAFB	1195.2905
MAFF	595.8143	MAFF	1023.8165
MAFG	156.2479	MAFG	467.0551
MAFK	236.4006	MAFK	445.1419
MAF	300.225	MAF	2180.4725
MAGEC1	19.0879	removed	removed
MAGED1	12569.0913	MAGED1	2863.1932
MAGED2	22515.7816	MAGED2	4050.0159
MAGED4B	377.5254	MAGED4B	142.7865
MAGED4	107.5792	MAGED4	28.6875
MAGEE1	127.6161	MAGEE1	139.1904
removed	removed	MAGEE2	6.6155
MAGEF1	1321.6988	MAGEF1	613.3902
MAGEH1	413.9341	MAGEH1	410.4263
MAGEL2	6.2717	MAGEL2	15.348
MAGI1	680.3463	MAGI1	1284.4676
MAGI2	249.5058	MAGI2	445.8854
MAGI3	2464.7897	MAGI3	858.4287
MAGIX	73.6247	MAGIX	11.9079
MAGOHB	484.832	MAGOHB	305.6366
MAGOH	556.5478	MAGOH	415.7187
MAGT1	2144.9315	MAGT1	4441.1249
MAG	37.6304	removed	removed
MAK16	502.7282	MAK16	838.3414
removed	removed	MAK	152.4214
MAL2	8599.9046	MAL2	3425.247
MALAT1	1649.8466	MALAT1	10012.9915
MALL	142.6137	MALL	1120.1383
MALT1	444.4747	MALT1	1295.8463
removed	removed	MAL	14.8187
MAMDC2	84.532	MAMDC2	1324.6476
MAMDC4	37.9031	MAMDC4	5.557
MAML1	1502.2319	MAML1	1158.1167
MAML2	67.6256	MAML2	1353.7982
MAML3	998.023	MAML3	526.5947
MAMLD1	35.4489	MAMLD1	188.6744
MAMSTR	29.1772	MAMSTR	23.8158
MAN1A1	231.7813	MAN1A1	3904.21
MAN1A2	682.2551	MAN1A2	1413.3378
MAN1B1	1818.8016	MAN1B1	527.9178
MAN1C1	675.7107	MAN1C1	373.9087
MAN2A1	1393.142	MAN2A1	1544.5895
MAN2A2	539.6414	MAN2A2	997.0898
MAN2B1	581.9074	MAN2B1	807.8862
MAN2B2	2813.007	MAN2B2	1446.4154
MAN2C1	577.8172	MAN2C1	473.9352
MANBAL	775.7857	MANBAL	847.5793
MANBA	1048.4696	MANBA	796.7722
MANEAL	998.8411	MANEAL	115.1099
MANEA	555.4571	MANEA	776.9256
MANF	1234.7127	MANF	569.7278
MANSC1	1742.7227	MANSC1	1419.1594
MAOA	47.447	MAOA	3169.6237
MAOB	20.724	MAOB	2470.7611
MAP1A	239.4165	MAP1A	786.9812
MAP1B	339.7641	MAP1B	3505.427
MAP1D	70.0798	MAP1D	66.1551
MAP1LC3A	197.1505	MAP1LC3A	119.3438
MAP1LC3B2	232.054	MAP1LC3B2	341.3604
MAP1LC3B	1643.7385	MAP1LC3B	3549.354
removed	removed	MAP1LC3C	63.7735
MAP1S	760.5154	MAP1S	255.0941
MAP2K1	832.8775	MAP2K1	1166.4575
MAP2K2	1167.9051	MAP2K2	448.267
MAP2K3	525.7345	MAP2K3	1388.1989
MAP2K4	2173.5633	MAP2K4	1478.1698
MAP2K5	351.7622	MAP2K5	352.4744
MAP2K6	130.0702	MAP2K6	195.0253
MAP2K7	585.4523	MAP2K7	385.552
MAP2	427.2957	MAP2	415.1895
MAP3K10	175.3357	MAP3K10	28.0498
MAP3K11	975.9356	MAP3K11	616.8303
MAP3K12	159.1138	MAP3K12	124.0329
MAP3K13	16.4074	MAP3K13	35.1707
MAP3K14	200.4227	MAP3K14	673.7237
MAP3K1	4537.7326	MAP3K1	2625.0348
MAP3K2	967.4824	MAP3K2	1069.0666
MAP3K3	484.622	MAP3K3	1039.9266
MAP3K4	690.1629	MAP3K4	841.7576
MAP3K5	391.5741	MAP3K5	1055.571
MAP3K6	780.9667	MAP3K6	384.4935
MAP3K7	584.9069	MAP3K7	1116.9629
MAP3K8	177.2445	MAP3K8	945.2242
MAP3K9	71.9885	MAP3K9	77.7984
MAP4K1	14.1796	MAP4K1	42.0747
MAP4K2	668.6209	MAP4K2	160.0954
MAP4K3	1332.3335	MAP4K3	1451.7078
MAP4K4	2316.177	MAP4K4	2933.8469
MAP4K5	687.1634	MAP4K5	2045.2514
MAP4	6074.3064	MAP4	6012.7058
MAP6D1	31.086	MAP6D1	57.158
MAP6	11.18	MAP6	151.0983
MAP7D1	1149.908	MAP7D1	949.4582
MAP7D2	32.1767	MAP7D2	16.6711
MAP7D3	31.6313	MAP7D3	444.2977
MAP7	1200.8999	MAP7	1024.875
MAP9	462.7446	MAP9	702.3027
removed	removed	MAPK10	311.9875
MAPK11	62.7173	MAPK11	108.2298
MAPK12	28.9372	MAPK12	41.5586
MAPK13	1194.6281	MAPK13	346.3882
MAPK14	1300.4295	MAPK14	1726.3838
MAPK15	43.3567	MAPK15	12.4372
MAPK1IP1L	1775.1721	MAPK1IP1L	5022.7607
MAPK1	3530.1657	MAPK1	4961.3687
MAPK3	1275.3426	MAPK3	1360.4137
removed	removed	MAPK4	33.8714
MAPK6	2159.9291	MAPK6	1884.6268
MAPK7	391.5032	MAPK7	288.6533
MAPK8IP1	266.6848	MAPK8IP1	218.3119
MAPK8IP2	427.5683	MAPK8IP2	30.4314
MAPK8IP3	281.1371	MAPK8IP3	189.9975
MAPK8	379.0306	MAPK8	460.9688
MAPK9	2477.3332	MAPK9	1419.6887
MAPKAP1	1352.7848	MAPKAP1	1565.2299
MAPKAPK2	4662.0765	MAPKAPK2	2753.905
MAPKAPK3	542.3683	MAPKAPK3	459.9103
MAPKAPK5	577.7135	MAPKAPK5	495.1049
MAPKBP1	424.8415	MAPKBP1	404.34
MAPKSP1	1102.461	MAPKSP1	1862.1341
MAPRE1	2721.1126	MAPRE1	4047.8989
MAPRE2	418.0244	MAPRE2	1423.9226
MAPRE3	208.6032	MAPRE3	323.3662
MAPT	3031.6995	MAPT	957.1321
MARCH10	10.7138	removed	removed
MARCH1	50.9919	MARCH1	128.0763
MARCH2	575.6357	MARCH2	428.6851
MARCH3	339.7641	MARCH3	129.1348
MARCH4	6.5444	removed	removed
MARCH5	1451.769	MARCH5	1950.7819
MARCH6	2729.2931	MARCH6	2818.4724
MARCH7	3152.2258	MARCH7	3976.716
MARCH8	529.5521	MARCH8	454.3533
MARCH9	270.2297	MARCH9	125.1655
MARCKSL1	7180.8576	MARCKSL1	2289.7607
MARCKS	1293.067	MARCKS	6733.2672
removed	removed	MARCO	174.1203
MARK1	16.9064	MARK1	377.0841
MARK2	1396.9596	MARK2	686.4254
MARK3	1096.1892	MARK3	1146.865
MARK4	635.0808	MARK4	281.2915
MARS2	179.426	MARS2	232.0721
MARS	2171.8318	MARS	1055.9785
MARVELD1	685.9309	MARVELD1	811.4321
MARVELD2	571.5454	MARVELD2	355.6499
MARVELD3	446.4708	MARVELD3	159.4179
removed	removed	MAS1L	5.557
removed	removed	MASP1	230.4844
MASP2	11.7254	MASP2	56.8934
MAST1	20.9967	removed	removed
MAST2	1130.002	MAST2	575.5495
MAST3	193.8782	MAST3	190.2621
MAST4	1349.2399	MAST4	735.3802
MASTL	770.8774	MASTL	504.1019
removed	removed	MAT1A	7.9386
MAT2A	3446.9971	MAT2A	6576.6119
MAT2B	1283.7958	MAT2B	2287.6437
removed	removed	MATK	5.2924
MATN2	44.9928	MATN2	3032.5503
MATN3	1122.3669	MATN3	100.8204
removed	removed	MATN4	33.6068
MATR3	11788.1246	MATR3	10372.5657
MAVS	997.4777	MAVS	2039.959
MAX	1333.9696	MAX	1350.8874
MAZ	3073.6519	MAZ	919.4476
MBD1	909.1281	MBD1	643.2923
MBD2	2214.4659	MBD2	2465.2041
MBD3	510.7369	MBD3	235.2476
MBD4	977.2991	MBD4	978.5664
MBD5	402.4814	MBD5	416.7772
MBD6	1899.7887	MBD6	1097.381
MBIP	105.8013	MBIP	662.8742
MBLAC1	38.1757	MBLAC1	5.557
MBLAC2	205.331	MBLAC2	338.9788
MBNL1	2528.6604	MBNL1	8918.6087
MBNL2	1280.7962	MBNL2	5360.1517
MBNL3	8.4532	MBNL3	140.2488
MBOAT1	1865.9759	MBOAT1	1378.9371
MBOAT2	2809.4621	MBOAT2	527.9178
MBOAT4	10.9074	MBOAT4	5.0278
MBOAT7	2644.7611	MBOAT7	422.3342
MBP	149.1581	MBP	1595.3967
MBTD1	847.7742	MBTD1	960.8368
MBTPS1	4043.3567	MBTPS1	3454.8845
MBTPS2	877.4313	MBTPS2	839.0029
MB	732.9743	MB	86.5309
MC1R	243.883	MC1R	38.1239
MCAM	1375.4175	MCAM	3490.079
MCART1	214.8749	MCART1	213.2841
MCART2	6.5444	MCART2	12.4372
removed	removed	MCART6	9.791
MCAT	273.5019	MCAT	169.6217
MCCC1	345.2178	MCCC1	634.8244
MCCC2	6107.3011	MCCC2	3618.1553
MCC	873.1338	MCC	1485.5792
MCEE	322.585	MCEE	207.9917
removed	removed	MCF2L2	11.3787
MCF2L	453.2006	MCF2L	566.817
MCFD2	2473.6028	MCFD2	5423.8988
MCHR1	6.8171	removed	removed
MCL1	13339.4233	MCL1	18701.2561
MCM10	388.0292	MCM10	18.2588
MCM2	2025.7686	MCM2	217.518
MCM3APAS	37.3604	MCM3APAS	33.3289
MCM3AP	1486.3972	MCM3AP	1544.8674
MCM3	3369.0095	MCM3	1094.2055
MCM4	4114.2546	MCM4	687.7485
MCM5	1665.8259	MCM5	275.9991
MCM6	2568.4096	MCM6	703.0965
MCM7	2862.191	MCM7	635.6183
MCM8	591.1787	MCM8	254.5649
MCM9	64.0807	MCM9	95.7926
MCOLN1	399.7546	MCOLN1	275.4699
MCOLN2	31.086	MCOLN2	67.4782
removed	removed	MCOLN3	251.1248
MCPH1	708.2746	MCPH1	750.2731
MCRS1	851.5918	MCRS1	372.5856
MCTP1	113.4365	MCTP1	701.2442
MCTP2	419.1151	MCTP2	362.0008
MCTS1	931.4882	MCTS1	1055.571
MDC1	1358.2385	MDC1	994.4436
MDFIC	1389.3244	MDFIC	2144.4841
MDFI	398.1185	MDFI	95.7926
MDGA1	33.8128	MDGA1	60.3335
MDH1B	83.4413	MDH1B	41.2808
MDH1	3369.5548	MDH1	5034.404
MDH2	3082.4187	MDH2	1801.536
MDK	2300.634	MDK	857.3702
MDM1	382.5755	MDM1	363.0593
MDM2	2948.5309	MDM2	2773.2223
MDM4	1801.6225	MDM4	1394.2851
MDN1	380.6667	MDN1	1236.3067
MDP1	234.4836	MDP1	155.827
ME1	40.9026	ME1	849.6962
ME2	428.9318	ME2	741.4665
ME3	414.2068	ME3	229.9552
MEA1	1376.4974	MEA1	419.9526
MEAF6	2102.9382	MEAF6	1918.7628
MECOM	146.4312	MECOM	984.9173
MECP2	722.3396	MECP2	1641.4406
MECR	317.404	MECR	244.5093
MED10	292.0444	MED10	342.9481
MED11	275.6834	MED11	122.5193
MED12L	44.4475	MED12L	13.7603
MED12	1134.6377	MED12	937.021
MED13L	4033.8128	MED13L	4916.6479
MED13	3484.6274	MED13	3041.812
MED14	1573.6587	MED14	1555.1744
MED15	1442.2251	MED15	766.6054
MED16	901.7656	MED16	369.9394
MED17	837.1395	MED17	980.6834
MED18	433.022	MED18	183.6466
MED19	207.7851	MED19	188.1451
MED1	2449.2467	MED1	2115.1112
MED20	567.1825	MED20	512.0406
MED21	733.7924	MED21	986.2404
MED22	398.9365	MED22	337.1264
MED23	836.8669	MED23	1428.1565
MED24	1696.9119	MED24	877.4814
MED25	857.3182	MED25	270.7067
MED26	190.8787	MED26	205.6101
MED27	227.691	MED27	205.6101
MED28	575.363	MED28	732.9986
MED29	1977.7763	MED29	1017.9949
MED30	185.9704	MED30	235.2476
MED31	146.3958	MED31	220.8522
MED4	566.6371	MED4	1311.1943
MED6	381.4848	MED6	422.5989
MED7	260.1404	MED7	369.4101
MED8	907.492	MED8	494.5756
MED9	379.3033	MED9	333.1571
MEF2A	839.8064	MEF2A	3139.621
MEF2B	14.1714	MEF2B	6.7081
MEF2C	337.5827	MEF2C	2037.842
MEF2D	2990.2516	MEF2D	1323.1022
removed	removed	MEFV	5.557
MEG3	8.7259	MEG3	168.5632
MEGF10	776.331	MEGF10	197.1422
MEGF6	781.2393	MEGF6	318.8676
MEGF8	362.3969	MEGF8	373.1148
MEGF9	5529.4839	MEGF9	2090.2369
MEI1	6.5444	MEI1	55.8349
MEIS1	253.0507	MEIS1	424.7158
MEIS2	38.4484	MEIS2	709.712
MEIS3P1	821.5966	MEIS3P1	971.9509
MEIS3	57.809	MEIS3	118.55
MELK	509.1008	MELK	20.1112
MEMO1	376.0311	MEMO1	381.4424
MEN1	1110.3688	MEN1	388.4628
MEOX1	10.362	MEOX1	685.6316
MEOX2	13.0888	MEOX2	622.3873
MEPCE	1602.8359	MEPCE	980.1541
MERTK	105.256	MERTK	404.34
MESDC1	685.2546	MESDC1	559.6722
MESDC2	1674.0064	MESDC2	1256.6825
MESP1	115.8907	MESP1	55.5703
MESP2	85.0774	MESP2	12.7018
removed	removed	MESTIT1	17.4649
MEST	1085.2819	MEST	2799.6843
METAP1	1249.7103	METAP1	1414.3963
METAP2	1816.8928	METAP2	2314.1058
METRNL	152.4303	METRNL	131.5164
METRN	144.5225	METRN	12.7018
METT10D	700.5249	METT10D	1292.4063
METT11D1	439.8391	METT11D1	486.637
METT5D1	817.779	METT5D1	464.6735
METTL10	305.8313	METTL10	568.1692
METTL11A	259.2597	METTL11A	86.2663
METTL12	61.0294	METTL12	32.3895
METTL13	2235.4625	METTL13	448.0024
METTL14	443.1113	METTL14	614.9779
METTL1	332.947	METTL1	240.2754
METTL2A	454.0187	METTL2A	414.6602
METTL2B	260.9585	METTL2B	291.8764
METTL3	936.2274	METTL3	567.2324
METTL4	380.9394	METTL4	438.7407
METTL5	569.0831	METTL5	724.671
METTL6	362.6696	METTL6	275.2053
METTL7A	851.8645	METTL7A	4969.3073
removed	removed	METTL7B	16.4065
METTL8	487.0134	METTL8	541.9427
METTL9	1479.3101	METTL9	2710.5072
MET	83.714	MET	3400.6373
MEX3A	799.2365	MEX3A	87.0601
MEX3B	55.6275	MEX3B	48.1609
MEX3C	1418.7743	MEX3C	1959.779
MEX3D	484.5593	MEX3D	248.214
MFAP1	888.6768	MFAP1	682.9854
MFAP2	335.4012	MFAP2	173.3264
MFAP3L	119.4355	MFAP3L	544.5889
MFAP3	1742.1774	MFAP3	1653.0839
MFAP4	107.7101	MFAP4	10580.8485
MFAP5	523.2804	MFAP5	10417.0484
MFF	942.3955	MFF	1431.5966
MFGE8	737.0646	MFGE8	2651.7615
MFHAS1	245.4155	MFHAS1	271.7652
MFI2	181.3348	MFI2	156.1261
MFN1	632.6266	MFN1	1438.2121
MFN2	3367.9187	MFN2	2141.8379
MFNG	61.0812	MFNG	285.9621
MFRP	202.3314	MFRP	131.2517
MFSD10	892.2217	MFSD10	333.1571
MFSD11	656.3747	MFSD11	726.055
MFSD1	1644.8292	MFSD1	3294.2599
MFSD2A	81.8052	MFSD2A	56.3642
MFSD2B	16.6337	removed	removed
MFSD3	72.5339	MFSD3	49.2194
MFSD4	178.6079	MFSD4	282.8793
MFSD5	750.6988	MFSD5	550.1459
MFSD6L	99.2569	MFSD6L	11.3787
MFSD6	1013.8387	MFSD6	2798.8904
MFSD7	294.1141	MFSD7	78.9363
MFSD8	183.2436	MFSD8	558.8784
MFSD9	160.6108	MFSD9	107.7005
MGAM	37.085	removed	removed
MGAT1	1315.4271	MGAT1	1720.2975
MGAT2	889.4949	MGAT2	1082.033
MGAT3	8.1805	MGAT3	90.2356
MGAT4A	732.7016	MGAT4A	1646.2038
MGAT4B	1339.1506	MGAT4B	655.9941
removed	removed	MGAT4C	50.2779
MGAT5B	53.1734	MGAT5B	5.0278
MGAT5	249.5058	MGAT5	326.0124
MGA	1493.217	MGA	1475.259
removed	removed	MGC12916	6.0863
