gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
ACTR5	134.1165	ACTR5	192.5215
ACTR6	602.0558	ACTR6	592.7236
ACTR8	653.4508	ACTR8	473.4715
ACVR1B	1192.8536	ACVR1B	951.996
ACVR1C	26.4317	ACVR1C	170.7933
ACVR1	638.277	ACVR1	1309.2471
ACVR2A	252.5698	ACVR2A	651.8444
ACVR2B	325.0122	ACVR2B	442.6478
ACVRL1	418.9917	ACVRL1	965.1339
ACY1	870.7783	ACY1	522.4861
ACY3	14.1948	ACY3	33.3502
ACYP1	162.5061	ACYP1	87.9232
ACYP2	247.675	ACYP2	148.5599
removed	removed	ADAD2	12.4811
ADAL	274.5962	ADAL	176.857
ADAM10	1837.4939	ADAM10	2129.8636
ADAM11	6.8527	ADAM11	21.2228
ADAM12	490.9447	ADAM12	2098.5346
ADAM15	3860.0245	ADAM15	3025.528
ADAM17	641.2139	ADAM17	881.7585
ADAM19	260.8908	ADAM19	294.0879
ADAM22	46.5002	ADAM22	65.6897
ADAM23	10.7685	ADAM23	60.1314
ADAM28	119.4322	ADAM28	195.5533
removed	removed	ADAM2	5.5584
ADAM32	6.8527	ADAM32	16.1698
ADAM33	31.816	ADAM33	1049.52
ADAM6	11345.7709	ADAM6	85486.9025
ADAM8	126.2849	ADAM8	127.8423
ADAM9	1572.6872	ADAM9	2722.5872
ADAMDEC1	18.6001	ADAMDEC1	18.6963
ADAMTS10	65.5898	ADAMTS10	163.2137
ADAMTS12	124.327	ADAMTS12	169.2774
ADAMTS13	128.7323	ADAMTS13	94.9975
ADAMTS14	16.6422	ADAMTS14	238.5043
ADAMTS15	4272.1488	ADAMTS15	217.2815
ADAMTS16	13.7053	ADAMTS16	91.9656
ADAMTS17	40.1371	ADAMTS17	64.6791
ADAMTS18	63.1424	ADAMTS18	322.385
ADAMTS19	25.4528	removed	removed
ADAMTS1	534.5081	ADAMTS1	3429.0045
ADAMTS2	147.3324	ADAMTS2	545.7302
ADAMTS3	28.3896	ADAMTS3	109.6513
ADAMTS4	315.7122	ADAMTS4	321.3744
ADAMTS5	87.1268	ADAMTS5	1701.3643
ADAMTS6	25.4528	ADAMTS6	49.0147
ADAMTS7	130.6902	ADAMTS7	100.5558
ADAMTS8	38.6686	ADAMTS8	26.7812
ADAMTS9	183.5536	ADAMTS9	933.2996
ADAMTSL1	79.2952	ADAMTSL1	293.5826
