gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
ADAMTSL5	105.3199	ADAMTSL5	69.5947
ADAP1	108.4687	ADAP1	54.1587
ADAP2	179.3674	ADAP2	219.8175
ADARB1	539.5399	ADARB1	636.9616
ADAR	28138.7491	ADAR	13566.306
ADAT1	507.5485	ADAT1	424.9947
ADAT2	109.6334	ADAT2	213.4522
ADAT3	11.862	ADAT3	10.3968
ADA	214.9533	ADA	66.4121
ADCK1	76.2042	ADCK1	116.6985
ADCK2	664.6298	ADCK2	489.7093
ADCK4	841.4809	ADCK4	402.2915
ADCK5	86.6283	ADCK5	58.5614
ADCY10	5.3918	ADCY10	5.5167
ADCY1	557.1531	ADCY1	1828.1349
ADCY2	221.064	ADCY2	121.7908
ADCY3	1369.2308	ADCY3	801.9796
ADCY4	190.5104	ADCY4	352.6416
ADCY5	364.8454	ADCY5	362.1897
ADCY6	1489.2164	ADCY6	2314.6616
ADCY7	368.7994	ADCY7	392.5313
ADCY9	1456.1467	ADCY9	1042.2236
ADCYAP1R1	11.862	ADCYAP1R1	35.4339
ADCYAP1	449.6765	ADCYAP1	259.2828
ADC	101.0065	ADC	155.1029
ADD1	5537.7426	ADD1	4950.9866
ADD2	51.7613	ADD2	53.0448
ADD3	1864.8454	ADD3	4392.1069
ADH1A	10.0647	ADH1A	93.571
ADH1B	812.7247	ADH1B	8856.3548
ADH1C	35.2265	ADH1C	215.5739
removed	removed	ADH4	5.5167
ADH5	1869.8778	ADH5	3048.3768
ADHFE1	36.6643	ADHFE1	221.9393
ADI1	1342.5593	ADI1	1345.2154
ADIPOQ	419.8418	ADIPOQ	9320.8148
ADIPOR1	5059.6693	ADIPOR1	2756.2062
ADIPOR2	3920.9202	ADIPOR2	2718.4384
ADK	267.4335	ADK	423.9338
ADM2	278.2171	ADM2	93.1466
ADM	75.1258	ADM	244.8547
ADNP2	973.4004	ADNP2	1064.9268
ADNP	5283.2495	ADNP	4240.3989
ADORA1	192.3077	ADORA1	160.8317
ADORA2A	645.5643	ADORA2A	51.7632
ADORA2B	48.1668	ADORA2B	45.1941
ADORA3	39.1804	ADORA3	30.766
ADO	716.7505	ADO	930.6174
ADPGK	774.2487	ADPGK	881.7059
ADPRHL1	75.1258	ADPRHL1	58.5614
ADPRHL2	634.7951	ADPRHL2	464.0356
ADPRH	221.4234	ADPRH	300.6578
removed	removed	ADRA1A	37.7679
ADRA1B	5.3918	ADRA1B	9.7602
ADRA2A	295.8303	ADRA2A	602.5886
removed	removed	ADRA2B	8.4872
ADRA2C	73.3285	ADRA2C	29.2807
ADRB1	13.6592	ADRB1	28.8564
ADRB2	29.8347	ADRB2	190.3246
ADRBK1	1237.2394	ADRBK1	1298.9603
ADRBK2	1480.2301	ADRBK2	1375.1326
ADRM1	1437.4551	ADRM1	584.5534
ADSL	691.2293	ADSL	611.7123
ADSSL1	63.2638	ADSSL1	92.9344
ADSS	3292.2358	ADSS	2418.6293
AEBP1	5748.7419	AEBP1	2506.2593
AEBP2	921.6391	AEBP2	1095.4806
AEN	855.8591	AEN	623.17
AES	3233.2854	AES	3644.8122
AFAP1L1	212.7965	AFAP1L1	336.9404
AFAP1L2	181.5241	AFAP1L2	423.2973
AFAP1	1699.8454	AFAP1	1497.3372
removed	removed	AFARP1	5.941
AFF1	5139.1086	AFF1	4040.5262
AFF2	8.2674	AFF2	80.2037
AFF3	2218.1884	AFF3	3484.8292
AFF4	8479.5111	AFF4	9026.9467
AFG3L1	162.8325	AFG3L1	223.6367
AFG3L2	1098.2351	AFG3L2	1455.9028
AFMID	388.2099	AFMID	382.1345
removed	removed	AFP	13.5795
AFTPH	2484.184	AFTPH	2313.6007
AG2	367.7211	AG2	249.7348
AGAP11	39.8994	AGAP11	203.6474
AGAP1	441.4091	AGAP1	430.5114
AGAP2	95.5392	AGAP2	68.903
AGAP3	741.9123	AGAP3	719.2871
AGAP4	148.8138	AGAP4	264.163
AGAP5	54.3386	AGAP5	110.3501
AGAP6	101.7254	AGAP6	153.1933
AGAP7	6.1107	AGAP7	8.275
AGAP8	20.1294	AGAP8	25.6737
AGA	506.4702	AGA	653.7237
AGBL2	9.7052	AGBL2	30.3416
removed	removed	AGBL3	16.7621
removed	removed	AGBL4	20.157
AGBL5	404.7484	AGBL5	569.0855
AGER	27.6779	AGER	71.2922
AGFG1	2128.3249	AGFG1	2309.1449
AGFG2	215.6722	AGFG2	266.4969
AGGF1	1195.5428	AGGF1	1329.3019
AGK	400.0719	AGK	537.6618
AGL	1124.371	AGL	1576.2784
AGMAT	48.5262	AGMAT	26.098
AGPAT1	1692.6743	AGPAT1	1378.0607
AGPAT2	448.2387	AGPAT2	674.9417
AGPAT3	2038.1021	AGPAT3	1732.8665
AGPAT4	200.5751	AGPAT4	205.1772
AGPAT5	529.8347	AGPAT5	1107.3626
AGPAT6	2536.6643	AGPAT6	1720.9845
AGPAT9	185.8375	AGPAT9	109.06
AGPHD1	24.8023	AGPHD1	66.8364
AGPS	1936.7362	AGPS	1753.0236
AGR2	11326.0244	AGR2	8740.2928
AGR3	2149.1733	AGR3	1360.7044
AGRN	5474.4788	AGRN	2440.0594
AGTPBP1	348.67	AGTPBP1	484.617
AGTR1	33.0697	AGTR1	165.0753
AGTRAP	977.3544	AGTRAP	577.3393
AGT	227.1747	AGT	49.8621
AGXT2L1	7.5485	AGXT2L1	15.4891
AGXT2L2	236.4522	AGXT2L2	429.0494
AHCTF1	3702.7318	AHCTF1	2692.7647
AHCYL1	3970.8843	AHCYL1	4373.4352
AHCYL2	469.087	AHCYL2	910.8848
AHCY	2955.4277	AHCY	2597.2841
AHDC1	729.6909	AHDC1	804.5831
AHI1	488.138	AHI1	603.4373
AHNAK2	712.0776	AHNAK2	584.9777
AHNAK	45990.6542	AHNAK	77005.0923
AHRR	29.8347	AHRR	46.8916
AHR	4292.2358	AHR	3709.5268
AHSA1	1469.4464	AHSA1	1122.003
AHSA2	218.1884	AHSA2	736.2614
AIDA	1414.601	AIDA	1013.4246
AIF1L	1284.3278	AIF1L	1930.1931
AIF1	314.8814	AIF1	304.477
AIFM1	1163.1919	AIFM1	809.4632
AIFM2	341.8404	AIFM2	617.2289
AIFM3	39.6441	AIFM3	10.3968
AIG1	960.4601	AIG1	823.467
AIM1L	9.7052	removed	removed
AIM1	1827.8217	AIM1	2154.042
AIM2	31.9914	AIM2	11.4577
AIMP1	1619.9281	AIMP1	1617.1526
AIMP2	388.2602	AIMP2	282.1112
AIP	351.9051	AIP	330.575
AJAP1	28.3968	AJAP1	22.2788
AK1	482.7462	AK1	242.3085
AK2	2523.005	AK2	2276.255
AK3L1	135.1546	AK3L1	487.3753
AK3	1239.3961	AK3	2132.3997
AK5	216.7505	AK5	580.9463
AK7	20.4889	AK7	41.5871
AKAP10	609.2739	AKAP10	868.8733
AKAP11	1072.2502	AKAP11	2359.2192
AKAP12	1622.5737	AKAP12	2711.0121
AKAP13	3443.5658	AKAP13	4305.5379
AKAP1	2718.9073	AKAP1	1710.1634
AKAP2	1269.9281	AKAP2	1033.0554
AKAP3	6.8296	AKAP3	22.2788
AKAP5	135.1546	AKAP5	356.0365
AKAP6	66.4989	AKAP6	311.6911
AKAP7	130.1222	AKAP7	199.2362
AKAP8L	636.2329	AKAP8L	710.5877
AKAP8	667.5054	AKAP8	747.2947
AKAP9	3816.3192	AKAP9	5758.5402
AKD1	116.8224	AKD1	253.554
AKIRIN1	1902.2286	AKIRIN1	1992.3616
AKIRIN2	683.6808	AKIRIN2	649.268
AKNA	890.0072	AKNA	538.2983
AKR1A1	1415.8879	AKR1A1	1364.7358
AKR1B1	264.9173	AKR1B1	486.951
AKR1C1	89.504	AKR1C1	1496.0471
AKR1C2	126.8871	AKR1C2	1443.8786
AKR1C3	703.8102	AKR1C3	1575.2175
removed	removed	AKR1E2	15.3045
AKR7A2	830.3379	AKR7A2	698.0692
AKR7A3	304.4572	AKR7A3	234.6701
AKR7L	23.005	AKR7L	57.5005
AKT1S1	862.6887	AKT1S1	523.8701
AKT1	2408.6988	AKT1	2060.0467
AKT2	2556.7937	AKT2	2052.8326
AKT3	846.8728	AKT3	1012.5186
AKTIP	439.7196	AKTIP	650.1613
ALAD	1336.8081	ALAD	1283.0469
ALAS1	682.243	ALAS1	899.0028
ALB	20.1294	ALB	32.6756
ALCAM	1636.5924	ALCAM	4056.4396
ALDH16A1	530.5536	ALDH16A1	351.7929
ALDH18A1	2771.3875	ALDH18A1	2132.1876
ALDH1A1	456.1467	ALDH1A1	1840.6535
ALDH1A2	30.913	ALDH1A2	117.9716
ALDH1A3	755.0324	ALDH1A3	1361.1606
ALDH1B1	763.4795	ALDH1B1	465.7331
ALDH1L1	6.8296	ALDH1L1	151.4959
ALDH1L2	122.9331	ALDH1L2	309.1449
ALDH2	1570.4529	ALDH2	2866.115
removed	removed	ALDH3A1	12.0942
ALDH3A2	1803.7383	ALDH3A2	2685.975
ALDH3B1	201.6535	ALDH3B1	97.3902
ALDH3B2	396.8368	ALDH3B2	1267.9822
ALDH4A1	557.5126	ALDH4A1	710.5877
ALDH5A1	613.9468	ALDH5A1	1004.0314
ALDH6A1	344.335	ALDH6A1	615.3851
ALDH7A1	1931.7038	ALDH7A1	2351.3686
ALDH8A1	13.6592	ALDH8A1	32.6756
ALDH9A1	2197.6995	ALDH9A1	2878.8457
ALDOA	24758.0877	ALDOA	10206.4502
removed	removed	ALDOB	5.3045
ALDOC	236.5205	ALDOC	485.4657
ALG10B	135.514	ALG10B	515.5952
ALG10	86.9878	ALG10	181.4131
ALG11	21.2078	ALG11	14.0038
ALG12	549.9641	ALG12	273.2867
ALG13	446.8009	ALG13	643.1148
ALG14	123.652	ALG14	176.9574
ALG1L	5.6219	removed	removed
ALG1	611.1898	ALG1	466.5139
ALG2	986.3408	ALG2	898.7906
ALG3	1529.8347	ALG3	444.0908
ALG5	614.6657	ALG5	816.2529
ALG6	254.1337	ALG6	381.0736
ALG8	587.3472	ALG8	576.4906
ALG9	492.092	ALG9	593.8892
ALKBH1	215.6722	ALKBH1	315.7225
ALKBH2	197.6995	ALKBH2	179.7157
ALKBH3	273.1848	ALKBH3	327.8167
ALKBH4	167.243	ALKBH4	133.9571
ALKBH5	2449.0618	ALKBH5	2003.4734
ALKBH6	75.1258	ALKBH6	65.9877
ALKBH7	186.5564	ALKBH7	214.7252
ALKBH8	201.294	ALKBH8	310.6302
ALMS1P	12.9403	ALMS1P	19.5205
ALMS1	1300.1438	ALMS1	1277.3181
ALOX12P2	8.2674	ALOX12P2	16.7621
removed	removed	ALOX12	8.7163
ALOX15B	85.9094	ALOX15B	1261.829
ALOX15	6.4702	ALOX15	5.5167
ALOX5AP	210.2804	ALOX5AP	171.0163
ALOX5	155.284	ALOX5	199.8727
ALOXE3	15.0971	ALOXE3	8.9115
ALPK1	520.8483	ALPK1	823.8914
ALPK2	6.4702	removed	removed
ALPK3	144.5004	ALPK3	180.3522
ALPL	292.9547	ALPL	481.4343
ALS2CL	61.826	ALS2CL	167.6215
ALS2CR11	7.1891	ALS2CR11	20.157
ALS2CR4	630.8411	ALS2CR4	1297.2629
ALS2CR8	115.7441	ALS2CR8	422.0242
ALS2	931.3444	ALS2	960.7469
ALX3	12.9403	ALX3	18.6718
ALX4	7.1891	ALX4	40.1018
AMACR	525.8807	AMACR	443.0299
AMBP	48.8857	AMBP	25.8858
AMBRA1	1434.22	AMBRA1	818.3747
AMD1	2029.1157	AMD1	3427.5408
removed	removed	AMDHD1	13.3673
AMDHD2	103.307	AMDHD2	91.341
AMFR	3694.8239	AMFR	3195.8413
AMICA1	203.0913	AMICA1	191.8099
AMIGO1	63.9827	AMIGO1	141.9478
AMIGO2	1357.6564	AMIGO2	1916.1893
AMIGO3	67.9367	AMIGO3	40.314
AMMECR1L	1138.3896	AMMECR1L	1165.4997
AMMECR1	671.0999	AMMECR1	513.4734
AMN1	213.5155	AMN1	375.7691
AMOTL1	754.4932	AMOTL1	1970.9315
AMOTL2	634.0762	AMOTL2	2139.826
AMOT	1040.9777	AMOT	1000
removed	removed	AMPD1	79.355
AMPD2	529.1157	AMPD2	450.8805
AMPD3	234.0043	AMPD3	258.0098
AMPH	77.642	AMPH	75.1114
AMT	20.7908	AMT	139.7284
removed	removed	AMY1A	8.4872
AMY2B	67.1927	AMY2B	422.6204
AMZ1	101.7254	AMZ1	49.0134
AMZ2P1	264.5579	AMZ2P1	277.3181
AMZ2	2270.6686	AMZ2	1597.2841
ANAPC10	143.0625	ANAPC10	187.9907
ANAPC11	1386.7721	ANAPC11	461.2773
ANAPC13	612.6815	ANAPC13	859.616
ANAPC16	1359.4536	ANAPC16	2058.7736
ANAPC1	937.8145	ANAPC1	1033.7365
ANAPC2	569.734	ANAPC2	505.1984
ANAPC4	496.046	ANAPC4	782.9408
ANAPC5	1260.6039	ANAPC5	1966.6879
ANAPC7	727.1747	ANAPC7	670.0615
ANGEL1	351.5457	ANGEL1	639.5077
ANGEL2	1231.8476	ANGEL2	1218.9688
ANGPT1	50.683	ANGPT1	476.9786
ANGPT2	581.9554	ANGPT2	314.025
removed	removed	ANGPT4	6.1532
ANGPTL1	92.3796	ANGPTL1	278.1668
ANGPTL2	1002.1567	ANGPTL2	2050.923
ANGPTL4	499.2811	ANGPTL4	563.972
removed	removed	ANGPTL5	5.941
removed	removed	ANGPTL7	82.5377
ANG	151.5385	ANG	225.0329
ANK1	20.4889	ANK1	7.6384
ANK2	920.2013	ANK2	762.7838
ANK3	1128.3249	ANK3	3182.8984
ANKAR	17.2538	ANKAR	64.2903
ANKDD1A	46.729	ANKDD1A	233.1848
ANKFY1	2202.0129	ANKFY1	2569.0643
ANKHD1-EIF4EBP3	760.284	ANKHD1-EIF4EBP3	689.7284
ANKHD1	4272.1747	ANKHD1	4395.2769
ANKH	1790.4385	ANKH	1803.5222
ANKIB1	1962.9763	ANKIB1	2148.7375
removed	removed	ANKK1	19.7327
removed	removed	ANKLE1	7.2141
ANKLE2	1585.55	ANKLE2	1557.1823
ANKMY1	238.3178	ANKMY1	257.7976
ANKMY2	437.8145	ANKMY2	710.3756
ANKRA2	375.629	ANKRA2	545.7246
ANKRD10	1608.555	ANKRD10	1825.349
ANKRD11	1844.7556	ANKRD11	1714.0505
ANKRD12	1407.9799	ANKRD12	2931.0418
ANKRD13A	674.6945	ANKRD13A	1180.3522
ANKRD13B	252.3364	ANKRD13B	114.3645
ANKRD13C	611.4306	ANKRD13C	828.3471
ANKRD13D	377.0669	ANKRD13D	337.5769
ANKRD16	215.1618	ANKRD16	219.5608
ANKRD17	4862.3293	ANKRD17	4826.4375
ANKRD19	29.8347	ANKRD19	32.4634
removed	removed	ANKRD1	5.5167
removed	removed	ANKRD20A3	12.3064
removed	removed	ANKRD20A4	7.0019
removed	removed	ANKRD20B	9.3359
ANKRD22	308.0518	ANKRD22	98.8755
ANKRD23	30.5536	ANKRD23	41.1627
ANKRD24	15.816	ANKRD24	18.0352
ANKRD26	486.3408	ANKRD26	627.6257
ANKRD27	695.5428	ANKRD27	849.9894
ANKRD28	5246.9446	ANKRD28	2406.5351
ANKRD29	76.9231	ANKRD29	252.0687
ANKRD30A	1036.3048	ANKRD30A	4101.6338
ANKRD30B	14.0187	ANKRD30B	231.6996
removed	removed	ANKRD31	12.5186
ANKRD32	211.7182	ANKRD32	291.5341
removed	removed	ANKRD34A	10.1846
ANKRD35	17.2538	ANKRD35	70.6556
ANKRD36BP1	261.3228	ANKRD36BP1	274.9841
ANKRD36B	34.5075	ANKRD36B	141.7356
ANKRD36	163.9109	ANKRD36	466.3696
ANKRD37	35.3918	ANKRD37	164.7252
ANKRD39	79.4393	ANKRD39	64.0781
ANKRD40	1763.4795	ANKRD40	2055.1666
ANKRD42	366.6427	ANKRD42	300.2334
ANKRD43	920.9202	ANKRD43	396.1383
ANKRD44	106.7577	ANKRD44	138.1286
ANKRD45	5.0324	ANKRD45	7.2141
ANKRD46	612.1963	ANKRD46	804.9141
ANKRD49	221.7829	ANKRD49	354.9756
ANKRD50	2515.816	ANKRD50	3659.8769
ANKRD52	2492.092	ANKRD52	1974.5385
ANKRD53	9.7052	ANKRD53	15.9134
ANKRD54	432.7822	ANKRD54	231.063
removed	removed	ANKRD55	5.0923
ANKRD56	180.4457	ANKRD56	132.3997
ANKRD57	356.2185	ANKRD57	803.0978
ANKRD58	8.9863	removed	removed
ANKRD5	367.3616	ANKRD5	382.9832
ANKRD6	110.8124	ANKRD6	288.8542
ANKRD9	28.0374	ANKRD9	38.4044
