gene_id	TCGA-BH-A0H5-01A-21R-A115-07	gene_id	TCGA-BH-A0H5-11A-62R-A115-07
ADCK5	117.7872	ADCK5	123.3901
ADCY1	1101.4795	ADCY1	1047.3619
ADCY2	270.9481	ADCY2	143.3319
ADCY3	1060.3405	ADCY3	1105.1683
ADCY4	237.8323	ADCY4	400.914
ADCY5	739.4627	ADCY5	398.4213
ADCY6	1292.2721	ADCY6	2618.6124
ADCY7	1268.5642	ADCY7	319.9003
ADCY9	908.4289	ADCY9	847.1126
ADCYAP1R1	7.9027	ADCYAP1R1	22.0191
ADCYAP1	106.4977	ADCYAP1	24.9273
ADC	170.4715	ADC	162.8583
ADD1	5555.566	ADD1	5314.9148
ADD2	98.2187	ADD2	48.1928
ADD3	2063.3454	ADD3	3049.8546
ADH1A	40.2659	ADH1A	76.4437
ADH1B	3805.3162	ADH1B	6322.393
ADH1C	54.5659	ADH1C	90.1537
ADH5	2155.5431	ADH5	3078.521
ADHFE1	103.1108	ADHFE1	244.7029
ADI1	1276.8432	ADI1	1292.4803
ADIPOQ	1423.6067	ADIPOQ	6889.0735
ADIPOR1	3026.7166	ADIPOR1	1992.1064
ADIPOR2	3864.7743	ADIPOR2	2268.3839
ADK	409.0564	ADK	378.8949
ADM2	211.1138	ADM2	118.4047
ADM	174.2347	ADM	238.4711
ADNP2	698.8204	ADNP2	915.6627
ADNP	2926.24	ADNP	3418.3631
ADORA1	251.0034	ADORA1	457.8313
ADORA2A	397.7669	ADORA2A	68.9655
ADORA2B	16.1816	ADORA2B	48.1928
ADORA3	181.7611	ADORA3	103.8637
ADO	597.5912	ADO	652.2642
ADPGK	1129.3909	ADPGK	904.2002
ADPRHL1	172.7294	ADPRHL1	150.8101
ADPRHL2	816.9839	ADPRHL2	601.5787
ADPRH	447.8171	ADPRH	398.0058
removed	removed	ADRA1A	19.9418
ADRA1B	19.5685	ADRA1B	27.8355
ADRA2A	623.1807	ADRA2A	1437.474
ADRA2B	8.279	ADRA2B	28.2509
ADRA2C	54.5659	ADRA2C	54.84
ADRB1	6.7737	ADRB1	21.1882
ADRB2	141.4951	ADRB2	261.7366
ADRBK1	3411.3125	ADRBK1	1630.6606
ADRBK2	1129.3269	ADRBK2	1437.0586
ADRM1	1329.1512	ADRM1	750.3116
ADSL	941.5448	ADSL	838.8035
ADSSL1	99.724	ADSSL1	113.0037
ADSS	1872.5528	ADSS	1475.2804
AEBP1	8719.6383	AEBP1	3443.2904
AEBP2	651.0282	AEBP2	1027.8355
AEN	512.5436	AEN	250.9348
AES	7344.9527	AES	5349.813
AFAP1L1	128.3241	AFAP1L1	295.8039
AFAP1L2	331.5352	AFAP1L2	1376.8176
AFAP1	1022.0653	AFAP1	1530.0706
AFF1	2065.9796	AFF1	3102.2019
AFF2	36.8791	AFF2	66.0573
AFF3	3657.8	AFF3	3269.6302
AFF4	2644.3787	AFF4	4700.457
AFG3L1	197.19	AFG3L1	275.0312
AFG3L2	1397.321	AFG3L2	1452.8251
AFMID	293.9035	AFMID	638.1388
AFP	114.7766	AFP	358.9531
AFTPH	2189.0353	AFTPH	2028.2509
AG2	120.7977	AG2	191.5247
AGAP11	29.729	AGAP11	159.5555
AGAP1	397.0143	AGAP1	680.5152
AGAP2	499.7074	AGAP2	93.037
AGAP3	993.4765	AGAP3	1588.6996
AGAP4	181.0084	AGAP4	341.5039
AGAP5	32.2955	AGAP5	98.1388
AGAP6	85.4239	AGAP6	125.0519
AGAP7	6.3974	AGAP7	6.2318
AGAP8	12.4185	AGAP8	19.1109
AGA	620.5465	AGA	498.1305
AGBL2	35.7501	AGBL2	36.1446
AGBL3	10.1606	AGBL3	7.4782
AGBL4	10.9132	AGBL4	8.3091
AGBL5	535.9053	AGBL5	887.8521
AGER	45.5343	AGER	59.4101
AGFG1	1497.3648	AGFG1	1659.327
AGFG2	546.0358	AGFG2	516.4105
AGGF1	989.3371	AGGF1	1034.4828
AGK	517.812	AGK	511.8405
AGL	1303.5617	AGL	1304.113
AGMAT	101.6056	AGMAT	14.9564
AGPAT1	1689.6741	AGPAT1	1401.828
AGPAT2	653.2861	AGPAT2	1130.8683
AGPAT3	2459.6071	AGPAT3	1755.2971
AGPAT4	109.1319	AGPAT4	321.5621
AGPAT5	877.9473	AGPAT5	819.2771
AGPAT6	1770.1946	AGPAT6	2071.0428
AGPAT9	99.724	AGPAT9	130.0374
AGPHD1	42.1475	AGPHD1	58.9946
AGPS	612.2676	AGPS	909.8463
AGR2	5037.3777	AGR2	1913.1699
AGR3	1063.0952	AGR3	822.1853
AGRN	5046.033	AGRN	5547.5696
AGTPBP1	425.2381	AGTPBP1	381.3876
AGTR1	82.0371	AGTR1	353.9676
AGTRAP	1057.8267	AGTRAP	505.6086
AGT	25.2132	AGT	39.0528
AGXT2L2	458.7942	AGXT2L2	508.629
AHCTF1	1460.4858	AHCTF1	1622.3515
AHCYL1	4150.7751	AHCYL1	3897.7981
AHCYL2	923.1053	AHCYL2	742.0025
AHCY	3123.8064	AHCY	2668.467
AHDC1	735.6995	AHDC1	1695.4715
AHI1	220.1454	AHI1	521.3959
AHNAK2	352.9852	AHNAK2	440.3822
AHNAK	34183.8722	AHNAK	90523.4732
AHRR	29.3527	AHRR	25.3428
AHR	2242.0959	AHR	3241.3793
AHSA1	1515.4281	AHSA1	1117.9892
AHSA2	295.4087	AHSA2	955.1309
AICDA	20.6974	removed	removed
AIDA	1417.2733	AIDA	751.2131
AIF1L	923.8579	AIF1L	2514.3332
AIF1	1141.7454	AIF1	246.3648
AIFM1	1076.6426	AIFM1	607.8106
AIFM2	347.7168	AIFM2	596.5933
AIFM3	5.2722	AIFM3	21.1882
AIG1	574.2595	AIG1	808.0598
AIM1L	8.6553	removed	removed
AIM1	2454.715	AIM1	4056.5019
AIM2	179.1268	removed	removed
AIMP1	982.2661	AIMP1	1184.5285
AIMP2	331.0798	AIMP2	196.7927
AIPL1	6.3974	removed	removed
AIP	1104.1137	AIP	658.4961
AJAP1	10.9132	AJAP1	13.2946
AK1	291.2693	AK1	309.5139
AK2	2074.6349	AK2	1847.5239
AK3L1	390.2406	AK3L1	601.9942
AK3	1525.5886	AK3	1890.7354
AK5	107.6266	AK5	2454.5077
AK7	33.4922	AK7	57.3328
AKAP10	521.9515	AKAP10	724.1379
AKAP11	1531.986	AKAP11	2367.2622
AKAP12	887.3552	AKAP12	1160.3656
AKAP13	4778.0953	AKAP13	4793.5189
AKAP1	994.9818	AKAP1	3686.3315
AKAP2	1251.5735	AKAP2	1341.076
AKAP3	34.6212	AKAP3	50.27
AKAP5	476.4172	AKAP5	214.3747
AKAP6	77.8976	AKAP6	402.1604
AKAP7	238.5849	AKAP7	234.732
AKAP8L	712.3678	AKAP8L	1036.56
AKAP8	701.831	AKAP8	966.3482
AKAP9	2127.3193	AKAP9	3933.9427
AKD1	117.4109	AKD1	178.6456
AKIRIN1	1429.2515	AKIRIN1	953.0536
AKIRIN2	807.1997	AKIRIN2	734.9398
AKNAD1	6.4012	removed	removed
AKNA	3705.9686	AKNA	719.5679
AKR1A1	2876.9425	AKR1A1	1407.9767
removed	removed	AKR1B10	5.4009
removed	removed	AKR1B15	97.6319
AKR1B1	1204.214	AKR1B1	631.9069
AKR1C1	76.016	AKR1C1	797.258
AKR1C2	106.874	AKR1C2	611.9651
AKR1C3	243.1007	AKR1C3	722.8916
removed	removed	AKR1D1	14.1255
AKR1E2	6.3974	AKR1E2	25.3428
AKR7A2	1335.9249	AKR7A2	889.0735
AKR7A3	1178.2481	AKR7A3	263.3984
AKR7L	54.5659	AKR7L	36.9755
AKT1S1	936.2764	AKT1S1	781.8862
AKT1	3547.5392	AKT1	2732.447
AKT2	2738.0816	AKT2	2587.8687
AKT3	537.3805	AKT3	924.8027
AKTIP	427.5637	AKTIP	580.1454
ALAD	1346.0855	ALAD	1712.9206
ALAS1	1026.5924	ALAS1	737.017
ALB	62.4686	ALB	2855.8371
ALCAM	2326.7672	ALCAM	6211.882
ALDH16A1	976.166	ALDH16A1	562.1105
ALDH18A1	2187.1537	ALDH18A1	1516.4105
ALDH1A1	1114.2743	ALDH1A1	956.3772
ALDH1A2	54.5659	ALDH1A2	213.1284
ALDH1A3	391.1024	ALDH1A3	1856.747
ALDH1B1	465.8803	ALDH1B1	339.8421
ALDH1L1	47.0396	ALDH1L1	339.4267
ALDH1L2	205.0927	ALDH1L2	203.9884
ALDH2	3682.6369	ALDH2	3811.3835
removed	removed	ALDH3A1	74.3664
ALDH3A2	2052.4322	ALDH3A2	2206.4811
ALDH3B1	290.1403	ALDH3B1	121.3128
ALDH3B2	728.9258	ALDH3B2	2066.4728
ALDH4A1	561.8411	ALDH4A1	570.4196
ALDH5A1	573.5069	ALDH5A1	727.4616
ALDH6A1	487.2513	ALDH6A1	591.0594
ALDH7A1	1188.785	ALDH7A1	4063.1491
ALDH8A1	7.5263	ALDH8A1	26.5891
ALDH9A1	4572.6263	ALDH9A1	3717.4907
ALDOA	24136.588	ALDOA	12534.275
ALDOC	324.7615	ALDOC	736.6016
ALG10B	270.5718	ALG10B	554.6323
ALG10	94.4555	ALG10	122.9747
ALG11	21.0737	ALG11	13.71
ALG12	575.0122	ALG12	429.1649
ALG13	472.2777	ALG13	580.3905
ALG14	194.9321	ALG14	160.3656
removed	removed	ALG1L	7.7316
ALG1	586.1323	ALG1	428.9738
ALG2	952.0817	ALG2	866.2235
ALG3	566.3569	ALG3	382.634
ALG5	659.3072	ALG5	546.3232
ALG6	375.1879	ALG6	256.3357
ALG8	686.402	ALG8	506.0241
ALG9	456.8487	ALG9	525.135
ALKBH1	253.6376	ALKBH1	283.7557
ALKBH2	223.5322	ALKBH2	301.2048
ALKBH3	365.4037	ALKBH3	429.1649
ALKBH4	234.8255	ALKBH4	263.7848
ALKBH5	2404.6272	ALKBH5	2013.1824
ALKBH6	106.1214	ALKBH6	76.0283
ALKBH7	598.3438	ALKBH7	574.1587
ALKBH8	219.3927	ALKBH8	304.113
removed	removed	ALK	14.9564
ALMS1P	15.8053	ALMS1P	14.5409
ALMS1	786.8786	ALMS1	925.6336
ALOX12P2	18.0632	ALOX12P2	50.6855
removed	removed	ALOX12	7.8936
ALOX15B	284.1192	ALOX15B	1422.5177
ALOX15	22.2027	ALOX15	168.6747
ALOX5AP	719.8942	ALOX5AP	174.4911
ALOX5	896.0105	ALOX5	463.6477
removed	removed	ALOXE3	28.2509
ALPK1	702.2073	ALPK1	1019.9418
ALPK2	37.2554	ALPK2	20.3573
ALPK3	96.3371	ALPK3	152.8874
ALPL	477.9224	ALPL	821.7698
ALS2CL	141.8715	ALS2CL	363.5231
removed	removed	ALS2CR11	14.5409
ALS2CR4	495.233	ALS2CR4	2178.2302
ALS2CR8	146.7636	ALS2CR8	370.5858
ALS2	498.9962	ALS2	891.5663
ALX3	21.0737	ALX3	44.4537
ALX4	18.0632	ALX4	51.5164
AMACR	351.1036	AMACR	290.403
AMBP	68.866	AMBP	7.4782
AMBRA1	1183.8929	AMBRA1	1327.3785
AMD1	1144.4812	AMD1	1514.3332
AMDHD1	30.858	AMDHD1	36.56
AMDHD2	276.401	AMDHD2	218.1138
AMFR	3248.3673	AMFR	2867.0544
removed	removed	AMH	11.6327
AMICA1	1170.7218	AMICA1	204.4038
AMIGO1	116.2819	AMIGO1	143.7474
AMIGO2	812.4267	AMIGO2	3509.7632
AMIGO3	100.4766	AMIGO3	55.671
AMMECR1L	657.4256	AMMECR1L	933.9427
AMMECR1	449.6987	AMMECR1	243.4566
AMN1	176.4926	AMN1	262.983
AMOTL1	909.1816	AMOTL1	2936.4354
AMOTL2	1021.7003	AMOTL2	2478.1886
AMOT	606.6228	AMOT	1252.1811
AMPD1	40.2659	AMPD1	29.0818
AMPD2	746.989	AMPD2	604.9024
AMPD3	488.4593	AMPD3	210.6356
AMPH	48.9212	AMPH	64.811
AMT	64.9184	AMT	377.9767
removed	removed	AMY1A	27.0046
AMY2B	160.9357	AMY2B	506.8135
AMZ1	45.9107	AMZ1	6.2318
AMZ2P1	322.8799	AMZ2P1	422.9331
AMZ2	1303.1853	AMZ2	1128.3756
ANAPC10	113.6477	ANAPC10	174.4911
ANAPC11	758.6548	ANAPC11	479.0195
ANAPC13	1341.6073	ANAPC13	1032.8542
ANAPC16	2461.1124	ANAPC16	2329.0403
ANAPC1	834.6708	ANAPC1	956.7927
ANAPC2	751.8811	ANAPC2	784.3789
ANAPC4	465.8803	ANAPC4	714.9979
ANAPC5	2404.2885	ANAPC5	2385.5422
ANAPC7	1028.0977	ANAPC7	742.4179
ANGEL1	579.9043	ANGEL1	682.177
ANGEL2	737.2048	ANGEL2	855.0062
ANGPT1	53.437	ANGPT1	232.6548
ANGPT2	188.9111	ANGPT2	155.3801
removed	removed	ANGPT4	7.0627
ANGPTL1	79.4029	ANGPTL1	227.2538
ANGPTL2	1275.3379	ANGPTL2	3110.511
ANGPTL4	129.0767	ANGPTL4	611.9651
ANGPTL6	16.5278	removed	removed
ANGPTL7	24.4606	ANGPTL7	546.3232
ANG	330.0562	ANG	413.0577
ANK1	93.7029	ANK1	7.0627
ANK2	455.7197	ANK2	434.5658
ANK3	1413.4462	ANK3	1864.1462
ANKAR	35.7501	ANKAR	98.8783
ANKDD1A	85.4239	ANKDD1A	127.9601
ANKFY1	2358.3778	ANKFY1	2270.4612
ANKHD1-EIF4EBP3	1208.7185	ANKHD1-EIF4EBP3	843.71
ANKHD1	2090.9182	ANKHD1	3389.7923
ANKH	948.3185	ANKH	2102.6174
ANKIB1	1344.9565	ANKIB1	1625.6751
ANKK1	16.5579	ANKK1	66.8882
ANKLE1	18.0632	ANKLE1	14.9564
ANKLE2	1336.6775	ANKLE2	1753.2198
ANKMY1	290.5166	ANKMY1	348.9821
ANKMY2	390.6169	ANKMY2	665.1433
ANKRA2	320.2457	ANKRA2	527.6278
ANKRD10	1158.6533	ANKRD10	1674.2709
ANKRD11	2011.9255	ANKRD11	3118.7246
ANKRD12	1560.2098	ANKRD12	2376.8176
ANKRD13A	1557.1992	ANKRD13A	1663.4815
ANKRD13B	57.5765	ANKRD13B	125.4674
ANKRD13C	625.0623	ANKRD13C	730.3698
ANKRD13D	537.7568	ANKRD13D	438.7204
ANKRD16	164.4505	ANKRD16	251.1924
ANKRD17	2875.4372	ANKRD17	3964.6863
ANKRD19	69.2423	ANKRD19	55.671
ANKRD20A3	19.1922	ANKRD20A3	50.27
removed	removed	ANKRD20A4	12.8791
ANKRD20B	7.9027	ANKRD20B	22.4346
ANKRD22	632.2123	ANKRD22	56.5019
ANKRD23	40.6422	ANKRD23	68.1346
ANKRD24	29.729	ANKRD24	63.1491
ANKRD26	173.4821	ANKRD26	438.7204
ANKRD27	722.5284	ANKRD27	855.4217
ANKRD28	1257.651	ANKRD28	1680.9306
ANKRD29	85.0476	ANKRD29	309.5139
ANKRD30A	280.7324	ANKRD30A	1432.4886
ANKRD30B	255.5192	ANKRD30B	181.1383
ANKRD32	206.9743	ANKRD32	218.1138
ANKRD34A	34.6212	ANKRD34A	20.7727
ANKRD35	66.6081	ANKRD35	245.1184
ANKRD36BP1	82.4134	ANKRD36BP1	248.8575
ANKRD36B	12.4185	ANKRD36B	73.951
ANKRD36	88.8108	ANKRD36	431.2422
ANKRD37	71.6545	ANKRD37	107.6568
ANKRD39	136.2267	ANKRD39	98.8783
ANKRD40	1026.5924	ANKRD40	1554.6323
ANKRD42	363.8984	ANKRD42	324.4703
ANKRD43	1088.6847	ANKRD43	83.091
ANKRD44	314.6009	ANKRD44	114.6656
removed	removed	ANKRD45	11.6327
ANKRD46	325.9431	ANKRD46	583.0287
ANKRD49	299.1719	ANKRD49	424.1795
ANKRD50	1659.1811	ANKRD50	1460.3241
ANKRD52	1330.6565	ANKRD52	1471.5413
ANKRD53	13.1711	ANKRD53	39.8837
ANKRD54	336.8036	ANKRD54	334.0258
ANKRD55	30.4817	removed	removed
ANKRD56	96.7134	ANKRD56	120.0665
ANKRD57	1105.9953	ANKRD57	1135.0229
ANKRD58	50.4265	removed	removed
ANKRD5	199.4479	ANKRD5	209.3893
ANKRD6	387.0231	ANKRD6	405.3469
