gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ADCY7	708.0952	ADCY7	465.731
ADCY9	1072.7518	ADCY9	713.4477
removed	removed	ADCYAP1R1	6.5345
ADCYAP1	21.4649	ADCYAP1	9.5047
ADC	88.5736	ADC	174.3521
ADD1	2755.8965	ADD1	4817.1085
ADD2	38.2421	ADD2	75.7407
ADD3	948.8969	ADD3	2786.6637
removed	removed	ADH1A	13.9808
ADH1B	608.6658	ADH1B	2101.4331
ADH1C	19.7378	ADH1C	120.8881
removed	removed	ADH4	19.3065
ADH5	1813.1677	ADH5	2683.894
ADHFE1	92.5211	ADHFE1	208.5097
ADI1	1407.3083	ADI1	1419.1728
ADIPOQ	139.6452	ADIPOQ	240.5881
ADIPOR1	3151.6403	ADIPOR1	2232.123
ADIPOR2	1981.1861	ADIPOR2	1772.0353
ADK	571.4106	ADK	351.6745
ADM2	188.003	ADM2	71.8794
ADM	72.7833	ADM	198.708
ADNP2	601.7575	ADNP2	775.8224
ADNP	2829.42	ADNP	3325.4622
ADORA1	22.9452	ADORA1	706.6162
ADORA2A	298.7792	ADORA2A	86.4335
ADORA2B	9.8689	ADORA2B	45.1474
ADORA3	177.1472	ADORA3	134.5511
ADO	640.4931	ADO	721.7643
ADPGK	1408.5024	ADPGK	998.904
ADPRHL1	106.8311	ADPRHL1	100.9876
ADPRHL2	579.059	ADPRHL2	601.1732
ADPRH	297.3013	ADPRH	312.1705
ADRA1B	7.8951	ADRA1B	5.0494
removed	removed	ADRA1D	6.2375
ADRA2A	1316.0208	ADRA2A	646.6177
removed	removed	ADRA2B	14.8511
ADRA2C	8.882	ADRA2C	27.029
ADRB1	205.0269	ADRB1	60.2955
ADRB2	51.8118	ADRB2	143.1648
ADRBK1	1910.3766	ADRBK1	1528.18
ADRBK2	890.6702	ADRBK2	731.269
ADRM1	954.8182	ADRM1	668.5973
ADSL	969.1282	ADSL	880.9683
ADSSL1	28.3732	ADSSL1	73.6615
ADSS	2780.8156	ADSS	1743.2242
AEBP1	8400.1799	AEBP1	2073.8101
AEBP2	792.4745	AEBP2	1215.4155
AEN	435.2195	AEN	388.2082
AES	3124.0073	AES	4142.2737
AFAP1L1	281.2643	AFAP1L1	233.1625
AFAP1L2	228.4655	AFAP1L2	793.6437
AFAP1	1158.6583	AFAP1	1595.5684
AFF1	4762.0017	AFF1	3154.0803
AFF2	19.2444	AFF2	31.1873
AFF3	1434.9413	AFF3	1472.6368
AFF4	5514.0136	AFF4	5526.1008
AFG3L1	134.4641	AFG3L1	316.0318
AFG3L2	1722.7191	AFG3L2	1739.6213
AFMID	816.1599	AFMID	641.5683
removed	removed	AFP	7.1285
AFTPH	1404.5944	AFTPH	2208.6582
AG2	176.1603	AG2	74.5526
AGAP11	29.36	AGAP11	147.632
AGAP1	433.4924	AGAP1	934.7293
AGAP2	128.9424	AGAP2	78.907
AGAP3	2526.1974	AGAP3	1336.0065
AGAP4	123.855	AGAP4	282.1712
AGAP5	51.3677	AGAP5	129.8998
AGAP6	73.2767	AGAP6	171.9759
removed	removed	AGAP7	9.8017
AGAP8	17.2706	AGAP8	29.4052
AGA	520.8324	AGA	460.0876
AGBL2	16.7772	AGBL2	22.2767
removed	removed	AGBL4	7.4256
AGBL5	244.7542	AGBL5	724.4494
AGER	12.3362	AGER	25.8409
AGFG1	1282.7132	AGFG1	1947.2785
AGFG2	336.2835	AGFG2	548.8973
AGGF1	1172.1812	AGGF1	1054.7264
AGK	681.4491	AGK	617.8065
AGL	1457.1464	AGL	1332.4423
AGMAT	35.2814	AGMAT	14.2571
AGPAT1	1285.2544	AGPAT1	1264.5073
AGPAT2	426.0907	AGPAT2	368.3077
AGPAT3	2899.9828	AGPAT3	1480.6564
AGPAT4	265.474	AGPAT4	209.1037
AGPAT5	976.7766	AGPAT5	679.2901
AGPAT6	2104.5477	AGPAT6	1924.7048
AGPAT9	42.9298	AGPAT9	73.3645
AGPHD1	39.7224	AGPHD1	74.2556
AGPS	2138.5954	AGPS	1377.5897
AGR2	7186.3024	AGR2	2340.5361
AGR3	1847.4622	AGR3	597.0149
AGRN	2452.6739	AGRN	3399.4208
AGTPBP1	343.9319	AGTPBP1	466.3251
AGTR1	25.4125	AGTR1	107.8191
AGTRAP	641.2332	AGTRAP	475.5328
AGT	179.3677	AGT	67.1271
AGXT2L2	407.3003	AGXT2L2	451.275
AHCTF1	1720.6466	AHCTF1	2115.6902
AHCYL1	4061.5549	AHCYL1	3930.4968
AHCYL2	707.1083	AHCYL2	752.3576
AHCY	4565.6101	AHCY	3438.6278
AHDC1	405.6127	AHDC1	1314.3239
AHI1	321.7269	AHI1	498.1065
AHNAK2	2313.5221	AHNAK2	717.012
AHNAK	47805.3059	AHNAK	82750.1299
AHRR	5.6746	AHRR	17.2273
AHR	2535.5728	AHR	5621.445
AHSA1	1359.444	AHSA1	1351.4517
AHSA2	175.4201	AHSA2	713.1507
AIDA	1008.4928	AIDA	804.3989
AIF1L	163.0839	AIF1L	2953.8873
AIF1	472.4747	AIF1	373.6541
AIFM1	1529.9297	AIFM1	708.6953
AIFM2	267.4478	AIFM2	343.6549
AIFM3	12.2671	AIFM3	12.9769
AIG1	429.7916	AIG1	601.7673
AIM1L	5.4279	removed	removed
AIM1	1394.9722	AIM1	3912.6754
AIM2	23.9321	AIM2	5.6434
AIMP1	1254.34	AIMP1	1652.0383
AIMP2	440.8102	AIMP2	268.2825
AIP	594.8493	AIP	575.9263
removed	removed	AJAP1	18.7124
AK1	517.3782	AK1	284.2504
AK2	2078.395	AK2	2014.4056
AK3L1	679.4753	AK3L1	591.3715
AK3	1445.3037	AK3	1600.0594
AK5	2484.5012	AK5	1772.0353
AK7	6.4148	AK7	30.5933
AKAP10	799.3827	AKAP10	788.8914
AKAP11	2832.8741	AKAP11	2699.6361
AKAP12	885.7358	AKAP12	1003.9355
AKAP13	3856.0346	AKAP13	6870.127
AKAP1	1766.5371	AKAP1	4296.4283
AKAP2	659.1231	AKAP2	881.197
AKAP3	25.6592	AKAP3	43.6623
AKAP5	382.4207	AKAP5	100.0965
AKAP6	3888.3554	AKAP6	416.1283
AKAP7	98.9359	AKAP7	305.933
AKAP8L	806.2909	AKAP8L	835.2269
