gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
IL1RAPL1	23.192	IL1RAPL1	12.772
removed	removed	IL1RAPL2	42.4742
IL1RAP	200.3391	IL1RAP	440.1871
IL1RL1	29.36	removed	removed
IL1RL2	8.1419	IL1RL2	89.4037
IL1RN	32.074	IL1RN	117.3238
IL20RA	38.4888	IL20RA	971.8571
IL20RB	5.6746	IL20RB	11.8809
IL20	19.4911	removed	removed
IL21R	80.6143	IL21R	11.7027
removed	removed	IL22RA1	33.2665
removed	removed	IL22RA2	148.2142
IL23A	7.155	IL23A	11.8809
IL23R	18.751	removed	removed
IL27RA	338.2573	IL27RA	676.0229
IL28RA	21.4649	IL28RA	307.4181
IL2RA	37.5019	IL2RA	5.0494
IL2RB	283.4848	IL2RB	236.4298
IL2RG	795.9286	IL2RG	229.8953
IL31RA	73.5235	removed	removed
IL32	856.3757	IL32	660.2807
IL33	378.2264	IL33	1256.9986
IL34	40.4626	IL34	549.7884
IL3RA	137.9182	IL3RA	130.3928
IL4I1	244.6777	IL4I1	95.7481
IL4R	1108.0332	IL4R	1072.8447
IL6R	328.3884	IL6R	253.063
IL6ST	16635.7954	IL6ST	6335.4867
IL6	55.1253	IL6	35.9397
IL7R	358.7353	IL7R	295.8343
IL7	21.7116	IL7	45.4444
IL8	58.4734	IL8	12.1779
IL9R	6.4148	removed	removed
ILDR1	89.5605	ILDR1	225.1429
ILF2	3012.2418	ILF2	3044.1821
ILF3	4610.5137	ILF3	5288.1859
ILKAP	244.5025	ILKAP	459.7906
ILK	2409.0039	ILK	1858.7659
ILVBL	450.5163	ILVBL	732.1601
IMMP1L	85.2626	IMMP1L	106.4023
IMMP2L	92.7679	IMMP2L	187.7181
IMMT	2063.8384	IMMT	1473.5279
IMP3	947.91	IMP3	879.4832
IMP4	501.8347	IMP4	475.2358
IMPA1	542.2973	IMPA1	402.7623
IMPA2	113.2459	IMPA2	214.1531
IMPACT	933.6	IMPACT	1712.6309
IMPAD1	3827.4148	IMPAD1	2818.7421
IMPDH1	1557.0692	IMPDH1	525.4325
IMPDH2	5348.9558	IMPDH2	6434.9892
removed	removed	IMPG1	11.5839
INADL	4733.6285	INADL	4142.2737
INCA1	10.1156	INCA1	15.4452
INCENP	408.8201	INCENP	324.6454
INE1	17.5173	INE1	32.6725
removed	removed	INE2	8.6998
INF2	1611.3483	INF2	825.1281
ING1	399.0227	ING1	302.4757
ING2	215.8827	ING2	180.5896
ING3	309.8842	ING3	459.7906
ING4	470.2541	ING4	920.4723
ING5	202.5596	ING5	652.5581
removed	removed	INHA	5.9404
INHBA	613.847	INHBA	21.3856
INHBB	454.4639	INHBB	1132.2492
INMT	91.2875	INMT	231.5616
INO80B	107.2258	INO80B	217.6728
INO80C	123.3615	INO80C	156.8278
INO80D	479.4125	INO80D	1222.7727
INO80E	390.9031	INO80E	552.1348
INO80	1020.4466	INO80	1657.0877
INPP1	198.6121	INPP1	336.5263
INPP4A	481.3567	INPP4A	598.5
INPP4B	344.6721	INPP4B	353.7536
INPP5A	404.6258	INPP5A	501.3737
INPP5B	496.1601	INPP5B	682.8544
INPP5D	842.0658	INPP5D	989.0844
INPP5E	190.9636	INPP5E	237.3209
INPP5F	463.0992	INPP5F	690.2799
INPP5J	776.1907	INPP5J	387.3171
INPP5K	960.7396	INPP5K	828.6924
INPPL1	3317.9316	INPPL1	1708.1755
INSIG1	1406.0747	INSIG1	934.4323
INSIG2	359.7222	INSIG2	591.3715
removed	removed	INSL3	6.5345
INSM1	10.6091	removed	removed
INSR	2817.0838	INSR	3024.8756
INTS10	1181.0633	INTS10	1360.6594
INTS12	440.6474	INTS12	549.4913
INTS1	1611.1016	INTS1	1897.0818
INTS2	447.3089	INTS2	483.5524
INTS3	1767.2772	INTS3	2213.4106
INTS4L1	70.0693	INTS4L1	61.7806
INTS4L2	12.8296	INTS4L2	11.2868
INTS4	645.921	INTS4	759.7832
INTS5	811.9656	INTS5	693.8442
INTS6	1020.1998	INTS6	1175.3174
INTS7	786.7998	INTS7	409.8908
INTS8	1034.0459	INTS8	926.6741
INTS9	503.8085	INTS9	358.506
INTU	109.7918	INTU	343.0608
INVS	205.767	INVS	317.5169
IP6K1	1226.4603	IP6K1	1515.111
IP6K2	1050.5468	IP6K2	1679.3644
IP6K3	11.8427	removed	removed
IPCEF1	50.3315	IPCEF1	165.7385
IPMK	101.6499	IPMK	146.135
IPO11	958.2723	IPO11	1009.1631
IPO13	748.311	IPO13	526.9177
IPO4	1391.7031	IPO4	1300.4886
IPO5	4611.2539	IPO5	4564.9365
IPO7	7127.0889	IPO7	5015.2224
IPO8	1852.3967	IPO8	1976.9808
IPO9	1563.2373	IPO9	1759.2634
IPPK	369.5418	IPPK	326.5493
IPP	292.6135	IPP	364.1494
IPW	318.1247	IPW	630.3854
IQCA1	23.4387	IQCA1	232.8655
IQCB1	409.3135	IQCB1	948.0953
IQCC	104.3639	IQCC	138.7094
IQCD	42.1896	IQCD	27.029
IQCE	877.5939	IQCE	645.7266
IQCG	317.0391	IQCG	531.67
IQCH	66.8743	IQCH	57.0283
IQCK	315.3121	IQCK	523.0564
IQGAP1	13140.7166	IQGAP1	12687.6067
IQGAP2	3054.4314	IQGAP2	4191.2824
IQGAP3	366.137	IQGAP3	74.2556
IQSEC1	1464.3013	IQSEC1	1630.3557
IQSEC2	658.2571	IQSEC2	332.368
IQSEC3	8.882	IQSEC3	14.2571
IQUB	21.4649	IQUB	38.0189
IRAK1BP1	21.1146	IRAK1BP1	68.226
IRAK1	2448.7263	IRAK1	1746.1944
IRAK2	241.2951	IRAK2	211.4799
IRAK3	4114.8471	IRAK3	599.3911
IRAK4	766.5685	IRAK4	602.3613
IREB2	2149.2045	IREB2	2033.415
IRF1	1117.5839	IRF1	1315.3338
IRF2BP1	400.4315	IRF2BP1	409.5938
IRF2BP2	3357.4073	IRF2BP2	8569.0948
IRF2	855.3888	IRF2	1095.4184
IRF3	563.8831	IRF3	733.9571
IRF4	51.5651	IRF4	48.4146
IRF5	200.0924	IRF5	148.2142
IRF6	585.4738	IRF6	1862.6272
IRF7	609.6527	IRF7	303.8539
IRF8	448.7892	IRF8	236.7268
IRF9	684.7527	IRF9	715.5268
IRGQ	719.6912	IRGQ	518.601
IRS1	491.4723	IRS1	3061.7064
IRS2	1335.7586	IRS2	1949.6547
removed	removed	IRS4	5.0494
IRX1	34.0478	IRX1	1156.9021
IRX2	64.6414	IRX2	1978.1689
IRX3	734.4945	IRX3	1576.0006
removed	removed	IRX4	93.265
IRX5	356.2681	IRX5	1008.0939
removed	removed	IRX6	30.2963
ISCA1P1	60.2004	ISCA1P1	69.5032
ISCA1	584.3784	ISCA1	798.3961
ISCA2	269.6683	ISCA2	264.3499
ISCU	1290.1149	ISCU	1378.4807
ISG15	338.9975	ISG15	183.5598
ISG20L2	750.5315	ISG20L2	736.9125
ISG20	218.1032	ISG20	163.3623
ISL1	9.1288	removed	removed
ISLR2	22.6985	ISLR2	40.395
ISLR	1480.0916	ISLR	851.2661
ISM1	124.3484	ISM1	1071.6566
ISOC1	221.0639	ISOC1	666.5182
ISOC2	521.0791	ISOC2	305.636
ISPD	105.3507	ISPD	139.3035
ISY1	599.537	ISY1	717.0238
ISYNA1	321.9736	ISYNA1	624.044
ITCH	2206.691	ITCH	2050.6423
ITFG1	982.9447	ITFG1	981.9559
ITFG2	369.0977	ITFG2	716.1209
ITFG3	1194.1643	ITFG3	1037.8199
ITGA10	98.4425	ITGA10	385.238
ITGA11	1050.0533	ITGA11	378.4065
ITGA1	1514.5786	ITGA1	983.9994
removed	removed	ITGA2B	5.6434
ITGA2	2703.5912	ITGA2	1889.3592
ITGA3	717.4706	ITGA3	1905.1014
ITGA4	749.9024	ITGA4	408.8899
ITGA5	5902.3557	ITGA5	855.7214
ITGA6	3779.5505	ITGA6	7919.804
ITGA7	140.6321	ITGA7	282.7653
removed	removed	ITGA8	28.5141
ITGA9	184.7956	ITGA9	365.0405
ITGAD	22.9452	ITGAD	6.2375
ITGAE	294.8341	ITGAE	239.103
ITGAL	364.41	ITGAL	309.7943
ITGAM	650.6087	ITGAM	319.8931
ITGAV	20987.4967	ITGAV	2852.3056
ITGAX	1502.5434	ITGAX	161.8772
ITGB1BP1	770.0227	ITGB1BP1	497.5124
ITGB1	22447.1103	ITGB1	11344.7687
ITGB2	2067.3147	ITGB2	1009.8908
ITGB3BP	262.0199	ITGB3BP	350.1894
ITGB3	12796.0347	ITGB3	131.5809
ITGB4	1925.9202	ITGB4	6416.2768
ITGB5	3905.626	ITGB5	2686.5672
ITGB6	135.2042	ITGB6	2299.25
ITGB7	120.8943	ITGB7	90.8888
ITGB8	200.0924	ITGB8	3570.5057
ITGBL1	1394.4787	ITGBL1	447.9097
removed	removed	ITIH2	51.3849
removed	removed	ITIH3	9.2077
ITIH4	66.8619	ITIH4	60.2955
ITIH5L	105.3507	ITIH5L	30.5933
ITIH5	249.9305	ITIH5	1077.5971
ITK	135.2042	ITK	98.0174
ITM2A	525.0267	ITM2A	1407.5889
ITM2B	12041.5654	ITM2B	14961.3128
ITM2C	701.4336	ITM2C	1143.239
ITPA	598.7969	ITPA	504.641
ITPK1	1146.522	ITPK1	767.5058
ITPKA	24.4256	ITPKA	8.6136
ITPKB	840.5854	ITPKB	1248.3849
ITPKC	526.507	ITPKC	1096.9035
ITPR1	2249.1274	ITPR1	3640.603
ITPR2	2975.9735	ITPR2	7267.8399
ITPR3	2369.4641	ITPR3	1883.0474
ITPRIPL1	24.4256	ITPRIPL1	221.2817
ITPRIPL2	2452.9206	ITPRIPL2	866.1172
ITPRIP	576.3451	ITPRIP	764.5355
ITSN1	1162.3123	ITSN1	793.0497
ITSN2	1587.9096	ITSN2	1746.4914
IVD	1900.7544	IVD	1871.5378
IVNS1ABP	2505.9661	IVNS1ABP	3702.6806
IWS1	1026.3679	IWS1	1106.1112
JAG1	1889.4052	JAG1	1566.7929
JAG2	284.9651	JAG2	961.4613
JAGN1	572.6442	JAGN1	714.6358
JAK1	4962.8343	JAK1	5312.5418
JAK2	1204.9954	JAK2	752.0606
JAK3	296.8078	JAK3	157.7189
JAKMIP1	9.1288	removed	removed
JAKMIP2	6.4148	JAKMIP2	7.1285
JAKMIP3	17.7641	JAKMIP3	54.9491
JAM2	170.9791	JAM2	410.1879
JAM3	575.3582	JAM3	1039.8753
JARID2	661.4645	JARID2	785.9211
JAZF1	327.1548	JAZF1	369.4958
JDP2	3263.4059	JDP2	316.6258
JHDM1D	1379.4286	JHDM1D	1443.8256
JKAMP	1194.3863	JKAMP	1039.2812
JMJD1C	1982.8318	JMJD1C	5394.1724
JMJD4	336.5278	JMJD4	593.314
JMJD5	103.377	JMJD5	127.4226
JMJD6	344.1787	JMJD6	488.6018
JMJD7-PLA2G4B	240.0615	JMJD7-PLA2G4B	625.232
JMJD8	1019.1463	JMJD8	1052.668
JMY	563.022	JMY	1622.0391
JOSD1	1484.7793	JOSD1	1697.7798
JOSD2	152.9683	JOSD2	83.7603
JPH1	47.6175	JPH1	105.74
JPH2	12.5829	JPH2	249.4988
JPH4	18.2575	JPH4	21.6826
JRKL	199.8457	JRKL	661.7658
JRK	256.8387	JRK	693.5472
JTB	2501.5251	JTB	1473.2309
JUB	205.767	JUB	710.4775
JUNB	1791.9496	JUNB	1255.5135
JUND	1125.7973	JUND	2549.3428
JUN	1840.0605	JUN	12345.734
JUP	3152.8739	JUP	5725.6999
KAL1	865.7512	KAL1	431.8705
KALRN	196.3916	KALRN	580.3817
KANK1	1353.276	KANK1	2751.318
KANK2	1163.2992	KANK2	1046.4097
KANK3	90.3006	KANK3	172.867
KANK4	43.9167	KANK4	395.9308
KARS	2347.3231	KARS	3359.6198
KAT2A	681.2024	KAT2A	1361.2534
KAT2B	1461.5874	KAT2B	837.9001
KAT5	701.858	KAT5	1108.1132
KATNA1	187.0161	KATNA1	354.3477
KATNAL1	358.4886	KATNAL1	479.9881
KATNAL2	52.552	KATNAL2	54.3551
KATNB1	244.2558	KATNB1	387.0201
KAZALD1	146.3438	KAZALD1	75.3783
KAZ	437.2845	KAZ	952.1586
KBTBD10	17.9096	KBTBD10	40.8198
KBTBD11	315.3121	KBTBD11	307.1211
removed	removed	KBTBD12	35.9397
KBTBD2	1435.4347	KBTBD2	1512.7348
KBTBD3	102.6368	KBTBD3	198.7822
KBTBD4	521.1704	KBTBD4	437.5555
KBTBD6	384.3945	KBTBD6	1100.7648
KBTBD7	228.4655	KBTBD7	383.7529
KBTBD8	252.8911	KBTBD8	26.732
KCMF1	895.6047	KCMF1	1251.6522
KCNA1	34.2945	KCNA1	31.7814
KCNA3	39.9691	KCNA3	49.0087
removed	removed	KCNA5	6.5345
KCNA6	18.2575	KCNA6	21.3856
KCNAB1	168.2651	KCNAB1	231.3804
KCNAB2	620.5085	KCNAB2	122.6702
KCNAB3	9.3755	KCNAB3	16.9303
removed	removed	KCNB1	51.6819
removed	removed	KCNC1	10.9898
KCNC2	15.5436	KCNC2	78.7109
KCNC3	61.6808	KCNC3	160.095
KCNC4	55.0192	KCNC4	493.0571
KCND1	41.4495	KCND1	51.9789
KCND2	82.4055	KCND2	14.8511
KCND3	225.7516	KCND3	72.1764
KCNE1	5.4279	KCNE1	237.6179
KCNE2	6.9082	KCNE2	6.2375
KCNE3	152.9683	KCNE3	62.3747
KCNE4	1433.9544	KCNE4	105.4429
removed	removed	KCNF1	32.3754
KCNG1	23.192	KCNG1	27.9201
KCNH1	10.6091	KCNH1	9.5047
removed	removed	KCNH2	21.9797
removed	removed	KCNH3	52.573
removed	removed	KCNH8	141.6797
removed	removed	KCNIP1	19.6035
KCNIP2	40.2159	KCNIP2	59.4045
KCNIP3	26.8928	KCNIP3	76.9288
KCNIP4	8.882	KCNIP4	46.3355
KCNJ10	35.7748	removed	removed
KCNJ11	532.4284	KCNJ11	213.262
KCNJ12	26.1526	KCNJ12	29.7022
KCNJ14	20.6211	KCNJ14	53.464
KCNJ15	51.3184	KCNJ15	40.395
KCNJ16	5.4279	KCNJ16	113.1655
KCNJ2	198.3653	KCNJ2	295.8343
KCNJ3	39.4757	KCNJ3	12.772
KCNJ5	91.5343	KCNJ5	38.0189
KCNJ8	454.9573	KCNJ8	238.2119
removed	removed	KCNK10	5.0494
KCNK13	31.0871	KCNK13	33.5635
KCNK15	19.7378	KCNK15	5.6434
KCNK1	30.5937	KCNK1	170.4908
KCNK2	53.0455	KCNK2	458.8995
removed	removed	KCNK3	86.7305
KCNK5	81.9121	KCNK5	306.5271
KCNK6	767.062	KCNK6	276.8248
KCNMA1	1873.1214	KCNMA1	1063.637
KCNMB1	29.6068	KCNMB1	359.9911
removed	removed	KCNMB2	8.6136
KCNMB3	47.6175	KCNMB3	97.7204
KCNMB4	35.5281	KCNMB4	35.0486
KCNN1	12.0894	KCNN1	5.3464
KCNN2	15.2968	KCNN2	26.138
KCNN3	56.4996	KCNN3	22.2767
KCNN4	362.6829	KCNN4	2017.9699
KCNQ1OT1	96.222	KCNQ1OT1	163.3623
KCNQ1	469.2673	KCNQ1	314.2496
KCNQ3	6.4148	KCNQ3	15.4452
removed	removed	KCNQ4	64.7509
KCNQ5	103.377	KCNQ5	42.1772
KCNRG	11.3591	KCNRG	10.3096
KCNS1	6.9082	KCNS1	130.0958
KCNS3	204.5334	KCNS3	497.8095
KCNT2	20.2313	KCNT2	12.4749
KCNU1	6.1681	KCNU1	16.9303
KCP	8.1641	removed	removed
KCTD10	1392.7516	KCTD10	1780.0549
KCTD11	399.4446	KCTD11	327.0216
KCTD12	3366.7828	KCTD12	4740.4767
KCTD13	148.774	KCTD13	214.1531
KCTD14	183.8087	KCTD14	950.1745
KCTD15	346.1524	KCTD15	394.7427
removed	removed	KCTD16	9.2077
KCTD17	179.8611	KCTD17	64.7509
KCTD18	275.5897	KCTD18	578.3025
KCTD1	292.8603	KCTD1	1075.5179
KCTD20	2344.6092	KCTD20	1766.986
KCTD21	462.359	KCTD21	207.9156
KCTD2	796.422	KCTD2	1083.5375
KCTD3	3879.2266	KCTD3	3559.8129
KCTD4	13.8165	KCTD4	8.6136
KCTD5	696.7459	KCTD5	505.235
KCTD6	160.6167	KCTD6	173.7581
KCTD7	352.0886	KCTD7	562.8336
KCTD9	749.7914	KCTD9	2103.5123
KDELC1	175.4201	KDELC1	93.562
KDELC2	710.5624	KDELC2	627.6082
KDELR1	3505.1944	KDELR1	2363.4068
KDELR2	5931.2222	KDELR2	3127.3483
KDELR3	686.3835	KDELR3	190.0943
KDM1A	2209.6517	KDM1A	1785.1043
KDM1B	1109.5136	KDM1B	835.8209
KDM2A	2899.7361	KDM2A	4422.9598
KDM2B	649.6341	KDM2B	822.048
KDM3A	1025.381	KDM3A	2567.7582
KDM3B	2503.0054	KDM3B	4053.464
KDM4A	1468.2489	KDM4A	1385.9063
KDM4B	4020.3522	KDM4B	2095.7897
KDM4C	747.3241	KDM4C	1098.6857
KDM4D	19.7378	KDM4D	54.3551
KDM5A	2027.0766	KDM5A	3068.2409
KDM5B	1765.7969	KDM5B	2718.9426
KDM5C	2879.5048	KDM5C	2888.2453
KDM6A	1182.2969	KDM6A	1717.6803
KDM6B	782.3588	KDM6B	1035.4199
KDR	1471.2096	KDR	1138.4867
KDSR	1394.4787	KDSR	2239.5485
KEAP1	1146.522	KEAP1	1087.6958
KEL	22.2051	KEL	8.6136
removed	removed	KERA	9.5047
removed	removed	KGFLP1	9.5047
KGFLP2	77.0911	KGFLP2	145.2142
removed	removed	KHDC1	11.8809
KHDRBS1	4264.1146	KHDRBS1	5017.0045
KHDRBS3	125.582	KHDRBS3	248.9047
KHK	66.4326	KHK	121.693
KHNYN	1948.9567	KHNYN	2294.1858
KHSRP	1908.6496	KHSRP	1984.4063
KIAA0020	883.0218	KIAA0020	1257.5926
KIAA0040	8390.0642	KIAA0040	1303.3341
KIAA0090	1524.7485	KIAA0090	1127.1998
KIAA0100	5473.171	KIAA0100	4524.9127
KIAA0101	304.4563	KIAA0101	66.236
KIAA0114	1039.1975	KIAA0114	766.0206
KIAA0125	10.6091	KIAA0125	8.6136
KIAA0141	937.5476	KIAA0141	1365.1147
KIAA0146	741.4028	KIAA0146	967.4018
KIAA0174	1934.3088	KIAA0174	2692.5076
KIAA0182	1349.8218	KIAA0182	2123.7098
KIAA0195	939.4424	KIAA0195	1457.9283
KIAA0196	1873.6149	KIAA0196	1505.3093
KIAA0226	669.3596	KIAA0226	554.5407
KIAA0232	1182.2969	KIAA0232	1663.0281
KIAA0240	926.9385	KIAA0240	1923.8138
KIAA0247	3990.9921	KIAA0247	2395.7823
KIAA0284	832.937	KIAA0284	1172.3472
KIAA0317	1264.7024	KIAA0317	951.0656
KIAA0319L	2636.7342	KIAA0319L	2205.0939
KIAA0355	856.8692	KIAA0355	1154.8229
KIAA0368	2885.1794	KIAA0368	4233.1625
KIAA0391	860.3406	KIAA0391	570.7463
KIAA0406	728.3265	KIAA0406	703.943
KIAA0408	26.3722	KIAA0408	24.5786
KIAA0415	434.726	KIAA0415	421.4747
KIAA0427	343.1918	KIAA0427	813.5442
KIAA0430	2891.1008	KIAA0430	3555.6546
KIAA0467	884.3689	KIAA0467	1506.6845
KIAA0494	4726.3551	KIAA0494	4847.5652
KIAA0495	391.056	KIAA0495	810.574
KIAA0513	275.0962	KIAA0513	162.4712
KIAA0528	1826.7375	KIAA0528	1522.5366
KIAA0556	703.6542	KIAA0556	761.5653
KIAA0562	981.4643	KIAA0562	951.9566
KIAA0564	1689.3128	KIAA0564	1459.8649
KIAA0586	557.3474	KIAA0586	558.699
KIAA0649	612.1199	KIAA0649	828.3953
KIAA0652	1513.3992	KIAA0652	1482.4386
KIAA0664P3	57.4865	KIAA0664P3	136.9273
KIAA0664	2286.876	KIAA0664	2018.2669
KIAA0748	46.1372	KIAA0748	10.6928
KIAA0753	510.9634	KIAA0753	704.24
KIAA0754	152.9683	KIAA0754	295.2402
KIAA0776	1095.2036	KIAA0776	1605.1088
KIAA0802	116.2066	KIAA0802	73.6615
KIAA0831	559.0744	KIAA0831	1115.616
KIAA0892	1083.3609	KIAA0892	1599.1683
KIAA0895L	127.583	KIAA0895L	240.3713
KIAA0895	174.1865	KIAA0895	256.0333
KIAA0907	965.1806	KIAA0907	1485.7058
KIAA0913	1397.1927	KIAA0913	1769.6592
KIAA0922	555.1269	KIAA0922	730.378
KIAA0947	1673.029	KIAA0947	2058.6619
KIAA1009	222.2975	KIAA1009	380.1886
KIAA1012	1310.0994	KIAA1012	1769.6592
KIAA1024	46.6307	KIAA1024	43.3653
KIAA1033	2137.3618	KIAA1033	1887.28
removed	removed	KIAA1045	19.9005
KIAA1107	172.2127	KIAA1107	303.8539
KIAA1109	3140.0443	KIAA1109	5066.9043
KIAA1143	1032.2893	KIAA1143	1245.4147
KIAA1147	1996.7297	KIAA1147	2439.7416
KIAA1161	105.8442	KIAA1161	199.896
KIAA1191	2273.553	KIAA1191	2506.5716
KIAA1199	160.6167	KIAA1199	47.8206
removed	removed	KIAA1210	32.0784
KIAA1211	73.5235	KIAA1211	27.029
KIAA1217	2431.4557	KIAA1217	6227.1271
removed	removed	KIAA1239	9.2077
KIAA1244	1471.9497	KIAA1244	860.4738
removed	removed	KIAA1257	8.0196
KIAA1267	1179.3362	KIAA1267	2674.0922
KIAA1274	301.0021	KIAA1274	497.5124
KIAA1279	974.8028	KIAA1279	679.2901
KIAA1310	1857.8246	KIAA1310	2111.8289
KIAA1324L	428.8047	KIAA1324L	341.8727
KIAA1324	4855.263	KIAA1324	12126.8285
KIAA1328	216.1294	KIAA1328	269.1022
KIAA1370	6064.206	KIAA1370	3091.7057
KIAA1377	2109.2354	KIAA1377	954.9269
KIAA1383	69.0825	KIAA1383	96.5323
KIAA1407	215.3892	KIAA1407	342.4668
KIAA1409	5.9214	KIAA1409	5.6434
KIAA1429	4449.897	KIAA1429	2691.0225
KIAA1430	2192.6278	KIAA1430	2311.725
KIAA1432	975.39	KIAA1432	943.4915
KIAA1462	1615.5426	KIAA1462	817.1085
KIAA1467	219.3368	KIAA1467	548.0062
KIAA1468	762.621	KIAA1468	1440.2614
KIAA1486	275.0962	removed	removed
KIAA1522	4434.3535	KIAA1522	5194.3269
KIAA1524	201.4691	KIAA1524	126.5315
KIAA1529	30.8404	KIAA1529	194.5496
KIAA1530	183.562	KIAA1530	272.0725
KIAA1539	1177.1157	KIAA1539	249.7958
KIAA1543	410.3004	KIAA1543	613.0541
KIAA1549	514.1708	KIAA1549	547.1152
KIAA1586	175.4201	KIAA1586	213.5591
KIAA1598	4310.0051	KIAA1598	1436.4001
KIAA1609	192.1973	KIAA1609	555.4318
KIAA1614	52.8604	KIAA1614	55.662
KIAA1632	941.4952	KIAA1632	1493.7254
KIAA1644	54.2791	KIAA1644	13.366
KIAA1671	2013.5069	KIAA1671	7203.3861
KIAA1683	71.7964	KIAA1683	341.5757
KIAA1704	463.3952	KIAA1704	640.8881
KIAA1712	370.694	KIAA1712	589.3755
KIAA1715	819.614	KIAA1715	889.5819
KIAA1731	617.0544	KIAA1731	1002.7475
KIAA1737	1400.4001	KIAA1737	1677.8793
KIAA1755	119.414	KIAA1755	254.5482
KIAA1797	1183.5305	KIAA1797	608.8958
KIAA1804	45.6438	KIAA1804	410.1879
KIAA1826	457.1778	KIAA1826	438.702
KIAA1841	208.9744	KIAA1841	181.4807
KIAA1875	27.633	KIAA1875	49.8998
KIAA1908	89.067	KIAA1908	148.8082
KIAA1919	100.663	KIAA1919	114.0566
KIAA1949	2564.6862	KIAA1949	847.9988
KIAA1958	46.6307	KIAA1958	86.1365
KIAA1967	1967.1229	KIAA1967	2344.6944
KIAA1984	13.6463	KIAA1984	29.4052
KIAA2013	1222.266	KIAA2013	1013.4403
KIAA2018	1219.3053	KIAA2018	1306.6013
KIAA2022	12.5829	KIAA2022	96.2352
KIAA2026	996.2677	KIAA2026	1489.5671
KIDINS220	7810.0183	KIDINS220	3411.0047
KIF11	803.577	KIF11	269.6963
KIF12	184.5488	KIF12	213.8561
KIF13A	2019.4282	KIF13A	1926.784
KIF13B	3765.4749	KIF13B	3173.6838
KIF14	225.2581	KIF14	31.1873
KIF15	213.6622	KIF15	62.3747
KIF16B	2132.9208	KIF16B	1166.7038
KIF17	12.3362	KIF17	37.1278
KIF18A	167.7717	KIF18A	59.7015
KIF18B	115.7131	KIF18B	23.1677
KIF19	6.6615	KIF19	12.1779
KIF1B	2489.6824	KIF1B	2800.6237
KIF1C	2925.1485	KIF1C	2102.0272
KIF20A	404.8725	KIF20A	55.8402
KIF20B	571.1639	KIF20B	441.0782
KIF21A	483.8239	KIF21A	429.7913
KIF21B	232.1664	KIF21B	221.8757
KIF22	722.1584	KIF22	837.009
KIF23	426.3374	KIF23	130.0958
KIF24	233.1533	KIF24	97.7204
KIF26A	72.5366	KIF26A	128.9077
KIF26B	435.7129	KIF26B	104.8489
KIF27	139.3985	KIF27	215.6382
KIF2A	723.8854	KIF2A	737.5065
KIF2C	322.2203	KIF2C	71.2854
KIF3A	567.9565	KIF3A	550.6794
KIF3B	2146.4906	KIF3B	1759.5604
KIF3C	583.0066	KIF3C	289.2998
KIF4A	386.1216	KIF4A	64.7509
KIF4B	6.4148	removed	removed
removed	removed	KIF5A	29.7022
KIF5B	6806.8424	KIF5B	5489.8641
KIF5C	726.3527	KIF5C	338.3085
removed	removed	KIF6	7.1285
KIF7	61.8954	KIF7	218.1302
KIF9	168.3934	KIF9	109.53
KIFAP3	782.6055	KIFAP3	985.2231
KIFC1	307.1702	KIFC1	79.602
KIFC2	190.0236	KIFC2	283.1009
KIFC3	788.7736	KIFC3	403.0593
KILLIN	29.6068	KILLIN	37.1278
KIN	246.4763	KIN	307.4181
KIRREL2	358.2419	removed	removed
removed	removed	KIRREL3	7.1285
KIRREL	285.4586	KIRREL	372.169
KISS1R	5.4279	removed	removed
KITLG	2033.4914	KITLG	980.1738
KIT	418.9357	KIT	22084.5029
KLB	9.8689	KLB	22.2767
KLC1	1649.7729	KLC1	1687.8176
KLC2	415.7283	KLC2	367.1196
KLC3	14.0632	KLC3	143.1648
KLC4	413.0563	KLC4	564.99
KLF10	1777.8863	KLF10	2347.9617
KLF11	521.5725	KLF11	1390.6586
KLF12	321.7269	KLF12	653.1521
KLF13	1043.1451	KLF13	1710.8487
KLF15	77.2243	KLF15	139.0065
KLF16	391.056	KLF16	209.1037
KLF17	5.6746	removed	removed
KLF2	293.3537	KLF2	629.6874
KLF3	1568.8897	KLF3	2124.2207
KLF4	956.2986	KLF4	1188.6834
KLF5	219.0901	KLF5	3091.7057
KLF6	2616.7447	KLF6	9815.6976
KLF7	118.6738	KLF7	239.4
KLF8	129.0362	KLF8	388.8023
KLF9	1373.2605	KLF9	2490.2354
KLHDC10	1024.6408	KLHDC10	1237.9892
KLHDC1	87.0932	KLHDC1	174.3521
KLHDC2	1019.7064	KLHDC2	1294.1264
KLHDC3	1294.3091	KLHDC3	1464.0232
KLHDC4	195.4096	KLHDC4	285.7919
KLHDC5	925.9516	KLHDC5	1023.539
KLHDC7A	168.7586	KLHDC7A	190.0943
KLHDC7B	22.2051	KLHDC7B	45.4444
KLHDC8A	11.8427	KLHDC8A	10.0988
KLHDC8B	298.2882	KLHDC8B	373.9511
KLHDC9	81.4186	KLHDC9	68.0181
KLHL11	102.1433	KLHL11	86.1365
KLHL12	982.2045	KLHL12	1017.3016
KLHL13	97.4556	KLHL13	968.8869
KLHL14	10.8558	KLHL14	29.9993
KLHL15	413.7546	KLHL15	388.2082
KLHL17	78.7047	KLHL17	106.334
KLHL18	581.5262	KLHL18	406.9206
KLHL20	435.4662	KLHL20	478.503
KLHL21	2017.4544	KLHL21	2366.6741
