gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ADRA1B	9.4091	ADRA1B	24.3493
removed	removed	ADRA1D	5.4576
ADRA2A	149.793	ADRA2A	1120.9068
ADRA2B	10.9146	ADRA2B	76.8262
ADRA2C	281.5205	ADRA2C	121.3266
ADRB1	16.9364	ADRB1	81.4442
ADRB2	25.9691	ADRB2	373.6356
ADRBK1	2063.9819	ADRBK1	1219.9832
ADRBK2	720.7377	ADRBK2	1309.4039
ADRM1	1282.6496	ADRM1	1582.2838
ADSL	512.2318	ADSL	1073.0479
ADSSL1	435.0772	ADSSL1	181.3602
ADSS	1190.064	ADSS	869.0176
AEBP1	11996.9891	AEBP1	10612.9303
AEBP2	283.7787	AEBP2	478.1696
AEN	710.5758	AEN	458.4383
AES	7485.8863	AES	9913.5181
AFAP1L1	158.8257	AFAP1L1	569.6893
AFAP1L2	167.1058	AFAP1L2	1498.3207
AFAP1	1308.5962	AFAP1	1025.6087
AFARP1	9.7855	removed	removed
AFF1	1591.2683	AFF1	1245.5919
AFF2	8.28	AFF2	14.2737
AFF3	7435.8299	AFF3	1165.4072
AFF4	3540.4592	AFF4	1418.5558
AFG3L1	88.0693	AFG3L1	267.8421
AFG3L2	813.1088	AFG3L2	1415.0882
AFMID	465.1863	AFMID	812.7624
removed	removed	AFP	627.204
AFTPH	1900.2635	AFTPH	1119.6474
AG2	68.1219	AG2	170.0252
AGAP11	22.9582	AGAP11	136.44
AGAP1	439.2172	AGAP1	236.356
AGAP2	68.4381	AGAP2	72.204
AGAP3	1181.0312	AGAP3	1644.8363
AGAP4	94.8438	AGAP4	238.4551
AGAP5	18.4419	AGAP5	32.8547
AGAP6	54.5728	AGAP6	129.3031
AGAP7	5.6455	AGAP7	5.8774
AGAP8	15.8073	AGAP8	32.3258
AGA	507.3391	AGA	447.5231
AGBL2	41.7764	AGBL2	12.1746
removed	removed	AGBL4	11.335
AGBL5	860.7678	AGBL5	1003.0101
AGER	10.5382	AGER	50.7976
AGFG1	776.4396	AGFG1	1159.9496
AGFG2	403.8389	AGFG2	623.0059
AGGF1	932.6308	AGGF1	648.1948
AGK	438.8408	AGK	550.7976
AGL	520.1355	AGL	448.3627
AGMAT	61.7237	AGMAT	6.2972
AGPAT1	3231.3323	AGPAT1	2022.4643
AGPAT2	1258.5623	AGPAT2	5976.9102
AGPAT3	2276.2514	AGPAT3	2006.2972
AGPAT4	66.2401	AGPAT4	341.3098
AGPAT5	289.0478	AGPAT5	296.3896
AGPAT6	3410.9898	AGPAT6	1910.5793
AGPAT9	227.7004	AGPAT9	147.3552
AGPHD1	48.9274	AGPHD1	78.5055
AGPS	2710.9522	AGPS	860.2015
AGR2	21268.3478	AGR2	7201.9312
AGR3	5027.851	AGR3	699.4123
AGRN	5933.3835	AGRN	4846.3476
AGTPBP1	97.4784	AGTPBP1	283.3753
AGTR1	4810.3124	AGTR1	380.7725
AGTRAP	1372.2243	AGTRAP	870.6969
AGT	229.9586	AGT	112.5105
AGXT2L2	302.4388	AGXT2L2	745.5919
removed	removed	AGXT	10.4954
AHCTF1	1004.14	AHCTF1	780.4366
AHCYL1	7334.5879	AHCYL1	3764.4836
AHCYL2	1414.3771	AHCYL2	388.3291
AHCY	4261.9496	AHCY	3177.5819
AHDC1	411.7426	AHDC1	1085.2225
AHI1	293.1878	AHI1	255.2477
AHNAK2	597.2902	AHNAK2	1269.9412
AHNAK	41803.9142	AHNAK	69813.1822
AHRR	23.3346	AHRR	5.0378
AHR	2639.8193	AHR	882.8715
AHSA1	1841.5506	AHSA1	1945.8438
AHSA2	197.9676	AHSA2	520.1511
AIDA	822.3824	AIDA	1532.1369
AIF1L	1458.0354	AIF1L	2384.9706
AIF1	348.137	AIF1	669.6054
AIFM1	1081.6711	AIFM1	831.6541
AIFM2	201.7313	AIFM2	2023.5097
removed	removed	AIFM3	18.4719
AIG1	549.8683	AIG1	1471.8724
AIM1L	67.3692	AIM1L	13.4341
AIM1	1390.6662	AIM1	2030.6465
AIM2	18.4419	AIM2	8.3963
AIMP1	1040.4479	AIMP1	987.4055
AIMP2	322.4802	AIMP2	374.9874
AIP	1237.1095	AIP	1308.1444
removed	removed	AJAP1	20.5709
AK1	1125.7057	AK1	1161.6289
AK2	2474.5954	AK2	2523.9295
AK3L1	212.6458	AK3L1	360.6213
AK3	624.3884	AK3	1739.7145
AK5	44.0346	AK5	2130.5626
AK7	5.6455	AK7	31.4861
AKAP10	477.9827	AKAP10	300.5877
AKAP11	706.4358	AKAP11	604.1142
AKAP12	407.2262	AKAP12	2552.8967
AKAP13	1746.7068	AKAP13	2232.9975
AKAP1	1368.0843	AKAP1	3323.6776
AKAP2	765.7245	AKAP2	2164.492
removed	removed	AKAP3	42.4013
AKAP5	449.0026	AKAP5	47.0193
AKAP6	82.8002	AKAP6	146.0957
AKAP7	37.6364	AKAP7	265.3233
AKAP8L	839.2924	AKAP8L	938.707
AKAP8	506.5864	AKAP8	575.9866
AKAP9	10951.0726	AKAP9	1025.1889
AKD1	73.391	AKD1	101.5953
AKIRIN1	940.9108	AKIRIN1	1187.2376
AKIRIN2	383.5152	AKIRIN2	1075.9866
removed	removed	AKNAD1	6.3182
AKNA	357.1697	AKNA	861.8808
AKR1A1	4155.8148	AKR1A1	2092.3594
removed	removed	AKR1B10	958.0185
removed	removed	AKR1B15	20.1511
AKR1B1	532.5555	AKR1B1	1149.4542
AKR1C1	102.3711	AKR1C1	5787.9933
AKR1C2	99.3602	AKR1C2	3713.686
AKR1C3	694.3922	AKR1C3	3970.1931
removed	removed	AKR1E2	27.288
AKR7A2	1992.0963	AKR7A2	1788.4131
AKR7A3	4579.9774	AKR7A3	312.7624
AKR7L	138.8784	AKR7L	27.288
AKT1S1	1235.6041	AKT1S1	1249.7901
AKT1	5360.9334	AKT1	4144.4165
AKT2	5851.3361	AKT2	3346.7674
AKT3	208.1295	AKT3	740.974
AKTIP	415.51	AKTIP	657.8925
ALAD	966.5036	ALAD	2174.6432
ALAS1	761.0087	ALAS1	874.0554
removed	removed	ALAS2	6.717
ALB	6.0218	ALB	7698.9924
ALCAM	10925.8562	ALCAM	1965.5751
