gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
IL1RL1	6.3982	IL1RL1	5.8774
removed	removed	IL1RL2	30.6465
IL1RN	165.2239	IL1RN	131.822
IL20RA	666.5412	IL20RA	1039.0428
IL20RB	6.7746	IL20RB	31.4861
IL21R	28.5058	IL21R	20.2477
IL22RA1	11.6673	IL22RA1	78.5055
removed	removed	IL22RA2	13.0143
IL23A	5.6455	removed	removed
IL27RA	252.9168	IL27RA	455.9194
IL28RA	148.2875	IL28RA	303.9463
IL2RA	7.9037	IL2RA	6.717
IL2RB	130.2221	IL2RB	348.4467
IL2RG	456.9063	IL2RG	405.1217
IL32	608.2047	IL32	845.9278
IL33	112.5329	IL33	1136.8598
IL34	56.0783	IL34	617.9681
IL3RA	85.0583	IL3RA	314.4416
IL4I1	123.5679	IL4I1	36.1041
IL4R	1057.2074	IL4R	2349.7061
IL6R	49.6801	IL6R	222.9219
IL6ST	13231.8404	IL6ST	702.351
removed	removed	IL6	34.8447
IL7R	18.0655	IL7R	41.5617
IL7	8.6564	IL7	21.4106
IL8	5.6455	IL8	134.3409
IL9R	10.5382	removed	removed
ILDR1	578.472	ILDR1	155.7515
ILF2	3966.8799	ILF2	3445.424
ILF3	4471.9609	ILF3	4931.1503
ILKAP	235.2277	ILKAP	490.3442
ILK	3268.3478	ILK	4264.9034
ILVBL	1096.3493	ILVBL	1385.8102
IMMP1L	66.6391	IMMP1L	76.3308
IMMP2L	76.0256	IMMP2L	187.2376
IMMT	1858.8634	IMMT	2170.0252
IMP3	1963.4927	IMP3	1321.5785
IMP4	1101.6184	IMP4	593.6188
IMPA1	234.475	IMPA1	125.9446
IMPA2	196.0858	IMPA2	612.9303
IMPACT	615.732	IMPACT	892.1075
IMPAD1	3130.5984	IMPAD1	2086.9018
IMPDH1	4647.3466	IMPDH1	1089.4207
IMPDH2	2500.1882	IMPDH2	5394.6264
removed	removed	IMPG1	5.4576
INADL	1943.9217	INADL	979.4291
INCA1	25.2164	INCA1	26.4484
INCENP	438.0881	INCENP	153.6524
INE1	8.6564	INE1	17.6322
INE2	12.2808	INE2	65.529
INF2	2020.3237	INF2	2560.0336
ING1	216.7595	ING1	363.1528
ING2	284.1551	ING2	342.5693
ING3	267.595	ING3	231.3182
ING4	387.6553	ING4	976.9102
ING5	136.6202	ING5	529.8069
INHA	11.2909	INHA	9.6558
INHBA	166.353	INHBA	25.1889
INHBB	1502.8227	INHBB	2708.6482
INHBE	6.0218	removed	removed
INMT	27.851	INMT	700.9908
INO80B	393.7034	INO80B	254.0596
INO80C	120.8129	INO80C	241.8136
INO80D	439.6274	INO80D	486.3854
INO80E	802.6872	INO80E	775.2939
INO80	766.6541	INO80	850.5458
INPP1	79.4129	INPP1	677.5819
INPP4A	234.8513	INPP4A	310.6633
INPP4B	794.8814	INPP4B	304.7859
INPP5A	324.8024	INPP5A	509.6558
INPP5B	436.2062	INPP5B	651.5533
INPP5D	400.828	INPP5D	845.0882
INPP5E	143.3948	INPP5E	240.1343
INPP5F	460.2936	INPP5F	484.4668
INPP5J	539.3301	INPP5J	658.2704
INPP5K	1439.2172	INPP5K	1527.7078
INPPL1	1684.9831	INPPL1	1481.9479
removed	removed	INS-IGF2	8.3417
INSIG1	1844.1852	INSIG1	1159.9496
INSIG2	1047.0455	INSIG2	576.4064
removed	removed	INSRR	10.0756
INSR	2406.8498	INSR	2023.5097
INTS10	748.5886	INTS10	1049.958
INTS12	615.3557	INTS12	539.8825
INTS1	1905.1562	INTS1	1795.55
INTS2	453.1426	INTS2	188.4971
INTS3	1722.9959	INTS3	1988.2452
INTS4L1	54.9492	INTS4L1	18.8917
INTS4L2	16.56	INTS4L2	22.2502
INTS4	747.1584	INTS4	641.4777
INTS5	1270.2296	INTS5	686.398
INTS6	469.3263	INTS6	471.8724
INTS7	765.9014	INTS7	272.4601
INTS8	587.6101	INTS8	574.7019
INTS9	473.09	INTS9	442.9051
INTU	77.9074	INTU	143.9966
INVS	90.7038	INVS	155.7515
IP6K1	1167.1058	IP6K1	1693.9547
IP6K2	671.4339	IP6K2	2116.7086
IPCEF1	24.84	IPCEF1	41.5617
IPMK	39.8946	removed	removed
IPO11	768.5359	IPO11	518.6734
IPO13	920.5871	IPO13	697.733
IPO4	1774.9417	IPO4	901.5995
IPO5	2254.0459	IPO5	3799.7481
IPO7	4705.3067	IPO7	2371.1167
IPO8	1460.6699	IPO8	1311.9228
IPO9	1766.6541	IPO9	1643.157
IPPK	552.9996	IPPK	320.1175
IPP	332.7061	IPP	137.2796
IPW	170.5683	IPW	359.3997
IQCA1	404.2153	IQCA1	183.4593
IQCB1	192.6985	IQCB1	379.0932
IQCC	182.1603	IQCC	129.3031
IQCD	173.1276	IQCD	35.2645
IQCE	1025.2164	IQCE	867.3384
IQCG	239.3677	IQCG	200.6717
IQCH	85.8111	IQCH	41.1419
IQCK	694.0158	IQCK	528.1276
IQGAP1	9915.6944	IQGAP1	5433.2494
IQGAP2	1190.064	IQGAP2	869.4374
IQGAP3	324.8024	IQGAP3	19.3115
IQSEC1	1550.9974	IQSEC1	2440.3862
IQSEC2	615.3557	IQSEC2	429.0512
removed	removed	IQSEC3	42.4013
IQUB	15.8073	IQUB	13.8539
IRAK1BP1	37.023	IRAK1BP1	32.2208
IRAK1	1695.1449	IRAK1	1946.2636
IRAK2	80.9183	IRAK2	141.8976
IRAK3	84.682	IRAK3	314.8615
IRAK4	453.519	IRAK4	400.5038
IREB2	1181.784	IREB2	692.2754
IRF1	1013.8728	IRF1	851.7716
IRF2BP1	1080.1656	IRF2BP1	882.0319
IRF2BP2	3211.5167	IRF2BP2	3323.6776
IRF2	791.1178	IRF2	1022.2502
IRF3	578.0354	IRF3	968.5726
IRF4	139.6312	IRF4	76.8262
IRF5	185.924	IRF5	207.3887
IRF6	553.6319	IRF6	1479.0092
IRF7	869.0252	IRF7	208.2284
IRF8	257.4332	IRF8	363.9798
IRF9	1605.5702	IRF9	1256.5071
IRGQ	755.3632	IRGQ	743.073
IRS1	186.6767	IRS1	1845.508
IRS2	353.7825	IRS2	1987.4055
removed	removed	IRS4	6.2972
IRX1	51.9383	IRX1	928.2116
IRX2	150.9221	IRX2	1502.9387
IRX3	428.679	IRX3	2024.7691
IRX4	8.6564	IRX4	187.2376
IRX5	776.816	IRX5	859.3619
IRX6	6.0218	IRX6	149.4542
ISCA1P1	43.2819	ISCA1P1	79.3451
ISCA1	543.0937	ISCA1	984.4668
ISCA2	466.6918	ISCA2	336.272
ISCU	1389.5371	ISCU	2298.4887
ISG15	1287.9187	ISG15	371.1167
ISG20L2	924.3508	ISG20L2	645.2561
ISG20	235.6041	ISG20	195.6339
removed	removed	ISL1	11.335
ISLR2	39.1419	ISLR2	36.9437
ISLR	2464.0572	ISLR	6497.4811
ISM1	52.3146	ISM1	2893.7867
ISOC1	2210.0113	ISOC1	681.78
ISOC2	999.6236	ISOC2	821.5785
ISPD	64.3583	ISPD	34.8447
ISY1	706.8122	ISY1	865.487
ISYNA1	3850.207	ISYNA1	1291.7716
ITCH	1315.0169	ITCH	785.0546
ITFG1	767.0305	ITFG1	1115.4492
ITFG2	262.7023	ITFG2	641.8976
ITFG3	4176.3417	ITFG3	2242.5357
ITGA10	69.251	ITGA10	293.0311
ITGA11	1664.6594	ITGA11	491.1839
ITGA1	380.6436	ITGA1	897.5651
ITGA2	675.1976	ITGA2	1128.4635
ITGA3	1901.3925	ITGA3	4576.8262
ITGA4	246.4358	ITGA4	101.5911
ITGA5	1369.2134	ITGA5	2009.6558
ITGA6	2897.6289	ITGA6	4778.7573
ITGA7	257.4332	ITGA7	2439.9664
ITGA8	27.4746	removed	removed
ITGA9	90.3274	ITGA9	113.3501
ITGAE	281.8969	ITGAE	279.597
ITGAL	541.9646	ITGAL	319.0596
ITGAM	228.4531	ITGAM	218.7238
ITGAV	3390.6662	ITGAV	1119.6474
ITGAX	257.4332	ITGAX	110.4114
ITGB1BP1	726.3831	ITGB1BP1	2169.1856
ITGB1	8986.4509	ITGB1	16359.3619
ITGB2	1124.953	ITGB2	1089.0008
ITGB3BP	251.4114	ITGB3BP	213.686
ITGB3	220.1731	ITGB3	185.1385
ITGB4	3978.1709	ITGB4	7062.1327
ITGB5	6889.3489	ITGB5	4931.1503
ITGB6	737.6741	ITGB6	736.356
ITGB7	109.1457	ITGB7	141.0579
ITGB8	737.2977	ITGB8	307.3048
ITGBL1	1071.8856	ITGBL1	511.335
removed	removed	ITIH2	393.3669
ITIH3	9.4091	ITIH3	18.4719
ITIH4	5.2691	ITIH4	38.2032
ITIH5L	404.5916	ITIH5L	88.1612
ITIH5	321.4151	ITIH5	6134.7607
ITK	30.4855	ITK	35.2645
ITM2A	252.1641	ITM2A	1700.6717
ITM2B	7739.9323	ITM2B	13945.8438
ITM2C	1140.7603	ITM2C	1965.995
ITPA	379.3752	ITPA	776.2385
ITPK1	2821.2269	ITPK1	2599.0764
ITPKA	221.6786	ITPKA	11.7548
ITPKB	246.895	ITPKB	1713.2662
ITPKC	843.4324	ITPKC	986.5659
ITPR1	2295.446	ITPR1	3002.5189
ITPR2	1958.2236	ITPR2	1580.6045
ITPR3	3263.5303	ITPR3	806.4694
ITPRIPL1	12.0437	ITPRIPL1	102.0151
ITPRIPL2	843.4324	ITPRIPL2	1594.0386
ITPRIP	688.3703	ITPRIP	655.7515
ITSN1	600.3011	ITSN1	1804.7859
ITSN2	877.6816	ITSN2	645.2561
IVD	4213.7749	IVD	2232.9975
removed	removed	IVL	12.1746
IVNS1ABP	564.5465	IVNS1ABP	1856.0034
IWS1	1092.5856	IWS1	1128.0437
JAG1	929.9962	JAG1	1911.8388
JAG2	452.7663	JAG2	2026.0285
JAGN1	1343.6206	JAGN1	1075.1469
JAK1	8260.8205	JAK1	5545.7599
JAK2	551.7501	JAK2	245.1721
JAK3	89.5747	JAK3	185.5584
removed	removed	JAKMIP2	6.717
JAKMIP3	9.0327	JAKMIP3	33.1654
JAM2	109.8984	JAM2	635.6003
JAM3	331.9533	JAM3	1585.6423
JARID2	1062.8528	JARID2	449.6222
JAZF1	144.1475	JAZF1	431.5701
JDP2	301.8442	JDP2	738.8749
JHDM1D	908.1671	JHDM1D	596.9773
JKAMP	1470.079	JKAMP	665.827
JMJD1C	932.6308	JMJD1C	1126.3644
JMJD4	742.5405	JMJD4	418.602
JMJD5	113.2857	JMJD5	111.6709
JMJD6	328.5661	JMJD6	596.9773
JMJD7-PLA2G4B	385.0207	JMJD7-PLA2G4B	586.9018
JMJD8	2516.6278	JMJD8	2060.0546
JMY	515.9955	JMY	361.8808
JOSD1	744.4486	JOSD1	1405.5416
JOSD2	375.6116	JOSD2	217.4643
JPH1	87.3165	JPH1	35.2645
JPH2	51.9383	JPH2	1234.6767
removed	removed	JPH3	7.5567
JPH4	6.3982	JPH4	64.6516
JRKL	47.0455	JRKL	300.1679
JRK	352.6534	JRK	575.1469
JSRP1	139.2548	JSRP1	16.7926
JTB	4699.6613	JTB	2565.911
JUB	624.3884	JUB	836.272
JUNB	1479.4881	JUNB	4324.5172
JUND	3402.7098	JUND	3686.8178
JUN	2687.6176	JUN	11041.9815
JUP	9977.4181	JUP	9530.6465
KAAG1	132.2507	removed	removed
KAL1	301.0915	KAL1	251.8892
KALRN	308.9951	KALRN	292.6113
KANK1	362.0625	KANK1	3237.1956
KANK2	1282.2732	KANK2	3130.5626
KANK3	173.8803	KANK3	364.3997
KANK4	81.2947	KANK4	573.8875
KARS	1686.1122	KARS	3564.2317
KAT2A	793.7524	KAT2A	893.3669
KAT2B	401.5807	KAT2B	416.4568
KAT5	911.2269	KAT5	1575.8018
KATNA1	151.2985	KATNA1	491.1839
KATNAL1	252.5405	KATNAL1	327.4559
KATNAL2	25.5928	KATNAL2	64.6516
KATNB1	208.5058	KATNB1	326.6163
KAZALD1	1108.63	KAZALD1	131.1335
KAZ	453.7298	KAZ	737.4181
KBTBD10	15.4309	KBTBD10	20.1847
KBTBD11	106.8875	KBTBD11	100.7557
removed	removed	KBTBD12	6.717
KBTBD2	891.6071	KBTBD2	1044.0806
KBTBD3	116.2966	KBTBD3	115.0294
KBTBD4	716.338	KBTBD4	438.094
KBTBD6	355.2879	KBTBD6	454.2401
KBTBD7	214.904	KBTBD7	130.5626
KBTBD8	28.6037	KBTBD8	16.7926
removed	removed	KC6	5.4576
KCMF1	806.9251	KCMF1	1375.7347
removed	removed	KCNA1	24.3493
KCNA3	22.9582	KCNA3	10.0756
KCNA5	11.6673	KCNA5	20.5709
removed	removed	KCNA6	53.7364
removed	removed	KCNA7	5.0378
KCNAB1	38.7655	KCNAB1	151.9731
KCNAB2	105.382	KCNAB2	169.1856
removed	removed	KCNAB3	12.1746
removed	removed	KCNB1	67.5903
removed	removed	KCNB2	7.1369
KCNC1	17.6891	KCNC1	16.3728
removed	removed	KCNC2	29.8069
KCNC3	231.4641	KCNC3	223.3417
KCNC4	127.9639	KCNC4	339.2107
KCND1	59.8419	KCND1	103.2746
KCND2	2724.5013	KCND2	54.9958
KCND3	27.4746	KCND3	23.9295
removed	removed	KCNE1L	14.6935
KCNE1	31.991	KCNE1	286.314
KCNE2	14.3018	KCNE2	11.7548
KCNE3	54.9492	KCNE3	224.1814
KCNE4	455.4008	KCNE4	296.3896
removed	removed	KCNF1	17.2124
removed	removed	KCNG1	29.3871
KCNG3	12.7964	removed	removed
KCNH1	244.2604	KCNH1	16.7926
KCNH2	5.2691	KCNH2	28.5474
removed	removed	KCNH3	127.204
removed	removed	KCNH8	34.005
KCNIP1	9.7855	KCNIP1	17.6322
KCNIP2	45.5401	KCNIP2	2216.2049
KCNIP3	22.9582	KCNIP3	117.5483
removed	removed	KCNIP4	15.5332
KCNJ11	1130.2221	KCNJ11	219.1436
KCNJ12	79.4129	KCNJ12	60.8732
KCNJ14	22.5819	KCNJ14	29.3871
KCNJ15	21.4528	KCNJ15	44.0806
removed	removed	KCNJ16	273.7196
KCNJ2	51.1855	KCNJ2	321.9983
KCNJ3	418.5171	removed	removed
KCNJ5	22.5819	KCNJ5	32.3258
KCNJ8	83.9292	KCNJ8	700.6717
KCNK13	29.7328	KCNK13	25.1889
KCNK15	352.277	KCNK15	36.9437
KCNK17	10.9146	KCNK17	57.9345
KCNK1	93.7147	KCNK1	92.7792
KCNK2	2128.7166	KCNK2	105.7935
KCNK3	32.7437	KCNK3	149.4542
KCNK5	17.6891	KCNK5	128.8833
KCNK6	1477.6063	KCNK6	243.4929
removed	removed	KCNK7	14.2737
KCNMA1	802.0324	KCNMA1	1641.4777
KCNMB1	129.093	KCNMB1	3191.4358
removed	removed	KCNMB2	16.7926
KCNMB3	23.3346	KCNMB3	69.2695
KCNMB4	24.0873	KCNMB4	94.8783
removed	removed	KCNN1	23.9295
KCNN2	9.0327	KCNN2	6.2972
KCNN3	53.8201	KCNN3	15.5332
KCNN4	138.1257	KCNN4	497.4811
KCNQ1OT1	78.6601	KCNQ1OT1	125.5248
KCNQ1	145.653	KCNQ1	183.8791
KCNQ3	10.5382	removed	removed
KCNQ5	23.711	KCNQ5	33.5852
KCNRG	8.216	removed	removed
removed	removed	KCNS1	25.6087
removed	removed	KCNS2	10.0756
KCNS3	305.2315	KCNS3	403.0227
removed	removed	KCP	5.4828
KCTD10	1385.7734	KCTD10	3134.7607
KCTD11	890.478	KCTD11	727.1201
KCTD12	1445.9917	KCTD12	2875.7347
KCTD13	329.3188	KCTD13	232.9975
KCTD14	120.8129	KCTD14	406.801
KCTD15	370.3425	KCTD15	609.152
removed	removed	KCTD16	7.1369
KCTD17	66.6165	KCTD17	197.733
KCTD18	534.8137	KCTD18	571.7884
KCTD1	503.1991	KCTD1	1008.8161
KCTD20	1759.8796	KCTD20	1360.2015
KCTD21	593.5265	KCTD21	468.094
KCTD2	2099.3602	KCTD2	1786.314
KCTD3	10326.6842	KCTD3	2170.445
removed	removed	KCTD4	10.9152
KCTD5	691.0049	KCTD5	580.1847
KCTD6	929.9962	KCTD6	214.9454
KCTD7	255.5514	KCTD7	500
KCTD9	479.8645	KCTD9	793.4509
KDELC1	99.3602	KDELC1	143.157
KDELC2	821.6033	KDELC2	1027.7078
KDELR1	5234.0986	KDELR1	4397.1453
KDELR2	7054.5728	KDELR2	3836.272
KDELR3	864.1325	KDELR3	471.4526
KDM1A	824.9906	KDM1A	1658.2704
KDM1B	468.9499	KDM1B	319.8992
KDM2A	3155.0621	KDM2A	2807.7246
KDM2B	542.9996	KDM2B	529.9538
KDM3A	1179.9021	KDM3A	1086.0621
KDM3B	2461.4227	KDM3B	2455.0798
KDM4A	1504.6933	KDM4A	1300.5877
KDM4B	3601.8065	KDM4B	1512.5945
KDM4C	413.6244	KDM4C	397.5651
KDM4D	39.1419	KDM4D	40.7221
KDM5A	904.0271	KDM5A	1215.3652
KDM5B	2024.84	KDM5B	1583.5432
KDM5C	2392.1716	KDM5C	2098.2368
removed	removed	KDM5D	6.2972
KDM6A	925.1035	KDM6A	613.7699
KDM6B	694.0158	KDM6B	910.5793
KDR	608.2047	KDR	1670.445
KDSR	1001.5055	KDSR	1938.707
KEAP1	2252.5405	KEAP1	2096.5575
removed	removed	KEL	40.3023
KERA	7.5273	KERA	31.4861
KGFLP2	83.1389	KGFLP2	128.0353
removed	removed	KHDC1	31.0411
KHDRBS1	4084.3056	KHDRBS1	3739.7145
KHDRBS3	82.4238	KHDRBS3	267.8421
KHK	254.682	KHK	168.0353
KHNYN	2556.1799	KHNYN	2147.2502
KHSRP	1596.1611	KHSRP	1839.2107
KIAA0020	441.8517	KIAA0020	608.7322
KIAA0040	3712.4577	KIAA0040	1905.1217
KIAA0087	29.7328	KIAA0087	10.9152
KIAA0090	1065.4874	KIAA0090	976.9102
KIAA0100	8983.9142	KIAA0100	5024.4752
KIAA0101	438.0881	KIAA0101	36.9437
KIAA0114	569.8156	KIAA0114	957.5987
KIAA0125	30.8619	KIAA0125	16.7926
KIAA0141	864.5088	KIAA0141	1438.2872
KIAA0146	948.8145	KIAA0146	936.1881
KIAA0174	2222.4313	KIAA0174	3788.4131
KIAA0182	1326.6842	KIAA0182	2143.157
KIAA0195	1749.936	KIAA0195	1506.885
KIAA0196	4337.5988	KIAA0196	1285.4744
KIAA0226	751.5995	KIAA0226	587.7414
KIAA0232	2333.0824	KIAA0232	1425.2729
KIAA0240	821.2269	KIAA0240	649.0344
KIAA0247	2948.0617	KIAA0247	1863.1402
KIAA0284	920.5871	KIAA0284	1165.827
KIAA0317	755.7396	KIAA0317	641.0579
KIAA0319L	6887.8434	KIAA0319L	2389.5886
removed	removed	KIAA0319	22.2502
KIAA0355	513.7373	KIAA0355	802.6868
KIAA0368	2524.6519	KIAA0368	3300.5877
KIAA0391	1167.3466	KIAA0391	626.6877
KIAA0406	682.3485	KIAA0406	388.3291
KIAA0408	34.2341	KIAA0408	200.1637
KIAA0415	434.3244	KIAA0415	498.3207
KIAA0427	417.7644	KIAA0427	1654.9118
KIAA0430	2319.5333	KIAA0430	2735.0966
KIAA0467	630.079	KIAA0467	797.8463
KIAA0494	4327.7644	KIAA0494	3459.6977
KIAA0495	239.7441	KIAA0495	750.6297
KIAA0513	613.0975	KIAA0513	308.1444
KIAA0528	1126.082	KIAA0528	758.6062
KIAA0556	925.8562	KIAA0556	599.4962
KIAA0562	391.7953	KIAA0562	583.9631
KIAA0564	385.7734	KIAA0564	627.204
KIAA0586	313.1351	KIAA0586	188.4971
KIAA0649	632.6684	KIAA0649	618.3879
KIAA0652	2388.0316	KIAA0652	2523.9295
KIAA0664P3	20.7	KIAA0664P3	26.4484
KIAA0664	1717.7268	KIAA0664	1701.0915
KIAA0748	17.3128	KIAA0748	24.3493
KIAA0753	287.166	KIAA0753	327.4559
KIAA0754	30.1091	KIAA0754	45.7599
KIAA0776	823.8615	KIAA0776	444.5844
KIAA0802	61.7237	KIAA0802	93.199
KIAA0831	476.4772	KIAA0831	599.4962
KIAA0892	1161.4603	KIAA0892	1150.7137
KIAA0895L	120.4366	KIAA0895L	227.2544
KIAA0895	269.4769	KIAA0895	109.9916
KIAA0907	417.7644	KIAA0907	555.8354
KIAA0913	1262.3259	KIAA0913	1364.3997
KIAA0922	920.5871	KIAA0922	712.0067
KIAA0947	917.1998	KIAA0947	839.6306
KIAA1009	116.2966	KIAA1009	204.0302
KIAA1012	608.2047	KIAA1012	655.7515
KIAA1024	19.5709	KIAA1024	15.1134
KIAA1033	587.8811	KIAA1033	403.8623
removed	removed	KIAA1045	27.7078
KIAA1107	126.8348	KIAA1107	80.6045
KIAA1109	1517.5009	KIAA1109	1620.0672
KIAA1143	420.3989	KIAA1143	690.1763
KIAA1147	2193.0749	KIAA1147	1217.8841
KIAA1161	382.3861	KIAA1161	248.1108
KIAA1191	1585.9992	KIAA1191	2783.7951
KIAA1199	235.6041	KIAA1199	30.2267
KIAA1210	7.9037	KIAA1210	8.3963
KIAA1211	393.3007	KIAA1211	9.6558
KIAA1217	1991.1893	KIAA1217	4066.7506
removed	removed	KIAA1239	13.8539
KIAA1244	1374.8589	KIAA1244	137.2796
KIAA1257	118.8784	KIAA1257	16.7926
KIAA1267	1074.1438	KIAA1267	1166.6667
KIAA1274	400.828	KIAA1274	426.1125
KIAA1279	1298.0805	KIAA1279	823.6776
KIAA1310	2286.0369	KIAA1310	2160.3694
KIAA1324L	1013.1728	KIAA1324L	437.0277
KIAA1324	15166.7294	KIAA1324	6805.6255
KIAA1328	92.5856	KIAA1328	179.6809
KIAA1370	1092.962	KIAA1370	780.4366
KIAA1377	748.2123	KIAA1377	375.7347
KIAA1383	26.3455	KIAA1383	74.7271
KIAA1407	220.9259	KIAA1407	271.6205
removed	removed	KIAA1409	6.717
KIAA1429	3427.1735	KIAA1429	1435.3484
KIAA1430	898.3816	KIAA1430	473.5516
KIAA1432	577.0606	KIAA1432	411.9731
KIAA1462	624.7648	KIAA1462	1370.6969
KIAA1467	955.2126	KIAA1467	619.6474
KIAA1468	335.717	KIAA1468	450.4618
KIAA1522	7159.2021	KIAA1522	2776.6583
KIAA1524	133.233	KIAA1524	20.5709
KIAA1529	56.4546	KIAA1529	42.4013
KIAA1530	140.0075	KIAA1530	102.0151
KIAA1539	672.563	KIAA1539	449.6222
KIAA1543	747.0832	KIAA1543	471.4526
KIAA1549	669.5521	KIAA1549	307.7246
KIAA1586	58.7128	KIAA1586	97.817
KIAA1598	1342.8679	KIAA1598	674.6432
KIAA1609	384.6443	KIAA1609	534.005
KIAA1614	19.2247	KIAA1614	82.4139
KIAA1632	756.1159	KIAA1632	665.827
KIAA1644	24.4637	KIAA1644	12.5945
KIAA1671	1084.682	KIAA1671	2213.686
KIAA1683	104.2529	KIAA1683	286.314
KIAA1704	161.9119	KIAA1704	207.4307
KIAA1712	378.137	KIAA1712	140.2645
KIAA1715	555.1374	KIAA1715	312.7624
KIAA1731	259.315	KIAA1731	180.1008
KIAA1737	1585.6229	KIAA1737	910.9992
KIAA1755	73.391	KIAA1755	201.5113
KIAA1797	1023.3346	KIAA1797	1090.6801
KIAA1804	26.3455	KIAA1804	124.6851
KIAA1826	172.3749	KIAA1826	304.7859
KIAA1841	193.0749	KIAA1841	86.0621
removed	removed	KIAA1875	14.6935
KIAA1908	170.1167	KIAA1908	296.3896
KIAA1919	48.551	KIAA1919	52.0571
KIAA1949	1217.9149	KIAA1949	1437.8673
KIAA1958	117.4257	removed	removed
KIAA1967	3034.6255	KIAA1967	2648.1948
KIAA1984	59.0892	KIAA1984	20.9908
KIAA2013	1024.4637	KIAA2013	1459.2779
KIAA2018	480.9936	KIAA2018	486.9857
KIAA2022	104.6293	KIAA2022	19.3115
KIAA2026	688.3703	KIAA2026	534.4249
KIDINS220	2312.7588	KIDINS220	1965.1553
KIF11	893.8653	KIF11	65.0714
KIF12	403.8389	KIF12	570.9488
KIF13A	619.4957	KIF13A	1671.2846
KIF13B	5771.9232	KIF13B	1695.6339
KIF14	105.0056	removed	removed
KIF15	88.822	KIF15	7.1369
KIF16B	2189.3113	KIF16B	659.11
KIF17	18.4419	KIF17	57.5147
KIF18A	170.493	KIF18A	10.9152
KIF18B	95.2202	KIF18B	18.4719
removed	removed	KIF19	21.4106
KIF1B	759.8796	KIF1B	1043.241
KIF1C	2887.4671	KIF1C	4562.5525
KIF20A	353.4061	KIF20A	22.67
KIF20B	405.3444	KIF20B	82.2838
KIF21A	402.3335	KIF21A	107.4727
KIF21B	62.1001	KIF21B	126.7842
KIF22	2302.2205	KIF22	884.5508
KIF23	370.7189	KIF23	134.3409
KIF24	218.2913	KIF24	71.7884
removed	removed	KIF25	24.7691
KIF26A	69.6274	KIF26A	230.8984
KIF26B	170.8694	KIF26B	67.1704
KIF27	54.9492	KIF27	47.0193
KIF2A	390.2898	KIF2A	284.2149
KIF2C	467.8209	KIF2C	24.7691
KIF3A	534.8137	KIF3A	214.9454
KIF3B	2322.9206	KIF3B	1789.6725
KIF3C	632.6684	KIF3C	488.665
KIF4A	1813.6997	KIF4A	14.2737
KIF4B	21.0764	removed	removed
removed	removed	KIF5A	23.5097
KIF5B	4982.6872	KIF5B	2614.1898
KIF5C	2104.6293	KIF5C	697.3132
removed	removed	KIF6	9.2359
KIF7	30.4855	KIF7	245.9866
KIF9	91.4678	KIF9	155.8438
KIFAP3	957.8472	KIFAP3	818.22
KIFC1	637.5612	KIFC1	63.8119
KIFC2	326.0105	KIFC2	224.0218
KIFC3	272.8641	KIFC3	484.047
KILLIN	44.7874	KILLIN	42.8212
KIN	219.4204	KIN	229.639
removed	removed	KIR3DL1	8.262
removed	removed	KIRREL3	7.9765
KIRREL	127.5875	KIRREL	200.2519
KITLG	3251.4114	KITLG	534.005
KIT	155.0621	KIT	1562.1327
KLB	49.3037	KLB	441.2259
KLC1	1176.5224	KLC1	2034.3451
KLC2	710.5758	KLC2	497.9009
KLC3	38.0128	KLC3	248.4719
KLC4	776.5149	KLC4	738.9127
KLF10	948.4381	KLF10	1854.3241
KLF11	266.4659	KLF11	875.3149
KLF12	228.8295	KLF12	292.1914
KLF13	946.1799	KLF13	2171.2846
removed	removed	KLF14	12.1746
KLF15	32.7437	KLF15	595.2981
KLF16	599.9247	KLF16	402.6029
KLF2	225.8186	KLF2	1348.0269
KLF3	1074.8927	KLF3	999.5802
KLF4	315.3933	KLF4	925.2729
KLF5	203.6131	KLF5	562.5525
KLF6	1243.5077	KLF6	2937.0277
KLF7	23.711	KLF7	60.8732
KLF8	162.5894	KLF8	327.4559
KLF9	476.8536	KLF9	1633.5013
KLHDC10	894.9944	KLHDC10	366.4987
KLHDC1	47.4219	KLHDC1	52.0571
KLHDC2	1027.851	KLHDC2	1348.8665
KLHDC3	3039.1419	KLHDC3	3137.2796
KLHDC4	260.143	KLHDC4	353.0647
KLHDC5	785.8487	KLHDC5	824.5172
KLHDC7A	105.0056	KLHDC7A	382.4517
KLHDC7B	111.7802	KLHDC7B	105.3736
KLHDC8A	10.9146	KLHDC8A	48.2788
KLHDC8B	537.0719	KLHDC8B	1340.89
KLHDC9	286.7896	KLHDC9	84.8027
KLHL11	60.2183	KLHL11	13.4341
KLHL12	1000	KLHL12	835.8522
KLHL13	426.0444	KLHL13	1063.3921
KLHL14	5.2691	KLHL14	5.8774
KLHL15	293.1878	KLHL15	107.4727
KLHL17	70.3801	KLHL17	57.0949
KLHL18	265.7132	KLHL18	351.3854
KLHL20	252.5405	KLHL20	317.8002
KLHL21	881.0689	KLHL21	3964.3157
KLHL22	412.1189	KLHL22	684.2989
KLHL23	238.615	KLHL23	41.1419
KLHL24	1064.7347	KLHL24	943.3249
KLHL25	263.455	KLHL25	410.9992
KLHL26	328.1897	KLHL26	317.8002
KLHL28	465.1863	KLHL28	104.1142
KLHL29	35.0019	KLHL29	943.3249
