gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
MED10	591.139	MED10	303.6375
MED11	210.1291	MED11	263.5617
MED12L	10.5668	MED12L	10.1092
MED12	1006.8684	MED12	1844.9319
MED13L	2525.1717	MED13L	4130.3367
MED13	2023.0961	MED13	2227.2768
MED14	775.3038	MED14	1032.9452
MED15	1461.8462	MED15	1543.0996
MED16	1053.9663	MED16	722.8089
MED17	295.2676	MED17	498.2399
MED18	273.5301	MED18	324.578
MED19	345.6865	MED19	236.8445
MED1	1813.2689	MED1	1819.6588
MED20	653.6342	MED20	487.7697
MED21	340.2521	MED21	498.2399
MED22	1205.5249	MED22	669.0134
MED23	549.1735	MED23	991.0642
MED24	1751.9813	MED24	1351.7465
MED25	1322.0439	MED25	579.1136
MED26	321.5337	MED26	155.6097
MED27	543.4372	MED27	202.5454
MED28	481.2439	MED28	465.0239
MED29	2102.8002	MED29	1319.6137
MED30	180.8438	MED30	131.0588
MED31	145.3242	MED31	125.9861
MED4	680.8061	MED4	874.4472
MED6	301.3058	MED6	310.1363
MED7	185.9763	MED7	263.5617
MED8	817.2692	MED8	717.7543
MED9	303.1172	MED9	362.4876
MEF2A	1031.6341	MEF2A	1869.5045
MEF2B	12.5504	MEF2B	18.6948
MEF2C	474.6019	MEF2C	1342.3594
MEF2D	2080.4589	MEF2D	1782.8324
MEFV	8.7554	MEFV	12.9976
MEG3	11.4726	MEG3	235.4003
MEGF10	19.3222	MEGF10	61.3774
MEGF6	398.2187	MEGF6	485.9644
MEGF8	586.6103	MEGF8	1352.1076
MEGF9	644.5769	MEGF9	2200.5596
MEI1	73.9678	MEI1	40.0758
MEIS1	76.685	MEIS1	358.8772
MEIS2	112.0085	MEIS2	233.234
MEIS3P1	306.4382	MEIS3P1	750.2482
MEIS3	361.6877	MEIS3	143.3342
MELK	819.9864	MELK	11.9144
MEMO1	373.3052	MEMO1	299.7382
MEN1	1265.9069	MEN1	663.5978
MEOX1	21.7375	MEOX1	1135.1205
MEOX2	35.0215	MEOX2	821.0127
MEPCE	1333.2327	MEPCE	1114.18
MERTK	179.0324	MERTK	350.2121
MESDC1	489.0935	MESDC1	570.0876
MESDC2	1418.3712	MESDC2	1153.5337
MESP1	515.3596	MESP1	93.8713
MESP2	116.839	MESP2	10.8313
removed	removed	MESTIT1	20.9405
MEST	711.6009	MEST	3824.1719
METAP1	571.2129	METAP1	844.1195
METAP2	1406.2948	METAP2	1500.4964
METRNL	1047.9281	METRNL	387.0385
METRN	395.5015	METRN	46.9356
METT10D	425.0887	METT10D	931.492
METT11D1	560.3442	METT11D1	470.4396
METT5D1	243.0372	METT5D1	274.754
METTL10	208.7825	METTL10	335.2902
METTL11A	440.7004	METTL11A	207.9249
METTL12	102.7247	METTL12	47.0403
METTL13	1389.6898	METTL13	781.659
METTL14	321.2318	METTL14	446.2497
METTL1	502.3775	METTL1	235.0393
METTL2A	562.1556	METTL2A	392.0931
METTL2B	360.7819	METTL2B	300.7492
METTL3	671.0816	METTL3	693.3586
METTL4	325.7604	METTL4	228.5405
METTL5	501.0612	METTL5	528.8925
METTL6	256.9251	METTL6	248.7589
METTL7A	592.0447	METTL7A	4937.9908
METTL7B	41.3616	METTL7B	46.9356
METTL8	235.7914	METTL8	446.9717
METTL9	1790.0219	METTL9	1802.6898
MET	521.0959	MET	2153.624
MEX3A	313.3821	MEX3A	106.5078
MEX3B	108.0836	MEX3B	77.2633
MEX3C	714.0162	MEX3C	1210.2175
MEX3D	468.5637	MEX3D	181.6048
MFAP1	755.6797	MFAP1	727.1414
MFAP2	1067.5523	MFAP2	247.3147
MFAP3L	276.2473	MFAP3L	150.5551
MFAP3	955.5438	MFAP3	1379.5469
MFAP4	557.3251	MFAP4	10212.8351
MFAP5	2028.5305	MFAP5	5177.3626
MFF	1029.5117	MFF	1016.3372
MFGE8	3632.878	MFGE8	3943.3162
MFHAS1	202.5813	MFHAS1	275.8372
MFI2	95.7053	MFI2	155.6097
MFN1	563.3633	MFN1	837.6207
MFN2	2711.148	MFN2	3514.7576
MFNG	255.3249	MFNG	606.914
MFRP	734.2441	MFRP	374.402
MFSD10	2092.5353	MFSD10	750.9703
MFSD11	660.9133	MFSD11	533.8785
MFSD1	1870.3298	MFSD1	1851.4306
MFSD2A	36.5311	MFSD2A	59.2111
MFSD2B	25.0585	MFSD2B	5.7767
MFSD3	604.7249	MFSD3	137.5575
MFSD4	9.0573	MFSD4	187.0205
MFSD5	1287.6444	MFSD5	682.3721
MFSD6L	14.4917	MFSD6L	31.4108
MFSD6	854.1022	MFSD6	1317.4474
MFSD7	592.6334	MFSD7	205.2171
MFSD8	301.6077	MFSD8	307.97
MFSD9	208.6195	MFSD9	189.9088
removed	removed	MGAM	5.0546
MGAT1	4027.7757	MGAT1	3632.0968
MGAT2	789.7955	MGAT2	669.0134
MGAT3	39.2482	MGAT3	468.2733
MGAT4A	1555.1362	MGAT4A	1555.7361
MGAT4B	1577.1122	MGAT4B	1224.6593
MGAT5B	554.0041	MGAT5B	7.943
MGAT5	115.9333	MGAT5	363.9318
MGA	835.3838	MGA	1407.7083
MGC12916	7.2458	MGC12916	9.7482
MGC12982	59.7781	MGC12982	37.5485
removed	removed	MGC14436	6.4988
removed	removed	MGC16121	7.943
MGC16142	11.7745	MGC16142	10.4703
MGC16275	48.0036	MGC16275	27.4393
removed	removed	MGC16384	5.7767
removed	removed	MGC16703	5.1882
MGC21881	66.4201	MGC21881	159.5812
MGC23270	40.4559	MGC23270	43.3252
MGC23284	26.568	MGC23284	28.5224
MGC2752	541.9277	MGC2752	613.4128
MGC29506	777.4172	MGC29506	110.4793
MGC3771	10.3434	MGC3771	9.676
removed	removed	MGC42105	7.5819
MGC45800	8.4535	MGC45800	60.2943
MGC57346	159.4083	MGC57346	185.8796
MGC70857	661.182	MGC70857	201.4622
MGC72080	89.8906	MGC72080	64.1394
MGC87042	6.0382	MGC87042	26.7172
MGEA5	1429.5419	MGEA5	4184.8542
MGLL	1636.3499	MGLL	13507.3563
MGMT	63.0991	MGMT	180.5217
MGP	3728.5833	MGP	76066.0709
MGRN1	2035.7763	MGRN1	1031.14
MGST1	69.7411	MGST1	11127.7191
MGST2	522.3036	MGST2	800.0722
MGST3	1724.2056	MGST3	2900.9838
MIA3	2410.748	MIA3	2472.0643
MIAT	180.5419	MIAT	67.8762
MIA	16.605	MIA	122.0688
MIB1	1289.1539	MIB1	1763.336
MIB2	399.4264	MIB2	176.5502
MICAL1	450.126	MICAL1	330.7158
MICAL2	2054.1928	MICAL2	616.3011
MICAL3	594.46	MICAL3	1465.4752
MICALCL	41.0597	MICALCL	28.1614
MICALL1	477.621	MICALL1	991.7863
MICALL2	696.8073	MICALL2	153.8045
MICA	223.1112	MICA	379.8177
MICB	345.0826	MICB	124.921
MID1IP1	431.4288	MID1IP1	349.8511
MID1	56.759	MID1	705.8399
MID2	411.5028	MID2	1111.2916
MIDN	2579.2135	MIDN	2259.0487
MIER1	899.0867	MIER1	1003.3397
MIER2	558.8346	MIER2	437.9457
MIER3	586.6103	MIER3	586.6956
MIF4GD	847.5749	MIF4GD	431.8513
MIF	2583.866	MIF	1111.8043
MIIP	410.2951	MIIP	220.5975
MINA	805.2291	MINA	814.893
MINK1	1731.0831	MINK1	1838.0648
MINPP1	547.664	MINPP1	394.9815
MIOS	775.6057	MIOS	620.6336
MIPEP	397.313	MIPEP	366.098
MIPOL1	89.0633	MIPOL1	151.9993
MIR155HG	29.2852	MIR155HG	6.8598
removed	removed	MIR17HG	30.6887
MIS12	301.0038	MIS12	422.7818
MITD1	206.2042	MITD1	201.4622
MITF	356.8571	MITF	726.0583
MKI67IP	752.9595	MKI67IP	502.9299
MKI67	2173.749	MKI67	107.5909
MKKS	717.3372	MKKS	918.8555
MKL1	827.8361	MKL1	1052.4416
MKL2	1204.6192	MKL2	3353.0102
MKLN1	1265.303	MKLN1	2189.0062
MKNK1	423.881	MKNK1	731.835
MKNK2	2938.7878	MKNK2	2937.4492
MKRN1	4324.5528	MKRN1	2413.2142
MKRN2	461.3178	MKRN2	650.6002
MKRN3	13.8878	removed	removed
MKS1	310.0611	MKS1	250.9252
MKX	17.8127	MKX	222.7638
MLC1	5.1325	MLC1	8.304
MLEC	3578.5342	MLEC	6991.6057
MLF1IP	583.4161	MLF1IP	72.4073
MLF1	429.9192	MLF1	325.6612
MLF2	5660.5027	MLF2	2661.251
MLH1	636.4254	MLH1	795.0176
MLH3	290.7389	MLH3	572.9759
MLKL	285.3046	MLKL	239.0107
MLL2	3617.0458	MLL2	3109.7716
MLL3	1739.603	MLL3	3559.8881
MLL4	1143.9354	MLL4	827.5115
MLL5	1491.2008	MLL5	2486.867
MLLT10	337.5349	MLLT10	826.4284
MLLT11	151.8605	MLLT11	69.3203
MLLT1	1660.2008	MLLT1	1517.8265
MLLT3	202.2794	MLLT3	465.0239
MLLT4	1684.6554	MLLT4	3233.8659
MLLT6	2945.1279	MLLT6	3829.9486
MLL	1150.8793	MLL	3192.3459
MLPH	6223.564	MLPH	2749.7067
MLST8	954.5052	MLST8	519.8953
MLXIPL	39.5502	MLXIPL	800.4333
MLXIP	845.6487	MLXIP	1481.3611
MLX	2331.1676	MLX	1306.8436
MLYCD	144.9166	MLYCD	355.2667
MMAA	210.1291	MMAA	245.8706
MMAB	431.1269	MMAB	491.019
MMACHC	69.7411	MMACHC	236.4834
MMADHC	1955.1664	MMADHC	1652.4957
MMD	368.3297	MMD	3626.3201
MMEL1	71.308	MMEL1	6.7407
MME	407.5779	MME	6583.6267
MMGT1	720.0543	MMGT1	1019.2256
MMP10	1104.9891	MMP10	5.4157
MMP11	11174.2773	MMP11	61.7384
MMP12	15.3974	MMP12	11.1923
MMP13	830.2513	removed	removed
MMP14	14331.0439	MMP14	3714.0536
MMP15	776.2095	MMP15	958.9313
MMP16	104.4607	MMP16	100.3701
MMP17	125.8963	MMP17	54.1565
MMP19	443.5052	MMP19	994.6746
MMP1	3112.0839	removed	removed
MMP23B	23.8509	MMP23B	80.1516
MMP24	391.2748	MMP24	349.8511
MMP25	153.6207	MMP25	67.5476
removed	removed	MMP27	29.2445
MMP28	78.7984	MMP28	650.6002
MMP2	12763.5293	MMP2	9768.7517
MMP3	758.3969	MMP3	48.7409
MMP7	468.5637	MMP7	801.5164
MMP9	1197.3734	MMP9	313.3857
MMRN1	17.2088	MMRN1	167.1631
MMRN2	670.5412	MMRN2	3838.6136
MMS19	823.0055	MMS19	1115.6242
MN1	246.962	MN1	465.385
MNAT1	201.6756	MNAT1	227.4574
MND1	62.1934	removed	removed
MNDA	537.0971	MNDA	198.2128
MNS1	76.0812	MNS1	64.2657
MNT	429.6173	MNT	458.8862
MNX1	86.3461	removed	removed
MOAP1	390.0672	MOAP1	915.2451
MOB2	423.2772	MOB2	419.5324
MOBKL1A	390.0672	MOBKL1A	847.3689
MOBKL1B	908.4459	MOBKL1B	768.6614
MOBKL2A	1452.7889	MOBKL2A	1260.0415
MOBKL2B	87.8557	MOBKL2B	368.9864
MOBKL2C	439.2784	MOBKL2C	791.0461
MOBKL3	1161.7481	MOBKL3	879.8628
MOCOS	80.006	MOCOS	179.7996
MOCS1	240.1238	MOCS1	1085.3579
MOCS2	762.6236	MOCS2	782.3811
MOCS3	538.6067	MOCS3	142.9732
removed	removed	MOGAT2	19.1353
MOGS	1419.2769	MOGS	893.9435
MON1A	132.8402	MON1A	203.9895
MON1B	506.0005	MON1B	728.9467
MON2	883.0855	MON2	1428.6488
MORC2	776.2095	MORC2	796.8228
MORC3	743.9052	MORC3	1101.5435
MORC4	722.4696	MORC4	693.5644
MORF4L1	4305.2306	MORF4L1	3909.0171
MORF4L2	3211.4122	MORF4L2	3325.2099
MORF4	6.0382	removed	removed
MORN1	134.6517	MORN1	42.9642
MORN2	270.8129	MORN2	174.745
MORN3	12.9821	removed	removed
MORN4	164.2388	MORN4	187.7426
MOSC1	90.5729	MOSC1	2418.2688
MOSC2	41.0597	MOSC2	414.1168
MOSPD1	253.906	MOSPD1	180.8828
MOSPD2	164.8426	MOSPD2	363.9318
MOSPD3	411.2008	MOSPD3	207.961
MOV10	2456.9401	MOV10	830.3999
MOXD1	345.6865	MOXD1	89.8998
MPDU1	1353.1587	MPDU1	1063.9986
MPDZ	371.9526	MPDZ	2039.8953
MPEG1	1018.9448	MPEG1	1663.6881
MPG	676.5794	MPG	394.9815
removed	removed	MPHOSPH10	765.7731
MPHOSPH6	300.7019	MPHOSPH6	349.129
MPHOSPH8	607.4421	MPHOSPH8	1228.9918
MPHOSPH9	205.2985	MPHOSPH9	172.5788
MPI	550.3812	MPI	728.9467
removed	removed	MPL	34.2991
MPND	397.313	MPND	242.9822
MPO	5.1325	removed	removed
MPP1	674.1641	MPP1	698.258
MPP2	349.6113	MPP2	139.7238
MPP3	171.1827	MPP3	68.2372
MPP5	832.6666	MPP5	1087.1017
MPP6	15.0955	MPP6	108.313
MPP7	372.8583	MPP7	732.5571
MPPE1	486.9801	MPPE1	742.3053
MPPED1	35.9272	MPPED1	10.1092
MPPED2	63.7029	MPPED2	101.8142
MPRIP	1602.2341	MPRIP	2994.133
MPST	347.4979	MPST	580.5578
MPV17L2	307.6459	MPV17L2	226.3742
MPV17L	160.0121	MPV17L	149.1109
MPV17	671.145	MPV17	672.9849
MPZL1	3235.263	MPZL1	3819.1172
MPZL2	234.5837	MPZL2	615.9401
MPZL3	48.0036	MPZL3	72.2087
MPZ	8.4535	MPZ	139.0017
MR1	235.7914	MR1	257.785
removed	removed	MRAP2	55.2396
removed	removed	MRAP	1399.3754
MRAS	567.2881	MRAS	4465.385
MRC1	62.7972	MRC1	1157.1441
MRC2	6068.3825	MRC2	3104.2513
MRE11A	211.6386	MRE11A	549.147
MREG	779.7509	MREG	798.8086
MRFAP1L1	2633.5572	MRFAP1L1	1184.9445
MRFAP1	8178.4286	MRFAP1	4876.9745
MRGPRF	73.9678	MRGPRF	601.8594
removed	removed	MRGPRX2	21.3016
removed	removed	MRGPRX3	25.6341
MRI1	484.8668	MRI1	532.539
MRM1	131.9345	MRM1	61.3774
MRO	70.043	MRO	102.1753
MRP63	433.1708	MRP63	498.9548
MRPL10	1019.2467	MRPL10	912.3567
MRPL11	863.1595	MRPL11	455.2757
MRPL12	1842.8561	MRPL12	363.2097
MRPL13	1571.1374	MRPL13	412.3116
MRPL14	1063.3255	MRPL14	371.8747
MRPL15	1105.291	MRPL15	627.1324
MRPL16	835.9876	MRPL16	652.4055
MRPL17	1050.6453	MRPL17	663.2368
removed	removed	MRPL18	643.7404
MRPL19	1316.9296	MRPL19	1227.5476
MRPL1	249.3773	MRPL1	305.0817
MRPL20	1213.9724	MRPL20	1136.2939
MRPL21	543.1353	MRPL21	283.058
MRPL22	503.2833	MRPL22	357.433
MRPL23	501.4718	MRPL23	268.9773
MRPL24	2444.8638	MRPL24	903.6917
MRPL27	1115.5559	MRPL27	569.7265
MRPL28	1374.2924	MRPL28	520.6246
MRPL2	654.8419	MRPL2	401.8413
MRPL30	715.0759	MRPL30	817.7345
MRPL32	1139.4067	MRPL32	585.9735
MRPL33	336.0254	MRPL33	504.0166
MRPL34	431.4288	MRPL34	420.6156
MRPL35	855.9137	MRPL35	814.1529
MRPL36	562.4575	MRPL36	278.3645
MRPL37	1793.6448	MRPL37	1092.8784
MRPL38	2015.6419	MRPL38	620.8105
MRPL39	506.3024	MRPL39	315.5519
MRPL3	1891.7654	MRPL3	1136.9257
MRPL40	501.7737	MRPL40	580.1968
MRPL41	945.2789	MRPL41	355.9888
MRPL42	760.8121	MRPL42	478.0215
MRPL43	842.0379	MRPL43	985.8038
MRPL44	638.2368	MRPL44	547.7029
MRPL45	1124.9151	MRPL45	894.6656
MRPL46	409.6913	MRPL46	416.6441
MRPL47	706.1665	MRPL47	419.5324
MRPL48	525.9265	MRPL48	327.1053
MRPL49	2611.2159	MRPL49	1207.6902
MRPL4	909.9555	MRPL4	540.1209
MRPL50	491.5088	MRPL50	366.8201
MRPL51	1930.4098	MRPL51	1041.9713
MRPL52	865.8767	MRPL52	397.1478
MRPL53	439.8823	MRPL53	410.0153
MRPL54	490.6031	MRPL54	369.7085
MRPL55	744.509	MRPL55	301.8323
MRPL9	1653.4561	MRPL9	599.1768
MRPS10	948.9018	MRPS10	700.7853
MRPS11	748.1319	MRPS11	468.9954
MRPS12	875.888	MRPS12	239.0107
MRPS14	373.4621	MRPS14	380.1787
MRPS15	1601.0265	MRPS15	927.5205
MRPS16	2007.2338	MRPS16	1552.1256
MRPS17	308.5516	MRPS17	186.2984
MRPS18A	900.2944	MRPS18A	561.7836
MRPS18B	1715.4502	MRPS18B	1202.9967
MRPS18C	333.6735	MRPS18C	280.5813
MRPS21	1442.8259	MRPS21	778.4096
MRPS22	493.3203	MRPS22	465.385
MRPS23	1053.3625	MRPS23	486.6865
MRPS24	858.3289	MRPS24	568.2823
MRPS25	518.8558	MRPS25	565.8561
MRPS26	495.7355	MRPS26	379.4566
MRPS27	1080.2325	MRPS27	1329.0008
MRPS28	438.424	MRPS28	278.1551
MRPS2	1282.9919	MRPS2	706.9086
MRPS30	776.2095	MRPS30	389.2048
MRPS31	228.2436	MRPS31	360.3213
MRPS33	678.3908	MRPS33	476.5773
MRPS34	1908.0685	MRPS34	419.1714
MRPS35	1272.8508	MRPS35	947.739
MRPS36	458.9026	MRPS36	355.9888
MRPS5	1006.5665	MRPS5	535.7884
MRPS6	610.7842	MRPS6	659.8249
MRPS7	3023.8116	MRPS7	972.6076
MRPS9	580.5721	MRPS9	381.9839
MRRF	381.0099	MRRF	429.2806
MRS2	1011.0952	MRS2	723.892
MRTO4	1089.2898	MRTO4	582.002
MRVI1	566.0805	MRVI1	666.1251
MS4A14	45.9899	MS4A14	110.176
MS4A1	52.5323	MS4A1	36.4654
MS4A2	24.4547	MS4A2	68.9593
MS4A4A	307.9478	MS4A4A	627.8545
MS4A6A	1252.019	MS4A6A	1313.1149
MS4A7	467.8602	MS4A7	1360.3538
MS4A8B	6.0382	removed	removed
MSC	273.7173	MSC	568.3437
removed	removed	MSH2	738.3338
MSH3	525.7906	MSH3	674.5266
MSH5	135.7023	MSH5	135.2902
MSH6	2074.4207	MSH6	1060.0235
MSI1	355.9514	MSI1	28.1614
MSI2	249.9811	MSI2	263.5617
MSL1	2759.4535	MSL1	1902.6988
MSL2	772.5866	MSL2	845.2026
MSL3L2	35.3234	MSL3L2	74.0139
MSL3	381.6137	MSL3	565.394
MSMB	1140.0106	MSMB	14.0807
MSMP	37.4368	MSMP	45.8525
MSN	7711.9783	MSN	11597.7976
MSR1	1857.6496	MSR1	752.0534
MSRA	77.2889	MSRA	298.2219
MSRB2	396.1054	MSRB2	645.9067
MSRB3	883.9912	MSRB3	3242.892
MST1P2	10.2649	MST1P2	53.7955
removed	removed	MST1P9	9.3871
MST1R	30.7948	MST1R	171.8567
MST1	8.4535	MST1	43.3252
MST4	685.9386	MST4	192.7972
removed	removed	MSTN	10.8313
MSTO1	1054.546	MSTO1	764.4553
MSTO2P	104.5211	MSTO2P	171.5317
MSX1	50.117	MSX1	149.833
MSX2	211.6386	MSX2	232.512
removed	removed	MT1A	35.3823
MT1E	724.8849	MT1E	509.0712
MT1F	174.2018	MT1F	106.1468
MT1G	34.7196	MT1G	36.1043
MT1H	7.2458	removed	removed
MT1L	16.3031	MT1L	114.8118
MT1M	10.2649	MT1M	92.0661
MT1X	218.8844	MT1X	947.0169
MT2A	2693.6373	MT2A	2064.4462
MTA1	527.1341	MTA1	770.4666
MTA2	3079.7796	MTA2	1663.6881
MTA3	1405.691	MTA3	908.7463
MTAP	748.4338	MTAP	644.8235
MTBP	230.0551	MTBP	63.9047
MTCH1	4102.6493	MTCH1	3005.3254
MTCH2	2485.0177	MTCH2	1655.3841
MTCP1NB	255.7597	MTCP1NB	246.8995
MTCP1	21.6952	MTCP1	20.6336
MTDH	4744.509	MTDH	3013.9904
MTERFD1	787.984	MTERFD1	258.5071
MTERFD2	496.6413	MTERFD2	431.4469
MTERFD3	181.4477	MTERFD3	434.6963
MTERF	239.4143	MTERF	142.9732
MTF1	549.7773	MTF1	853.8677
MTF2	445.6185	MTF2	375.1241
MTFMT	192.3164	MTFMT	216.626
removed	removed	MTFR1	379.0956
MTG1	495.4336	MTG1	404.7297
MTHFD1L	250.5849	MTHFD1L	205.7947
MTHFD1	1299.8807	MTHFD1	1930.0839
MTHFD2L	70.9488	MTHFD2L	157.7543
MTHFD2	1497.1696	MTHFD2	802.9606
MTHFR	424.1528	MTHFR	846.9284
MTHFSD	256.0193	MTHFSD	248.7589
MTHFS	356.2533	MTHFS	343.7133
MTIF2	925.0509	MTIF2	680.2058
MTIF3	517.473	MTIF3	1011.6437
MTL5	449.2415	MTL5	222.0417
MTM1	288.6256	MTM1	414.8389
MTMR10	284.1513	MTMR10	1611.1237
MTMR11	152.1624	MTMR11	218.7923
MTMR12	671.145	MTMR12	2093.3297
MTMR14	1319.3449	MTMR14	777.3265
MTMR15	226.3778	MTMR15	676.8084
MTMR1	992.3768	MTMR1	626.0493
MTMR2	502.9814	MTMR2	913.8009
MTMR3	877.0473	MTMR3	2044.2278
MTMR4	942.5617	MTMR4	991.7863
MTMR6	610.1593	MTMR6	918.4944
MTMR7	100.2944	MTMR7	42.6537
MTMR8	8.7554	MTMR8	16.969
MTMR9L	25.9642	MTMR9L	139.7238
MTMR9	366.7839	MTMR9	546.5764
MTO1	558.5327	MTO1	388.8438
MTOR	1724.2056	MTOR	1989.3492
MTP18	160.791	MTP18	184.1791
MTPAP	374.066	MTPAP	438.3067
MTRF1L	245.7544	MTRF1L	323.1339
MTRF1	77.5908	MTRF1	107.5909
MTRR	662.9934	MTRR	674.4291
MTR	890.6333	MTR	1695.0988
MTSS1L	851.385	MTSS1L	602.2204
MTSS1	609.5464	MTSS1	1078.0756
removed	removed	MTTP	5.4157
MTUS1	1510.1517	MTUS1	2812.1672
removed	removed	MTUS2	19.4963
MTX1	1095.026	MTX1	436.5015
MTX2	576.3454	MTX2	504.3777
MTX3	589.0256	MTX3	604.7477
MUC13	36.833	removed	removed
removed	removed	MUC15	186.2984
MUC16	38.9463	MUC16	491.7411
MUC1	5975.9982	MUC1	1717.1225
MUC20	50.7208	MUC20	133.9471
removed	removed	MUC4	6.1377
MUC5B	1287.0405	MUC5B	122.0327
removed	removed	MUC6	650.6002
MUCL1	210.1291	MUCL1	8694.2865
MUDENG	494.226	MUDENG	810.1814
MUL1	851.0831	MUL1	808.0152
MUM1L1	5.7363	MUM1L1	76.5412
MUM1	577.553	MUM1	808.3762
MURC	12.0764	removed	removed
MUS81	607.4421	MUS81	335.7704
MUSTN1	21.979	MUSTN1	83.401
MUTED	339.3464	MUTED	383.4281
MUTYH	147.5643	MUTYH	87.4014
MUT	744.509	MUT	1015.9762
MVD	511.1329	MVD	150.9161
MVK	470.677	MVK	249.481
MVP	4956.7515	MVP	1978.5179
MX1	15548.9471	MX1	1177.3626
MX2	1142.1239	MX2	444.8055
MXD1	305.5325	MXD1	533.2611
MXD3	277.8383	MXD3	64.847
MXD4	1132.7647	MXD4	1708.4574
MXI1	211.3367	MXI1	1181.6951
MXRA5	15444.4864	MXRA5	5323.2241
MXRA7	4548.8716	MXRA7	7714.0536
MXRA8	3319.4958	MXRA8	3341.4568
MYADM	4162.1254	MYADM	13086.3796
MYBBP1A	970.9503	MYBBP1A	787.7931
removed	removed	MYBL1	73.6529
MYBL2	3182.127	MYBL2	16.608
removed	removed	MYBPC1	1979.601
MYB	304.3249	MYB	1672.7141
MYCBP2	1124.0094	MYCBP2	5063.2729
removed	removed	MYCBPAP	9.3871
MYCBP	875.2359	MYCBP	644.8235
MYCL1	61.8915	MYCL1	124.1989
MYCN	20.8318	removed	removed
MYCT1	190.203	MYCT1	1031.14
MYC	632.5006	MYC	4372.5968
MYD88	2111.2537	MYD88	1134.3984
MYEF2	312.884	MYEF2	214.6295
MYEOV2	510.5291	MYEOV2	554.9237
MYEOV	12.9821	MYEOV	611.2465
MYH10	1408.7101	MYH10	2898.4565
MYH11	825.6261	MYH11	10581.937
MYH14	6152.3134	MYH14	1333.3333
MYH3	5.1325	MYH3	38.6316
removed	removed	MYH7B	15.1638
MYH9	34325.6095	MYH9	24905.1358
MYL12A	9325.9869	MYL12A	6587.2371
MYL12B	10122.7262	MYL12B	6689.4124
removed	removed	MYL3	10.1092
removed	removed	MYL4	11.5534
MYL5	59.2528	MYL5	133.6908
MYL6B	421.7677	MYL6B	345.8796
MYL6	23395.577	MYL6	16844.8416
MYL7	11.7745	MYL7	122.3937
MYL9	6628.4248	MYL9	16980.5939
MYLIP	1409.6158	MYLIP	1136.2036
MYLK3	6.642	MYLK3	6.8598
MYLK4	7.2458	MYLK4	28.5224
MYLK	3305.294	MYLK	10650.0514
MYNN	357.159	MYNN	458.5251
MYO10	1367.0466	MYO10	1173.3911
MYO15A	9.0573	MYO15A	15.5249
MYO15B	79.4022	MYO15B	617.3842
removed	removed	MYO16	77.9854
MYO18A	1677.1771	MYO18A	1246.3688
removed	removed	MYO18B	8.665
MYO19	982.1722	MYO19	359.9639
MYO1B	1899.6151	MYO1B	2024.3704
MYO1C	6165.5974	MYO1C	13083.8523
MYO1D	2218.4316	MYO1D	1498.3302
MYO1E	1022.2658	MYO1E	1011.2826
MYO1F	629.7834	MYO1F	346.2406
MYO1G	277.4549	MYO1G	73.6529
removed	removed	MYO1H	9.7482
MYO5A	1093.2146	MYO5A	1476.3065
MYO5B	1014.1143	MYO5B	1059.6624
MYO5C	848.9728	MYO5C	1805.8309
MYO6	3791.6824	MYO6	2563.4082
removed	removed	MYO7A	351.6563
MYO7B	6.0382	MYO7B	25.9951
MYO9A	220.394	MYO9A	1028.6127
MYO9B	2111.2537	MYO9B	1605.9211
removed	removed	MYOCD	56.3228
removed	removed	MYOC	260.3123
MYOF	4877.3492	MYOF	7203.5382
MYOM1	10.2649	MYOM1	908.7463
removed	removed	MYOM2	43.6863
MYOM3	37.4368	MYOM3	27.4393
MYOZ1	5.4344	MYOZ1	22.7457
MYOZ3	5.7363	MYOZ3	29.9666
MYPOP	147.3319	MYPOP	117.7002
MYRIP	137.6708	MYRIP	325.6612
MYSM1	68.2316	MYSM1	213.3767
MYST1	624.6509	MYST1	526.0403
MYST2	1674.0886	MYST2	1212.7448
MYST3	1602.838	MYST3	2192.6167
MYST4	1541.2484	MYST4	1484.6105
MYT1	224.9226	removed	removed
MZF1	130.5397	MZF1	155.4509
N4BP1	1452.487	N4BP1	1629.0279
N4BP2L1	106.2722	N4BP2L1	493.5463
N4BP2L2	641.2559	N4BP2L2	1563.318
N4BP2	106.2722	N4BP2	272.9488
N4BP3	1573.5527	N4BP3	174.0229
N6AMT1	225.2245	N6AMT1	335.4093
N6AMT2	105.0645	N6AMT2	167.8852
NAA10	1263.4916	NAA10	526.7623
NAA15	1392.407	NAA15	935.4635
NAA16	160.6159	NAA16	237.9276
NAA20	1383.6516	NAA20	864.699
NAA25	834.4781	NAA25	545.8976
NAA30	484.5649	NAA30	613.4128
NAA35	235.7914	NAA35	415.922
NAA38	383.4252	NAA38	360.3213
NAA40	528.6437	NAA40	428.9196
NAA50	2764.8879	NAA50	2390.8295
NAAA	820.2883	NAAA	757.108
NAALAD2	5.4344	NAALAD2	148.0278
NAALADL1	48.0036	NAALADL1	84.8452
NAALADL2	41.3616	NAALADL2	362.4876
NAB1	630.6891	NAB1	1589.6742
NAB2	1018.9448	NAB2	416.6441
NACA2	13.8878	NACA2	20.5795
NACAD	43.1731	NACAD	127.8094
NACAP1	60.9857	NACAP1	97.8428
NACA	9786.399	NACA	12968.6795
NACC1	3173.6735	NACC1	891.0551
NACC2	71.2507	NACC2	82.3179
