gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ACTN1	5282.0964	ACTN1	11981.1321
ACTN2	15.1249	ACTN2	23.5849
ACTN4	8870.3447	ACTN4	14597.184
ACTR10	918.3961	ACTR10	1079.2453
ACTR1A	2474.4988	ACTR1A	1991.9811
ACTR1B	1204.7133	ACTR1B	1459.434
ACTR2	8122.4059	ACTR2	4591.0377
ACTR3B	149.49	ACTR3B	199.5283
ACTR3C	23.2149	ACTR3C	42.4528
ACTR3	5020.0492	ACTR3	3109.434
ACTR5	349.2789	ACTR5	187.2642
ACTR6	1018.6423	ACTR6	587.2642
ACTR8	609.9191	ACTR8	528.7736
ACVR1B	1209.6377	ACVR1B	1074.0566
ACVR1C	30.9532	ACVR1C	230.1887
ACVR1	779.4583	ACVR1	1123.5849
ACVR2A	253.9571	ACVR2A	469.3396
ACVR2B	629.2649	ACVR2B	307.0755
ACVRL1	289.8347	ACVRL1	710.8491
ACY1	1084.439	ACY1	463.6792
removed	removed	ACY3	16.5094
ACYP1	165.3183	ACYP1	70.283
ACYP2	72.1069	ACYP2	137.2642
ADAL	370.0317	ADAL	213.2075
ADAM10	1598.3116	ADAM10	1945.7547
ADAM11	28.491	ADAM11	18.8679
ADAM12	1951.8115	ADAM12	231.6038
ADAM15	3854.3792	ADAM15	3070.7547
ADAM17	682.7295	ADAM17	1044.3396
ADAM19	285.6138	ADAM19	110.8491
ADAM21	14.0696	removed	removed
ADAM22	13.7179	ADAM22	88.6792
ADAM23	13.0144	ADAM23	14.6226
ADAM28	77.0313	ADAM28	136.3208
removed	removed	ADAM29	8.0189
ADAM32	48.1885	ADAM32	38.2075
ADAM33	22.5114	ADAM33	630.2736
ADAM6	24063.2219	ADAM6	18646.1651
ADAM8	415.758	ADAM8	81.1321
ADAM9	16183.2571	ADAM9	2008.9623
ADAMDEC1	217.0243	ADAMDEC1	9.434
ADAMTS10	26.3806	ADAMTS10	136.7925
ADAMTS12	361.9416	ADAMTS12	98.5849
ADAMTS13	60.8512	ADAMTS13	59.434
ADAMTS14	50.299	removed	removed
ADAMTS15	144.5656	ADAMTS15	207.5472
ADAMTS16	63.3134	ADAMTS16	63.2075
ADAMTS17	27.7875	ADAMTS17	61.3208
ADAMTS18	114.3159	ADAMTS18	54.2453
ADAMTS19	59.4442	removed	removed
ADAMTS1	3600.4221	ADAMTS1	9058.9623
ADAMTS2	696.7992	ADAMTS2	416.5094
ADAMTS3	12.3109	ADAMTS3	99.5283
ADAMTS4	422.7928	ADAMTS4	766.0377
ADAMTS5	189.2367	ADAMTS5	1886.3208
ADAMTS6	47.1333	ADAMTS6	16.5094
ADAMTS7	138.2343	ADAMTS7	34.9057
removed	removed	ADAMTS8	54.717
ADAMTS9	217.376	ADAMTS9	434.9057
ADAMTSL1	96.3771	ADAMTSL1	158.0189
ADAMTSL2	124.5164	ADAMTSL2	43.3962
ADAMTSL3	332.0436	ADAMTSL3	195.7547
ADAMTSL4	185.7193	ADAMTSL4	551.4151
ADAMTSL5	26.7323	ADAMTSL5	24.5283
ADAP1	23.7988	ADAP1	128.6179
ADAP2	303.9043	ADAP2	233.9623
ADARB1	346.1133	ADARB1	831.6038
ADAR	13502.2863	ADAR	7668.3962
ADAT1	353.8516	ADAT1	354.2453
ADAT2	125.5716	ADAT2	207.5472
ADAT3	11.6075	ADAT3	10.3774
ADA	99.8945	ADA	71.2264
ADCK1	120.2955	ADCK1	152.3585
ADCK2	769.6096	ADCK2	633.0189
ADCK4	629.2649	ADCK4	495.283
ADCK5	135.4203	ADCK5	64.1509
ADCY1	31.6567	ADCY1	2394.8113
ADCY2	181.1467	ADCY2	143.3962
ADCY3	907.4428	ADCY3	1474.8208
ADCY4	58.0373	ADCY4	391.9811
ADCY5	467.4639	ADCY5	302.8302
ADCY6	1271.8959	ADCY6	2311.3208
ADCY7	434.4003	ADCY7	475
ADCY9	697.5026	ADCY9	1049.0566
removed	removed	ADCYAP1R1	16.9811
ADCYAP1	35.1741	ADCYAP1	21.6981
ADC	86.1766	ADC	143.3962
ADD1	2505.1002	ADD1	5532.5472
ADD2	10.5522	ADD2	92.4528
ADD3	589.8699	ADD3	3107.5472
removed	removed	ADH1A	61.7925
ADH1B	109.0397	ADH1B	7013.6792
removed	removed	ADH1C	267.4528
removed	removed	ADH4	184.9057
ADH5	1712.2758	ADH5	2901.4151
ADHFE1	45.7263	ADHFE1	160.3774
ADI1	724.9384	ADI1	1433.4906
ADIPOQ	86.5283	ADIPOQ	4098.5849
ADIPOR1	4552.2336	ADIPOR1	2478.3019
ADIPOR2	3380.5839	ADIPOR2	2441.0377
ADK	529.0186	ADK	300
ADM2	182.9054	ADM2	181.1321
ADM	423.4963	ADM	324.0566
ADNP2	580.0211	ADNP2	859.9057
ADNP	4949.701	ADNP	3012.7358
ADORA1	46.4298	ADORA1	329.717
ADORA2A	352.0929	ADORA2A	71.2264
ADORA2B	64.3686	ADORA2B	117.9245
ADORA3	237.4253	ADORA3	122.6415
ADO	807.9493	ADO	646.6981
ADPGK	833.44	ADPGK	805.8443
ADPRHL1	109.3915	ADPRHL1	36.3208
ADPRHL2	648.2589	ADPRHL2	629.717
ADPRH	214.2103	ADPRH	475
removed	removed	ADRA1A	25
removed	removed	ADRA1B	18.8679
removed	removed	ADRA1D	9.9057
ADRA2A	289.8347	ADRA2A	507.0755
removed	removed	ADRA2B	26.4151
ADRA2C	24.6219	ADRA2C	48.1132
removed	removed	ADRB1	20.7547
ADRB2	25.3254	ADRB2	232.0755
