gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ISCA1P1	67.886	ISCA1P1	72.1698
ISCA1	820.8934	ISCA1	751.4151
ISCA2	288.076	ISCA2	193.3962
ISCU	1068.5895	ISCU	1413.2075
ISG15	1555.3992	ISG15	188.6792
ISG20L2	1159.6905	ISG20L2	879.717
ISG20	181.1467	ISG20	204.717
ISLR2	13.7179	ISLR2	101.8868
ISLR	1539.2191	ISLR	3041.5094
ISM1	338.375	ISM1	1781.1321
ISM2	5.6279	removed	removed
ISOC1	2532.1843	ISOC1	578.3019
ISOC2	721.0693	ISOC2	342.9245
ISPD	26.3806	ISPD	98.5849
ISY1	600.0844	ISY1	682
ISYNA1	556.1027	ISYNA1	616.5094
ITCH	2226.1695	ITCH	1509.434
ITFG1	829.4056	ITFG1	1035.3774
ITFG2	182.9054	ITFG2	510.8491
ITFG3	2228.9905	ITFG3	1670.9575
ITGA10	11.6075	ITGA10	371.6981
ITGA11	2978.8955	ITGA11	382.0755
ITGA1	922.1245	ITGA1	920.283
ITGA2B	23.5667	ITGA2B	7.5472
ITGA2	812.1702	ITGA2	2040.566
ITGA3	1473.4435	ITGA3	3179.2453
ITGA4	218.586	ITGA4	305.8962
ITGA5	2277.8755	ITGA5	1602.3585
ITGA6	410.1301	ITGA6	7273.1132
ITGA7	76.3278	ITGA7	1107.5472
ITGA8	31.6567	ITGA8	26.4151
ITGA9	172.3531	ITGA9	444.8113
ITGAE	248.3292	ITGAE	158.4906
ITGAL	276.8203	ITGAL	306.1321
ITGAM	379.8804	ITGAM	204.2453
ITGAV	3260.2884	ITGAV	2842.9245
ITGAX	431.9381	ITGAX	156.6038
ITGB1BP1	655.9972	ITGB1BP1	925.9434
ITGB1	11716.4967	ITGB1	15567.4528
ITGB2	1946.5072	ITGB2	981.1321
ITGB3BP	291.2416	ITGB3BP	165.0943
ITGB3	81.2522	ITGB3	383.9623
ITGB4	277.8755	ITGB4	6205.1887
ITGB5	3780.1618	ITGB5	3363.2075
ITGB6	5889.905	ITGB6	2262.7358
ITGB7	200.1407	ITGB7	109.434
ITGB8	2882.1667	ITGB8	1846.2264
ITGBL1	883.9254	ITGBL1	610.8491
removed	removed	ITIH2	314.1509
removed	removed	ITIH3	16.5094
ITIH4	38.1885	ITIH4	95.283
ITIH5L	66.8308	ITIH5L	80.1887
ITIH5	195.9198	ITIH5	3075.4717
ITK	48.892	ITK	58.4906
ITM2A	112.5572	ITM2A	1288.2075
ITM2B	5775.2374	ITM2B	12066.9811
ITM2C	593.739	ITM2C	1488.2075
ITPA	763.63	ITPA	498.5849
ITPK1	1158.6352	ITPK1	1102.3585
ITPKA	8.4418	removed	removed
ITPKB	454.8013	ITPKB	2413.6792
ITPKC	661.9768	ITPKC	1546.2264
ITPR1	3027.0841	ITPR1	4689.1509
ITPR2	957.4393	ITPR2	4385.8491
ITPR3	2597.4288	ITPR3	1830.1509
removed	removed	ITPRIPL1	139.1509
ITPRIPL2	2516.0042	ITPRIPL2	1456.6038
ITPRIP	1125.2198	ITPRIP	1268.8679
ITSN1	457.6152	ITSN1	1187.2642
ITSN2	960.2533	ITSN2	1215.566
IVD	1585.2972	IVD	1683.0189
IVL	8.09	removed	removed
IVNS1ABP	2786.8449	IVNS1ABP	2589.6226
IWS1	1353.8516	IWS1	1003.7736
IYD	27.4358	IYD	5.1887
JAG1	711.5723	JAG1	1951.8868
JAG2	257.8262	JAG2	1256.1321
JAGN1	954.6254	JAGN1	637.7358
JAK1	3057.3338	JAK1	5682.0755
JAK2	223.3556	JAK2	597.6415
JAK3	137.5308	JAK3	174.0566
JAKMIP1	9.1453	JAKMIP1	8.4906
JAKMIP2	6.3313	removed	removed
JAKMIP3	19.3458	JAKMIP3	83.4906
JAM2	69.293	JAM2	364.6226
JAM3	515.3007	JAM3	964.1509
JARID2	1141.3999	JARID2	743.8679
JAZF1	173.0566	JAZF1	473.1132
JDP2	186.0711	JDP2	748.5849
JHDM1D	602.5325	JHDM1D	975.9434
JKAMP	886.0359	JKAMP	897.1698
JMJD1C	1587.0383	JMJD1C	2915.5283
JMJD4	743.2325	JMJD4	488.7594
JMJD5	56.6303	JMJD5	90.566
JMJD6	445.3043	JMJD6	600
JMJD7-PLA2G4B	188.1815	JMJD7-PLA2G4B	497.1698
JMJD8	1635.4098	JMJD8	1410.1698
JMY	1235.3148	JMY	964.1509
JOSD1	1470.6296	JOSD1	2073.1132
JOSD2	121.7024	JOSD2	64.1509
JPH1	311.9944	JPH1	92.4528
JPH2	39.395	JPH2	823.1132
removed	removed	JPH3	7.0755
JPH4	15.8284	JPH4	24.0566
JRKL	265.2128	JRKL	407.0755
JRK	364.7555	JRK	583.9623
JTB	2549.0679	JTB	1420.7547
JUB	437.2142	JUB	869.8113
JUNB	953.5702	JUNB	2916.0377
JUND	1533.943	JUND	3768.8679
JUN	1816.0394	JUN	8039.1509
JUP	11563.1375	JUP	7389.1509
removed	removed	KAAG1	8.9717
KAL1	2466.057	KAL1	467.9245
KALRN	308.8287	KALRN	693.3962
KANK1	290.5382	KANK1	2882.0755
KANK2	970.102	KANK2	2146.6981
KANK3	35.1741	KANK3	250.4717
KANK4	104.1154	KANK4	425.9434
KARS	2434.752	KARS	2603.7736
KAT2A	1445.656	KAT2A	801.4151
KAT2B	310.2357	KAT2B	738.2075
KAT5	935.8002	KAT5	1104.934
KATNA1	316.567	KATNA1	385.3774
KATNAL1	203.6581	KATNAL1	598.5849
KATNAL2	51.3542	KATNAL2	53.7736
KATNB1	232.1491	KATNB1	408.9623
KAZALD1	93.5385	KAZALD1	88.6887
KAZ	247.7242	KAZ	898.6038
removed	removed	KBTBD10	22.8726
KBTBD11	80.5487	KBTBD11	238.2075
removed	removed	KBTBD12	25.9434
KBTBD2	811.8185	KBTBD2	1390.0943
KBTBD3	254.6606	KBTBD3	150.9434
KBTBD4	647.5589	KBTBD4	508.6698
KBTBD6	467.8157	KBTBD6	698.5849
KBTBD7	173.7601	KBTBD7	214.1509
KBTBD8	20.7527	KBTBD8	33.4906
KCMF1	1137.179	KCMF1	1231.1321
removed	removed	KCNA1	6.1321
KCNA3	19.3458	KCNA3	33.4906
removed	removed	KCNA5	5.6604
removed	removed	KCNA6	70.283
KCNAB1	38.6915	KCNAB1	163.2075
removed	removed	KCNAB2	160.8491
removed	removed	KCNAB3	7.5472
removed	removed	KCNB1	110.8491
KCNC1	13.0144	KCNC1	10.3774
removed	removed	KCNC2	82.0755
KCNC3	230.3904	KCNC3	363.6792
KCNC4	27.0841	KCNC4	263.2075
KCND1	13.3662	KCND1	69.3396
KCND2	126.6268	KCND2	91.0377
KCND3	16.1801	KCND3	148.1132
removed	removed	KCNE1	408.9623
KCNE2	9.497	KCNE2	6.1321
KCNE3	177.981	KCNE3	132.5472
KCNE4	1792.121	KCNE4	110.8491
KCNF1	205.7686	KCNF1	23.1132
KCNG1	19.6975	KCNG1	26.4151
KCNG3	41.1537	removed	removed
KCNH1	7.0348	KCNH1	10.3774
KCNH2	19.6975	KCNH2	29.717
KCNH3	15.4766	KCNH3	70.283
removed	removed	KCNH8	160.3774
removed	removed	KCNIP1	36.7925
KCNIP2	6.6831	KCNIP2	544.3396
KCNIP3	34.1189	KCNIP3	135.8491
KCNIP4	14.0696	KCNIP4	50
KCNJ10	25.3254	KCNJ10	9.434
KCNJ11	296.166	KCNJ11	116.5094
removed	removed	KCNJ12	45.283
KCNJ13	13.0144	removed	removed
KCNJ14	25.6771	KCNJ14	45.283
KCNJ15	40.802	KCNJ15	24.5283
removed	removed	KCNJ16	238.2075
KCNJ2	145.2691	KCNJ2	324.5283
KCNJ3	8.7935	removed	removed
KCNJ5	41.1537	KCNJ5	114.6226
KCNJ8	136.1238	KCNJ8	331.1321
KCNK13	11.2557	KCNK13	27.8302
KCNK15	47.1333	KCNK15	17.4528
removed	removed	KCNK17	8.4906
KCNK1	584.5937	KCNK1	146.6981
KCNK2	1185.0158	KCNK2	373.5849
KCNK3	41.1537	KCNK3	78.3019
KCNK5	734.7872	KCNK5	266.0377
KCNK6	234.9631	KCNK6	253.7736
KCNMA1	2283.8551	KCNMA1	1419.8113
KCNMB1	42.2089	KCNMB1	1187.7358
removed	removed	KCNMB2	5.1887
KCNMB3	48.892	KCNMB3	83.4906
KCNMB4	25.6771	KCNMB4	62.7358
KCNN2	20.401	KCNN2	7.5472
KCNN3	35.5259	KCNN3	41.9811
KCNN4	93.5631	KCNN4	742.9245
KCNQ1OT1	84.0661	KCNQ1OT1	139.1509
KCNQ1	59.796	KCNQ1	257.0755
KCNQ3	6.6831	KCNQ3	9.434
removed	removed	KCNQ4	19.3396
KCNQ5	21.4562	KCNQ5	39.1509
KCNRG	5.3887	KCNRG	18.1321
removed	removed	KCNS1	59.9057
KCNS3	507.9142	KCNS3	476.8868
KCNT1	8.4418	removed	removed
removed	removed	KCNT2	27.3585
removed	removed	KCNV1	5.1887
KCP	6.6866	removed	removed
KCTD10	1547.3092	KCTD10	2682.5472
KCTD11	734.4355	KCTD11	532.0755
KCTD12	1183.2571	KCTD12	4541.0377
KCTD13	435.1038	KCTD13	192.9245
KCTD14	21.8079	KCTD14	565.566
KCTD15	562.0823	KCTD15	531.6038
KCTD16	5.6279	KCTD16	16.5094
KCTD17	238.1287	KCTD17	164.6226
KCTD18	457.2635	KCTD18	416.9811
removed	removed	KCTD19	5.6604
KCTD1	389.7292	KCTD1	1031.6038
KCTD20	2324.3053	KCTD20	1957.5472
KCTD21	435.4555	KCTD21	279.2453
KCTD2	870.2075	KCTD2	1122.1698
KCTD3	8306.7183	KCTD3	2938.6792
removed	removed	KCTD4	8.0189
KCTD5	860.007	KCTD5	589.1509
KCTD6	1017.2353	KCTD6	153.7736
KCTD7	274.6711	KCTD7	420.7217
KCTD9	654.5902	KCTD9	1563.6792
KDELC1	191.6989	KDELC1	107.0755
KDELC2	1173.0566	KDELC2	1123.1132
KDELR1	4060.8512	KDELR1	2657.5472
KDELR2	4172.7049	KDELR2	3683.9623
KDELR3	672.529	KDELR3	287.7358
KDM1A	1711.5723	KDM1A	1738.6792
KDM1B	1646.1484	KDM1B	530.6604
KDM2A	4383.7496	KDM2A	4091.9811
KDM2B	598.7619	KDM2B	698.4434
KDM3A	2157.9318	KDM3A	1883.0189
KDM3B	2722.4763	KDM3B	3244.8113
KDM4A	890.6085	KDM4A	1296.2264
KDM4B	2736.5459	KDM4B	1535.8491
KDM4C	294.0556	KDM4C	728.7736
KDM4D	54.5199	KDM4D	28.3019
KDM5A	1437.2142	KDM5A	2287.7358
KDM5B	3614.4917	KDM5B	2304.2453
KDM5C	2985.2269	KDM5C	2880.1887
KDM6A	1784.3827	KDM6A	1104.717
KDM6B	655.9972	KDM6B	1381.1321
KDR	814.6324	KDR	1608.0189
KDSR	1626.0992	KDSR	2554.2453
KEAP1	896.9399	KEAP1	1222.1698
KEL	11.2557	KEL	29.717
KERA	6.6831	KERA	192.9245
removed	removed	KGFLP1	15.566
KGFLP2	41.9346	KGFLP2	175.5613
KHDC1	10.0703	KHDC1	19.8113
KHDRBS1	4508.6177	KHDRBS1	3748.1132
KHDRBS3	58.7408	KHDRBS3	155.1887
KHK	128.1182	KHK	96.2877
KHNYN	1142.9792	KHNYN	2429.0519
KHSRP	2885.3324	KHSRP	1915.0943
KIAA0020	356.6655	KIAA0020	710.3774
KIAA0040	4528.3152	KIAA0040	2032.5472
KIAA0090	945.4801	KIAA0090	1024.0566
KIAA0100	4081.3155	KIAA0100	5184.9434
KIAA0101	946.5353	KIAA0101	56.6038
KIAA0114	1001.7587	KIAA0114	550
KIAA0125	16.5318	KIAA0125	16.9811
KIAA0141	934.2244	KIAA0141	1298.1132
KIAA0146	1081.6039	KIAA0146	1029.717
KIAA0174	2027.0841	KIAA0174	3067.4528
KIAA0182	1980.3025	KIAA0182	2208.0189
KIAA0195	2180.8758	KIAA0195	1597.8679
KIAA0196	2507.5624	KIAA0196	1678.7736
KIAA0226	910.6578	KIAA0226	763.6792
KIAA0232	1124.5164	KIAA0232	2299.5283
KIAA0240	940.204	KIAA0240	1346.2264
KIAA0247	1318.3257	KIAA0247	2686.3208
KIAA0284	506.859	KIAA0284	1379.717
KIAA0317	565.5997	KIAA0317	874.5283
KIAA0319L	1859.6553	KIAA0319L	2418.3962
KIAA0319	112.9089	KIAA0319	7.0755
KIAA0355	641.5758	KIAA0355	1208.0189
KIAA0368	3644.7415	KIAA0368	3171.6981
removed	removed	KIAA0391	581.4811
KIAA0406	1627.8579	KIAA0406	542.9245
removed	removed	KIAA0408	103.9906
KIAA0415	225.8178	KIAA0415	300.4717
KIAA0427	555.0475	KIAA0427	1499.0566
KIAA0430	2213.1551	KIAA0430	3005.6604
KIAA0467	600.9532	KIAA0467	1443.7453
KIAA0494	3419.9226	KIAA0494	4779.7028
KIAA0495	272.5994	KIAA0495	807.5472
KIAA0513	246.2188	KIAA0513	396.2264
KIAA0528	791.4175	KIAA0528	1175.4717
KIAA0556	1138.2343	KIAA0556	863.6792
KIAA0562	676.7499	KIAA0562	852.8302
KIAA0564	679.2121	KIAA0564	737.7358
KIAA0586	373.5491	KIAA0586	440.566
KIAA0649	561.0271	KIAA0649	598.5849
KIAA0652	1561.3788	KIAA0652	1942.9245
KIAA0664P3	76.6796	KIAA0664P3	103.7736
KIAA0664	1073.5139	KIAA0664	1580.6604
KIAA0748	19.6975	KIAA0748	16.0377
KIAA0753	261.6954	KIAA0753	431.1321
KIAA0754	77.383	KIAA0754	416.5094
KIAA0776	1097.4323	KIAA0776	1150.9434
KIAA0802	151.2487	KIAA0802	216.5094
KIAA0831	321.1396	KIAA0831	764.6226
KIAA0892	1344.0028	KIAA0892	1510.3774
KIAA0895L	183.9606	KIAA0895L	249.6462
KIAA0895	186.0711	KIAA0895	224.5283
KIAA0907	1353.1481	KIAA0907	946.6981
KIAA0913	1386.2117	KIAA0913	2195.283
KIAA0922	447.7664	KIAA0922	594.8113
KIAA0947	1931.7622	KIAA0947	1685.8491
KIAA1009	135.0686	KIAA1009	311.7925
KIAA1012	1138.586	KIAA1012	1170.7547
KIAA1024	63.6651	KIAA1024	36.7925
KIAA1033	1167.7805	KIAA1033	1304.2453
removed	removed	KIAA1045	61.3208
KIAA1107	195.9198	KIAA1107	179.2453
KIAA1109	1100.2462	KIAA1109	3506.1321
KIAA1143	1917.3408	KIAA1143	970.283
KIAA1147	1346.1133	KIAA1147	1635.3774
KIAA1161	826.2399	KIAA1161	516.0377
KIAA1191	2630.3201	KIAA1191	2554.717
KIAA1199	903.6229	KIAA1199	28.7736
KIAA1210	58.0373	KIAA1210	10.8491
KIAA1211	59.0925	KIAA1211	16.5094
KIAA1217	3226.873	KIAA1217	6144.0236
KIAA1244	1229.3352	KIAA1244	958.9623
KIAA1257	52.0788	KIAA1257	17.1226
KIAA1267	1399.5779	KIAA1267	1451.4151
KIAA1274	91.1009	KIAA1274	517.4528
KIAA1279	1215.2656	KIAA1279	750
KIAA1310	1800.9145	KIAA1310	2058.4906
KIAA1324L	314.8083	KIAA1324L	404.2453
KIAA1324	4269.4337	KIAA1324	7102.3585
KIAA1328	136.1238	KIAA1328	184.9057
KIAA1370	1014.0696	KIAA1370	1285.3774
KIAA1377	294.0556	KIAA1377	381.6038
KIAA1383	45.3746	KIAA1383	101.8868
KIAA1407	461.1326	KIAA1407	284.434
removed	removed	KIAA1409	8.4906
KIAA1429	2354.2033	KIAA1429	1743.3962
KIAA1430	1743.229	KIAA1430	1412.7358
KIAA1432	425.1002	KIAA1432	872.0425
KIAA1462	753.0777	KIAA1462	1030.1887
KIAA1467	2591.6286	KIAA1467	767.9245
KIAA1468	683.7847	KIAA1468	903.7736
KIAA1522	3096.7288	KIAA1522	4792.9245
KIAA1524	562.6697	KIAA1524	110.8491
KIAA1529	87.9353	KIAA1529	133.0189
KIAA1530	131.9029	KIAA1530	219.3396
KIAA1539	232.8526	KIAA1539	361.7925
KIAA1543	365.459	KIAA1543	432.0755
KIAA1549	235.3148	KIAA1549	461.7925
KIAA1586	118.8885	KIAA1586	163.6792
KIAA1598	2520.2251	KIAA1598	1183.4906
KIAA1609	231.0939	KIAA1609	670.7547
KIAA1614	16.2504	KIAA1614	122.8821
KIAA1632	620.4713	KIAA1632	1178.3019
KIAA1644	15.1249	KIAA1644	114.6226
KIAA1671	1683.7847	KIAA1671	4377.8302
removed	removed	KIAA1683	685.8491
KIAA1704	345.86	KIAA1704	447.0236
KIAA1712	341.6215	KIAA1712	364.2453
KIAA1715	900.1055	KIAA1715	697.1698
KIAA1731	1289.8347	KIAA1731	490.566
KIAA1737	917.6926	KIAA1737	1325
KIAA1751	23.2149	removed	removed
KIAA1755	50.6507	KIAA1755	313.6792
KIAA1797	470.2779	KIAA1797	929.717
KIAA1804	304.2561	KIAA1804	212.2642
KIAA1826	757.2986	KIAA1826	350
KIAA1841	207.5273	KIAA1841	163.6792
removed	removed	KIAA1875	16.9811
KIAA1908	45.0229	KIAA1908	191.0377
KIAA1919	26.3806	KIAA1919	84.434
KIAA1949	935.6314	KIAA1949	1198.5849
KIAA1958	118.5368	KIAA1958	68.8679
KIAA1967	2070.3482	KIAA1967	2278.7736
KIAA1984	18.994	KIAA1984	19.8113
KIAA2013	1029.898	KIAA2013	968.3962
KIAA2018	1029.1945	KIAA2018	1130.1887
KIAA2022	167.7805	KIAA2022	70.7547
KIAA2026	393.2466	KIAA2026	1065.566
KIDINS220	1639.1136	KIDINS220	3071.2264
KIF11	1886.3876	KIF11	283.4906
KIF12	21.8079	KIF12	595.283
KIF13A	1134.0134	KIF13A	1949.5283
KIF13B	2231.0939	KIF13B	2238.2075
KIF14	661.625	KIF14	46.6981
KIF15	1479.4231	KIF15	42.4528
KIF16B	1797.0454	KIF16B	1364.6226
KIF17	11.2557	KIF17	29.2453
KIF18A	553.2888	KIF18A	59.434
KIF18B	626.8027	KIF18B	52.3585
removed	removed	KIF19	22.6415
KIF1B	1047.1333	KIF1B	2472.1698
KIF1C	1112.2054	KIF1C	3353.7736
KIF20A	1532.5361	KIF20A	205.1887
KIF20B	1054.8716	KIF20B	299.0566
KIF21A	776.6444	KIF21A	331.1321
KIF21B	28.491	KIF21B	144.3396
KIF22	1949.701	KIF22	805.1887
KIF23	1033.4154	KIF23	166.9811
KIF24	338.7654	KIF24	156.6038
KIF26A	11.2557	KIF26A	150.4717
KIF26B	247.9775	KIF26B	185.3774
KIF27	81.6039	KIF27	180.1887
KIF2A	901.1607	KIF2A	652.3585
KIF2C	1065.4238	KIF2C	140.0943
KIF3A	1259.2332	KIF3A	445.7547
KIF3B	4109.0397	KIF3B	1913.2075
KIF3C	205.4168	KIF3C	598.1132
KIF4A	810.0598	KIF4A	86.7925
KIF4B	8.09	removed	removed
removed	removed	KIF5A	49.5283
KIF5B	5887.4428	KIF5B	5732.5472
KIF5C	209.286	KIF5C	669.3396
KIF6	43.6159	KIF6	15.0943
KIF7	63.5209	KIF7	218.0189
KIF9	384.9103	KIF9	151.3066
KIFAP3	1250.7914	KIFAP3	970.283
KIFC1	1739.0081	KIFC1	219.3396
KIFC2	500.605	KIFC2	228.5991
KIFC3	168.484	KIFC3	493.3962
KILLIN	41.1537	KILLIN	31.1321
KIN	322.1949	KIN	256.1321
removed	removed	KIRREL3	8.9623
KIRREL	84.4179	KIRREL	845.283
KISS1R	11.2557	removed	removed
KITLG	4958.4945	KITLG	1097.1698
KIT	198.7337	KIT	9947.6415
KLB	9.497	KLB	265.0943
KLC1	1073.5139	KLC1	1450
KLC2	1074.2174	KLC2	464.1509
KLC3	135.0686	KLC3	204.717
KLC4	828.7795	KLC4	545.7689
KLF10	1902.216	KLF10	4399.5283
KLF11	472.7401	KLF11	1096.2264
KLF12	159.3387	KLF12	547.1698
KLF13	771.0165	KLF13	2945.283
removed	removed	KLF14	6.1321
KLF15	5.2761	KLF15	87.7358
KLF16	252.1984	KLF16	448.1132
removed	removed	KLF17	18.3962
KLF2	132.2547	KLF2	920.7547
KLF3	1300.0352	KLF3	1481.0896
KLF4	403.4471	KLF4	3627.8302
KLF5	122.0542	KLF5	1305.1887
KLF6	1603.236	KLF6	11384.434
KLF7	58.0373	KLF7	169.8113
KLF8	344.0028	KLF8	544.3396
KLF9	708.7584	KLF9	1719.3396
KLHDC10	830.4608	KLHDC10	930.1887
KLHDC1	21.1045	KLHDC1	136.7925
KLHDC2	635.2445	KLHDC2	1197.6415
KLHDC3	2026.3806	KLHDC3	1992.9245
KLHDC4	136.1238	KLHDC4	126.6509
KLHDC5	824.4812	KLHDC5	1227.8302
KLHDC7A	90.0457	KLHDC7A	262.7358
KLHDC7B	75.6243	KLHDC7B	59.9057
KLHDC8A	14.4214	KLHDC8A	37.7358
KLHDC8B	332.0436	KLHDC8B	741.0377
KLHDC9	179.0362	KLHDC9	87.7358
removed	removed	KLHL10	5.6604
KLHL11	134.7168	KLHL11	75.9434
KLHL12	1724.5867	KLHL12	915.566
KLHL13	51.3542	KLHL13	1460.3774
removed	removed	KLHL14	42.9245
KLHL15	189.5885	KLHL15	500.4717
KLHL17	70.7	KLHL17	42.4528
KLHL18	681.3225	KLHL18	484.9057
KLHL20	621.8783	KLHL20	498.5849
KLHL21	538.5157	KLHL21	2543.8679
KLHL22	398.8744	KLHL22	407.5472
KLHL23	125.9761	KLHL23	162.9009
KLHL24	1358.0725	KLHL24	1434.9057
KLHL25	224.4108	KLHL25	300.4717
KLHL26	231.7974	KLHL26	258.4906
KLHL28	372.4938	KLHL28	390.566
KLHL29	20.7527	KLHL29	655.6604
KLHL2	104.8189	KLHL2	716.0377
removed	removed	KLHL30	16.9811
KLHL31	15.1249	KLHL31	188.6038
removed	removed	KLHL32	15.0943
removed	removed	KLHL34	8.9623
KLHL35	88.9905	KLHL35	33.0189
KLHL36	96.7288	KLHL36	203.7736
KLHL38	57.3338	KLHL38	8.4906
KLHL3	61.203	KLHL3	282.5472
removed	removed	KLHL4	63.2075
KLHL5	260.9919	KLHL5	797.1698
KLHL6	170.5944	KLHL6	85.8491
KLHL7	674.2877	KLHL7	695.283
KLHL8	332.3954	KLHL8	352.8302
KLHL9	936.3349	KLHL9	1765.566
removed	removed	KLK10	500.4717
removed	removed	KLK11	554.2453
removed	removed	KLK13	42.9245
removed	removed	KLK14	201.4151
removed	removed	KLK1	7.0755
removed	removed	KLK2	28.7736
removed	removed	KLK3	200
KLK4	33.0637	KLK4	20.283
removed	removed	KLK5	1931.1321
removed	removed	KLK6	446.2264
removed	removed	KLK7	864.1509
removed	removed	KLK8	226.4151
removed	removed	KLKB1	10.3774
KLRA1	9.1453	KLRA1	67.9245
KLRAQ1	459.3739	KLRAQ1	533.0189
KLRB1	6.6831	KLRB1	61.7925
removed	removed	KLRC1	8.0189
KLRD1	16.8836	KLRD1	40.0943
removed	removed	KLRF1	14.1509
KLRG1	8.09	KLRG1	16.0377
KLRG2	143.5104	KLRG2	25.9434
KLRK1	16.1801	KLRK1	64.5094
KL	10.2005	KL	185.3774
KMO	512.6627	KMO	16.5
removed	removed	KNDC1	31.1321
KNTC1	1049.2051	KNTC1	435.3774
KPNA1	2813.2255	KPNA1	1681.1321
KPNA2	6019.6975	KPNA2	1123.1132
KPNA3	901.8642	KPNA3	952.8302
KPNA4	2327.8227	KPNA4	1655.6604
KPNA5	90.7492	KPNA5	188.6792
KPNA6	2157.58	KPNA6	2223.1132
KPNB1	7192.0507	KPNB1	3795.283
KPTN	245.5153	KPTN	123.1132
KRAS	787.5484	KRAS	1019.8113
KRBA1	80.197	KRBA1	234.9057
KRBA2	52.7612	KRBA2	91.5094
KRCC1	359.1277	KRCC1	850
KREMEN1	842.0682	KREMEN1	1018.3962
KREMEN2	69.6447	KREMEN2	9.9057
KRI1	912.5044	KRI1	632.3443
KRIT1	829.0538	KRIT1	832.5472
KRR1	906.6022	KRR1	934.9198
KRT10	448.1182	KRT10	232.5472
removed	removed	KRT13	8.9623
KRT14	21.4562	KRT14	28141.5094
KRT15	134.7168	KRT15	24280.6604
KRT16	219.8382	KRT16	796.6981
KRT17	64.0169	KRT17	32651.4151
KRT18	28181.7728	KRT18	8272.9858
KRT19	54967.9916	KRT19	11543.3962
removed	removed	KRT1	24.5283
KRT222	86.8801	KRT222	66.0377
KRT23	721.0693	KRT23	4515.0943
KRT32	6.6831	KRT32	28.3019
KRT33A	5.2761	removed	removed
KRT37	17.2001	removed	removed
KRT40	7.3866	KRT40	18.3962
KRT5	31.305	KRT5	36934.9057
KRT6A	19.6975	KRT6A	63.2075
KRT6B	42.2089	KRT6B	2379.2453
removed	removed	KRT6C	60.8491
removed	removed	KRT79	6.1321
KRT7	9072.1069	KRT7	12381.6038
KRT80	1093.9149	KRT80	1008.4906
KRT81	20.0492	KRT81	889.6226
removed	removed	KRT83	5.1887
KRT86	19.3458	KRT86	23.5849
KRT8	56505.1776	KRT8	12220.8821
removed	removed	KRT9	10.8491
removed	removed	KRTAP3-3	7.5472
KRTCAP2	2254.3088	KRTCAP2	1080.1887
KRTCAP3	90.7492	KRTCAP3	277.8302
KSR1	160.7457	KSR1	458.4906
removed	removed	KSR2	81.6038
KTELC1	441.0834	KTELC1	395.7547
KTI12	148.4348	KTI12	101.8868
KTN1	6447.4147	KTN1	5698.5849
KYNU	293.0004	KYNU	174.5283
removed	removed	KY	337.2642
L1CAM	10.2005	L1CAM	176.4151
L1TD1	11.9592	L1TD1	26.8868
L2HGDH	290.1864	L2HGDH	159.9057
L3MBTL2	1440.5909	L3MBTL2	822.4198
L3MBTL3	102.3567	L3MBTL3	246.2264
L3MBTL4	10.904	L3MBTL4	199.5283
L3MBTL	112.2054	L3MBTL	141.0094
LACE1	47.1333	LACE1	44.3396
removed	removed	LACRT	116.5094
LACTB2	791.0658	LACTB2	202.3585
LACTB	323.9536	LACTB	232.0755
LAD1	182.2019	LAD1	763.2075
LAG3	119.9437	LAG3	36.7925
LAGE3	650.7211	LAGE3	179.2453
LAIR1	523.7425	LAIR1	319.8113
removed	removed	LALBA	53.7736
LAMA1	165.6701	LAMA1	274.0566
LAMA2	249.3845	LAMA2	2310.3632
LAMA3	140.6964	LAMA3	6247.1698
LAMA4	1974.6746	LAMA4	2485.8491
LAMA5	564.1928	LAMA5	2737.2642
LAMB1	3164.9666	LAMB1	3175
LAMB2L	16.1801	LAMB2L	30.1887
LAMB2	4275.765	LAMB2	8833.0189
LAMB3	162.1527	LAMB3	4882.0755
LAMC1	2358.4242	LAMC1	7312.2642
LAMC2	34.8224	LAMC2	9393.8679
LAMC3	36.9328	LAMC3	35.8491
LAMP1	4330.6367	LAMP1	6970.7547
LAMP2	5704.8892	LAMP2	6016.5094
LAMP3	108.688	LAMP3	136.7925
LANCL1	2694.337	LANCL1	2175.4717
LANCL2	275.0616	LANCL2	606.1321
removed	removed	LANCL3	11.3208
LAP3	2205.7686	LAP3	2031.1321
LAPTM4A	6786.4931	LAPTM4A	7937.2642
LAPTM4B	7445.3043	LAPTM4B	2748.1132
LAPTM5	4441.0834	LAPTM5	2627.8302
LARGE	832.923	LARGE	597.1698
LARP1B	567.0067	LARP1B	434.9057
LARP1	6090.3975	LARP1	3599.0566
LARP4B	1329.9332	LARP4B	1344.3396
LARP4	1843.8269	LARP4	1069.8113
LARP6	69.9965	LARP6	335.3774
LARP7	797.7489	LARP7	1050.9434
LARS2	925.4309	LARS2	441.5094
LARS	5294.0556	LARS	3050.9434
LAS1L	935.2796	LAS1L	828.7736
LASP1	4449.1734	LASP1	5010.3774
removed	removed	LASS1	9.1604
LASS2	6806.5424	LASS2	3830.6604
removed	removed	LASS3	7.0755
LASS4	1983.4682	LASS4	961.3208
LASS5	778.4031	LASS5	802.3585
LASS6	4591.7341	LASS6	1350.9764
LAT2	174.8153	LAT2	169.8113
