gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
NDUFV3	794.2461	NDUFV3	493.2897
NEAT1	2552.6007	NEAT1	9097.7491
NEBL	3344.5136	NEBL	3559.9704
removed	removed	NEB	23.6711
NECAB1	38.7323	NECAB1	117.933
NECAB3	558.5856	NECAB3	232.9071
NECAP1	526.8531	NECAP1	777.766
NECAP2	1624.8914	NECAP2	1126.4927
NEDD1	624.8505	NEDD1	661.1011
NEDD4L	785.8464	NEDD4L	2666.3849
NEDD4	600.5845	NEDD4	644.6159
NEDD8	1879.2181	NEDD8	1034.767
NEDD9	2758.8621	NEDD9	5598.2247
NEFH	103.5973	NEFH	76.9312
NEFL	5.5999	removed	removed
NEFM	10.2664	removed	removed
NEGR1	315.4585	NEGR1	177.9563
NEIL1	111.0638	NEIL1	109.479
NEIL2	461.5214	NEIL2	300.1162
NEIL3	17.7329	NEIL3	6.3405
NEK10	383.5901	NEK10	120.0465
NEK11	554.3857	NEK11	327.169
NEK1	438.6553	NEK1	647.1521
NEK2	363.9906	NEK2	44.3834
NEK3	127.8634	NEK3	155.5532
NEK4	433.0555	NEK4	509.3522
NEK5	54.5986	NEK5	11.8356
NEK6	1175.503	NEK6	1052.0976
NEK7	769.5135	NEK7	1151.4319
NEK8	93.7976	NEK8	94.6846
NEK9	2238.5422	NEK9	2843.4957
NELF	770.4468	NELF	959.5266
NELL2	76.998	NELL2	104.8293
NENF	2031.8142	NENF	809.8912
NEO1	3007.589	NEO1	3613.2305
NES	1422.3633	NES	6554.3697
NET1	4085.0945	NET1	4142.4495
NETO1	32.1992	removed	removed
NETO2	111.5305	NETO2	546.127
NEU1	1914.6839	NEU1	995.0333
NEU3	81.6646	NEU3	136.1091
NEURL1B	568.3853	NEURL1B	788.7562
NEURL2	17.9802	NEURL2	34.5852
NEURL3	23.3327	NEURL3	85.8079
NEURL4	289.0365	NEURL4	411.4382
NEURL	53.6653	NEURL	44.8061
removed	removed	NEUROG2	25.3619
NEXN	386.39	NEXN	492.867
NF1	1917.9505	NF1	3773.4334
NF2	883.8438	NF2	825.9537
NFAM1	364.9239	NFAM1	110.3244
NFASC	236.1972	NFASC	1376.4303
NFAT5	736.8476	NFAT5	3658.882
NFATC1	600.5845	NFATC1	906.6892
NFATC2IP	936.5758	NFATC2IP	780.3022
NFATC2	36.3991	NFATC2	758.3219
NFATC3	522.6532	NFATC3	1043.6437
NFATC4	672.4493	NFATC4	600.6552
NFE2L1	8303.6522	NFE2L1	6719.2222
NFE2L2	2383.4758	NFE2L2	3236.9058
NFE2L3	979.508	NFE2L3	395.6462
NFIA	2611.3992	NFIA	2069.9567
NFIB	3817.2347	NFIB	9253.3023
NFIC	1520.3607	NFIC	1175.5257
NFIL3	624.3839	NFIL3	1054.6338
NFIX	1786.3539	NFIX	4719.4336
NFKB1	2029.4809	NFKB1	1924.5482
NFKB2	1385.4975	NFKB2	835.2531
NFKBIA	5420.66	NFKBIA	4898.6579
NFKBIB	406.4562	NFKBIB	168.2342
NFKBID	16.3329	NFKBID	13.1037
NFKBIE	663.1162	NFKBIE	202.4728
NFKBIL1	641.6501	NFKBIL1	286.5899
NFKBIL2	225.8608	NFKBIL2	125.9643
NFKBIZ	97.5308	NFKBIZ	695.7624
NFRKB	703.2485	NFRKB	892.3174
NFS1	491.854	NFS1	484.8357
NFU1	527.3197	NFU1	483.5676
NFX1	1268.3672	NFX1	1448.5892
NFXL1	158.1959	NFXL1	265.0322
NFYA	958.0419	NFYA	901.6168
NFYB	702.7818	NFYB	740.1458
NFYC	976.4561	NFYC	1052.4992
NGDN	480.6542	NGDN	426.0805
NGEF	119.9302	NGEF	59.6005
NGFRAP1	1270.2339	NGFRAP1	933.3192
NGFR	786.313	NGFR	2466.871
NGF	10.7331	removed	removed
NGLY1	675.7159	NGLY1	585.0153
NGRN	2721.8004	NGRN	2206.0657
NHEDC1	5.1332	removed	removed
NHEDC2	146.5295	NHEDC2	253.6194
NHEJ1	187.1285	NHEJ1	249.8151
removed	removed	NHLH1	6.3405
NHLRC1	79.7979	NHLRC1	72.7042
NHLRC2	151.1961	NHLRC2	265.8776
NHLRC3	492.3206	NHLRC3	519.0743
NHLRC4	117.1303	NHLRC4	30.0116
NHP2L1	2500.8021	NHP2L1	1930.0433
NHP2	1705.6226	NHP2	1000.1057
NHSL1	182.9286	NHSL1	445.9474
NHSL2	27.066	NHSL2	124.2735
NHS	429.3222	NHS	335.623
NICN1	213.7278	NICN1	417.3983
NID1	4237.0465	NID1	4984.9181
NID2	1895.0844	NID2	491.1762
NIF3L1	401.7896	NIF3L1	452.2879
NINJ1	4054.2953	NINJ1	1403.3605
NINJ2	206.2893	NINJ2	31.2797
NINL	197.3949	NINL	231.639
NIN	931.9093	NIN	1490.8591
NIP7	359.3241	NIP7	672.0913
NIPA1	360.2574	NIPA1	257.001
NIPA2	915.5763	NIPA2	828.9126
NIPAL1	32.6658	NIPAL1	96.3754
NIPAL2	354.6575	NIPAL2	399.4505
NIPAL3	663.1162	NIPAL3	1028.4265
NIPAL4	5.1332	NIPAL4	5.9178
NIPBL	1701.4227	NIPBL	2981.7183
NIPSNAP1	2404.2046	NIPSNAP1	1367.8537
NIPSNAP3A	361.6573	NIPSNAP3A	470.0412
NIPSNAP3B	14.9329	NIPSNAP3B	87.5029
NISCH	1700.4894	NISCH	2963.1195
NIT1	958.0839	NIT1	472.8564
NIT2	896.4435	NIT2	688.1539
NKAIN1	561.3855	NKAIN1	27.0527
NKAIN2	5.1332	NKAIN2	79.0447
NKAIN4	13.9996	removed	removed
NKAPL	11.1997	NKAPL	13.5264
NKAP	333.1914	NKAP	288.2807
NKD1	29.8659	NKD1	24.5165
NKD2	356.0575	NKD2	105.6747
NKG7	142.3297	NKG7	62.5594
NKIRAS1	161.9292	NKIRAS1	181.7605
NKIRAS2	818.0455	NKIRAS2	768.4667
NKPD1	12.5997	NKPD1	28.7435
NKRF	225.8608	NKRF	388.883
NKTR	719.5814	NKTR	2762.7602
NKX3-1	139.5297	NKX3-1	164.4299
NKX3-2	34.0658	removed	removed
NKX6-1	7.4665	removed	removed
NKX6-3	14.9329	removed	removed
NLE1	437.2554	NLE1	385.9241
NLGN1	139.5297	NLGN1	69.7453
NLGN2	737.7809	NLGN2	810.3139
NLGN3	31.7325	NLGN3	94.2619
NLGN4X	130.1966	NLGN4X	488.2173
NLK	310.792	NLK	371.9751
NLN	481.5876	NLN	592.2012
NLRC3	123.1968	NLRC3	128.9232
NLRC4	28.4659	NLRC4	30.857
NLRC5	510.5201	NLRC5	621.3674
NLRP12	7.4665	removed	removed
NLRP1	165.1957	NLRP1	413.3996
NLRP2	7.4665	NLRP2	125.9643
NLRP3	97.9975	NLRP3	117.933
removed	removed	NLRP5	50.3012
NLRP6	8.3998	removed	removed
NLRX1	542.2527	NLRX1	552.4675
removed	removed	NMBR	6.7632
NMB	74.1981	NMB	115.8195
NMD3	787.2463	NMD3	1244.8484
NME1-NME2	103.6673	NME1-NME2	42.6588
NME1	1888.4812	NME1	720.3804
NME2P1	146.0629	NME2P1	49.8785
NME2	9442.2894	NME2	4687.6635
NME3	1815.2864	NME3	366.48
NME4	3327.714	NME4	866.5328
NME5	262.2599	NME5	105.6747
NME6	196.4616	NME6	158.5121
NME7	518.0193	NME7	206.294
NMI	669.1827	NMI	316.1788
NMNAT1	206.728	NMNAT1	213.8857
NMNAT2	56.9319	NMNAT2	160.6256
NMNAT3	216.9944	NMNAT3	190.6372
NMRAL1	1288.4334	NMRAL1	432.8437
NMT1	2380.4052	NMT1	2549.2973
NMT2	225.8608	NMT2	547.3951
NMUR1	6.9998	NMUR1	54.5282
NMU	21.9328	removed	removed
NNAT	19.1328	NNAT	61.714
NNMT	4977.3381	NNMT	2980.4502
NNT	725.1813	NNT	990.3836
NOB1	1033.1733	NOB1	1547.0781
NOC2L	2181.335	NOC2L	1191.8292
NOC3L	395.2565	NOC3L	632.3576
NOC4L	429.3222	NOC4L	223.6077
NOD1	323.8583	NOD1	495.4031
NOD2	56.4652	NOD2	87.076
removed	removed	NODAL	5.4951
NOG	6.5332	NOG	8.8767
NOL10	717.2481	NOL10	612.4908
NOL11	986.9745	NOL11	1015.7455
NOL12	307.992	NOL12	176.2655
NOL3	343.9104	NOL3	333.9322
removed	removed	NOL4	18.1761
NOL6	1304.7663	NOL6	1388.1433
NOL7	637.4502	NOL7	532.6007
NOL8	985.4672	NOL8	783.6838
NOL9	121.7969	NOL9	261.6506
NOLC1	2874.1258	NOLC1	2875.1981
NOM1	385.9234	NOM1	488.2173
NOMO1	5230.2649	NOMO1	3360.4565
NOMO2	1287.0334	NOMO2	1116.3479
NOMO3	2016.8812	NOMO3	1262.6017
NONO	7325.0774	NONO	6726.8308
NOP10	1059.7726	NOP10	491.5989
NOP14	1135.5853	NOP14	1156.238
NOP16	265.5265	NOP16	164.8526
NOP2	660.7829	NOP2	612.9135
NOP56	1906.2841	NOP56	1554.6867
NOP58	1315.966	NOP58	1542.8511
NOS1AP	103.1307	NOS1AP	270.1046
NOS2	5.1332	NOS2	10.5675
NOS3	324.7449	NOS3	157.3793
NOSIP	708.8484	NOSIP	349.9947
NOSTRIN	362.5906	NOSTRIN	380.8517
NOTCH1	1127.4375	NOTCH1	1227.5177
NOTCH2NL	1169.6978	NOTCH2NL	642.5151
NOTCH2	4819.6088	NOTCH2	8543.1681
NOTCH3	5418.7933	NOTCH3	3669.8721
NOTCH4	523.5865	NOTCH4	908.38
NOTUM	16.7996	removed	removed
NOVA1	66.265	NOVA1	478.0725
NOVA2	30.7992	NOVA2	33.8159
NOV	174.0622	NOV	383.8106
NOX4	396.6564	NOX4	26.63
NOX5	8.9831	NOX5	17.7829
NOXA1	282.7927	NOXA1	89.6122
NOXO1	6.9998	NOXO1	8.454
NPAS1	38.7323	removed	removed
NPAS2	493.7206	NPAS2	525.4148
NPAS3	57.3985	NPAS3	246.0108
NPAT	346.7244	NPAT	631.0895
removed	removed	NPB	5.4951
NPC1L1	25.666	NPC1L1	37.1975
NPC1	871.4775	NPC1	1720.3551
NPC2	3623.1064	NPC2	3165.5923
NPDC1	3186.3177	NPDC1	1182.7116
NPEPL1	570.2519	NPEPL1	471.3093
NPEPPS	2304.8071	NPEPPS	2238.6135
NPFFR2	22.3994	NPFFR2	19.4442
NPFF	6.9998	NPFF	6.7632
NPHP1	163.3291	NPHP1	157.6667
NPHP3	247.3269	NPHP3	991.229
NPHP4	314.5252	NPHP4	315.3334
NPHS1	15.3996	removed	removed
NPIPL3	462.94	NPIPL3	577.4997
NPIP	434.0728	NPIP	731.0282
NPLOC4	1938.9499	NPLOC4	2020.0782
NPL	113.8637	NPL	68.0545
NPM1	12221.6843	NPM1	9533.5517
NPM2	6.5332	NPM2	30.857
NPM3	461.9881	NPM3	242.2065
NPNT	1524.5606	NPNT	716.4747
NPPC	5.5999	removed	removed
NPR1	265.9931	NPR1	870.7598
NPR2	246.8603	NPR2	386.7695
NPR3	48.5321	NPR3	30.0116
NPRL2	485.6381	NPRL2	248.9697
NPRL3	1418.63	NPRL3	804.3961
NPTN	2368.2722	NPTN	2744.5842
NPTX1	15.3996	NPTX1	272.2181
NPTX2	72.7981	NPTX2	10.1448
NPTXR	823.6454	NPTXR	560.4988
NPW	13.533	removed	removed
NPY1R	912.7764	NPY1R	323.7874
removed	removed	NPY2R	25.3619
NPY5R	5.5999	NPY5R	11.4129
NQO1	1573.0927	NQO1	1372.5034
NQO2	499.7871	NQO2	273.9089
NR1D1	548.6132	NR1D1	574.3802
NR1D2	1048.1063	NR1D2	2159.5688
NR1H2	1216.1019	NR1H2	907.9573
NR1H3	618.3174	NR1H3	464.9688
removed	removed	NR1I2	7.6086
NR1I3	9.5758	removed	removed
NR2C1	211.3945	NR2C1	412.1315
NR2C2AP	461.1014	NR2C2AP	204.3834
NR2C2	672.5846	NR2C2	1673.3129
removed	removed	NR2E3	11.8356
NR2F1	214.1945	NR2F1	637.43
NR2F2	1801.7535	NR2F2	989.1155
NR2F6	1469.0287	NR2F6	525.4148
NR3C1	1352.3651	NR3C1	3458.1
NR3C2	112.4638	NR3C2	959.9493
NR4A1	1559.5597	NR4A1	2258.0577
NR4A2	209.5279	NR4A2	264.1868
NR4A3	72.3315	NR4A3	155.5532
NR5A2	78.8646	NR5A2	139.4906
removed	removed	NR6A1	5.4951
NRARP	442.3886	NRARP	84.5398
NRAS	1279.1003	NRAS	1387.7206
NRBF2	443.3219	NRBF2	403.2548
NRBP1	2658.998	NRBP1	1927.0844
NRBP2	384.5234	NRBP2	1065.624
NRCAM	61.5984	NRCAM	155.5532
NRD1	3330.0473	NRD1	2692.1695
NRF1	413.9226	NRF1	497.9393
NRG1	34.5324	NRG1	745.6409
NRG2	10.2664	NRG2	283.2083
NRG3	8.3998	NRG3	20.2895
NRGN	48.5321	NRGN	55.7963
NRIP1	4009.9631	NRIP1	2609.3205
NRIP2	90.0643	NRIP2	196.1323
NRIP3	46.6655	NRIP3	164.4299
NRK	73.7314	NRK	210.0814
NRL	22.4321	NRL	21.5576
NRM	392.4565	NRM	288.2807
NRN1	203.9281	NRN1	374.0886
NRP1	2704.2635	NRP1	3145.3028
NRP2	1289.3667	NRP2	1461.2702
removed	removed	NRSN1	12.681
NRSN2	1049.9729	NRSN2	582.4791
NRTN	10.2664	NRTN	7.6086
removed	removed	NRXN1	37.6202
NRXN2	216.5277	NRXN2	185.1421
NRXN3	14.9329	NRXN3	145.4084
NSA2	2030.4142	NSA2	1659.516
NSD1	1767.6877	NSD1	2954.2428
NSDHL	562.7855	NSDHL	390.1511
NSFL1C	1545.5601	NSFL1C	1293.4587
NSF	1120.9044	NSF	951.4953
NSL1	739.1809	NSL1	583.7472
NSMAF	625.7838	NSMAF	822.8342
NSMCE1	1605.7585	NSMCE1	785.3746
NSMCE2	257.1267	NSMCE2	220.6488
NSMCE4A	474.1211	NSMCE4A	630.2441
NSUN2	1218.4352	NSUN2	1321.3569
NSUN3	116.0757	NSUN3	114.5514
NSUN4	737.7809	NSUN4	814.5408
NSUN5P1	30.3325	NSUN5P1	92.9938
NSUN5P2	86.5224	NSUN5P2	250.9944
NSUN5	544.1193	NSUN5	294.1985
NSUN6	222.1276	NSUN6	284.8991
NSUN7	84.9311	NSUN7	144.563
NT5C2	891.3103	NT5C2	1862.8342
NT5C3L	733.581	NT5C3L	648.4202
NT5C3	743.3808	NT5C3	428.194
NT5C	448.4551	NT5C	220.6488
NT5DC1	533.3862	NT5DC1	895.2763
NT5DC2	552.4351	NT5DC2	627.2852
NT5DC3	324.325	NT5DC3	1027.5811
NT5E	420.4558	NT5E	699.5667
NT5M	51.7987	NT5M	55.3736
NTAN1	808.7124	NTAN1	437.0707
NTF3	27.9993	NTF3	32.5478
NTF4	14.8676	NTF4	75.773
NTHL1	347.191	NTHL1	82.849
NTM	489.054	NTM	94.6846
NTN1	416.7226	NTN1	278.5586
NTN4	4788.343	NTN4	4854.2745
removed	removed	NTN5	37.1975
NTNG2	39.6656	NTNG2	5.4951
NTRK1	16.7996	NTRK1	12.2583
NTRK2	1625.8247	NTRK2	15634.7881
NTRK3	83.5312	NTRK3	475.5363
NUAK1	641.6501	NUAK1	298.8481
NUAK2	304.7255	NUAK2	53.2601
NUB1	1842.7444	NUB1	1480.1564
NUBP1	642.8121	NUBP1	291.7426
NUBP2	1259.9675	NUBP2	398.6051
NUBPL	361.6573	NUBPL	324.2101
NUCB1	6140.2414	NUCB1	4191.9053
NUCB2	2739.1179	NUCB2	1441.4034
NUCKS1	9986.8753	NUCKS1	9670.0835
NUDCD1	358.8574	NUDCD1	430.3075
NUDCD2	387.79	NUDCD2	237.1341
NUDCD3	2246.0086	NUDCD3	2023.8825
NUDC	2786.8613	NUDC	1266.8287
NUDT10	60.6651	NUDT10	43.1153
NUDT11	55.0652	NUDT11	63.4048
NUDT12	424.6557	NUDT12	366.9027
NUDT13	53.6653	NUDT13	75.5828
NUDT14	285.5926	NUDT14	154.7078
NUDT15	340.9845	NUDT15	439.6745
NUDT16L1	1179.2362	NUDT16L1	277.2905
NUDT16P1	63.9317	NUDT16P1	99.7569
NUDT16	723.3146	NUDT16	894.8536
NUDT17	28.4659	NUDT17	42.6926
NUDT18	325.2583	NUDT18	100.1796
NUDT19	456.8549	NUDT19	377.4701
NUDT1	209.5279	NUDT1	86.2306
NUDT21	1599.2254	NUDT21	2868.8577
NUDT22	504.505	NUDT22	179.7274
NUDT2	471.7878	NUDT2	220.2261
NUDT3	532.4529	NUDT3	321.6739
NUDT4	723.3146	NUDT4	987.002
NUDT5	659.355	NUDT5	414.469
NUDT6	92.8456	NUDT6	37.4258
NUDT7	69.0649	NUDT7	145.8311
NUDT8	39.6656	NUDT8	65.5183
removed	removed	NUDT9P1	6.3405
NUDT9	1007.0407	NUDT9	411.2861
NUF2	112.4638	NUF2	26.2073
NUFIP1	201.1281	NUFIP1	328.8598
NUFIP2	2115.3454	NUFIP2	2790.6584
NUMA1	9200.553	NUMA1	8554.7416
NUMBL	435.8554	NUMBL	396.4916
NUMB	1553.4932	NUMB	1781.676
NUP107	770.4468	NUP107	921.4837
NUP133	2240.4088	NUP133	1711.9307
NUP153	1082.172	NUP153	2461.3759
NUP155	548.3192	NUP155	721.1244
NUP160	874.0441	NUP160	1510.726
NUP188	1333.2322	NUP188	1740.2515
NUP205	1138.1706	NUP205	1807.4606
NUP210	2156.8776	NUP210	1415.6187
NUP214	1457.829	NUP214	1836.6269
NUP35	253.8601	NUP35	358.4487
NUP37	367.2572	NUP37	266.723
NUP43	437.722	NUP43	907.9573
NUP50	1108.7714	NUP50	1136.2147
NUP54	644.45	NUP54	849.2022
NUP62CL	8.8664	NUP62CL	19.8668
NUP62	1616.5476	NUP62	1155.6039
NUP85	624.8505	NUP85	668.7097
NUP88	437.988	NUP88	1081.6063
NUP93	640.7168	NUP93	801.8599
NUP98	2316.4735	NUP98	3826.6934
NUPL1	829.7119	NUPL1	1152.2773
NUPL2	289.3259	NUPL2	465.3915
NUPR1	2659.9313	NUPR1	976.0118
NUS1	679.9158	NUS1	1275.7054
NUSAP1	342.9911	NUSAP1	192.328
NUTF2	1284.7001	NUTF2	1301.49
NVL	1062.1059	NVL	528.3737
NWD1	7.4665	NWD1	56.219
NXF1	1346.7652	NXF1	2231.8504
NXNL2	47.5988	NXNL2	11.4129
NXN	998.6409	NXN	863.9966
removed	removed	NXPH1	6.3405
NXPH3	288.3925	NXPH3	118.3557
NXPH4	27.066	NXPH4	30.4343
NXT1	322.925	NXT1	265.4549
NXT2	430.2556	NXT2	346.1904
NYNRIN	382.1901	NYNRIN	651.8018
OAF	953.842	OAF	880.0592
OAS1	1237.1014	OAS1	429.0394
OAS2	3371.1129	OAS2	1049.5614
OAS3	3435.0446	OAS3	1697.5589
OASL	439.122	OASL	41.0018
OAT	5608.7218	OAT	4857.6561
OAZ1	9535.6203	OAZ1	5309.944
OAZ2	2003.3482	OAZ2	1675.1559
OAZ3	150.5054	OAZ3	34.8727
OBFC1	636.0502	OBFC1	813.2727
OBFC2A	218.3944	OBFC2A	207.1225
OBFC2B	863.311	OBFC2B	434.5345
OBP2A	48.5321	removed	removed
OBP2B	841.3783	OBP2B	31.2797
OBSCN	322.925	OBSCN	1143.7219
OBSL1	908.1099	OBSL1	1634.9995
removed	removed	OCA2	23.2484
OCEL1	345.3244	OCEL1	129.3459
OCIAD1	3006.189	OCIAD1	2603.8254
OCIAD2	741.9808	OCIAD2	465.8142
OCLN	437.722	OCLN	503.8571
OCRL	1044.8397	OCRL	1200.0423
removed	removed	ODAM	16.4853
ODC1	751.3139	ODC1	1392.793
ODF2L	530.1196	ODF2L	560.4988
ODF2	1345.3652	ODF2	761.7035
ODF3B	353.7242	ODF3B	153.017
removed	removed	ODF3L1	21.1349
ODZ1	9.7997	ODZ1	94.6846
ODZ2	403.6562	ODZ2	969.6714
ODZ3	322.925	ODZ3	235.0206
ODZ4	504.9203	ODZ4	189.7918
OFD1	896.9102	OFD1	1664.1657
OGDH	2100.4124	OGDH	2330.3392
OGFOD1	707.4484	OGFOD1	997.5695
OGFOD2	229.9721	OGFOD2	134.8705
OGFRL1	400.8563	OGFRL1	2016.6966
OGFR	1308.9662	OGFR	496.6712
OGG1	320.1251	OGG1	256.5783
OGN	619.7173	OGN	1673.8878
OGT	1510.0943	OGT	5043.6437
OIP5	40.5943	OIP5	34.9783
OLA1	2984.7229	OLA1	1839.5858
removed	removed	OLAH	7.1859
OLFM1	177.3288	OLFM1	503.0117
OLFM2	438.1887	OLFM2	281.0948
OLFM4	236.1272	OLFM4	1206.3828
OLFML1	510.0535	OLFML1	527.5283
OLFML2A	1197.9024	OLFML2A	2068.2659
OLFML2B	2525.5348	OLFML2B	677.5864
OLFML3	1804.5534	OLFML3	1793.9343
OLR1	248.2603	OLR1	24.5165
OMA1	550.1858	OMA1	372.3978
OMD	494.6539	OMD	396.9143
removed	removed	OMG	8.8767
removed	removed	ONECUT2	10.5675
OPA1	1379.8977	OPA1	2041.2131
OPA3	473.6544	OPA3	585.438
OPCML	8.8664	OPCML	12.681
OPHN1	159.1292	OPHN1	563.4577
OPLAH	380.3235	OPLAH	264.6095
OPN3	735.4477	OPN3	362.6926
OPRL1	110.5971	OPRL1	56.6417
OPTN	2041.1473	OPTN	1626.1228
OR2A1	6.9998	OR2A1	10.9902
OR2A4	34.0658	OR2A4	123.4281
OR2A7	142.3297	OR2A7	437.9161
OR2A9P	194.595	OR2A9P	335.2003
removed	removed	OR2L13	31.7024
removed	removed	OR2L2	5.4951
OR2W3	16.3329	OR2W3	7.5748
OR51E1	41.5323	OR51E1	10.5675
OR51E2	10.7331	OR51E2	5.4951
removed	removed	OR52N4	5.0724
removed	removed	OR5P2	5.4951
OR6B3	6.5332	removed	removed
removed	removed	OR7A5	24.9392
removed	removed	OR7C1	15.6399
ORAI1	523.1198	ORAI1	371.5524
ORAI2	1745.8296	ORAI2	617.2123
ORAI3	1128.3709	ORAI3	333.9322
ORAOV1	147.4629	ORAOV1	250.2378
ORC1L	63.465	ORC1L	49.4558
ORC2L	396.6564	ORC2L	471.732
ORC3L	389.6566	ORC3L	632.3576
ORC4L	519.3866	ORC4L	545.2816
ORC5L	461.9881	ORC5L	386.3468
ORC6L	24.266	ORC6L	46.4969
ORM1	1866.6184	ORM1	16.0626
ORM2	720.5147	removed	removed
ORMDL1	397.1231	ORMDL1	533.0234
ORMDL2	835.7457	ORMDL2	397.2651
ORMDL3	1964.1493	ORMDL3	1703.054
OS9	7808.065	OS9	4850.0476
OSBP2	134.3965	OSBP2	90.0349
OSBPL10	331.7914	OSBPL10	440.0296
OSBPL11	325.2583	OSBPL11	543.1681
OSBPL1A	1827.8861	OSBPL1A	2334.9889
OSBPL2	816.1789	OSBPL2	881.3273
OSBPL3	314.5252	OSBPL3	629.8214
OSBPL5	1532.0271	OSBPL5	574.4478
OSBPL6	182.9286	OSBPL6	68.0545
OSBPL7	147.9295	OSBPL7	336.891
OSBPL8	982.308	OSBPL8	2026.8414
OSBPL9	1639.8243	OSBPL9	2792.7718
OSBP	1987.0153	OSBP	2435.5913
OSCAR	87.7311	OSCAR	21.5576
OSCP1	476.921	OSCP1	243.0519
OSGEPL1	193.6617	OSGEPL1	196.1323
OSGEP	404.5895	OSGEP	275.5997
OSGIN1	49.932	OSGIN1	68.4772
OSGIN2	746.6474	OSGIN2	617.9858
OSMR	1318.2993	OSMR	1732.2202
OSM	27.9993	removed	removed
OSR1	253.8601	OSR1	1321.3569
OSR2	114.3304	OSR2	107.7882
OST4	2757.8821	OST4	1291.3326
OSTC	2031.8142	OSTC	1223.2907
OSTF1	639.7835	OSTF1	576.984
OSTM1	371.9237	OSTM1	546.5497
OSTalpha	219.3277	OSTalpha	16.0626
OTOA	10.7331	OTOA	6.7632
OTOF	5.5999	OTOF	22.8257
OTUB1	1827.8861	OTUB1	1342.4918
OTUB2	113.3971	OTUB2	56.6417
OTUD1	307.5254	OTUD1	365.6346
OTUD3	136.7298	OTUD3	458.2056
OTUD4	781.1798	OTUD4	1479.0236
OTUD5	1531.5604	OTUD5	1084.2228
OTUD6B	122.2635	OTUD6B	206.6998
OTUD7A	10.7331	OTUD7A	15.6399
OTUD7B	1903.0175	OTUD7B	835.6758
OTX1	6.0665	OTX1	5.0724
OVCA2	489.2874	OVCA2	386.5624
removed	removed	OVCH2	17.3307
OVGP1	84.4645	OVGP1	39.7337
OVOL1	175.9288	OVOL1	139.0679
OVOL2	260.8599	OVOL2	89.6122
OXA1L	2296.874	OXA1L	2006.9745
OXCT1	760.647	OXCT1	1315.0164
OXCT2	10.2664	OXCT2	8.454
OXER1	17.2662	OXER1	47.765
removed	removed	OXGR1	61.714
OXNAD1	256.66	OXNAD1	252.774
OXR1	586.5848	OXR1	1251.6115
OXSM	220.261	OXSM	172.8839
OXSR1	981.3746	OXSR1	1374.1942
OXTR	394.7898	OXTR	6915.7772
P2RX1	15.8663	P2RX1	13.9491
P2RX4	1123.2376	P2RX4	576.984
P2RX5	25.7127	P2RX5	42.7771
removed	removed	P2RX6	9.2994
P2RX7	36.8657	P2RX7	65.5183
P2RY10	21.9328	P2RY10	13.1037
P2RY11	131.9559	removed	removed
P2RY12	12.5997	P2RY12	30.0116
P2RY13	85.3978	P2RY13	105.252
P2RY14	65.3316	P2RY14	33.3932
P2RY1	17.7329	P2RY1	29.1662
P2RY2	129.2633	P2RY2	142.0268
P2RY6	93.3309	P2RY6	22.8257
P2RY8	138.1298	P2RY8	119.2011
P4HA1	1691.1563	P4HA1	763.817
P4HA2	1231.9682	P4HA2	575.2932
P4HA3	478.7876	P4HA3	14.3718
P4HB	25241.8146	P4HB	11494.4521
P4HTM	1125.5709	P4HTM	484.8357
P704P	17.2662	P704P	21.5576
PA2G4P4	32.6658	PA2G4P4	34.2386
PA2G4	2995.9226	PA2G4	3012.1526
PAAF1	342.9911	PAAF1	197.8231
PABPC1L	89.5977	PABPC1L	336.4684
PABPC1	29844.429	PABPC1	27007.0802
PABPC3	292.1258	PABPC3	287.0126
PABPC4L	30.3325	PABPC4L	62.9821
PABPC4	4608.6809	PABPC4	3127.1267
PABPC5	15.8663	PABPC5	23.6711
PABPN1	2079.1843	PABPN1	1903.8191
PACRGL	210.9279	PACRGL	337.7364
PACRG	14.4663	PACRG	50.3012
PACS1	2957.1903	PACS1	2460.9532
PACS2	1190.4359	PACS2	935.4327
PACSIN1	45.2655	removed	removed
PACSIN2	1642.6242	PACSIN2	1609.2148
PACSIN3	680.8491	PACSIN3	271.7954
PADI2	1250.1677	PADI2	4216.4219
PAF1	1709.8225	PAF1	1058.4381
PAFAH1B1	2178.3437	PAFAH1B1	4515.6927
PAFAH1B2	516.5867	PAFAH1B2	694.0716
PAFAH1B3	1273.5658	PAFAH1B3	282.0332
PAFAH2	769.0468	PAFAH2	496.2485
PAG1	146.0629	PAG1	194.8642
PAH	24.7327	PAH	7.1859
PAICS	2625.8655	PAICS	2895.4877
PAIP1	1189.0359	PAIP1	1265.9833
PAIP2B	154.4627	PAIP2B	170.3477
PAIP2	1891.3511	PAIP2	1454.9297
PAK1IP1	304.2588	PAK1IP1	428.6167
PAK1	1461.0956	PAK1	1325.1612
PAK2	2418.6709	PAK2	2724.7173
PAK3	9.7997	PAK3	95.53
PAK4	1494.2281	PAK4	856.388
PAK6	128.316	PAK6	283.8466
PAK7	24.266	PAK7	101.025
PALB2	412.5227	PALB2	481.8768
PALLD	7682.9969	PALLD	7869.8087
PALM2-AKAP2	915.6323	PALM2-AKAP2	1916.8298
PALM2	60.6884	PALM2	134.1435
PALM3	11.1997	PALM3	16.4853
PALMD	407.8561	PALMD	1067.7375
PALM	823.1787	PALM	481.8768
