gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
ADPRHL1	263.1932	ADPRHL1	52.8374
ADPRHL2	881.9772	ADPRHL2	515.6927
ADPRH	203.9281	ADPRH	393.9554
removed	removed	ADRA1A	26.63
ADRA1B	9.3331	ADRA1B	16.4853
ADRA1D	5.1332	removed	removed
ADRA2A	956.642	ADRA2A	702.5256
ADRA2B	12.5997	ADRA2B	22.403
ADRA2C	32.1992	ADRA2C	52.8374
ADRB1	538.0528	ADRB1	10.9902
ADRB2	75.1314	ADRB2	247.2789
ADRBK1	1592.2255	ADRBK1	1279.9324
ADRBK2	446.5885	ADRBK2	1416.0414
ADRM1	1497.9613	ADRM1	686.0404
ADSL	931.9093	ADSL	898.6579
ADSSL1	113.8637	ADSSL1	96.7981
ADSS	1994.0152	ADSS	1249.0753
AEBP1	34144.6513	AEBP1	4185.9875
AEBP2	495.1205	AEBP2	827.6445
AEN	441.9219	AEN	445.5247
AES	8921.9695	AES	5405.474
AFAP1L1	266.4598	AFAP1L1	294.6212
AFAP1L2	442.8552	AFAP1L2	1172.1441
AFAP1	1738.7504	AFAP1	1702.1663
AFF1	1949.683	AFF1	2933.1079
AFF2	18.1995	AFF2	73.1269
AFF3	849.3114	AFF3	1747.0147
AFF4	2428.4706	AFF4	5424.4954
AFG3L1	90.531	AFG3L1	355.4898
AFG3L2	1458.893	AFG3L2	1621.2026
AFMID	630.4504	AFMID	460.3191
removed	removed	AFP	9.2994
AFTPH	1852.6188	AFTPH	1714.8896
AG2	204.3947	AG2	227.412
AGAP11	13.0663	AGAP11	141.6126
AGAP1	518.4533	AGAP1	639.9662
AGAP2	84.8005	AGAP2	112.29
AGAP3	1179.2362	AGAP3	934.5873
AGAP4	76.998	AGAP4	314.488
AGAP5	17.7329	AGAP5	61.8958
AGAP6	35.4658	AGAP6	139.4906
AGAP7	22.3994	AGAP7	43.9607
removed	removed	AGAP8	10.9902
AGA	616.9174	AGA	491.1762
AGBL2	25.1993	AGBL2	21.9803
AGBL3	9.7997	AGBL3	7.1859
AGBL4	14.9329	removed	removed
AGBL5	625.8305	AGBL5	776.5106
AGER	9.3331	AGER	21.5576
AGFG1	1245.9678	AGFG1	2188.3124
AGFG2	384.0567	AGFG2	468.3504
AGGF1	892.7103	AGGF1	771.4256
AGK	374.7237	AGK	510.1976
AGL	620.184	AGL	1323.0477
AGMAT	37.3324	AGMAT	13.9491
AGPAT1	2101.9057	AGPAT1	1780.4544
AGPAT2	1277.2337	AGPAT2	1140.4417
AGPAT3	2856.3929	AGPAT3	1709.3945
AGPAT4	198.7949	AGPAT4	277.7132
AGPAT5	668.7161	AGPAT5	730.0011
AGPAT6	1457.3624	AGPAT6	1935.5384
AGPAT9	36.8657	AGPAT9	361.4076
AGPHD1	41.9989	AGPHD1	53.2601
AGPS	1038.3065	AGPS	977.2799
AGR2	3087.3869	AGR2	1965.9727
AGR3	1124.171	AGR3	486.1038
AGRN	11319.1743	AGRN	4385.9241
AGTPBP1	173.1289	AGTPBP1	460.7418
AGTR1	391.0566	AGTR1	553.7356
AGTRAP	1594.5588	AGTRAP	562.1896
AGT	136.7298	AGT	30.857
removed	removed	AGXT2L1	6.7632
AGXT2L2	271.8636	AGXT2L2	380.019
AHCTF1	1512.4276	AHCTF1	1594.8431
AHCYL1	4251.2235	AHCYL1	4000.4227
AHCYL2	458.2548	AHCYL2	843.2844
AHCY	4971.2716	AHCY	3260.2769
AHDC1	863.311	AHDC1	1686.9914
AHI1	161.4625	AHI1	478.4952
AHNAK2	816.6456	AHNAK2	852.5837
AHNAK	27149.032	AHNAK	80156.3986
AHRR	26.1327	AHRR	27.0527
AHR	1538.0936	AHR	2933.9533
AHSA1	1618.8248	AHSA1	1192.8564
AHSA2	86.3311	AHSA2	456.0921
AIDA	1818.2077	AIDA	864.1911
AIF1L	256.1934	AIF1L	1644.2988
AIF1	507.2536	AIF1	249.3924
AIFM1	952.9087	AIFM1	587.1288
AIFM2	334.1247	AIFM2	530.0645
AIFM3	44.1689	AIFM3	5.9178
AIG1	354.1909	AIG1	816.6543
AIM1L	5.5999	removed	removed
AIM1	1007.5073	AIM1	4431.1529
AIM2	11.1997	AIM2	12.681
AIMP1	928.5867	AIMP1	888.0905
AIMP2	388.5786	AIMP2	314.0949
AIP	759.2471	AIP	517.8062
AJAP1	17.2662	AJAP1	27.8981
AK1	659.8496	AK1	295.8893
AK2	2371.0721	AK2	2123.2167
AK3L1	315.4585	AK3L1	678.0091
AK3	1323.8991	AK3	1674.3105
AK5	314.9919	AK5	1987.9531
AK7	68.5982	AK7	13.5264
AKAP10	280.9261	AKAP10	626.0171
AKAP11	1073.3056	AKAP11	2353.165
AKAP12	1200.7023	AKAP12	1684.0325
AKAP13	2407.4711	AKAP13	6015.0058
AKAP14	13.533	removed	removed
AKAP1	1247.3678	AKAP1	2692.5922
AKAP2	574.8345	AKAP2	2337.0686
AKAP3	13.533	AKAP3	27.0527
AKAP5	85.3978	AKAP5	74.8177
AKAP6	54.5986	AKAP6	197.4004
AKAP7	104.5306	AKAP7	215.9992
AKAP8L	692.5154	AKAP8L	530.0645
AKAP8	573.0519	AKAP8	812.4273
AKAP9	2241.3421	AKAP9	3141.0758
AKD1	72.7981	AKD1	186.4102
AKIRIN1	1160.57	AKIRIN1	1329.8108
AKIRIN2	426.989	AKIRIN2	643.7705
removed	removed	AKNAD1	7.6086
AKNA	824.5787	AKNA	760.4354
AKR1A1	2828.8603	AKR1A1	1256.2612
AKR1B10	6.0665	removed	removed
removed	removed	AKR1B15	8.454
AKR1B1	692.5154	AKR1B1	859.3469
AKR1C1	97.9975	AKR1C1	347.4585
AKR1C2	47.1321	AKR1C2	350.8401
AKR1C3	230.0607	AKR1C3	487.7946
AKR1E2	20.5328	AKR1E2	47.765
AKR7A2	1903.0175	AKR7A2	891.472
AKR7A3	1727.5554	AKR7A3	148.79
AKR7L	80.2646	AKR7L	19.8668
AKT1S1	1576.3593	AKT1S1	699.9894
AKT1	4545.6826	AKT1	2797.4215
AKT2	2651.5315	AKT2	1959.6323
AKT3	892.2436	AKT3	1118.4614
AKTIP	401.673	AKTIP	539.3342
ALAD	1422.8299	ALAD	1371.658
ALAS1	657.0497	ALAS1	699.5667
removed	removed	ALB	92.1484
removed	removed	ALCAM	3751.8757
ALDH16A1	851.178	ALDH16A1	374.5113
ALDH18A1	2672.0643	ALDH18A1	1840.0085
ALDH1A1	259.9266	ALDH1A1	1693.3319
ALDH1A2	99.3974	ALDH1A2	330.9733
ALDH1A3	765.5329	ALDH1A3	4474.5556
ALDH1B1	1214.2353	ALDH1B1	530.0645
ALDH1L1	59.2651	ALDH1L1	318.715
ALDH1L2	488.1207	ALDH1L2	276.0224
