gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
NCEH1	220.7751	NCEH1	350.7989
removed	removed	NCF1B	37.5682
NCF1C	7.6866	NCF1C	72.6968
NCF1	35.0165	NCF1	89.7733
NCF2	143.4824	NCF2	575.2321
NCF4	65.7628	NCF4	411.2983
NCK1	880.5381	NCK1	781.6131
NCK2	1328.0666	NCK2	886.5112
NCKAP1L	210.0993	NCKAP1L	757.706
NCKAP1	4327.9599	NCKAP1	4946.3129
NCKAP5L	391.5875	NCKAP5L	782.101
NCKAP5	110.174	NCKAP5	228.8243
NCKIPSD	535.497	NCKIPSD	598.1633
NCLN	1223.444	NCLN	966.5265
NCL	11161.311	NCL	7632.193
NCOA1	2127.8958	NCOA1	2577.5667
NCOA2	1526.6361	NCOA2	980.1877
NCOA3	1689.7619	NCOA3	1378.8006
NCOA4	5356.2507	NCOA4	10608.3726
NCOA5	1246.5037	NCOA5	846.0156
NCOA6	2797.4805	NCOA6	1488.0898
NCOA7	1059.8911	NCOA7	1397.8286
NCOR1	3676.7375	NCOR1	2823.4674
NCOR2	2965.3037	NCOR2	2565.8571
removed	removed	NCR3	7.3185
NCRNA00081	106.5058	NCRNA00081	224.765
NCRNA00085	60.2114	NCRNA00085	53.6688
NCRNA00086	5.5514	NCRNA00086	100.9949
NCRNA00087	10.2487	NCRNA00087	49.2777
removed	removed	NCRNA00092	12.1975
removed	removed	NCRNA00093	10.8704
NCRNA00094	1742.6839	NCRNA00094	700.4268
NCRNA00095	318.5652	NCRNA00095	57.0841
NCRNA00105	34.5895	NCRNA00105	13.6612
NCRNA00107	9.8217	NCRNA00107	10.2459
removed	removed	NCRNA00110	11.7096
NCRNA00115	21.7786	NCRNA00115	7.8064
NCRNA00116	129.3904	NCRNA00116	214.1874
NCRNA00120	26.0489	NCRNA00120	34.6408
NCRNA00152	91.3846	NCRNA00152	191.2561
NCRNA00162	8.9677	removed	removed
NCRNA00167	5.1244	removed	removed
NCRNA00171	22.3166	NCRNA00171	40.6127
NCRNA00173	20.9245	NCRNA00173	10.7338
NCRNA00174	320.2733	NCRNA00174	103.9223
NCRNA00176	32.0273	NCRNA00176	8.7822
NCRNA00181	114.6023	NCRNA00181	69.545
NCRNA00182	25.1948	NCRNA00182	46.8382
NCRNA00183	94.8009	NCRNA00183	274.6867
NCRNA00188	7584.9258	NCRNA00188	5555.6979
NCRNA00201	1033.5689	NCRNA00201	453.9552
NCRNA00202	35.4436	removed	removed
NCRNA00219	210.5263	NCRNA00219	253.2192
NCS1	937.7602	NCS1	317.1339
NCSTN	4028.7349	NCSTN	4177.8243
NDC80	735.3475	NDC80	20.0038
NDE1	520.8797	NDE1	284.8155
NDEL1	1305.861	NDEL1	1041.175
NDFIP1	1516.8143	NDFIP1	4152.9903
NDFIP2	798.9751	NDFIP2	560.5951
NDNL2	277.9972	NDNL2	397.1492
NDN	66.6168	NDN	1702.2771
NDOR1	1435.6784	NDOR1	296.1543
NDP	12.3839	NDP	40.4956
NDRG1	12478.2748	NDRG1	7183.8145
NDRG2	3108.3591	NDRG2	4481.8337
NDRG3	1503.5764	NDRG3	1007.0221
NDRG4	222.4832	NDRG4	172.716
NDST1	4005.1244	NDST1	8135.704
NDST2	345.0411	NDST2	688.9124
NDST3	20.0705	removed	removed
NDUFA10	1250.347	NDUFA10	1615.9191
NDUFA11	1146.5784	NDUFA11	1215.1302
NDUFA12	378.3495	NDUFA12	598.1633
NDUFA13	2594.0515	NDUFA13	1455.4006
NDUFA1	1041.1017	NDUFA1	1364.6515
NDUFA2	385.6091	NDUFA2	908.9545
NDUFA3	363.8305	NDUFA3	783.0768
NDUFA4L2	339.9167	NDUFA4L2	566.9378
NDUFA4	2619.4086	NDUFA4	2785.8993
NDUFA5	985.1607	NDUFA5	1131.4361
NDUFA6	581.1893	NDUFA6	1001.6552
NDUFA7	415.9283	NDUFA7	449.8422
NDUFA8	531.6537	NDUFA8	745.9965
NDUFA9	2808.5833	NDUFA9	1251.4591
NDUFAB1	802.3914	NDUFAB1	822.1086
NDUFAF1	219.921	NDUFAF1	374.7059
NDUFAF2	147.7527	NDUFAF2	151.7364
NDUFAF3	1440.3758	NDUFAF3	1128.0209
NDUFAF4	284.4027	NDUFAF4	269.8078
NDUFB10	1212.7682	NDUFB10	956.7686
NDUFB11	641.8277	NDUFB11	1061.6667
NDUFB1	321.1274	NDUFB1	639.1468
NDUFB2	1090.1804	NDUFB2	1312.9294
NDUFB3	497.9182	NDUFB3	729.8958
NDUFB4	1508.7008	NDUFB4	1646.6567
NDUFB5	1163.2326	NDUFB5	1400.756
NDUFB6	801.5373	NDUFB6	555.2283
NDUFB7	1347.71	NDUFB7	987.5061
NDUFB8	734.7198	NDUFB8	1041.7556
NDUFB9	2858.9815	NDUFB9	1733.0147
NDUFC1	572.2216	NDUFC1	620.6066
NDUFC2	3436.746	NDUFC2	1949.6416
NDUFS1	1397.2456	NDUFS1	2076.983
NDUFS2	3584.4988	NDUFS2	2040.3907
NDUFS3	879.8847	NDUFS3	1106.4265
NDUFS4	392.8686	NDUFS4	752.8271
NDUFS5	2311.5192	NDUFS5	1589.0847
NDUFS6	950.9982	NDUFS6	426.4231
NDUFS7	625.9379	NDUFS7	565.1472
NDUFS8	722.5366	NDUFS8	983.603
NDUFV1	2020.711	NDUFV1	1304.64
NDUFV2	1888.3314	NDUFV2	1432.9573
NDUFV3	713.1419	NDUFV3	847.9672
NEAT1	933.0629	NEAT1	5899.1783
NEBL	2435.7852	NEBL	979.6998
NEB	6.4055	NEB	15.6127
NECAB1	8.9677	NECAB1	189.3045
removed	removed	NECAB2	33.1771
NECAB3	337.3545	NECAB3	223.9453
NECAP1	765.2397	NECAP1	593.7722
NECAP2	1461.7273	NECAP2	1566.1535
NEDD1	343.333	NEDD1	499.12
NEDD4L	1926.3371	NEDD4L	1386.119
NEDD4	45.6923	NEDD4	696.7188
NEDD8	1120.1025	NEDD8	1638.3625
NEDD9	240.4185	NEDD9	2588.3004
NEFH	12.3839	NEFH	34.1529
removed	removed	NEFM	6.8306
NEGR1	38.0058	NEGR1	819.6691
NEIL1	72.1683	NEIL1	81.479
NEIL2	306.1813	NEIL2	555.2283
NEIL3	51.2437	removed	removed
removed	removed	NEK10	134.6599
NEK11	218.2129	NEK11	258.5861
NEK1	399.7011	NEK1	485.4588
NEK2	607.6652	NEK2	7.3185
NEK3	209.2452	NEK3	181.4982
NEK4	369.3819	NEK4	418.6167
NEK5	10.2487	removed	removed
NEK6	322.4085	NEK6	1394.9012
NEK7	1497.598	NEK7	4977.5384
NEK8	122.9849	NEK8	53.1809
NEK9	638.4114	NEK9	3385.5263
NELF	3488.8438	NELF	551.813
removed	removed	NELL2	67.8179
NENF	978.3282	NENF	979.6998
NEO1	120.8498	NEO1	2154.5589
NES	895.9112	NES	2536.5832
NET1	15247.5713	NET1	2325.3233
NETO2	251.9483	NETO2	154.6638
NEU1	1959.6456	NEU1	1198.7661
NEU3	61.4925	NEU3	86.8459
NEURL1B	311.7327	NEURL1B	2624.8928
NEURL2	66.5912	NEURL2	24.4779
NEURL3	46.1194	removed	removed
NEURL4	562.6433	NEURL4	302.4969
NEURL	167.8232	removed	removed
NEXN	128.5364	NEXN	837.2335
NF1	2002.7757	NF1	2275.5576
NF2	659.336	NF2	896.7571
NFAM1	90.5306	NFAM1	249.8039
NFASC	29.8409	NFASC	561.688
NFAT5	1853.3148	NFAT5	2378.0163
NFATC1	2234.2265	NFATC1	559.1314
NFATC2IP	763.9586	NFATC2IP	612.8003
NFATC2	51.2437	NFATC2	144.4179
NFATC3	1039.3936	NFATC3	1278.7814
NFATC4	620.4761	NFATC4	452.7696
NFE2L1	5629.9776	NFE2L1	10773.2822
NFE2L2	1229.7769	NFE2L2	3293.4891
NFE2L3	1344.7208	NFE2L3	242.4855
removed	removed	NFE2	15.6127
NFIA	179.7801	NFIA	2899.5796
NFIB	4723.3906	NFIB	5438.6023
NFIC	976.193	NFIC	1357.8209
NFIL3	885.2354	NFIL3	905.5392
NFIX	20011.5298	NFIX	5764.5183
NFKB1	1393.8294	NFKB1	1449.0579
NFKB2	593.5732	NFKB2	466.9187
NFKBIA	1363.5102	NFKBIA	4759.4478
NFKBIB	755.418	NFKBIB	193.2077
NFKBID	117.8606	NFKBID	35.6166
NFKBIE	179.353	NFKBIE	153.688
NFKBIL1	475.7126	NFKBIL1	168.8128
NFKBIL2	582.4405	NFKBIL2	42.4472
NFKBIZ	290.3811	NFKBIZ	642.0742
NFRKB	534.2159	NFRKB	665.9812
NFS1	637.1304	NFS1	512.7811
NFU1	522.259	NFU1	864.0679
NFX1	1963.0618	NFX1	1015.8042
NFXL1	268.4146	NFXL1	164.4217
NFYA	1077.8264	NFYA	761.1213
NFYB	622.1843	NFYB	708.4283
NFYC	1381.7786	NFYC	793.591
NGDN	415.5012	NGDN	360.5568
NGEF	160.5637	NGEF	17.5643
NGFRAP1	389.0253	NGFRAP1	1200.7177
NGFR	10.2487	NGFR	1280.733
removed	removed	NGF	28.786
NGLY1	341.1978	NGLY1	523.5149
NGRN	1921.5288	NGRN	2702.2832
NHEDC1	9.3947	NHEDC1	13.1733
NHEDC2	494.502	NHEDC2	246.8765
NHEJ1	172.3369	NHEJ1	271.9106
NHLRC1	27.33	NHLRC1	60.0115
NHLRC2	113.1632	NHLRC2	247.3644
NHLRC3	352.3006	NHLRC3	1039.7113
NHLRC4	5.5514	NHLRC4	29.7618
NHP2L1	1500.5872	NHP2L1	1756.9218
NHP2	1510.8359	NHP2	783.5647
NHSL1	989.004	NHSL1	415.2014
NHSL2	16.6542	NHSL2	237.1186
NHS	56.3681	NHS	317.1339
NICN1	291.1028	NICN1	448.8664
NID1	1234.9568	NID1	6713.3585
NID2	568.8054	NID2	2028.1932
NIF3L1	471.8693	NIF3L1	400.5645
NINJ1	1027.4367	NINJ1	2609.2801
NINJ2	152.0231	NINJ2	202.9657
NINL	706.7364	NINL	156.1275
NIN	1137.6108	NIN	1522.2427
NIP7	767.8019	NIP7	436.1811
NIPA1	310.0246	NIPA1	365.9237
NIPA2	920.679	NIPA2	835.7698
NIPAL1	155.8663	NIPAL1	16.1006
NIPAL2	228.0346	NIPAL2	311.767
NIPAL3	2057.8627	NIPAL3	800.6411
NIPAL4	52.0978	removed	removed
NIPBL	2720.6149	NIPBL	2246.2837
NIPSNAP1	2515.64	NIPSNAP1	609.8729
NIPSNAP3A	548.7349	NIPSNAP3A	802.1048
NIPSNAP3B	66.1898	NIPSNAP3B	148.4284
NISCH	1448.9164	NISCH	2348.7424
NIT1	583.8967	NIT1	680.2668
NIT2	925.3763	NIT2	698.1825
NKAIN1	33.7355	NKAIN1	64.8905
removed	removed	NKAIN2	44.8866
removed	removed	NKAPL	61.4752
NKAP	254.5105	NKAP	239.0702
removed	removed	NKD1	20.0038
NKD2	16.2272	NKD2	12.1975
NKG7	8.9677	NKG7	151.2485
NKIRAS1	198.5694	NKIRAS1	278.102
NKIRAS2	1259.3146	NKIRAS2	868.459
NKPD1	26.0489	NKPD1	6.3427
NKRF	266.8944	NKRF	222.4816
NKTR	1672.2537	NKTR	1709.5956
NKX1-2	14.092	removed	removed
NKX2-5	23.0597	removed	removed
NKX3-1	6.4055	NKX3-1	67.8179
NKX3-2	9.3947	removed	removed
NLE1	297.2136	NLE1	259.074
removed	removed	NLGN1	92.2128
NLGN2	1587.7015	NLGN2	543.0308
NLGN3	13.238	NLGN3	54.1567
NLGN4X	7.6866	NLGN4X	315.6702
NLK	352.3006	NLK	444.4753
NLN	888.2246	NLN	461.5518
NLRC3	67.8979	NLRC3	92.2128
NLRC4	34.1625	NLRC4	104.8981
NLRC5	711.4338	NLRC5	588.8932
NLRP12	7.2595	NLRP12	6.3427
NLRP1	64.0547	NLRP1	659.6385
NLRP2	3314.1881	NLRP2	19.028
NLRP3	20.4975	NLRP3	237.6065
removed	removed	NLRP5	29.2739
NLRP7	37.5787	removed	removed
NLRX1	319.8463	NLRX1	695.743
NMB	132.3796	NMB	1077.2794
NMD3	959.1118	NMD3	1006.0463
NME1-NME2	232.7234	NME1-NME2	27.9566
NME1	2018.0164	NME1	636.2096
NME2P1	59.7843	NME2P1	39.0319
NME2	6275.3624	NME2	3935.7389
NME3	623.8924	NME3	339.5772
NME4	1852.4608	NME4	1886.7027
NME5	11.5298	NME5	40.0077
NME6	399.274	NME6	177.595
NME7	439.1844	NME7	254.4731
NMI	452.2259	NMI	373.2422
NMNAT1	254.9375	NMNAT1	436.1811
NMNAT2	24.3408	NMNAT2	474.725
NMNAT3	242.5536	NMNAT3	238.5823
NMRAL1	1216.9403	NMRAL1	271.2715
NMT1	2334.1518	NMT1	3428.9492
NMT2	835.2728	NMT2	2228.7194
NMUR1	26.4759	NMUR1	200.0383
NMU	64.0547	removed	removed
NNAT	16.2272	NNAT	478.6282
NNMT	879.257	NNMT	3546.5327
NNT	2004.9109	NNT	2249.2111
NOB1	1337.0343	NOB1	822.1086
NOC2L	2503.7728	NOC2L	773.6652
NOC3L	407.3876	NOC3L	444.4753
NOC4L	419.7715	NOC4L	221.0179
NOD1	365.1116	NOD1	600.6028
NOD2	358.7061	NOD2	50.7414
NODAL	10.2487	NODAL	5.3669
NOL10	1452.3327	NOL10	556.2041
NOL11	1101.3131	NOL11	834.794
NOL12	274.6151	NOL12	146.3695
NOL3	788.2993	NOL3	439.0792
NOL6	2319.6328	NOL6	938.2284
NOL7	738.3367	NOL7	444.9632
NOL8	1050.4964	NOL8	782.5889
NOL9	228.4616	NOL9	216.1389
NOLC1	2597.63	NOLC1	1348.063
NOM1	573.9298	NOM1	301.0332
NOMO1	4540.6213	NOMO1	2795.1693
NOMO2	2014.7326	NOMO2	1905.7307
NOMO3	2127.0417	NOMO3	1523.7064
NONO	4727.2339	NONO	4582.3408
NOP10	863.8838	NOP10	1029.4654
NOP14	901.0014	NOP14	681.2475
NOP16	327.9599	NOP16	101.4828
NOP2	1566.35	NOP2	393.7339
NOP56	2856.4108	NOP56	1135.8272
NOP58	1255.8984	NOP58	642.0742
NOS1AP	114.8714	NOS1AP	97.0918
NOS2	15.3731	removed	removed
NOS3	263.2476	NOS3	511.4589
NOSIP	500.9074	NOSIP	484.483
NOSTRIN	16.6542	NOSTRIN	928.4705
NOTCH1	14919.1844	NOTCH1	2501.4545
NOTCH2NL	700.5573	NOTCH2NL	707.5062
NOTCH2	4430.0203	NOTCH2	9331.5427
NOTCH3	12382.1928	NOTCH3	7620.4834
NOTCH4	223.3372	NOTCH4	1716.4262
NOTUM	21.3516	removed	removed
NOVA1	5.5514	NOVA1	497.1684
NOVA2	10.2487	NOVA2	96.6039
NOV	40.995	NOV	587.4295
NOX4	151.169	NOX4	265.4167
NOX5	74.7304	NOX5	10.3337
NOXA1	709.7256	NOXA1	12.6854
NOXO1	18.7894	removed	removed
NPAS1	8.9677	NPAS1	5.3669
NPAS2	259.6349	NPAS2	296.6422
NPAS3	86.2603	NPAS3	72.2089
NPAT	349.7384	NPAT	459.1123
NPC1L1	10.2487	NPC1L1	17.0764
NPC1	2743.4568	NPC1	1330.8646
NPC2	1770.0438	NPC2	4427.677
NPDC1	408.2417	NPDC1	1129.4845
NPEPL1	993.2743	NPEPL1	521.0754
NPEPPS	1953.6671	NPEPPS	1972.5728
NPFFR1	9.3947	removed	removed
removed	removed	NPFF	6.8306
NPHP1	87.5414	NPHP1	91.7249
NPHP3	263.0511	NPHP3	528.3939
NPHP4	319.4192	NPHP4	243.4612
NPIPL3	285.9485	NPIPL3	269.9053
NPIP	555.7852	NPIP	665.8006
NPLOC4	3039.1801	NPLOC4	2979.107
NPL	149.4609	NPL	405.9314
NPM1	5948.1157	NPM1	4554.5306
NPM2	5.9784	removed	removed
NPM3	509.8751	NPM3	136.6115
NPNT	843.8134	NPNT	574.7442
NPR1	59.3573	NPR1	3651.9187
NPR2	565.8162	NPR2	878.2169
NPR3	959.1118	NPR3	1049.9571
NPRL2	400.9822	NPRL2	297.618
NPRL3	1475.8194	NPRL3	949.938
NPTN	1167.93	NPTN	2597.5705
removed	removed	NPTX1	156.6154
NPTX2	14.5191	NPTX2	26.3465
NPTXR	45.6923	NPTXR	564.4983
NPW	8.1136	removed	removed
NPY1R	19.6434	NPY1R	2644.4087
removed	removed	NPY2R	183.9377
removed	removed	NPY5R	218.0905
NQO1	1923.3479	NQO1	6471.9709
NQO2	262.6241	NQO2	466.9187
NR1D1	352.3946	NR1D1	776.4365
NR1D2	1546.7065	NR1D2	2024.29
NR1H2	1127.362	NR1H2	1102.1622
NR1H3	325.3977	NR1H3	1251.4591
NR1I3	13.2081	removed	removed
NR2C1	111.4551	NR2C1	411.7862
NR2C2AP	739.8228	NR2C2AP	190.6365
NR2C2	1329.7064	NR2C2	1380.7229
NR2F1	34.1625	NR2F1	577.1837
NR2F2	1659.0157	NR2F2	2098.9385
NR2F6	2273.0864	NR2F6	605.4818
NR3C1	213.5155	NR3C1	4298.8719
NR3C2	523.5401	NR3C2	449.3543
NR4A1	1398.9538	NR4A1	3196.7096
NR4A2	539.7673	NR4A2	570.3531
NR4A3	22.2056	NR4A3	300.0575
NR5A2	17.0812	NR5A2	280.5415
NR6A1	23.9137	removed	removed
NRARP	2706.5229	NRARP	203.9415
NRAS	1407.4944	NRAS	1192.9113
NRBF2	1055.6208	NRBF2	568.8894
NRBP1	4342.9059	NRBP1	1953.5448
NRBP2	838.689	NRBP2	1056.7877
NRCAM	27.757	NRCAM	163.4459
NRD1	3888.9719	NRD1	2916.656
NRF1	408.6687	NRF1	271.2715
NRG1	10.2487	NRG1	136.1236
NRG2	111.0281	NRG2	91.237
removed	removed	NRG3	7.3185
NRGN	11.1028	NRGN	96.116
NRIP1	417.2094	NRIP1	2401.9233
NRIP2	42.2761	NRIP2	162.958
NRIP3	111.8821	NRIP3	98.5555
removed	removed	NRK	180.5224
NRL	29.6744	NRL	25.9074
NRM	317.2841	NRM	241.5097
NRN1	70.8872	NRN1	1772.5345
NRP1	1881.9259	NRP1	9294.4625
NRP2	534.6429	NRP2	2338.9844
NRSN2	1109.4267	NRSN2	575.2321
NRTN	128.1093	removed	removed
removed	removed	NRXN1	36.1045
NRXN2	8.5406	NRXN2	83.4306
NRXN3	11.9569	NRXN3	63.4268
NSA2	798.9751	NSA2	1859.8683
NSD1	1928.0453	NSD1	2318.9806
NSDHL	329.241	NSDHL	565.962
NSFL1C	1652.6102	NSFL1C	1384.6554
NSF	1013.3447	NSF	1088.0132
NSL1	555.9944	NSL1	694.2793
NSMAF	1062.4533	NSMAF	967.9219
NSMCE1	892.4949	NSMCE1	791.8589
NSMCE2	371.517	NSMCE2	235.6549
NSMCE4A	302.338	NSMCE4A	806.4959
NSUN2	2713.7824	NSUN2	896.7571
NSUN3	127.2553	NSUN3	96.6039
NSUN4	751.5747	NSUN4	591.3327
NSUN5P1	117.4335	NSUN5P1	57.0841
NSUN5P2	409.5399	NSUN5P2	134.8453
NSUN5	496.6371	NSUN5	289.3237
NSUN6	550.016	NSUN6	155.1517
NSUN7	209.2452	NSUN7	63.9147
NT5C2	1703.4269	NT5C2	1147.0489
NT5C3L	752.4287	NT5C3L	606.4576
NT5C3	779.7587	NT5C3	307.3759
NT5C	348.0303	NT5C	142.4663
NT5DC1	685.3849	NT5DC1	908.4666
NT5DC2	4184.0034	NT5DC2	591.8109
NT5DC3	263.4782	NT5DC3	299.0817
NT5E	342.4789	NT5E	1626.165
NT5M	135.7959	NT5M	48.3019
NTAN1	729.7961	NTAN1	1023.1227
NTF3	7.6866	NTF3	18.5401
removed	removed	NTF4	14.4174
NTHL1	321.9814	NTHL1	80.0153
NTM	254.0835	NTM	808.4475
NTN1	926.6574	NTN1	317.1339
NTN3	8.9677	removed	removed
NTN4	73.4493	NTN4	2628.796
NTN5	5.1244	NTN5	5.3669
removed	removed	NTNG1	17.0764
NTNG2	9.3947	NTNG2	9.2701
NTRK1	9.8217	removed	removed
NTRK2	100.3523	NTRK2	10230.2514
removed	removed	NTRK3	255.6587
NTSR1	136.2229	removed	removed
NTSR2	7.2595	removed	removed
removed	removed	NTS	5.3669
NUAK1	334.7924	NUAK1	2336.5449
NUAK2	42.7031	NUAK2	38.544
NUB1	1866.066	NUB1	1676.3453
NUBP1	209.5356	NUBP1	350.3012
NUBP2	924.9493	NUBP2	409.8346
NUBPL	177.6449	NUBPL	515.7085
NUCB1	6150.9555	NUCB1	6784.7137
NUCB2	1083.5956	NUCB2	1455.5958
NUCKS1	9547.5606	NUCKS1	7443.8643
NUDCD1	762.6775	NUDCD1	396.1734
NUDCD2	371.9441	NUDCD2	340.0651
NUDCD3	2619.8356	NUDCD3	2374.601
NUDC	2502.402	NUDC	895.2934
NUDT10	11.1028	NUDT10	13.6612
NUDT11	137.077	NUDT11	36.1045
NUDT12	229.3157	NUDT12	376.1696
NUDT13	49.8174	NUDT13	50.9463
NUDT14	197.7154	NUDT14	258.0982
NUDT15	313.2017	NUDT15	480.9409
NUDT16L1	317.2841	NUDT16L1	275.1746
removed	removed	NUDT16P1	104.8981
NUDT16	210.5263	NUDT16	1022.6348
NUDT17	39.7139	NUDT17	32.2013
NUDT18	82.417	NUDT18	116.6077
NUDT19	356.1439	NUDT19	280.5415
NUDT1	444.9664	NUDT1	115.144
NUDT21	2365.3251	NUDT21	2188.2238
NUDT22	221.5138	NUDT22	215.3973
NUDT2	508.167	NUDT2	267.3683
NUDT3	595.7083	NUDT3	434.7174
NUDT4	313.8678	NUDT4	991.8972
NUDT5	3352.0145	NUDT5	701.5977
NUDT6	93.6052	NUDT6	134.6209
NUDT7	6.8325	NUDT7	235.6549
NUDT8	34.1625	NUDT8	106.3618
NUDT9	491.0857	NUDT9	537.176
NUF2	518.4157	NUF2	5.8548
NUFIP1	198.1424	NUFIP1	158.079
NUFIP2	2457.1368	NUFIP2	2267.2634
NUMA1	6026.9926	NUMA1	6069.084
NUMBL	497.9182	NUMBL	519.1238
NUMB	1105.5834	NUMB	1740.8211
NUP107	988.1499	NUP107	729.4079
NUP133	1799.5089	NUP133	1390.998
NUP153	1597.0962	NUP153	1379.2885
NUP155	2081.7764	NUP155	532.7849
NUP160	1100.8861	NUP160	1135.8272
NUP188	1461.3003	NUP188	1706.1803
NUP205	2878.6164	NUP205	1065.5699
NUP210	795.1318	NUP210	385.4397
NUP214	1449.3434	NUP214	1629.0924
NUP35	158.8556	NUP35	185.4014
NUP37	371.09	NUP37	237.6065
NUP43	610.2274	NUP43	515.7085
NUP50	828.0132	NUP50	1139.7304
NUP54	854.9162	NUP54	710.3799
removed	removed	NUP62CL	5.8548
NUP62	1180.7836	NUP62	1000.0988
NUP85	879.684	NUP85	549.8614
NUP88	1570.1633	NUP88	779.2175
NUP93	2167.6097	NUP93	717.6984
NUP98	2221.4156	NUP98	2524.8737
NUPL1	899.3274	NUPL1	749.4118
NUPL2	553.0052	NUPL2	286.8842
NUPR1	3663.9266	NUPR1	1569.0809
NUS1	1503.5764	NUS1	1018.2437
NUSAP1	910.4302	NUSAP1	67.33
NUTF2	1659.0157	NUTF2	1330.9865
NVL	840.3971	NVL	333.2345
NWD1	2322.622	NWD1	47.3261
NXF1	1392.9753	NXF1	1215.3546
removed	removed	NXNL1	12.6854
removed	removed	NXNL2	10.2459
NXN	1372.9049	NXN	482.0435
removed	removed	NXPH1	29.2739
NXPH3	79.4278	NXPH3	187.8408
NXPH4	79.4278	NXPH4	17.5643
NXT1	544.0376	NXT1	166.8612
NXT2	288.246	NXT2	288.3479
NYNRIN	1422.4405	NYNRIN	1152.9037
OAF	303.1921	OAF	1859.8683
OAS1	614.0707	OAS1	510.3416
OAS2	1112.843	OAS2	873.8258
OAS3	1055.1938	OAS3	779.1736
OASL	228.0346	OASL	39.0319
OAT	3079.7481	OAT	2693.6865
OAZ1	5708.9783	OAZ1	8167.4174
OAZ2	1085.0859	OAZ2	1843.7676
OAZ3	27.0353	OAZ3	36.3338
OBFC1	386.4631	OBFC1	757.706
OBFC2A	192.164	OBFC2A	501.5594
OBFC2B	527.8104	OBFC2B	493.7531
OBP2A	59.3573	removed	removed
OBP2B	525.6752	removed	removed
OBSCN	1775.9154	OBSCN	216.8562
OBSL1	1090.6373	OBSL1	852.3583
OCA2	334.7924	removed	removed
OCEL1	765.6667	OCEL1	269.8078
OCIAD1	1416.8891	OCIAD1	2459.4953
OCIAD2	871.1434	OCIAD2	239.5581
OCLM	5.1244	removed	removed
OCLN	579.4812	OCLN	120.023
OCRL	1056.0478	OCRL	1300.249
ODC1	2812.4266	ODC1	1115.3355
ODF2L	490.6587	ODF2L	439.1085
ODF2	882.6732	ODF2	549.3735
ODF3B	481.264	ODF3B	77.0879
removed	removed	ODF3L1	28.2981
ODF3L2	11.5298	ODF3L2	5.3669
removed	removed	ODZ1	100.0192
removed	removed	ODZ2	320.0613
ODZ3	128.5364	ODZ3	948.4743
ODZ4	173.3746	ODZ4	1357.8209
OFD1	931.7818	OFD1	503.0231
OGDH	5158.1083	OGDH	4136.4017
OGFOD1	958.6847	OGFOD1	941.1558
OGFOD2	225.4596	OGFOD2	153.4147
OGFRL1	2258.9943	OGFRL1	677.6907
OGFR	524.3941	OGFR	308.3517
OGG1	336.9275	OGG1	296.1543
OGN	11.5298	OGN	3844.1506
OGT	2391.801	OGT	2800.0483
OIP5	92.1875	OIP5	9.9482
OLA1	1174.7625	OLA1	1346.1114
OLFM1	15.3731	OLFM1	608.8971
OLFM2	5385.2888	OLFM2	415.6893
removed	removed	OLFM4	31.7134
OLFML1	75.5845	OLFML1	1038.2476
OLFML2A	488.0965	OLFML2A	2303.3678
OLFML2B	699.4769	OLFML2B	1638.3625
OLFML3	231.0238	OLFML3	2226.2799
OLR1	111.8821	OLR1	11.7096
OMA1	342.0519	OMA1	319.0855
OMD	24.3408	OMD	570.841
ONECUT2	17.0812	removed	removed
OPA1	1707.6972	OPA1	2103.8174
OPA3	380.4847	OPA3	524.0028
OPCML	11.5298	OPCML	14.6369
OPHN1	295.0785	OPHN1	388.367
OPLAH	758.4072	OPLAH	231.7517
OPN3	953.1034	OPN3	295.4127
OPRK1	26.903	OPRK1	5.3669
OPRL1	164.834	OPRL1	87.3338
OPTN	6430.2338	OPTN	4097.3699
OR2A1	14.5191	OR2A1	16.1006
OR2A4	54.66	OR2A4	42.4472
OR2A7	303.6191	OR2A7	162.4701
OR2A9P	302.338	OR2A9P	337.6256
removed	removed	OR2W3	5.3669
OR51E1	28.1841	OR51E1	167.3491
removed	removed	OR51E2	20.0038
OR7E91P	19.6434	removed	removed
ORAI1	635.8493	ORAI1	406.9072
ORAI2	1473.9447	ORAI2	523.5539
ORAI3	340.7708	ORAI3	525.9544
ORAOV1	204.1208	ORAOV1	191.744
ORC1L	189.6018	ORC1L	8.7822
ORC2L	383.4739	ORC2L	301.0332
ORC3L	575.2108	ORC3L	625.9735
ORC4L	423.1878	ORC4L	498.6321
ORC5L	404.3984	ORC5L	332.7466
ORC6L	181.4882	ORC6L	15.1248
removed	removed	ORM2	10.2459
ORMDL1	426.177	ORMDL1	618.655
ORMDL2	650.048	ORMDL2	560.5122
ORMDL3	1311.8394	ORMDL3	2958.6152
OS9	6332.0167	OS9	5953.335
OSBP2	10.6758	OSBP2	78.5516
OSBPL10	1196.114	OSBPL10	493.2652
OSBPL11	606.8111	OSBPL11	816.2538
OSBPL1A	3496.1033	OSBPL1A	3094.7389
OSBPL2	1273.4066	OSBPL2	935.7889
OSBPL3	2081.7764	OSBPL3	302.9848
OSBPL5	466.3179	OSBPL5	582.5506
removed	removed	OSBPL6	85.8701
OSBPL7	70.8872	OSBPL7	140.5147
OSBPL8	1597.5232	OSBPL8	2265.7997
OSBPL9	1014.1988	OSBPL9	2044.7817
