gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
AGRN	5120.5295	AGRN	1945.2505
AGTPBP1	562.8269	AGTPBP1	463.0155
removed	removed	AGTR1	672.3238
AGTRAP	1665.8482	AGTRAP	711.8436
AGT	174.2287	AGT	162.958
removed	removed	AGXT2L1	5.8548
AGXT2L2	175.9283	AGXT2L2	824.7189
removed	removed	AGXT	17.5643
AHCTF1	2554.4998	AHCTF1	1175.347
AHCYL1	2220.1345	AHCYL1	4840.439
AHCYL2	614.9247	AHCYL2	703.5493
AHCY	4147.3257	AHCY	1686.6644
AHDC1	1626.5613	AHDC1	693.7914
AHI1	498.7723	AHI1	393.246
AHNAK2	6621.1167	AHNAK2	1175.347
AHNAK	28032.8814	AHNAK	142350.1817
AHRR	14.5191	AHRR	16.5885
AHR	2631.3654	AHR	2373.6252
AHSA1	1571.9014	AHSA1	1258.7776
AHSA2	713.5689	AHSA2	284.9326
AIDA	745.3486	AIDA	1735.0542
AIF1L	4699.4769	AIF1L	2111.6238
AIF1	114.4443	AIF1	867.9711
AIFM1	634.9952	AIFM1	940.6679
AIFM2	274.581	AIFM2	2772.2381
AIFM3	26.587	AIFM3	8.87
AIG1	417.2094	AIG1	1233.8948
AIM1L	78.5737	removed	removed
AIM1	2439.6285	AIM1	2918.1197
AIM2	6.8325	AIM2	7.3185
AIMP1	1200.743	AIMP1	839.2826
AIMP2	801.9772	AIMP2	359.1761
AIP	669.5847	AIP	626.9493
removed	removed	AJAP1	20.9796
AK1	448.3826	AK1	888.4628
AK2	3538.8064	AK2	2085.7652
AK3L1	412.085	AK3L1	746.9723
AK3	1191.8437	AK3	2840.056
removed	removed	AK5	545.9582
AK7	17.9353	AK7	15.1248
AKAP10	345.0411	AKAP10	614.264
AKAP11	1029.5719	AKAP11	2249.699
AKAP12	175.9368	AKAP12	10309.2909
AKAP13	3208.7114	AKAP13	3374.3046
AKAP1	3755.3112	AKAP1	1908.1702
AKAP2	190.8615	AKAP2	2922.8816
AKAP3	108.4659	AKAP3	17.0764
AKAP5	23.0597	AKAP5	75.6242
AKAP6	114.4443	AKAP6	141.4905
AKAP7	144.7635	AKAP7	216.1389
AKAP8L	843.8134	AKAP8L	358.6052
AKAP8	758.4072	AKAP8	391.2944
AKAP9	3104.9429	AKAP9	1811.5664
AKD1	149.4609	AKD1	134.172
AKIRIN1	978.7552	AKIRIN1	1267.0719
AKIRIN2	674.7091	AKIRIN2	1025.5622
AKNA	360.8413	AKNA	713.3073
AKR1A1	1694.0322	AKR1A1	1511.021
removed	removed	AKR1B10	7.8064
removed	removed	AKR1B15	19.5159
AKR1B1	178.072	AKR1B1	1235.3585
AKR1C1	232.8942	AKR1C1	8099.1117
AKR1C2	60.2114	AKR1C2	5651.8138
AKR1C3	174.2287	AKR1C3	7153.0769
AKR1E2	177.4827	AKR1E2	40.4956
AKR7A2	897.1923	AKR7A2	1075.8157
AKR7A3	40.568	AKR7A3	55.6204
removed	removed	AKR7L	8.7822
AKT1S1	1000.1068	AKT1S1	912.8577
AKT1	1972.8835	AKT1	2920.0713
AKT2	2071.9547	AKT2	4372.0566
AKT3	2194.0856	AKT3	1275.3661
AKTIP	807.8019	AKTIP	778.027
ALAD	842.9593	ALAD	3296.7288
ALAS1	895.0571	ALAS1	1424.663
removed	removed	ALAS2	70.7453
ALB	12.8109	ALB	966.5265
ALCAM	1829.4011	ALCAM	1235.8464
ALDH16A1	291.2352	ALDH16A1	298.1059
ALDH18A1	2529.732	ALDH18A1	1415.3929
ALDH1A1	111.4551	ALDH1A1	4175.9215
ALDH1A2	11.5298	ALDH1A2	370.3148
ALDH1A3	519.8463	ALDH1A3	1312.4025
ALDH1B1	1023.5935	ALDH1B1	684.0334
ALDH1L1	10.2487	ALDH1L1	1800.3447
ALDH1L2	1137.6108	ALDH1L2	549.3735
ALDH2	1175.1895	ALDH2	18300.5771
ALDH3A1	23.4867	ALDH3A1	6.3427
ALDH3A2	1549.6957	ALDH3A2	4463.2936
ALDH3B1	234.8671	ALDH3B1	259.5619
ALDH3B2	78.5737	ALDH3B2	1250.4833
removed	removed	ALDH4A1	3607.0321
ALDH5A1	441.1231	ALDH5A1	1104.1138
ALDH6A1	222.6583	ALDH6A1	953.0166
ALDH7A1	1568.9121	ALDH7A1	1679.3459
removed	removed	ALDH8A1	8.7822
ALDH9A1	2205.1884	ALDH9A1	7216.0157
ALDOA	21563.7878	ALDOA	17994.1769
removed	removed	ALDOB	18.5401
ALDOC	847.6567	ALDOC	6153.8612
ALG10B	18.7894	ALG10B	267.3683
ALG10	137.077	ALG10	113.1924
ALG11	18.3623	ALG11	12.1975
ALG12	360.8413	ALG12	489.362
ALG13	184.4774	ALG13	443.9874
ALG14	118.7146	ALG14	298.1059
ALG1L	11.0857	removed	removed
