gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
ABHD2	1813.5283	ABHD2	2263.4146
ABHD3	252.2852	ABHD3	222.6164
ABHD4	437.5381	ABHD4	1046.1197
ABHD5	2066.4229	ABHD5	1057.2062
ABHD6	67.0323	ABHD6	140.133
ABHD8	176.7215	ABHD8	345.898
ABI1	1806.2157	ABI1	1153.4368
ABI2	693.4796	ABI2	1329.9335
ABI3BP	77.3918	ABI3BP	148.5588
ABI3	101.7672	ABI3	136.5854
ABL1	1390.0061	ABL1	1926.3858
ABL2	3226.691	ABL2	514.8559
ABLIM1	10279.0981	ABLIM1	3122.8381
ABLIM2	46.3132	ABLIM2	55.4324
ABLIM3	238.2693	ABLIM3	2238.5809
removed	removed	ABO	14.6341
ABP1	21.9378	removed	removed
ABR	1384.5216	ABR	2562.7494
ABT1	1109.0798	ABT1	678.4922
ABTB1	497.8672	ABTB1	720.6208
ABTB2	479.5856	ABTB2	105.0998
ACAA1	1500.3047	ACAA1	2229.2683
ACAA2	4553.3211	ACAA2	1858.0931
ACACA	2606.947	ACACA	2008.8692
ACACB	930.5302	ACACB	1704.2129
ACAD10	316.88	ACAD10	625.2772
ACAD11	114.5643	ACAD11	361.8625
ACAD8	652.0414	ACAD8	767.6275
ACAD9	2972.4741	ACAD9	1059.4235
removed	removed	ACADL	19.5122
ACADM	834.2474	ACADM	1025.7206
ACADSB	538.0865	ACADSB	1575.6098
ACADS	413.7721	ACADS	1183.1486
ACADVL	4069.4394	ACADVL	7175.9911
ACAN	1096.8921	removed	removed
ACAP1	71.298	ACAP1	28.8248
ACAP2	1396.0999	ACAP2	541.4634
ACAP3	766.039	ACAP3	413.7472
ACAT1	4106.6423	ACAT1	1513.082
ACAT2	1852.663	ACAT2	509.694
ACBD3	917.1237	ACBD3	780.0443
ACBD4	57.8915	ACBD4	348.5588
ACBD5	2218.769	ACBD5	570.2882
ACBD6	1935.4052	ACBD6	520.1774
ACBD7	98.7203	ACBD7	35.4767
removed	removed	ACCN1	8.4257
ACCN2	35.9537	ACCN2	66.0754
removed	removed	ACCN3	6.6519
ACCS	216.9409	ACCS	363.1929
ACD	340.0366	ACD	423.9468
ACE2	25.5941	removed	removed
ACER1	262.6447	removed	removed
ACER2	40.8288	ACER2	104.2129
ACER3	991.4686	ACER3	188.9135
removed	removed	ACE	422.1729
ACHE	24.9848	ACHE	13.3038
ACIN1	2207.8001	ACIN1	3404.878
ACLY	8028.0317	ACLY	4179.6009
removed	removed	ACMSD	8.4257
ACN9	194.3937	ACN9	189.357
ACO1	1116.3924	ACO1	1519.2905
ACO2	2865.0518	ACO2	3274.102
ACOT11	1294.2352	ACOT11	22.6164
ACOT13	982.8641	ACOT13	720.8692
ACOT1	611.2127	ACOT1	764.9667
ACOT2	244.9726	ACOT2	550.3326
ACOT4	118.2206	ACOT4	224.8337
ACOT7	1697.1359	ACOT7	656.7627
ACOT8	567.2882	ACOT8	310.4568
ACOT9	96.2828	ACOT9	404.4346
ACOX1	4464.351	ACOX1	1254.6519
ACOX2	26.2035	ACOX2	215.9645
ACOX3	1084.0951	ACOX3	1096.6741
ACP1	4639.8537	ACP1	1507.3171
ACP2	1388.7873	ACP2	1074.5011
ACP5	1435.1005	ACP5	897.561
ACP6	1093.2358	ACP6	423.0599
ACPL2	458.8665	ACPL2	972.5055
ACPP	7.3126	ACPP	55.4324
removed	removed	ACRBP	10.1996
removed	removed	ACRC	7.5388
ACSBG1	1482.6325	ACSBG1	5.3215
ACSF2	821.4503	ACSF2	2058.0931
ACSF3	154.1743	ACSF3	493.1264
ACSL1	4396.7093	ACSL1	4442.1286
ACSL3	2547.2273	ACSL3	6554.7672
ACSL4	192.5655	ACSL4	741.02
ACSL5	3059.1103	ACSL5	439.9113
removed	removed	ACSL6	21.286
removed	removed	ACSM1	45.6763
ACSM3	485.0396	ACSM3	362.6652
ACSM5	9.1408	ACSM5	81.153
ACSS1	1688.6045	ACSS1	576.4967
ACSS2	4715.4174	ACSS2	2063.8581
ACSS3	76.7824	ACSS3	374.2794
ACTA1	74.3449	ACTA1	6.6519
ACTA2	2213.3455	ACTA2	29278.7761
ACTB	134583.7904	ACTB	74606.6519
ACTC1	5.4845	removed	removed
ACTG1	73304.6923	ACTG1	77352.1064
ACTG2	17.6722	ACTG2	5029.2683
ACTL6A	1429.0067	ACTL6A	957.8714
ACTL8	58.5009	removed	removed
ACTN1	2973.7965	ACTN1	9290.9091
ACTN2	19.5003	removed	removed
ACTN4	13927.8489	ACTN4	11587.4767
ACTR10	977.4528	ACTR10	1044.3459
ACTR1A	5940.8897	ACTR1A	3150.7761
ACTR1B	539.9147	ACTR1B	1773.8359
ACTR2	7625.2285	ACTR2	3235.4767
ACTR3B	1275.4418	ACTR3B	241.2417
ACTR3C	73.1261	ACTR3C	28.3814
ACTR3	3648.9945	ACTR3	2336.1419
ACTR5	340.6459	ACTR5	182.7051
ACTR6	1026.8129	ACTR6	487.3614
ACTR8	357.7087	ACTR8	422.1729
ACVR1B	461.3041	ACVR1B	1031.4856
ACVR1C	41.4381	ACVR1C	463.8581
ACVR1	371.1152	ACVR1	1141.4634
ACVR2A	307.1298	ACVR2A	567.6275
ACVR2B	460.6947	ACVR2B	280.2661
ACVRL1	178.5497	ACVRL1	391.1308
ACY1	708.7142	ACY1	1254.102
removed	removed	ACY3	11.0865
ACYP1	62.7666	ACYP1	48.7805
ACYP2	89.5795	ACYP2	211.0865
ADAL	104.2048	ADAL	151.2195
ADAM10	689.2139	ADAM10	1462.9712
ADAM11	5.4845	ADAM11	11.5299
ADAM12	671.5417	ADAM12	655.4324
ADAM15	13727.4893	ADAM15	3119.3392
ADAM17	1446.6789	ADAM17	658.98
ADAM19	189.5186	ADAM19	162.7494
removed	removed	ADAM22	17.2949
removed	removed	ADAM23	6.6519
ADAM28	12.7971	ADAM28	84.2572
ADAM32	187.6904	ADAM32	33.2594
removed	removed	ADAM33	185.8093
ADAM6	2548.7812	ADAM6	21026.3681
ADAM8	86.5326	ADAM8	45.6763
ADAM9	764.1682	ADAM9	2329.0466
ADAMDEC1	7.3126	removed	removed
ADAMTS10	26.8129	ADAMTS10	54.102
ADAMTS12	136.5021	ADAMTS12	124.612
ADAMTS13	28.6411	ADAMTS13	52.3282
ADAMTS14	21.3285	removed	removed
ADAMTS15	6.7032	ADAMTS15	247.8936
removed	removed	ADAMTS16	25.2772
ADAMTS17	5.4845	ADAMTS17	22.1729
removed	removed	ADAMTS18	59.867
ADAMTS1	273.0043	ADAMTS1	1584.0355
ADAMTS20	8.5314	removed	removed
ADAMTS2	91.4077	ADAMTS2	338.3592
ADAMTS3	16.4534	ADAMTS3	25.2772
ADAMTS4	175.5027	ADAMTS4	75.8315
ADAMTS5	42.0475	ADAMTS5	957.8714
removed	removed	ADAMTS6	5.765
ADAMTS7	251.0664	ADAMTS7	86.918
ADAMTS8	13.4065	ADAMTS8	545.4545
ADAMTS9	118.2206	ADAMTS9	237.694
ADAMTSL1	58.5009	ADAMTSL1	35.4767
ADAMTSL2	97.5015	ADAMTSL2	22.6164
ADAMTSL3	22.5472	ADAMTSL3	67.8492
ADAMTSL4	276.0512	ADAMTSL4	188.4701
ADAMTSL5	22.5472	ADAMTSL5	68.7361
ADAP1	25.3626	ADAP1	193.051
ADAP2	158.44	ADAP2	82.4834
ADARB1	519.805	ADARB1	510.4213
ADAR	14760.5119	ADAR	5121.9512
ADAT1	125.5332	ADAT1	193.7916
ADAT2	149.9086	ADAT2	89.1353
ADAT3	111.5174	ADAT3	66.0754
ADA	253.504	ADA	94.9002
ADCK1	175.5027	ADCK1	168.5144
ADCK2	1516.1913	ADCK2	1141.4634
ADCK4	556.9775	ADCK4	559.2018
ADCK5	289.4576	ADCK5	107.7605
ADCY1	359.5369	ADCY1	213.3038
ADCY2	46.3132	ADCY2	39.9113
ADCY3	971.4199	ADCY3	1119.2683
ADCY4	56.0634	ADCY4	162.306
removed	removed	ADCY5	216.8514
ADCY6	1193.7843	ADCY6	1982.2616
ADCY7	340.0366	ADCY7	160.9756
ADCY9	158.44	ADCY9	579.1574
removed	removed	ADCYAP1	23.0599
ADC	56.6728	ADC	141.4634
ADD1	3285.192	ADD1	5751.663
ADD2	24.3754	ADD2	15.9645
ADD3	1035.9537	ADD3	1320.6208
removed	removed	ADH1A	105.5432
ADH1B	20.1097	ADH1B	14782.7051
removed	removed	ADH1C	181.8182
ADH5	1453.3821	ADH5	2939.6896
removed	removed	ADH7	141.9069
ADHFE1	14.0158	ADHFE1	200
ADI1	2640.4631	ADI1	1653.6585
ADIPOQ	18.8909	ADIPOQ	9491.796
ADIPOR1	3288.8483	ADIPOR1	2617.7384
ADIPOR2	3241.3163	ADIPOR2	1803.9911
ADK	631.9317	ADK	496.6741
ADM2	104.8141	ADM2	106.4302
ADM	394.2718	ADM	241.6851
ADNP2	1149.9086	ADNP2	623.0599
ADNP	3480.195	ADNP	2392.0177
ADORA1	62.1572	ADORA1	225.7206
ADORA2A	77.3918	ADORA2A	64.2483
removed	removed	ADORA2B	42.1286
ADORA3	73.7355	ADORA3	60.3104
ADO	829.3723	ADO	522.8381
ADPGK	789.153	ADPGK	790.5632
ADPRHL1	180.9872	ADPRHL1	113.082
ADPRHL2	1090.7983	ADPRHL2	650.5543
ADPRH	219.3784	ADPRH	379.6009
removed	removed	ADRA1A	11.5299
removed	removed	ADRA1B	11.5299
ADRA2A	49.3601	ADRA2A	979.6009
ADRA2B	6.7032	ADRA2B	20.8426
ADRA2C	17.0628	ADRA2C	43.0155
ADRB1	356.4899	ADRB1	11.5299
ADRB2	11.5783	ADRB2	228.8248
ADRBK1	2288.8483	ADRBK1	1386.6962
ADRBK2	251.6758	ADRBK2	914.4124
ADRM1	3910.4205	ADRM1	1533.0377
ADSL	858.6228	ADSL	1509.5344
ADSSL1	15.844	ADSSL1	160.5322
ADSS	884.8263	ADSS	1375.6098
AEBP1	3168.1901	AEBP1	3309.0909
AEBP2	568.5558	AEBP2	415.0776
AEN	329.0676	AEN	286.4745
AES	4764.7776	AES	7422.6164
AFAP1L1	201.7063	AFAP1L1	191.5743
AFAP1L2	356.4899	AFAP1L2	1083.3703
AFAP1	900.6642	AFAP1	1046.1197
removed	removed	AFARP1	5.765
AFF1	987.8123	AFF1	1261.6408
AFF2	32.2974	AFF2	27.4945
AFF3	127.9707	AFF3	3874.5011
AFF4	1856.7946	AFF4	1749.4457
AFG3L1	163.9244	AFG3L1	223.5033
AFG3L2	3740.3352	AFG3L2	1236.949
AFMID	145.6429	AFMID	584.4789
removed	removed	AFP	207.5388
AFTPH	1813.5283	AFTPH	1135.255
AG2	105.4235	AG2	105.9867
AGAP11	7.3126	AGAP11	67.8492
AGAP1	277.27	AGAP1	345.898
AGAP2	522.6143	AGAP2	103.8936
AGAP3	1773.309	AGAP3	1595.5654
AGAP4	205.3626	AGAP4	147.2284
AGAP5	22.4497	AGAP5	25.7206
AGAP6	124.3144	AGAP6	72.7273
AGAP7	17.0628	removed	removed
AGAP8	21.3285	AGAP8	27.4945
AGA	569.7745	AGA	818.6253
AGBL3	7.3126	removed	removed
AGBL4	10.9689	AGBL4	15.5211
AGBL5	1435.7343	AGBL5	1044.816
AGER	17.6722	AGER	21.286
AGFG1	1277.8793	AGFG1	1145.0111
AGFG2	301.6453	AGFG2	388.4701
AGGF1	647.7757	AGGF1	730.3769
AGK	550.8836	AGK	584.4789
AGL	607.5564	AGL	806.2084
AGMAT	82.8763	AGMAT	9.3126
AGPAT1	3118.4644	AGPAT1	1736.2927
AGPAT2	1215.1127	AGPAT2	2578.714
AGPAT3	8099.3297	AGPAT3	2250.9978
AGPAT4	326.0207	AGPAT4	227.9379
AGPAT5	1295.5515	AGPAT5	813.7472
AGPAT6	1943.9366	AGPAT6	2890.4656
AGPAT9	61.5478	AGPAT9	290.9091
AGPHD1	55.454	AGPHD1	77.1619
AGPS	689.8233	AGPS	466.5188
AGR2	203.5344	AGR2	7040.3548
AGR3	36.5631	AGR3	827.051
AGRN	1595.3687	AGRN	7926.8293
AGTPBP1	383.3029	AGTPBP1	288.6918
AGTR1	67.6417	AGTR1	317.0732
AGTRAP	1525.2895	AGTRAP	1358.7583
AGT	15.844	AGT	114.4124
AGXT2L2	130.1158	AGXT2L2	363.3082
AHCTF1	1510.0548	AHCTF1	853.6585
AHCYL1	3741.621	AHCYL1	4057.6497
AHCYL2	761.7307	AHCYL2	536.5854
AHCY	6941.4991	AHCY	11239.9113
AHDC1	1000.6094	AHDC1	1264.745
AHI1	297.989	AHI1	202.2173
AHNAK2	346.7398	AHNAK2	338.8027
AHNAK	20982.9372	AHNAK	47297.561
AHRR	15.2346	AHRR	11.5299
AHR	1934.1865	AHR	948.5588
AHSA1	3082.8763	AHSA1	2191.5743
AHSA2	277.27	AHSA2	502.439
AIDA	867.7697	AIDA	1013.9113
AIF1L	1570.3839	AIF1L	1334.3681
AIF1	182.8154	AIF1	262.0843
AIFM1	1661.7916	AIFM1	1126.8293
AIFM2	488.7264	AIFM2	877.1619
AIFM3	50.4266	AIFM3	9.3126
AIG1	855.5759	AIG1	1326.8293
AIM1L	315.0518	removed	removed
AIM1	2588.6654	AIM1	2194.235
AIMP1	916.2828	AIMP1	875.0865
AIMP2	943.1322	AIMP2	435.6763
AIP	936.0146	AIP	1364.0798
AJAP1	10.9689	AJAP1	30.1552
AK1	585.0091	AK1	675.8315
AK2	4221.816	AK2	2456.3193
AK3L1	652.6508	AK3L1	662.5277
AK3	2449.7258	AK3	1700.2217
AK5	7.922	AK5	2442.1286
AK7	5.4845	AK7	15.0776
AKAP10	234.613	AKAP10	429.2683
AKAP11	591.7124	AKAP11	723.7251
AKAP12	145.6429	AKAP12	628.8248
AKAP13	1210.2377	AKAP13	2324.1685
AKAP1	1257.7697	AKAP1	2677.6053
AKAP2	589.5491	AKAP2	931.0909
AKAP3	20.1097	AKAP3	24.3902
AKAP5	53.0165	AKAP5	67.4058
AKAP6	10.9689	AKAP6	63.8581
AKAP7	63.9854	AKAP7	147.2284
AKAP8L	1076.7824	AKAP8L	929.49
AKAP8	380.8653	AKAP8	471.3969
AKAP9	1669.7136	AKAP9	1756.9845
AKD1	140.1584	AKD1	123.2816
AKIRIN1	1190.128	AKIRIN1	1186.6962
AKIRIN2	853.7477	AKIRIN2	882.0399
removed	removed	AKNAD1	7.9911
AKNA	550.8836	AKNA	521.0643
AKR1A1	3971.3589	AKR1A1	2101.1086
AKR1B10	5.4845	AKR1B10	857.6497
AKR1B15	85.3138	removed	removed
AKR1B1	1513.1018	AKR1B1	679.8226
AKR1C1	12.7971	AKR1C1	2733.9246
removed	removed	AKR1C2	1027.4945
AKR1C3	168.7995	AKR1C3	1136.5854
removed	removed	AKR1E2	38.5809
AKR7A2	1337.599	AKR7A2	1487.3614
AKR7A3	56.0634	AKR7A3	230.1552
AKR7L	9.7502	AKR7L	11.5299
AKT1S1	2204.7532	AKT1S1	1392.9047
AKT1	2904.3266	AKT1	4814.6341
AKT2	4301.036	AKT2	2472.2838
AKT3	1746.496	AKT3	287.3614
AKTIP	538.5253	AKTIP	530.6652
ALAD	562.4619	ALAD	2072.2838
ALAS1	3498.4765	ALAS1	852.7716
removed	removed	ALB	2562.7494
ALCAM	2397.3187	ALCAM	5501.9956
ALDH16A1	1123.0957	ALDH16A1	910.8647
ALDH18A1	3583.7904	ALDH18A1	2011.5299
ALDH1A1	243.1444	ALDH1A1	1343.2373
ALDH1A2	9.7502	ALDH1A2	354.7672
ALDH1A3	226.1913	ALDH1A3	577.122
ALDH1B1	288.2389	ALDH1B1	542.7938
removed	removed	ALDH1L1	643.459
ALDH1L2	51.7977	ALDH1L2	315.7428
ALDH2	17839.1225	ALDH2	4201.7738
removed	removed	ALDH3A1	955.2106
ALDH3A2	3388.7873	ALDH3A2	2200
ALDH3B1	84.7044	ALDH3B1	135.255
ALDH3B2	4833.638	ALDH3B2	4042.1286
ALDH4A1	422.9129	ALDH4A1	2458.5366
ALDH5A1	1156.0024	ALDH5A1	462.0843
ALDH6A1	444.0524	ALDH6A1	431.2106
ALDH7A1	2493.6015	ALDH7A1	5847.4501
removed	removed	ALDH8A1	17.2949
ALDH9A1	9354.6618	ALDH9A1	3795.5654
ALDOA	21366.2401	ALDOA	24514.4124
ALDOC	268.1292	ALDOC	1081.5965
ALG10B	393.053	ALG10B	182.7051
ALG10	133.4552	ALG10	78.0488
ALG11	6.7032	ALG11	5.765
ALG12	577.6965	ALG12	712.6386
ALG13	369.8964	ALG13	384.4789
ALG14	301.036	ALG14	281.153
ALG1L	9.9634	removed	removed
ALG1	336.0268	ALG1	754.0665
ALG2	583.7904	ALG2	865.6319
ALG3	1817.794	ALG3	932.1508
ALG5	400.3656	ALG5	772.5055
ALG6	655.6977	ALG6	150.3326
ALG8	3794.028	ALG8	1107.3171
ALG9	1400.975	ALG9	514.4124
ALKBH1	202.3157	ALKBH1	281.5965
ALKBH2	287.0201	ALKBH2	497.1175
ALKBH3	360.7556	ALKBH3	513.5255
ALKBH4	396.0512	ALKBH4	345.4812
ALKBH5	1813.3821	ALKBH5	2315.1707
ALKBH6	225.4723	ALKBH6	94.4568
ALKBH7	652.6508	ALKBH7	1092.6829
ALKBH8	235.2224	ALKBH8	179.1574
ALMS1	800.1219	ALMS1	566.2971
removed	removed	ALOX12P2	5.765
ALOX12	5.4845	ALOX12	16.408
ALOX15B	32.9068	ALOX15B	6671.8404
ALOX15	252.8946	ALOX15	8.4257
ALOX5AP	110.908	ALOX5AP	181.3747
ALOX5	132.8458	ALOX5	911.3082
ALOXE3	26.2035	ALOXE3	18.1818
ALPK1	313.833	ALPK1	575.1663
ALPK2	12.7971	ALPK2	15.9645
ALPK3	170.0183	ALPK3	162.7494
ALPL	59.7197	ALPL	717.9601
ALS2CL	650.8227	ALS2CL	119.7339
removed	removed	ALS2CR11	6.2084
ALS2CR4	486.2888	ALS2CR4	1189.357
ALS2CR8	70.6886	ALS2CR8	110.8647
ALS2	369.287	ALS2	492.6829
ALX3	27.4223	ALX3	31.0421
ALX4	9.7502	ALX4	56.7627
AMACR	185.8623	AMACR	342.3503
removed	removed	AMBP	34.1463
AMBRA1	892.7483	AMBRA1	1193.3481
AMD1	1555.0884	AMD1	1341.9069
removed	removed	AMDHD1	54.102
AMDHD2	282.3949	AMDHD2	286.031
AMFR	1648.9945	AMFR	4117.9601
AMICA1	170.0183	AMICA1	79.8226
AMIGO1	158.44	AMIGO1	78.4922
AMIGO2	282.7544	AMIGO2	2215.9645
AMIGO3	307.1298	AMIGO3	56.3193
AMMECR1L	555.1493	AMMECR1L	721.0643
AMMECR1	985.3748	AMMECR1	421.286
AMN1	159.0494	AMN1	138.3592
AMOTL1	2744.0585	AMOTL1	1819.0687
AMOTL2	803.7782	AMOTL2	2000.8869
AMOT	2453.3821	AMOT	1041.2417
AMPD2	720.9019	AMPD2	791.5743
AMPD3	99.9391	AMPD3	161.8625
AMPH	7.3126	AMPH	2773.8359
AMT	117.9525	AMT	110.4213
AMY1A	1130.4083	AMY1A	10.643
AMY2A	15.844	removed	removed
AMY2B	77.8611	AMY2B	164.4967
AMZ1	8.5314	AMZ1	25.2772
AMZ2P1	86.5326	AMZ2P1	184.0355
AMZ2	1143.8147	AMZ2	1415.0776
ANAPC10	110.2986	ANAPC10	164.5233
ANAPC11	1187.081	ANAPC11	1058.0931
ANAPC13	914.9665	ANAPC13	1180.2971
ANAPC16	1783.0591	ANAPC16	2074.9446
ANAPC1	400.975	ANAPC1	426.6075
ANAPC2	477.7575	ANAPC2	820.8426
ANAPC4	317.4893	ANAPC4	414.1907
ANAPC5	2057.8915	ANAPC5	2439.9113
ANAPC7	923.2176	ANAPC7	941.02
ANGEL1	641.0725	ANGEL1	602.2173
ANGEL2	514.3205	ANGEL2	476.7184
ANGPT1	9.1408	ANGPT1	39.0244
ANGPT2	160.8775	ANGPT2	141.4634
ANGPTL1	6.7032	ANGPTL1	76.7184
ANGPTL2	416.819	ANGPTL2	1948.1153
ANGPTL4	318.0987	ANGPTL4	509.5344
removed	removed	ANGPTL6	6.3149
removed	removed	ANGPTL7	128.6031
ANG	128.9214	ANG	652.6874
ANK1	21.3285	ANK1	43.0155
ANK2	88.3608	ANK2	198.6696
ANK3	1244.3632	ANK3	1265.1885
ANKAR	17.0628	ANKAR	10.1996
ANKDD1A	279.7075	ANKDD1A	51.8847
removed	removed	ANKFN1	5.765
ANKFY1	1048.7508	ANKFY1	1678.0488
ANKHD1-EIF4EBP3	677.465	ANKHD1-EIF4EBP3	1470.8115
ANKHD1	2771.3102	ANKHD1	1525.5211
ANKH	1534.4302	ANKH	1633.2594
ANKIB1	1675.8074	ANKIB1	797.7827
ANKK1	49.3601	ANKK1	25.2772
removed	removed	ANKLE1	9.7561
ANKLE2	1175.5027	ANKLE2	1401.7738
ANKMY1	90.7983	ANKMY1	196.4523
ANKMY2	353.443	ANKMY2	596.8958
ANKRA2	146.2523	ANKRA2	345.4545
ANKRD10	329.0676	ANKRD10	1054.9401
ANKRD11	1764.7532	ANKRD11	2349.1042
ANKRD12	953.0774	ANKRD12	594.235
ANKRD13A	836.6849	ANKRD13A	808.4257
ANKRD13B	195.6124	ANKRD13B	181.8182
ANKRD13C	417.4284	ANKRD13C	375.6098
ANKRD13D	663.6197	ANKRD13D	453.6585
ANKRD16	264.4729	ANKRD16	192.9047
ANKRD17	2430.8349	ANKRD17	2151.2195
ANKRD19	102.986	ANKRD19	69.1796
ANKRD1	7.3126	removed	removed
removed	removed	ANKRD20A3	6.6519
ANKRD22	885.8684	ANKRD22	99.7783
ANKRD23	152.9555	ANKRD23	18.6253
ANKRD24	5.4845	ANKRD24	35.4767
ANKRD26	211.4564	ANKRD26	91.3525
ANKRD27	1942.7179	ANKRD27	519.2905
ANKRD28	666.0573	ANKRD28	771.1752
ANKRD29	45.7038	ANKRD29	257.6497
ANKRD2	6.0938	removed	removed
ANKRD30A	15.844	ANKRD30A	448.7805
removed	removed	ANKRD30B	94.0133
ANKRD32	87.142	ANKRD32	79.3792
ANKRD34A	6.7032	ANKRD34A	74.0576
removed	removed	ANKRD34B	5.3215
ANKRD35	3649.6039	ANKRD35	203.5477
ANKRD36BP1	95.064	ANKRD36BP1	31.4856
ANKRD36B	8.5314	ANKRD36B	10.1996
ANKRD36	87.142	ANKRD36	123.7251
ANKRD37	38.9092	ANKRD37	146.0355
ANKRD39	397.3187	ANKRD39	205.3215
ANKRD40	496.039	ANKRD40	927.2727
ANKRD42	517.3675	ANKRD42	272.2838
removed	removed	ANKRD43	34.5898
ANKRD44	8.5314	ANKRD44	26.1641
ANKRD45	23.1566	ANKRD45	18.6253
ANKRD46	1253.2054	ANKRD46	493.2639
ANKRD49	460.0853	ANKRD49	281.5965
ANKRD50	538.0865	ANKRD50	848.7805
ANKRD52	1206.5814	ANKRD52	1439.9113
ANKRD53	107.2517	ANKRD53	78.9357
ANKRD54	483.2419	ANKRD54	358.7583
ANKRD56	124.9238	ANKRD56	101.9956
ANKRD57	422.3035	ANKRD57	535.6984
ANKRD58	41.4381	ANKRD58	15.9645
ANKRD5	374.1621	ANKRD5	210.1996
ANKRD6	185.0335	ANKRD6	144.7406
ANKRD9	114.5643	ANKRD9	66.5188
ANKS1A	1005.4845	ANKS1A	1435.9202
ANKS1B	54.2352	ANKS1B	156.541
ANKS3	115.7831	ANKS3	165.8537
ANKS6	85.3138	ANKS6	76.2749
ANKZF1	525.8988	ANKZF1	557.4279
ANLN	2460.6947	ANLN	50.5543
ANO10	2027.4223	ANO10	1180.0443
ANO1	524.0707	ANO1	5763.1929
ANO2	31.688	ANO2	36.8071
removed	removed	ANO3	10.1996
removed	removed	ANO5	22.6164
ANO6	1592.3218	ANO6	2530.8204
ANO7	22.5472	ANO7	27.4945
ANO8	160.2681	ANO8	248.337
ANO9	191.3467	ANO9	212.8603
ANP32A	2238.2693	ANP32A	3550.7761
