gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
AKNA	635.4566	AKNA	530.4525
AKR1A1	1981.1972	AKR1A1	1494.439
removed	removed	AKR1B10	109.4536
removed	removed	AKR1B15	51.058
AKR1B1	685.3415	AKR1B1	610.2497
AKR1C1	13.0468	AKR1C1	1342.7938
AKR1C2	8.8258	AKR1C2	909.8712
AKR1C3	269.3784	AKR1C3	901.9221
removed	removed	AKR1D1	5.809
removed	removed	AKR1E2	36.3826
AKR7A2	1159.2479	AKR7A2	1024.2166
AKR7A3	326.5541	AKR7A3	179.1615
AKR7L	25.3262	AKR7L	21.7073
AKT1S1	939.7544	AKT1S1	739.8818
AKT1	4217.5748	AKT1	2806.6592
AKT2	2654.6431	AKT2	2226.6775
AKT3	401.7652	AKT3	668.951
AKTIP	608.231	AKTIP	507.3205
ALAD	778.5879	ALAD	1931.9477
ALAS1	562.548	ALAS1	943.5022
ALB	44.8964	ALB	81.6316
ALCAM	3397.9279	ALCAM	3747.4098
ALDH16A1	712.2026	ALDH16A1	465.9421
ALDH18A1	3140.0614	ALDH18A1	1861.0169
ALDH1A1	418.2655	ALDH1A1	1030.9428
ALDH1A2	23.7913	ALDH1A2	521.8919
ALDH1A3	486.9839	ALDH1A3	1610.5669
ALDH1B1	887.5672	ALDH1B1	491.3182
ALDH1L1	5.7559	ALDH1L1	290.7552
ALDH1L2	626.6309	ALDH1L2	385.5335
ALDH2	794.7045	ALDH2	3389.3926
removed	removed	ALDH3A1	124.1289
ALDH3A2	1325.0192	ALDH3A2	1802.0098
ALDH3B1	263.2387	ALDH3B1	129.0207
ALDH3B2	522.2563	ALDH3B2	642.352
ALDH4A1	371.4505	ALDH4A1	1104.931
ALDH5A1	1229.0867	ALDH5A1	727.6524
ALDH6A1	640.33	ALDH6A1	566.3031
ALDH7A1	1605.5257	ALDH7A1	2913.9727
removed	removed	ALDH8A1	18.3442
ALDH9A1	3262.4712	ALDH9A1	3598.822
ALDOA	16528.0123	ALDOA	10456.793
removed	removed	ALDOB	11.618
ALDOC	48.7337	ALDOC	818.1503
ALG10B	264.3899	ALG10B	408.4637
ALG10	119.34	ALG10	117.097
ALG11	12.2794	ALG11	10.395
ALG12	389.8695	ALG12	426.1964
