gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
ADAMTSL1	144.4363	ADAMTSL1	214.6873
ADAMTSL2	56.3744	ADAMTSL2	46.5587
ADAMTSL3	231.0243	ADAMTSL3	122.4321
ADAMTSL4	251.6581	ADAMTSL4	479.8132
removed	removed	ADAMTSL5	19.3995
ADAP1	252.1297	ADAP1	132.231
ADAP2	475.3132	ADAP2	317.2889
ADARB1	292.5571	ADARB1	952.2978
ADAR	20948.7841	ADAR	9723.4392
ADAT1	1555.269	ADAT1	511.7146
ADAT2	44.2152	ADAT2	289.2675
ADAT3	24.6868	ADAT3	18.5373
ADA	236.9197	ADA	280.6455
ADCK1	126.3817	ADCK1	187.9592
ADCK2	445.8364	ADCK2	598.7966
ADCK4	430.7296	ADCK4	457.8272
ADCK5	63.3751	ADCK5	89.2375
ADCY1	14.7384	ADCY1	156.9201
ADCY2	106.4849	ADCY2	62.0783
ADCY3	2709.9116	ADCY3	1479.0621
ADCY4	42.7413	ADCY4	394.0245
ADCY5	15.8438	ADCY5	209.9452
ADCY6	697.4945	ADCY6	1758.453
ADCY7	967.5755	ADCY7	1801.1319
removed	removed	ADCY8	5.1732
ADCY9	514.0015	ADCY9	601.3832
removed	removed	ADCYAP1R1	52.5941
ADCYAP1	81.0612	ADCYAP1	172.4396
ADC	121.5917	ADC	157.7823
ADD1	5783.3456	ADD1	5480.9934
ADD2	68.902	ADD2	132.7785
ADD3	2396.4628	ADD3	3541.0476
removed	removed	ADH1A	25.0037
ADH1B	13.2646	ADH1B	2979.3256
removed	removed	ADH1C	71.9935
removed	removed	ADH4	28.4525
ADH5	4060.059	ADH5	2182.6545
ADHFE1	85.4827	ADHFE1	159.0756
ADI1	1320.9285	ADI1	1203.6286
ADIPOQ	17.6861	ADIPOQ	1795.9587
ADIPOR1	4813.1909	ADIPOR1	2198.6052
ADIPOR2	2562.6382	ADIPOR2	1610.155
ADK	301.0317	ADK	267.7125
ADM2	641.857	ADM2	169.853
ADM	372.5129	ADM	257.3661
ADNP2	637.0671	ADNP2	668.2035
ADNP	3535.3721	ADNP	3282.3882
ADORA1	242.0781	ADORA1	331.5152
ADORA2A	499.252	ADORA2A	290.1167
ADORA2B	59.322	ADORA2B	137.0895
ADORA3	142.594	ADORA3	119.8455
ADO	651.437	ADO	693.6384
ADPGK	1696.8055	ADPGK	1219.9327
ADPRHL1	87.6934	ADPRHL1	62.0783
ADPRHL2	575.9027	ADPRHL2	492.7462
ADPRH	574.7973	ADPRH	518.6122
ADRA1B	8.1061	ADRA1B	11.2086
removed	removed	ADRA1D	6.4665
ADRA2A	127.1186	ADRA2A	862.1981
ADRA2B	39.0567	ADRA2B	26.7281
removed	removed	ADRA2C	39.23
removed	removed	ADRB1	15.0885
ADRB2	27.266	ADRB2	217.705
ADRBK1	2032.4245	ADRBK1	2724.546
ADRBK2	794.7679	ADRBK2	1586.8756
ADRM1	1765.2911	ADRM1	985.4924
ADSL	780.0295	ADSL	868.2335
ADSSL1	31.6875	ADSSL1	53.4563
ADSS	2519.8968	ADSS	1768.3683
AEBP1	6539.0567	AEBP1	5161.1179
AEBP2	930.3611	AEBP2	968.6796
AEN	532.7929	AEN	602.6765
AES	2198.9683	AES	4325.2168
AFAP1L1	105.0111	AFAP1L1	256.935
AFAP1L2	480.1032	AFAP1L2	881.5976
AFAP1	1807.6898	AFAP1	1669.2069
AFARP1	7.3692	removed	removed
AFF1	6220.7074	AFF1	2383.5467
