gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ACYP2	175.3808	ACYP2	266.2933
ADAL	109.0984	ADAL	225.0509
ADAM10	2013.1741	ADAM10	1099.7963
ADAM11	19.7612	ADAM11	6.11
ADAM12	2340.4693	ADAM12	2175.6619
ADAM15	1718.8143	ADAM15	2304.4807
ADAM17	726.6365	ADAM17	578.9206
ADAM18	9.4689	removed	removed
ADAM19	487.0317	ADAM19	118.6354
removed	removed	ADAM21	5.6008
ADAM22	22.6431	ADAM22	380.8554
ADAM23	57.2252	ADAM23	45.8248
ADAM28	16.056	ADAM28	21.3849
ADAM32	707.2869	ADAM32	13.2383
ADAM33	25.5249	ADAM33	540.8401
ADAM5P	469.7406	removed	removed
ADAM6	3937.7686	ADAM6	1735.6008
ADAM8	96.7476	ADAM8	92.1589
ADAM9	16482.5031	ADAM9	2218.9409
ADAMTS10	55.9901	ADAMTS10	382.8921
ADAMTS12	538.4932	ADAMTS12	658.3503
ADAMTS13	58.872	ADAMTS13	28.5132
ADAMTS14	263.4829	ADAMTS14	5.6008
ADAMTS15	11.9391	ADAMTS15	574.8473
ADAMTS16	67.5175	ADAMTS16	76.3747
ADAMTS17	86.4553	ADAMTS17	26.4766
ADAMTS18	11.5274	ADAMTS18	125.7637
ADAMTS1	423.2194	ADAMTS1	7170.5703
ADAMTS2	591.6015	ADAMTS2	1378.8187
ADAMTS3	12.3508	ADAMTS3	160.8961
ADAMTS4	222.7254	ADAMTS4	408.8595
ADAMTS5	106.6282	ADAMTS5	2656.8228
ADAMTS6	91.8073	ADAMTS6	53.9715
ADAMTS7	102.5113	ADAMTS7	174.6436
ADAMTS8	10.2923	ADAMTS8	11.7108
ADAMTS9	202.5525	ADAMTS9	705.1935
ADAMTSL1	90.1606	ADAMTSL1	234.2159
ADAMTSL2	169.2054	ADAMTSL2	58.0448
ADAMTSL3	255.6608	ADAMTSL3	386.4562
ADAMTSL4	97.571	ADAMTSL4	1520.8758
ADAMTSL5	187.7316	ADAMTSL5	17.8208
ADAP1	593.0424	ADAP1	112.0978
ADAP2	198.0239	ADAP2	437.3727
ADARB1	687.5257	ADARB1	839.613
ADAR	6166.7353	ADAR	4862.5255
ADAT1	328.1186	ADAT1	367.1079
ADAT2	77.3981	ADAT2	89.613
ADAT3	22.6431	ADAT3	11.7108
ADA	93.8658	ADA	204.1752
ADCK1	232.606	ADCK1	192.9735
ADCK2	1226.0189	ADCK2	487.2709
ADCK4	401.3998	ADCK4	394.0937
ADCK5	577.604	ADCK5	53.4623
ADCY10	14.4092	removed	removed
ADCY1	1192.6719	ADCY1	126.2729
ADCY2	9.0572	ADCY2	74.3381
ADCY3	1177.9909	ADCY3	1461.5224
ADCY4	97.571	ADCY4	618.1263
ADCY5	620.4199	ADCY5	750
ADCY6	3748.0445	ADCY6	5815.1731
ADCY7	1086.867	ADCY7	1223.5234
ADCY9	881.4327	ADCY9	622.7088
removed	removed	ADCYAP1R1	102.3422
removed	removed	ADCYAP1	5.6008
ADC	135.4467	ADC	42.2607
ADD1	4760.3952	ADD1	10002.0367
ADD2	22.6431	ADD2	47.3523
ADD3	531.4944	ADD3	3647.6578
ADH1A	11.1157	ADH1A	577.3269
ADH1B	1988.8843	ADH1B	63057.0265
ADH1C	81.9267	ADH1C	1068.2281
removed	removed	ADH4	5.6008
ADH5	1538.0815	ADH5	5575.3564
removed	removed	ADH6	5.6008
ADH7	148.6208	ADH7	48.3707
ADHFE1	328.942	ADHFE1	574.3381
ADI1	1466.4471	ADI1	2865.0713
ADIPOQ	1649.6501	ADIPOQ	121017.3116
ADIPOR1	3824.2075	ADIPOR1	2640.5295
ADIPOR2	1728.2832	ADIPOR2	6664.9695
ADK	453.6846	ADK	532.5866
ADM2	228.9008	removed	removed
ADM	81.515	ADM	1582.9939
ADNP2	473.4459	ADNP2	568.7373
ADNP	5376.6982	ADNP	1957.7393
ADORA1	58.872	ADORA1	214.8676
ADORA2A	128.0362	ADORA2A	37.169
ADORA2B	37.8757	ADORA2B	28.0041
