gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
LCP1	741.4574	LCP1	4255.0916
LCP2	136.6818	LCP2	366.0896
LCTL	5.8007	removed	removed
LDB1	1625.7719	LDB1	704.6843
LDB2	251.1322	LDB2	1724.0326
LDB3	48.5797	LDB3	62.1181
LDHA	7566.4883	LDHA	15780.5499
LDHB	3148.2091	LDHB	15970.9776
LDHD	468.5056	LDHD	518.8391
LDLRAD2	75.739	LDLRAD2	748.7729
LDLRAD3	1190.6134	LDLRAD3	610.998
LDLRAP1	1480.0329	LDLRAP1	624.7454
LDLR	483.3265	LDLR	810.5906
LDOC1L	1831.6179	LDOC1L	1275.9674
LDOC1	899.5471	LDOC1	596.7413
LEF1	251.1322	LEF1	36.6599
LEFTY1	9.8806	removed	removed
LEFTY2	8.6455	LEFTY2	96.7413
LEKR1	15.6443	LEKR1	9.165
LEMD2	1163.0301	LEMD2	659.3686
LEMD3	712.6389	LEMD3	647.6578
LENG1	187.7316	LENG1	181.2627
LENG8	3629.7942	LENG8	2328.8289
LENG9	102.606	LENG9	69.8473
LEO1	1655.8254	LEO1	340.1222
LEPRE1	890.4899	LEPRE1	486.7617
LEPREL1	63.4006	LEPREL1	133.4012
LEPREL2	296.4183	LEPREL2	251.5275
LEPROTL1	588.3079	LEPROTL1	1143.5845
LEPROT	554.1005	LEPROT	1795.7332
LEPR	304.2775	LEPR	1645.2037
LEP	176.2042	LEP	37746.4358
LETM1	1438.0403	LETM1	1148.6762
LETM2	591.6015	LETM2	12.7291
LETMD1	1011.1157	LETMD1	1469.4501
LFNG	3488.6785	LFNG	799.389
LGALS12	23.4664	LGALS12	1798.8798
LGALS1	3116.5089	LGALS1	20017.8208
removed	removed	LGALS2	26.9857
LGALS3BP	6450.8028	LGALS3BP	12189.9185
LGALS3	6597.3652	LGALS3	8627.8004
LGALS7	5.7637	removed	removed
LGALS8	1081.5027	LGALS8	1473.0092
removed	removed	LGALS9C	6.11
LGALS9	296.83	LGALS9	672.0978
LGI1	34.5821	removed	removed
LGI2	91.3956	LGI2	293.7882
LGI3	5.7637	removed	removed
LGI4	18.1145	LGI4	452.1385
LGMN	2165.0885	LGMN	6228.1059
LGR4	1272.9518	LGR4	1385.947
LGR5	13.1741	LGR5	14.7658
LGR6	169.6171	LGR6	19.3483
LGTN	1333.0589	LGTN	1510.6925
LHCGR	30.0535	LHCGR	86.558
removed	removed	LHFPL1	5.6008
LHFPL2	1720.4611	LHFPL2	1453.1568
LHFP	583.3676	LHFP	3304.4807
LHPP	437.6287	LHPP	596.7413
LHX4	10.7493	removed	removed
LHX6	69.576	LHX6	250
LIAS	303.8287	LIAS	252.0367
LIFR	792.9189	LIFR	6255.6008
LIF	21.8197	LIF	220.9776
LIG1	645.5331	LIG1	115.0713
LIG3	724.9897	LIG3	269.8574
LIG4	418.2791	LIG4	353.3605
removed	removed	LILRA1	15.7841
LILRA2	13.1741	LILRA2	77.3931
removed	removed	LILRA3	14.7658
LILRA4	6.5871	removed	removed
removed	removed	LILRA5	45.3157
LILRA6	28.8184	LILRA6	225.7077
LILRB1	22.6431	LILRB1	66.7006
LILRB2	25.9366	LILRB2	181.2627
LILRB3	16.4677	LILRB3	109.3228
LILRB4	101.6879	LILRB4	299.389
LILRB5	24.7015	LILRB5	776.4766
LIMA1	2832.0296	LIMA1	6487.2709
LIMCH1	911.0745	LIMCH1	11019.3483
LIMD1	1267.4228	LIMD1	726.1507
LIMD2	88.3903	LIMD2	151.8126
LIME1	82.5813	LIME1	19.2566
LIMK1	1041.9926	LIMK1	340.1222
LIMK2	1228.9008	LIMK2	608.4521
LIMS1	342.9395	LIMS1	950.611
LIMS2	224.3722	LIMS2	1201.6293
LIMS3-LOC440895	10.9387	LIMS3-LOC440895	13.834
LIMS3	5.9407	LIMS3	8.5692
LIN37	161.7126	LIN37	111.9246
LIN52	188.555	LIN52	278.5132
LIN54	340.881	LIN54	264.7658
LIN7A	1547.9621	LIN7A	54.4807
LIN7B	31.2886	LIN7B	33.0957
LIN7C	790.8604	LIN7C	470.4684
LIN9	128.4479	LIN9	94.1955
LINGO1	6457.3899	LINGO1	36.6599
LINGO3	23.0795	removed	removed
LINGO4	19.3495	removed	removed
LINS1	168.3821	LINS1	160.8961
LIPA	1677.6451	LIPA	5528.5132
removed	removed	LIPC	11.7108
LIPE	469.7406	LIPE	25968.722
LIPG	8.6455	LIPG	7.1283
LIPH	25.5249	LIPH	6.11
LIPT1	125.1544	LIPT1	154.277
LIPT2	31.7991	LIPT2	21.3849
LITAF	2167.5587	LITAF	3904.277
LIX1L	194.7303	LIX1L	1126.7821
LLGL1	1693.2894	LLGL1	559.5723
LLGL2	1057.2252	LLGL2	43.279
LLPH	566.8753	LLPH	713.4369
LMAN1	3226.4306	LMAN1	2702.6477
LMAN2L	851.7909	LMAN2L	703.1568
LMAN2	2561.548	LMAN2	1567.2098
LMBR1L	265.1297	LMBR1L	331.9756
LMBR1	1975.2985	LMBR1	745.4175
LMBRD1	1353.2318	LMBRD1	2128.3096
LMBRD2	339.2343	LMBRD2	275.9674
LMCD1	858.3779	LMCD1	2271.8941
LMF1	487.3899	LMF1	243.89
LMF2	1195.142	LMF2	1213.3401
LMLN	516.2618	LMLN	178.7169
LMNA	5145.739	LMNA	10393.0754
LMNB1	566.4883	LMNB1	86.0489
LMNB2	810.6217	LMNB2	366.5988
LMO1	40.3458	removed	removed
LMO2	167.9704	LMO2	920.0611
LMO3	16.056	LMO3	480.6517
LMO4	601.0704	LMO4	1547.8615
LMO7	556.6077	LMO7	81.9756
LMOD1	428.5714	LMOD1	2329.9389
removed	removed	LMOD3	9.165
LMTK2	869.9053	LMTK2	349.2872
LMTK3	138.7402	LMTK3	6.6191
removed	removed	LMX1A	41.2424
LMX1B	1312.0626	LMX1B	23.9308
LNP1	42.4413	LNP1	108.1314
LNPEP	332.2355	LNPEP	1260.7077
LNX1	560.3129	LNX1	411.9145
LNX2	872.7872	LNX2	243.3809
LOC100009676	105.6896	LOC100009676	113.0092
removed	removed	LOC100124692	5.6008
LOC100125556	47.571	LOC100125556	14.5825
removed	removed	LOC100126784	25.0611
removed	removed	LOC100128164	33.6049
LOC100128191	29.156	LOC100128191	19.5519
removed	removed	LOC100128239	5.6008
LOC100128288	33.7587	LOC100128288	49.389
LOC100128292	19.7612	LOC100128292	10.6925
LOC100128640	67.9292	LOC100128640	33.6049
LOC100128788	11.1157	removed	removed
LOC100128822	66.2824	LOC100128822	98.778
LOC100128842	51.0498	LOC100128842	10.6925
LOC100129034	1310.2141	LOC100129034	2594.002
LOC100129387	49.5183	LOC100129387	71.4664
LOC100129534	116.9205	LOC100129534	22.4033
LOC100129550	351.1733	LOC100129550	318.7373
LOC100129637	372.0708	LOC100129637	183.8187
LOC100129716	11.9391	LOC100129716	5.0916
LOC100129726	12.7625	removed	removed
LOC100130015	26.7188	LOC100130015	12.2556
LOC100130093	54.7345	LOC100130093	23.3401
LOC100130238	165.0885	removed	removed
LOC100130522	46.1095	LOC100130522	7.6375
LOC100130557	28.8761	LOC100130557	14.389
LOC100130581	67.1058	LOC100130581	68.7373
LOC100130691	8.8143	LOC100130691	18.3554
LOC100130776	199.9794	LOC100130776	98.4063
LOC100130872	265.9531	LOC100130872	33.6049
LOC100130932	74.1046	LOC100130932	41.2424
LOC100130987	8.6455	LOC100130987	8.1466
LOC100131193	62.5772	LOC100131193	27.4949
LOC100131434	43.9275	LOC100131434	28.0041
removed	removed	LOC100131496	6.11
LOC100131691	18.6867	LOC100131691	10.9012
removed	removed	LOC100132111	21.8788
LOC100132215	16.4677	LOC100132215	25.5448
LOC100132247	418.6908	LOC100132247	95.723
LOC100132287	296.4183	LOC100132287	148.6762
LOC100132288	527.7892	LOC100132288	453.1568
LOC100132707	116.6077	LOC100132707	150.2088
LOC100132724	6.1754	removed	removed
LOC100132832	5.5414	LOC100132832	8.1976
LOC100133161	28.5632	LOC100133161	27.0876
LOC100133331	168.2627	LOC100133331	74.3992
LOC100133612	21.408	LOC100133612	5.0916
LOC100133669	76.163	removed	removed
LOC100133957	5.1791	LOC100133957	8.1925
LOC100133985	18.1145	LOC100133985	11.2016
LOC100133991	45.2861	LOC100133991	13.7475
LOC100134229	185.2614	LOC100134229	117.6171
LOC100134259	13.5858	LOC100134259	23.4216
LOC100134713	21.4245	removed	removed
removed	removed	LOC100134868	13.2383
LOC100144604	43.6394	removed	removed
LOC100170939	17.2911	LOC100170939	19.3483
LOC100190938	22.6431	LOC100190938	289.7149
LOC100190939	130.5064	LOC100190939	130.3462
LOC100190986	292.3014	LOC100190986	144.0937
LOC100192378	7.4105	LOC100192378	34.6232
LOC100216545	93.8658	LOC100216545	56.0081
LOC100233209	6.1754	LOC100233209	12.22
removed	removed	LOC100240735	22.9124
LOC100268168	16.8794	LOC100268168	7.6375
LOC100270710	398.7526	LOC100270710	261.889
LOC100270746	16.4677	LOC100270746	24.4399
LOC100270804	30.4652	LOC100270804	24.7454
LOC100271722	41.9926	LOC100271722	51.9348
LOC100271836	309.3742	LOC100271836	194.5265
LOC100272146	61.3421	LOC100272146	13.2383
LOC100272216	23.4664	LOC100272216	15.1426
LOC100272217	23.8781	LOC100272217	5.6008
LOC100272228	13.1741	LOC100272228	19.3483
LOC100286793	65.8707	LOC100286793	141.0387
LOC100286844	25.459	LOC100286844	33.3452
LOC100288778	547.464	LOC100288778	125.2851
LOC100289341	30.0535	LOC100289341	56.0081
LOC100302401	7.4105	LOC100302401	9.6741
removed	removed	LOC100302640	7.6375
removed	removed	LOC100302650	110.998
LOC100303728	29.6418	LOC100303728	27.4949
LOC113230	382.8736	LOC113230	44.8065
LOC115110	219.823	LOC115110	69.5061
LOC134466	9.0572	LOC134466	47.8615
LOC143188	14.4092	LOC143188	27.4949
LOC143666	37.0523	LOC143666	12.22
LOC144438	801.9761	LOC144438	563.1365
LOC144486	13.5858	LOC144486	5.6008
LOC144571	25.1297	LOC144571	100.4735
LOC145783	30.8563	LOC145783	13.4216
removed	removed	LOC145820	26.9857
LOC145837	6.1754	removed	removed
LOC146336	11.5274	removed	removed
LOC146880	134.4669	LOC146880	179.9338
LOC147727	293.5364	LOC147727	326.8839
LOC147804	89.3372	LOC147804	92.668
LOC148189	36.2289	LOC148189	43.279
LOC148413	446.2577	LOC148413	268.9053
LOC148696	7.8674	LOC148696	15.3004
LOC148709	8.6455	removed	removed
removed	removed	LOC148824	6.6191
LOC149134	30.8769	removed	removed
LOC149837	63.8123	LOC149837	223.0143
LOC150381	41.5727	LOC150381	132.8768
LOC150776	622.0667	LOC150776	162.9328
LOC150786	184.0263	LOC150786	98.778
LOC151009	30.8769	LOC151009	72.3014
LOC151162	1837.3816	LOC151162	1330.4481
removed	removed	LOC151174	6.11
LOC151534	310.6628	LOC151534	202.3473
LOC152217	188.1433	LOC152217	223.0143
LOC153684	39.5224	LOC153684	30.0407
LOC154761	55.669	LOC154761	28.8391
LOC154822	82.1984	removed	removed
LOC158376	7.8221	LOC158376	212.831
LOC158572	71.6344	LOC158572	42.2607
LOC158696	11.9391	LOC158696	22.9124
LOC162632	1311.5562	LOC162632	447.78
LOC168474	7.4105	removed	removed
LOC200030	719.8641	LOC200030	584.6079
removed	removed	LOC201651	14.2566
LOC202181	88.5138	LOC202181	25.4582
LOC202781	351.9967	LOC202781	159.3686
LOC219347	171.0128	LOC219347	87.0672
LOC220594	23.8781	LOC220594	11.7108
LOC220729	219.0202	LOC220729	102.8513
LOC220930	160.2676	LOC220930	78.8493
LOC221442	13.9975	LOC221442	22.4033
LOC221710	415.809	LOC221710	308.554
LOC222699	63.4006	LOC222699	26.9857
LOC253039	537.6698	LOC253039	630.8554
LOC253724	10.2923	LOC253724	9.165
LOC254559	143.6805	removed	removed
LOC255167	25.9366	LOC255167	9.165
removed	removed	LOC257358	19.8574
LOC25845	497.4269	LOC25845	159.7912
LOC282997	38.2874	LOC282997	31.5682
LOC283050	20.9963	LOC283050	24.4399
LOC283070	771.9226	LOC283070	368.6354
LOC283174	431.0416	LOC283174	31.5682
LOC283267	218.6085	LOC283267	451.6293
LOC283314	37.0852	LOC283314	31.1507
LOC283392	11.4492	LOC283392	1110.3259
LOC283663	37.0523	LOC283663	15.7841
LOC283731	5.7637	LOC283731	15.7841
removed	removed	LOC283856	6.11
LOC283867	12.3508	removed	removed
LOC283922	46.5212	LOC283922	17.8208
LOC284023	54.3434	LOC284023	35.6415
LOC284232	15.6443	LOC284232	13.2383
LOC284233	9.0572	removed	removed
LOC284276	5.7637	removed	removed
LOC284440	122.6842	LOC284440	106.4155
LOC284441	121.0375	LOC284441	130.3462
removed	removed	LOC284578	26.9857
LOC284749	7.4105	removed	removed
LOC284837	8.2338	LOC284837	12.7291
LOC284900	272.5978	LOC284900	84.7912
LOC285033	32.0502	LOC285033	41.833
LOC285074	206.2577	LOC285074	215.3768
LOC285359	138.3285	LOC285359	64.1548
removed	removed	LOC285456	6.11
LOC285593	34.9938	LOC285593	23.9308
removed	removed	LOC285780	8.1466
LOC285830	18.0609	LOC285830	90.5804
LOC286002	23.4664	removed	removed
LOC286367	10.2923	LOC286367	333.5031
LOC338651	211.6179	removed	removed
LOC338758	16.4677	LOC338758	31.5682
LOC338799	321.1198	LOC338799	173.6253
LOC339047	1693.7011	LOC339047	736.7617
LOC339290	283.6558	LOC339290	1394.6029
LOC339524	90.9839	LOC339524	1913.7169
removed	removed	LOC339535	16.8024
LOC341056	16.4677	LOC341056	13.2383
LOC344595	107.8633	LOC344595	130.8554
LOC348926	122.2725	LOC348926	25.4582
LOC349114	386.5788	LOC349114	64.664
LOC349196	6.1754	removed	removed
LOC374443	179.9094	LOC374443	56.0081
removed	removed	LOC374491	5.6008
LOC375190	136.2701	LOC375190	245.4175
LOC387646	9.8806	LOC387646	17.8208
LOC387647	433.8164	LOC387647	810.611
LOC388152	512.5566	LOC388152	48.8798
LOC388242	26.76	LOC388242	35.1324
LOC388588	20.5846	LOC388588	7.1283
LOC388692	605.1873	LOC388692	269.8574
LOC388789	431.0416	LOC388789	503.5642
LOC388796	333.0589	LOC388796	213.3401
LOC388955	340.881	LOC388955	238.7984
LOC389333	157.2664	LOC389333	15.7841
LOC389458	8.6455	removed	removed
LOC389493	106.6282	removed	removed
removed	removed	LOC389634	5.0916
removed	removed	LOC389705	12.7291
LOC390595	39.1107	removed	removed
LOC391322	10.2923	LOC391322	8.1466
LOC399744	211.198	LOC399744	45.3157
LOC399815	10.2923	removed	removed
LOC399959	145.739	LOC399959	692.9735
LOC400027	206.6694	LOC400027	208.2485
LOC400043	42.4043	LOC400043	255.0916
LOC400657	166.7353	LOC400657	148.167
LOC400752	12.3508	LOC400752	15.2749
removed	removed	LOC400759	13.2383
removed	removed	LOC400804	6.11
LOC400927	9.7777	LOC400927	16.2933
LOC400931	43.2277	LOC400931	49.8982
LOC401010	48.5797	LOC401010	22.9124
LOC401052	60.5187	LOC401052	656.8228
LOC401093	28.6249	LOC401093	443.8595
removed	removed	LOC401127	8.1466
LOC401397	265.1297	LOC401397	762.22
LOC401431	51.9061	LOC401431	110.8198
LOC401588	50.2264	LOC401588	38.1874
removed	removed	LOC402377	12.22
LOC407835	35.8172	LOC407835	46.334
removed	removed	LOC415056	8.6558
LOC440354	165.0432	LOC440354	78.1568
LOC440905	55.9901	removed	removed
LOC440925	9.0572	LOC440925	5.6008
LOC440944	151.9144	LOC440944	178.2077
LOC440957	38.6991	LOC440957	107.943
LOC441046	6.1754	LOC441046	8.6558
LOC441089	90.9839	LOC441089	89.613
LOC441204	45.6978	LOC441204	103.8697
LOC441208	121.4492	LOC441208	30.0407
LOC441294	129.2713	LOC441294	21.3849
LOC441455	5.352	removed	removed
LOC441666	30.0535	LOC441666	16.8024
LOC441869	27.1717	LOC441869	447.556
LOC442421	11.5274	removed	removed
LOC442454	114.4504	LOC442454	171.5886
LOC493754	680.1153	LOC493754	858.9613
LOC541471	184.438	LOC541471	146.1303
LOC550112	209.1396	LOC550112	167.5153
LOC550643	305.0638	LOC550643	186.3544
removed	removed	LOC55908	56.0081
removed	removed	LOC572558	32.0774
LOC595101	94.2322	LOC595101	63.9511
removed	removed	LOC606724	13.2383
LOC613037	48.8514	removed	removed
LOC619207	22.2314	LOC619207	16.8024
LOC641298	134.8909	LOC641298	82.6477
removed	removed	LOC641367	5.0916
LOC642587	13.9975	LOC642587	16.8024
removed	removed	LOC642597	14.2566
LOC642826	91.5356	LOC642826	53.1008
LOC642846	191.8485	LOC642846	77.3931
LOC642852	718.8143	LOC642852	157.8411
LOC643008	27.9951	removed	removed
LOC643387	28.4068	LOC643387	20.3666
LOC643677	6.9988	removed	removed
removed	removed	LOC643763	14.7658
LOC643837	132.5648	LOC643837	310.5906
LOC644165	7.4105	LOC644165	6.11
LOC644172	9.8806	removed	removed
LOC644538	58.0486	LOC644538	292.2607
LOC644936	40.7575	LOC644936	19.3483
LOC645166	37.0523	LOC645166	100.3055
LOC645332	70.3993	LOC645332	43.279
LOC645431	18.8308	LOC645431	6.7464
LOC645676	19.8189	LOC645676	17.3676
LOC646214	196.7888	LOC646214	97.7597
LOC646471	131.8238	LOC646471	25.8707
LOC646762	909.8394	LOC646762	327.3931
LOC646851	90.9839	LOC646851	9.165
LOC646999	17.2911	LOC646999	36.1507
LOC647121	75.7513	LOC647121	39.2057
LOC647288	16.4677	removed	removed
LOC647946	6.9988	removed	removed
LOC647979	12683.4088	LOC647979	14442.9735
LOC648740	5.1667	LOC648740	21.4562
LOC649330	15.2326	LOC649330	10.6925
LOC650368	19.7612	LOC650368	141.0387
LOC650623	82.7501	LOC650623	188.9002
LOC651250	1831.6179	LOC651250	2321.7923
LOC652276	47.3446	LOC652276	21.3849
LOC653113	37.464	LOC653113	16.2933
LOC653501	225.6072	LOC653501	268.3299
LOC653566	1728.6949	LOC653566	1067.7189
LOC653653	38.6991	LOC653653	114.053
removed	removed	LOC653786	11.2016
LOC654342	313.2977	LOC654342	405.8045
LOC654433	261.0128	LOC654433	139.5112
LOC678655	334.2445	LOC678655	200.3971
LOC723972	45.6978	LOC723972	6.11
LOC727896	46.1095	LOC727896	20.8758
LOC728024	52.6966	LOC728024	33.0957
LOC728190	95.1009	LOC728190	120.6721
LOC728264	123.9193	LOC728264	418.5336
LOC728323	34.1704	LOC728323	21.8941
LOC728392	80.28	LOC728392	119.1446
LOC728554	235.4879	LOC728554	206.721
LOC728613	270.4817	LOC728613	118.6354
LOC728640	75.7513	LOC728640	33.6049
LOC728643	32.5237	LOC728643	23.9308
LOC728723	9.0572	LOC728723	73.3198
LOC728743	123.5076	LOC728743	133.4012
LOC728758	23.8781	LOC728758	45.8248
LOC728819	6.5871	LOC728819	46.334
LOC728855	87.6904	LOC728855	208.7576
LOC728875	8.2338	LOC728875	38.6965
removed	removed	LOC728989	14.2566
LOC729020	41.5809	LOC729020	20.3666
LOC729082	196.4142	LOC729082	602.4745
removed	removed	LOC729156	5.5906
LOC729176	23.8781	LOC729176	40.7332
LOC729234	34.5821	LOC729234	61.0998
LOC729375	76.5747	LOC729375	15.7841
removed	removed	LOC729467	5.0916
LOC729603	25.1132	LOC729603	25.9674
LOC729678	483.0301	LOC729678	546.4664
LOC729799	10.704	LOC729799	17.8208
LOC729991-MEF2B	31.8732	LOC729991-MEF2B	26.7312
LOC729991	378.3285	LOC729991	259.5876
LOC730101	55.9901	LOC730101	40.7332
LOC730668	16.4677	removed	removed
LOC80054	138.7402	LOC80054	264.7658
LOC80154	913.133	LOC80154	72.3014
LOC81691	68.3409	LOC81691	119.1446
LOC84740	7.4187	removed	removed
LOC84856	46.1095	removed	removed
removed	removed	LOC84989	5.1477
LOC90110	232.606	LOC90110	325.3564
LOC90246	105.3932	LOC90246	28.0041
removed	removed	LOC90586	38.6965
LOC90784	449.156	LOC90784	223.5234
LOC90834	55.1667	LOC90834	24.9491
LOC91316	341.3792	LOC91316	228.1517
LOC91450	9.8806	removed	removed
LOC92249	455.3314	LOC92249	461.8126
LOC92659	89.3372	LOC92659	5.6008
LOC92973	41.9926	LOC92973	71.7923
LOC93622	512.1449	LOC93622	214.3585
LOC96610	2175.459	LOC96610	1776.5937
LOH12CR1	87.2787	LOH12CR1	130.8554
LOH12CR2	15.6443	LOH12CR2	61.609
LOH3CR2A	46.5212	LOH3CR2A	152.2403
LONP1	1801.1527	LONP1	1401.7312
LONP2	2922.1902	LONP2	2170.5703
LONRF1	281.1857	LONRF1	392.5662
LONRF2	1554.1375	LONRF2	394.0937
LONRF3	11.5274	LONRF3	65.1731
removed	removed	LOXHD1	12.7291
LOXL1	1167.5587	LOXL1	649.1853
LOXL2	1252.3384	LOXL2	3316.9807
LOXL3	57.8469	LOXL3	232.9379
LOXL4	61.3421	LOXL4	433.8086
LOX	745.5743	LOX	2643.0754
LPAR1	191.0251	LPAR1	971.9959
LPAR2	336.3524	LPAR2	71.7923
LPAR4	6.1754	LPAR4	7.1283
LPAR5	28.4068	LPAR5	31.0591
LPAR6	330.177	LPAR6	1188.9002
LPCAT1	2276.2454	LPCAT1	758.6558
LPCAT2	617.5381	LPCAT2	527.4949
LPCAT3	1111.9802	LPCAT3	655.8045
LPCAT4	255.2491	LPCAT4	327.9022
LPGAT1	2696.1713	LPGAT1	4839.613
LPHN1	2138.7402	LPHN1	1747.2811
LPHN2	544.2569	LPHN2	2319.2464
LPHN3	11.1157	LPHN3	87.5764
LPIN1	797.8592	LPIN1	926.6802
LPIN2	1369.2878	LPIN2	960.2851
LPIN3	534.965	LPIN3	297.1792
LPL	757.1017	LPL	62943.4827
removed	removed	LPPR1	14.7658
LPPR2	897.9004	LPPR2	317.2098
LPPR3	252.7789	removed	removed
LPPR4	85.2203	LPPR4	187.3727
LPPR5	6.9988	removed	removed
LPP	278.3038	LPP	730.1426
LPXN	175.7925	LPXN	264.7658
LQK1	25.1132	LQK1	25.9674
removed	removed	LRAT	7.1283
LRBA	7612.5978	LRBA	1627.2912
LRCH1	562.783	LRCH1	919.5519
LRCH2	22.6431	LRCH2	116.5988
LRCH3	405.105	LRCH3	442.4644
LRCH4	1616.303	LRCH4	359.4705
LRDD	238.3697	LRDD	77.9022
LRFN1	99.2178	LRFN1	27.4949
LRFN3	194.3186	LRFN3	132.3829
LRFN4	447.921	LRFN4	328.4114
LRFN5	10.2923	LRFN5	36.1507
LRG1	54.755	LRG1	50.4073
LRGUK	9.0572	removed	removed
LRIG1	1649.0902	LRIG1	3236.3747
LRIG2	213.6682	LRIG2	269.8574
LRIG3	247.0152	LRIG3	1117.6171
LRIT3	31.2886	LRIT3	6.6191
LRMP	32.9354	LRMP	311.0998
LRP10	2557.8427	LRP10	4692.4644
LRP11	2175.3685	LRP11	915.9878
LRP12	1590.3664	LRP12	348.2688
LRP1B	1894.6068	LRP1B	116.5988
LRP1	6325.2367	LRP1	76045.8248
LRP2BP	70.3993	LRP2BP	30.5499
LRP2	191.4368	LRP2	68.2281
LRP3	702.1737	LRP3	1465.9318
LRP4	46.5212	LRP4	115.0713
LRP5L	122.6842	LRP5L	22.9124
LRP5	1097.571	LRP5	4203.1568
LRP6	942.7748	LRP6	1654.7862
LRP8	342.1161	LRP8	27.4949
LRPAP1	1973.24	LRPAP1	2290.224
LRPPRC	7115.2738	LRPPRC	3009.6741
LRRC10B	368.4644	LRRC10B	8.1466
LRRC14	1943.4376	LRRC14	375.0255
LRRC15	1671.8814	LRRC15	187.8819
LRRC16A	447.0976	LRRC16A	272.9124
LRRC16B	8.2338	removed	removed
LRRC17	400.1647	LRRC17	313.6456
LRRC1	1291.8897	LRRC1	143.5845
LRRC20	176.6159	LRRC20	132.8921
LRRC23	176.6159	LRRC23	118.6354
LRRC24	14.9815	removed	removed
LRRC25	40.7575	LRRC25	237.2709
LRRC26	5.7637	removed	removed
LRRC27	256.8506	LRRC27	154.7862
LRRC28	2286.126	LRRC28	317.7189
LRRC29	42.816	LRRC29	34.1141
removed	removed	LRRC2	108.9613
LRRC32	960.4776	LRRC32	2016.2933
LRRC33	67.5175	LRRC33	355.9063
LRRC34	36.6406	LRRC34	119.6538
LRRC37A2	285.8378	LRRC37A2	94.7047
LRRC37A3	121.4492	LRRC37A3	52.444
LRRC37A4	107.4516	LRRC37A4	247.4542
LRRC37A	772.746	LRRC37A	280.0407
LRRC37B2	430.6299	LRRC37B2	363.5438
LRRC37B	105.3932	LRRC37B	79.9389
LRRC39	9.5183	removed	removed
LRRC3	37.8757	LRRC3	120.6721
LRRC40	360.2305	LRRC40	321.7923
LRRC41	2495.2655	LRRC41	1589.613
LRRC42	442.569	LRRC42	295.3157
LRRC43	23.8781	LRRC43	6.6191
LRRC45	171.2639	LRRC45	143.0754
LRRC46	45.6978	LRRC46	5.6008
LRRC47	1426.1013	LRRC47	1005.0916
LRRC48	27.7275	LRRC48	14.7658
LRRC49	235.4879	LRRC49	87.0672
removed	removed	LRRC4B	10.6925
LRRC4C	109.0984	LRRC4C	32.0774
LRRC4	153.5611	LRRC4	95.2138
LRRC50	14.4092	removed	removed
LRRC55	17.7028	LRRC55	14.7658
LRRC56	188.555	LRRC56	7.1283
LRRC57	322.3549	LRRC57	339.1039
LRRC58	1491.972	LRRC58	1442.9735
LRRC59	1796.4183	LRRC59	1974.4908
LRRC61	299.7118	LRRC61	118.6354
LRRC66	5.352	LRRC66	23.9308
LRRC6	226.8423	LRRC6	56.5173
LRRC70	38.2874	LRRC70	217.6324
LRRC8A	916.8382	LRRC8A	1269.3483
LRRC8B	804.858	LRRC8B	485.7434
LRRC8C	247.8386	LRRC8C	1558.554
LRRC8D	821.7373	LRRC8D	347.7597
LRRC8E	870.7287	LRRC8E	46.334
LRRCC1	688.3491	LRRCC1	313.1365
LRRFIP1	5794.5657	LRRFIP1	2642.057
LRRFIP2	1007.8221	LRRFIP2	929.7352
LRRIQ3	15.6443	LRRIQ3	22.4033
LRRK1	98.3944	LRRK1	490.835
LRRK2	143.6805	LRRK2	912.4236
LRRN1	305.4755	LRRN1	28.0041
LRRN2	194.3186	LRRN2	42.7699
removed	removed	LRRN3	581.4664
LRRN4CL	18.9378	LRRN4CL	705.1935
LRRTM2	8.2338	LRRTM2	142.057
LRSAM1	364.3475	LRSAM1	377.8004
LRTOMT	523.1453	LRTOMT	192.6935
LRWD1	515.0268	LRWD1	88.0855
LSAMP	9.0572	LSAMP	21.3849
LSG1	1543.0218	LSG1	652.7495
LSM10	242.0749	LSM10	452.1385
LSM11	208.3162	LSM11	104.3788
LSM12	1030.4652	LSM12	711.3035
LSM14A	2993.8246	LSM14A	2562.6273
LSM14B	3101.2762	LSM14B	559.5723
LSM1	8354.8786	LSM1	561.0998
LSM2	507.2046	LSM2	453.1568
LSM3	803.2112	LSM3	946.5377
LSM4	1311.2392	LSM4	862.5255
LSM5	403.8699	LSM5	304.4807
LSM6	163.0301	LSM6	304.9898
LSM7	354.4669	LSM7	162.9328
LSMD1	176.6159	LSMD1	377.8004
LSP1	376.2865	LSP1	1478.6151
LSR	2098.3944	LSR	282.0774
LSS	1592.8366	LSS	2182.7902
LST1	23.4664	LST1	162.9328
LTA4H	1637.711	LTA4H	1906.3136
LTB4R2	93.7958	LTB4R2	49.6385
LTB4R	186.727	LTB4R	125.6365
LTBP1	2403.0465	LTBP1	1475.0509
LTBP2	3092.6307	LTBP2	3452.1385
LTBP3	2363.9975	LTBP3	3425.4786
LTBP4	431.4533	LTBP4	4462.3218
LTBR	2722.5196	LTBR	2247.9633
LTB	15.2326	LTB	65.1731
LTC4S	12.2108	LTC4S	40.5295
LTF	252.7789	LTF	874.7454
LTV1	750.1029	LTV1	578.9206
LUC7L2	3277.2046	LUC7L2	1635.0407
LUC7L3	1843.1453	LUC7L3	1922.6069
LUC7L	898.7238	LUC7L	502.0367
