gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
ADAMTS17	55.9167	ADAMTS17	19.8967
removed	removed	ADAMTS18	28.2591
ADAMTS1	992.4002	ADAMTS1	3790.7585
removed	removed	ADAMTS2	303.6413
ADAMTS3	52.0269	ADAMTS3	205.8878
ADAMTS4	2779.7902	ADAMTS4	139.2771
ADAMTS5	268.4002	ADAMTS5	1579.3385
ADAMTS6	75.366	ADAMTS6	47.8675
ADAMTS7	253.327	ADAMTS7	48.7326
removed	removed	ADAMTS8	35.1797
ADAMTS9	154.1356	ADAMTS9	1223.7927
ADAMTSL1	143.9248	ADAMTSL1	224.6311
ADAMTSL2	57.3754	ADAMTSL2	30.2776
ADAMTSL3	133.7139	ADAMTSL3	239.9141
ADAMTSL4	183.3096	ADAMTSL4	478.6748
ADAMTSL5	17.5044	ADAMTSL5	31.1427
ADAP1	179.5218	ADAP1	58.6059
ADAP2	221.2357	ADAP2	643.6158
ADARB1	542.6353	ADARB1	765.8797
ADAR	19896.627	ADAR	8298.0875
ADAT1	209.5661	ADAT1	172.7266
ADAT2	177.961	ADAT2	197.8138
ADAT3	24.7978	ADAT3	12.111
ADA	198.869	ADA	165.5177
ADCK1	101.6226	ADCK1	192.335
ADCK2	447.82	ADCK2	598.0552
ADCK4	454.6272	ADCK4	309.6968
ADCK5	63.2102	ADCK5	29.7009
ADCY1	629.1846	ADCY1	125.4359
ADCY2	48.6232	ADCY2	171.8616
ADCY3	709.2379	ADCY3	1460.5695
ADCY4	30.1464	ADCY4	640.1555
removed	removed	ADCY5	147.0627
ADCY6	960.3089	ADCY6	1004.352
ADCY7	621.4049	ADCY7	698.6922
removed	removed	ADCY8	8.3624
ADCY9	686.5601	ADCY9	658.0337
removed	removed	ADCYAP1R1	16.7248
ADCYAP1	5.8348	ADCYAP1	157.732
ADC	193.5205	ADC	93.4281
ADD1	4331.8438	ADD1	5723.9128
ADD2	191.0893	ADD2	112.4597
ADD3	3252.4081	ADD3	3446.7471
removed	removed	ADH1A	46.4257
removed	removed	ADH1B	8406.7986
removed	removed	ADH1C	360.4479
removed	removed	ADH4	32.5845
ADH5	2483.6747	ADH5	3633.6033
ADHFE1	16.5319	ADHFE1	106.1159
ADI1	611.194	ADI1	1744.8562
removed	removed	ADIPOQ	2662.7008
ADIPOR1	4096.0212	ADIPOR1	2605.0291
ADIPOR2	3918.0601	ADIPOR2	2198.7322
ADK	1942.0119	ADK	330.1703
ADM2	274.235	ADM2	72.3779
ADM	1220.4432	ADM	427.9238
ADNP2	979.2719	ADNP2	693.5018
ADNP	4717.9123	ADNP	2894.2525
ADORA1	44.7334	ADORA1	248.8532
ADORA2A	2530.392	ADORA2A	76.1266
ADORA2B	137.6037	ADORA2B	59.9785
ADORA3	97.7327	ADORA3	253.1786
ADO	580.5614	ADO	924.1884
ADPGK	750.592	ADPGK	1134.6698
ADPRHL1	110.3747	ADPRHL1	59.4018
ADPRHL2	1089.6467	ADPRHL2	424.4635
ADPRH	261.1068	ADPRH	540.6719
removed	removed	ADRA1A	21.6269
ADRA1B	38.8986	ADRA1B	6.9206
ADRA1D	8.7522	ADRA1D	14.1296
ADRA2A	220.2632	ADRA2A	808.8451
ADRA2B	23.8254	ADRA2B	15.5713
