gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
removed	removed	MATK	23.6454
MATN2	651.5513	MATN2	4640.2622
MATN3	812.008	MATN3	107.846
MATR3	8621.4487	MATR3	9306.0787
MAVS	2603.7741	MAVS	2317.5359
MAX	958.8502	MAX	2156.3436
MAZ	3334.027	MAZ	1625.4384
MBD1	1725.6385	MBD1	884.395
MBD2	1646.8689	MBD2	2093.7698
MBD3	792.5587	MBD3	594.8832
MBD4	1690.1436	MBD4	986.4738
MBD5	973.9234	MBD5	369.6754
MBD6	959.8226	MBD6	1273.3904
MBIP	67.1001	MBIP	568.931
removed	removed	MBL1P	9.5158
MBLAC1	8.2659	MBLAC1	11.5343
MBLAC2	121.5581	MBLAC2	373.1357
MBNL1	2520.5846	MBNL1	5202.9098
MBNL2	3421.1307	MBNL2	2730.7533
MBNL3	14.587	MBNL3	32.8728
MBOAT1	941.3458	MBOAT1	627.7561
MBOAT2	1071.1698	MBOAT2	425.0402
MBOAT7	4261.3402	MBOAT7	623.1423
MBP	991.4277	MBP	1403.44
MBTD1	1076.0321	MBTD1	933.9926
MBTPS1	3463.4329	MBTPS1	3220.0974
MBTPS2	619.2898	MBTPS2	585.1482
MB	239.2263	MB	107.5577
MC1R	121.8595	MC1R	44.9839
MCAM	2210.4122	MCAM	2639.0554
MCART1	417.1873	MCART1	186.2795
MCART2	20.4218	MCART2	9.2275
MCART6	6.8073	MCART6	15.5713
MCAT	263.0517	MCAT	256.9273
MCCC1	767.2746	MCCC1	609.5895
MCCC2	967.1161	MCCC2	2217.1872
MCCD1	5.3486	removed	removed
MCC	758.0362	MCC	960.8099
MCEE	72.4486	MCEE	183.9726
MCF2L2	13.1283	MCF2L2	12.3994
MCF2L	721.0825	MCF2L	879.2045
MCFD2	3549.496	MCFD2	3912.4458
MCHR1	20.908	removed	removed
MCL1	9835.0214	MCL1	12447.5638
MCM10	338.9039	MCM10	27.394
MCM2	2350.4471	MCM2	477.8097
MCM3APAS	93.9401	MCM3APAS	18.9105
MCM3AP	2464.6144	MCM3AP	1823.6992
MCM3	2542.0226	MCM3	1909.2205
MCM4	1564.2094	MCM4	651.4015
MCM5	784.2928	MCM5	618.2403
MCM6	3220.803	MCM6	1039.8201
MCM7	1660.9453	MCM7	1487.8598
MCM8	390.4446	MCM8	189.7398
MCM9	78.7696	MCM9	78.7218
MCOLN1	369.5366	MCOLN1	421.2915
MCOLN2	78.2834	MCOLN2	91.4096
MCOLN3	52.0269	MCOLN3	85.3541
MCPH1	421.6364	MCPH1	509.0995
MCRS1	772.6232	MCRS1	635.5417
MCTP1	31.6051	MCTP1	403.4133
MCTP2	96.274	MCTP2	304.5064
MCTS1	879.5943	MCTS1	960.8099
MDC1	1559.3471	MDC1	863.6332
MDFIC	523.6722	MDFIC	1650.5631
MDFI	603.9006	MDFI	170.7081
MDGA1	83.632	MDGA1	126.3009
MDGA2	9.7246	removed	removed
MDH1B	75.8522	MDH1B	27.394
MDH1	2559.527	MDH1	2765.3563
MDH2	2972.8245	MDH2	2568.9843
MDK	3464.8916	MDK	1858.7578
MDM1	157.5393	MDM1	366.2151
MDM2	1578.7964	MDM2	1851.2605
MDM4	2085.9367	MDM4	981.2834
MDN1	1884.6365	MDN1	1483.6036
MDP1	199.4525	MDP1	217.2203
ME1	1523.8521	ME1	330.1703
ME2	1069.2249	ME2	790.3902
ME3	134.6864	ME3	283.4562
MEA1	782.3478	MEA1	669.4959
MEAF6	2769.0931	MEAF6	1728.1314
MECOM	117.6682	MECOM	688.5997
MECP2	1199.5352	MECP2	1618.2669
MECR	353.4909	MECR	290.9536
MED10	429.3431	MED10	454.7411
MED11	98.2189	MED11	187.4329
MED12L	75.8522	MED12L	6.6322
MED12	1006.5009	MED12	1179.6739
MED13L	4024.545	MED13L	4007.3157
MED13	2975.7419	MED13	1975.5429
MED14	1649.3001	MED14	1141.6106
MED15	1723.6936	MED15	1292.422
MED16	859.6588	MED16	603.534
MED17	881.053	MED17	980.7067
MED18	328.2068	MED18	371.4055
MED19	477.9664	MED19	347.7601
MED1	2007.6533	MED1	1657.772
MED20	478.9388	MED20	506.0689
MED21	641.3404	MED21	769.6284
MED22	505.1954	MED22	636.9835
MED23	2277.026	MED23	1071.2512
MED24	1436.8165	MED24	1352.9773
MED25	713.1424	MED25	350.6437
MED26	235.8227	MED26	234.147
MED27	146.3559	MED27	280.5727
MED28	501.3055	MED28	757.8057
MED29	1350.2672	MED29	1161.5073
MED30	196.4379	MED30	285.4747
MED31	133.2909	MED31	180.3508
MED4	652.5238	MED4	1254.6471
MED6	461.4345	MED6	496.2647
MED7	237.7676	MED7	340.8395
MED8	1186.8931	MED8	612.4731
MED9	347.6561	MED9	411.4873
MEF2A	908.141	MEF2A	2309.557
MEF2B	20.1592	MEF2B	11.0614
MEF2C	269.3727	MEF2C	1564.3439
MEF2D	1267.6077	MEF2D	1265.6047
MEFV	10.2109	MEFV	21.0502
MEG3	76.3385	MEG3	76.7033
MEGF10	38.4124	MEGF10	48.7326
MEGF6	709.413	MEGF6	494.2462
MEGF8	911.6856	MEGF8	511.2593
MEGF9	1507.3202	MEGF9	939.7598
MEI1	27.229	MEI1	174.1684
MEIS1	112.8059	MEIS1	391.3022
MEIS2	87.0356	MEIS2	663.5125
MEIS3P1	474.0765	MEIS3P1	759.5358
MEIS3	228.043	MEIS3	131.203
MELK	857.2276	MELK	47.2908
MEMO1	488.4058	MEMO1	383.1734
MEN1	963.2262	MEN1	726.3746
removed	removed	MEOX1	700.4224
MEOX2	6.8073	MEOX2	798.7526
MEPCE	1199.0489	MEPCE	1628.3595
removed	removed	MEPE	17.0131
MERTK	195.4654	MERTK	602.3805
MESDC1	859.6588	MESDC1	583.0605
MESDC2	1154.8018	MESDC2	1269.9301
MESP1	8.7522	MESP1	41.812
removed	removed	MESP2	11.8227
removed	removed	MESTIT1	6.6322
MEST	984.1342	MEST	1035.2064
METAP1	1869.5633	METAP1	1550.5027
METAP2	1657.0798	METAP2	2281.4911
METRNL	263.5379	METRNL	170.9965
METRN	187.6857	METRN	28.2591
METT10D	772.6232	METT10D	1083.9389
METT11D1	546.5251	METT11D1	690.9065
METT5D1	512.4889	METT5D1	378.0378
METTL10	222.5194	METTL10	426.3724
METTL11A	150.275	METTL11A	128.9481
METTL12	65.6803	METTL12	65.2728
METTL13	1667.7769	METTL13	752.3269
METTL14	418.646	METTL14	506.0689
METTL1	253.8133	METTL1	304.218
METTL2A	525.6172	METTL2A	342.2813
METTL2B	280.5561	METTL2B	203.581
METTL3	616.4697	METTL3	676.3704
METTL4	348.1423	METTL4	331.0354
METTL5	1069.186	METTL5	574.9144
METTL6	331.6105	METTL6	281.4377
METTL7A	318.4822	METTL7A	4415.9194
METTL7B	49.1095	METTL7B	23.0687
METTL8	484.7736	METTL8	406.5852
METTL9	2109.2759	METTL9	2739.1157
MET	164.3465	MET	2112.2247
MEX3A	4079.003	MEX3A	532.5978
MEX3B	187.6857	MEX3B	290.3768
MEX3C	1537.9529	MEX3C	2089.1561
MEX3D	458.5171	MEX3D	277.1124
MFAP1	565.002	MFAP1	909.4822
MFAP2	1073.601	MFAP2	663.2241
MFAP3L	240.685	MFAP3L	232.1285
MFAP3	1755.7849	MFAP3	1629.8013
MFAP4	688.0187	MFAP4	8890.6639
MFAP5	1186.4069	MFAP5	820.6678
MFF	1471.339	MFF	1515.323
MFGE8	1200.5076	MFGE8	4496.083
MFHAS1	250.8959	MFHAS1	173.8801
MFI2	269.3727	MFI2	171.2848
MFN1	1711.5378	MFN1	810.5753
MFN2	2217.2194	MFN2	2308.3084
MFNG	60.779	MFNG	628.3328
MFRP	238.7401	MFRP	444.3602
MFSD10	1541.3565	MFSD10	758.9591
MFSD11	601.2506	MFSD11	559.3315
MFSD1	1798.5734	MFSD1	2817.5492
MFSD2A	870.3559	MFSD2A	65.169
MFSD2B	9.7246	MFSD2B	6.9206
MFSD3	85.5769	MFSD3	71.2245
MFSD4	99.6776	MFSD4	357.276
MFSD5	403.5728	MFSD5	842.0063
MFSD6L	39.8711	MFSD6L	12.3994
MFSD6	2403.9326	MFSD6	1621.4389
MFSD7	121.3247	MFSD7	100.3083
MFSD8	313.6199	MFSD8	434.2676
MFSD9	171.64	MFSD9	107.2693
MGAM	5.3486	MGAM	6.3439
MGAT1	2704.4242	MGAT1	2826.7767
MGAT2	988.0241	MGAT2	919.8631
MGAT3	137.6037	MGAT3	236.7422
MGAT4A	1378.9549	MGAT4A	1677.9571
MGAT4B	2022.2403	MGAT4B	1151.9915
MGAT5B	21.8805	MGAT5B	17.0131
MGAT5	272.2901	MGAT5	169.2663
MGA	1266.149	MGA	1324.1414
removed	removed	MGC12916	7.7857
MGC12982	89.953	MGC12982	17.3015
MGC16121	30.1464	MGC16121	39.7934
MGC16142	10.2109	MGC16142	21.0502
MGC16275	12.642	MGC16275	47.2908
MGC16703	13.2547	MGC16703	7.679
MGC21881	35.9812	MGC21881	165.5177
MGC23270	92.3841	MGC23270	39.7934
MGC23284	18.9631	MGC23284	24.2221
MGC2752	749.7703	MGC2752	621.9889
MGC2889	5.8348	removed	removed
MGC29506	10.2109	MGC29506	317.7709
MGC3771	6.8462	MGC3771	6.563
MGC42105	8.2659	MGC42105	12.9761
MGC45800	41.816	MGC45800	6.6322
MGC57346	444.8345	MGC57346	306.5768
MGC70857	150.732	MGC70857	179.3589
MGC72080	62.8553	MGC72080	46.1662
MGC87042	14.587	MGC87042	31.7194
MGEA5	11663.2549	MGEA5	3881.8798
MGLL	869.3834	MGLL	2859.6495
MGMT	153.1632	MGMT	143.0257
MGP	38232.9345	MGP	57777.781
MGRN1	1639.5754	MGRN1	829.8953
MGST1	2207.0086	MGST1	1966.0271
MGST2	270.8314	MGST2	1109.0261
MGST3	3432.8003	MGST3	1709.0998
MIA3	2274.1086	MIA3	1920.4664
MIAT	163.0045	MIAT	64.3039
MIA	8.9515	MIA	230.7126
MIB1	3906.3906	MIB1	1831.6521
MIB2	101.6226	MIB2	78.7218
MICAL1	652.0376	MICAL1	256.0622
MICAL2	2126.7802	MICAL2	864.4983
MICAL3	1466.9629	MICAL3	1115.9467
MICALCL	68.5588	MICALCL	22.7803
MICALL1	521.2411	MICALL1	711.9567
MICALL2	339.8764	MICALL2	191.7583
MICA	405.5178	MICA	358.141
MICB	468.728	MICB	148.5045
MID1IP1	361.2706	MID1IP1	251.7368
MID1	403.0866	MID1	1115.6584
MID2	507.1403	MID2	904.5801
MIDN	1856.435	MIDN	1411.8024
MIER1	1822.3988	MIER1	1388.4453
MIER2	324.8032	MIER2	288.935
MIER3	949.1255	MIER3	763.5728
MIF4GD	320.0576	MIF4GD	454.5335
MIF	5909.5316	MIF	932.6287
MIIP	305.3539	MIIP	219.1523
MINA	888.2589	MINA	1114.9634
MINK1	1000.1021	MINK1	1371.1554
MINPP1	1816.0778	MINPP1	505.2038
MIOS	762.4123	MIOS	693.2134
MIPEP	430.8018	MIPEP	523.6587
MIPOL1	199.3553	MIPOL1	121.1105
MIR155HG	18.4768	MIR155HG	24.5105
MIR17HG	49.1095	MIR17HG	98.0418
MIS12	461.9207	MIS12	583.6373
MITD1	212.4835	MITD1	336.2258
MITF	240.685	MITF	1087.3992
MKI67IP	1261.2478	MKI67IP	1139.8459
MKI67	2589.6734	MKI67	359.2945
MKKS	1011.3632	MKKS	1128.9228
MKL1	747.3391	MKL1	879.4929
MKL2	2886.2751	MKL2	2590.8996
MKLN1	1314.7722	MKLN1	1826.1733
MKNK1	808.1181	MKNK1	555.0898
MKNK2	3371.535	MKNK2	2232.1818
MKRN1	1720.29	MKRN1	3083.7039
MKRN2	808.6044	MKRN2	715.417
MKS1	263.5379	MKS1	262.9828
MKX	48.6232	MKX	34.603
removed	removed	MLC1	14.7063
MLEC	3751.7687	MLEC	4052.8763
MLF1IP	567.9826	MLF1IP	251.0649
MLF1	1918.1865	MLF1	361.6013
MLF2	2979.6317	MLF2	2217.4755
MLH1	724.4862	MLH1	725.5095
MLH3	687.5325	MLH3	592.8647
MLKL	187.6857	MLKL	326.4216
MLL2	1877.2604	MLL2	1448.4469
MLL3	1934.7184	MLL3	2955.9612
MLL4	955.9328	MLL4	705.9012
MLL5	1393.43	MLL5	2338.2256
MLLT10	800.3384	MLLT10	926.7837
MLLT11	959.3364	MLLT11	122.8406
MLLT1	1693.061	MLLT1	1141.6106
MLLT3	473.1041	MLLT3	414.6593
MLLT4	5406.4173	MLLT4	3310.9303
MLLT6	2768.1207	MLLT6	3268.83
MLL	2019.8091	MLL	3098.9869
MLPH	1166.4714	MLPH	987.3389
MLST8	777.466	MLST8	438.8612
MLXIPL	37.4399	MLXIPL	47.2908
MLXIP	753.1739	MLXIP	1013.8679
MLX	1368.287	MLX	1184.6221
MLYCD	126.9066	MLYCD	281.7261
MMAA	262.5655	MMAA	363.9082
MMAB	233.3915	MMAB	502.3202
MMACHC	252.8408	MMACHC	176.7637
MMADHC	3010.2644	MMADHC	2363.3848
MMD	1579.2826	MMD	698.1155
MMEL1	9.7052	MMEL1	5.326
MME	1982.3692	MME	4468.689
MMGT1	1023.0328	MMGT1	1217.4489
MMP10	73.4211	MMP10	8.074
MMP11	13132.649	MMP11	247.4114
MMP12	396.7656	MMP12	67.7642
MMP13	1078.9495	removed	removed
MMP14	8647.642	MMP14	4360.2662
MMP15	443.4439	MMP15	290.6652
MMP16	82.1733	MMP16	145.3326
MMP17	51.5406	MMP17	22.2036
MMP19	443.9301	MMP19	636.4068
MMP1	396.7656	MMP1	14.9946
MMP23B	29.6602	MMP23B	103.2323
MMP24	75.8522	MMP24	197.2371
MMP25	23.6406	MMP25	48.4442
removed	removed	MMP27	5.7672
MMP28	18.4768	MMP28	172.4383
MMP2	13740.4395	MMP2	38151.2483
MMP3	1557.4022	MMP3	30.8543
MMP7	61.7515	MMP7	7970.8008
MMP8	8.7522	removed	removed
MMP9	3478.9923	MMP9	212.8084
removed	removed	MMRN1	4049.416
MMRN2	413.2975	MMRN2	3375.2342
MMS19	1114.9307	MMS19	1665.5577
MN1	161.4291	MN1	150.523
MNAT1	293.6843	MNAT1	260.0992
MND1	84.6044	MND1	15.8597
MNDA	139.5487	MNDA	440.3232
MNS1	63.6964	MNS1	121.9756
MNT	351.546	MNT	409.1805
MOAP1	335.5003	MOAP1	814.6123
MOB2	250.4097	MOB2	384.67
MOBKL1A	1132.9213	MOBKL1A	960.8099
MOBKL1B	921.8965	MOBKL1B	596.0367
MOBKL2A	1057.0691	MOBKL2A	1492.5427
MOBKL2B	108.916	MOBKL2B	1400.8447
MOBKL2C	317.0235	MOBKL2C	645.9226
MOBKL3	1494.192	MOBKL3	1302.2262
MOCOS	223.1806	MOCOS	142.1607
MOCS1	381.1089	MOCS1	962.1508
MOCS2	882.5117	MOCS2	1011.8494
MOCS3	237.7676	MOCS3	201.2741
MOGAT2	10.2109	MOGAT2	11.246
MOGS	759.9811	MOGS	746.5597
MON1A	88.9805	MON1A	165.806
MON1B	574.7266	MON1B	558.2617
MON2	629.6709	MON2	1254.3587
MORC2	1058.0416	MORC2	712.8218
MORC3	923.8414	MORC3	1359.6095
MORC4	659.331	MORC4	592.8647
MORF4L1	3441.5524	MORF4L1	6274.1004
MORF4L2	7744.2223	MORF4L2	3683.2009
removed	removed	MORF4	6.6322
MORN1	36.9537	MORN1	17.0131
MORN2	327.7206	MORN2	224.0544
MORN3	11.6696	removed	removed
MORN4	511.0302	MORN4	280.2843
MOSC1	242.6299	MOSC1	388.4187
MOSC2	261.1068	MOSC2	261.8294
MOSPD1	309.2438	MOSPD1	351.7972
MOSPD2	329.6655	MOSPD2	322.3846
MOSPD3	349.601	MOSPD3	274.2288
MOV10L1	5.3486	MOV10L1	12.3994
MOV10	964.6849	MOV10	747.1364
MOXD1	182.8234	MOXD1	190.8932
MPDU1	616.0564	MPDU1	849.2153
MPDZ	718.6514	MPDZ	1384.6967
MPEG1	252.8408	MPEG1	4128.4261
MPG	396.7656	MPG	260.6759
MPHOSPH10	1021.5741	MPHOSPH10	1041.5503
MPHOSPH6	491.5809	MPHOSPH6	469.4474
MPHOSPH8	835.8334	MPHOSPH8	1258.9724
MPHOSPH9	252.3546	MPHOSPH9	92.8514
MPI	549.4425	MPI	625.1608
MPL	24.7978	MPL	31.7194
MPND	177.4748	MPND	190.6049
removed	removed	MPO	8.3624
MPP1	412.325	MPP1	696.6737
MPP2	418.646	MPP2	162.0574
MPP3	123.9892	MPP3	67.7642
MPP4	8.2659	removed	removed
MPP5	994.8314	MPP5	947.8338
MPP6	201.3002	MPP6	68.6293
MPP7	219.2908	MPP7	576.4283
MPPE1	356.8945	MPPE1	654.8618
removed	removed	MPPED1	9.2275
MPPED2	5.8348	MPPED2	182.5308
MPRIP	1339.0838	MPRIP	1628.3595
MPST	415.2424	MPST	313.4455
MPV17L2	178.9335	MPV17L2	250.0067
MPV17L	87.5218	MPV17L	97.7535
MPV17	648.1477	MPV17	861.6147
MPZL1	5930.5757	MPZL1	7606.6043
MPZL2	732.7521	MPZL2	974.0744
MPZL3	94.8153	MPZL3	37.4866
MPZ	6.8073	MPZ	16.4364
MR1	138.5762	MR1	177.6287
MRAP2	32.5776	MRAP2	165.806
removed	removed	MRAP	20.1303
MRAS	718.6514	MRAS	2006.1089
MRC1	60.2928	MRC1	2054.5531
MRC2	2316.8971	MRC2	1570.9762
MRE11A	679.7528	MRE11A	632.0814
MREG	1182.517	MREG	508.6497
MRFAP1L1	686.5601	MRFAP1L1	1870.5805
MRFAP1	3830.5383	MRFAP1	7571.1362
MRGPRE	5.3486	removed	removed
MRGPRF	86.0631	MRGPRF	433.6909
removed	removed	MRGPRX2	8.3624
removed	removed	MRGPRX3	29.4125
MRI1	391.9033	MRI1	435.4211
MRM1	34.0363	MRM1	37.4866
MRO	26.2565	MRO	56.8066
MRP63	519.3302	MRP63	521.8968
MRPL10	738.1007	MRPL10	1146.5127
MRPL11	674.4042	MRPL11	652.8432
MRPL12	636.9644	MRPL12	211.6175
MRPL13	1476.2014	MRPL13	596.325
MRPL14	579.5889	MRPL14	381.2097
MRPL15	680.7253	MRPL15	781.1627
MRPL16	490.6084	MRPL16	657.1686
MRPL17	1404.7252	MRPL17	684.2743
MRPL18	1109.5822	MRPL18	722.0492
MRPL19	1126.6003	MRPL19	985.032
MRPL1	564.0295	MRPL1	495.3996
MRPL20	1319.761	MRPL20	1003.6225
MRPL21	740.5318	MRPL21	516.7381
MRPL22	415.2424	MRPL22	395.6276
MRPL23	378.2888	MRPL23	202.1392
MRPL24	986.5654	MRPL24	616.7985
MRPL27	576.6715	MRPL27	501.4551
MRPL28	690.9361	MRPL28	344.5882
MRPL2	299.5191	MRPL2	291.2419
MRPL30	896.6708	MRPL30	1042.5768
MRPL32	922.3827	MRPL32	829.0302
MRPL33	403.5728	MRPL33	603.8223
MRPL34	340.3626	MRPL34	520.4868
MRPL35	665.1658	MRPL35	896.506
MRPL36	261.593	MRPL36	253.1786
MRPL37	2848.349	MRPL37	1333.3689
MRPL38	484.4333	MRPL38	519.5208
MRPL39	498.3881	MRPL39	485.0187
MRPL3	3938.4819	MRPL3	1520.5135
MRPL40	558.1947	MRPL40	586.5208
MRPL41	117.6682	MRPL41	167.8245
MRPL42P5	12.5059	MRPL42P5	6.6697
MRPL42	602.9281	MRPL42	640.1555
MRPL43	1888.6625	MRPL43	904.4618
MRPL44	936.4835	MRPL44	735.0254
MRPL45	1020.1154	MRPL45	1318.0859
MRPL46	222.2082	MRPL46	386.4002
MRPL47	1034.7024	MRPL47	548.1692
MRPL48	452.6823	MRPL48	461.3733
MRPL49	1460.1557	MRPL49	1116.5234
MRPL4	471.6454	MRPL4	467.1405
MRPL50	401.1417	MRPL50	582.7722
MRPL51	1686.2537	MRPL51	1023.9604
MRPL52	424.9671	MRPL52	367.9452
MRPL53	317.3152	MRPL53	240.2025
MRPL54	209.5661	MRPL54	213.9619
MRPL55	514.4338	MRPL55	198.3905
MRPL9	1471.13	MRPL9	960.2073
MRPS10	1142.646	MRPS10	982.4368
MRPS11	235.8227	MRPS11	337.6676
MRPS12	486.2323	MRPS12	240.2025
MRPS14	821.2464	MRPS14	341.1279
MRPS15	1463.5593	MRPS15	743.0994
MRPS16	6321.0203	MRPS16	1595.4866
MRPS17	408.9214	MRPS17	256.2929
MRPS18A	469.2142	MRPS18A	532.5978
MRPS18B	1306.9925	MRPS18B	1566.0741
MRPS18C	358.1441	MRPS18C	399.5032
MRPS21	947.1806	MRPS21	880.358
MRPS22	598.552	MRPS22	565.1823
MRPS23	1108.1235	MRPS23	593.4414
MRPS24	712.8166	MRPS24	684.851
MRPS25	478.6374	MRPS25	681.7339
MRPS26	355.9221	MRPS26	366.2151
MRPS27	1147.9945	MRPS27	1863.9482
MRPS28	190.7149	MRPS28	228.6191
MRPS2	476.4931	MRPS2	837.6723
MRPS30	436.1504	MRPS30	453.2993
MRPS31	187.1994	MRPS31	510.3942
MRPS33	419.1323	MRPS33	697.2504
MRPS34	606.3317	MRPS34	235.012
MRPS35	1676.5291	MRPS35	1316.0674
MRPS36	199.8415	MRPS36	482.1351
MRPS5	835.8334	MRPS5	572.6796
MRPS6	857.4172	MRPS6	892.8641
MRPS7	1008.8154	MRPS7	811.9363
MRPS9	474.5628	MRPS9	496.2647
MRRF	320.9133	MRRF	533.7513
MRS2	1252.0483	MRS2	576.7167
MRTO4	1183.9757	MRTO4	771.3585
MRVI1	287.8495	MRVI1	871.9956
MS4A14	104.1121	MS4A14	107.0328
MS4A15	44.7334	removed	removed
removed	removed	MS4A1	345.4533
MS4A2	37.4399	MS4A2	259.8109
MS4A4A	195.9516	MS4A4A	993.3944
MS4A6A	264.9966	MS4A6A	3122.0556
MS4A7	563.4849	MS4A7	1633.498
MSC	144.6444	MSC	151.1834
MSH2	2021.754	MSH2	902.5616
MSH3	525.5588	MSH3	516.1181
MSH5	342.6917	MSH5	112.4597
MSH6	3033.6035	MSH6	1783.2079
MSI1	149.7596	MSI1	61.997
MSI2	767.2746	MSI2	93.1397
MSL1	3600.5504	MSL1	2583.4022
MSL2	1796.6285	MSL2	1666.4228
MSL3L2	389.9583	MSL3L2	144.1792
MSL3	510.5439	MSL3	930.8207
MSLN	5.8348	MSLN	55.3648
MSMP	28.2015	MSMP	35.4681
MSN	9016.2061	MSN	12757.8374
MSR1	1055.6104	MSR1	892.1807
MSRA	49.5957	MSRA	305.3715
MSRB2	454.6272	MSRB2	483.8653
MSRB3	584.9375	MSRB3	2525.7306
MST1P2	64.1827	MST1P2	79.8753
MST1P9	24.3116	MST1P9	55.9415
MST1R	242.6299	MST1R	127.7427
MST1	22.8529	MST1	38.0633
MST4	686.5601	MST4	441.765
MSTN	13.1283	MSTN	7.7857
MSTO1	977.7743	MSTO1	441.6554
MSTO2P	162.353	MSTO2P	98.0389
MSX1	46.1921	MSX1	132.9332
removed	removed	MSX2P1	5.4788
MSX2	188.6581	MSX2	198.1022
MT1A	57.8616	MT1A	28.2591
MT1DP	7.7797	removed	removed
MT1E	1277.8186	MT1E	946.6804
MT1F	172.1262	MT1F	160.3272
MT1G	175.0436	MT1G	59.9785
MT1H	5.8348	removed	removed
MT1L	130.3103	MT1L	62.8621
MT1M	25.7703	MT1M	150.523
MT1X	1024.9778	MT1X	2360.5013
MT2A	5434.6188	MT2A	2327.6284
MT3	69.045	removed	removed
MTA1	1136.325	MTA1	667.5495
MTA2	1632.7682	MTA2	1300.496
MTA3	902.4472	MTA3	707.6313
MTAP	1599.2181	MTAP	856.1359
MTBP	216.3734	MTBP	92.8514
MTCH1	2440.8863	MTCH1	2808.6101
MTCH2	2032.9374	MTCH2	1316.3558
MTCP1NB	155.9931	MTCP1NB	331.0238
MTCP1	28.289	MTCP1	24.522
MTDH	4616.2898	MTDH	3406.6653
MTERFD1	654.4687	MTERFD1	442.9184
MTERFD2	222.6944	MTERFD2	489.9208
MTERFD3	167.7502	MTERFD3	472.6193
MTERF	135.1726	MTERF	330.1703
MTF1	1801.4908	MTF1	756.6522
MTF2	545.5527	MTF2	764.1496
MTFMT	123.0168	MTFMT	266.7315
MTFR1	545.0664	MTFR1	404.287
MTG1	379.7475	MTG1	302.7762
MTHFD1L	592.7172	MTHFD1L	297.2974
MTHFD1	2241.7936	MTHFD1	1219.1473
MTHFD2L	122.9925	MTHFD2L	243.3629
MTHFD2	4445.6222	MTHFD2	836.8159
MTHFR	819.3015	MTHFR	613.5285
MTHFSD	280.0698	MTHFSD	267.0198
MTHFS	182.3371	MTHFS	251.7368
MTIF2	857.2276	MTIF2	663.5125
MTIF3	527.5621	MTIF3	965.1353
MTL5	734.6971	MTL5	123.129
MTM1	355.9221	MTM1	563.1638
MTMR10	585.098	MTMR10	1161.2334
MTMR11	668.0832	MTMR11	402.8366
MTMR12	1780.0966	MTMR12	1471.4925
MTMR14	618.0013	MTMR14	914.3843
MTMR15	497.7415	MTMR15	496.827
MTMR1	764.8435	MTMR1	994.2595
MTMR2	1398.4042	MTMR2	1078.1718
MTMR3	1239.8924	MTMR3	1747.4515
MTMR4	2024.1852	MTMR4	1259.8375
MTMR6	869.8696	MTMR6	990.7992
MTMR7	171.4261	MTMR7	93.4166
MTMR8	13.6145	MTMR8	21.6269
MTMR9L	121.5581	MTMR9L	135.5284
MTMR9	501.7723	MTMR9	587.9597
MTO1	918.4929	MTO1	495.1112
MTOR	1736.3357	MTOR	1358.4561
MTP18	196.8317	MTP18	128.1753
MTPAP	479.9113	MTPAP	626.3143
MTRF1L	347.6561	MTRF1L	368.2336
MTRF1	76.8247	MTRF1	141.5839
MTRR	592.231	MTRR	656.0152
MTR	1856.435	MTR	1489.6591
MTSS1L	1278.3048	MTSS1L	566.9125
MTSS1	1701.2929	MTSS1	1070.6658
MTTP	10.6971	removed	removed
MTUS1	2838.1381	MTUS1	3777.7824
MTUS2	30.6326	MTUS2	18.1666
MTX1	721.5688	MTX1	390.7255
removed	removed	MTX2	560.8569
MTX3	667.1108	MTX3	718.8773
removed	removed	MUC12	6.9206
removed	removed	MUC15	558.2617
MUC16	7.2935	MUC16	550.476
MUC1	10422.39	MUC1	1215.7187
MUC20	60.2928	MUC20	183.6843
removed	removed	MUC4	74.9732
MUC5B	41.816	MUC5B	263.2712
removed	removed	MUC6	103.809
removed	removed	MUCL1	252.3135
MUDENG	950.5842	MUDENG	912.6541
MUL1	852.8515	MUL1	857.5777
MUM1L1	36.4674	MUM1L1	82.1821
MUM1	508.1128	MUM1	571.2378
MURC	43.2747	MURC	6.3439
MUS81	447.82	MUS81	338.821
removed	removed	MUSTN1	61.997
MUTED	262.0792	MUTED	513.8545
MUTYH	228.4708	MUTYH	116.0959
MUT	896.6124	MUT	795.5806
MVD	281.5285	MVD	117.9386
MVK	184.7683	MVK	194.3535
MVP	1785.4451	MVP	1283.4829
MX1	11233.4256	MX1	1645.3726
MX2	1461.1282	MX2	699.5573
MXD1	268.4002	MXD1	761.8427
MXD3	163.0045	MXD3	85.7405
MXD4	724.4862	MXD4	1099.7987
MXI1	1663.887	MXI1	2257.5573
MXRA5	7589.1142	MXRA5	4655.5452
MXRA7	2473.9501	MXRA7	4122.0823
MXRA8	1809.7567	MXRA8	2949.329
MYADM	9796.1228	MYADM	6765.7514
MYBBP1A	495.2471	MYBBP1A	590.1282
MYBL1	325.7757	MYBL1	136.1051
MYBL2	1430.9818	MYBL2	81.8938
removed	removed	MYBPC1	5469.8691
MYB	2284.3195	MYB	305.3715
MYCBP2	2274.5948	MYCBP2	2780.6393
MYCBPAP	13.1283	MYCBPAP	6.0555
MYCBP	1288.5497	MYCBP	736.7555
MYCL1	388.9859	MYCL1	362.4664
MYCN	30.6326	MYCN	81.317
MYCT1	122.5305	MYCT1	1288.6734
