gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ADAP2	185.8695	ADAP2	322.0268
ADARB1	566.1724	ADARB1	981.1558
ADAR	7550.2339	ADAR	6180.4858
ADAT1	728.2531	ADAT1	252.9313
ADAT2	29.4981	ADAT2	124.3719
ADAT3	7.9296	ADAT3	8.794
ADA	675.9178	ADA	278.8945
ADCK1	84.688	ADCK1	128.9782
ADCK2	649.5916	ADCK2	552.7638
ADCK4	278.1699	ADCK4	331.6583
ADCK5	43.4541	ADCK5	56.5327
ADCY1	36.4761	ADCY1	220.268
ADCY2	26.9606	ADCY2	147.4037
ADCY3	1632.3146	ADCY3	1938.7228
removed	removed	ADCY4	660.804
removed	removed	ADCY5	798.995
ADCY6	953.4533	ADCY6	5033.9196
ADCY7	614.0671	ADCY7	1080.8208
ADCY9	1136.7853	ADCY9	817.4204
ADCYAP1R1	13.3217	ADCYAP1R1	132.3283
removed	removed	ADCYAP1	12.1441
ADC	42.1854	ADC	78.3082
ADD1	3869.6376	ADD1	8384.0034
ADD2	17.7623	ADD2	76.6332
ADD3	429.4663	ADD3	4841.2898
removed	removed	ADH1A	1178.3752
ADH1B	38.3792	ADH1B	124896.5662
removed	removed	ADH1C	470.6868
removed	removed	ADH4	12.5628
ADH5	2094.6792	ADH5	5847.5712
ADHFE1	160.812	ADHFE1	935.9296
ADI1	2278.6456	ADI1	2394.0536
ADIPOQ	36.4761	ADIPOQ	138779.732
ADIPOR1	2158.4331	ADIPOR1	2348.8275
ADIPOR2	1385.14	ADIPOR2	5472.3618
ADK	2282.769	ADK	475.2931
ADM2	201.0943	ADM2	19.6817
ADM	2094.9964	ADM	1665.4104
ADNP2	752.6762	ADNP2	572.0268
ADNP	5267.1477	ADNP	2353.8526
ADORA1	437.7131	ADORA1	323.2831
ADORA2A	564.2693	ADORA2A	58.6265
ADORA2B	519.2292	ADORA2B	67.4204
ADORA3	58.3617	ADORA3	118.928
ADO	875.109	ADO	615.5779
ADPGK	838.1857	ADPGK	673.2203
ADPRHL1	242.0109	ADPRHL1	122.6968
ADPRHL2	662.5961	ADPRHL2	371.4405
ADPRH	230.2752	ADPRH	515.4941
removed	removed	ADRA1A	118.5092
removed	removed	ADRA1B	148.66
ADRA2A	91.3488	ADRA2A	2831.6583
ADRA2B	17.1279	ADRA2B	64.4891
ADRA2C	156.6886	ADRA2C	96.3149
removed	removed	ADRB1	359.2965
removed	removed	ADRB2	545.6449
removed	removed	ADRB3	18.0067
ADRBK1	1178.3364	ADRBK1	1148.2412
ADRBK2	278.487	ADRBK2	6931.3233
ADRM1	2751.8833	ADRM1	958.9615
ADSL	915.3913	ADSL	698.4925
ADSSL1	199.1912	ADSSL1	304.8576
ADSS	2410.2767	ADSS	889.0285
AEBP1	13147.5696	AEBP1	14606.3652
AEBP2	941.4004	AEBP2	669.598
AEN	239.7907	AEN	202.2613
AES	2061.0578	AES	6083.3333
AFAP1L1	104.3533	AFAP1L1	1298.995
AFAP1L2	1143.7634	AFAP1L2	513.4003
AFAP1	2387.116	AFAP1	1378.124
AFARP1	5.0749	removed	removed
AFF1	1826.3421	AFF1	4139.0285
AFF2	18.7138	AFF2	105.5276
AFF3	38.062	AFF3	689.6985
AFF4	3764.9671	AFF4	3167.5042
AFG3L1	84.3708	AFG3L1	161.2228
AFG3L2	1893.2741	AFG3L2	1434.933
AFMID	601.3797	AFMID	317.8392
removed	removed	AFP	7.9564
AFTPH	3289.8263	AFTPH	1129.8157
AG2	30.7668	AG2	105.1089
AGAP11	9.8359	AGAP11	433.4171
AGAP1	657.204	AGAP1	422.1106
AGAP2	43.3019	AGAP2	82.8643
AGAP3	643.8823	AGAP3	955.1926
AGAP4	58.3617	AGAP4	135.6784
AGAP5	28.7495	AGAP5	31.428
AGAP6	39.9651	AGAP6	97.9899
removed	removed	AGAP7	6.2814
removed	removed	AGAP8	23.4506
AGA	803.1084	AGA	392.3786
removed	removed	AGBL3	5.8626
removed	removed	AGBL4	14.2379
AGBL5	964.8846	AGBL5	683.8526
removed	removed	AGER	25.1256
AGFG1	4054.5555	AGFG1	2234.5059
AGFG2	319.0865	AGFG2	318.6767
AGGF1	831.3377	AGGF1	860.134
AGK	523.987	AGK	506.2814
AGL	2494.3303	AGL	1713.1491
AGMAT	21.2513	AGMAT	12.5628
AGPAT1	1084.6467	AGPAT1	1926.4447
AGPAT2	373.3249	AGPAT2	9563.2328
AGPAT3	1279.2007	AGPAT3	2607.6214
AGPAT4	106.2564	AGPAT4	275.1256
AGPAT5	588.6924	AGPAT5	383.5846
AGPAT6	926.8099	AGPAT6	1414.1541
AGPAT9	16.4935	AGPAT9	476.9682
AGPHD1	43.1369	AGPHD1	79.1457
AGPS	1163.4288	AGPS	1818.258
AGR2	418.6821	AGR2	464.4054
removed	removed	AGR3	50.2513
AGRN	985.1717	AGRN	1442.6298
AGTPBP1	340.0206	AGTPBP1	643.2161
AGTR1	49.1634	AGTR1	1535.1759
AGTRAP	481.1672	AGTRAP	467.3367
AGT	24.7403	AGT	129.8157
AGXT2L2	145.6792	AGXT2L2	696.294
AGXT	17.4451	AGXT	15.4941
AHCTF1	2051.5423	AHCTF1	1591.2898
AHCYL1	6698.9136	AHCYL1	5459.799
AHCYL2	426.9289	AHCYL2	772.1943
AHCY	6249.1476	AHCY	1664.9916
AHDC1	419.9508	AHDC1	567.8392
AHI1	236.936	AHI1	446.8174
AHNAK2	1221.1561	AHNAK2	3192.2111
AHNAK	79476.9646	AHNAK	165015.4941
AHRR	126.8734	AHRR	24.7069
AHR	592.8158	AHR	2136.0972
AHSA1	1798.7471	AHSA1	1240.7873
AHSA2	99.9128	AHSA2	314.4891
AIDA	1033.4851	AIDA	2510.9338
AIF1L	909.0477	AIF1L	2904.1039
AIF1	176.354	AIF1	435.9296
AIFM1	1147.5696	AIFM1	1115.5779
AIFM2	126.5562	AIFM2	3351.34
AIFM3	17.1279	AIFM3	12.4246
AIG1	514.4715	AIG1	1448.0737
AIM1	4335.8972	AIM1	1497.0687
AIM2	9.8327	AIM2	8.3752
AIMP1	1025.7553	AIMP1	1023.1533
AIMP2	612.3733	AIMP2	241.6625
AIP	690.5083	AIP	806.1139
removed	removed	AJAP1	20.5193
AK1	412.6556	AK1	808.6265
AK2	1544.366	AK2	2360.5528
AK3L1	3272.6984	AK3L1	1092.9648
AK3	636.5871	AK3	4855.9464
AK5	113.8688	AK5	266.3317
AK7	110.0626	AK7	15.0754
AKAP10	512.5684	AKAP10	558.6265
AKAP11	2468.9557	AKAP11	2688.0235
AKAP12	540.7977	AKAP12	10039.7822
AKAP13	2825.1526	AKAP13	3702.6801
AKAP1	1421.2989	AKAP1	2432.9983
AKAP2	389.8882	AKAP2	2492.433
AKAP3	6.978	AKAP3	26.8007
AKAP5	89.1285	AKAP5	61.139
AKAP6	182.3805	AKAP6	212.3116
AKAP7	69.4632	AKAP7	311.9765
AKAP8L	644.8339	AKAP8L	442.6298
AKAP8	1073.6658	AKAP8	407.4539
AKAP9	1813.6547	AKAP9	1847.1524
AKD1	67.8773	AKD1	144.4724
AKIRIN1	899.215	AKIRIN1	1323.2831
AKIRIN2	677.5038	AKIRIN2	764.6566
AKNAD1	31.084	removed	removed
AKNA	388.2325	AKNA	642.7973
AKR1A1	1138.0541	AKR1A1	1528.4757
AKR1B10	4038.062	AKR1B10	7.1189
AKR1B15	780.2712	removed	removed
AKR1B1	180.4774	AKR1B1	1110.134
AKR1C1	753.4216	AKR1C1	6023.8693
AKR1C2	741.892	AKR1C2	5500.4188
AKR1C3	324.7958	AKR1C3	2919.1792
AKR1D1	142.0982	removed	removed
AKR1E2	81.0879	AKR1E2	29.732
AKR7A2	695.5832	AKR7A2	981.9933
AKR7A3	8.2468	AKR7A3	25.9631
AKT1S1	600.4282	AKT1S1	889.866
AKT1	2914.9155	AKT1	3181.742
AKT2	1033.0664	AKT2	4729.4807
AKT3	421.2196	AKT3	1432.1608
AKTIP	673.0315	AKTIP	849.3509
ALAD	518.5949	ALAD	3123.5343
ALAS1	1074.6174	ALAS1	1069.5142
removed	removed	ALB	119.7655
ALCAM	9086.6704	ALCAM	1159.9665
ALDH16A1	218.5394	ALDH16A1	378.5595
ALDH18A1	2310.0468	ALDH18A1	1162.4791
ALDH1A1	34.573	ALDH1A1	4760.8878
ALDH1A2	12.3702	ALDH1A2	443.0486
ALDH1A3	2280.4536	ALDH1A3	1011.763
ALDH1B1	676.8694	ALDH1B1	840.0335
removed	removed	ALDH1L1	3843.8023
ALDH1L2	1010.2292	ALDH1L2	461.8928
ALDH2	157.6402	ALDH2	35181.742
removed	removed	ALDH3A1	11.7253
ALDH3A2	2003.9648	ALDH3A2	5061.9765
ALDH3B1	427.2461	ALDH3B1	217.7554
ALDH3B2	7179.7637	ALDH3B2	431.742
ALDH4A1	724.7641	ALDH4A1	3609.2965
ALDH5A1	663.2305	ALDH5A1	1187.1859
ALDH6A1	773.8197	ALDH6A1	2258.974
ALDH7A1	1499.6432	ALDH7A1	1728.2245
removed	removed	ALDH8A1	18.4255
ALDH9A1	6239.3149	ALDH9A1	7296.4824
ALDOA	72025.6919	ALDOA	14896.5662
removed	removed	ALDOB	17.5879
ALDOC	663.2305	ALDOC	3191.7923
ALG10B	401.8714	ALG10B	341.7085
ALG10	609.3093	ALG10	121.8593
ALG11	84.688	ALG11	13.8191
ALG12	266.7512	ALG12	389.0285
ALG13	345.0956	ALG13	471.1055
ALG14	187.7726	ALG14	268.4255
ALG1	636.4539	ALG1	390.7454
ALG2	928.713	ALG2	653.2663
ALG3	1873.9196	ALG3	407.8727
ALG5	596.3048	ALG5	638.191
ALG6	466.894	ALG6	244.5561
ALG8	573.4676	ALG8	853.8526
ALG9	492.5858	ALG9	780.1508
ALKBH1	256.9186	ALKBH1	192.2111
ALKBH2	189.0413	ALKBH2	171.273
ALKBH3	147.8075	ALKBH3	353.4338
ALKBH4	183.5667	ALKBH4	169.8618
ALKBH5	3756.955	ALKBH5	2287.1817
