gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
LDLRAP1	536.9915	LDLRAP1	555.2764
LDLR	347.3158	LDLR	343.8023
LDOC1L	2410.5939	LDOC1L	962.7303
LDOC1	2133.0584	LDOC1	646.9849
LEF1	176.6712	LEF1	31.407
removed	removed	LEFTY1	5.8626
removed	removed	LEFTY2	175.4606
LEKR1	15.8592	LEKR1	7.9564
LEMD2	661.6446	LEMD2	480.737
LEMD3	749.1872	LEMD3	732.4121
LENG1	97.3753	LENG1	108.459
LENG8	324.0124	LENG8	2622.1315
LENG9	42.0173	LENG9	81.3861
LEO1	616.6046	LEO1	394.0536
LEPRE1	750.456	LEPRE1	610.5528
LEPREL1	38.3792	LEPREL1	311.139
LEPREL2	252.478	LEPREL2	378.9782
LEPROTL1	363.175	LEPROTL1	1010.469
LEPROT	782.39	LEPROT	1646.072
LEPR	89.5472	LEPR	2801.5829
LEP	13.0045	LEP	15759.6315
LETM1	1276.9804	LETM1	1200.1675
LETM2	10.1499	LETM2	20.938
LETMD1	516.3746	LETMD1	2346.3149
LFNG	188.7241	LFNG	738.2747
LGALS12	598.5251	LGALS12	4506.7002
LGALS1	6926.3342	LGALS1	12385.6784
removed	removed	LGALS2	6.7002
LGALS3BP	16296.8837	LGALS3BP	13363.9028
LGALS3	6731.2664	LGALS3	8366.8342
LGALS4	6.0265	removed	removed
LGALS8	1622.0252	LGALS8	1060.7203
LGALS9	327.0161	LGALS9	501.675
LGI2	44.7229	LGI2	218.593
LGI4	11.4186	LGI4	315.7454
LGMN	2520.3394	LGMN	6410.804
LGR4	1437.158	LGR4	1713.1491
LGR5	52.0181	removed	removed
removed	removed	LGR6	51.5075
LGTN	698.4379	LGTN	1527.2194
removed	removed	LHCGR	25.5444
LHFPL2	1587.503	LHFPL2	1252.9313
LHFP	288.3197	LHFP	4736.1809
LHPP	417.7306	LHPP	461.8928
LHX1	76.7584	removed	removed
LHX2	44.4057	removed	removed
LHX6	81.8333	LHX6	431.3233
LIAS	122.75	LIAS	390.2848
LIFR	1492.6651	LIFR	6904.9414
LIF	40.2823	LIF	65.7454
LIG1	656.5697	LIG1	144.0536
LIG3	1230.3545	LIG3	276.8007
LIG4	123.0672	LIG4	386.0972
removed	removed	LILRA1	11.3065
LILRA2	5.7093	LILRA2	32.2446
removed	removed	LILRA3	7.9564
LILRA5	8.564	LILRA5	18.0067
LILRA6	48.897	LILRA6	91.2856
LILRB1	32.6699	LILRB1	50.67
LILRB2	39.6479	LILRB2	102.5963
LILRB3	39.5972	LILRB3	30.1549
LILRB4	304.8133	LILRB4	232.8308
LILRB5	5.3921	LILRB5	669.1792
LIMA1	2134.3272	LIMA1	6794.8074
LIMCH1	10875.5848	LIMCH1	5390.7035
LIMD1	835.9686	LIMD1	728.8233
LIMD2	115.8068	LIMD2	80.603
LIME1	7.4253	LIME1	32.7513
LIMK1	1462.8499	LIMK1	367.2529
LIMK2	1270.3196	LIMK2	886.9347
LIMS1	978.5108	LIMS1	750.4188
LIMS2	94.2035	LIMS2	1884.4221
LIMS3-LOC440895	12.7825	LIMS3-LOC440895	29.3007
LIMS3	11.9578	LIMS3	20.9506
removed	removed	LIN28A	10.8878
LIN37	146.4214	LIN37	104.2127
LIN52	164.9354	LIN52	233.2496
LIN54	547.4586	LIN54	313.6516
LIN7A	251.2093	LIN7A	64.0704
LIN7B	11.1014	LIN7B	21.3568
LIN7C	867.4966	LIN7C	882.3283
LIN9	205.852	LIN9	124.3719
LINGO1	80.8818	LINGO1	74.5394
LINGO3	7.9296	removed	removed
LINS1	143.0497	LINS1	239.531
LIPA	1772.1037	LIPA	3259.6315
LIPC	19.3482	LIPC	44.8074
LIPE	5.3921	LIPE	21641.005
LIPG	48.2119	LIPG	15.4941
LIPH	101.1815	LIPH	22.6131
LIPT1	112.543	LIPT1	152.8476
LIPT2	21.2513	LIPT2	17.1692
LITAF	5514.868	LITAF	3735.7621
LIX1L	492.5858	LIX1L	1421.273
LLGL1	520.1808	LLGL1	609.7152
LLGL2	2802.9498	LLGL2	132.3283
LLPH	716.7616	LLPH	479.4807
LMAN1	5089.2078	LMAN1	3752.0938
LMAN2L	744.4295	LMAN2L	835.8459
LMAN2	1772.4209	LMAN2	1665.8291
LMBR1L	159.2261	LMBR1L	324.5394
LMBR1	1351.5185	LMBR1	873.1156
LMBRD1	532.8681	LMBRD1	1495.3936
LMBRD2	668.9398	LMBRD2	297.3199
LMCD1	685.1162	LMCD1	1798.995
LMF1	132.2433	LMF1	198.9112
LMF2	507.4935	LMF2	1186.7672
LMLN	622.631	LMLN	193.0486
LMNA	4003.1718	LMNA	6755.4439
LMNB1	1855.8401	LMNB1	116.4154
LMNB2	1294.1083	LMNB2	352.1776
LMO1	33.3043	removed	removed
LMO2	68.1944	LMO2	780.5695
removed	removed	LMO3	1154.9414
LMO4	1004.2027	LMO4	1301.5075
LMO7	747.6013	LMO7	189.2797
LMOD1	122.75	LMOD1	2600.0838
removed	removed	LMOD3	6.2814
LMTK2	361.9063	LMTK2	297.3199
LMTK3	81.5161	LMTK3	13.4003
removed	removed	LMX1A	49.4137
LMX1B	30.4496	LMX1B	157.8727
LNP1	132.3702	LNP1	86.3107
LNPEP	390.6843	LNPEP	678.4338
LNX1	327.3333	LNX1	316.1642
LNX2	1716.9138	LNX2	317.8392
LOC100009676	164.4596	LOC100009676	73.995
LOC100101266	7.2952	LOC100101266	7.5377
removed	removed	LOC100124692	43.9698
LOC100125556	68.3467	LOC100125556	15.2973
LOC100126784	37.0851	LOC100126784	21.0427
removed	removed	LOC100128164	11.3065
LOC100128191	119.6194	LOC100128191	26.2814
removed	removed	LOC100128239	5.4439
LOC100128288	14.5904	LOC100128288	52.3451
LOC100128292	115.1376	LOC100128292	12.9816
LOC100128640	125.6046	LOC100128640	29.732
LOC100128788	53.604	LOC100128788	7.1189
LOC100128822	239.7907	LOC100128822	99.665
LOC100128842	5.7093	LOC100128842	15.4941
LOC100129034	1093.3185	LOC100129034	1905.4439
LOC100129387	97.3817	LOC100129387	78.4715
LOC100129534	8.564	LOC100129534	27.6382
LOC100129550	109.4283	LOC100129550	327.8894
LOC100129637	54.5841	LOC100129637	177.5544
LOC100129716	5.0749	removed	removed
LOC100129726	9.5155	LOC100129726	9.6315
removed	removed	LOC100130015	40.4816
LOC100130093	146.2501	LOC100130093	49.598
LOC100130331	7.9296	removed	removed
LOC100130386	90.3973	removed	removed
removed	removed	LOC100130522	8.3752
LOC100130557	12.5383	LOC100130557	20.6826
LOC100130581	97.0581	LOC100130581	60.7203
removed	removed	LOC100130691	18.0025
LOC100130776	249.1412	LOC100130776	111.0218
LOC100130872	81.8333	LOC100130872	104.6901
LOC100130932	78.9787	LOC100130932	31.407
removed	removed	LOC100130987	5.0251
LOC100131193	384.1091	LOC100131193	18.8442
removed	removed	LOC100131434	50.1005
LOC100131551	43.1369	removed	removed
LOC100131691	35.7371	LOC100131691	17.3492
LOC100131726	15.542	removed	removed
LOC100132111	10.1499	LOC100132111	9.6315
LOC100132215	5.3985	LOC100132215	32.6968
LOC100132247	74.2209	LOC100132247	131.072
LOC100132287	101.4987	LOC100132287	126.8844
LOC100132288	280.7073	LOC100132288	439.6985
LOC100132707	83.2162	LOC100132707	136.1683
removed	removed	LOC100132832	5.1968
LOC100133161	15.1963	LOC100133161	9.3174
LOC100133331	30.4179	LOC100133331	71.0553
LOC100133469	323.8443	removed	removed
removed	removed	LOC100133545	13.4003
removed	removed	LOC100133612	6.2814
LOC100133669	14.9076	LOC100133669	6.7002
removed	removed	LOC100133920	13.4003
removed	removed	LOC100133957	6.5913
LOC100133985	26.009	LOC100133985	15.4941
LOC100133991	15.2248	LOC100133991	11.7253
LOC100134229	473.872	LOC100134229	118.928
LOC100134259	28.8637	LOC100134259	19.6817
LOC100134713	16.8234	LOC100134713	6.2856
LOC100134868	10.7842	removed	removed
removed	removed	LOC100144603	5.4439
LOC100170939	24.1059	LOC100170939	37.6884
removed	removed	LOC100188949	5.8626
LOC100190938	21.2513	LOC100190938	450.1675
LOC100190939	80.8818	LOC100190939	171.6918
LOC100190986	93.5691	LOC100190986	180.067
removed	removed	LOC100192378	58.2077
LOC100216545	61.5336	LOC100216545	49.8325
LOC100233209	5.7093	LOC100233209	8.3752
removed	removed	LOC100240735	33.0821
LOC100268168	13.6389	LOC100268168	7.5377
LOC100270710	418.0731	LOC100270710	198.639
LOC100270746	59.6305	LOC100270746	12.1441
LOC100270804	11.7358	LOC100270804	38.526
LOC100271722	26.9606	LOC100271722	51.5075
LOC100271836	519.6479	LOC100271836	297.5921
LOC100272146	26.3262	LOC100272146	28.4757
removed	removed	LOC100272216	6.7002
LOC100272217	35.8417	LOC100272217	12.5628
LOC100272228	5.0749	LOC100272228	31.407
LOC100286793	51.3837	LOC100286793	127.3032
LOC100286844	29.7169	LOC100286844	36.361
LOC100287227	6.978	removed	removed
LOC100288778	183.8046	LOC100288778	208.9573
LOC100289341	112.6001	LOC100289341	33.0821
LOC100302401	24.4834	LOC100302401	13.4003
removed	removed	LOC100302640	10.469
removed	removed	LOC100302650	5.0251
LOC100303728	39.3307	LOC100303728	23.8693
LOC113230	340.655	LOC113230	34.7571
LOC115110	16.2144	LOC115110	53.1407
LOC127841	9.1983	removed	removed
LOC134466	72.9522	LOC134466	77.4707
removed	removed	LOC143188	24.2881
LOC143666	12.3702	removed	removed
LOC144438	820.5535	LOC144438	788.1072
LOC144486	16.1764	removed	removed
LOC144571	8.5798	LOC144571	86.8425
LOC145783	53.9466	LOC145783	43.4673
removed	removed	LOC145820	24.7069
removed	removed	LOC145837	6.7002
LOC146481	6.6609	removed	removed
LOC146880	330.2101	LOC146880	235.2052
LOC147727	497.0264	LOC147727	320.7705
LOC147804	73.2694	LOC147804	67.8392
LOC148189	58.9961	LOC148189	48.1575
LOC148413	330.1467	LOC148413	201.5034
removed	removed	LOC148696	17.6424
LOC148709	27.2778	removed	removed
removed	removed	LOC149134	6.2814
LOC149837	180.1602	LOC149837	215.2429
LOC150381	53.2329	LOC150381	81.2312
LOC150776	196.0193	LOC150776	215.6616
LOC150786	82.4677	LOC150786	67.8392
LOC151009	178.8914	LOC151009	35.1759
LOC151162	1374.9901	LOC151162	1091.2898
LOC151534	50.7493	LOC151534	151.1725
LOC152217	532.8681	LOC152217	219.4305
LOC153328	8.564	LOC153328	5.4439
LOC153684	74.5381	LOC153684	37.6884
LOC154761	94.0798	LOC154761	26.0804
removed	removed	LOC154822	18.0653
LOC157381	16.4935	removed	removed
removed	removed	LOC158376	138.191
LOC158572	42.5026	LOC158572	24.7069
removed	removed	LOC158696	23.8693
LOC162632	81.5859	LOC162632	212.3869
LOC168474	8.564	LOC168474	12.9816
LOC200030	348.1247	LOC200030	541.7127
LOC202181	23.1544	LOC202181	31.407
LOC202781	173.8165	LOC202781	158.2915
LOC219347	1012.4812	LOC219347	95.9925
LOC220594	59.4243	LOC220594	46.3526
LOC220729	415.8275	LOC220729	147.4037
LOC220930	56.4079	LOC220930	75.3518
removed	removed	LOC221442	51.5243
LOC221710	537.6259	LOC221710	374.7906
LOC222699	82.1505	LOC222699	26.8007
LOC253039	687.9708	LOC253039	539.3635
LOC253724	11.1014	LOC253724	10.8878
LOC254559	68.1944	LOC254559	27.6382
LOC255167	5.0749	LOC255167	9.6315
removed	removed	LOC257358	23.4506
LOC25845	349.1967	LOC25845	168.1491
LOC282997	57.4102	LOC282997	25.5444
LOC283050	45.9916	LOC283050	25.5444
LOC283070	185.2351	LOC283070	374.3719
removed	removed	LOC283174	103.8526
LOC283267	243.914	LOC283267	401.1725
LOC283314	61.965	LOC283314	80.9422
removed	removed	LOC283392	1603.8903
removed	removed	LOC283663	13.4003
LOC283731	12.053	LOC283731	14.6566
LOC283867	41.551	removed	removed
LOC283922	20.6169	LOC283922	26.3819
LOC284023	96.7409	LOC284023	89.196
LOC284100	6.978	removed	removed
LOC284232	13.0045	LOC284232	32.2446
removed	removed	LOC284233	9.6315
LOC284276	19.031	LOC284276	15.4941
LOC284440	70.4147	LOC284440	140.2848
LOC284441	229.3236	LOC284441	75.3769
removed	removed	LOC284578	29.732
LOC284837	42.5026	LOC284837	13.8191
LOC284900	44.9639	LOC284900	84.443
LOC285033	44.0092	LOC285033	43.371
LOC285074	258.1873	LOC285074	292.2948
LOC285359	113.8688	LOC285359	48.5762
removed	removed	LOC285419	10.0503
removed	removed	LOC285593	8.794
LOC285830	16.2683	LOC285830	66.9137
LOC286002	11.4186	LOC286002	10.0503
removed	removed	LOC286367	656.6164
LOC286467	6.6609	removed	removed
LOC338758	79.9302	LOC338758	37.2697
LOC338799	30.4496	LOC338799	200.1675
LOC339047	174.7681	LOC339047	549.4137
LOC339290	491.6343	LOC339290	1778.8945
LOC339524	14.527	LOC339524	1244.933
LOC339535	28.5465	LOC339535	27.6382
LOC341056	15.2248	LOC341056	9.6315
LOC344595	207.1208	LOC344595	125.2094
LOC344967	5.0749	removed	removed
LOC348926	134.8029	LOC348926	32.6633
LOC349114	30.4496	LOC349114	69.5142
removed	removed	LOC349196	7.9564
LOC374443	236.6188	LOC374443	91.2898
LOC375190	118.947	LOC375190	213.9866
LOC387646	29.8152	LOC387646	23.8693
LOC387647	403.267	LOC387647	717.1524
LOC388152	79.2959	LOC388152	39.7822
LOC388242	24.7403	LOC388242	14.6566
LOC388588	5.3921	LOC388588	10.0503
LOC388692	63.7539	LOC388692	312.8141
LOC388789	291.8087	LOC388789	571.1893
LOC388796	368.8843	LOC388796	185.9296
LOC388955	244.2312	LOC388955	214.4054
LOC389333	17.7623	LOC389333	26.8007
LOC389493	277.5355	LOC389493	5.8626
removed	removed	LOC389705	20.5193
removed	removed	LOC390595	7.5377
removed	removed	LOC391322	12.5628
LOC399744	51.3837	LOC399744	46.4824
LOC399815	11.7358	removed	removed
LOC399959	259.1388	LOC399959	819.0955
LOC400027	177.3055	LOC400027	221.943
LOC400043	52.6524	LOC400043	259.2127
LOC400657	85.3223	LOC400657	199.7487
LOC400752	50.115	LOC400752	16.7504
LOC400759	7.6124	LOC400759	22.6131
removed	removed	LOC400804	6.7002
LOC400927	7.2952	LOC400927	31.1516
LOC400931	11.7358	LOC400931	55.6951
LOC401010	34.573	LOC401010	24.2881
LOC401052	80.2474	LOC401052	726.9682
LOC401093	135.5515	LOC401093	363.4296
LOC401397	350.4877	LOC401397	663.3166
LOC401431	42.5311	LOC401431	160.959
removed	removed	LOC401463	7.5377
LOC401588	47.2603	LOC401588	29.3132
LOC402377	35.2074	LOC402377	9.6315
LOC407835	49.1634	LOC407835	38.1072
removed	removed	LOC415056	15.0754
removed	removed	LOC440173	5.0251
LOC440354	165.852	LOC440354	49.9414
LOC440356	6.3437	removed	removed
removed	removed	LOC440461	10.8878
LOC440905	72.0006	LOC440905	17.1692
LOC440925	36.1589	LOC440925	17.1692
LOC440944	273.0949	LOC440944	131.4908
LOC440957	143.6841	LOC440957	115.9966
LOC441046	95.155	LOC441046	9.6315
LOC441089	152.248	LOC441089	79.1457
removed	removed	LOC441204	81.6583
LOC441208	77.0756	LOC441208	44.8074
LOC441294	50.115	LOC441294	28.057
removed	removed	LOC441455	5.8626
LOC441601	10.7842	removed	removed
LOC441666	105.3049	LOC441666	65.3266
LOC441869	31.4012	LOC441869	254.1876
LOC442421	5.0749	LOC442421	7.5377
LOC442454	167.4728	LOC442454	249.1625
LOC493754	418.9993	LOC493754	703.9363
LOC541471	196.3365	LOC541471	133.5846
LOC550112	238.8391	LOC550112	201.8425
LOC550643	217.905	LOC550643	229.8995
removed	removed	LOC554202	5.8626
removed	removed	LOC55908	109.2588
removed	removed	LOC572558	17.1692
LOC595101	44.5294	LOC595101	78.727
removed	removed	LOC606724	9.6315
removed	removed	LOC613037	6.7002
removed	removed	LOC619207	11.3065
LOC641298	82.2298	LOC641298	107.1608
LOC641367	13.9561	removed	removed
LOC642587	205.5349	LOC642587	87.9397
removed	removed	LOC642597	6.2814
LOC642826	63.037	LOC642826	76.361
LOC642846	51.0665	LOC642846	87.1022
LOC642852	436.7616	LOC642852	283.0821
LOC643008	12.053	removed	removed
LOC643387	49.1634	LOC643387	29.3132
LOC643719	9.1983	LOC643719	27.2194
removed	removed	LOC643763	7.1189
LOC643837	75.1725	LOC643837	332.4958
LOC644172	6.0265	LOC644172	30.9883
LOC644538	75.4897	LOC644538	291.0385
LOC644936	78.3443	LOC644936	16.3317
LOC645166	98.9612	LOC645166	199.7487
LOC645332	64.7054	LOC645332	46.4824
LOC645431	7.089	LOC645431	8.6055
LOC645676	33.6754	LOC645676	17.2194
removed	removed	LOC645752	7.9564
LOC646214	343.5096	LOC646214	163.3166
LOC646471	26.7005	LOC646471	44.6273
LOC646762	179.2086	LOC646762	362.6466
LOC646851	19.3482	LOC646851	16.3317
removed	removed	LOC646982	6.7002
LOC646999	6.0265	LOC646999	28.057
LOC647121	5.7093	LOC647121	51.0888
removed	removed	LOC647946	6.7002
LOC647979	16998.8106	LOC647979	16310.7203
removed	removed	LOC648740	45.6114
LOC649330	16.1764	LOC649330	5.0251
LOC650368	17.7623	LOC650368	128.5595
LOC650623	20.2997	LOC650623	129.8157
LOC651250	2792.1656	LOC651250	2411.6415
LOC652276	101.1815	LOC652276	22.6131
LOC653113	21.2513	LOC653113	23.4506
LOC653501	61.2164	LOC653501	294.8074
LOC653566	1414.3208	LOC653566	1365.9966
LOC653653	73.9037	LOC653653	133.1658
removed	removed	LOC653786	5.4439
LOC654342	242.6453	LOC654342	956.4489
LOC654433	240.5011	LOC654433	370.2764
LOC678655	181.0673	LOC678655	220.5863
LOC723972	6.0265	LOC723972	5.8626
LOC727896	71.0491	LOC727896	10.469
LOC727924	8.4054	removed	removed
LOC728024	25.3747	LOC728024	26.3819
LOC728190	12.6873	LOC728190	92.1273
LOC728264	20.9341	LOC728264	725.7119
LOC728323	32.6699	LOC728323	33.9196
LOC728392	20.6169	LOC728392	87.1022
LOC728554	568.7099	LOC728554	89.6147
removed	removed	LOC728606	8.3752
LOC728613	213.4644	LOC728613	103.8526
LOC728640	19.9826	LOC728640	24.7069
LOC728643	221.7112	LOC728643	46.4824
LOC728723	6.978	LOC728723	31.407
LOC728743	33.3043	LOC728743	163.7353
LOC728758	42.1854	LOC728758	33.0821
removed	removed	LOC728819	53.1826
LOC728855	35.5245	LOC728855	131.3065
removed	removed	LOC728875	40.3853
removed	removed	LOC728989	12.1441
LOC729020	71.3663	LOC729020	31.8258
LOC729082	569.2459	LOC729082	634.3384
LOC729176	39.9651	LOC729176	34.3384
LOC729234	21.8857	LOC729234	54.4389
LOC729375	21.2513	LOC729375	18.0067
removed	removed	LOC729467	6.2814
LOC729603	13.6389	LOC729603	25.5444
LOC729678	605.63	LOC729678	587.1231
removed	removed	LOC729799	17.5879
LOC729991-MEF2B	25.6601	LOC729991-MEF2B	29.062
LOC729991	252.0974	LOC729991	230.0251
LOC730101	85.3223	LOC730101	80.402
LOC730668	6.978	removed	removed
LOC731779	29.4981	removed	removed
LOC80054	151.9309	LOC80054	223.1993
LOC80154	124.3359	LOC80154	74.5394
LOC81691	371.739	LOC81691	163.7353
LOC84740	2738.5679	removed	removed
LOC84856	16.8107	LOC84856	12.5628
LOC84989	15.8243	removed	removed
LOC90110	122.1156	LOC90110	338.3585
LOC90246	66.6085	LOC90246	57.7889
removed	removed	LOC90586	15.4941
LOC90784	228.0549	LOC90784	257.5377
LOC90834	5.3921	LOC90834	19.6817
removed	removed	LOC91149	10.8878
LOC91316	50.115	LOC91316	241.541
LOC91948	8.2468	removed	removed
LOC92249	946.7925	LOC92249	585.8459
LOC92659	157.0058	LOC92659	21.3568
LOC92973	6.3437	LOC92973	92.5461
removed	removed	LOC93432	9.2127
LOC93622	850.0515	LOC93622	307.7889
LOC96610	17363.8538	LOC96610	6834.1667
LOH12CR1	98.0097	LOH12CR1	95.0586
LOH12CR2	9.5155	LOH12CR2	41.876
LOH3CR2A	14.5904	LOH3CR2A	120.603
LONP1	1504.7181	LONP1	1414.5729
LONP2	2340.4964	LONP2	1886.5159
LONRF1	240.1078	LONRF1	889.0285
LONRF2	131.9483	LONRF2	363.4841
LONRF3	96.4238	LONRF3	56.5327
removed	removed	LOXHD1	12.9816
LOXL1	252.1608	LOXL1	479.8995
LOXL2	6869.8089	LOXL2	1248.2621
LOXL3	292.9284	LOXL3	165.6114
LOXL4	44.4057	LOXL4	404.5226
LOX	5453.6516	LOX	1474.4556
LPAR1	298.4696	LPAR1	1226.1307
LPAR2	412.3384	LPAR2	66.1642
LPAR3	484.6563	removed	removed
LPAR4	9.1983	LPAR4	12.5628
LPAR5	50.4322	LPAR5	50.67
LPAR6	128.7765	LPAR6	1170.4355
LPCAT1	4340.9722	LPCAT1	755.0251
LPCAT2	477.361	LPCAT2	726.1307
LPCAT3	871.9372	LPCAT3	803.1826
LPCAT4	235.6673	LPCAT4	495.3936
LPGAT1	1955.1185	LPGAT1	3101.34
LPHN1	2333.5057	LPHN1	1311.5578
LPHN2	260.4076	LPHN2	1853.0151
LPHN3	19.6654	LPHN3	137.3534
LPIN1	1717.5482	LPIN1	3831.6583
LPIN2	2130.8382	LPIN2	1150.7538
LPIN3	273.9989	LPIN3	374.6817
LPL	81.199	LPL	93423.3668
LPO	15.8592	removed	removed
removed	removed	LPPR1	7.9564
LPPR2	461.5019	LPPR2	385.6784
LPPR3	6.978	removed	removed
LPPR4	19.9826	LPPR4	204.3551
LPPR5	14.5904	removed	removed
LPP	1453.0172	LPP	1032.6633
LPXN	257.8701	LPXN	169.1792
LQK1	29.8152	LQK1	21.7755
LRAT	9.1983	LRAT	18.8442
LRBA	4193.4819	LRBA	2276.8007
LRCH1	577.591	LRCH1	715.6616
LRCH2	65.0226	LRCH2	133.1658
LRCH3	750.456	LRCH3	389.4472
LRCH4	224.883	LRCH4	280.9883
LRDD	29.8152	LRDD	105.5276
LRFN1	158.5917	LRFN1	28.057
LRFN3	192.8475	LRFN3	152.4288
LRFN4	325.7474	LRFN4	261.7253
removed	removed	LRFN5	61.9765
LRG1	1099.3577	LRG1	25.9631
LRIG1	1386.3421	LRIG1	5727.5503
LRIG2	405.3604	LRIG2	222.3618
LRIG3	511.934	LRIG3	1056.5327
LRMP	11.1014	LRMP	149.4975
LRP10	3266.3548	LRP10	4515.0754
LRP11	989.9294	LRP11	1713.5595
LRP12	815.4786	LRP12	331.2395
removed	removed	LRP1B	171.273
LRP1	8108.1595	LRP1	60654.5226
LRP2BP	15.8592	LRP2BP	48.5762
LRP2	8.8811	LRP2	126.0469
LRP3	182.6976	LRP3	1579.4724
LRP4	61.5336	LRP4	258.3585
LRP5L	13.6389	LRP5L	35.1759
LRP5	552.2163	LRP5	3163.7353
LRP6	560.1459	LRP6	1873.1156
LRP8	242.0109	LRP8	38.1072
LRPAP1	999.7621	LRPAP1	1932.9983
LRPPRC	11437.6338	LRPPRC	4809.8827
LRRC10B	7.2952	LRRC10B	17.1692
LRRC14B	9.8327	removed	removed
LRRC14	149.5678	LRRC14	418.4129
LRRC15	3798.2714	LRRC15	247.9062
LRRC16A	1070.1768	LRRC16A	371.8593
LRRC17	144.0013	LRRC17	449.33
LRRC1	1182.1426	LRRC1	291.4573
LRRC20	919.1975	LRRC20	153.6851
LRRC23	141.781	LRRC23	125.2094
LRRC25	72.0006	LRRC25	107.6214
LRRC26	5.0749	LRRC26	6.7002
LRRC27	101.8159	LRRC27	162.8978
LRRC28	93.2519	LRRC28	271.3568
LRRC29	31.4012	LRRC29	40.201
LRRC2	6.0265	LRRC2	197.2362
LRRC32	1020.379	LRRC32	2238.6935
LRRC33	30.4496	LRRC33	290.6198
LRRC34	16.8107	LRRC34	141.1223
LRRC37A2	90.2767	LRRC37A2	132.7471
LRRC37A3	105.3049	LRRC37A3	67.4204
LRRC37A4	217.2167	LRRC37A4	185.4606
LRRC37A	209.9754	LRRC37A	322.4456
LRRC37B2	596.3048	LRRC37B2	446.8174
LRRC37B	97.0581	LRRC37B	85.4271
removed	removed	LRRC39	9.7278
removed	removed	LRRC3B	12.1441
LRRC3	142.4154	LRRC3	106.3652
LRRC40	684.4818	LRRC40	383.5846
LRRC41	1236.0638	LRRC41	1753.7688
LRRC42	593.7673	LRRC42	338.7772
removed	removed	LRRC43	12.5628
LRRC45	182.6976	LRRC45	119.3467
LRRC46	50.4322	LRRC46	9.6315
LRRC47	736.1827	LRRC47	1074.5394
LRRC48	6.0265	LRRC48	29.0662
LRRC49	80.5646	LRRC49	124.7906
removed	removed	LRRC4B	24.2881
removed	removed	LRRC4C	36.4322
LRRC4	11.7358	LRRC4	103.8526
removed	removed	LRRC55	11.3065
LRRC56	14.2733	LRRC56	6.2814
LRRC57	271.1918	LRRC57	316.1642
LRRC58	5208.786	LRRC58	1691.3735
LRRC59	5323.9997	LRRC59	1372.4665
LRRC61	120.5297	LRRC61	141.541
removed	removed	LRRC66	7.9564
LRRC6	10.7842	LRRC6	62.3953
LRRC70	14.2733	LRRC70	118.5678
LRRC8A	1100.6264	LRRC8A	1193.8861
LRRC8B	1172.6271	LRRC8B	608.8777
LRRC8C	301.3242	LRRC8C	1529.732
LRRC8D	2972.3257	LRRC8D	507.5377
LRRC8E	697.4863	LRRC8E	64.0704
LRRCC1	792.3242	LRRCC1	505.0251
LRRFIP1	5818.4125	LRRFIP1	2507.5377
LRRFIP2	911.2679	LRRFIP2	869.7655
removed	removed	LRRIQ1	12.5628
removed	removed	LRRIQ3	67.0017
LRRK1	193.7991	LRRK1	368.928
LRRK2	73.5866	LRRK2	670.4355
LRRN1	39.9651	LRRN1	174.6231
LRRN2	188.0898	LRRN2	90.0335
LRRN3	42.5026	LRRN3	537.2697
LRRN4CL	11.7358	LRRN4CL	1170.8543
removed	removed	LRRN4	6.7002
removed	removed	LRRTM2	82.9146
LRSAM1	248.0374	LRSAM1	384.8409
LRTOMT	140.7279	LRTOMT	223.5804
LRWD1	139.8779	LRWD1	93.8023
LSAMP	66.6085	LSAMP	27.6382
LSG1	3278.7249	LSG1	668.3417
LSM10	169.0588	LSM10	346.3149
LSM11	209.9754	LSM11	174.6231
LSM12	1400.0476	LSM12	776.8007
LSM14A	3049.4013	LSM14A	2870.603
removed	removed	LSM14B	580.402
LSM1	437.0787	LSM1	507.1189
LSM2	573.7848	LSM2	463.9866
LSM3	1610.6574	LSM3	778.8945
LSM4	2194.592	LSM4	617.2529
LSM5	695.5832	LSM5	486.1809
LSM6	460.5503	LSM6	347.5712
LSM7	192.5303	LSM7	198.4925
LSMD1	217.905	LSMD1	314.0704
LSP1	507.1763	LSP1	1623.5343
LSR	4022.2028	LSR	323.2831
LSS	595.6704	LSS	2010.469
LST1	27.9121	LST1	48.5762
LTA4H	1136.4682	LTA4H	1888.6097
LTB4R2	18.0826	LTB4R2	37.4874
LTB4R	66.3453	LTB4R	155.9338
LTBP1	5462.5327	LTBP1	2836.6834
LTBP2	3093.807	LTBP2	9855.9464
LTBP3	696.2683	LTBP3	3187.7387
LTBP4	271.1918	LTBP4	5660.3853
LTBR	704.1472	LTBR	1200.5863
LTB	8.8811	LTB	14.2379
removed	removed	LTC4S	36.3149
LTF	163955.2771	LTF	5088.7772
LTV1	509.0794	LTV1	539.3635
LUC7L2	1834.3605	LUC7L2	1784.8116
LUC7L3	1596.0669	LUC7L3	2454.3551
LUC7L	347.9502	LUC7L	481.9933
LUM	12284.5135	LUM	15441.7923
LUZP1	970.2641	LUZP1	1489.531
LUZP2	8.564	LUZP2	36.0134
LUZP6	6585.0448	LUZP6	5239.531
LXN	116.4063	LXN	272.6131
LY6D	758.7027	LY6D	26.3819
LY6E	6544.1281	LY6E	2352.1776
LY6G5B	6.4515	LY6G5B	40.804
LY6G5C	12.053	LY6G5C	24.7069
