gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
ACYP1	83.7459	ACYP1	65.7547
ACYP2	179.2492	ACYP2	156.7996
ADAL	214.5215	ADAL	194.5051
ADAM10	2319.3069	ADAM10	2093.1142
removed	removed	ADAM11	11.9554
ADAM12	2881.1881	ADAM12	295.2063
ADAM15	3546.6522	ADAM15	3201.7473
ADAM17	1003.9191	ADAM17	889.7574
ADAM19	604.5792	ADAM19	225.3133
ADAM21	9.6947	removed	removed
ADAM22	147.071	ADAM22	45.0627
ADAM23	64.769	ADAM23	48.7412
ADAM28	295.1733	ADAM28	85.5271
ADAM32	12.17	ADAM32	10.1161
ADAM33	74.4637	ADAM33	583.0555
ADAM6	17569.5091	ADAM6	11715.6869
ADAM8	404.4967	ADAM8	43.2234
ADAM9	4082.7145	ADAM9	2185.5386
ADAMDEC1	480.6106	ADAMDEC1	7.3572
ADAMTS10	165.429	ADAMTS10	119.0941
ADAMTS12	430.4868	ADAMTS12	113.1165
ADAMTS13	15.4703	ADAMTS13	27.1296
ADAMTS14	93.6469	ADAMTS14	7.3572
ADAMTS15	247.9373	ADAMTS15	288.309
ADAMTS16	66.2129	ADAMTS16	221.6347
ADAMTS17	103.5479	ADAMTS17	36.326
ADAMTS18	32.3845	ADAMTS18	137.0272
ADAMTS19	52.1865	removed	removed
ADAMTS1	1111.1799	ADAMTS1	15917.2319
ADAMTS2	477.3102	ADAMTS2	590.4127
ADAMTS3	70.132	ADAMTS3	206.0007
ADAMTS4	378.7129	ADAMTS4	1859.5241
ADAMTS5	389.2327	ADAMTS5	2649.0401
ADAMTS6	95.5033	ADAMTS6	48.7412
ADAMTS7	117.368	ADAMTS7	95.6432
ADAMTS8	16.0891	ADAMTS8	72.652
ADAMTS9	623.9686	ADAMTS9	615.2431
ADAMTSL1	332.5083	ADAMTSL1	509.4838
ADAMTSL2	155.5281	ADAMTSL2	109.8977
ADAMTSL3	202.5578	ADAMTSL3	494.7695
ADAMTSL4	193.0693	ADAMTSL4	1367.9733
ADAMTSL5	28.0528	ADAMTSL5	54.7189
ADAP1	106.3057	ADAP1	99.3861
