gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
LRRIQ1	28.0528	LRRIQ1	18.3929
LRRIQ3	5.5693	LRRIQ3	12.875
LRRK1	383.0446	LRRK1	436.8318
LRRK2	477.104	LRRK2	460.7426
LRRN1	1031.5594	LRRN1	850.6725
LRRN2	236.7987	LRRN2	217.4963
LRRN3	67.6568	LRRN3	116.3352
LRRN4CL	75.495	LRRN4CL	828.1412
LRRTM2	22.4835	LRRTM2	86.4467
LRSAM1	296.8234	LRSAM1	361.8807
LRTOMT	131.2046	LRTOMT	235.319
LRWD1	119.2244	LRWD1	135.6478
LSAMP	85.396	LSAMP	85.5271
LSG1	1167.2855	LSG1	600.069
LSM10	291.6667	LSM10	310.3805
LSM11	206.2706	LSM11	203.7016
LSM12	928.0116	LSM12	752.7302
LSM14A	3637.7888	LSM14A	3240.3725
LSM14B	1137.17	LSM14B	651.1093
LSM1	618.3993	LSM1	400.9656
LSM2	669.5545	LSM2	530.6357
LSM3	1048.8861	LSM3	540.292
LSM4	1045.5858	LSM4	612.0244
LSM5	843.2343	LSM5	435.4524
LSM6	171.2046	LSM6	213.8177
LSM7	111.3861	LSM7	223.9338
LSMD1	147.071	LSMD1	291.9876
LSP1	1164.1914	LSP1	1366.134
LSR	2568.6881	LSR	1047.4767
LSS	704.8267	LSS	997.8158
LST1	165.6353	LST1	57.4779
LTA4H	2288.3663	LTA4H	1970.3414
LTA	64.769	LTA	6.8973
LTB4R2	32.5144	LTB4R2	19.262
LTB4R	135.3548	LTB4R	82.6164
LTBP1	505.9818	LTBP1	2302.3336
LTBP2	5899.9587	LTBP2	12061.6163
LTBP3	1384.7628	LTBP3	3445.7662
LTBP4	585.8086	LTBP4	4706.2881
LTBR	847.1535	LTBR	1345.442
LTB	143.1518	LTB	36.7858
LTC4S	12.3391	LTC4S	44.5155
LTF	602.3102	LTF	5129.785
LTV1	846.7409	LTV1	487.4123
LUC7L2	1820.132	LUC7L2	1715.1581
LUC7L3	2345.297	LUC7L3	1108.1734
LUC7L	484.1172	LUC7L	289.2286
LUM	36579.8267	LUM	16421.6577
LUZP1	1350.6601	LUZP1	1720.1977
LUZP2	84.571	LUZP2	88.7458
LUZP6	4697.401	LUZP6	3819.2896
LXN	428.6304	LXN	434.5327
LY6D	297.4422	LY6D	11.9554
LY6E	4031.9719	LY6E	3258.3056
LY6G5B	43.7232	LY6G5B	15.634
LY6G5C	24.5462	LY6G5C	35.4064
LY6G6C	66.2129	LY6G6C	24.8304
removed	removed	LY6H	6.8973
LY6K	22.896	LY6K	45.5225
LY75	951.7285	LY75	1076.7261
LY86	284.2409	LY86	85.9869
LY96	278.0528	LY96	180.2506
LY9	189.1502	LY9	28.509
LYAR	385.9323	LYAR	252.9026
LYG1	11.9637	removed	removed
LYL1	61.8812	LYL1	101.6209
LYNX1	91.9967	LYNX1	623.5199
LYN	1165.2228	LYN	628.1182
LYPD1	37.663	LYPD1	14.4614
LYPD3	246.9059	LYPD3	687.8952
LYPD5	63.3251	LYPD5	43.6832
LYPD6B	24.5462	LYPD6B	120.4736
LYPD6	422.4422	LYPD6	699.8506
LYPLA1	2863.4488	LYPLA1	1062.1911
LYPLA2P1	52.599	LYPLA2P1	32.6474
LYPLA2	761.5512	LYPLA2	713.1854
LYPLAL1	474.6287	LYPLAL1	280.9518
LYRM1	445.5446	LYRM1	681.4576
LYRM2	1258.9026	LYRM2	879.5264
LYRM4	230.198	LYRM4	329.6931
LYRM5	315.8003	LYRM5	465.3408
LYRM7	506.3944	LYRM7	442.3497
LYSMD1	243.8119	LYSMD1	182.0899
LYSMD2	334.571	LYSMD2	194.5051
LYSMD3	1066.6254	LYSMD3	727.4399
LYSMD4	102.0194	LYSMD4	182.6417
LYST	1948.2261	LYST	1862.7428
LYVE1	38.9851	LYVE1	1476.4916
LYZ	14873.3498	LYZ	1179.4459
LZIC	522.4835	LZIC	313.5993
LZTFL1	840.1403	LZTFL1	801.9313
LZTR1	656.1469	LZTR1	785.8375
LZTS1	257.2195	LZTS1	469.9391
LZTS2	593.4406	LZTS2	1283.3659
M6PR	3659.375	M6PR	2748.2147
MAB21L1	25.5776	MAB21L1	92.8842
MACC1	1072.401	MACC1	445.5685
MACF1	9941.0066	MACF1	9196.4594
MACROD1	91.7904	MACROD1	118.6343
MACROD2	63.1188	MACROD2	106.2191
MAD1L1	250.4125	MAD1L1	212.4382
MAD2L1BP	510.9323	MAD2L1BP	336.5904
MAD2L1	476.4851	MAD2L1	62.9957
MAD2L2	259.0759	MAD2L2	291.0679
MADD	1538.7789	MADD	1543.6257
MAEA	720.297	MAEA	852.9716
MAF1	1442.038	MAF1	2063.6855
MAFB	1601.0726	MAFB	1062.6509
MAFF	152.6403	MAFF	3748.4768
MAFG	322.1947	MAFG	838.2573
MAFK	247.1988	MAFK	1035.6869
MAF	1328.5891	MAF	1818.5998
MAGEA3	28.8779	removed	removed
MAGEA6	22.4835	removed	removed
MAGEB4	10.1073	removed	removed
MAGEC2	24.5462	removed	removed
MAGED1	3647.071	MAGED1	2513.8522
MAGED2	10194.3069	MAGED2	8342.1083
MAGED4B	69.4266	MAGED4B	243.5912
MAGED4	27.1081	MAGED4	87.9411
MAGEE1	94.0594	MAGEE1	191.7462
removed	removed	MAGEE2	7.3572
MAGEF1	530.7343	MAGEF1	565.5823
MAGEH1	426.5677	MAGEH1	565.5823
MAGEL2	16.9142	MAGEL2	9.1965
MAGI1	796.8234	MAGI1	1397.402
MAGI2	117.368	MAGI2	424.4166
MAGI3	762.17	MAGI3	872.744
MAGIX	11.5512	MAGIX	22.0715
MAGOHB	365.9241	MAGOHB	149.9023
MAGOH	402.0215	MAGOH	314.0591
MAGT1	4097.9785	MAGT1	2435.6823
MAG	28.8779	removed	removed
MAK16	433.7603	MAK16	476.818
MAK	30.9406	MAK	43.2234
MAL2	10505.5693	MAL2	1934.9351
MALAT1	4072.7207	MALAT1	2292.7095
MALL	529.9092	MALL	992.7578
MALT1	780.3218	MALT1	609.2654
MAL	35.6848	MAL	28.9688
MAMDC2	88.488	MAMDC2	943.0785
MAMDC4	13.6139	MAMDC4	19.3126
MAML1	1603.585	MAML1	1384.6143
MAML2	477.104	MAML2	1082.4233
MAML3	292.9043	MAML3	440.5104
MAMLD1	179.6617	MAMLD1	208.2998
MAMSTR	13.2013	MAMSTR	32.6474
MAN1A1	2680.0743	MAN1A1	2101.8508
MAN1A2	1385.7261	MAN1A2	897.5744
MAN1B1	889.6452	MAN1B1	1083.3429
MAN1C1	527.2277	MAN1C1	534.7741
MAN2A1	2311.6749	MAN2A1	783.5383
MAN2A2	803.8366	MAN2A2	1173.4682
MAN2B1	2324.0512	MAN2B1	1300.8392
MAN2B2	1336.6337	MAN2B2	1848.0285
MAN2C1	419.5545	MAN2C1	918.7263
MANBAL	674.505	MANBAL	1012.0704
MANBA	1394.802	MANBA	839.6367
MANEAL	328.5891	MANEAL	101.6209
MANEA	587.665	MANEA	455.6846
MANF	1476.6914	MANF	549.0286
MANSC1	945.132	MANSC1	948.155
MAOA	1282.5908	MAOA	3215.542
MAOB	750.4125	MAOB	3776.526
MAP1A	803.6304	MAP1A	1258.0756
MAP1B	3583.3333	MAP1B	4678.2389
MAP1D	45.9983	MAP1D	38.6251
MAP1LC3A	176.9802	MAP1LC3A	303.943
MAP1LC3B2	233.2921	MAP1LC3B2	267.617
MAP1LC3B	1902.6403	MAP1LC3B	2553.8568
MAP1LC3C	23.3086	MAP1LC3C	240.4874
MAP1S	314.5627	MAP1S	586.2743
MAP2K1	1130.6147	MAP2K1	1012.6221
MAP2K2	909.2409	MAP2K2	1218.071
MAP2K3	541.0479	MAP2K3	1095.7581
MAP2K4	944.9257	MAP2K4	973.905
MAP2K5	244.4307	MAP2K5	404.1844
MAP2K6	130.7756	MAP2K6	147.6032
MAP2K7	700.9076	MAP2K7	652.9486
MAP2	163.5726	MAP2	939.8781
MAP3K10	76.9389	MAP3K10	144.8442
MAP3K11	852.5165	MAP3K11	1699.9655
MAP3K12	332.1349	MAP3K12	422.2508
MAP3K13	43.0177	MAP3K13	51.9692
MAP3K14	395.6271	MAP3K14	501.6669
MAP3K1	2443.4818	MAP3K1	1510.5185
MAP3K2	1032.5908	MAP3K2	669.0424
MAP3K3	899.4637	MAP3K3	1724.1062
MAP3K4	982.0545	MAP3K4	913.2084
MAP3K5	864.4802	MAP3K5	783.9982
MAP3K6	243.6056	MAP3K6	646.9709
MAP3K7	927.599	MAP3K7	717.7837
MAP3K8	154.2904	MAP3K8	1442.0048
MAP3K9	61.4686	MAP3K9	74.4913
MAP4K1	251.2376	MAP4K1	46.9019
MAP4K2	305.2805	MAP4K2	331.5324
MAP4K3	912.335	MAP4K3	1000.5748
MAP4K4	3989.8927	MAP4K4	3080.3541
MAP4K5	1290.2228	MAP4K5	1255.7765
MAP4	6230.4043	MAP4	8892.9762
MAP6D1	53.4241	MAP6D1	36.326
MAP6	49.9175	MAP6	130.5897
MAP7D1	1218.6469	MAP7D1	2044.3729
MAP7D2	6.6007	MAP7D2	9.1965
MAP7D3	377.8878	MAP7D3	694.3327
MAP7	1678.4241	MAP7	750.4311
MAP9	626.8564	MAP9	502.1267
MAPK10	137.995	MAPK10	289.6885
MAPK11	166.8729	MAPK11	311.76
MAPK12	61.4831	MAPK12	89.2195
MAPK13	582.7145	MAPK13	421.6577
MAPK14	1921.8234	MAPK14	1626.8537
MAPK15	32.3845	MAPK15	14.2545
MAPK1IP1L	1968.8531	MAPK1IP1L	2741.4645
MAPK1	4541.8729	MAPK1	3518.1055
MAPK3	1136.1386	MAPK3	2166.6858
removed	removed	MAPK4	51.0403
MAPK6	1420.7921	MAPK6	1156.9146
MAPK7	156.5078	MAPK7	366.5663
MAPK8IP1	94.4719	MAPK8IP1	288.7688
MAPK8IP2	297.6485	MAPK8IP2	64.3752
MAPK8IP3	530.9406	MAPK8IP3	233.5901
MAPK8	384.0759	MAPK8	357.7423
MAPK9	1705.6518	MAPK9	943.0969
MAPKAP1	1573.8449	MAPKAP1	1447.9825
MAPKAPK2	5448.8449	MAPKAPK2	2443.9591
MAPKAPK3	831.0644	MAPKAPK3	523.2785
MAPKAPK5	588.6242	MAPKAPK5	454.0522
MAPKBP1	324.4637	MAPKBP1	1059.8919
MAPKSP1	827.1452	MAPKSP1	942.1773
MAPRE1	5525.7838	MAPRE1	2992.9877
MAPRE2	1023.9274	MAPRE2	1390.5047
MAPRE3	140.4703	MAPRE3	417.9791
MAPT	1791.4604	MAPT	1522.014
MARCH11	74.0512	removed	removed
MARCH1	214.5215	MARCH1	26.6697
MARCH2	517.7393	MARCH2	729.2792
MARCH3	211.6337	MARCH3	142.0853
MARCH5	1235.5611	MARCH5	1124.727
MARCH6	3496.6997	MARCH6	1935.3949
MARCH7	2057.962	MARCH7	2565.3523
MARCH8	283.2096	MARCH8	627.6584
MARCH9	203.7954	MARCH9	179.7908
MARCKSL1	5969.2657	MARCKSL1	2473.3877
MARCKS	6261.9637	MARCKS	6296.3559
MARCO	19.5957	MARCO	113.5763
MARK1	103.7541	MARK1	365.5593
MARK2	1194.3069	MARK2	1279.2275
MARK3	1050.1238	MARK3	1122.8877
MARK4	649.1337	MARK4	664.904
MARS2	151.8152	MARS2	140.7058
MARS	2107.0606	MARS	1162.5842
MARVELD1	874.9856	MARVELD1	1409.877
MARVELD2	428.8366	MARVELD2	297.9653
MARVELD3	164.7628	MARVELD3	257.74
MASP1	10.9323	MASP1	102.0807
MASP2	27.0215	MASP2	16.0938
MAST2	1097.9785	MAST2	805.6098
MAST3	343.8531	MAST3	457.5239
MAST4	799.7112	MAST4	1258.9953
MASTL	697.8135	MASTL	232.6704
removed	removed	MAT1A	10.5759
MAT2A	4178.2178	MAT2A	4598.2297
MAT2B	2059.8185	MAT2B	1856.3053
MATK	50.5363	MATK	22.0715
MATN2	1034.6535	MATN2	3238.5332
MATN3	721.7409	MATN3	111.737
removed	removed	MATN4	9.1965
MATR3	10237.6238	MATR3	7011.3622
MAVS	1919.7607	MAVS	2409.0125
MAX	1822.6073	MAX	1417.6342
MAZ	2579.1708	MAZ	1820.0483
MBD1	620.462	MBD1	919.1861
MBD2	1964.3152	MBD2	1663.1797
MBD3	363.2426	MBD3	857.11
MBD4	1046.8234	MBD4	717.3238
MBD5	388.6139	MBD5	402.3451
MBD6	1199.2574	MBD6	1537.1882
MBIP	356.0231	MBIP	405.104
MBL1P	5.7756	MBL1P	5.0581
MBLAC1	7.4257	MBLAC1	16.0938
MBLAC2	232.6733	MBLAC2	277.2732
MBNL1	5566.0004	MBNL1	5897.4549
MBNL2	1654.2904	MBNL2	3702.9544
MBNL3	94.4719	MBNL3	80.9288
MBOAT1	800.33	MBOAT1	779.8598
MBOAT2	741.5429	MBOAT2	317.2778
MBOAT7	1904.4967	MBOAT7	806.5295
MBP	1273.3086	MBP	987.6997
MBTD1	621.2871	MBTD1	687.8952
MBTPS1	2488.2426	MBTPS1	4437.2916
MBTPS2	832.302	MBTPS2	625.557
MB	53.4241	MB	69.4333
MC1R	47.6279	MC1R	53.5372
MCAM	2337.4587	MCAM	11296.4709
MCART1	276.6089	MCART1	211.5186
MCART2	7.632	MCART2	5.0581
MCART6	40.0165	MCART6	13.3349
MCAT	155.9406	MCAT	203.7016
MCCC1	733.9109	MCCC1	653.4084
MCCC2	7069.1007	MCCC2	2195.1948
MCC	1160.4785	MCC	1384.527
MCEE	118.8119	MCEE	175.1926
MCF2L2	5.5693	MCF2L2	8.7366
MCF2L	718.4406	MCF2L	1127.4859
MCFD2	3229.5792	MCFD2	3329.5781
removed	removed	MCHR1	10.1161
MCL1	9883.8696	MCL1	21170.2495
MCM10	208.7459	MCM10	15.634
MCM2	548.6799	MCM2	255.6616
MCM3APAS	17.7351	MCM3APAS	15.7903
MCM3AP	2607.8837	MCM3AP	1891.5554
MCM3	2401.4026	MCM3	1324.2901
MCM4	1938.7376	MCM4	593.6315
MCM5	482.0545	MCM5	544.8902
MCM6	1295.7921	MCM6	592.252
MCM7	1135.2723	MCM7	1062.9911
MCM8	445.9571	MCM8	142.5451
MCM9	104.9917	MCM9	67.594
MCOLN1	429.2492	MCOLN1	480.0552
MCOLN2	114.4802	MCOLN2	14.2545
MCOLN3	78.3828	MCOLN3	63.9154
MCPH1	607.3597	MCPH1	522.9475
MCRS1	841.5842	MCRS1	674.1005
MCTP1	488.6551	MCTP1	464.881
MCTP2	141.7079	MCTP2	174.2729
MCTS1	1082.5083	MCTS1	585.3546
MDC1	1055.0743	MDC1	844.235
MDFIC	1750.2063	MDFIC	1585.4696
MDFI	157.1782	MDFI	436.372
MDGA1	193.0693	MDGA1	131.9692
MDH1B	22.071	MDH1B	13.3349
MDH1	2754.7442	MDH1	2185.5386
MDH2	2022.896	MDH2	2277.0433
MDK	916.2541	MDK	1271.4105
MDM1	256.8069	MDM1	250.1437
MDM2	1910.066	MDM2	2246.695
MDM4	1812.7063	MDM4	533.3946
MDN1	1521.6584	MDN1	1424.5316
MDP1	121.4418	MDP1	166.6582
ME1	221.7409	ME1	443.7292
ME2	962.0462	ME2	565.5823
ME3	209.7772	ME3	257.9607
MEA1	950.0722	MEA1	690.1943
MEAF6	1919.1419	MEAF6	1436.0271
MECOM	733.4983	MECOM	1090.2403
MECP2	1354.3729	MECP2	1873.3188
MECR	208.7459	MECR	289.2286
MED10	484.3234	MED10	332.452
MED11	115.099	MED11	177.0318
MED12L	36.9224	MED12L	7.817
MED12	1525.165	MED12	1696.7468
MED13L	3695.7508	MED13L	4434.9925
MED13	2891.0891	MED13	2400.2759
MED14	1996.9059	MED14	1189.562
MED15	1074.4637	MED15	1513.7372
MED16	340.3465	MED16	827.2215
MED17	615.7178	MED17	679.6183
MED18	327.1452	MED18	241.4071
MED19	234.9422	MED19	185.7685
MED1	4143.1518	MED1	1687.0905
MED20	612.4175	MED20	406.4835
MED21	790.0165	MED21	651.1093
MED22	446.5759	MED22	563.2831
MED23	1365.5116	MED23	1046.0973
MED24	1222.1535	MED24	1278.7677
MED25	818.1023	MED25	615.703
MED26	226.2789	MED26	207.3802
MED27	191.2129	MED27	266.6973
MED28	623.9686	MED28	633.6361
MED29	1200.7013	MED29	1309.116
MED30	173.2673	MED30	226.6927
MED31	116.7925	MED31	158.5194
MED4	966.5842	MED4	897.5744
MED6	380.363	MED6	343.9476
MED7	235.5611	MED7	227.6124
MED8	709.3647	MED8	493.39
MED9	258.6634	MED9	291.0679
MEF2A	2115.3899	MEF2A	2129.3482
MEF2B	6.1221	MEF2B	8.0975
MEF2C	1501.8564	MEF2C	1947.8101
MEF2D	1421.8234	MEF2D	2661.4553
MEFV	15.6766	MEFV	5.5179
MEG3	37.7475	MEG3	69.8931
MEGF10	6.1881	MEGF10	152.6612
MEGF6	523.5149	MEGF6	1006.5525
MEGF8	756.6007	MEGF8	1255.7765
MEGF9	879.3317	MEGF9	1766.18
MEI1	69.5132	MEI1	23.9108
MEIS1	304.6617	MEIS1	406.4835
MEIS2	163.3663	MEIS2	327.394
MEIS3P1	393.7706	MEIS3P1	756.4088
MEIS3	328.5891	MEIS3	256.5812
MELK	613.6551	removed	removed
MEMO1	422.3432	MEMO1	232.3899
MEN1	685.231	MEN1	670.8817
MEOX1	266.7079	MEOX1	689.2746
MEOX2	425.5363	MEOX2	968.3872
MEPCE	734.3234	MEPCE	1422.6923
MERTK	469.4719	MERTK	446.9479
MESDC1	566.6254	MESDC1	828.601
MESDC2	1580.8581	MESDC2	1036.441
MESP1	86.6337	MESP1	50.1207
MESP2	25.165	MESP2	10.1161
MESTIT1	7.4257	MESTIT1	11.0358
MEST	1610.9736	MEST	2732.7279
METAP1	951.9389	METAP1	989.9989
METAP2	2149.3399	METAP2	1628.2331
METRNL	110.5611	METRNL	577.0778
METRN	202.9703	METRN	66.6743
METT10D	679.868	METT10D	859.4091
METT11D1	425.33	METT11D1	405.5639
METT5D1	464.7277	METT5D1	326.9341
METTL10	275.6828	METTL10	259.7632
METTL11A	189.0573	METTL11A	210.3184
METTL12	54.4967	METTL12	32.6658
METTL13	1108.4983	METTL13	669.5022
METTL14	429.868	METTL14	456.1444
METTL1	297.236	METTL1	154.9603
METTL2A	426.5677	METTL2A	302.5635
METTL2B	287.9538	METTL2B	247.3848
METTL3	553.6345	METTL3	524.658
METTL4	476.6914	METTL4	337.5101
METTL5	524.9402	METTL5	456.618
METTL6	357.6733	METTL6	189.9069
METTL7A	2402.434	METTL7A	5209.3344
METTL7B	56.5182	METTL7B	17.4733
METTL8	485.5611	METTL8	338.8895
METTL9	2305.2805	METTL9	1839.7517
MET	908.4158	MET	2789.7459
MEX3A	278.8779	MEX3A	231.7508
MEX3B	145.0083	MEX3B	116.795
MEX3C	1098.5974	MEX3C	1950.569
MEX3D	178.2178	MEX3D	310.3805
MFAP1	813.7376	MFAP1	796.4134
MFAP2	409.0347	MFAP2	291.9876
MFAP3L	129.3317	MFAP3L	258.8803
MFAP3	1664.1914	MFAP3	1588.2285
MFAP4	1226.8977	MFAP4	8795.9536
MFAP5	2500.6188	MFAP5	6585.5845
MFF	1145.8333	MFF	1044.258
MFGE8	1115.099	MFGE8	5539.9471
MFHAS1	331.8894	MFHAS1	343.0279
MFI2	47.8548	MFI2	223.9338
MFN1	1160.6848	MFN1	869.5252
MFN2	2040.429	MFN2	2613.6338
MFNG	341.7904	MFNG	581.3404
MFRP	359.1172	MFRP	598.2297
MFSD10	630.7756	MFSD10	879.1815
MFSD11	484.6308	MFSD11	523.7292
MFSD1	2703.5891	MFSD1	1564.7776
MFSD2A	64.3564	MFSD2A	28.509
MFSD2B	10.9323	MFSD2B	6.8973
MFSD3	129.1254	MFSD3	96.5628
MFSD4	35.4785	MFSD4	148.9826
MFSD5	693.2756	MFSD5	521.8991
MFSD6L	29.0842	MFSD6L	21.6117
MFSD6	2034.8597	MFSD6	1468.2147
MFSD7	116.6399	MFSD7	129.2976
MFSD8	345.5033	MFSD8	327.8538
MFSD9	130.5693	MFSD9	132.8888
MGAM	19.1832	MGAM	8.7366
MGAT1	3110.9736	MGAT1	3078.5148
MGAT2	992.368	MGAT2	630.4173
MGAT3	130.363	MGAT3	270.3759
MGAT4A	1928.4241	MGAT4A	1488.9068
MGAT4B	1376.6502	MGAT4B	980.3426
MGAT5B	17.1205	MGAT5B	18.3929
MGAT5	263.4076	MGAT5	283.2509
MGA	1947.8135	MGA	1191.4013
MGC12916	9.0759	MGC12916	5.9777
MGC12982	40.0165	MGC12982	24.8304
removed	removed	MGC14436	5.9777
MGC16121	14.8515	MGC16121	6.8973
MGC16142	10.7261	MGC16142	11.0358
MGC16275	25.165	MGC16275	39.5448
MGC21881	68.6881	MGC21881	141.1657
MGC23270	12.17	MGC23270	36.7858
MGC23284	23.1023	MGC23284	26.6697
MGC2752	285.8911	MGC2752	549.9483
MGC29506	192.2442	MGC29506	67.594
MGC3771	7.1411	MGC3771	10.3276
MGC45800	11.3449	MGC45800	18.8527
MGC57346	113.5788	MGC57346	210.4104
MGC70857	172.236	MGC70857	237.2687
MGC72080	68.9686	MGC72080	37.0249
MGC87042	16.5017	MGC87042	25.2903
MGEA5	5793.1106	MGEA5	3222.8992
MGLL	2788.7789	MGLL	6226.4628
MGMT	179.6617	MGMT	351.7646
MGP	10102.104	MGP	87737.9009
MGRN1	953.1766	MGRN1	1069.5482
MGST1	3775.3713	MGST1	4669.9621
MGST2	480.4043	MGST2	869.5252
MGST3	1103.3416	MGST3	1835.6133
MIA3	6224.4224	MIA3	2133.1187
MIAT	229.5854	MIAT	25.2903
MIA	56.9163	MIA	206.7134
MIB1	2150.9901	MIB1	2039.7747
MIB2	74.2574	MIB2	219.7954
MICAL1	720.0908	MICAL1	419.0643
MICAL2	2716.7904	MICAL2	1805.7248
MICAL3	674.2987	MICAL3	1317.3928
MICALCL	152.434	MICALCL	81.8485
MICALL1	331.4769	MICALL1	798.7125
MICALL2	170.9983	MICALL2	193.5855
MICA	278.2591	MICA	295.2063
MICB	390.4703	MICB	124.1522
MID1IP1	302.8053	MID1IP1	576.618
MID1	347.7723	MID1	835.9582
MID2	610.1485	MID2	970.6863
MIDN	840.5528	MIDN	4642.8325
MIER1	1462.4587	MIER1	1493.0452
MIER2	133.8696	MIER2	391.3093
MIER3	1012.17	MIER3	686.5157
MIF4GD	344.1213	MIF4GD	388.8815
MIF	1221.12	MIF	1324.1154
MIIP	175.1238	MIIP	195.4248
MINA	1164.5256	MINA	712.0635
MINK1	1131.9121	MINK1	1763.4763
MINPP1	436.4686	MINPP1	452.006
MIOS	1000	MIOS	668.1228
MIPEP	442.863	MIPEP	350.8449
MIPOL1	210.396	MIPOL1	131.5094
MIR155HG	50.9488	MIR155HG	9.6563
MIR17HG	19.802	MIR17HG	7.817
MIS12	498.7624	MIS12	489.2516
MITD1	268.5644	MITD1	220.2552
MITF	477.929	MITF	829.0608
MKI67IP	814.769	MKI67IP	544.881
MKI67	3222.1535	MKI67	101.1611
MKKS	845.5033	MKKS	754.5695
MKL1	700.2888	MKL1	1590.9875
MKL2	2641.5017	MKL2	3352.1094
MKLN1	2058.9934	MKLN1	2034.2568
MKNK1	436.4686	MKNK1	531.0955
MKNK2	1684.8185	MKNK2	3324.5201
MKRN1	2424.9175	MKRN1	2474.3074
MKRN2	705.6518	MKRN2	634.0959
MKRN3	11.1386	removed	removed
MKS1	125.4125	MKS1	248.7642
MKX	24.7525	MKX	103.92
removed	removed	MLC1	5.5179
MLEC	4997.1122	MLEC	4056.5582
MLF1IP	710.8436	MLF1IP	97.6756
MLF1	701.9389	MLF1	566.9617
MLF2	2478.9604	MLF2	2212.6681
MLH1	720.7096	MLH1	617.0824
MLH3	426.1551	MLH3	362.8003
MLKL	260.3135	MLKL	159.0987
MLL2	2433.8593	MLL2	2569.0033
MLL3	2657.1782	MLL3	3008.1619
MLL4	887.3762	MLL4	915.0477
MLL5	2491.2129	MLL5	2672.4313
MLLT10	882.4257	MLLT10	910.9093
MLLT11	124.7937	MLLT11	105.2995
MLLT1	1383.6634	MLLT1	1545.0052
MLLT3	672.236	MLLT3	509.4838
MLLT4	4275.9901	MLLT4	3106.1041
MLLT6	2689.769	MLLT6	4368.778
MLL	2672.8548	MLL	3365.4443
MLPH	2423.2673	MLPH	2191.9761
MLST8	451.0809	MLST8	452.8934
MLXIPL	58.1683	MLXIPL	250.6035
MLXIP	807.962	MLXIP	1104.9546
MLX	835.264	MLX	1033.7832
MLYCD	169.5545	MLYCD	305.3225
MMAA	218.8531	MMAA	237.7285
MMAB	213.0776	MMAB	384.412
MMACHC	135.1073	MMACHC	146.2237
MMADHC	2429.6617	MMADHC	1838.832
MMD	669.3482	MMD	1554.6615
removed	removed	MMEL1	6.2858
MME	881.1881	MME	6494.0798
MMGT1	1351.6914	MMGT1	1296.2409
MMP10	49.0924	removed	removed
MMP11	2224.4224	MMP11	124.1522
MMP12	73.6386	MMP12	7.3572
MMP13	89.5215	removed	removed
MMP14	4987.005	MMP14	5006.5525
MMP15	988.0363	MMP15	656.1674
MMP16	487.005	MMP16	92.4244
MMP17	53.4241	MMP17	57.4779
MMP19	586.4274	MMP19	920.5656
MMP1	517.9455	removed	removed
MMP20	13.4076	removed	removed
MMP23B	39.8102	MMP23B	244.166
MMP24	202.764	MMP24	306.7019
MMP25	28.8263	MMP25	49.1597
MMP27	6.1881	MMP27	33.5671
MMP28	118.1931	MMP28	571.5599
MMP2	8147.4835	MMP2	17564.7776
MMP3	310.4373	MMP3	46.9019
MMP7	1876.2376	MMP7	1214.8523
MMP8	7.8383	removed	removed
MMP9	1317.4505	MMP9	97.4825
MMRN1	212.0462	MMRN1	1676.0547
MMRN2	1716.9967	MMRN2	3793.9993
MMS19	893.7706	MMS19	1064.95
MN1	383.0446	MN1	797.333
MNAT1	274.9587	MNAT1	251.0633
MND1	39.604	removed	removed
MNDA	495.0495	MNDA	121.8531
MNS1	186.0561	MNS1	96.103
MNT	284.0347	MNT	611.5645
MOAP1	621.9059	MOAP1	850.2127
MOB2	273.1023	MOB2	631.7968
MOBKL1A	1293.7294	MOBKL1A	853.8913
MOBKL1B	1416.4604	MOBKL1B	725.6006
MOBKL2A	1060.8498	MOBKL2A	1144.9592
MOBKL2B	340.3465	MOBKL2B	740.315
MOBKL2C	401.8152	MOBKL2C	652.4888
MOBKL3	1388.8201	MOBKL3	1185.4236
MOCOS	107.6733	MOCOS	102.5405
MOCS1	585.0021	MOCS1	995.7742
MOCS2	1044.5545	MOCS2	668.1228
MOCS3	238.2426	MOCS3	124.612
removed	removed	MOGAT2	10.1161
MOGS	715.3465	MOGS	873.6636
MON1A	78.7954	MON1A	167.8354
MON1B	428.2178	MON1B	623.5199
MON2	1380.363	MON2	1473.7326
MORC2	809.8185	MORC2	820.3242
MORC3	1707.0957	MORC3	1246.1202
MORC4	718.6469	MORC4	647.4307
MORF4L1	4722.566	MORF4L1	4534.3143
MORF4L2	9018.9769	MORF4L2	3964.5936
MORF4	6.6007	MORF4	6.4375
MORN1	34.8597	MORN1	36.326
MORN2	153.2591	MORN2	143.9246
MORN3	8.2508	removed	removed
MORN4	128.9191	MORN4	163.697
MOSC1	724.4224	MOSC1	1358.7769
MOSC2	327.1452	MOSC2	372.9164
MOSPD1	316.6254	MOSPD1	293.8269
MOSPD2	559.6122	MOSPD2	364.6396
MOSPD3	115.9241	MOSPD3	224.8534
removed	removed	MOV10L1	5.9777
MOV10	675.33	MOV10	611.5645
MOXD1	632.632	MOXD1	175.6524
MPDU1	685.6436	MPDU1	831.3599
MPDZ	1118.3993	MPDZ	2010.346
MPEG1	2116.1304	MPEG1	977.1238
MPG	287.335	MPG	498.9079
MPHOSPH10	1090.7591	MPHOSPH10	742.1543
