gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
MS4A2	132.1143	MS4A2	86.7598
MS4A4A	101.7351	MS4A4A	249.6341
MS4A6A	560.2493	MS4A6A	459.8802
MS4A7	528.1039	MS4A7	377.352
MS4A8B	67.8234	removed	removed
MSC	79.5865	MSC	53.1204
MSH2	957.6519	MSH2	609.4478
MSH3	610.6223	MSH3	987.1723
MSH5	310.1506	MSH5	163.4225
MSH6	1179.8441	MSH6	1307.7844
MSI1	10.5974	MSI1	12.7745
MSI2	495.6052	MSI2	125.0832
MSL1	2496.3947	MSL1	2387.2255
MSL2	1237.0701	MSL2	1035.7951
MSL3L2	136	MSL3L2	69.1949
MSL3	580.0311	MSL3	472.6547
MSLNL	13.0701	removed	removed
MSLN	44.1558	removed	removed
MSMB	27.5532	removed	removed
MSMP	61.1117	MSMP	42.0492
MSN	3895.605	MSN	6908.3167
MSR1	669.4026	MSR1	149.5675
MSRA	85.839	MSRA	275.7152
MSRB2	427.4285	MSRB2	762.7412
MSRB3	695.8961	MSRB3	2573.5196
MST1P2	80.187	MST1P2	55.8882
MST1P9	16.2493	MST1P9	29.8071
MST1R	449.6831	MST1R	44.1783
MST1	260.3428	MST1	22.8876
MST4	127.5221	MST4	237.3919
MSTN	11.3039	MSTN	24.4844
MSTO1	412.0517	MSTO1	347.5289
MSTO2P	119.5387	MSTO2P	76.9395
MSX1	38.8571	MSX1	193.7458
MSX2	103.5013	MSX2	88.3566
MT1A	9.5377	MT1A	114.9701
MT1E	163.5532	MT1E	1251.3639
MT1F	38.1506	MT1F	45.2428
MT1G	13.4234	MT1G	16.5003
MT1L	15.5429	MT1L	80.9049
MT1M	11.3039	MT1M	289.022
MT1X	213.0078	MT1X	3514.5709
MT2A	593.8078	MT2A	2222.2222
MTA1	1583.2519	MTA1	934.664
MTA2	1760.2285	MTA2	1274.7838
MTA3	1068.5714	MTA3	985.7618
MTAP	482.8883	MTAP	850.0333
MTBP	120.8104	MTBP	53.7591
MTCH1	2617.9116	MTCH1	3635.3959
MTCH2	1269.2155	MTCH2	1108.1836
MTCP1NB	173.649	MTCP1NB	331.6673
MTCP1	28.0549	MTCP1	14.3074
MTDH	3392.9349	MTDH	4159.6806
MTERFD1	177.6831	MTERFD1	267.7312
MTERFD2	797.6311	MTERFD2	504.5908
MTERFD3	822.3584	MTERFD3	500.8649
MTERF	345.1221	MTERF	147.9707
MTF1	941.4025	MTF1	760.0798
MTF2	782.4415	MTF2	506.7199
MTFMT	160.7273	MTFMT	286.3606
MTFR1	393.5169	MTFR1	579.1084
MTG1	385.3922	MTG1	259.7472
MTHFD1L	109.8597	MTHFD1L	170.8583
MTHFD1	1333.4181	MTHFD1	5371.8536
MTHFD2L	267.0545	MTHFD2L	185.2295
MTHFD2	1028.6545	MTHFD2	539.1883
MTHFR	1094.9094	MTHFR	517.3653
MTHFSD	240.9143	MTHFSD	237.3919
MTHFS	327.4597	MTHFS	429.5409
MTIF2	926.5662	MTIF2	970.8583
MTIF3	1285.8181	MTIF3	1461.6101
MTL5	272	MTL5	26.0812
MTM1	439.7922	MTM1	356.0878
MTMR10	740.6948	MTMR10	2397.5782
MTMR11	182.2753	MTMR11	158.0838
MTMR12	1496.3532	MTMR12	1948.6361
MTMR14	581.4441	MTMR14	821.2908
MTMR15	693.4869	MTMR15	890.7784
MTMR1	1037.4857	MTMR1	541.8496
MTMR2	595.9272	MTMR2	1458.9488
MTMR3	1293.9428	MTMR3	1968.8623
MTMR4	1380.8415	MTMR4	1101.2641
MTMR6	880.6441	MTMR6	1115.1031
MTMR7	41.782	MTMR7	34.853
MTMR8	6.0052	MTMR8	5.855
MTMR9L	96.7896	MTMR9L	83.5662
MTMR9	386.4343	MTMR9	661.0406
MTO1	561.6623	MTO1	487.0259
MTOR	1752.8103	MTOR	1450.4325
MTP18	137.36	MTP18	47.7764
MTPAP	455.2079	MTPAP	484.3646
MTRF1L	267.4078	MTRF1L	431.1377
MTRF1	157.1948	MTRF1	106.4538
MTRR	843.5532	MTRR	878.7758
MTR	1266.7428	MTR	1794.2781
MTSS1L	365.6104	MTSS1L	576.9794
MTSS1	1625.6415	MTSS1	951.1643
removed	removed	MTTP	8.5163
MTUS1	3987.4491	MTUS1	3730.1397
MTUS2	318.6286	removed	removed
MTX1	393.8701	MTX1	409.2828
MTX2	631.2519	MTX2	505.1231
MTX3	826.5974	MTX3	783.4997
MUC13	45.2156	removed	removed
MUC15	209.1221	MUC15	138.9222
MUC16	20.8416	MUC16	38.3234
MUC1	20189.1106	MUC1	111.2442
MUC20	136.3532	MUC20	63.34
MUC5B	467.3454	MUC5B	92.6148
removed	removed	MUC6	71.324
MUC7	7.7714	removed	removed
MUCL1	83.7195	MUCL1	2147.1723
MUDENG	1345.1636	MUDENG	784.0319
MUL1	797.2779	MUL1	678.6427
MUM1L1	62.8779	MUM1L1	68.1304
MUM1	1243.4285	MUM1	724.9501
MUS81	490.6597	MUS81	313.5063
MUSTN1	43.845	MUSTN1	131.9228
MUTED	375.5013	MUTED	391.7498
MUTYH	98.5134	MUTYH	66.7572
MUT	1047.3766	MUT	1957.6846
MVD	165.3195	MVD	127.7445
MVK	178.3896	MVK	208.1171
MVP	3048.5193	MVP	745.1763
MX1	726.9818	MX1	941.5835
MX2	257.8701	MX2	458.2834
MXD1	514.6805	MXD1	531.7365
MXD3	54.7462	MXD3	42.1876
MXD4	3182.7531	MXD4	1926.813
MXI1	801.1636	MXI1	3153.1603
MXRA5	6258.8256	MXRA5	1931.0712
MXRA7	926.2129	MXRA7	5466.9328
MXRA8	1402.0363	MXRA8	2818.8955
MYADM	3206.7739	MYADM	10402.6613
MYBBP1A	489.9214	MYBBP1A	411.9973
MYBL1	46.2753	MYBL1	44.1783
MYBL2	37.7974	MYBL2	14.9035
MYBPC1	161.787	MYBPC1	476.3806
MYB	2171.4077	MYB	59.6141
MYCBP2	7685.9425	MYCBP2	6667.1989
MYCBPAP	52.2805	MYCBPAP	14.9035
MYCBP	1103.0341	MYCBP	375.7818
MYCL1	292.8415	MYCL1	28.7425
removed	removed	MYCN	6.9195
MYCT1	189.3402	MYCT1	1328.5429
MYC	663.7506	MYC	4810.1131
MYD88	1071.0441	MYD88	615.835
MYEF2	1182.6206	MYEF2	273.815
MYEOV2	312.6234	MYEOV2	473.187
removed	removed	MYEOV	250.6986
MYH10	1574.7739	MYH10	4315.1031
MYH11	1810.7852	MYH11	5109.179
MYH14	1102.1298	MYH14	1221.5569
removed	removed	MYH15	17.0326
removed	removed	MYH1	195.3426
MYH3	20.4883	MYH3	27.1457
MYH7B	11.3039	MYH7B	23.9521
MYH9	12581.589	MYH9	13590.9514
MYL12A	3800.2284	MYL12A	5413.1737
MYL12B	4784.0205	MYL12B	4811.7099
removed	removed	MYL3	9.5808
MYL5	131.3301	MYL5	230.3659
MYL6B	377.6208	MYL6B	262.4085
MYL6	8303.4178	MYL6	12537.5915
MYL7	10.2442	removed	removed
MYL9	1734.7947	MYL9	9252.4285
MYLIP	1066.0986	MYLIP	1420.0931
MYLK2	5.2987	removed	removed
MYLK3	20.4883	MYLK3	13.3067
MYLK4	16.9558	MYLK4	28.7425
MYLK	3528.9313	MYLK	5650.012
MYNN	586.0363	MYNN	570.0599
MYO10	1762.7012	MYO10	938.9222
MYO15A	13.0701	MYO15A	9.5808
MYO15B	1260.7376	MYO15B	583.8989
MYO16	433.0805	MYO16	266.6667
MYO18A	1431.1862	MYO18A	761.815
MYO18B	5.6519	MYO18B	6.3872
MYO19	461.9973	MYO19	205.5888
MYO1B	1771.5324	MYO1B	2051.8962
MYO1C	3276.7167	MYO1C	14741.7166
MYO1D	2067.5531	MYO1D	1004.3912
MYO1E	686.3584	MYO1E	683.4331
MYO1F	326.4	MYO1F	83.5662
MYO1G	148.0104	MYO1G	20.7585
removed	removed	MYO1H	10.1131
MYO3B	53.6935	MYO3B	7.4518
MYO5A	1085.174	MYO5A	778.7092
MYO5B	3063.3557	MYO5B	244.8436
MYO5C	1954.9451	MYO5C	749.1151
MYO6	8263.1476	MYO6	1299.8004
MYO7A	214.0675	MYO7A	163.4065
removed	removed	MYO7B	11.7099
MYO9A	808.935	MYO9A	990.5522
MYO9B	1625.9947	MYO9B	831.9361
MYOCD	13.7766	MYOCD	63.8723
removed	removed	MYOC	651.497
MYOF	8394.2022	MYOF	2899.8004
MYOM1	63.2312	MYOM1	1755.9548
MYOM2	20.1351	MYOM2	89.4212
MYOM3	19.0753	MYOM3	6.3872
MYOZ1	24.374	MYOZ1	7.984
MYOZ2	6.3584	removed	removed
MYOZ3	15.8961	MYOZ3	13.3067
MYPOP	124.6961	MYPOP	114.9701
MYRIP	609.7039	MYRIP	329.4744
MYSM1	907.1376	MYSM1	211.3107
MYST1	1133.922	MYST1	501.3972
MYST2	1546.161	MYST2	1225.2828
MYST3	2789.9427	MYST3	2607.5848
MYST4	2611.5531	MYST4	1489.8204
MZF1	289.0371	MZF1	137.1178
N4BP1	1103.5428	N4BP1	1660.1464
N4BP2L1	301.3195	N4BP2L1	833.5329
N4BP2L2	2071.0856	N4BP2L2	1908.1836
N4BP2	445.0909	N4BP2	297.006
N4BP3	106.3273	N4BP3	71.324
N6AMT1	507.2623	N6AMT1	465.7352
N6AMT2	251.1584	N6AMT2	153.8257
NAA10	422.8363	NAA10	436.9927
NAA15	1160.0623	NAA15	825.0166
NAA16	358.5454	NAA16	304.4578
NAA20	941.4025	NAA20	937.8576
NAA25	796.9246	NAA25	647.2389
NAA30	1089.0597	NAA30	839.3879
NAA35	562.722	NAA35	368.33
NAA38	735.4597	NAA38	336.9261
NAA40	646.4415	NAA40	183.1005
NAA50	3379.8648	NAA50	3688.0905
NAAA	334.5247	NAAA	364.0719
NAALAD2	18.0156	NAALAD2	1457.8842
NAALADL1	34.2649	NAALADL1	83.0339
NAALADL2	1154.7636	NAALADL2	245.9082
NAB1	876.4051	NAB1	1990.153
NAB2	220.426	NAB2	308.7159
NACA2	24.374	NACA2	50.0333
NACAD	68.1766	NACAD	195.8749
NACAP1	94.6701	NACAP1	143.1803
NACA	11052.3838	NACA	17895.9415
NACC1	1408.0415	NACC1	353.9587
NACC2	48.3948	NACC2	57.485
NADK	1168.5402	NADK	1400.9315
NADSYN1	995.4493	NADSYN1	425.815
NAE1	445.0909	NAE1	866.0013
NAF1	191.813	NAF1	233.666
NAGA	705.787	NAGA	554.0918
NAGK	830.4831	NAGK	540.7851
NAGLU	535.5221	NAGLU	1067.7312
NAGPA	168.9297	NAGPA	165.5356
NAGS	51.2208	NAGS	10.1131
NAIF1	199.2312	NAIF1	177.7778
NAIP	99.2623	NAIP	37.7911
NALCN	40.6234	NALCN	72.3886
NAMPT	8286.8152	NAMPT	2791.2176
NANOS1	195.3454	NANOS1	286.8929
NANP	130.348	NANP	184.6973
NANS	852.3844	NANS	366.2009
NAP1L1	5118.8984	NAP1L1	9954.491
NAP1L2	38.8571	NAP1L2	151.1643
NAP1L3	76.6545	NAP1L3	77.7112
NAP1L4	2727.418	NAP1L4	1695.8084
NAP1L5	146.2441	NAP1L5	166.6001
removed	removed	NAP1L6	5.3227
NAPA	3824.4717	NAPA	2159.2655
NAPB	370.2026	NAPB	212.3752
NAPEPLD	874.5047	NAPEPLD	456.3619
NAPG	778.9091	NAPG	764.338
NAPRT1	546.4727	NAPRT1	487.0259
NAPSA	10.2442	removed	removed
NAPSB	256.1039	NAPSB	28.2102
NARFL	845.3194	NARFL	185.2295
NARF	483.2415	NARF	640.8516
NARG2	2038.5869	NARG2	1874.6507
NARS2	357.4857	NARS2	393.3466
NARS	3132.592	NARS	2678.9088
NASP	1870.4415	NASP	1365.2695
NAT10	1391.4389	NAT10	838.3234
NAT14	282.2441	NAT14	22.8876
NAT15	1928.3739	NAT15	886.7598
NAT1	9464.893	NAT1	84.6307
NAT2	503.3766	removed	removed
NAT6	170.1448	NAT6	191.8297
removed	removed	NAT8L	1629.2748
NAT9	388.5714	NAT9	166.6001
NAV1	1036.7792	NAV1	2562.342
NAV2	661.4368	NAV2	867.5981
NAV3	89.0182	NAV3	426.8796
NBAS	1805.0908	NBAS	2565.5356
NBEAL1	366.6701	NBEAL1	590.8184
NBEAL2	1490.7012	NBEAL2	541.3174
NBEA	3348.779	NBEA	631.2708
NBL1	1355.3653	NBL1	1687.8244
NBLA00301	16.9558	NBLA00301	102.1956
NBN	2462.8362	NBN	2645.3759
NBPF10	2449.2822	NBPF10	2602.8104
NBPF14	758.7069	NBPF14	453.3812
NBPF15	185.3168	NBPF15	225.485
NBPF16	65.7039	NBPF16	183.6327
NBPF1	1273.8077	NBPF1	783.4997
NBPF22P	26.4935	removed	removed
NBPF3	333.8182	NBPF3	274.6507
NBPF4	607.2311	removed	removed
NBPF6	80.5403	removed	removed
NBPF9	290.1533	NBPF9	375.4677
NBR1	5804.9036	NBR1	5047.505
NBR2	316.8623	NBR2	192.6813
NCALD	439.7922	NCALD	1258.8157
NCAM1	11.6571	NCAM1	233.1231
NCAM2	667.9896	NCAM2	137.3253
NCAPD2	1355.4077	NCAPD2	1061.8762
NCAPD3	895.4805	NCAPD3	551.9627
NCAPG2	631.6052	NCAPG2	347.5715
NCAPG	72.4721	NCAPG	22.4937
NCAPH2	348.6545	NCAPH2	511.5103
NCAPH	60.7584	NCAPH	9.5808
NCBP1	1250.9421	NCBP1	929.3413
NCBP2	1685.3402	NCBP2	1390.8184
NCCRP1	18.3688	NCCRP1	43.1138
NCDN	1229.6519	NCDN	277.8443
NCEH1	1428.883	NCEH1	261.344
NCF1B	10.5974	NCF1B	11.1776
NCF1C	24.0208	NCF1C	11.1776
NCF1	72.0623	NCF1	16.5003
NCF2	199.2312	NCF2	144.2448
removed	removed	NCF4	87.8244
NCK1	578.6182	NCK1	936.2608
NCK2	432.0208	NCK2	757.4185
NCKAP1L	553.8909	NCKAP1L	182.5682
NCKAP1	3378.4518	NCKAP1	5501.5303
NCKAP5L	464.8727	NCKAP5L	336.9261
NCKAP5	477.9428	NCKAP5	99.5343
NCKIPSD	458.161	NCKIPSD	893.6793
NCLN	722.3896	NCLN	544.511
NCL	10412.654	NCL	7912.7079
NCOA1	3417.3089	NCOA1	2657.6181
NCOA2	1886.3376	NCOA2	1090.0865
NCOA3	1686.7532	NCOA3	1532.4019
NCOA4	6909.1529	NCOA4	8667.4651
NCOA5	1362.4727	NCOA5	699.9335
NCOA6	1891.6363	NCOA6	1490.3526
NCOA7	1171.7194	NCOA7	2403.7259
NCOR1	2617.5583	NCOR1	2799.2016
NCOR2	3457.579	NCOR2	1990.153
NCR3	12.7169	removed	removed
NCRNA00052	1520.0207	removed	removed
NCRNA00081	197.9241	NCRNA00081	300.503
NCRNA00085	21.1948	NCRNA00085	26.0812
NCRNA00086	27.2	NCRNA00086	140.519
NCRNA00087	14.1299	NCRNA00087	87.8244
removed	removed	NCRNA00092	17.5649
NCRNA00093	59.5503	removed	removed
NCRNA00094	754.8318	NCRNA00094	626.6401
NCRNA00095	157.1948	NCRNA00095	45.7751
NCRNA00105	87.6052	NCRNA00105	13.839
NCRNA00107	33.5584	NCRNA00107	8.5163
NCRNA00110	19.7818	removed	removed
NCRNA00115	14.8364	NCRNA00115	5.855
NCRNA00116	81.2467	NCRNA00116	141.5835
NCRNA00120	39.5636	NCRNA00120	64.4045
NCRNA00152	108.0935	NCRNA00152	86.2275
NCRNA00171	50.38	NCRNA00171	40.7718
NCRNA00173	54.4	NCRNA00173	11.7099
NCRNA00174	417.8909	NCRNA00174	108.0506
NCRNA00176	16.9558	NCRNA00176	7.4518
NCRNA00181	186.705	NCRNA00181	34.4059
NCRNA00182	75.948	NCRNA00182	86.2275
NCRNA00183	345.4753	NCRNA00183	408.2502
NCRNA00188	3830.2543	NCRNA00188	17326.9461
NCRNA00201	1070.3941	NCRNA00201	763.2202
NCRNA00202	20.8416	removed	removed
NCRNA00204B	5.6519	NCRNA00204B	6.3872
NCRNA00219	338.0571	NCRNA00219	731.8696
NCS1	207.0026	NCS1	104.857
NCSTN	3220.8507	NCSTN	3082.9009
NDC80	29.3195	NDC80	9.5808
NDE1	839.2719	NDE1	272.0585
NDEL1	457.4545	NDEL1	1154.491
NDFIP1	3037.2154	NDFIP1	4960.2129
NDFIP2	1522.1402	NDFIP2	1041.65
NDNL2	307.3247	NDNL2	409.847
NDN	185.4545	NDN	2251.497
NDOR1	657.0389	NDOR1	177.2455
NDP	23.6675	NDP	20.7585
NDRG1	5169.0595	NDRG1	9684.6307
NDRG2	1350.8155	NDRG2	5399.8669
NDRG3	1004.2805	NDRG3	869.7272
NDRG4	39.5636	NDRG4	640.3194
NDST1	7144.4152	NDST1	3246.3074
NDST2	800.4571	NDST2	610.5123
NDST3	7.0649	removed	removed
NDST4	20.8416	removed	removed
NDUFA10	1825.9324	NDUFA10	2390.9514
NDUFA11	617.8285	NDUFA11	918.1637
NDUFA12	446.8571	NDUFA12	778.7092
NDUFA13	1172.0338	NDUFA13	1065.0379
NDUFA1	841.787	NDUFA1	1371.1244
NDUFA2	507.2623	NDUFA2	826.6134
NDUFA3	355.013	NDUFA3	548.2369
NDUFA4L2	58.2857	NDUFA4L2	374.185
NDUFA4	2641.2258	NDUFA4	4236.8596
NDUFA5	2458.9505	NDUFA5	1613.839
NDUFA6	430.6078	NDUFA6	1095.9415
NDUFA7	319.335	NDUFA7	410.3792
NDUFA8	513.974	NDUFA8	765.4025
NDUFA9	953.7662	NDUFA9	1350.3659
NDUFAB1	852.0311	NDUFAB1	937.3253
NDUFAF1	332.0519	NDUFAF1	342.2488
NDUFAF2	79.8338	NDUFAF2	324.1517
NDUFAF3	492.7792	NDUFAF3	1005.4558
NDUFAF4	114.4519	NDUFAF4	300.1996
NDUFB10	1356.4675	NDUFB10	1104.99
NDUFB11	793.3922	NDUFB11	1199.7339
NDUFB1	549.2987	NDUFB1	661.0778
NDUFB2	834.3688	NDUFB2	720.1597
NDUFB3	471.5844	NDUFB3	494.4777
NDUFB4	1648.9558	NDUFB4	1887.9574
NDUFB5	1126.5038	NDUFB5	3220.2262
NDUFB6	455.335	NDUFB6	591.3506
NDUFB7	363.1376	NDUFB7	662.6747
NDUFB8	688.1034	NDUFB8	1508.7212
NDUFB9	1331.7402	NDUFB9	2426.0812
NDUFC1	498.4311	NDUFC1	618.4963
NDUFC2	1688.1661	NDUFC2	1891.6833
NDUFS1	1174.8986	NDUFS1	2633.666
NDUFS2	1459.2623	NDUFS2	1842.1823
NDUFS3	791.7248	NDUFS3	1190.499
NDUFS4	406.587	NDUFS4	1427.0126
NDUFS5	1145.9324	NDUFS5	2246.1743
NDUFS6	346.1818	NDUFS6	378.4431
NDUFS7	327.5233	NDUFS7	627.8749
NDUFS8	603.6987	NDUFS8	788.8224
NDUFV1	1250.8467	NDUFV1	1390.8184
NDUFV2	1658.8467	NDUFV2	1814.5043
NDUFV3	499.1376	NDUFV3	1020.8916
NEAT1	22650.8871	NEAT1	7454.4245
NEBL	3508.0933	NEBL	660.0133
NEB	35.6779	NEB	14.3713
NECAB1	45.9221	NECAB1	319.3613
NECAB3	731.574	NECAB3	322.5549
NECAP1	870.7532	NECAP1	817.0326
NECAP2	1162.1818	NECAP2	1068.2635
NEDD1	635.8441	NEDD1	682.9009
NEDD4L	2946.431	NEDD4L	1794.2781
NEDD4	485.7143	NEDD4	773.9188
NEDD8	1572.3012	NEDD8	1288.6228
NEDD9	2275.9687	NEDD9	2575.1164
NEFH	152.6026	NEFH	13.3067
NEFL	6.3584	removed	removed
NEFM	9.5377	removed	removed
NEGR1	287.8961	NEGR1	1366.334
NEIL1	160.374	NEIL1	95.2761
NEIL2	369.1428	NEIL2	307.6514
NEIL3	5.2987	removed	removed
NEK10	1759.522	NEK10	22.3553
NEK11	645.735	NEK11	227.2788
NEK1	762.6597	NEK1	765.4025
NEK2	199.5844	removed	removed
NEK3	167.7922	NEK3	304.99
NEK4	962.9506	NEK4	570.0599
NEK5	74.5351	removed	removed
NEK6	704.0207	NEK6	451.3639
NEK7	1359.9999	NEK7	5233.2668
NEK8	134.587	NEK8	33.0007
NEK9	4369.3089	NEK9	3057.352
NELF	628.4259	NELF	300.7319
NELL2	13294.7941	NELL2	73.4531
NENF	524.9246	NENF	950.6321
NEO1	1870.0882	NEO1	1431.8031
NES	799.7506	NES	1210.9115
NET1	5943.0231	NET1	5093.8124
NETO2	146.2441	NETO2	45.2428
NEU1	1727.3765	NEU1	1008.1171
NEU3	195.3454	NEU3	88.8889
NEURL1B	419.3039	NEURL1B	1507.9175
NEURL2	7.0967	NEURL2	20.9235
NEURL3	16.9558	NEURL3	15.4358
NEURL4	382.4355	NEURL4	308.5882
NEURL	8.1247	NEURL	5.3227
removed	removed	NEUROG2	7.4518
NEXN	226.7844	NEXN	441.7831
NF1	3147.7817	NF1	2600.1331
NF2	605.8182	NF2	728.676
NFAM1	333.4649	NFAM1	38.3234
NFASC	207.0273	NFASC	431.4251
NFAT5	2584.7064	NFAT5	3276.6467
NFATC1	353.9532	NFATC1	591.3506
NFATC2IP	1378.0155	NFATC2IP	944.7771
NFATC2	84.426	NFATC2	68.6627
NFATC3	620.6545	NFATC3	1456.8197
NFATC4	706.8467	NFATC4	483.8323
NFE2L1	5641.3504	NFE2L1	9382.8343
NFE2L2	2283.4187	NFE2L2	3676.0293
NFE2L3	617.8285	NFE2L3	192.149
NFIA	3059.1167	NFIA	3996.2741
NFIB	950.2337	NFIB	6660.8117
NFIC	1292.5298	NFIC	1182.7013
NFIL3	222.5454	NFIL3	1504.7239
NFIX	3343.1271	NFIX	5069.8603
NFKB1	1874.6804	NFKB1	1374.8503
NFKB2	900.0727	NFKB2	414.1051
NFKBIA	3345.2466	NFKBIA	6928.5429
NFKBIB	224.3117	NFKBIB	121.3573
NFKBID	42.0364	NFKBID	24.4844
removed	removed	NFKBIE	63.8723
NFKBIL1	371.2623	NFKBIL1	270.3925
NFKBIL2	116.2182	NFKBIL2	26.6134
NFKBIZ	847.4389	NFKBIZ	1128.9421
NFRKB	1027.2415	NFRKB	872.9208
NFS1	513.974	NFS1	502.4617
NFU1	570.4935	NFU1	1437.1257
NFX1	1358.9402	NFX1	1380.173
NFXL1	225.9543	NFXL1	236.3273
NFYA	1595.2623	NFYA	1067.1936
NFYB	787.7402	NFYB	939.4544
NFYC	1162.4043	NFYC	977.4637
NGDN	640.0831	NGDN	436.9927
NGEF	68.1766	NGEF	9.5808
NGFRAP1	1388.6129	NGFRAP1	938.3899
NGFR	487.4805	NGFR	316.1677
removed	removed	NGF	14.9035
NGLY1	752.0623	NGLY1	718.5629
NGRN	2252.0998	NGRN	2301.6314
NHEDC1	10.2442	NHEDC1	8.5163
NHEDC2	106.3273	NHEDC2	185.2295
NHEJ1	172.7377	NHEJ1	343.3134
removed	removed	NHLH1	7.984
NHLRC1	158.6078	NHLRC1	58.0173
NHLRC2	309.4441	NHLRC2	356.0878
NHLRC3	1180.5506	NHLRC3	1734.1317
NHLRC4	331.6987	NHLRC4	18.6294
NHP2L1	831.5428	NHP2L1	1471.191
NHP2	622.4207	NHP2	619.5609
NHSL1	196.0519	NHSL1	219.827
NHSL2	235.6156	NHSL2	135.1963
removed	removed	NHS	523.7525
NICN1	398.5047	NICN1	367.2655
removed	removed	NID1	9206.0359
NID2	652.4467	NID2	1413.1737
NIF3L1	380.4467	NIF3L1	344.9102
NINJ1	2027.6363	NINJ1	935.1963
NINJ2	59.356	NINJ2	160.2129
NINL	208.4156	NINL	154.8902
NIN	3406.005	NIN	1452.5615
NIP7	289.3091	NIP7	330.5389
NIPA1	395.2831	NIPA1	534.9301
NIPA2	1035.0129	NIPA2	797.3387
removed	removed	NIPAL1	18.6294
NIPAL2	324.2805	NIPAL2	301.7964
NIPAL3	1073.8701	NIPAL3	1043.7791
NIPAL4	12.3636	NIPAL4	5.3227
NIPBL	3180.9868	NIPBL	2658.1504
NIPSNAP1	852.0311	NIPSNAP1	390.153
NIPSNAP3A	510.4415	NIPSNAP3A	1502.5948
NIPSNAP3B	46.6533	NIPSNAP3B	1990.334
NISCH	2691.0336	NISCH	2136.5269
NIT1	543.6467	NIT1	898.326
NIT2	675.761	NIT2	941.0512
NKAIN1	6.7117	removed	removed
NKAIN2	10.9506	NKAIN2	33.0007
NKAPL	11.6571	NKAPL	77.7112
NKAP	312.9766	NKAP	349.7006
NKD1	11.6571	NKD1	9.5808
NKD2	52.6338	NKD2	6.9195
NKG7	137.7662	NKG7	54.2914
NKIRAS1	176.2701	NKIRAS1	385.3626
NKIRAS2	740.7584	NKIRAS2	844.1783
NKPD1	12.7169	NKPD1	11.7099
NKRF	334.8779	NKRF	267.7312
NKTR	3730.2855	NKTR	2345.1763
NKX3-1	4430.4205	NKX3-1	60.6786
NKX3-2	6.3584	removed	removed
NLE1	213.361	NLE1	311.3772
removed	removed	NLGN1	80.9049
NLGN2	423.5428	NLGN2	402.3952
NLGN3	33.2052	NLGN3	23.4198
NLGN4X	58.9922	NLGN4X	366.2009
NLK	599.4597	NLK	279.4411
NLN	298.8467	NLN	210.2462
NLRC3	251.8649	NLRC3	60.1464
NLRC4	26.1403	NLRC4	24.4844
NLRC5	647.148	NLRC5	371.5236
NLRP13	92.1974	removed	removed
removed	removed	NLRP14	8.5163
NLRP1	325.3402	NLRP1	743.5795
NLRP2	147.3039	NLRP2	21.2908
NLRP3	193.226	NLRP3	192.149
NLRP5	68.8831	removed	removed
NLRP8	45.9221	removed	removed
NLRX1	287.1896	NLRX1	601.4637
NMB	23.3143	NMB	1005.4558
NMD3	1075.9896	NMD3	1844.3114
NME1-NME2	31.4213	NME1-NME2	16.9208
NME1	361.3961	NME1	206.7864
NME2P1	26.4935	NME2P1	49.501
NME2	2108.5227	NME2	3639.4997
NME3	1039.6051	NME3	275.7152
NME4	2020.2181	NME4	1349.3014
NME5	191.813	NME5	22.8876
NME6	316.5091	NME6	174.5842
NME7	351.2226	NME7	240.9474
NMI	520.3324	NMI	342.2488
NMNAT1	370.2026	NMNAT1	341.1843
NMNAT2	30.3792	NMNAT2	1201.8629
NMNAT3	113.7454	NMNAT3	358.7492
NMRAL1	1007.4102	NMRAL1	281.5702
NMT1	2283.3869	NMT1	3160.0798
NMT2	235.2623	NMT2	1566.4671
NMUR1	8.1247	NMUR1	399.2016
NNAT	9.1844	NNAT	627.5449
NNMT	709.3194	NNMT	2099.2681
NNT	989.0909	NNT	2534.1317
NOB1	539.4078	NOB1	1043.2468
NOC2L	1394.5545	NOC2L	747.2735
NOC3L	554.5974	NOC3L	333.7325
NOC4L	225.3714	NOC4L	157.0193
NOD1	465.2259	NOD1	502.4617
NOD2	68.1766	NOD2	26.6134
removed	removed	NODAL	22.3553
NOG	15.8961	NOG	10.1131
NOL10	662.3376	NOL10	574.318
NOL11	1012.0519	NOL11	790.9514
NOL12	117.5782	NOL12	90.4857
NOL3	363.8441	NOL3	282.6347
NOL6	937.8701	NOL6	548.2369
NOL7	472.2909	NOL7	530.672
NOL8	1203.8649	NOL8	786.161
NOL9	233.1428	NOL9	202.7944
NOLC1	2321.8908	NOLC1	1211.4438
NOM1	569.787	NOM1	358.2169
NOMO1	3998.0465	NOMO1	2253.0938
NOMO2	2491.096	NOMO2	1448.8357
NOMO3	1189.3818	NOMO3	730.8051
NONO	7251.8022	NONO	5916.1677
NOP10	427.7818	NOP10	784.5642
NOP14	860.9824	NOP14	671.6168
NOP16	105.974	NOP16	74.5176
NOP2	397.7558	NOP2	241.1178
NOP56	1300.6545	NOP56	1047.505
NOP58	1138.5142	NOP58	743.5795
NOS1AP	79.4805	NOS1AP	68.1304
removed	removed	NOS2	23.9521
NOS3	134.3963	NOS3	205.3919
NOSIP	358.5454	NOSIP	341.1843
