gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
AGPAT1	2193.3589	AGPAT1	1572.6922
AGPAT2	1319.5975	AGPAT2	347.4815
AGPAT3	2104.4562	AGPAT3	1428.0271
AGPAT4	416.3872	AGPAT4	401.4326
AGPAT5	922.8558	AGPAT5	894.0029
AGPAT6	1958.3134	AGPAT6	1761.4875
AGPAT9	101.5812	AGPAT9	108.207
AGPHD1	64.207	AGPHD1	61.8761
AGPS	1445.1366	AGPS	782.7478
AGR2	3889.794	AGR2	5007.3916
AGR3	6218.9746	AGR3	776.3469
AGRN	3443.6991	AGRN	4420.3307
AGTPBP1	276.9526	AGTPBP1	352.0536
AGTR1	157.1634	AGTR1	851.6345
AGTRAP	975.563	AGTRAP	533.7194
AGT	333.9722	AGT	58.2184
removed	removed	AGXT2L1	8.2298
AGXT2L2	301.7393	AGXT2L2	535.1185
AHCTF1	1625.7786	AHCTF1	1756.6105
AHCYL1	3165.3091	AHCYL1	3907.3383
AHCYL2	454.7197	AHCYL2	834.5653
AHCY	2612.8414	AHCY	2811.5522
AHDC1	857.2113	AHDC1	1519.7744
AHI1	334.9305	AHI1	639.4879
AHNAK2	1696.6938	AHNAK2	873.2759
AHNAK	43080.4983	AHNAK	98212.9086
AHRR	34.0201	AHRR	24.9943
AHR	1958.7925	AHR	3875.943
AHSA1	1369.4298	AHSA1	1225.6344
AHSA2	185.9128	AHSA2	889.7356
AIDA	1737.4557	AIDA	784.5797
AIF1L	311.931	AIF1L	1397.8511
AIF1	391.471	AIF1	223.4245
AIFM1	757.0676	AIFM1	616.3225
AIFM2	340.2012	AIFM2	369.7325
AIFM3	17.5994	AIFM3	17.7337
AIG1	1376.138	AIG1	824.5066
AIM1L	7.1874	removed	removed
AIM1	1037.3742	AIM1	3246.8186
AIM2	6.7082	removed	removed
AIMP1	1176.0757	AIMP1	1098.1666
AIMP2	531.5764	AIMP2	184.1987
AIP	646.3824	AIP	675.7601
AJAP1	22.0412	AJAP1	45.1116
AK1	642.07	AK1	290.1776
AK2	2247.724	AK2	1506.9725
AK3L1	76.6651	AK3L1	504.4578
AK3	940.1054	AK3	1471.6147
AK5	155.7259	AK5	1492.6465
AK7	22.0412	AK7	64.3146
AKAP10	495.9272	AKAP10	802.2556
AKAP11	1203.1624	AKAP11	2709.4414
AKAP12	1629.1327	AKAP12	2271.127
AKAP13	4562.5299	AKAP13	4930.8847
AKAP1	1469.5736	AKAP1	2984.0738
AKAP2	1054.2022	AKAP2	1526.3796
AKAP3	11.4998	AKAP3	79.555
AKAP5	68.9986	AKAP5	199.0399
AKAP6	73.311	AKAP6	260.3063
